;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Ponteranica;45;23;18;1442;450;198;151;966;18;16;119;;52;635;11;2;;;17;;;;;;;;;;;;;;998;58
Ponte san Pietro;64;34;48;1881;637;237;135;1415;21;23;148;;58;1072;33;5;;;12;;;;;;;;;;;;;;1703;78
Ranica;27;28;24;1177;421;181;149;1007;13;12;116;;51;593;14;5;;;10;;;;;;;;;;;;;;765;62
Scanzorosciate;47;33;47;1875;722;243;189;1687;28;16;148;;61;972;22;5;;;22;;;;;;;;;;;;;;1407;76
Seriate;133;120;116;4571;1630;504;420;2987;74;73;352;;230;2761;61;8;;;35;;;;;;;;;;;;;;3471;150
Sorisole;43;55;52;2086;631;203;121;1077;17;37;119;;35;919;19;6;;;32;;;;;;;;;;;;;;1335;57
Stezzano;68;54;32;2456;801;286;192;1781;22;32;151;;63;1511;49;5;;;64;;;;;;;;;;;;;;1768;100
Torre Boldone;37;46;44;1520;594;259;212;1322;21;20;143;;82;852;18;7;;;5;;;;;;;;;;;;;;1177;79
Torre de' Roveri;11;24;13;487;144;61;49;314;1;2;18;;9;278;3;1;;;3;;;;;;;;;;;;;;348;18
Treviolo;52;36;48;2331;781;259;175;1489;20;23;121;;46;1124;33;3;;;29;;;;;;;;;;;;;;1452;81
Valbrembo;23;36;12;992;338;121;51;333;198;9;51;;29;463;8;1;;;9;;;;;;;;;;;;;;625;25
Villa di Serio;23;35;26;1410;399;172;96;971;10;13;81;;42;823;17;4;;;10;;;;;;;;;;;;;;862;56
Adrara san Martino;12;22;3;577;162;29;12;151;0;6;11;;8;140;3;0;;;5;;;;;;;;;;;;;;325;16
Adrara san Rocco;2;4;3;209;95;12;2;45;0;2;4;;2;50;1;1;;;5;;;;;;;;;;;;;;118;22
Albano Sant'Alessandro;29;53;25;1706;581;171;108;803;6;15;73;;31;813;24;5;;;15;;;;;;;;;;;;;;1150;57
Albino;102;89;71;3922;1099;364;256;2536;31;35;285;;82;1739;68;9;;;29;;;;;;;;;;;;;;2730;167
Algua;1;5;3;170;55;16;5;82;0;1;2;;0;75;1;0;;;1;;;;;;;;;;;;;;109;12
Alzano Lombardo;69;43;42;2497;835;264;252;1886;43;21;163;;87;1257;29;9;;;18;;;;;;;;;;;;;;2264;116
Ardesio;15;14;22;987;259;59;27;396;3;12;26;;5;324;10;1;;;14;;;;;;;;;;;;;;559;60
Averara;2;3;1;31;13;2;1;17;0;2;3;;3;17;0;0;;;1;;;;;;;;;;;;;;41;6
Aviatico;7;3;2;143;63;22;2;60;1;0;1;;1;54;1;1;;;0;;;;;;;;;;;;;;93;9
Azzone;1;0;3;121;36;12;0;33;0;0;1;;0;15;1;0;;;2;;;;;;;;;;;;;;87;6
Berzo san Fermo;7;30;2;319;120;32;7;130;0;1;13;;8;75;6;1;;;5;;;;;;;;;;;;;;166;7
Bianzano;2;4;4;182;43;15;4;64;0;0;1;;1;57;2;0;;;2;;;;;;;;;;;;;;116;11
Borgo di Terzo;6;7;6;238;76;30;8;103;1;1;22;;13;110;1;1;;;1;;;;;;;;;;;;;;146;8
Bossico;8;8;6;226;80;24;13;88;1;3;7;;4;93;1;0;;;3;;;;;;;;;;;;;;195;9
Bracca;5;2;1;207;44;17;5;83;0;1;13;;0;62;5;0;;;5;;;;;;;;;;;;;;93;11
Branzi;7;3;1;246;62;18;3;68;2;0;2;;1;35;3;0;;;1;;;;;;;;;;;;;;126;8
Camerata Cornello;1;0;2;171;40;21;6;60;0;1;5;;4;56;1;0;;;0;;;;;;;;;;;;;;98;9
Carona;1;1;5;81;20;12;0;39;2;0;8;;1;26;1;1;;;2;;;;;;;;;;;;;;52;9
Casazza;45;29;18;849;285;93;25;386;5;7;35;;11;287;6;1;;;11;;;;;;;;;;;;;;490;45
Casnigo;17;11;18;855;209;83;38;357;4;1;49;;31;280;13;2;;;14;;;;;;;;;;;;;;550;35
Cassiglio;0;4;1;28;10;3;0;15;0;0;0;;0;14;1;0;;;1;;;;;;;;;;;;;;12;1
Castelli Calepio;64;41;29;2438;913;196;75;973;2;32;53;;33;784;24;2;;;16;;;;;;;;;;;;;;1326;77
Castione Della Presolana;11;9;9;1090;312;85;24;278;1;10;28;;11;253;2;2;;;6;;;;;;;;;;;;;;534;54
Castro;22;6;185;287;262;87;37;558;16;7;54;1;35;605;7;2;1;;2;;;;;;;2;;;;;;;194;28
Cazzano Sant'Andrea;11;18;4;456;112;28;14;118;2;1;11;;3;163;5;4;;;4;;;;;;;;;;;;;;260;18
Cenate Sopra;18;25;7;621;184;65;41;258;3;5;23;;7;224;9;0;;;4;;;;;;;;;;;;;;376;21
Cenate Sotto;23;27;21;920;332;88;41;330;4;8;41;;20;297;14;2;;;8;;;;;;;;;;;;;;459;37
Cene;20;16;23;1129;285;82;34;431;3;0;32;;10;442;11;1;;;9;;;;;;;;;;;;;;703;43
Cerete;9;2;3;425;139;51;13;177;4;2;16;;10;103;10;0;;;4;;;;;;;;;;;;;;226;12
Clusone;62;41;66;1717;745;280;92;1070;8;41;103;;21;831;17;10;;;12;;;;;;;;;;;;;;1439;76
Colere;2;3;6;329;67;26;3;103;1;2;9;;4;109;3;1;;;6;;;;;;;;;;;;;;230;23
Colzate;10;8;13;420;131;49;16;180;1;0;20;;4;161;3;1;;;2;;;;;;;;;;;;;;219;18
Cornalba;0;3;1;82;26;12;2;36;1;0;0;;0;20;1;0;;;0;;;;;;;;;;;;;;68;3
Costa Serina;2;3;6;227;77;26;9;133;1;3;4;;6;59;0;0;;;1;;;;;;;;;;;;;;171;20
Costa Volpino;49;31;66;1850;666;216;82;1064;12;12;65;;72;805;18;6;;;15;;;;;;;;;;;;;;1370;80
Credaro;31;13;9;796;257;66;37;220;4;17;11;;9;261;6;1;;;6;;;;;;;;;;;;;;453;23
Cusio;1;0;3;56;23;6;2;30;0;1;2;;0;27;0;0;;;1;;;;;;;;;;;;;;46;8
Dossena;6;2;5;327;94;27;1;75;0;2;1;;1;80;1;0;;;0;;;;;;;;;;;;;;140;14
Endine Gaiano;18;11;15;867;301;84;21;286;1;1;22;;15;268;11;3;;;7;;;;;;;;;;;;;;593;25
Entratico;9;4;3;465;135;43;13;234;1;1;26;;9;176;7;0;;;3;;;;;;;;;;;;;;316;16
Fino del Monte;6;6;5;299;94;53;15;110;5;5;18;;7;99;9;0;;;0;;;;;;;;;;;;;;172;13
Fiorano al Serio;21;14;39;689;225;58;32;343;4;9;20;;10;293;8;0;;;15;;;;;;;;;;;;;;403;35
Fonteno;4;1;0;162;36;8;6;71;1;1;3;;5;49;0;0;;;3;;;;;;;;;;;;;;105;12
Foppolo;2;0;0;35;17;20;1;16;0;0;2;;0;13;0;0;;;0;;;;;;;;;;;;;;53;3
Foresto Sparso;47;16;5;981;347;58;18;155;2;11;21;;9;191;5;2;;;5;;;;;;;;;;;;;;392;26
Gandellino;11;5;8;202;79;26;13;145;0;0;10;;0;103;4;1;;;1;;;;;;;;;;;;;;196;21
Gandino;33;53;35;1420;476;144;61;526;9;11;32;;10;424;10;2;;;8;;;;;;;;;;;;;;937;54
Gandosso;8;3;7;393;106;28;5;182;0;4;11;;11;90;4;0;;;7;;;;;;;;;;;;;;205;20
Gaverina Terme;3;3;2;203;58;14;14;96;0;4;8;;3;40;2;0;;;0;;;;;;;;;;;;;;124;9
Gazzaniga;19;62;40;1265;349;104;73;555;6;8;34;;20;412;12;3;;;9;;;;;;;;;;;;;;812;53
Gorno;8;5;13;446;128;28;7;165;1;11;4;;1;128;3;2;;;4;;;;;;;;;;;;;;294;16
Gromo;6;11;8;231;115;26;20;203;0;14;12;;1;76;2;1;;;4;;;;;;;;;;;;;;224;18
Grone;2;14;1;235;91;17;8;55;0;2;12;;4;54;3;0;;;4;;;;;;;;;;;;;;110;12
Grumello del Monte;38;20;34;1523;622;120;73;932;7;20;72;;20;630;10;7;;;10;;;;;;;;;;;;;;1083;60
Isola di Fondra;0;0;1;44;16;5;1;21;1;0;2;;1;8;1;0;;;1;;;;;;;;;;;;;;42;2
Leffe;22;12;27;1258;429;110;48;498;3;9;44;;18;324;15;5;;;12;;;;;;;;;;;;;;648;53
Lenna;3;0;11;116;58;7;8;93;1;0;5;;2;54;0;0;;;1;;;;;;;;;;;;;;94;14
Lovere;26;15;22;781;396;110;88;903;30;21;79;;64;270;8;1;;;4;;;;;;;;;;;;;;902;35
Luzzana;3;8;4;248;51;18;9;113;0;3;10;;10;75;2;0;;;2;;;;;;;;;;;;;;110;8
Mezzoldo;1;0;1;32;16;6;1;20;0;0;2;;4;12;0;0;;;1;;;;;;;;;;;;;;34;2
Moio de' Calvi;1;0;0;43;21;10;3;32;0;0;3;;0;16;0;0;;;2;;;;;;;;;;;;;;27;6
