;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Canda;2;3;3;199;85;25;8;76;4;4;12;;1;90;8;1;1;;3;;;;;;;;;;;;;;149;8
Castelguglielmo;5;17;19;253;116;26;12;184;7;6;23;;5;222;7;4;6;;3;;;;;;;;;;;;;;295;12
Castelmassa;16;8;19;555;261;92;60;542;5;8;77;;19;533;21;2;6;;4;;;;;;;;;;;;;;807;33
Castelnovo Bariano;9;9;11;522;166;45;38;305;3;5;34;;4;329;12;1;3;;7;;;;;;;;;;;;;;499;19
Ceneselli;7;4;15;292;108;36;18;165;3;6;18;;2;203;18;0;3;;6;;;;;;;;;;;;;;295;20
Ceregnano;16;16;16;634;236;79;33;354;5;6;55;;29;630;32;3;1;;8;;;;;;;;;;;;;;636;27
Corbola;12;9;9;366;177;36;23;249;7;3;38;;4;401;19;1;2;;4;;;;;;;;;;;;;;489;17
Costa di Rovigo;7;16;11;508;161;67;24;298;17;4;31;;4;367;14;2;2;;8;;;;;;;;;;;;;;452;16
Crespino;11;10;13;363;114;40;11;204;5;3;24;;7;209;16;3;5;;3;;;;;;;;;;;;;;383;25
Ficarolo;8;1;13;313;132;33;24;307;14;2;40;;22;318;18;2;3;;0;;;;;;;;;;;;;;627;32
Fiesso Umbertiano;13;14;16;674;362;98;24;555;10;6;59;;18;523;28;2;4;;9;;;;;;;;;;;;;;668;41
Frassinelle Polesine;2;0;7;376;101;36;12;132;2;3;15;;5;189;6;1;2;;1;;;;;;;;;;;;;;235;20
Fratta Polesine;10;12;32;481;213;52;21;269;11;6;36;;8;309;10;1;0;;6;;;;;;;;;;;;;;538;28
Gaiba;6;4;6;184;68;22;7;142;0;2;13;;4;154;12;4;0;;0;;;;;;;;;;;;;;161;3
Gavello;9;6;6;278;104;26;12;164;18;1;18;;6;205;10;0;0;;1;;;;;;;;;;;;;;284;18
Giacciano con Baruchella;11;5;17;444;157;40;5;147;7;7;16;;0;288;19;2;2;;3;;;;;;;;;;;;;;416;19
Guarda Veneta;3;4;4;203;57;14;7;123;5;0;14;;1;141;5;1;1;;2;;;;;;;;;;;;;;234;14
Lendinara;34;141;59;2073;850;295;99;1187;19;35;147;;26;1376;86;13;11;;24;;;;;;;;;;;;;;2251;81
Loreo;7;8;17;690;315;161;27;241;4;1;27;;8;583;21;0;0;;5;;;;;;;;;;;;;;638;23
Lusia;10;17;17;742;309;92;14;248;5;6;19;;9;461;31;1;4;;2;;;;;;;;;;;;;;568;36
Melara;19;5;8;381;137;50;20;172;3;2;23;;9;183;12;2;2;;6;;;;;;;;;;;;;;329;18
Occhiobello;48;27;42;1967;621;232;110;1442;26;14;216;;90;1906;43;3;8;;15;;;;;;;;;;;;;;1995;70
Papozze;2;4;9;238;99;28;10;176;4;1;28;;6;269;18;0;4;;8;;;;;;;;;;;;;;299;8
Pettorazza Grimani;5;7;8;337;113;43;7;125;1;3;21;;3;265;12;3;1;;7;;;;;;;;;;;;;;308;15
Pincara;3;2;4;210;71;39;10;166;0;4;20;;7;186;9;0;0;;1;;;;;;;;;;;;;;191;14
Polesella;9;6;17;677;249;66;20;480;2;3;82;;18;548;36;1;2;;3;;;;;;;;;;;;;;693;33
Pontecchio Polesine;11;10;17;392;176;59;27;243;9;4;31;;9;320;14;0;0;;6;;;;;;;;;;;;;;359;10
Porto Tolle;11;12;38;1953;567;149;51;1092;15;5;119;;27;1675;52;2;6;;22;;;;;;;;;;;;;;2228;73
Porto Viro;45;41;66;2960;1203;327;90;1066;8;8;108;;33;2538;86;3;11;;41;;;;;;;;;;;;;;2755;82
Rosolina;24;31;28;1415;548;163;40;438;11;9;36;;7;987;50;5;7;;11;;;;;;;;;;;;;;1154;40
Rovigo;247;228;319;7191;3006;1306;834;5660;224;157;1076;;303;7049;305;35;60;;75;;;;;;;;;;;;;;9820;311
Salara;5;1;3;276;68;32;6;133;1;2;18;;6;130;4;0;1;;2;;;;;;;;;;;;;;185;17
San Bellino;5;5;4;208;61;44;9;113;0;2;13;;1;109;13;1;0;;2;;;;;;;;;;;;;;216;11
San Martino di Venezze;19;7;24;748;308;106;35;360;3;3;43;;4;638;32;3;4;;11;;;;;;;;;;;;;;698;34
Stienta;12;2;5;603;165;72;20;555;6;6;59;;10;396;15;0;2;;3;;;;;;;;;;;;;;506;26
Taglio di po;79;21;31;1663;821;218;59;666;10;18;71;;20;1309;60;3;8;;42;;;;;;;;;;;;;;1583;42
Trecenta;20;10;10;551;160;59;19;295;5;6;31;;38;306;16;1;7;;5;;;;;;;;;;;;;;539;26
Villadose;18;42;24;972;325;110;52;500;19;8;62;;20;734;33;5;9;;7;;;;;;;;;;;;;;1006;32
Villamarzana;2;1;4;262;85;16;10;123;1;2;19;;0;193;3;1;0;;2;;;;;;;;;;;;;;213;5
Villanova del Ghebbo;7;17;8;398;165;37;16;223;8;6;17;;8;245;24;3;5;;6;;;;;;;;;;;;;;302;20
Villanova Marchesana;2;0;7;131;57;23;3;92;0;0;11;;5;107;5;0;1;;0;;;;;;;;;;;;;;185;8
Affi;19;7;50;465;177;76;30;171;8;10;21;;7;293;14;0;13;;5;;;;;;;;;;;;;;341;17
Badia Calavena;35;50;35;585;188;107;16;133;2;9;13;;6;309;18;0;0;;6;;;;;;;;;;;;;;385;25
Bosco Chiesanuova;19;78;44;665;353;97;44;261;3;13;27;;4;389;20;1;11;;12;;;;;;;;;;;;;;537;19
Brentino Belluno;15;14;8;275;108;44;18;116;1;1;22;;4;157;3;0;2;;2;;;;;;;;;;;;;;195;9
Brenzone sul Garda;21;11;39;381;211;63;35;286;7;9;25;;4;255;16;0;3;;2;;;;;;;;;;;;;;457;11
Caprino Veronese;105;61;83;1596;540;193;117;728;8;18;70;;22;944;40;4;14;;20;;;;;;;;;;;;;;1513;48
Cazzano di Tramigna;15;10;23;345;135;31;17;111;0;8;6;;2;147;25;0;1;;6;;;;;;;;;;;;;;241;13
Cerro Veronese;28;24;30;522;200;87;31;125;6;5;20;;1;290;11;1;3;;8;;;;;;;;;;;;;;356;14
Colognola ai Colli;78;91;75;1542;516;227;102;611;22;21;121;;26;1180;32;1;34;;41;;;;;;;;;;;;;;1300;48
Dolce';32;20;25;482;139;44;20;221;3;0;31;;4;345;20;1;1;;5;;;;;;;;;;;;;;393;23
Erbezzo;2;2;9;178;65;11;2;67;1;2;1;;1;55;3;1;0;;2;;;;;;;;;;;;;;164;7
Ferrara di Monte Baldo;2;1;10;56;18;10;4;10;0;1;2;;0;28;1;0;0;;0;;;;;;;;;;;;;;49;1
Fumane;63;57;39;814;230;124;66;430;11;11;62;;10;489;22;4;14;;11;;;;;;;;;;;;;;562;24
Grezzana;90;205;197;1993;597;307;116;877;26;39;97;;30;1548;69;0;33;;32;;;;;;;;;;;;;;1460;72
Illasi;80;118;59;1072;347;141;52;372;6;20;55;;15;540;26;2;15;;17;;;;;;;;;;;;;;979;31
Lavagno;116;85;83;1441;429;224;119;730;21;42;95;;29;1372;43;3;18;;24;;;;;;;;;;;;;;1177;37
Malcesine;50;12;25;560;293;64;43;341;9;6;28;;14;437;18;5;6;;10;;;;;;;;;;;;;;687;35
Marano di Valpolicella;26;57;45;602;174;89;72;328;9;6;41;;9;400;13;1;8;;7;;;;;;;;;;;;;;454;19
Mezzane di Sotto;32;39;22;413;137;75;45;240;9;8;24;;22;396;13;2;6;;11;;;;;;;;;;;;;;391;10
Montecchia di Crosara;51;35;47;1211;297;83;37;230;5;13;21;;11;411;21;0;5;;11;;;;;;;;;;;;;;571;28
Monteforte d'Alpone;101;87;139;1722;545;172;73;643;11;35;67;;9;1008;31;3;17;;27;;;;;;;;;;;;;;1175;71
Negrar;126;205;217;3177;1057;474;350;1806;42;52;286;;65;2032;62;5;40;;40;;;;;;;;;;;;;;2567;85
Pastrengo;31;17;29;563;220;72;42;243;5;7;33;;8;432;23;3;11;;17;;;;;;;;;;;;;;501;28
Pescantina;197;145;160;3285;964;508;261;1276;32;40;142;;33;2438;62;1;66;;30;;;;;;;;;;;;;;2504;64
Rivoli Veronese;19;17;17;534;146;54;19;151;1;4;27;;10;295;16;1;7;;9;;;;;;;;;;;;;;329;15
Ronca';53;28;31;1084;185;103;25;220;1;5;18;;8;393;16;2;9;;10;;;;;;;;;;;;;;558;23
Rovere' Veronese;20;16;45;476;172;75;20;91;1;4;7;;4;228;5;1;1;;5;;;;;;;;;;;;;;340;22
San Bonifacio;223;202;188;3316;1148;330;207;1600;34;99;213;;59;2673;77;8;46;;48;;;;;;;;;;;;;;3170;90
San Giovanni Ilarione;52;25;65;1180;456;204;29;274;2;4;16;;4;677;18;2;7;;27;;;;;;;;;;;;;;626;42
San Martino Buon Albergo;122;95;132;2415;878;350;225;1306;49;32;232;;49;2326;73;9;27;;40;;;;;;;;;;;;;;2208;79
San Mauro di Saline;10;3;20;135;59;35;4;19;1;0;3;;2;71;2;1;0;;2;;;;;;;;;;;;;;78;0
San Pietro in Cariano;95;157;159;2362;719;383;236;1367;48;29;191;;59;1682;59;1;43;;28;;;;;;;;;;;;;;1999;83
Sant'Ambrogio di Valpolicella;119;120;124;2091;690;401;175;1014;29;31;121;;36;1400;54;3;28;;18;;;;;;;;;;;;;;1904;66
Sant'Anna d'Alfaedo;21;24;12;580;207;66;10;135;1;3;15;;0;297;17;1;2;;19;;;;;;;;;;;;;;436;21
San Zeno di Montagna;12;11;16;290;99;40;20;99;3;4;5;;1;142;6;3;4;;6;;;;;;;;;;;;;;255;7
Selva di Progno;12;10;41;231;72;32;7;50;1;0;4;;2;85;7;0;0;;4;;;;;;;;;;;;;;152;8
Soave;63;106;90;1438;420;187;113;671;9;34;87;;29;921;38;1;15;;29;;;;;;;;;;;;;;995;36
Tregnago;100;113;99;1126;285;109;46;385;7;13;46;;15;570;23;1;17;;42;;;;;;;;;;;;;;670;23
Velo Veronese;0;8;10;195;72;20;4;35;1;2;8;;1;91;5;0;3;;0;;;;;;;;;;;;;;130;1
Vestenanova;39;44;25;622;179;113;21;128;2;3;16;;5;233;19;1;3;;6;;;;;;;;;;;;;;441;18
Verona;2172;3303;4197;32041;13322;7241;5830;27318;898;993;5180;;1240;30346;856;135;1020;;440;;;;;;;;;;;;;;44795;1071
Albaredo d'Adige;45;53;50;1276;388;150;24;298;2;2;23;;11;530;33;1;5;;15;;;;;;;;;;;;;;838;36
Angiari;40;12;25;486;145;53;19;158;4;5;25;;3;347;9;2;0;;6;;;;;;;;;;;;;;361;14
Arcole;36;45;76;1279;414;127;45;394;4;13;53;;12;870;28;1;11;;23;;;;;;;;;;;;;;974;41
Belfiore;27;53;27;585;229;162;23;236;4;6;20;;3;345;12;0;3;;6;;;;;;;;;;;;;;405;16
Bevilacqua;11;11;9;389;109;35;7;139;5;3;19;;7;192;12;3;3;;3;;;;;;;;;;;;;;280;8
Bonavigo;11;13;25;448;170;56;8;130;1;0;10;;2;216;3;1;3;;14;;;;;;;;;;;;;;286;13
Boschi Sant'Anna;19;9;11;362;102;27;6;76;7;4;15;;8;180;13;0;2;;3;;;;;;;;;;;;;;197;10
Bovolone;173;191;156;3326;1171;406;110;835;15;44;80;;28;1970;88;3;25;;35;;;;;;;;;;;;;;2667;68
Caldiero;99;84;87;1267;444;202;90;567;16;16;65;;14;1095;34;6;13;;32;;;;;;;;;;;;;;1092;36
Casaleone;33;60;47;1426;434;129;31;337;3;9;49;;5;653;19;1;4;;17;;;;;;;;;;;;;;1019;29
Castagnaro;37;16;59;828;321;114;22;265;2;3;26;;4;396;21;1;1;;11;;;;;;;;;;;;;;742;29
Cerea;167;122;127;4107;1327;432;107;806;19;17;107;;19;1870;72;4;14;;51;;;;;;;;;;;;;;3026;66
Cologna Veneta;51;91;79;1937;547;180;62;642;13;17;119;;26;828;40;1;12;;27;;;;;;;;;;;;;;1367;50
Concamarise;3;8;10;317;76;30;9;31;0;3;4;;0;115;4;0;0;;3;;;;;;;;;;;;;;151;6
Erbe';29;15;28;384;124;30;13;156;2;5;8;;1;223;17;1;2;;4;;;;;;;;;;;;;;294;16
Gazzo Veronese;46;23;39;1295;427;112;31;298;6;0;46;;11;618;48;1;6;;15;;;;;;;;;;;;;;977;33
Isola Della Scala;95;114;123;2352;664;297;82;785;16;28;83;;18;1611;77;1;14;;28;;;;;;;;;;;;;;1761;59
Isola Rizza;19;22;43;832;266;79;19;132;4;7;10;;11;316;15;2;2;;5;;;;;;;;;;;;;;521;25
Legnago;245;124;210;4475;1789;714;313;2124;59;78;318;;83;2987;111;9;42;;47;;;;;;;;;;;;;;4667;143
Minerbe;34;31;44;1133;373;125;30;315;7;18;35;;11;441;23;3;2;;13;;;;;;;;;;;;;;743;37
Mozzecane;80;37;87;1308;356;190;61;532;4;18;73;;15;1138;45;4;7;;12;;;;;;;;;;;;;;1141;34
Nogara;53;44;52;1639;536;221;75;624;12;6;117;;16;904;54;5;15;;16;;;;;;;;;;;;;;1457;49
Nogarole Rocca;27;56;29;613;207;64;17;249;2;9;22;;2;440;18;2;6;;7;;;;;;;;;;;;;;484;22
Oppeano;86;70;76;2213;659;246;57;387;7;38;47;;17;1124;67;5;16;;28;;;;;;;;;;;;;;1592;52
Palu';13;3;17;253;60;36;8;67;4;6;4;;0;157;12;0;0;;5;;;;;;;;;;;;;;165;15
Pressana;21;14;30;578;178;52;11;178;3;1;30;;9;245;11;0;3;;7;;;;;;;;;;;;;;383;24
Roverchiara;4;8;13;541;277;92;9;146;0;4;14;;5;107;8;2;3;;0;;;;;;;;;;;;;;479;10
Roveredo di Gua';7;6;16;358;126;38;16;97;3;5;6;;4;207;8;1;0;;10;;;;;;;;;;;;;;175;16
Salizzole;39;32;59;1063;420;94;14;131;3;4;8;;5;399;18;0;7;;13;;;;;;;;;;;;;;564;20
Sanguinetto;36;39;36;1037;316;122;51;203;0;7;20;;7;375;31;2;14;;9;;;;;;;;;;;;;;616;20
San Pietro di Morubio;17;28;38;689;222;66;14;139;5;10;13;;13;346;27;0;3;;4;;;;;;;;;;;;;;572;28
Sorga';27;23;35;584;200;63;26;202;2;1;32;;7;389;22;1;4;;9;;;;;;;;;;;;;;476;17
Terrazzo;9;11;20;529;180;44;18;194;0;4;22;;4;188;25;6;3;;7;;;;;;;;;;;;;;342;16
Trevenzuolo;13;24;35;675;174;58;18;147;2;7;13;;3;300;15;1;5;;5;;;;;;;;;;;;;;352;16
Veronella;55;33;27;1124;325;108;22;250;3;1;35;;10;666;21;4;5;;41;;;;;;;;;;;;;;739;22
Vigasio;89;79;67;1833;556;249;104;741;19;19;99;;30;1596;62;3;18;;20;;;;;;;;;;;;;;1468;39
Villa Bartolomea;54;15;60;1116;434;127;43;530;17;13;83;;14;649;29;2;4;;21;;;;;;;;;;;;;;1090;54
Zimella;49;24;43;1175;316;111;22;270;2;6;24;;10;612;17;1;11;;21;;;;;;;;;;;;;;684;32
Bardolino;48;61;65;1268;625;182;94;512;10;18;71;;13;825;40;2;16;;16;;;;;;;;;;;;;;1238;41
Bussolengo;252;148;211;3450;1331;522;264;1399;31;37;201;;49;2749;92;11;78;;58;;;;;;;;;;;;;;3082;88
Buttapietra;58;63;60;1341;394;160;68;484;18;11;71;;16;1223;42;2;19;;19;;;;;;;;;;;;;;937;26
Castel d'Azzano;101;92;103;2298;703;282;116;875;22;21;114;;27;1738;69;2;16;;25;;;;;;;;;;;;;;1645;55
Castelnuovo del Garda;156;79;114;2265;856;326;116;918;23;20;161;;30;1867;66;6;25;;24;;;;;;;;;;;;;;2118;39
Cavaion Veronese;31;21;62;1187;424;181;71;419;14;15;51;;14;752;23;3;13;;6;;;;;;;;;;;;;;904;21
Costermano sul Garda;29;10;44;751;321;95;46;267;8;5;24;;11;487;23;3;11;;7;;;;;;;;;;;;;;595;26
Garda;50;14;32;644;457;84;58;256;8;13;30;;16;547;19;1;5;;6;;;;;;;;;;;;;;614;20
Lazise;63;33;63;1256;568;201;112;584;10;29;57;;16;833;31;2;11;;15;;;;;;;;;;;;;;1175;46
Peschiera del Garda;69;51;82;1671;846;314;152;900;27;13;105;;26;1472;50;4;10;;13;;;;;;;;;;;;;;1852;53
Povegliano Veronese;76;50;55;1403;421;194;80;569;12;9;85;;20;1109;31;3;20;;20;;;;;;;;;;;;;;1062;34
Ronco All'Adige;29;57;89;1395;452;165;30;343;5;12;77;;12;577;28;4;14;;9;;;;;;;;;;;;;;1041;29
San Giovanni Lupatoto;183;247;231;4596;1328;556;360;1989;65;72;340;;85;3689;147;23;49;;72;;;;;;;;;;;;;;3891;126
Sommacampagna;113;171;167;2651;885;414;197;1264;25;39;172;;45;2133;69;3;27;;28;;;;;;;;;;;;;;1981;96
Sona;191;190;229;3392;1052;484;234;1414;30;50;168;;48;2400;79;5;58;;48;;;;;;;;;;;;;;2576;70
Torri del Benaco;39;30;34;514;322;97;36;212;5;5;16;;1;310;17;1;3;;6;;;;;;;;;;;;;;521;12
Valeggio sul Mincio;159;69;111;2758;1034;500;163;975;28;33;163;;41;2065;89;3;24;;23;;;;;;;;;;;;;;2247;80
Villafranca di Verona;249;265;386;5698;2077;850;430;2814;80;67;362;;113;4622;134;16;78;;68;;;;;;;;;;;;;;5192;131
Zevio;121;171;163;2922;901;385;135;1005;37;33;119;;36;2138;72;3;32;;35;;;;;;;;;;;;;;2265;71
Muggia;61;43;39;1925;772;467;155;1214;28;27;264;15;62;2065;74;;12;59;;4;;3;11;3;11;;;;;;;;2938;70
San Dorligo Della Valle-Dolina;22;24;18;539;198;116;76;842;52;7;104;9;97;904;20;;6;19;;4;;5;10;3;12;;;;;;;;1325;45
Trieste;953;820;938;21479;11104;6076;4556;19209;572;498;3798;337;1516;25452;1028;;221;322;;77;;73;145;85;176;;;;;;;;47620;937
Capriva del Friuli;10;5;8;237;94;34;31;154;1;8;28;10;8;249;7;;2;3;;1;;0;1;4;2;;;;;;;;327;10
Cormons;63;36;54;992;380;196;139;837;13;13;137;20;35;1189;32;;5;14;;4;;4;4;14;10;;;;;;;;1402;69
Doberdo' del Lago;1;6;1;94;42;25;16;227;13;1;91;3;15;204;2;;0;5;;0;;0;0;1;2;;;;;;;;266;15
Dolegna del Collio;1;2;3;104;33;8;2;22;0;0;3;2;3;28;0;;0;1;;1;;0;0;3;1;;;;;;;;61;2
Farra d'Isonzo;7;2;12;203;68;47;51;198;2;2;24;6;18;262;7;;1;5;;0;;1;2;2;0;;;;;;;;331;7
Fogliano Redipuglia;14;11;9;324;116;79;53;359;11;7;82;10;27;620;7;;1;5;;1;;3;7;3;5;;;;;;;;512;35
Gorizia;297;118;179;4127;2136;990;707;3251;142;81;649;69;183;4355;115;;38;47;;38;;14;19;26;55;;;;;;;;7165;253
Gradisca d'Isonzo;34;11;22;763;334;188;165;786;17;31;137;20;62;967;23;;7;10;;0;;0;5;4;4;;;;;;;;1199;60
Grado;57;13;34;1378;633;265;101;732;23;12;127;15;17;1095;45;;4;7;;4;;4;2;2;13;;;;;;;;1772;49
Mariano del Friuli;13;8;9;202;73;43;26;184;3;4;32;5;4;269;8;;3;3;;2;;0;1;4;5;;;;;;;;255;21
Medea;6;3;7;122;40;25;13;121;1;3;17;4;1;153;3;;0;0;;0;;0;0;7;1;;;;;;;;201;9
Monfalcone;89;98;117;2906;1316;485;409;2482;44;40;580;54;148;3628;70;;23;45;;16;;33;22;17;20;;;;;;;;5151;134
Moraro;5;2;4;109;43;19;9;59;3;0;11;0;2;118;2;;1;2;;0;;0;0;2;0;;;;;;;;180;2
Mossa;8;7;12;227;87;44;28;147;1;3;19;3;6;233;9;;4;2;;1;;0;0;1;0;;;;;;;;289;22
Romans d'Isonzo;29;16;22;537;198;99;64;427;4;7;80;12;12;626;18;;4;10;;3;;3;4;11;3;;;;;;;;650;34
Ronchi dei Legionari;60;36;68;1280;523;219;241;1428;45;17;316;39;83;2195;44;;18;30;;3;;9;7;5;14;;;;;;;;2207;71
Sagrado;15;8;5;264;102;42;47;241;8;3;68;4;25;402;7;;5;8;;2;;0;2;1;9;;;;;;;;436;14
San Canzian d'Isonzo;26;22;23;688;281;122;92;765;17;6;170;16;61;1134;38;;8;25;;2;;2;9;4;9;;;;;;;;1151;48
San Floriano del Collio;4;1;1;75;37;10;7;140;9;6;11;3;0;98;2;;0;3;;3;;1;1;6;0;;;;;;;;138;32
San Lorenzo Isontino;12;7;11;220;99;41;18;184;0;2;21;3;10;255;7;;3;2;;3;;2;0;4;1;;;;;;;;260;11
San Pier d'Isonzo;14;5;13;208;78;37;44;279;8;1;66;20;18;375;13;;2;10;;1;;0;5;2;3;;;;;;;;303;22
Savogna d'Isonzo;4;4;8;160;51;14;19;268;6;16;48;2;5;264;5;;2;5;;2;;2;3;1;1;;;;;;;;329;25
Staranzano;21;25;24;837;355;138;179;941;12;14;213;16;40;1272;32;;8;10;;7;;6;8;4;12;;;;;;;;1148;49
Turriaco;11;10;12;330;80;51;48;381;8;4;87;4;22;526;7;;2;11;;1;;2;3;3;4;;;;;;;;480;13
Villesse;9;5;17;222;87;34;20;209;8;1;30;2;13;274;7;;0;1;;1;;1;2;1;1;;;;;;;;292;17
Aiello del Friuli;16;5;33;307;95;49;31;260;11;5;49;6;4;350;7;;0;2;;3;;0;3;1;2;;;;;;;;457;19
Aquileia;18;4;16;405;162;78;65;445;9;7;95;10;30;507;8;;2;5;;3;;1;1;4;4;;;;;;;;673;28
Attimis;24;37;12;308;112;42;23;172;2;5;20;4;6;190;11;;1;8;;0;;0;0;3;2;;;;;;;;366;17
Campolongo Tapogliano;11;3;4;153;49;22;15;144;2;1;40;3;10;168;7;;3;3;;0;;3;2;6;1;;;;;;;;209;4
Cervignano del Friuli;71;37;127;1406;837;308;198;1308;21;134;284;42;64;2085;47;;13;21;;9;;8;7;20;36;;;;;;;;2728;87
Drenchia;0;0;3;17;3;1;1;15;0;0;0;0;1;13;0;;0;0;;0;;0;0;2;0;;;;;;;;39;2
Faedis;25;5;16;451;168;86;39;287;7;8;31;7;15;408;13;;3;3;;2;;3;0;17;5;;;;;;;;607;15
Fiumicello Villa Vicentina;23;12;26;882;293;141;103;771;15;10;154;23;38;1111;22;;4;16;;4;;2;4;7;16;;;;;;;;1132;46
Grimacco;2;0;3;46;29;5;7;35;3;0;14;0;2;45;0;;0;1;;0;;0;0;0;0;;;;;;;;86;4
Lusevera;5;7;6;95;28;12;3;72;2;0;6;1;8;77;3;;0;0;;0;;0;1;0;1;;;;;;;;159;1
Nimis;23;11;27;517;206;86;19;180;2;0;24;12;5;298;15;;2;0;;0;;0;1;11;2;;;;;;;;583;12
Prepotto;3;4;4;172;33;18;11;53;1;0;7;3;2;120;1;;1;0;;0;;1;1;5;3;;;;;;;;177;2
Pulfero;4;1;9;137;67;12;8;68;3;0;17;2;0;102;2;;0;0;;0;;0;0;0;3;;;;;;;;245;10
Resia;10;1;8;157;74;30;11;70;3;2;1;1;3;119;9;;0;2;;2;;0;0;2;3;;;;;;;;326;11
Ruda;21;3;14;334;119;51;37;446;9;11;58;7;21;475;23;;0;8;;1;;3;2;2;6;;;;;;;;585;25
San Leonardo;7;0;76;140;44;21;15;89;3;1;25;7;1;161;4;;0;1;;1;;0;0;5;1;;;;;;;;204;9
San Pietro al Natisone;8;6;20;333;148;40;42;217;13;6;39;1;6;324;10;;1;4;;0;;1;0;20;5;;;;;;;;404;15
Savogna;1;1;5;56;23;4;1;31;0;0;4;0;0;59;3;;0;2;;1;;1;0;2;0;;;;;;;;120;0
Stregna;0;0;6;44;33;5;6;34;2;0;4;2;1;45;1;;1;0;;0;;0;0;0;0;;;;;;;;84;0
Taipana;7;9;7;102;45;14;2;33;1;3;6;0;1;67;5;;0;0;;0;;1;0;6;0;;;;;;;;172;2
Terzo d'Aquileia;16;2;11;342;109;42;39;451;2;5;96;5;18;462;5;;5;5;;4;;0;0;6;0;;;;;;;;492;24
Torreano;25;6;7;394;178;57;16;177;5;2;20;4;4;297;11;;0;0;;0;;1;1;7;2;;;;;;;;431;13
Duino Aurisina;17;12;40;853;549;218;166;1183;41;16;238;25;70;1257;32;;11;15;;6;;8;8;2;14;;;;;;;;1787;73
Monrupino;3;5;1;76;39;12;16;155;3;5;31;2;3;97;0;;1;3;;0;;0;1;3;1;;;;;;;;214;9
Sgonico;6;2;4;151;66;37;53;413;15;5;62;2;30;293;10;;7;4;;1;;0;0;0;7;;;;;;;;433;17
Bagnaria Arsa;21;7;37;480;148;71;47;420;7;11;39;9;10;544;8;;7;2;;0;;0;0;15;1;;;;;;;;661;24
Bicinicco;18;1;11;362;124;35;22;185;4;6;13;3;5;239;4;;3;2;;2;;0;0;26;1;;;;;;;;321;13
Buttrio;31;7;26;597;185;104;48;503;7;10;64;11;11;542;16;;3;9;;4;;0;3;9;4;;;;;;;;654;29
Campoformido;69;40;68;1218;498;254;148;805;16;24;117;18;26;1063;29;;20;9;;4;;2;4;100;6;;;;;;;;1267;45
Carlino;9;17;18;422;163;84;22;230;0;9;27;6;2;407;14;;0;4;;2;;3;0;138;2;;;;;;;;541;26
Castions di Strada;72;9;18;703;296;125;34;281;3;7;32;12;11;553;20;;8;5;;5;;2;3;29;8;;;;;;;;591;24
Chiopris-Viscone;7;0;7;98;28;14;7;68;2;1;5;4;2;101;0;;2;1;;0;;0;2;11;0;;;;;;;;106;9
Cividale del Friuli;101;29;78;1533;1054;261;228;1015;23;29;194;13;41;1415;37;;13;20;;10;;3;2;40;19;;;;;;;;2140;72
Corno di Rosazzo;15;6;19;779;196;67;35;209;6;4;24;13;7;396;13;;4;5;;0;;1;0;3;5;;;;;;;;514;11
Gonars;48;15;60;914;304;125;37;368;7;7;58;6;8;688;20;;3;6;;2;;2;3;13;5;;;;;;;;896;22
Latisana;118;34;75;2199;1144;467;143;898;10;29;153;15;18;1751;61;;15;21;;6;;2;13;16;18;;;;;;;;2574;78
Lignano Sabbiadoro;44;10;55;1061;618;217;80;401;6;4;54;9;10;884;28;;8;6;;2;;5;4;11;8;;;;;;;;1465;38
Manzano;56;21;45;1156;487;176;104;474;5;9;53;19;12;747;36;;4;9;;5;;1;3;18;15;;;;;;;;1102;35
Marano Lagunare;9;7;16;315;117;43;34;157;3;4;34;2;8;308;9;;2;3;;1;;1;2;11;0;;;;;;;;364;30
Moimacco;25;10;7;255;105;47;26;169;2;3;20;2;3;299;8;;5;3;;2;;1;0;17;4;;;;;;;;234;11
Mortegliano;60;25;30;804;220;155;72;484;7;7;77;5;13;667;20;;11;8;;3;;1;3;42;11;;;;;;;;832;36
Muzzana del Turgnano;12;5;20;408;133;59;25;227;11;4;25;4;7;357;16;;4;2;;0;;1;2;22;2;;;;;;;;519;23
Palazzolo Dello Stella;19;5;26;497;222;89;22;270;1;5;28;16;4;305;18;;3;1;;4;;1;3;15;2;;;;;;;;629;16
Palmanova;49;21;19;660;337;116;113;453;13;20;72;19;11;630;16;;2;6;;3;;2;4;33;3;;;;;;;;1083;35
Pavia di Udine;57;24;68;933;354;155;72;549;5;26;63;22;16;684;38;;5;4;;1;;1;4;18;7;;;;;;;;961;36
Pocenia;24;6;17;450;158;77;13;215;0;5;34;10;0;353;17;;2;6;;3;;0;2;5;6;;;;;;;;497;19
Porpetto;20;12;47;506;211;87;22;177;2;6;19;8;5;334;7;;7;6;;1;;2;0;24;3;;;;;;;;503;15
Pozzuolo del Friuli;81;22;45;1135;356;180;96;624;21;13;171;9;14;947;25;;9;4;;4;;2;5;24;16;;;;;;;;1131;44
Pradamano;42;6;23;526;215;89;71;417;8;5;63;9;14;608;16;;9;4;;4;;0;0;3;2;;;;;;;;551;25
