;WN;VVD;CDA;PvdA;50+;AWP;PvdD;CU;SGP;Groen, Water & Land;Waterschapspartij Hollandse Delta;CU-SGP;Water, Wonen en Natuur;Ons Water;Waterbelang Parkstad;Lokaal Waterbeheer;Waterbelang Westelijke Mijnstreek;Waterbelang Midden-Limburg;De Groenen;Fryske Nasjonale Partij (FNP);West-Brabant Waterbreed;Gemeentebelangen Drenthe~Overijssel;Waterbelang Heuvelland;Vrienden van de Berkel;AWPenLRR niet politiek, wel lokaal;Lagere Lasten Burger;Lokaal Limburg;Waterbelang Venlo;Waterbelang Land van Weert + Leudal;Partij voor Zeeland;AWP niet politiek, wel deskundig;Hollandse Delta Natuurlijk;SGP-ChristenUnie;Waterbelang Maastricht;Waterbelang Venray en Maasduinen;Ouderen Appèl - Hart voor Water;Natuurlijk BBW;Waterbelang Horst-Helden-Beesel;Werken aan Water;Werk aan Water Flevoland;Waterschap@inwonersbelangen;OUDERENPARTIJ;Ons-Platteland;Waterschapspartij Zeeuws-Vlaanderen;Forum Duurzaam Effectief Waterschap;Waterschapspartij PUUR.;Betaalbaar Water;Vereniging Dorpshuizen en Kleine Kernen;AWP Niet Politiek Wel Deskundig;Trots op Nederland (TROTS);Socialistische Waterschapsvereniging;Ouderen Politiek Actief (OPA);Verenigde Senioren Partij;QUEER;Partij Sociaal Cultureel Centrum (PSCC);Blanco lijst 8;Blanco lijst 11;De Republikeinse Politieke Partij;Integer Liberaal;@abs;@inv;@blank
Beuningen;2067;1823;1975;1339;1411;;1063;229;59;;;;;;;;;;;;;;;;567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10183;46;242
Beverwijk;1545;1671;1550;2544;1597;978;;414;;3947;;;;;;;;;;;;;;;;;;;;;;;;;;;423;;;;;;;;;;;;;;;;;;;;;;;18120;65;363
Bladel;2008;1123;1965;788;780;245;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;176;;;533;;;;;;;;;;;;;;;;;;;;;8387;45;261
Blaricum;616;1915;661;495;395;;456;232;;;;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;;;;198;;;;;;38;;;11;;;;16;;3384;20;106
Bloemendaal;1441;3683;1907;1377;445;1031;1358;;;;;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;;;;;;;;;;6352;32;86
Bodegraven-Reeuwijk (Rijnland);1194;2441;2090;887;580;652;764;;;;;2036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;8041;26;135
Bodegraven-Reeuwijk (De Stichtse Rijnlanden);515;748;1036;243;228;;234;476;830;;;;;;;;;;;;;;;;;;;;;;194;;;;;;;;;;281;;;;;;;;;;;;;;;;;;;3608;15;63
Boekel;829;433;2182;200;234;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;4172;34;97
Borger-Odoorn (Hunze en Aa's);2750;1370;1062;1919;1004;1108;;706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8418;44;135
Borger-Odoorn (Vechtstromen);508;286;186;;108;217;;42;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125;;;;;;;;;;;;;;5;;;;951;10;29
Borne;2762;1686;2343;;679;1887;;371;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;425;;;;;;;;;;;;;;99;;;;7752;47;185
