RegioNaam;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50;SGP;DENK;50+/PvdO;Lokaal Brabant;CO;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JL;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs;@inv;@blank
Bunnik;763;1307;1095;1757;619;818;316;241;419;381;242;152;21;;;;;;;;;;;;;;;;;84;;;;;;;;3281;17;24
Bunschoten;2120;886;1832;183;174;108;560;112;2888;74;200;989;35;;;;;;;;;;;;;;;;;27;;;;;;;;5505;31;18
Buren;2536;2255;1140;724;848;695;1121;471;634;583;502;800;30;;;;;;;;;;;152;;;;;;;;;;;;;;8304;22;32
Capelle aan den IJssel;4958;3661;1357;1850;2096;1763;1994;1235;1541;1089;1496;1812;270;;;70;;;;;;257;57;;;;;;;;;;;;;;;25058;71;95
Castricum;2756;3074;1933;2959;1679;2007;801;945;458;1011;;;32;481;;277;;;;;328;;34;;;;;;;;;;;;;;;9590;56;48
Coevorden;2302;2637;2279;931;2286;724;1225;1099;593;472;548;114;15;;;;;;;;;;;;;;;830;;;;212;;;107;;;11764;35;28
Cranendonck;1488;1479;1388;390;421;717;1032;588;;276;403;;14;;160;20;;73;;;;;;;;;97;;60;;;;;;;;;7446;18;38
Cuijk;1359;1426;1663;873;821;714;625;1186;;345;315;;211;;556;14;;69;;;;;;;;;87;;58;;;;;;;;;9125;31;37
Culemborg;1794;1745;921;2140;1016;1200;760;585;578;717;495;134;384;;;;;;;;;;;89;;;;;;;;;;;;;;9059;43;32
Dalfsen;1626;1803;3682;1030;899;718;747;651;1807;319;532;446;15;;;;;;;;;;;;;;;;;;;;;;;;;7649;33;27
Dantumadiel;1384;352;1878;360;709;185;685;374;1100;142;129;562;1;;;;837;;;;;;;;;;;;;;117;;45;;;;;6025;12;8
De Bilt;2245;4210;2006;3481;1683;2480;910;811;1145;1212;561;817;137;;;;;;;;;;;;;;;;;390;;;;;;;;10584;66;45
De Fryske Marren;3366;2779;4899;1706;2535;925;1335;935;998;628;556;454;22;;;;3100;;;;;;;;;;;;;;297;;193;;;;;15485;38;57
De Ronde Venen;3804;4213;3364;1887;1280;1709;1163;498;1017;750;1052;341;109;;;;;;;;;;;;;;;;;157;;;;;;;;12612;49;70
De Wolden;1620;2408;1898;869;1280;617;608;509;658;416;318;122;13;;;;;;;;;;;;;;;889;;;;156;;;41;;;6972;26;24
Delft;5196;5884;2411;7333;4444;6888;2166;2146;1989;2179;1315;245;632;;;114;;;;;;243;101;;;;;;;;;;;49;;;;30542;127;187
Delfzijl;1212;700;728;495;966;295;829;937;899;211;397;;126;;;;;;1194;;;;;;;626;;;;;;;;;;;;10049;30;39
Den Helder;5280;2643;1773;1393;2054;907;2420;1174;1185;855;;;69;753;;289;;;;;629;;23;;;;;;;;;;;;;;;22794;84;68
Deurne;1865;2093;2906;857;804;788;1031;1049;;335;603;;20;;230;21;;83;;;;;;;;;134;;75;;;;;;;;;12493;34;74
Deventer;4501;6115;3778;7009;6041;3957;2349;2838;1736;2237;1472;170;1251;;;;;;;;;;;;;;;;;;;;;;;;;32097;124;133
Diemen;1719;1338;467;2111;1214;1059;608;533;303;687;;;251;419;;155;;;;;90;;56;;;;;;;;;;;;;;;12308;36;27
Dinkelland;1706;1965;5003;701;738;462;938;459;103;199;417;47;13;;;;;;;;;;;;;;;;;;;;;;;;;7983;40;30
Doesburg;736;602;467;511;596;365;368;493;136;261;184;13;178;;;;;;;;;;;56;;;;;;;;;;6;;;;4036;17;9
Doetinchem;3240;3322;3662;2323;2473;1705;1646;2107;782;871;1053;373;273;;;;;;;;;;;309;;;;;;;;;;23;;;;21090;60;68
Dongen;1418;1719;1408;697;848;919;654;949;;331;411;;124;;267;25;;215;;;;;;;;;171;;50;;;;;;;;;10154;14;46
Dordrecht;7231;5860;3079;4506;3816;3334;3804;2645;3153;2295;2208;1811;1599;;;160;;;;;;287;120;;;;;;;;;;;89;;;;43239;145;107
Drechterland;1880;1773;1231;686;699;576;511;507;171;311;;;4;238;;222;;;;;276;;20;;;;;;;;;;;;;;;5894;18;33
Drimmelen;2028;2181;1446;791;765;812;974;953;;411;584;;6;;329;29;;148;;;;;;;;;122;;69;;;;;;;;;9907;16;38
Dronten;3039;3164;2744;1568;1076;889;1291;1063;1842;561;746;347;160;;;;;;;;;;;;;;;;;;;;;54;;108;56;11699;48;33
Druten;1308;1333;945;588;635;554;652;728;112;255;465;20;134;;;;;;;;;;;88;;;;;;;;;;;;;;6848;23;30
Duiven;1947;1983;1287;1067;993;798;725;765;312;435;646;36;40;;;;;;;;;;;175;;;;;;;;;;11;;;;8750;28;20
Echt-Susteren;1926;935;3129;1019;860;512;2238;836;109;433;434;;21;;;;;;;1455;;;;;;;;;;;;;;;;;;11660;31;70
Edam-Volendam;7609;1796;2758;1214;859;610;1684;482;230;625;;;50;326;;165;;;;;208;;11;;;;;;;;;;;;;;;9545;59;53
Ede;7177;6222;5844;4623;2675;2960;2747;1643;8013;1812;1487;8481;942;;;;;;;;;;;504;;;;;;;;;;94;;;;32031;124;96
Eemnes;745;874;603;372;552;302;239;152;178;206;146;30;1;;;;;;;;;;;;;;;;;208;;;;;;;;2428;6;10
Eersel;930;1269;2194;557;459;677;536;627;;256;333;;5;;310;21;;92;;;;;;;;;95;;50;;;;;;;;;6735;16;33
Eijsden-Margraten;1618;1312;3035;1281;700;758;973;610;114;546;362;;17;;;;;;;680;;;;;;;;;;;;;;;;;;8461;33;28
Eindhoven;9765;11504;5986;10839;6808;9649;5327;7431;;4478;3547;;1895;;1124;331;;1469;;;;;;;;;618;;1128;;;;;;;;;81890;272;302
Elburg;1406;1054;1427;375;406;266;600;320;2674;209;273;2004;8;;;;;;;;;;;52;;;;;;;;;;29;;;;6408;27;31
Emmen;7866;3581;5088;2296;8228;1735;5431;3610;2008;1134;1977;191;234;;;;;;;;;;;;;;;1694;;;;366;;;474;;;39053;136;89
Enkhuizen;1364;1041;656;703;777;550;470;897;357;354;;;73;168;;221;;;;;143;;14;;;;;;;;;;;;;;;6352;20;27
Enschede;10233;7781;5168;7131;6436;4968;6012;4795;3285;2496;1983;336;1701;;;;;;;;;;;;;;;;;;;;;;;;;56937;240;221
Epe;2212;2258;1904;1478;1408;814;1073;690;1388;678;697;867;180;;;;;;;;;;;193;;;;;;;;;;36;;;;10522;32;43
Ermelo;1764;1583;2210;880;653;572;601;401;2305;437;410;1185;33;;;;;;;;;;;112;;;;;;;;;;36;;;;7861;14;35
Etten-Leur;2524;2699;2468;1364;1049;1212;1522;1200;;503;694;;298;;626;40;;201;;;;;;;;;198;;93;;;;;;;;;16604;55;35
Geertruidenberg;1581;1416;1008;628;626;455;939;697;;255;398;;20;;237;85;;99;;;;;;;;;77;;51;;;;;;;;;8284;27;26
Geldrop-Mierlo;2427;2314;1996;1568;1162;1424;1340;1529;;678;831;;118;;395;32;;241;;;;;;;;;163;;125;;;;;;;;;14197;30;75
Gemert-Bakel;1766;1754;3035;720;540;716;1037;1545;;379;477;;25;;238;22;;66;;;;;;;;;118;;62;;;;;;;;;10713;31;49
Gennep;973;909;1450;574;653;502;489;985;62;238;197;;22;;;;;;;57;;;;;;;;;;;;;;;;;;6397;14;34
Gilze en Rijen;1689;1720;1402;838;958;836;755;875;;339;562;;209;;308;29;;87;;;;;;;;;116;;56;;;;;;;;;9442;29;36
