;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vdR&PPNL;DG;JL;@abs;@inv;@blank
Bergen;2767;2366;1146;1492;1543;924;157;789;465;370;270;339;16;16;28;7;11812;17;24
Bergen op Zoom;3725;3157;1774;2281;1339;1241;227;577;876;912;649;263;343;19;31;21;34159;46;36
Berkelland;3137;2173;4727;1483;1114;819;229;400;484;406;606;155;27;16;18;16;19420;28;32
Bernheze;1560;1439;2023;725;536;659;66;177;429;256;651;117;15;9;10;3;15182;10;19
Best;1609;1646;1128;970;627;660;293;247;746;278;323;205;75;15;25;5;13852;10;21
Beuningen;1717;1441;973;960;699;594;100;235;458;278;313;114;17;11;8;3;12593;10;18
Beverwijk;2174;1424;901;1639;1129;666;173;478;570;525;489;213;232;35;16;16;19707;20;25
Bladel;1016;953;1257;541;338;334;42;166;483;230;273;104;4;11;10;5;10057;16;9
Blaricum;743;1286;418;553;239;341;92;152;158;98;74;118;7;11;7;3;4179;7;3
Bloemendaal;1903;2926;1005;843;1096;1201;166;494;235;157;120;414;8;10;23;8;7016;12;9
Bodegraven-Reeuwijk;1396;2218;2459;1403;855;698;2291;268;396;345;194;179;38;14;3;37;13531;29;25
Boekel;366;414;909;331;159;145;15;106;201;102;127;42;0;7;1;1;5265;6;7
Bonaire;130;81;26;47;56;1016;46;37;15;36;15;13;10;3;2;6;11192;4;12
Borger-Odoorn;1903;1156;1127;1087;585;356;434;395;323;334;369;74;3;14;10;16;12530;14;19
Borne;1435;1167;2240;731;603;460;150;162;253;164;315;78;31;5;13;6;10188;11;17
Borsele;1103;862;1311;770;398;293;2026;245;320;225;173;94;4;19;5;12;9664;12;11
Boxmeer;2194;1485;2158;1006;685;528;69;257;548;352;773;163;28;16;13;5;12848;18;24
Boxtel;1923;1349;1280;773;822;671;90;316;393;281;543;150;75;16;15;6;14840;15;18
Breda;10287;12062;5958;4974;7119;5620;582;2330;2167;1825;1995;1326;441;101;86;60;83563;112;117
Brielle;1050;1101;603;1056;317;337;132;198;338;220;215;86;13;9;3;4;8009;8;12
Bronckhorst;2290;1925;3967;1295;1012;735;455;447;369;345;376;158;4;12;18;9;16000;20;16
Brummen;1560;1103;857;700;727;419;186;266;282;243;270;74;78;12;8;9;10019;19;14
Brunssum;2657;543;668;1200;290;152;151;282;353;743;423;68;12;14;10;19;15160;21;32
Bunnik;1460;1111;884;418;1218;595;288;250;184;121;101;132;3;11;19;4;4741;13;17
Bunschoten;370;449;1245;1059;104;74;2713;61;128;226;60;41;23;9;1;56;9183;9;7
Buren;1477;1527;1082;1332;515;519;874;357;341;416;164;111;9;9;12;7;12084;12;17
Capelle aan den IJssel;3065;2759;1432;2838;1464;1178;2462;727;1077;834;709;324;130;27;22;48;31771;41;38
Castricum;3244;2574;1627;1513;1903;1270;202;720;618;335;386;317;12;33;22;16;13737;26;28
Coevorden;2562;1945;2089;1401;616;515;440;359;430;424;509;89;5;28;19;20;16747;23;23
Cranendonck;1160;843;1028;889;267;309;53;178;498;306;207;102;6;8;7;3;10265;14;17
Cuijk;1574;1082;1199;718;627;511;64;270;413;260;427;131;157;20;11;2;12080;10;22
Culemborg;1910;1370;876;1053;1743;812;391;460;353;255;248;192;125;17;27;20;11878;13;21
Dalfsen;1465;1677;3061;829;578;392;1425;204;309;216;201;97;1;11;4;13;11556;11;14
Dantumadiel;815;499;1155;794;267;147;1366;112;104;206;217;23;2;18;4;29;9141;6;6
De Bilt;3560;3481;1759;1469;2567;1808;1320;863;483;396;408;534;46;31;25;22;14174;26;25
De Fryske Marren;3483;3288;3327;1991;1165;803;1061;544;501;543;555;187;12;26;21;25;22833;14;34
De Ronde Venen;2568;3415;2409;2189;1274;1255;903;546;681;473;244;302;33;21;22;23;17813;29;26
De Wolden;1706;1787;1730;935;718;444;490;284;290;239;227;111;0;9;14;14;10319;22;19
Delft;6465;5013;2588;3070;6937;4728;1349;1489;1112;1022;1076;1329;333;123;97;44;37781;87;101
Delfzijl;1561;559;758;824;323;220;502;209;234;329;469;72;52;14;10;16;13545;21;9
Den Helder;2909;1998;1427;2841;867;631;730;593;823;949;528;225;24;36;20;36;29781;39;23
Deurne;1508;1347;1667;941;617;457;69;248;1406;353;414;120;7;18;13;6;16298;22;25
Deventer;7805;4459;3455;2636;4890;2761;1046;1514;1003;855;1048;742;855;75;70;37;42691;67;57
Diemen;1977;1135;468;1039;1561;765;170;460;388;262;291;246;132;36;45;13;11822;26;12
Dinkelland;1112;1276;4375;735;348;352;49;175;187;232;158;88;10;10;11;4;11743;12;10
Doesburg;950;434;359;430;375;253;75;143;131;122;224;45;103;8;3;7;5360;7;5
Doetinchem;3913;2406;2702;1913;1628;1186;762;587;679;578;932;243;158;41;15;16;27583;23;35
Dongen;1504;1179;1084;676;514;519;144;205;374;235;312;99;79;7;11;3;13476;13;25
Dordrecht;5892;4441;2890;4031;3499;2148;3658;1701;1484;1454;1267;561;734;79;53;81;55733;75;66
Drechterland;1182;1223;933;919;436;318;78;200;774;226;187;85;4;15;12;7;8523;13;13
Drimmelen;1540;1514;1173;1023;549;496;81;304;478;390;314;101;3;8;9;7;13682;18;10
Dronten;1905;2364;2419;1758;892;568;1297;350;545;469;418;142;91;13;19;24;17345;25;23
Druten;1239;938;752;667;370;347;42;180;325;202;252;76;43;4;6;2;9369;17;12
Duiven;1639;1476;1055;955;716;500;180;270;388;252;313;117;14;11;10;6;12138;16;20
Echt-Susteren;2992;704;1930;1279;522;306;70;365;352;770;297;98;14;11;10;7;15987;20;27
Edam-Volendam;1719;1703;1546;3801;786;425;154;444;480;713;223;175;27;15;12;19;16079;18;21
Ede;4989;4964;5266;4112;3440;2002;11839;1165;1198;984;738;579;509;62;33;69;45775;59;45
Eemnes;772;777;492;429;242;262;152;151;146;96;67;61;1;4;4;1;3455;5;3
Eersel;1023;1028;1289;497;465;419;49;166;469;187;244;276;8;3;5;5;9058;18;13
Eijsden-Margraten;2866;913;1598;847;722;557;57;328;226;359;187;116;19;12;12;5;11938;16;11
Eindhoven;12354;8958;4937;5811;9535;6138;1081;2864;3376;1929;2885;2009;1148;203;147;70;101689;125;197
Elburg;681;781;1145;768;250;198;3404;123;211;210;132;42;2;5;1;29;9600;9;9
Emmen;6947;2746;4128;4255;1705;1152;1255;887;1258;1799;1557;306;105;51;33;61;57008;54;33
Enkhuizen;1342;810;508;710;496;349;282;253;321;209;318;87;36;6;6;7;8476;17;10
Enschede;8604;5368;5370;5299;5255;3470;2161;1575;1241;1753;1811;823;997;150;75;83;75822;94;84
Epe;2067;1871;1699;1305;760;577;1514;445;452;382;232;127;118;9;16;22;14851;23;19
Ermelo;1276;1305;1882;1106;644;419;2564;337;295;239;190;91;8;11;11;24;10697;24;12
Etten-Leur;2187;2105;1709;1480;942;762;150;344;650;554;477;166;180;20;15;12;21675;28;22
Geertruidenberg;999;970;818;814;395;293;68;179;356;330;225;84;12;7;4;8;11370;16;10
Geldrop-Mierlo;2543;1756;1484;1378;1172;833;184;437;1032;468;500;247;93;20;14;16;18470;23;23
Gemert-Bakel;1413;1054;1969;945;579;437;50;223;785;330;542;93;7;14;9;5;14899;18;22
Gennep;1421;645;864;585;356;263;31;196;192;199;374;78;24;4;4;5;8334;9;12
Gilze en Rijen;1663;1263;1081;904;531;522;65;229;431;308;287;102;115;12;17;10;12852;20;16
Goeree-Overflakkee;2124;2345;1964;2426;598;434;5744;454;672;702;413;145;5;15;15;36;21034;36;20
Goes;2303;1519;1788;1181;1043;628;1830;512;504;413;448;189;23;41;16;20;17467;13;20
Goirle;1686;1254;937;745;712;637;38;279;365;249;328;136;19;10;13;6;11238;19;16
Gooise Meren;4280;5603;2253;1917;2313;2568;440;1040;701;474;321;751;63;38;35;15;19737;60;45
Gorinchem;2055;1796;952;1255;923;701;1095;420;394;397;397;191;296;18;17;29;16651;38;26
Gouda;4510;3030;2324;2622;3436;1901;3450;1110;983;831;710;495;276;55;53;46;29145;44;51
Grave;851;632;643;517;301;285;39;142;225;146;231;55;2;8;3;2;5656;4;4
Groningen;18317;9347;5428;5388;18825;7912;4316;4779;1680;1528;3860;2266;205;267;216;117;94233;150;164
Gulpen-Wittem;1873;401;1106;516;414;193;60;252;167;296;151;76;1;7;12;9;6331;6;17
Haaksbergen;1347;1094;3086;856;376;424;118;156;289;223;201;65;142;9;14;0;10823;18;23
Haaren;884;770;983;364;373;348;32;154;209;141;129;78;1;8;10;3;7007;5;7
Haarlem;12915;7231;2985;4395;10360;5575;1010;3646;1716;1310;1602;1595;785;140;114;68;62249;127;89
Haarlemmermeer;7628;9079;4635;6913;3689;3314;1878;1800;2319;1764;1039;771;297;72;74;88;67677;119;79
Halderberge;1445;1493;1190;1218;449;443;78;225;421;462;333;104;46;15;8;10;15681;10;13
Hardenberg;2558;2157;5121;2179;772;579;3644;342;807;644;520;141;10;29;19;63;27037;41;29
Harderwijk;2273;2326;2221;1676;1172;780;2698;476;525;465;317;194;371;32;18;32;20109;37;27
Hardinxveld-Giessendam;643;574;797;525;150;103;3071;95;191;185;94;34;8;7;1;21;7082;11;7
Harlingen;1229;681;641;703;378;183;265;231;190;182;225;74;3;10;5;7;7392;11;9
Hattem;842;628;864;382;294;267;982;105;110;61;80;34;7;5;3;9;4731;6;6
Heemskerk;2552;1764;1337;1659;1244;805;260;488;684;485;490;177;128;24;21;16;18419;34;30
Heemstede;2473;3160;1087;931;1316;1361;165;510;361;170;153;377;7;14;15;8;8507;24;15
Heerde;992;715;1198;665;359;249;1510;165;196;211;144;62;4;7;4;17;8146;14;5
Heerenveen;4447;2794;1860;1583;1410;950;858;655;432;487;703;208;107;30;18;22;22796;25;26
Heerhugowaard;3099;2748;1593;2135;1377;1007;397;589;843;574;692;296;146;38;25;37;26547;26;23
Heerlen;8091;1586;1795;3089;1339;686;235;1140;826;1765;2069;209;86;50;30;29;46071;47;38
Heeze-Leende;1127;1037;970;507;385;422;41;180;496;153;170;118;3;2;9;3;7084;15;16
Heiloo;2386;1897;1018;1002;1157;858;200;492;394;203;165;226;10;12;19;22;8643;10;17
Hellendoorn;1754;1462;4473;1164;736;495;728;221;396;327;331;99;14;12;16;20;15933;18;14
Hellevoetsluis;1915;2012;813;2540;631;567;323;445;720;720;399;143;168;44;18;22;19925;19;19
Helmond;3846;3158;2084;3125;1729;1296;213;670;2423;1240;1283;378;335;40;31;22;44705;47;62
Hendrik-Ido-Ambacht;1224;1538;1043;1286;435;451;2588;249;401;346;199;83;33;11;2;24;13109;14;16
Hengelo;4949;3042;4470;2646;2326;1564;708;837;798;778;1513;367;413;51;52;34;38351;62;56
Het Hogeland;3799;1536;2845;1200;1789;597;2203;797;415;479;824;161;5;27;26;26;21073;33;44
Heumen;1520;1041;889;543;897;625;64;240;244;155;219;119;9;5;14;3;6472;12;7
Heusden;2416;2411;1878;1489;890;839;186;399;787;513;528;203;123;24;19;18;21476;23;19
Hillegom;1171;1439;993;1085;576;505;171;333;416;298;157;130;18;16;16;8;9308;17;7
Hilvarenbeek;1079;951;1185;395;406;376;34;156;257;133;173;91;2;7;8;2;6975;7;11
Hilversum;5721;5195;2170;2864;4431;3614;1118;1691;1297;901;811;751;366;85;70;39;34225;70;63
Hoeksche Waard;4317;4701;3687;4137;1603;1458;4985;1035;1205;1058;683;305;22;40;39;59;39375;50;36
Hof van Twente;2153;1763;5095;1207;653;625;245;249;297;276;292;120;41;18;16;13;14789;23;11
Hollands Kroon;2738;2711;2043;2363;882;665;411;452;750;686;428;187;10;27;27;27;24036;22;33
Hoogeveen;2596;1628;3158;2304;881;530;1995;357;521;726;842;122;34;26;14;64;27328;36;22
Hoorn;4850;3264;1708;2875;2454;1549;458;1085;1330;800;948;448;226;77;43;31;33078;45;52
Horst aan de Maas;2826;1400;3085;1253;744;630;79;321;535;460;660;132;6;13;10;11;20613;16;29
Houten;3338;3013;2204;1614;2492;1625;2061;621;562;412;375;332;35;39;32;15;18294;26;23
Huizen;2570;2813;1695;1766;1142;948;1459;583;643;450;255;258;90;23;17;32;17475;18;27
Hulst;1540;998;1227;981;471;338;76;279;784;455;359;133;3;11;12;10;12960;17;14
IJsselstein;1877;2116;1285;1238;960;782;495;377;446;325;257;195;94;18;14;15;15471;16;11
Kaag en Braassem;1417;1880;1771;1295;623;687;208;314;509;337;215;175;6;16;9;9;11579;14;14
Kampen;2112;1528;2989;1863;1313;525;5820;372;441;547;402;181;127;20;25;53;21810;24;28
Kapelle;643;653;729;444;226;192;1150;129;192;135;94;65;1;7;9;7;5030;10;7
Katwijk;2055;2446;3962;3534;802;643;4974;498;878;661;328;232;76;23;19;59;27630;41;32
Kerkrade;4612;539;952;1728;473;208;59;476;351;1221;731;83;31;15;13;20;23504;29;23
Koggenland;1468;1627;1346;905;503;412;93;268;431;253;204;111;6;26;15;7;9965;13;9
Krimpen aan den IJssel;1530;1415;936;1486;544;502;3055;317;443;427;235;137;38;13;7;18;11499;28;12
Krimpenerwaard;3180;3222;2733;2363;1116;997;4040;677;889;699;419;246;48;30;18;47;22752;42;29
Laarbeek;1234;858;1100;724;397;371;42;191;768;250;338;107;10;6;6;6;11157;12;12
Landerd;809;818;973;412;273;312;32;105;246;167;354;51;4;4;5;3;7627;11;9
Landgraaf;3926;752;949;1499;474;226;74;412;382;1046;526;80;13;16;10;19;19952;21;20
Landsmeer;1060;681;257;628;480;363;66;237;160;149;114;87;12;7;7;4;3713;7;8
Langedijk;1964;1821;1051;1268;882;586;423;387;486;355;269;184;4;28;9;20;11958;24;12
Lansingerland;2742;4526;2726;2635;1434;1517;1710;624;881;666;313;275;111;37;21;23;24167;47;37
Laren;673;1641;506;558;263;435;62;197;132;97;62;140;8;4;5;4;3910;8;13
Leeuwarden;10483;4745;3989;4031;4815;2416;1994;1970;1162;1175;1689;651;97;111;75;50;56547;68;79
Leiden;9587;6027;2860;3871;10185;6070;1245;2725;1086;1053;1335;1763;358;129;141;34;45072;85;119
Leiderdorp;2149;1761;1031;1128;1208;841;363;400;438;279;246;231;61;14;23;14;10605;16;20
Leidschendam-Voorburg;4843;6054;2683;3075;2625;2683;698;1169;1075;957;679;571;117;40;52;36;28858;42;58
Lelystad;3993;2920;1681;3533;1628;1051;1276;969;1257;1260;954;310;376;61;39;72;35605;43;50
Leudal;2681;1064;2987;1197;557;593;84;337;436;579;280;125;3;8;14;14;17603;22;27
Leusden;2139;2132;1657;1117;1339;923;1128;433;396;232;385;266;14;23;19;10;11183;27;21
Lingewaard;3130;2554;1932;1610;1295;1038;192;434;683;431;592;216;30;16;23;8;22119;37;44
Lisse;1193;1475;1319;1214;498;560;819;281;445;275;196;96;11;17;13;13;9179;18;10
Lochem;2917;2541;2494;968;1513;1078;270;524;367;220;331;287;66;17;18;4;13447;28;19
Loon op Zand;1248;1200;1052;765;475;428;105;207;365;361;253;99;19;10;3;2;11727;11;10
Lopik;489;696;1051;592;168;143;1067;106;162;215;79;48;10;7;2;17;6264;14;12
Loppersum;744;295;662;195;395;107;411;165;93;85;210;42;1;13;4;11;4288;9;4
Losser;1099;844;2293;865;313;294;93;130;252;276;217;47;17;7;5;7;11161;9;13
Maasdriel;1228;1193;1104;1137;392;401;353;215;313;384;246;102;9;9;9;6;11587;13;7
Maasgouw;2002;634;1571;941;313;262;48;279;332;481;168;88;8;11;5;3;12494;25;23
Maassluis;1766;1554;1391;1458;537;497;632;342;528;458;312;127;420;13;8;18;14962;18;14
Maastricht;9776;3538;3260;3942;4966;2558;348;1601;1347;1986;1146;823;204;66;78;48;53292;109;54
Medemblik;2510;2354;2162;1909;931;733;588;475;834;526;407;226;40;25;18;31;20346;28;34
Meerssen;2237;769;898;730;477;331;41;247;208;387;162;75;10;7;9;5;8786;19;14
Meierijstad;4479;3717;4136;2255;1395;1406;118;580;1330;906;1278;351;294;34;40;12;39882;43;47
Meppel;2492;1692;1465;1211;1057;656;879;396;447;374;484;179;38;15;20;22;14625;17;23
Middelburg;3352;1694;1719;1313;1848;775;2854;796;556;441;565;292;118;43;24;38;20932;27;30
Midden-Delfland;1145;1561;1589;745;589;554;382;245;279;186;123;119;13;12;11;11;7263;15;9
Midden-Drenthe;2605;1659;2130;1234;868;539;711;388;426;327;433;121;7;21;15;11;15127;18;21
Midden-Groningen;4005;1853;1530;1877;1355;747;1374;671;729;796;1146;194;166;34;24;53;31917;27;27
Mill en Sint Hubert;491;432;1128;398;167;142;26;91;195;125;205;38;2;2;3;0;5320;6;7
Moerdijk;1788;1862;1586;1463;578;529;428;349;546;507;416;151;17;19;10;9;18860;19;23
Molenlanden;1784;2083;2917;1554;545;477;6035;333;453;403;295;99;9;19;10;56;15992;19;15
Montferland;2220;1608;2121;1505;629;559;139;318;528;560;355;90;32;15;15;8;18341;18;16
Montfoort;750;917;1017;528;353;325;757;99;187;148;83;95;10;5;6;2;5330;8;10
Mook en Middelaar;916;538;297;301;485;262;25;152;108;78;90;63;0;5;8;1;3035;9;9
Neder-Betuwe;855;615;707;830;197;152;3211;114;196;273;116;66;4;6;6;10;10056;15;10
Nederweert;1057;497;1734;571;229;216;17;109;277;225;159;51;3;5;4;2;8536;7;16
Nieuwegein;3768;2803;1774;2487;1945;1197;820;788;984;803;752;340;147;58;33;33;30066;28;27
Nieuwkoop;1295;1890;1913;1251;569;576;572;260;436;354;136;154;8;14;11;20;12804;24;17
Nijkerk;1775;2101;2606;1565;785;630;3447;310;487;442;228;186;86;19;15;32;17617;26;18
Nijmegen;13964;6892;3779;4198;16512;6989;813;3673;1531;1354;3121;1835;520;133;176;35;72456;88;139
Nissewaard;3980;3149;1898;4490;1131;970;941;820;1396;1685;1043;276;137;65;26;56;44333;63;51
Noardeast-Fryslân;2115;1641;3077;1449;748;378;2277;413;321;464;451;118;2;18;14;46;21680;20;13
Noord-Beveland;456;384;450;353;158;97;230;128;143;132;79;25;2;11;3;6;3309;4;5
Noordenveld;3104;1762;1312;1079;1314;726;664;426;361;342;454;146;1;27;21;15;13343;29;15
Noordoostpolder;2089;2248;3096;1765;800;510;2405;330;428;532;512;140;55;19;10;49;18998;23;18
Noordwijk;2110;3295;2704;2421;1148;909;282;510;747;547;352;299;26;22;29;8;17184;35;21
Nuenen, Gerwen en Nederwetten;1953;1554;1141;740;846;700;98;266;622;212;253;245;3;10;15;7;9621;3;18
Nunspeet;667;929;1401;1093;353;239;4662;238;256;269;175;57;10;11;5;24;10649;11;22
Oegstgeest;2074;2333;992;826;1332;1403;341;475;304;151;151;339;29;18;19;4;7058;12;15
Oirschot;1035;1030;1245;522;316;363;40;166;358;218;199;116;2;4;8;3;9280;16;11
Oisterwijk;1825;1805;1261;862;705;676;85;277;459;279;254;129;23;12;15;4;11961;7;16
Oldambt;2726;1162;1118;1506;700;365;599;445;448;640;914;103;12;44;15;25;20041;34;31
Oldebroek;624;533;1053;704;259;179;3234;104;176;228;126;44;3;5;2;40;10625;15;9
Oldenzaal;1952;1526;2485;1036;832;520;96;218;345;320;327;106;128;13;16;8;14908;26;10
Olst-Wijhe;1432;873;1453;487;674;377;152;217;217;148;165;78;18;9;8;4;8052;5;15
Ommen;802;1107;2023;569;339;262;964;153;183;162;105;69;1;6;4;22;7076;7;9
Oost Gelre;1683;1525;3227;929;504;496;67;197;406;205;326;98;23;6;7;9;13892;11;20
Oosterhout;3156;3057;1866;1955;1327;1199;192;487;760;696;586;249;163;22;30;16;27727;25;26
Ooststellingwerf;1859;1680;1177;1021;623;337;513;417;287;337;370;77;8;22;14;15;11797;6;12
Oostzaan;667;519;236;595;314;171;102;183;191;168;119;39;14;13;5;4;4293;9;6
Opmeer;687;741;678;496;198;192;49;107;236;135;115;60;1;6;6;3;5369;7;11
Opsterland;2259;1555;1324;817;841;588;1130;335;257;300;415;94;1;16;7;19;13436;13;16
Oss;4520;3978;3675;2970;2108;1597;197;674;1214;1002;2719;310;666;44;36;19;44699;47;45
Oude IJsselstreek;2698;1543;2793;1247;777;585;246;369;542;457;542;122;186;11;13;10;19249;25;25
Ouder-Amstel;1106;1047;501;525;697;590;122;254;209;112;102;140;18;8;23;5;4830;10;10
Oudewater;511;622;923;359;193;172;398;84;111;106;51;43;4;3;3;6;4288;3;4
Overbetuwe;2957;2474;2351;1504;1452;1120;895;492;522;478;422;225;43;24;14;11;21498;47;24
Papendrecht;1521;1553;1094;1371;566;431;1707;329;440;408;261;91;52;13;10;25;15221;18;17
Peel en Maas;2622;1458;3456;1373;588;441;58;269;511;645;330;111;33;7;10;9;22441;12;22
Pekela;651;227;313;452;171;46;152;105;127;239;385;15;3;26;3;6;6916;2;12
Pijnacker-Nootdorp;2890;4097;2506;2246;1655;1598;881;750;802;624;378;378;48;27;29;17;20537;38;36
Purmerend;4578;3069;1554;3939;1994;1295;417;1012;1430;1299;900;314;215;65;32;43;40593;55;55
Putten;662;1129;1692;985;292;248;2956;189;237;240;98;65;14;6;6;23;9747;11;9
Raalte;2089;1982;4455;955;895;671;273;240;393;257;277;144;35;13;12;6;17032;21;16
Reimerswaal;700;534;739;689;178;153;3587;129;227;304;144;39;9;9;2;7;8266;22;14
Renkum;2901;2093;1290;1160;2111;1202;470;684;389;296;294;317;27;24;18;11;12079;22;28
Renswoude;116;249;345;209;40;37;656;35;46;42;16;12;1;0;2;1;2017;4;4
Reusel-De Mierden;582;561;768;368;183;190;19;78;318;127;159;54;2;9;6;3;6711;16;7
Rheden;3391;2352;1705;1614;2034;1178;512;808;553;484;762;304;96;39;36;19;19010;29;27
Rhenen;963;935;766;833;596;365;1819;181;182;237;142;91;27;7;11;6;8103;13;11
Ridderkerk;1974;1678;1391;2203;630;523;2989;430;787;651;398;129;92;24;16;31;22569;27;25
Rijssen-Holten;1103;1200;3222;1206;367;313;5981;152;239;282;169;80;61;16;13;28;14048;31;12
Rijswijk;2966;2920;1469;2420;1849;1470;475;764;865;841;454;327;147;37;25;23;22743;35;27
Roerdalen;1765;537;1297;784;308;201;46;237;199;481;177;48;13;3;8;3;10357;10;19
Roermond;3988;1684;2190;1983;1349;794;129;638;585;1019;512;195;383;29;23;23;29239;33;46
Roosendaal;3909;3544;2542;2636;1610;1033;240;627;1138;1153;855;295;404;24;34;19;38595;46;47
Rotterdam;25150;21389;8437;18939;22239;14075;5573;7704;5790;6663;6052;4073;8560;335;265;262;304157;643;345
Rozendaal;158;260;87;58;87;91;19;40;27;12;6;12;0;0;1;2;381;5;3
Rucphen;681;697;702;933;192;210;43;163;283;710;164;42;9;9;5;3;13648;12;4
Saba;16;1;3;5;12;65;0;6;1;1;2;0;0;0;0;1;795;0;0
Schagen;3528;2897;1978;1823;1270;810;221;550;693;528;591;245;11;38;25;23;21468;25;36
Scherpenzeel;294;526;549;443;117;103;1374;45;75;103;42;21;3;3;3;6;3667;3;7
Schiedam;3456;2440;1406;3247;1735;1141;553;892;1146;1097;911;281;1353;49;37;21;35813;72;42
Schiermonnikoog;159;73;56;44;100;43;40;42;25;11;19;9;0;4;2;1;153;0;1
Schouwen-Duiveland;1987;1997;1799;1547;795;571;2237;523;580;442;424;165;10;17;23;19;14097;36;20
's-Gravenhage;29810;28752;10300;18981;25969;19217;4502;9369;5308;6646;4652;4367;4369;360;559;264;245196;784;320
's-Hertogenbosch;9721;8155;4365;4832;6635;4765;505;2057;2048;1714;2079;1146;506;92;112;52;71031;91;143
Simpelveld;1416;198;524;399;152;91;12;107;84;242;86;25;2;3;9;3;5043;7;9
Sint Anthonis;636;549;1314;404;212;243;30;86;208;90;201;54;1;2;5;1;5236;8;12
Sint Eustatius;6;3;83;1;10;38;3;1;2;3;1;0;1;1;1;1;1701;4;0
Sint-Michielsgestel;2051;1576;1412;774;827;720;74;297;335;283;373;172;4;10;19;5;13697;7;28
Sittard-Geleen;8596;2228;3566;3403;2222;1200;192;1130;1088;1940;1019;327;118;44;29;41;47752;51;67
Sliedrecht;980;825;824;942;280;201;2966;254;314;328;229;72;64;10;6;29;10719;11;15
Sluis;1456;1173;1200;887;383;293;204;255;392;360;273;117;7;12;12;8;10760;17;8
Smallingerland;4120;2062;2663;1820;1368;791;2628;571;544;638;898;179;29;26;26;73;25207;31;30
Soest;2872;3391;1920;1928;1692;1435;1067;754;662;566;325;350;284;28;28;33;18081;32;29
Someren;893;827;1070;600;255;223;29;115;1005;219;152;66;4;6;8;8;9634;9;18
Son en Breugel;1112;1167;845;493;457;500;80;223;399;123;149;150;2;6;7;5;7394;10;10
