Municipality;Yes;No;@Inv;@Abs
Reichenbach im Kandertal;964;310;25;1383
Beatenberg;343;166;6;364
Bönigen;567;333;4;956
Brienz (BE);640;418;23;1181
Brienzwiler;142;51;0;201
Därligen;90;55;2;172
Grindelwald;907;328;18;1430
Gsteigwiler;97;55;4;190
Gündlischwand;72;23;1;128
Habkern;147;45;0;289
Hofstetten bei Brienz;158;55;5;208
Interlaken;968;772;15;1797
Iseltwald;99;36;2;193
Lauterbrunnen;431;288;14;990
Leissigen;199;147;4;368
Lütschental;54;18;1;109
Matten bei Interlaken;786;479;11;1441
Niederried bei Interlaken;72;49;0;126
Oberried am Brienzersee;112;58;0;224
Ringgenberg (BE);611;295;8;1033
Saxeten;24;11;0;54
Schwanden bei Brienz;142;100;6;241
Unterseen;1192;804;31;1958
Wilderswil;584;269;10;950
Arni (BE);257;93;8;425
Biglen;335;270;5;733
Bowil;329;142;3;612
Brenzikofen;146;71;3;194
Freimettigen;99;65;2;163
Grosshöchstetten;791;730;23;1442
Häutligen;74;19;1;94
Herbligen;133;62;2;245
Kiesen;207;139;7;306
Konolfingen;1124;786;53;1679
Landiswil;153;54;2;320
Linden;347;97;3;582
Mirchel;141;52;1;250
Münsingen;2386;2743;65;3643
Niederhünigen;113;123;4;261
Oberdiessbach;812;472;21;1318
Oberthal;162;87;1;383
Oppligen;144;101;2;246
Rubigen;526;601;25;1023
Walkringen;429;236;6;785
Worb;2146;2236;45;3824
Zäziwil;333;228;10;657
Oberhünigen;68;22;2;149
Allmendingen;123;103;3;160
Wichtrach;851;630;19;1563
Ferenbalm;324;165;3;496
Frauenkappelen;296;246;8;436
Gurbrü;75;26;1;84
Kriechenwil;117;54;3;171
Laupen;495;524;45;1026
Mühleberg;650;438;8;1053
Münchenwiler;87;68;2;227
Neuenegg;1083;722;37;1801
Wileroltigen;79;28;4;169
Belprahon;70;60;1;96
Champoz;63;14;2;46
Corcelles (BE);53;20;1;101
Court;277;155;3;594
Crémines;99;72;3;216
Eschert;76;41;2;127
Grandval;58;43;0;181
Loveresse;58;44;2;139
Moutier;1366;1573;88;1784
Perrefitte;119;51;0;186
Reconvilier;392;261;11;817
Roches (BE);63;23;1;86
Saicourt;119;61;2;266
Saules (BE);68;12;2;33
Schelten;14;7;1;26
Seehof;15;4;0;38
Sorvilier;45;38;2;118
Tavannes;484;408;11;1345
Rebévelier;15;6;0;12
Petit-Val;104;67;1;139
Valbirse;675;493;26;1433
La Neuveville;478;760;15;1164
Nods;113;103;3;313
Plateau de Diesse;352;393;23;736
Aegerten;435;215;10;612
Bellmund;364;261;9;452
Brügg;842;505;16;1474
Bühl;121;49;12;159
Epsach;100;49;3;119
Hagneck;119;62;4;148
Hermrigen;90;20;2;100
Jens;195;126;1;202
Ipsach;906;677;15;1224
Ligerz;108;139;3;179
Merzligen;94;83;2;138
Mörigen;312;140;2;229
Nidau;1126;1011;37;2518
Orpund;649;271;27;932
Port;840;537;16;1099
Safnern;532;280;10;613
Scheuren;132;52;1;146
Schwadernau;171;82;3;232
Studen (BE);669;259;16;1049
Sutz-Lattrigen;326;199;17;454
Täuffelen;719;440;13;882
Walperswil;260;110;0;340
Worben;537;323;13;794
Twann-Tüscherz;252;243;3;416
Därstetten;285;45;1;343
Diemtigen;684;157;3;857
Erlenbach im Simmental;447;189;6;697
