Municipality;Yes;No;@Inv;@Abs
Breitenbach;667;365;6;1115
Büsserach;490;238;3;695
Erschwil;218;117;2;342
Fehren;163;63;0;233
Grindel;147;52;1;187
Himmelried;202;165;6;339
Kleinlützel;269;188;13;516
Meltingen;177;98;0;210
Nunningen;478;247;7;676
Zullwil;155;73;4;215
Basel;22118;29480;1028;40601
Bettingen;206;229;1;267
Riehen;4031;4357;177;5265
BS-Ausland-CH;876;1504;49;3832
Aesch (BL);1704;1416;42;3482
Allschwil;3506;3238;108;6333
Arlesheim;1274;1884;107;2775
Biel-Benken;622;639;12;947
Binningen;2631;2966;82;4377
Birsfelden;1721;1446;150;3519
Bottmingen;1109;1369;66;1673
Ettingen;1018;939;23;1546
Münchenstein;1973;2022;96;3774
Muttenz;3062;2888;76;6044
Oberwil (BL);1795;2041;53;3270
Pfeffingen;538;434;7;644
Reinach (BL);3730;3215;166;6091
Schönenbuch;319;259;10;460
Therwil;1764;1740;96;3091
Blauen;178;117;1;245
Brislach;415;145;12;568
Burg im Leimental;40;37;2;105
Dittingen;176;111;9;267
Duggingen;274;220;3;502
Grellingen;307;247;7;528
Laufen;843;716;15;1758
Liesberg;297;149;8;434
Nenzlingen;108;48;1;156
Roggenburg;79;24;3;118
Röschenz;486;278;13;617
Wahlen;324;135;4;539
Zwingen;380;234;18;809
Arisdorf;389;180;12;569
Augst;190;149;7;299
Bubendorf;878;705;23;1437
Frenkendorf;929;753;37;1937
Füllinsdorf;778;611;39;1386
Giebenach;210;117;6;338
Hersberg;63;44;2;127
Lausen;929;620;25;1519
Liestal;2000;2183;117;4357
Lupsingen;315;265;8;405
Pratteln;1992;1733;122;4338
Ramlinsburg;141;139;2;211
Seltisberg;312;278;4;433
Ziefen;284;251;7;579
Anwil;132;72;8;211
Böckten;190;132;8;252
Buckten;147;105;2;239
Buus;272;113;8;331
Diepflingen;126;63;1;219
Gelterkinden;1001;922;44;1977
Häfelfingen;74;39;1;82
Hemmiken;63;31;2;124
Itingen;409;295;4;602
Känerkinden;135;96;2;155
Kilchberg (BL);39;24;0;49
Läufelfingen;302;155;7;467
Maisprach;178;161;7;337
Nusshof;49;35;1;76
Oltingen;82;91;2;165
Ormalingen;442;281;7;720
Rickenbach (BL);136;94;1;185
Rothenfluh;171;101;8;301
Rümlingen;73;34;3;136
Rünenberg;193;149;7;280
Sissach;1133;1032;29;2138
Tecknau;150;71;1;265
Tenniken;198;154;6;338
Thürnen;324;131;2;491
Wenslingen;168;103;1;257
Wintersingen;147;87;2;259
Wittinsburg;110;55;2;125
Zeglingen;100;84;5;173
Zunzgen;554;323;8;903
Arboldswil;137;84;2;158
Bennwil;178;77;2;215
Bretzwil;231;65;5;263
Diegten;394;161;6;574
Eptingen;138;66;1;202
Hölstein;451;343;14;795
Lampenberg;151;90;3;152
Langenbruck;193;140;5;370
Lauwil;79;56;0;129
Liedertswil;52;14;0;57
Niederdorf;362;197;10;593
Oberdorf (BL);447;267;6;764
Reigoldswil;290;200;5;617
Titterten;108;82;3;131
Waldenburg;203;128;2;414
Gächlingen;232;160;30;189
Löhningen;408;249;16;258
Neunkirch;477;374;30;448
Büttenhardt;108;73;7;68
Dörflingen;272;175;19;155
Lohn (SH);246;125;18;106
Stetten (SH);300;238;25;173
Thayngen;1465;815;136;858
Bargen (SH);85;28;6;58
Beringen;1068;672;105;757
Buchberg;309;191;12;119
Merishausen;276;116;17;139
Neuhausen am Rheinfall;1934;1322;185;1920
Rüdlingen;223;160;5;145
Schaffhausen;7071;7076;731;7391
Beggingen;176;81;3;119
Schleitheim;483;280;33;417
Siblingen;202;146;5;223
Buch (SH);75;40;5;79
Hemishofen;122;74;5;98
Ramsen;354;168;8;304
Stein am Rhein;784;628;62;726
Hallau;594;324;18;481
Oberhallau;163;74;9;89
Trasadingen;154;98;9;154
Wilchingen;473;305;20;367
Herisau;2982;2351;80;4987
Hundwil;272;97;5;334
Schönengrund;156;68;4;143
Schwellbrunn;464;206;9;414
Stein (AR);361;252;6;429
Urnäsch;581;261;5;748
Waldstatt;452;281;11;416
Bühler;346;217;8;398
Gais;749;621;4;842
Speicher;822;940;33;1171
Teufen (AR);1377;1265;37;1650
Trogen;301;540;12;446
Grub (AR);237;179;9;305
Heiden;849;658;22;1140
Lutzenberg;315;138;7;431
Rehetobel;366;445;12;430
Reute (AR);168;131;4;210
Wald (AR);204;146;4;260
Walzenhausen;457;283;12;660
Wolfhalden;408;235;14;545
Appenzell;1103;712;72;1982
Gonten;368;147;10;565
Schlatt-Haslen;271;134;10;433
Oberegg;497;254;23;622
Schwende-Rüte;1360;601;48;1804
AI-Ausland-CH;33;51;3;165
Häggenschwil;280;201;10;338
Muolen;269;180;5;349
St. Gallen;10291;13083;615;20967
Wittenbach;1797;1237;49;2828
Berg (SG);211;136;8;247
Eggersriet;456;419;15;692
Goldach;1920;1182;52;2634
Mörschwil;864;746;29;866
Rorschach;1055;888;38;2207
Rorschacherberg;1414;914;44;1883
Steinach;626;409;11;1021
Tübach;248;239;9;374
Untereggen;250;154;4;288
Au (SG);1247;684;38;1811
Balgach;862;624;20;1193
Berneck;818;577;31;1005
Diepoldsau;1218;555;33;1703
Rheineck;608;333;10;836
St. Margrethen;942;442;29;1197
Thal;1429;719;29;1797
Widnau;1735;858;36;2405
Altstätten;2356;1297;78;3011
Eichberg;369;110;6;435
Marbach (SG);474;244;19;541
Oberriet (SG);2298;706;38;2554
Rebstein;804;443;17;1158
Rüthi (SG);491;176;4;624
Buchs (SG);1806;1239;67;3227
Gams;693;427;20;857
Grabs;1318;945;36;2170
Sennwald;1028;478;18;1417
Sevelen;818;482;18;1187
Wartau;1068;573;26;1314
Bad Ragaz;1007;640;32;1601
Flums;1083;325;14;1555
Mels;1971;864;29;2787
Pfäfers;329;187;3;552
Quarten;708;244;13;864
Sargans;995;739;31;1690
Vilters-Wangs;1031;521;21;1356
Walenstadt;1072;656;26;1666
Amden;409;230;6;609
Benken (SG);683;249;13;796
Kaltbrunn;872;400;16;1281
Schänis;868;369;17;1306
Weesen;318;266;11;486
Schmerikon;707;458;10;1006
Uznach;991;715;28;1644
Rapperswil-Jona;5335;4418;164;7742
Gommiswald;1272;561;30;1569
Eschenbach (SG);2200;817;43;2645
Ebnat-Kappel;1104;739;26;1552
Wildhaus-Alt St. Johann;587;339;15;944
Nesslau;882;494;23;1305
Lichtensteig;354;300;8;614
Wattwil;1689;1102;36;2474
Kirchberg (SG);1664;951;39;2212
Lütisburg;364;169;12;399
Mosnang;691;327;20;1047
Bütschwil-Ganterschwil;1108;474;23;1517
Neckertal;1515;797;43;2200
Degersheim;739;571;22;1160
Flawil;1715;1182;54;2763
Jonschwil;806;426;18;1180
Oberuzwil;1222;842;39;1738
Uzwil;2426;1471;72;3509
Niederbüren;416;153;2;407
Niederhelfenschwil;676;381;14;896
Oberbüren;1168;455;13;1215
Zuzwil (SG);1121;681;38;1292
Wil (SG);4775;3904;183;5189
Andwil (SG);453;286;20;541
Gaiserwald;1818;1395;58;2334
Gossau (SG);3897;2344;103;5394
Waldkirch;836;435;36;989
SG-Ausland-CH;1164;1315;34;3717
Vaz/Obervaz;454;397;23;930
Lantsch/Lenz;73;66;2;253
Schmitten (GR);40;37;2;125
Albula/Alvra;218;211;1;584
Surses;330;334;13;1128
Bergün Filisur;161;177;1;352
Brusio;244;96;7;579
Poschiavo;910;632;66;1209
Falera;99;116;3;212
Laax;218;225;11;515
Sagogn;98;111;6;298
Schluein;75;74;0;230
Vals;106;207;10;465
Lumnezia;380;308;12;1139
Ilanz/Glion;711;622;59;2038
Fürstenau;55;65;6;130
Rothenbrunnen;57;43;1;115
Scharans;176;151;6;294
Sils im Domleschg;154;113;8;342
Cazis;316;269;10;821
Flerden;31;51;1;84
Masein;65;98;6;165
Thusis;349;355;16;1038
Tschappina;28;34;3;49
Urmein;21;38;2;40
Safiental;166;172;8;402
Domleschg;303;425;15;711
Avers;44;24;1;72
Sufers;41;29;3;34
Andeer;143;143;16;317
Rongellen;15;5;0;15
Zillis-Reischen;81;59;2;164
Ferrera;28;11;0;30
Rheinwald;104;116;7;267
Muntogna da Schons;50;77;2;162
Bonaduz;460;370;14;1079
Domat/Ems;1323;923;48;2419
Rhäzüns;194;151;4;502
Felsberg;430;446;13;741
Flims;445;433;30;897
Tamins;190;233;7;427
Trin;175;257;16;445
Zernez;265;238;12;574
Samnaun;112;74;5;345
Scuol;624;728;28;1805
Valsot;109;117;10;457
Bever;110;126;7;230
Celerina/Schlarigna;155;189;10;506
Madulain;39;37;0;52
Pontresina;200;263;8;650
La Punt Chamues-ch;96;80;4;306
Samedan;340;470;24;1111
St. Moritz;769;785;47;1185
S-chanf;101;99;4;284
Sils im Engadin/Segl;57;107;6;268
Silvaplana;119;99;18;339
Zuoz;140;183;13;367
Bregaglia;271;241;27;687
Buseno;28;17;1;39
Castaneda;49;42;11;102
Rossa;46;16;2;50
Santa Maria in Calanca;33;11;4;49
Lostallo;203;84;7;207
Mesocco;283;118;16;502
Soazza;109;48;4;108
Cama;103;22;3;217
Grono;243;134;17;401
Roveredo (GR);546;285;42;738
San Vittore;174;89;11;244
Calanca;56;42;2;96
Val Müstair;264;265;18;741
Davos;1493;1611;81;3934
Fideris;87;85;7;275
Furna;34;23;1;90
Jenaz;245;138;6;473
Klosters;883;618;34;1675
Conters im Prättigau;67;20;0;85
Küblis;162;72;6;311
Luzein;335;153;9;679
Chur;5497;5675;411;13324
Churwalden;309;284;18;756
Arosa;535;447;22;1308
Tschiertschen-Praden;41;53;0;156
Trimmis;592;413;17;1190
Untervaz;389;259;12;963
Zizers;494;437;19;1332
Fläsch;110;107;5;248
Jenins;188;147;8;275
Maienfeld;463;436;23;993
Malans;357;421;18;795
Landquart;1372;940;65;3281
Grüsch;402;274;10;702
Schiers;443;313;32;963
Seewis im Prättigau;203;160;12;601
Breil/Brigels;271;320;19;875
Disentis/Mustér;322;337;36;916
Medel (Lucmagn);58;70;6;211
Sumvitg;152;185;11;672
Tujetsch;252;201;7;627
Trun;129;168;5;710
Obersaxen Mundaun;187;146;13;549
Aarau;3268;4273;116;5715
Biberstein;352;347;10;367
Buchs (AG);1178;911;22;1849
Densbüren;172;82;2;295
Erlinsbach (AG);758;618;25;1109
Gränichen;1481;886;24;2132
Hirschthal;348;217;4;492
Küttigen;1055;1248;32;1582
Muhen;867;447;11;1239
Oberentfelden;1456;878;37;2137
Suhr;1453;1287;36;2592
Unterentfelden;772;584;24;1085
Baden;2468;3933;106;4667
Bellikon;388;317;10;439
Bergdietikon;813;492;31;416
Birmenstorf (AG);538;384;12;770
Ennetbaden;390;881;23;766
Fislisbach;865;796;25;1661
Freienwil;181;193;3;231
Gebenstorf;800;713;18;1348
Killwangen;335;249;4;512
Künten;346;227;5;515
Mägenwil;402;204;10;608
Mellingen;772;562;11;1365
Neuenhof;1063;655;34;1974
Niederrohrdorf;676;554;14;1100
Oberrohrdorf;784;835;26;1096
Obersiggenthal;1211;1379;43;2039
Remetschwil;441;324;9;584
Spreitenbach;1148;642;29;2578
Stetten (AG);337;222;4;495
Turgi;354;345;16;723
Untersiggenthal;1193;1010;15;1758
Wettingen;3356;3557;90;5564
Wohlenschwil;315;220;8;434
Würenlingen;894;546;17;1167
Würenlos;1275;918;26;1646
Ehrendingen;869;599;18;1287
Arni (AG);393;307;7;480
Berikon;913;775;15;1437
Bremgarten (AG);1343;1085;27;2360
Büttikon;242;95;2;284
Dottikon;532;361;9;905
Eggenwil;223;148;12;226
Fischbach-Göslikon;361;168;10;482
Hägglingen;532;320;10;728
Jonen;390;311;7;535
Niederwil (AG);514;319;13;729
Oberlunkhofen;431;357;3;579
Oberwil-Lieli;594;435;7;573
Rudolfstetten-Friedlisberg;765;550;18;1332
Sarmenstorf;554;287;10;880
Tägerig;324;177;9;423
Uezwil;104;56;0;133
Unterlunkhofen;298;208;7;405
Villmergen;1236;552;20;1901
Widen;846;683;24;1046
Wohlen (AG);2402;1672;36;3833
Zufikon;896;630;13;1234
Islisberg;127;100;0;130
Auenstein;339;292;7;489
Birr;562;299;12;985
Birrhard;205;86;4;180
Brugg;1991;2103;62;3198
Habsburg;127;81;2;116
Hausen (AG);618;422;12;859
Lupfig;653;412;11;809
Mandach;88;32;2;100
Mönthal;111;60;0;157
Mülligen;223;152;3;292
Remigen;255;180;4;314
Riniken;310;280;10;394
Rüfenach;166;172;5;276
Thalheim (AG);235;106;2;239
Veltheim (AG);284;225;2;455
Villigen;459;284;7;567
Villnachern;346;275;8;428
Windisch;1004;1040;30;1763
Bözberg;382;256;13;493
Schinznach;507;371;12;664
Beinwil am See;687;480;20;915
Birrwil;235;181;4;315
Dürrenäsch;387;97;3;343
Gontenschwil;547;224;10;666
Holziken;323;95;3;462
Leimbach (AG);141;57;1;130
Leutwil;239;68;3;229
Menziken;1171;574;32;1832
Oberkulm;625;264;13;697
Reinach (AG);1359;670;19;2246
Schlossrued;244;67;4;309
Schmiedrued;283;99;22;460
Schöftland;816;485;20;1302
Teufenthal (AG);344;160;6;531
Unterkulm;610;321;8;817
Zetzwil;382;139;6;407
Eiken;368;237;10;758
Frick;825;689;21;1425
Gansingen;238;160;5;332
Gipf-Oberfrick;571;634;15;1094
Kaisten;497;360;15;866
Laufenburg;484;413;17;948
Münchwilen (AG);181;88;4;245
Oberhof;123;81;2;205
Oeschgen;215;106;2;312
Schwaderloch;151;63;2;225
Sisseln;250;111;5;527
Wittnau;261;191;2;376
Wölflinswil;240;148;9;316
Zeihen;227;167;5;301
Mettauertal;400;305;5;716
Böztal;598;361;11;787
Herznach-Ueken;481;338;11;659
Ammerswil;133;109;4;229
Boniswil;368;192;8;393
Brunegg;167;79;4;207
Dintikon;430;198;5;574
Egliswil;299;195;5;456
Fahrwangen;322;191;8;669
Hallwil;192;61;2;276
Hendschiken;203;128;2;333
Holderbank (AG);209;59;3;285
Hunzenschwil;670;264;10;1059
Lenzburg;1236;1485;41;2308
Meisterschwanden;702;391;12;729
Möriken-Wildegg;872;622;13;1175
Niederlenz;708;535;23;1190
Othmarsingen;499;308;2;705
Rupperswil;972;570;17;1326
Schafisheim;597;349;16;868
Seengen;807;563;13;1018
Seon;988;583;19;1401
Staufen;578;489;14;715
Abtwil;213;98;4;286
Aristau;304;171;9;420
Auw;311;172;7;593
Beinwil (Freiamt);265;111;6;329
Besenbüren;170;77;2;180
Bettwil;146;83;3;187
Boswil;579;263;11;916
Bünzen;244;145;5;328
Buttwil;242;161;7;411
Dietwil;291;134;5;411
Geltwil;37;39;2;47
Kallern;82;57;1;97
Merenschwand;700;458;13;833
Mühlau;270;116;3;328
Muri (AG);1222;907;18;2192
Oberrüti;298;174;9;431
Rottenschwil;217;107;4;235
Sins;868;523;12;1177
Waltenschwil;572;333;8;799
Hellikon;218;82;3;307
Kaiseraugst;818;606;22;1684
Magden;696;664;18;1097
Möhlin;1590;1057;26;3558
Mumpf;200;116;3;436
Obermumpf;216;109;4;388
Olsberg;71;79;3;139
Rheinfelden;1564;1704;53;3838
Schupfart;198;94;5;270
Stein (AG);429;247;11;884
Wallbach;399;219;12;665
Wegenstetten;222;150;8;401
Zeiningen;417;358;6;786
Zuzgen;169;108;5;312
Aarburg;968;629;26;1870
Bottenwil;199;102;5;304
Brittnau;887;562;22;1186
Kirchleerau;244;95;2;253
Kölliken;887;585;12;1332
Moosleerau;215;80;2;280
Murgenthal;643;276;18;1030
Oftringen;1995;1212;43;3723
Reitnau;371;167;8;534
Rothrist;1556;853;28;2826
Safenwil;766;344;13;1337
Staffelbach;274;116;7;374
Strengelbach;830;549;14;1420
Uerkheim;362;150;11;429
Vordemwald;431;287;11;604
Wiliberg;62;21;2;35
Zofingen;2031;2156;52;3399
Böttstein;730;291;5;886
Döttingen;661;341;13;931
Endingen;452;414;12;678
Fisibach;78;46;1;116
Full-Reuenthal;173;112;7;284
Klingnau;628;370;17;936
Koblenz;284;137;2;396
Leibstadt;294;99;5;378
Lengnau (AG);555;375;7;749
Leuggern;622;222;10;615
Mellikon;49;36;1;87
Schneisingen;326;204;4;429
Siglistorf;135;62;1;194
Tegerfelden;229;143;6;365
Zurzach;1293;906;32;2010
AG-Ausland-CH;1075;1428;39;3766
Arbon;2284;1729;182;3858
Dozwil;168;67;5;180
Egnach;914;563;78;1397
Hefenhofen;235;158;14;431
Horn;518;367;20;842
Kesswil;223;171;11;245
Roggwil (TG);655;390;40;890
Romanshorn;1531;1165;80;3102
Salmsach;233;170;12;402
Sommeri;142;63;15;150
Uttwil;388;234;26;523
Amriswil;2106;1175;154;3720
Bischofszell;1222;778;67;1383
Erlen;606;275;33;1096
Hauptwil-Gottshaus;420;184;5;638
Hohentannen;148;62;4;194
Kradolf-Schönenberg;646;350;17;1079
Sulgen;810;505;61;819
Zihlschlacht-Sitterdorf;501;205;8;708
Basadingen-Schlattingen;423;198;26;528
Diessenhofen;649;396;10;939
Schlatt (TG);405;181;9;520
Aadorf;1778;1047;171;2576
Felben-Wellhausen;469;275;33;839
Frauenfeld;3926;3617;183;7245
Gachnang;749;469;35;1086
Hüttlingen;192;118;9;283
Matzingen;442;285;14;853
Neunforn;251;132;3;346
Stettfurt;265;162;9;349
Thundorf;290;159;7;490
Uesslingen-Buch;273;144;9;377
Warth-Weiningen;336;193;5;392
Altnau;332;283;6;646
Bottighofen;388;338;23;516
Ermatingen;523;381;20;814
Gottlieben;46;57;4;63
Güttingen;323;186;16;412
Kemmental;487;210;20;802
Kreuzlingen;2140;1773;209;4173
Langrickenbach;282;118;3;354
Lengwil;280;153;5;427
Münsterlingen;429;357;9;696
Tägerwilen;578;422;58;1086
Wäldi;253;88;11;350
Affeltrangen;611;213;21;746
Bettwiesen;215;122;16;329
Bichelsee-Balterswil;622;318;26;884
Braunau;184;73;9;194
Eschlikon;824;557;39;1318
Fischingen;662;335;28;839
Lommis;271;126;5;366
Münchwilen (TG);940;483;45;1547
Rickenbach (TG);441;236;14;793
Schönholzerswilen;213;93;3;229
Sirnach;1250;768;92;2292
Tobel-Tägerschen;355;105;23;462
Wängi;823;470;89;1433
Wilen (TG);414;320;11;646
Wuppenau;253;133;6;351
Berlingen;175;144;7;250
Eschenz;340;220;5;573
Herdern;191;137;18;326
Homburg;364;176;15;548
Hüttwilen;330;236;22;452
Mammern;109;98;2;138
Müllheim;481;248;62;975
Pfyn;629;54;10;659
Raperswilen;131;29;2;126
Salenstein;290;176;18;328
Steckborn;577;474;51;1128
Wagenhausen;362;178;12;531
Amlikon-Bissegg;333;124;7;462
Berg (TG);734;366;16;983
Birwinken;343;118;12;444
Bürglen (TG);660;300;22;1080
Bussnang;533;246;9;677
Märstetten;569;346;22;752
Weinfelden;2045;1643;113;3141
Wigoltingen;446;239;14;832
TG-Ausland-CH;476;545;20;1315
Arbedo-Castione;765;445;38;1278
Bellinzona;6658;4894;329;13198
Cadenazzo;350;159;8;692
Isone;144;25;2;133
Lumino;311;152;12;434
Sant'Antonino;408;164;12;729
Acquarossa;317;174;19;938
Blenio;360;175;11;847
Serravalle;541;228;7;938
Airolo;390;150;7;531
Bedretto;21;12;0;27
Bodio;149;71;7;249
Dalpe;50;23;2;80
Faido;713;417;33;1019
Giornico;147;80;8;321
Personico;56;43;1;134
Pollegio;96;57;4;224
Prato (Leventina);96;53;4;135
Quinto;203;143;5;375
Ascona;964;597;31;1867
Brione sopra Minusio;112;85;4;208
Brissago;366;212;12;775
Gordola;759;436;17;1717
Lavertezzo;165;113;7;434
Locarno;2062;1387;94;5476
Losone;1155;661;37;2311
Mergoscia;54;35;1;74
Minusio;1224;935;53;2475
Muralto;463;362;13;1035
Orselina;129;142;4;262
Ronco sopra Ascona;149;100;8;229
Tenero-Contra;434;275;17;838
Onsernone;139;140;9;477
Cugnasco-Gerra;512;316;21;1042
Agno;598;345;11;1328
Aranno;42;59;1;116
Arogno;188;123;5;346
Astano;64;50;2;133
Bedano;305;153;5;461
Bedigliora;103;92;3;295
Bioggio;482;308;12;875
Bissone;154;71;0;274
Brusino Arsizio;104;73;1;190
Cademario;151;75;4;252
Cadempino;257;129;13;458
Canobbio;380;214;10;657
Caslano;654;333;23;1350
Comano;458;352;12;610
Cureglia;267;236;6;415
Curio;99;86;3;221
Grancia;95;25;2;136
Gravesano;256;133;7;418
Lamone;243;131;13;445
Lugano;9090;5806;270;18558
Magliaso;332;135;9;507
Manno;245;178;11;399
Massagno;781;711;37;1630
Melide;254;160;7;489
Mezzovico-Vira;267;96;9;426
Miglieglia;51;31;4;119
Morcote;136;58;7;222
Muzzano;177;127;2;267
Neggio;67;53;1;125
Novaggio;117;122;3;373
Origlio;273;196;9;409
Paradiso;412;216;21;918
Ponte Capriasca;324;218;15;595
Porza;332;193;10;433
Pura;264;162;11;523
Savosa;387;228;13;590
Sorengo;277;237;15;436
Capriasca;1220;977;45;2360
Torricella-Taverne;481;296;11;937
Vernate;125;65;2;168
Vezia;370;209;20;568
Vico Morcote;71;24;1;84
Collina d'Oro;873;562;27;1259
Alto Malcantone;273;174;7;570
Monteceneri;774;372;35;1489
Tresa;662;374;47;1196
Val Mara;485;297;29;914
Balerna;610;349;44;1246
Castel San Pietro;479;302;15;751
Chiasso;1218;597;28;2605
Coldrerio;637;306;20;877
Mendrisio;2633;1931;120;5153
Morbio Inferiore;911;471;27;1482
Novazzano;598;246;24;876
Riva San Vitale;570;303;8;897
Stabio;734;470;33;1521
Vacallo;555;334;25;1062
Breggia;416;280;9;860
Biasca;882;428;9;1829
Riviera;594;321;27;1259
Bosco/Gurin;10;12;1;22
Campo (Vallemaggia);18;2;1;31
Cerentino;9;9;1;34
Cevio;237;139;17;491
Linescio;16;6;0;20
Maggia;445;290;15;1012
Lavizzara;120;51;5;283
Avegno Gordevio;295;179;6;525
Terre di Pedemonte;544;419;18;839
Centovalli;240;150;23;523
Gambarogno;834;560;39;2028
Verzasca;156;73;4;376
Aigle;1184;1088;45;2318
Bex;922;956;33;1906
Chessel;91;60;2;86
Corbeyrier;93;74;2;112
Gryon;167;189;10;334
Lavey-Morcles;163;118;3;296
Leysin;239;276;11;669
Noville;149;111;6;194
Ollon;953;1018;30;1695
Ormont-Dessous;182;116;7;459
Ormont-Dessus;231;249;5;501
Rennaz;84;68;0;201
Roche (VD);172;113;3;338
Villeneuve (VD);616;540;21;1267
Yvorne;164;187;5;337
Aubonne;354;666;16;948
Ballens;98;90;1;103
Berolle;30;60;1;86
Bière;256;181;7;489
Bougy-Villars;71;81;6;113
Féchy;102;188;2;146
Gimel;249;278;5;545
Longirod;52;65;2;154
Marchissy;29;80;1;156
Mollens (VD);63;39;1;76
Saint-George;97;172;4;256
Saint-Livres;103;103;2;196
Saint-Oyens;59;45;2;95
Saubraz;55;42;1;103
Avenches;362;442;12;1016
Cudrefin;197;196;6;440
Faoug;107;130;1;255
Vully-les-Lacs;419;469;9;813
Bettens;56;64;5;89
Bournens;55;54;1;85
Boussens;173;142;3;261
La Chaux (Cossonay);56;99;2;128
Chavannes-le-Veyron;25;26;2;32
Chevilly;25;63;1;79
Cossonay;396;596;18;1000
Cuarnens;51;96;2;118
Daillens;149;150;2;264
Dizy;36;45;2;63
Eclépens;170;211;2;251
Ferreyres;41;65;2;97
Gollion;90;122;0;224
Grancy;46;89;1;123
L'Isle;149;173;3;376
Lussery-Villars;54;72;2;122
Mauraz;7;20;1;11
Mex (VD);99;125;1;189
Moiry;39;69;2;69
Mont-la-Ville;89;64;0;105
Montricher;139;165;1;258
Orny;48;64;2;124
Penthalaz;416;507;7;899
Penthaz;252;232;5;478
Pompaples;99;118;5;234
La Sarraz;255;352;6;636
Senarclens;68;91;0;108
Sullens;189;152;1;251
Vufflens-la-Ville;181;253;2;331
Assens;243;269;3;439
Bercher;156;216;3;344
Bottens;169;184;5;405
Bretigny-sur-Morrens;120;131;4;229
Cugy (VD);315;468;9;635
Echallens;639;906;35;1622
Essertines-sur-Yverdon;167;137;3;285
Etagnières;153;186;2;257
Fey;71;111;8;194
Froideville;312;349;5;505
Morrens (VD);179;235;9;261
Oulens-sous-Echallens;89;121;4;134
Pailly;92;70;0;139
Penthéréaz;48;75;2;137
Poliez-Pittet;142;111;5;241
Rueyres;51;36;2;70
Saint-Barthélemy (VD);124;137;2;208
Villars-le-Terroir;175;131;3;260
Vuarrens;108;108;3;301
Montilliez;287;270;7;382
Goumoëns;181;156;2;260
Bonvillars;103;89;2;152
Bullet;138;102;2;214
Champagne;126;155;1;231
Concise;128;160;5;237
Corcelles-près-Concise;30;69;0;97
Fiez;63;94;1;104
Fontaines-sur-Grandson;40;26;2;27
Giez;60;74;3;108
Grandevent;49;55;0;45
Grandson;415;610;14;964
Mauborget;22;23;0;18
Mutrux;27;22;1;48
Novalles;25;32;0;20
Onnens (VD);60;96;2;147
Provence;62;48;1;141
Sainte-Croix;720;789;20;1598
Tévenon;115;141;3;238
Belmont-sur-Lausanne;398;699;14;781
Cheseaux-sur-Lausanne;554;686;18;1147
Crissier;709;793;17;1577
Epalinges;973;1882;47;2133
Jouxtens-Mézery;184;366;7;306
Lausanne;10667;20227;630;31533
Le Mont-sur-Lausanne;805;1100;29;1548
Paudex;190;280;3;322
Prilly;1238;1561;129;2918
Pully;2044;3657;154;4236
Renens (VD);1578;2026;50;4083
Romanel-sur-Lausanne;469;571;12;1030
Chexbres;309;455;13;557
Forel (Lavaux);329;333;9;624
Lutry;1194;2050;79;2381
Puidoux;313;448;15;737
Rivaz;50;95;3;86
Saint-Saphorin (Lavaux);40;104;0;88
Savigny;445;717;12;916
Bourg-en-Lavaux;675;1252;33;1276
Aclens;69;95;2;121
Bremblens;74;94;0;144
Buchillon;91;143;4;133
Bussigny;913;1269;27;2046
Chavannes-près-Renens;523;644;26;1411
Chigny;33;64;0;78
Clarmont;19;39;1;38
Denens;89;169;2;169
Denges;183;282;5;389
Echandens;356;448;14;609
Echichens;325;566;10;627
Ecublens (VD);1203;1297;50;2569
Etoy;240;466;11;663
Lavigny;88;149;1;203
Lonay;342;469;17;679
Lully (VD);92;193;2;197
Lussy-sur-Morges;47;150;4;168
Morges;1596;2578;83;3999
Préverenges;639;973;28;1160
Romanel-sur-Morges;70;121;2;137
Saint-Prex;542;766;15;1345
Saint-Sulpice (VD);494;591;10;685
Tolochenaz;210;287;3;480
Vaux-sur-Morges;31;47;1;28
Villars-Sainte-Croix;120;129;1;175
Villars-sous-Yens;88;133;2;161
Vufflens-le-Château;93;187;2;190
Vullierens;56;118;4;124
Yens;148;242;4;285
Hautemorges;475;767;15;1099
Boulens;52;63;1;81
Bussy-sur-Moudon;43;35;0;67
Chavannes-sur-Moudon;52;39;1;64
Curtilles;57;44;3;103
Dompierre (VD);53;46;0;87
Hermenches;40;71;2;131
Lovatens;32;22;1;51
Lucens;406;428;14;966
Moudon;478;505;24;1309
Ogens;70;46;1;74
Prévonloup;17;22;0;51
Rossenges;12;6;0;19
Syens;24;24;0;29
Villars-le-Comte;28;23;0;60
Vucherens;95;94;2;178
Montanaire;412;446;8;712
Arnex-sur-Nyon;18;29;2;28
Arzier-Le Muids;311;356;10;590
Bassins;181;166;4;286
Begnins;214;287;6;490
Bogis-Bossey;81;149;2;214
Borex;107;164;4;212
Chavannes-de-Bogis;129;145;2;249
Chavannes-des-Bois;50;88;2;129
Chéserex;193;256;6;272
Coinsins;58;72;3;106
Commugny;355;419;8;497
Coppet;287;489;8;590
Crans (VD);218;384;5;462
Crassier;128;214;12;197
Duillier;117;204;9;270
Eysins;116;214;2;341
Founex;276;467;7;624
Genolier;240;350;2;403
Gingins;132;203;9;293
Givrins;132;191;1;224
Gland;1158;1661;25;3022
Grens;39;85;2;81
Mies;144;307;9;389
Nyon;1735;2932;80;4544
Prangins;405;801;11;960
La Rippe;95;204;9;289
Saint-Cergue;225;278;6;652
Signy-Avenex;59;94;4;106
