;BDP;CSP;CVP;EDU;EVP;FDP;FGA;GLP;GPS;LPS;Lega;MCR;EàG;SD;SP;SVP;Übrige;@blank;@invalid;@abstension
Gottlieben;31;;58;1;20;119;;64;131;;;;;;50;144;;0;3;67
Güttingen;58;;551;83;47;284;;301;352;;;;;;390;1211;;0;9;485
Kemmental;104;;429;80;107;305;;466;280;;;;;;415;1939;;0;20;976
Kreuzlingen;290;;2699;211;512;2908;;1688;3018;;;;;;4760;4782;;4;76;4979
Langrickenbach;73;;341;141;46;152;;169;261;;;;;;180;1112;;0;4;437
Lengwil;46;;327;130;68;147;;195;287;;;;;;299;901;;0;21;568
Münsterlingen;82;;476;106;99;622;;347;764;;;;;;757;1406;;0;12;988
Tägerwilen;110;;897;117;233;762;;592;661;;;;;;856;1509;;0;32;1425
Wäldi;66;;173;24;59;119;;112;122;;;;;;156;1143;;2;8;350
Affeltrangen;174;;413;147;85;278;;239;297;;;;;;278;2336;;0;24;973
Bettwiesen;60;;262;9;33;159;;120;94;;;;;;118;812;;3;5;497
Bichelsee-Balterswil;131;;1026;113;87;593;;369;517;;;;;;376;1926;;0;18;1147
Braunau;72;;153;28;55;102;;121;166;;;;;;121;1021;;1;0;273
Eschlikon;172;;938;217;220;1573;;673;996;;;;;;762;2747;;4;30;1699
Fischingen;100;;1259;104;37;524;;282;511;;;;;;338;2331;;0;17;1095
Lommis;112;;249;53;58;224;;156;187;;;;;;194;1165;;0;10;450
Münchwilen (TG);244;;1122;122;172;1128;;596;933;;;;;;761;3036;;3;20;2109
Rickenbach (TG);74;;450;60;44;393;;172;189;;;;;;289;1164;;2;8;976
Schönholzerswilen;77;;240;11;62;100;;68;117;;;;;;103;750;;0;24;304
Sirnach;202;;1982;280;260;1310;;624;989;;;;;;1136;4062;;1;44;2964
Tobel-Tägerschen;108;;349;35;42;131;;120;179;;;;;;167;1474;;0;16;604
Wängi;273;;1282;357;190;890;;714;747;;;;;;745;2939;;1;61;1820
Wilen (TG);113;;738;59;127;523;;412;425;;;;;;404;1290;;0;14;989
Wuppenau;99;;335;69;86;278;;157;139;;;;;;132;1120;;0;5;369
Berlingen;35;;166;33;107;191;;121;324;;;;;;265;596;;0;6;261
Eschenz;47;;495;57;57;430;;278;251;;;;;;303;1189;;5;25;638
Herdern;40;;551;36;34;236;;236;139;;;;;;139;933;;0;13;384
Homburg;95;;406;58;84;173;;163;216;;;;;;232;1976;;1;11;509
Hüttwilen;129;;529;52;84;481;;338;443;;;;;;326;1398;;0;21;562
Mammern;30;;174;4;3;211;;86;101;;;;;;129;450;;0;7;180
Müllheim;152;;684;101;55;517;;385;420;;;;;;406;1966;;2;34;1179
Pfyn;118;;305;103;78;279;;236;340;;;;;;287;1781;;1;10;796
Raperswilen;47;;88;35;6;33;;25;38;;;;;;34;684;;0;0;139
Salenstein;41;;281;17;22;290;;172;361;;;;;;272;944;;0;6;412
Steckborn;114;;569;49;108;759;;469;892;;;;;;1006;2026;;2;14;1301
Wagenhausen;64;;143;47;64;258;;208;359;;;;;;288;1444;;3;12;595
Amlikon-Bissegg;130;;262;101;52;194;;163;160;;;;;;167;1556;;3;10;507
Berg (TG);104;;897;372;230;651;;531;502;;;;;;480;3020;;4;20;1155
Birwinken;107;;269;124;100;93;;190;249;;;;;;217;1392;;1;5;469
Bürglen (TG);141;;595;253;129;413;;400;383;;;;;;667;2321;;3;13;1380
Bussnang;196;;411;158;50;238;;336;357;;;;;;401;2378;;0;14;874
Märstetten;249;;632;123;150;603;;718;386;;;;;;626;2257;;1;34;982
Weinfelden;443;;2644;879;734;2381;;2272;1757;;;;;;2864;6392;;5;61;4020
Wigoltingen;140;;415;123;130;348;;357;408;;;;;;481;1947;;2;13;883
Arbedo-Castione;;;1709;51;;2323;;115;1193;;1773;;40;;2104;1028;395;22;13;1609
Bellinzona;;;16450;556;;23527;;685;12052;;12614;;768;;17493;9572;3155;248;172;14023
Cadenazzo;;;659;77;;1484;;24;326;;894;;2;;465;463;97;9;12;804
Isone;;;638;0;;239;;16;54;;318;;1;;50;232;24;7;2;95
Lumino;;;1002;16;;1137;;35;505;;445;;29;;863;610;103;10;16;382
Sant'Antonino;;;1339;49;;1546;;29;416;;721;;9;;586;683;174;30;16;776
Acquarossa;;;1351;44;;755;;31;498;;847;;17;;663;478;145;8;2;826
Blenio;;;963;19;;1026;;20;384;;942;;9;;838;931;195;13;2;744
Serravalle;;;1599;50;;1304;;83;623;;1480;;32;;915;892;128;7;18;927
Airolo;;;1851;18;;1060;;45;156;;886;;15;;360;586;103;9;4;350
Bedretto;;;133;0;;54;;0;5;;101;;0;;39;82;2;1;0;48
Bodio;;;895;37;;172;;15;128;;253;;1;;255;152;35;5;0;188
Dalpe;;;248;7;;158;;18;74;;51;;1;;61;149;30;1;1;50
Faido;;;2831;21;;1315;;46;734;;1295;;60;;1237;917;219;16;9;970
Giornico;;;585;8;;297;;0;154;;433;;10;;255;144;16;18;1;281
Personico;;;279;0;;207;;3;95;;188;;9;;209;30;28;2;0;104
Pollegio;;;268;16;;132;;3;153;;331;;9;;590;177;17;4;3;217
Prato (Leventina);;;266;8;;391;;8;122;;211;;8;;112;116;28;1;3;118
Quinto;;;673;16;;926;;5;183;;582;;10;;289;381;81;9;3;273
Ascona;;;2202;215;;3805;;185;2195;;1406;;114;;1104;1600;368;24;23;1798
Brione (Verzasca);;;116;0;;54;;0;65;;81;;8;;115;45;60;3;0;89
Brione sopra Minusio;;;279;33;;345;;45;135;;208;;16;;113;183;21;5;1;170
Brissago;;;650;83;;1123;;50;498;;773;;56;;736;844;198;12;9;641
Corippo;;;35;0;;0;;0;0;;0;;8;;0;1;0;0;0;7
Frasco;;;62;1;;7;;0;47;;92;;8;;32;58;43;1;2;56
Gordola;;;3315;169;;1801;;70;1178;;1880;;83;;1952;1274;385;31;26;1577
Lavertezzo;;;695;23;;481;;3;294;;434;;4;;361;348;76;3;7;444
Locarno;;;4905;326;;5940;;317;5487;;4496;;423;;4543;3020;1392;45;80;5767
Losone;;;2262;164;;2540;;127;2321;;2379;;143;;1835;2528;580;44;33;2439
Mergoscia;;;20;24;;72;;13;99;;62;;8;;139;73;90;2;0;98
Minusio;;;2837;217;;3556;;317;3048;;3156;;202;;2748;1853;643;36;35;2352
Muralto;;;1929;211;;909;;32;905;;1009;;114;;747;856;247;10;9;903
Orselina;;;299;32;;476;;112;400;;259;;6;;250;233;129;7;6;260
Ronco sopra Ascona;;;123;24;;291;;25;238;;210;;14;;284;347;100;4;4;204
Sonogno;;;39;0;;9;;0;33;;20;;0;;61;34;29;1;1;54
Tenero-Contra;;;1097;90;;1131;;65;857;;1122;;40;;1222;835;192;14;9;1142
Vogorno;;;144;16;;132;;8;143;;108;;0;;138;97;46;0;1;145
Onsernone;;;205;49;;459;;21;945;;330;;11;;280;208;50;2;6;456
Cugnasco-Gerra;;;1688;81;;1036;;88;1083;;909;;63;;1147;838;318;28;14;1025
Agno;;;1650;122;;1382;;155;746;;1761;;86;;1088;1372;372;17;28;1379
Aranno;;;142;0;;146;;13;229;;143;;0;;153;68;46;1;1;148
Arogno;;;299;13;;585;;30;626;;668;;74;;513;339;94;2;3;343
Astano;;;73;0;;74;;35;232;;118;;11;;139;179;76;2;0;135
Bedano;;;498;60;;751;;7;408;;848;;16;;556;773;183;10;7;510
Bedigliora;;;300;8;;192;;36;325;;272;;39;;308;272;101;4;2;277
Bioggio;;;1209;70;;1470;;65;749;;1537;;40;;711;1043;259;11;17;913
Bissone;;;338;10;;374;;9;153;;453;;25;;297;298;91;6;0;235
Brusino Arsizio;;;289;9;;215;;0;189;;244;;31;;249;115;40;1;1;172
Cademario;;;199;25;;427;;8;199;;362;;32;;243;318;83;4;0;279
Cadempino;;;579;50;;1059;;13;312;;713;;33;;371;635;87;11;6;431
Canobbio;;;1600;9;;964;;43;466;;795;;3;;633;734;125;9;8;729
Caslano;;;1558;292;;1789;;117;1048;;1453;;78;;1269;1510;386;13;20;1416
Comano;;;711;47;;2371;;81;1041;;839;;36;;1246;665;226;14;6;508
Croglio;;;377;114;;344;;21;291;;255;;9;;283;415;80;2;2;383
Cureglia;;;893;40;;1141;;29;442;;602;;10;;431;511;140;11;8;440
Curio;;;255;25;;124;;23;232;;275;;16;;177;380;70;0;0;243
Grancia;;;248;16;;141;;8;43;;182;;2;;58;91;42;2;3;183
Gravesano;;;379;69;;967;;31;312;;853;;17;;243;424;95;6;3;462
Lamone;;;613;13;;752;;68;267;;733;;40;;388;409;153;0;7;486
Lugano;;;17131;1250;;24916;;1240;13645;;25202;;1107;;17048;16106;4853;177;286;18474
Magliaso;;;581;57;;789;;64;392;;834;;38;;521;578;102;13;7;575
Manno;;;755;49;;717;;33;437;;835;;3;;300;583;90;13;3;392
Maroggia;;;293;24;;293;;9;195;;240;;19;;271;154;72;0;2;185
Massagno;;;3422;181;;1718;;155;1386;;1607;;82;;1648;1156;411;20;21;1676
Melano;;;461;14;;608;;19;334;;650;;0;;417;417;113;3;3;473
Melide;;;489;62;;1112;;32;428;;569;;20;;580;465;173;4;2;479
Mezzovico-Vira;;;1024;36;;777;;14;227;;918;;0;;381;534;129;13;7;400
Miglieglia;;;49;0;;90;;2;128;;136;;8;;151;61;18;3;0;144
Monteggio;;;306;24;;302;;14;220;;289;;33;;218;595;128;11;2;309
Morcote;;;139;36;;581;;27;182;;250;;3;;219;178;36;2;1;186
Muzzano;;;368;48;;610;;67;366;;602;;56;;485;397;94;19;5;161
Neggio;;;352;0;;174;;3;161;;160;;2;;139;160;35;1;2;112
Novaggio;;;253;8;;422;;17;307;;459;;35;;413;382;82;4;2;334
Origlio;;;380;21;;969;;90;610;;762;;4;;739;622;195;10;2;459
Paradiso;;;673;81;;1571;;30;648;;1064;;58;;542;636;239;6;19;934
Ponte Capriasca;;;405;44;;1153;;67;773;;1006;;47;;839;632;200;17;11;638
Ponte Tresa;;;206;32;;526;;28;145;;306;;0;;138;372;111;4;4;261
Porza;;;842;28;;1236;;56;480;;608;;15;;457;574;155;12;2;441
Pura;;;840;128;;575;;34;419;;663;;89;;568;581;161;8;9;408
Rovio;;;168;16;;333;;35;524;;501;;37;;369;289;85;6;4;263
Savosa;;;1260;26;;866;;108;677;;813;;33;;541;699;229;7;7;564
Sessa;;;386;41;;248;;27;267;;217;;51;;239;308;85;5;0;257
Sorengo;;;1066;16;;982;;106;476;;455;;89;;647;455;125;1;3;479
Capriasca;;;3330;150;;2980;;159;2984;;3461;;137;;3487;1877;828;34;31;2494
Torricella-Taverne;;;880;93;;1430;;47;817;;1533;;65;;742;897;277;13;17;934
Vernate;;;168;12;;328;;69;169;;176;;2;;182;176;71;6;0;229
Vezia;;;619;18;;1362;;72;529;;872;;14;;498;723;166;11;5;576
Vico Morcote;;;80;9;;243;;20;128;;136;;1;;86;95;36;2;1;105
Collina d'Oro;;;1701;223;;3530;;321;1201;;2430;;55;;1241;1646;469;29;16;1096
Alto Malcantone;;;762;52;;700;;57;698;;571;;50;;784;684;133;14;1;505
Monteceneri;;;2364;119;;3533;;65;761;;1986;;33;;1161;1391;422;37;25;1446
Balerna;;;1726;132;;1491;;9;1257;;1421;;82;;1232;782;376;30;13;1011
Castel San Pietro;;;1797;58;;1098;;67;1024;;1323;;56;;839;828;213;19;12;729
Chiasso;;;2125;225;;3053;;175;1988;;4211;;129;;2654;1425;652;24;33;2255
Coldrerio;;;917;206;;2208;;58;1055;;1695;;57;;1237;1048;281;26;7;936
Mendrisio;;;11197;372;;9026;;408;4891;;6561;;470;;5046;4284;1373;89;50;4690
Morbio Inferiore;;;2106;129;;1777;;112;1247;;2754;;85;;1651;1336;537;27;17;1431
Novazzano;;;1850;97;;1563;;109;676;;1591;;82;;769;755;256;25;16;732
Riva San Vitale;;;2077;53;;1129;;17;863;;1444;;96;;906;865;157;13;13;862
Stabio;;;1858;223;;2469;;51;1242;;2177;;99;;1535;1062;533;38;28;1537
Vacallo;;;1952;279;;1509;;50;895;;1732;;94;;1461;759;340;16;14;940
Breggia;;;1485;59;;1301;;40;1073;;837;;51;;878;635;253;13;10;730
Biasca;;;2152;49;;2706;;25;1058;;2356;;77;;2361;1244;391;35;18;1680
Riviera;;;2723;54;;1700;;5;645;;1679;;61;;1245;545;250;27;8;1264
Bosco/Gurin;;;25;0;;37;;8;15;;2;;8;;24;22;23;0;0;24
Campo (Vallemaggia);;;32;9;;20;;0;73;;28;;0;;11;35;8;0;0;34
Cerentino;;;21;0;;30;;0;12;;6;;0;;28;36;21;0;0;27
Cevio;;;688;29;;509;;35;554;;387;;10;;397;333;211;15;6;419
Linescio;;;7;0;;85;;0;27;;16;;8;;5;12;0;0;2;21
Maggia;;;1586;41;;1715;;68;981;;1017;;56;;784;680;238;11;16;985
Lavizzara;;;561;8;;238;;8;123;;235;;11;;169;333;99;8;0;196
Avegno Gordevio;;;1006;18;;599;;54;880;;455;;65;;646;436;167;15;13;523
Terre di Pedemonte;;;1387;24;;1493;;257;1990;;1010;;52;;1204;656;365;18;13;832
Centovalli;;;413;17;;519;;76;665;;673;;30;;431;296;172;4;6;523
Gambarogno;;;2212;128;;2578;;117;1430;;1527;;145;;1763;1422;516;20;19;2042
Aigle;98;;606;482;533;10496;;1878;4789;;;;1470;8;6073;5338;800;16;3;3118
Bex;127;;627;151;231;5941;;2068;4533;;;;1295;21;7299;6943;738;6;77;2627
Chessel;5;;94;0;42;658;;99;456;;;;59;3;240;680;59;3;3;153
Corbeyrier;5;;16;4;5;436;;89;624;;;;273;8;558;973;78;3;2;149
Gryon;22;;424;4;7;1705;;518;1177;;;;177;2;972;1300;109;1;1;443
Lavey-Morcles;26;;126;4;58;968;;225;756;;;;135;3;885;987;93;1;0;376
Leysin;8;;278;9;126;3578;;758;1773;;;;461;19;1630;1510;303;0;10;878
Noville;12;;63;27;62;1182;;345;490;;;;94;6;740;1560;80;5;5;395
Ollon;300;;752;86;274;10703;;3046;5571;;;;1447;12;5283;6640;937;18;20;2148
Ormont-Dessous;32;;113;13;2;1675;;249;692;;;;185;0;1086;2031;140;2;4;442
Ormont-Dessus;53;;160;3;4;3540;;386;837;;;;150;4;942;1694;189;3;7;490
Rennaz;3;;72;0;57;662;;135;391;;;;214;32;714;539;19;1;1;423
Roche (VD);13;;44;5;49;1309;;310;466;;;;135;0;1435;1226;80;3;8;629
Villeneuve (VD);32;;470;74;175;5059;;925;2578;;;;670;28;3772;3616;311;6;4;1756
Yvorne;35;;80;41;41;2739;;285;808;;;;120;0;790;1161;175;6;2;372
Apples;49;;139;8;108;2081;;716;1654;;;;280;0;1656;1218;109;3;17;498
Aubonne;86;;427;88;319;4780;;1556;3055;;;;354;2;2926;2407;427;1;25;916
Ballens;2;;49;2;36;844;;267;249;;;;82;12;536;939;96;1;2;161
Berolle;6;;15;0;1;278;;78;212;;;;12;20;383;489;96;3;0;116
Bière;33;;46;11;28;1540;;315;794;;;;140;1;1345;2107;210;3;6;535
Bougy-Villars;6;;76;0;1;533;;294;471;;;;24;0;291;832;58;1;0;134
Féchy;29;;105;5;52;1642;;535;484;;;;81;2;539;1064;75;3;6;222
Gimel;142;;280;4;449;2305;;813;1262;;;;95;1;1494;1829;186;4;7;800
Longirod;23;;33;3;56;682;;368;606;;;;41;2;318;594;110;2;3;164
Marchissy;9;;22;0;22;457;;373;532;;;;32;0;344;523;63;0;1;186
Mollens (VD);8;;10;0;1;352;;142;247;;;;75;0;138;569;38;0;3;118
Montherod;2;;61;1;35;345;;262;376;;;;39;0;244;452;55;2;0;163
Saint-George;6;;135;22;40;1178;;588;988;;;;176;1;745;1053;175;4;9;346
Saint-Livres;11;;157;4;49;843;;353;950;;;;164;3;675;951;89;0;3;232
Saint-Oyens;22;;84;1;58;613;;79;364;;;;28;4;314;605;52;0;0;137
Saubraz;2;;25;0;3;226;;134;280;;;;115;0;265;597;26;1;0;141
Avenches;62;;357;290;343;3128;;986;1541;;;;231;44;3790;3660;203;6;10;1438
Cudrefin;14;;171;23;103;1487;;693;1290;;;;174;1;1652;1625;222;3;4;744
Faoug;28;;162;43;16;554;;380;814;;;;32;0;723;971;146;1;4;375
Vully-les-Lacs;129;;352;109;255;4719;;1394;1963;;;;281;0;2679;3911;360;3;6;1480
Bettens;61;;126;0;14;537;;220;440;;;;40;0;404;667;104;2;3;238
Bournens;4;;4;1;3;389;;303;243;;;;36;0;385;605;5;0;0;128
