;BDP;CSP;CVP;EDU;EVP;FDP;FGA;GLP;GPS;LPS;Lega;MCR;EàG;SD;SP;SVP;Übrige;@blank;@invalid;@abstension
Guttannen;364;;6;8;44;73;;147;214;;;;20;0;272;1830;90;0;1;83
Hasliberg;573;;23;358;162;403;;333;945;;;;10;14;978;4597;209;0;2;474
Innertkirchen;662;;88;49;144;650;;290;550;;;;0;21;640;4767;325;1;1;508
Meiringen;1868;;350;471;761;3035;;2869;3215;;;;25;99;5369;14545;1572;1;18;1751
Schattenhalb;300;;89;36;50;172;;312;293;;;;2;0;251;2711;119;0;0;243
Boltigen;539;;22;302;99;667;;593;447;;;;7;10;599;8241;463;0;13;533
Lenk;1512;;116;1349;613;1779;;1343;999;;;;60;37;974;10980;712;0;0;957
St. Stephan;686;;80;1699;126;687;;582;609;;;;12;2;534;10013;583;0;2;388
Zweisimmen;1978;;200;748;445;2279;;2637;1653;;;;108;42;2658;14291;1078;1;0;1109
Gsteig;422;;75;128;86;499;;746;230;;;;5;24;277;4380;292;0;0;394
Lauenen;248;;29;495;114;412;;219;183;;;;22;19;383;5067;270;0;10;293
Saanen;3072;;345;1849;1438;6285;;4984;2281;;;;77;79;2534;25822;1357;0;16;2179
Guggisberg;1035;;78;782;469;110;;448;1090;;;;26;64;815;7989;483;0;8;720
Rüschegg;1897;;106;420;209;717;;724;1027;;;;120;38;1291;6492;633;0;2;878
Schwarzenburg;5160;;724;1541;2075;4233;;4619;7198;;;;274;256;10090;24466;2700;0;2;2857
Belp;9138;;1866;3321;4941;8012;;9243;8671;;;;351;366;15753;31555;3084;3;11;4264
Burgistein;963;;98;294;355;442;;540;892;;;;28;34;1512;5691;449;0;4;428
Gerzensee;978;;104;485;276;873;;1208;1411;;;;46;6;1373;5090;548;0;0;435
Gurzelen;625;;37;430;246;239;;474;905;;;;49;2;540;3944;427;0;0;324
Jaberg;194;;99;223;105;148;;446;258;;;;15;17;491;835;303;0;0;98
Kaufdorf;1112;;217;177;608;653;;1169;1755;;;;63;77;2016;3104;694;0;2;310
Kehrsatz;2246;;803;1003;2132;4300;;3663;4256;;;;46;99;5071;7822;1056;1;19;1312
Kirchdorf (BE);2189;;134;425;690;1293;;1588;1581;;;;213;25;1440;8565;670;2;4;681
Kirchenthurnen;213;;5;115;125;73;;207;213;;;;4;19;209;1383;74;0;1;114
Lohnstorf;175;;20;51;12;153;;173;278;;;;5;76;339;1106;130;0;0;66
Mühlethurnen;1427;;250;236;608;1495;;1289;2508;;;;117;55;2219;4521;543;0;12;467
Riggisberg;2199;;176;561;783;1719;;1412;1946;;;;40;51;2024;12460;912;2;9;990
Rüeggisberg;1541;;58;900;617;603;;657;1199;;;;17;110;1352;9928;746;0;0;757
Rümligen;389;;82;103;161;217;;250;453;;;;34;6;411;2466;246;1;0;155
Seftigen;1432;;211;405;1552;767;;1575;1353;;;;55;88;2354;7683;677;0;14;857
Toffen;2536;;412;376;763;1529;;2405;2018;;;;43;27;3117;8073;1217;0;21;926
Uttigen;1672;;201;807;1503;1298;;2094;2068;;;;18;53;2705;7349;739;0;0;778
Wattenwil;1449;;145;1800;2110;1188;;2073;2302;;;;144;146;3022;10024;1375;1;13;1284
Wald (BE);1867;;151;1068;614;842;;1356;2012;;;;104;115;1803;6402;875;1;0;656
Eggiwil;1681;;108;1176;612;432;;624;732;;;;24;40;478;13097;525;0;0;1204
Langnau im Emmental;8928;;686;2222;3564;5059;;6847;11199;;;;380;336;11205;26306;3390;1;4;4145
Lauperswil;2038;;109;929;581;880;;1275;1656;;;;78;152;1491;11325;875;0;13;1308
Röthenbach im Emmental;731;;18;823;281;208;;196;236;;;;1;8;356;7356;465;0;2;555
Rüderswil;2784;;130;974;585;605;;877;1107;;;;38;100;1327;10232;655;0;1;1159
Schangnau;657;;18;181;73;257;;175;300;;;;14;4;148;7812;166;3;0;353
Signau;3241;;146;944;1305;1037;;1018;1342;;;;64;127;2513;12331;939;2;9;1117
Trub;1532;;127;153;283;199;;513;1166;;;;126;32;637;8112;417;0;0;838
Trubschachen;2200;;88;524;353;445;;450;1388;;;;50;8;773;5366;259;1;9;647
Amsoldingen;631;;37;195;228;347;;806;820;;;;1;9;1026;3220;273;0;5;336
Blumenstein;1020;;23;466;692;344;;624;671;;;;2;37;1093;5276;399;0;1;578
Buchholterberg;882;;115;936;640;350;;716;942;;;;24;67;627;10355;732;0;2;567
Eriz;521;;76;141;125;39;;176;176;;;;3;12;243;3707;248;0;0;214
Fahrni;682;;81;219;175;273;;459;669;;;;1;54;528;4343;370;0;5;322
Heiligenschwendi;528;;37;475;523;168;;520;723;;;;30;3;498;2746;347;0;0;264
Heimberg;3720;;756;2770;3712;3016;;3510;3639;;;;124;261;5888;19198;1765;3;0;3012
Hilterfingen;2390;;710;1361;1848;5596;;5292;6202;;;;202;115;6669;9407;1867;1;0;1420
Homberg;206;;66;459;289;39;;216;240;;;;9;15;133;2874;235;0;0;176
Horrenbach-Buchen;113;;2;13;8;50;;58;63;;;;0;0;51;2106;40;0;0;72
Oberhofen am Thunersee;2380;;282;369;655;3815;;3060;3633;;;;62;16;3840;7733;1093;0;12;770
Oberlangenegg;219;;9;108;96;68;;165;192;;;;9;13;199;3088;249;6;1;196
Pohlern;189;;6;48;76;80;;53;49;;;;0;0;120;1407;69;0;0;102
Schwendibach;225;;32;356;129;61;;62;126;;;;0;0;115;1200;85;0;0;94
Sigriswil;3409;;677;1169;1305;3319;;3182;4383;;;;117;168;4773;26439;2308;2;23;1807
Steffisburg;9432;;1509;6420;11615;11170;;13207;14966;;;;471;469;16959;39454;5335;5;9;6329
Teuffenthal (BE);38;;1;188;202;38;;35;52;;;;4;22;44;1245;80;0;0;60
Thierachern;1445;;117;1837;1566;856;;1681;1599;;;;55;75;2752;8948;1473;0;10;936
Thun;23161;;7041;9607;19390;25045;;35744;49628;;;;1596;1605;55726;87733;13215;25;6;18644
Uebeschi;498;;42;800;499;300;;382;394;;;;24;4;465;3070;320;3;1;230
Uetendorf;3028;;688;1633;4476;2838;;3935;4779;;;;120;204;5228;25761;1751;2;13;2281
Unterlangenegg;663;;29;225;421;226;;532;479;;;;28;8;412;5519;378;2;1;420
Wachseldorn;92;;3;108;116;6;;26;30;;;;0;3;143;1718;11;0;0;85
Zwieselberg;286;;27;177;134;95;;142;391;;;;5;9;289;1176;182;0;1;112
Forst-Längenbühl;375;;63;312;427;331;;570;707;;;;25;6;457;4432;394;1;4;274
Affoltern im Emmental;1007;;44;623;691;534;;370;499;;;;16;52;875;6489;591;0;9;438
Dürrenroth;844;;45;697;375;280;;262;461;;;;32;28;457;5810;265;0;2;450
Eriswil;1105;;105;796;491;252;;790;649;;;;43;58;793;5420;566;0;5;664
Huttwil;3202;;170;2964;1368;3144;;2463;2835;;;;88;162;5353;15008;1302;0;18;2018
Lützelflüh;4759;;301;2650;1746;1900;;2090;2758;;;;122;168;3176;16585;1656;3;0;1755
Rüegsau;4254;;301;2561;1854;1540;;1797;2135;;;;64;73;2250;11932;1244;0;10;1372
Sumiswald;5214;;306;1830;1897;2583;;2559;3162;;;;82;102;3845;17506;2063;2;1;2510
Trachselwald;1053;;25;461;269;279;;273;665;;;;30;36;478;4376;317;0;2;455
Walterswil (BE);391;;2;275;186;87;;79;282;;;;3;11;430;3323;306;0;0;236
Wyssachen;1321;;19;658;508;274;;268;339;;;;11;82;683;5548;241;0;1;522
Attiswil;1137;;181;93;219;1151;;724;1076;;;;20;77;1394;5127;462;1;0;660
Berken;49;;0;0;0;17;;29;4;;;;0;0;26;526;21;0;0;12
Bettenhausen;722;;25;80;108;228;;302;594;;;;25;52;1136;2477;243;0;1;280
Farnern;92;;0;17;1;59;;123;91;;;;0;1;252;1256;101;0;0;93
Graben;178;;31;80;59;91;;162;313;;;;3;2;309;1728;98;0;0;135
Heimenhausen;1119;;155;78;352;655;;590;553;;;;3;37;914;3407;280;0;3;518
Herzogenbuchsee;5477;;600;851;1781;5512;;5317;5511;;;;177;164;9347;13821;1887;4;32;2744
Inkwil;585;;27;124;182;346;;427;283;;;;7;44;835;2494;76;0;5;291
Niederbipp;1590;;544;194;447;3875;;1944;1794;;;;153;226;3243;10816;812;0;0;1939
Niederönz;1344;;138;552;773;1236;;1335;1262;;;;127;62;1888;4137;597;0;4;674
Oberbipp;698;;169;289;310;1432;;904;968;;;;89;125;1585;5092;531;0;3;724
Ochlenberg;964;;18;363;480;95;;308;318;;;;73;31;308;3098;280;0;2;214
Rumisberg;275;;18;57;26;287;;331;237;;;;24;20;429;2751;195;0;5;189
Seeberg;2947;;117;578;336;555;;927;1164;;;;39;111;1651;5696;580;0;8;669
Thörigen;1096;;32;216;230;504;;784;295;;;;26;30;1053;4310;321;0;1;495
Walliswil bei Niederbipp;20;;31;24;100;134;;124;64;;;;0;1;381;856;163;0;1;94
Walliswil bei Wangen;283;;10;26;67;380;;310;270;;;;0;29;686;2471;146;1;3;310
Wangen an der Aare;1487;;228;152;441;2635;;1135;1326;;;;8;145;1545;5818;570;1;7;966
Wangenried;371;;19;87;60;272;;270;293;;;;1;4;436;1581;152;0;3;188
Wiedlisbach;1025;;297;310;791;1053;;1265;1265;;;;22;31;2136;5340;453;0;16;1052
Wolfisberg;133;;26;25;58;180;;92;269;;;;0;13;167;794;31;0;0;81
Doppleschwand;;;1259;;2;236;;80;39;;;;;4;29;906;4;2;2;280
Entlebuch;;;4095;;46;2091;;277;431;;;;;8;441;4544;23;1;11;1111
Flühli;;;2843;;15;1010;;131;183;;;;;8;148;2902;3;0;5;455
Hasle (LU);;;2635;;1;607;;102;149;;;;;12;355;2769;2;1;5;600
Romoos;;;1444;;10;261;;13;88;;;;;22;76;928;0;1;3;186
Schüpfheim;;;6346;;61;1564;;629;1076;;;;;19;1284;5586;43;1;17;1233
Werthenstein;;;2100;;61;701;;219;389;;;;;26;349;2582;19;2;7;734
Escholzmatt-Marbach;;;6546;;70;1622;;281;541;;;;;11;574;5852;31;6;9;1581
Aesch (LU);;;1231;;94;563;;137;367;;;;;18;187;1449;28;0;7;447
Altwis;;;417;;5;85;;45;166;;;;;0;164;404;5;0;0;140
Ballwil;;;2843;;30;1159;;517;610;;;;;15;701;2861;73;0;15;963
Emmen;;;8838;;525;8071;;3253;6683;;;;;126;9930;16458;152;11;41;10593
Ermensee;;;1029;;20;728;;171;338;;;;;17;195;880;15;0;4;311
Eschenbach (LU);;;5115;;58;1799;;687;922;;;;;0;993;2818;64;0;16;1185
Hitzkirch;;;4809;;82;2603;;910;1579;;;;;35;1802;4689;132;3;15;1784
Hochdorf;;;8295;;135;3671;;1475;2627;;;;;24;2808;5249;138;1;38;3445
Hohenrain;;;3746;;55;709;;370;699;;;;;28;543;2883;13;0;9;709
Inwil;;;2316;;31;1501;;491;441;;;;;32;606;2024;67;3;13;914
Rain;;;3234;;58;2157;;624;570;;;;;16;570;2507;27;0;10;901
Römerswil;;;2031;;25;617;;387;479;;;;;5;391;2034;43;1;5;586
Rothenburg;;;6435;;202;3601;;1879;2505;;;;;12;4778;6510;93;2;34;2507
Schongau;;;930;;17;301;;241;212;;;;;10;147;1223;3;0;6;402
Adligenswil;;;3141;;158;3130;;1954;2740;;;;;9;3165;4440;51;3;27;1800
Buchrain;;;3226;;181;3034;;1800;1464;;;;;30;2150;3795;73;2;16;2247
Dierikon;;;711;;6;407;;174;305;;;;;28;291;881;16;0;14;649
Ebikon;;;6684;;250;4261;;2428;3774;;;;;42;5442;8159;121;11;48;5323
Gisikon;;;655;;9;689;;311;181;;;;;19;257;1287;2;1;3;520
Greppen;;;802;;40;538;;391;343;;;;;3;256;844;8;0;6;373
Honau;;;237;;21;98;;57;138;;;;;18;113;440;3;2;1;168
Horw;;;8830;;369;7510;;3995;7047;;;;;64;6183;9825;212;9;65;4693
Kriens;;;14077;;389;10117;;5807;13380;;;;;82;12983;17345;489;19;110;10240
Luzern;;;32632;;1402;29870;;24273;47933;;;;;250;57761;34569;2135;47;429;26898
Malters;;;5182;;275;3939;;2018;2188;;;;;21;2395;6111;119;0;31;2729
Meggen;;;4304;;107;7820;;2879;2669;;;;;27;2597;6362;179;2;27;2140
Meierskappel;;;739;;27;526;;392;413;;;;;10;271;1436;22;0;6;501
Root;;;2330;;86;1661;;846;944;;;;;23;1131;2724;14;6;10;1895
Schwarzenberg;;;1363;;47;1347;;284;379;;;;;13;403;2143;18;3;9;581
Udligenswil;;;1481;;82;1648;;1322;782;;;;;6;663;1986;39;0;13;698
Vitznau;;;731;;47;865;;210;373;;;;;0;410;1078;37;0;0;462
Weggis;;;2577;;205;2854;;932;1536;;;;;23;986;3586;36;1;19;1440
Beromünster;;;8402;;155;3057;;1099;1509;;;;;28;1328;5163;40;2;32;2158
Büron;;;1341;;43;1295;;209;688;;;;;18;606;1689;8;0;8;833
Buttisholz;;;4664;;47;1018;;556;785;;;;;1;645;2754;9;0;33;1032
Eich;;;1782;;23;1254;;385;425;;;;;16;353;2153;13;2;5;538
Geuensee;;;1655;;42;931;;411;906;;;;;3;821;1818;31;3;7;986
Grosswangen;;;3820;;87;2426;;317;721;;;;;2;475;2730;35;0;8;1020
Hildisrieden;;;3024;;76;1542;;459;691;;;;;6;545;2286;51;2;22;709
Knutwil;;;2040;;83;1260;;422;825;;;;;6;468;1590;29;0;9;849
Mauensee;;;1264;;33;799;;357;651;;;;;13;557;1119;23;0;2;526
Neuenkirch;;;6142;;210;3405;;1298;1737;;;;;21;2233;5537;53;0;37;2701
Nottwil;;;2970;;124;1713;;842;1378;;;;;34;1135;3978;48;0;19;1309
Oberkirch;;;4400;;129;2894;;1640;2244;;;;;24;1797;3324;66;5;23;1445
Rickenbach (LU);;;2943;;35;1656;;263;554;;;;;16;482;3155;20;4;22;1121
Ruswil;;;9357;;285;2793;;1099;1507;;;;;21;1850;6590;149;8;72;2336
Schenkon;;;3014;;33;2097;;757;1038;;;;;21;816;3043;16;0;16;1007
Schlierbach;;;1031;;8;853;;122;217;;;;;15;114;853;31;1;2;272
Sempach;;;5105;;203;2520;;1298;1843;;;;;19;1665;2795;102;1;18;1214
Sursee;;;7192;;247;4651;;2383;5662;;;;;43;5674;5763;137;6;52;3440
Triengen;;;3196;;62;2444;;503;937;;;;;33;795;3486;28;3;18;1481
Wolhusen;;;4391;;92;1594;;250;1018;;;;;4;1012;3577;10;2;19;1386
Alberswil;;;770;;11;469;;42;112;;;;;2;47;446;7;0;0;251
Altbüron;;;1072;;20;738;;145;148;;;;;9;158;825;9;1;7;371
Altishofen;;;2473;;36;436;;127;324;;;;;18;296;758;14;1;6;505
Dagmersellen;;;4867;;82;2347;;518;861;;;;;12;1329;4360;20;4;14;2079
Ebersecken;;;542;;1;311;;11;39;;;;;9;40;537;2;0;3;101
Egolzwil;;;2022;;43;882;;224;353;;;;;15;232;960;8;0;12;552
Ettiswil;;;3136;;49;2179;;180;402;;;;;15;548;2071;8;1;11;970
Fischbach;;;788;;10;254;;36;118;;;;;9;64;942;1;0;4;276
Gettnau;;;1137;;1;692;;29;120;;;;;6;88;886;5;1;3;381
Grossdietwil;;;1423;;20;345;;128;151;;;;;19;101;783;9;0;4;300
Hergiswil bei Willisau;;;3054;;9;715;;68;199;;;;;0;136;2020;3;2;10;670
Luthern;;;2067;;3;293;;65;92;;;;;1;87;1200;9;0;4;499
Menznau;;;3339;;50;2153;;171;482;;;;;23;336;3480;13;2;21;901
Nebikon;;;1745;;25;1780;;272;326;;;;;0;454;1336;13;1;8;826
Pfaffnau;;;2373;;59;825;;293;627;;;;;41;504;2250;31;1;10;1035
Reiden;;;4447;;142;2863;;811;1059;;;;;26;1516;4486;47;4;23;2611
Roggliswil;;;676;;9;416;;27;120;;;;;12;105;702;7;1;2;289
Schötz;;;3944;;115;1548;;456;686;;;;;9;696;2996;46;2;14;1665
Ufhusen;;;1421;;49;268;;78;72;;;;;0;79;1059;15;3;1;329
Wauwil;;;1865;;25;996;;264;423;;;;;2;489;1566;21;0;4;746
Wikon;;;777;;93;413;;395;329;;;;;15;329;1090;19;1;2;599
Zell (LU);;;2220;;38;1027;;150;390;;;;;2;411;1807;6;1;8;784
Willisau;;;8923;;165;5170;;968;2019;;;;;47;2426;6539;126;9;32;2561
Altdorf (UR);;;1122;;;;;;;;;;;;1151;954;77;53;27;3270
Andermatt;;;149;;;;;;;;;;;;69;158;13;4;3;528
Attinghausen;;;283;;;;;;;;;;;;68;226;13;13;9;643
Bauen;;;37;;;;;;;;;;;;11;23;2;7;0;52
Bürglen (UR);;;517;;;;;;;;;;;;272;522;14;26;9;1709
Erstfeld;;;455;;;;;;;;;;;;266;349;21;15;21;1410
Flüelen;;;212;;;;;;;;;;;;137;273;26;14;3;732
Göschenen;;;50;;;;;;;;;;;;25;61;5;1;6;158
Gurtnellen;;;58;;;;;;;;;;;;28;70;7;10;0;240
Hospental;;;24;;;;;;;;;;;;3;25;1;0;0;91
Isenthal;;;89;;;;;;;;;;;;22;45;0;1;0;219
Realp;;;24;;;;;;;;;;;;6;28;1;2;3;56
Schattdorf;;;709;;;;;;;;;;;;314;721;32;41;8;2150
Seedorf (UR);;;316;;;;;;;;;;;;107;232;7;7;5;634
Seelisberg;;;72;;;;;;;;;;;;28;68;4;5;2;304
Silenen;;;254;;;;;;;;;;;;74;206;12;13;1;955
Sisikon;;;28;;;;;;;;;;;;15;45;1;2;2;142
Spiringen;;;121;;;;;;;;;;;;13;115;2;3;2;422
Unterschächen;;;99;;;;;;;;;;;;2;156;4;1;2;280
Wassen;;;42;;;;;;;;;;;;11;56;5;8;0;146
Einsiedeln;;;5708;;102;4397;;1012;568;;;;;;2916;7469;;6;0;5676
Gersau;;;673;;19;952;;106;107;;;;;;383;904;;0;3;752
Feusisberg;;;824;;22;2080;;356;90;;;;;;546;2531;;5;4;1738
Freienbach;;;2238;;181;4840;;1266;717;;;;;;2487;7104;;4;29;5403
Wollerau;;;1027;;78;3284;;544;237;;;;;;881;3446;;0;13;2315
Küssnacht (SZ);;;2615;;70;6192;;945;394;;;;;;2811;4805;;4;19;4152
Altendorf;;;1927;;42;1916;;383;287;;;;;;1104;3249;;5;20;2427
Galgenen;;;702;;49;1410;;259;170;;;;;;906;2634;;1;9;1852
Innerthal;;;109;;0;41;;2;4;;;;;;33;135;;0;2;69
Lachen;;;1103;;101;2591;;542;255;;;;;;2001;2945;;0;15;2819
Reichenburg;;;417;;16;683;;267;89;;;;;;597;1612;;1;3;1438
Schübelbach;;;1011;;100;1643;;346;194;;;;;;1353;3433;;3;0;3385
Tuggen;;;500;;20;1146;;173;110;;;;;;337;1539;;0;14;1291
Vorderthal;;;129;;9;196;;8;10;;;;;;75;824;;0;2;484
Wangen (SZ);;;836;;42;1214;;306;200;;;;;;1109;2593;;1;13;2037
Alpthal;;;129;;0;109;;17;30;;;;;;43;744;;0;0;198
Arth;;;2642;;67;3094;;692;324;;;;;;2368;4545;;1;14;3804
Illgau;;;423;;9;245;;25;13;;;;;;71;523;;0;0;283
Ingenbohl;;;3036;;75;2610;;777;312;;;;;;2072;3594;;5;18;2955
Lauerz;;;365;;9;371;;34;42;;;;;;111;747;;0;3;363
Morschach;;;294;;19;223;;60;61;;;;;;181;646;;0;2;347
Muotathal;;;1210;;13;726;;31;118;;;;;;281;2959;;0;5;1321
Oberiberg;;;252;;7;269;;40;25;;;;;;101;978;;0;4;286
Riemenstalden;;;43;;0;27;;0;0;;;;;;1;80;;0;0;17
Rothenthurm;;;908;;2;396;;14;6;;;;;;275;1938;;0;2;704
Sattel;;;722;;0;512;;83;25;;;;;;219;1293;;0;3;638
Schwyz;;;5637;;117;4382;;747;699;;;;;;3919;6682;;5;27;4929
Steinen;;;1208;;42;1015;;187;175;;;;;;775;1817;;3;2;1344
Steinerberg;;;184;;12;200;;59;32;;;;;;106;766;;0;0;366
Unteriberg;;;646;;6;339;;67;28;;;;;;110;2699;;0;4;838
Alpnach;;;741;;;360;;;;;;;;;59;759;196;14;33;2092
Engelberg;;;372;;;141;;;;;;;;;37;930;136;13;47;1095
Giswil;;;471;;;115;;;;;;;;;45;560;148;6;26;1333
Kerns;;;764;;;387;;;;;;;;;52;1009;259;16;43;2054
Lungern;;;324;;;52;;;;;;;;;23;271;211;26;25;674
Sachseln;;;818;;;227;;;;;;;;;62;635;241;19;10;1704
Sarnen;;;1835;;;401;;;;;;;;;146;1248;484;22;101;3217
Beckenried;;;423;;;;;;;;;;;;;839;;56;24;1356
Buochs;;;646;;;;;;;;;;;;;1124;;70;18;1942
Dallenwil;;;209;;;;;;;;;;;;;509;;25;7;691
Emmetten;;;141;;;;;;;;;;;;;298;;5;4;596
Ennetbürgen;;;727;;;;;;;;;;;;;1017;;75;16;1660
Ennetmoos;;;232;;;;;;;;;;;;;498;;18;8;875
Hergiswil (NW);;;523;;;;;;;;;;;;;1427;;55;9;1997
Oberdorf (NW);;;361;;;;;;;;;;;;;849;;39;7;1087
Stans;;;1328;;;;;;;;;;;;;1610;;209;27;2879
Stansstad;;;562;;;;;;;;;;;;;928;;45;13;1740
Wolfenschiessen;;;231;;;;;;;;;;;;;556;;21;15;740
Glarus Nord;2523;;;;;;;;65;;;;;;1082;;237;107;51;7597
Glarus Süd;1946;;;;;;;;128;;;;;;849;;194;128;43;3728
Glarus;1927;;;;;;;;86;;;;;;930;;181;89;12;4617
Baar;;;4824;;144;2821;;1142;4195;;;;;;2136;5994;;12;214;7253
Cham;;;3494;;132;1901;;895;3011;;;;;;1527;3821;;4;108;5361
Hünenberg;;;2439;;73;1678;;654;1910;;;;;;732;2438;;0;76;2648
Menzingen;;;1618;;58;477;;179;826;;;;;;253;1668;;2;47;1393
Neuheim;;;561;;10;305;;122;340;;;;;;149;790;;4;21;654
Oberägeri;;;2456;;103;734;;196;702;;;;;;228;1890;;0;70;1606
Risch;;;2120;;83;1144;;556;1453;;;;;;649;2719;;0;66;3662
Steinhausen;;;2100;;85;1423;;516;2026;;;;;;792;2196;;5;66;3176
Unterägeri;;;2325;;89;1159;;466;1285;;;;;;656;2753;;5;89;2590
Walchwil;;;926;;12;545;;198;385;;;;;;354;1314;;2;21;845
Zug;;;5083;;175;5060;;1581;6464;;;;;;3506;5688;;0;272;7908
Châtillon (FR);5;38;181;8;15;217;;74;104;;;;;;250;259;27;0;0;185
Cheiry;0;11;84;12;0;76;;34;91;;;;;;101;299;11;2;1;166
Cugy (FR);10;97;574;19;47;1034;;150;324;;;;;;694;782;41;1;2;612
Fétigny;15;37;291;9;2;284;;88;146;;;;;;336;786;15;2;3;404
Gletterens;37;52;140;14;27;320;;134;154;;;;;;484;603;18;0;5;433
Lully (FR);21;50;237;40;43;328;;80;130;;;;;;461;584;61;3;0;419
Ménières;4;22;108;13;1;178;;17;41;;;;;;106;287;5;0;1;149
Montagny (FR);24;126;775;122;14;669;;212;375;;;;;;1045;1065;97;7;2;1145
Nuvilly;0;30;97;2;0;116;;22;120;;;;;;126;242;28;4;3;181
Prévondavaux;0;0;14;0;0;12;;0;15;;;;;;32;95;0;0;0;21
Saint-Aubin (FR);28;149;650;13;12;930;;168;153;;;;;;599;668;64;0;4;616
Sévaz;1;4;91;2;0;135;;35;48;;;;;;146;120;9;0;0;96
Surpierre;21;14;198;21;0;146;;31;110;;;;;;202;406;1;1;0;352
Vallon;0;22;68;10;2;103;;29;68;;;;;;227;157;11;0;0;176
Les Montets;12;55;346;39;16;620;;87;241;;;;;;368;556;46;2;2;597
Delley-Portalban;8;48;314;31;28;362;;94;253;;;;;;365;658;84;5;5;484
Belmont-Broye;50;210;1184;258;55;1426;;359;851;;;;;;1924;1706;136;4;16;2003
Estavayer;83;417;2890;151;95;2585;;902;1858;;;;;;3802;3151;394;18;35;3719
Cheyres-Châbles;31;128;485;88;54;607;;238;548;;;;;;1308;1041;100;0;9;900
Auboranges;6;9;112;5;1;80;;29;42;;;;;;113;165;2;1;0;112
Billens-Hennens;19;29;248;3;1;287;;27;202;;;;;;258;374;92;0;0;324
Chapelle (Glâne);7;9;94;17;14;90;;13;63;;;;;;119;218;13;0;0;107
Le Châtelard;4;5;125;6;7;228;;2;24;;;;;;72;268;11;0;4;148
Châtonnaye;6;45;277;32;13;198;;54;122;;;;;;367;464;56;4;1;320
Ecublens (FR);0;24;179;16;0;80;;23;128;;;;;;90;155;24;0;1;142
Grangettes;2;2;44;1;0;108;;29;28;;;;;;39;184;6;0;0;71
Massonnens;8;14;114;13;38;654;;22;86;;;;;;175;289;33;1;4;134
Mézières (FR);16;26;377;13;11;467;;79;183;;;;;;375;580;51;3;2;414
Montet (Glâne);9;5;77;1;1;91;;48;91;;;;;;99;175;12;0;0;168
Romont (FR);57;159;1303;77;47;1573;;192;742;;;;;;1397;1459;141;5;13;1508
Rue;31;58;417;24;2;374;;169;311;;;;;;507;742;201;6;6;595
Siviriez;11;93;655;28;10;763;;134;335;;;;;;927;1297;93;9;5;875
Ursy;26;130;643;68;60;781;;275;505;;;;;;934;1343;93;5;10;1365
Villaz-Saint-Pierre;5;68;329;49;2;440;;79;250;;;;;;553;626;50;0;6;427
Vuisternens-devant-Romont;8;107;1135;35;7;722;;161;375;;;;;;648;1509;100;2;4;923
Villorsonnens;20;52;403;42;4;518;;116;285;;;;;;454;911;36;0;3;612
Torny;11;18;405;20;20;293;;49;186;;;;;;234;545;43;1;0;375
La Folliaz;3;38;320;46;3;452;;104;199;;;;;;476;421;42;1;2;374
Haut-Intyamon;19;78;683;17;21;561;;130;281;;;;;;511;675;33;0;5;577
Pont-en-Ogoz;9;98;618;16;2;949;;156;512;;;;;;939;685;63;5;9;742
Botterens;3;23;206;0;23;158;;61;126;;;;;;270;261;13;0;0;230
Broc;25;82;781;5;14;1008;;126;360;;;;;;1022;648;106;9;6;900
Bulle;86;558;5314;168;124;6989;;1405;3654;;;;;;7927;4879;707;31;31;6814
Châtel-sur-Montsalvens;1;21;113;1;1;77;;14;92;;;;;;98;174;23;0;1;86
Corbières;1;60;303;0;19;338;;75;157;;;;;;420;479;40;0;2;331
Crésuz;0;2;216;0;9;134;;57;123;;;;;;148;197;64;1;0;114
Echarlens;3;28;260;12;1;502;;124;190;;;;;;300;244;31;1;1;301
Grandvillard;13;37;502;7;6;371;;90;194;;;;;;325;306;41;0;3;297
Gruyères;25;84;955;5;43;814;;149;474;;;;;;778;686;74;4;7;750
Hauteville;0;16;268;8;8;250;;63;131;;;;;;221;216;24;0;0;253
Jaun;29;25;385;30;14;187;;30;57;;;;;;117;688;32;0;5;260
Marsens;12;121;689;48;46;790;;257;450;;;;;;877;517;90;0;6;698
Morlon;2;43;241;14;7;408;;76;183;;;;;;281;209;53;3;8;214
Le Pâquier (FR);11;92;532;20;6;600;;139;321;;;;;;566;392;60;6;3;438
Pont-la-Ville;2;9;451;1;2;267;;36;115;;;;;;164;252;16;0;0;232
Riaz;40;82;798;10;12;1296;;289;587;;;;;;1165;880;100;8;10;997
La Roche;12;41;573;8;3;734;;73;229;;;;;;508;854;91;1;4;680
Sâles;5;84;851;44;12;651;;96;299;;;;;;632;755;34;1;4;504
Sorens;2;37;388;10;1;732;;105;303;;;;;;485;398;97;3;0;355
Vaulruz;1;45;554;18;39;528;;70;189;;;;;;314;527;40;1;1;368
Vuadens;9;49;1031;32;48;1040;;120;333;;;;;;964;895;46;5;0;881
Bas-Intyamon;3;46;613;25;9;556;;127;255;;;;;;562;464;35;3;1;550
Val-de-Charmey;6;110;1535;4;11;1195;;128;510;;;;;;771;1041;268;6;7;909
Arconciel;3;66;357;1;2;286;;137;285;;;;;;465;260;54;0;1;386
Autigny;9;58;228;10;5;257;;72;176;;;;;;302;350;41;0;0;309
Avry;7;189;516;6;21;1030;;278;508;;;;;;856;602;70;3;0;609
Belfaux;36;253;1261;33;60;639;;373;598;;;;;;1573;809;134;1;8;1000
