;@abs;@blank;@null;PS;LR;LREM;LFI;D-Berthout;D-Lécuyer;NP
11-6;984;11;7;431;138;55;;;;
11-7;921;11;6;388;136;63;;;;
11-8;914;6;3;429;119;44;;;;
11-9;967;13;3;434;135;67;;;;
11-10;975;14;7;387;150;70;;;;
11-11;1136;12;8;505;106;52;;;;
11-12;989;10;5;449;142;48;;;;
11-13;1024;16;3;456;95;73;;;;
11-14;1048;23;13;477;156;87;;;;
11-15;944;14;4;422;224;96;;;;
11-16;867;12;5;369;172;95;;;;
11-17;871;7;7;369;178;66;;;;
11-18;921;9;2;362;132;73;;;;
11-19;933;11;5;328;140;67;;;;
11-20;1003;6;8;429;135;66;;;;
11-21;910;20;2;380;146;85;;;;
11-22;1045;4;6;425;154;68;;;;
11-23;1038;6;6;431;114;59;;;;
11-24;1074;14;4;431;130;84;;;;
11-25;1039;16;8;462;132;75;;;;
11-26;1058;11;5;426;175;67;;;;
11-27;974;9;4;523;106;68;;;;
11-28;1035;10;2;479;101;72;;;;
11-29;1153;11;7;444;95;45;;;;
11-30;1216;16;8;478;84;43;;;;
11-31;1295;9;8;386;119;22;;;;
11-32;1311;6;4;433;118;50;;;;
11-33;1118;13;11;443;152;72;;;;
11-34;1172;11;11;391;103;37;;;;
11-35;1027;9;0;419;150;78;;;;
11-36;1066;6;3;449;121;61;;;;
11-37;994;6;3;400;155;65;;;;
11-38;1032;6;7;409;174;66;;;;
11-39;898;10;10;326;127;56;;;;
11-40;924;19;6;355;135;56;;;;
11-41;1137;14;6;352;155;72;;;;
11-42;1058;13;4;301;134;34;;;;
11-43;1078;18;8;452;130;63;;;;
11-44;1033;12;1;421;159;83;;;;
11-45;928;8;8;367;185;73;;;;
11-46;1203;19;6;341;191;54;;;;
11-47;1124;11;9;406;171;63;;;;
11-48;973;9;7;422;223;97;;;;
11-49;1066;15;12;422;178;62;;;;
11-50;959;17;9;495;171;59;;;;
11-51;1028;7;6;437;156;65;;;;
11-52;1102;16;9;450;124;61;;;;
11-53;983;6;6;479;160;71;;;;
11-54;1017;16;6;352;175;55;;;;
11-55;1019;9;10;458;123;62;;;;
12-1;703;4;5;325;143;50;;;;
12-2;850;10;5;285;122;30;;;;
12-3;899;9;8;252;158;65;;;;
12-4;914;12;6;274;196;54;;;;
12-5;863;9;12;252;238;67;;;;
12-6;933;15;10;306;211;74;;;;
12-7;793;8;5;328;273;109;;;;
12-8;914;10;9;251;182;58;;;;
12-9;994;12;10;231;138;52;;;;
12-10;996;8;3;323;151;57;;;;
12-11;832;4;6;300;168;61;;;;
12-12;919;14;9;359;160;83;;;;
12-13;853;13;9;362;159;73;;;;
12-14;877;4;7;226;197;76;;;;
12-15;984;10;8;317;171;64;;;;
12-16;801;8;3;267;210;81;;;;
12-17;776;5;2;259;233;75;;;;
12-18;768;11;2;383;176;57;;;;
12-19;1011;5;6;319;154;84;;;;
12-20;769;8;7;313;182;65;;;;
12-21;983;12;4;315;215;77;;;;
12-22;1039;13;0;281;142;46;;;;
12-23;891;14;6;244;173;64;;;;
12-24;932;9;2;307;138;48;;;;
12-25;1008;13;9;268;187;61;;;;
12-26;842;6;5;232;218;63;;;;
12-27;818;14;9;317;179;45;;;;
12-28;907;12;6;224;181;58;;;;
12-29;911;7;3;194;200;61;;;;
12-30;766;10;5;285;252;67;;;;
12-31;862;10;4;290;208;67;;;;
12-32;908;6;4;302;218;67;;;;
12-33;944;11;8;282;199;59;;;;
12-34;894;8;5;314;226;115;;;;
12-35;844;7;8;264;268;82;;;;
12-36;909;11;2;245;172;46;;;;
12-37;890;16;2;215;161;60;;;;
12-38;977;6;5;292;184;88;;;;
12-39;749;5;7;224;169;65;;;;
12-40;778;9;8;270;139;74;;;;
12-41;757;10;5;260;171;80;;;;
12-42;843;7;8;288;157;57;;;;
12-43;767;12;4;203;135;44;;;;
12-44;978;12;12;248;198;66;;;;
12-45;922;7;7;162;153;36;;;;
12-46;1017;5;2;263;177;60;;;;
12-47;984;9;5;254;146;53;;;;
12-48;1057;5;7;293;137;50;;;;
12-49;1006;7;8;355;143;81;;;;
12-50;1113;9;6;311;144;54;;;;
12-51;993;3;6;276;163;64;;;;
12-52;742;7;4;298;142;68;;;;
12-53;892;8;8;423;196;97;;;;
12-54;976;9;6;258;150;57;;;;
12-55;836;11;6;413;156;63;;;;
12-56;846;7;8;410;126;79;;;;
12-57;932;13;2;375;128;69;;;;
12-58;822;10;13;378;146;74;;;;
12-59;722;7;3;322;149;46;;;;
12-60;877;10;7;316;122;57;;;;
12-61;877;12;10;315;215;57;;;;
12-62;811;8;6;399;123;64;;;;
12-63;856;11;8;277;154;44;;;;
12-64;749;5;4;277;158;83;;;;
13-1;1009;17;5;423;166;71;;;;
13-2;917;10;4;328;132;40;;;;
13-3;1027;14;11;398;136;39;;;;
13-4;822;14;9;214;106;28;;;;
13-5;976;9;7;369;132;47;;;;
13-6;778;7;4;289;107;44;;;;
13-7;1117;16;10;324;115;55;;;;
13-8;932;13;5;346;119;43;;;;
13-9;871;14;9;287;104;25;;;;
