;@abs;@blank;@null;PS;LR;LREM;LFI;D-Berthout;D-Lécuyer;NP
18-12;1208;9;7;245;92;86;;;;
18-13;862;6;6;161;73;41;;;;
18-14;1333;11;8;368;87;93;;;;
18-15;981;5;5;356;85;63;;;;
18-16;1047;8;7;349;104;99;;;;
18-17;1194;18;16;433;93;84;;;;
18-18;1135;18;2;510;101;79;;;;
18-19;1112;24;2;462;102;97;;;;
18-20;1077;15;7;419;105;78;;;;
18-21;1033;13;16;392;114;88;;;;
18-22;1001;4;6;300;103;82;;;;
18-23;982;13;4;297;100;102;;;;
18-24;970;12;2;329;115;106;;;;
18-25;866;8;2;296;175;145;;;;
18-26;939;11;5;302;91;106;;;;
18-27;940;12;4;312;73;91;;;;
18-28;1081;23;8;377;149;123;;;;
18-29;1005;11;6;338;131;129;;;;
18-30;1074;10;5;379;160;139;;;;
18-31;1119;8;2;440;150;94;;;;
18-32;1041;10;1;324;143;127;;;;
18-33;1085;6;12;279;116;145;;;;
18-34;1186;15;7;317;148;116;;;;
18-35;961;6;5;278;147;134;;;;
18-36;974;10;4;323;131;107;;;;
18-37;1022;9;3;291;132;119;;;;
18-38;1010;12;6;322;108;129;;;;
18-39;1150;13;9;310;154;104;;;;
18-40;1004;13;10;319;147;137;;;;
18-41;1138;16;8;312;97;95;;;;
18-42;1178;10;9;277;132;79;;;;
18-43;1179;15;10;261;152;85;;;;
18-44;1071;10;1;128;79;46;;;;
18-45;1138;13;5;257;99;68;;;;
18-46;924;11;4;267;137;107;;;;
18-47;783;11;3;329;82;73;;;;
18-48;865;10;11;285;76;49;;;;
18-49;848;7;8;128;62;56;;;;
18-50;878;8;11;125;79;36;;;;
18-51;1336;5;7;206;116;38;;;;
18-52;1162;11;7;419;122;76;;;;
18-53;911;10;6;290;99;64;;;;
18-54;871;15;6;286;86;35;;;;
18-55;1058;10;4;397;67;38;;;;
18-56;1484;4;5;254;81;38;;;;
18-57;1223;7;5;427;76;66;;;;
18-58;1176;11;8;369;81;61;;;;
18-59;1198;15;2;352;98;55;;;;
18-60;1036;16;9;445;114;60;;;;
18-61;1153;14;6;426;93;75;;;;
18-62;1121;11;9;368;102;58;;;;
18-63;1296;8;12;293;136;40;;;;
18-64;1333;8;7;203;141;51;;;;
18-65;1428;12;7;190;159;47;;;;
18-66;822;11;5;339;98;106;;;;
18-67;918;9;7;314;99;52;;;;
18-68;892;11;5;306;73;54;;;;
19-1;1063;7;2;343;120;38;;;;
19-2;1039;7;5;344;75;29;;;;
19-3;743;6;3;221;100;37;;;;
19-4;848;6;5;323;85;49;;;;
19-5;856;4;2;295;114;68;;;;
19-6;873;7;7;316;109;57;;;;
19-7;868;10;10;290;151;47;;;;
19-8;960;11;9;230;99;32;;;;
19-9;1116;12;5;411;129;60;;;;
19-10;983;11;6;473;110;44;;;;
19-11;1003;10;3;444;105;47;;;;
19-12;964;8;1;525;99;41;;;;
19-13;1070;11;5;470;100;42;;;;
19-14;1144;7;0;462;72;38;;;;
19-15;878;14;2;428;87;51;;;;
19-16;1026;2;10;468;116;56;;;;
19-17;915;4;2;365;145;60;;;;
19-18;583;4;9;125;51;13;;;;
19-19;1008;7;9;142;63;25;;;;
19-20;1116;14;6;193;125;31;;;;
19-21;1114;7;2;370;93;38;;;;
19-22;1176;5;9;179;81;32;;;;
19-23;1120;8;4;302;94;41;;;;
19-24;1061;10;9;241;138;50;;;;
19-25;1036;6;6;374;111;38;;;;
19-26;979;5;12;313;110;39;;;;
19-27;1230;10;6;367;138;33;;;;
19-28;1041;6;7;391;140;78;;;;
19-29;987;13;2;292;100;50;;;;
19-30;939;11;4;403;154;60;;;;
19-31;944;15;5;400;102;44;;;;
19-32;850;10;5;487;96;60;;;;
19-33;1029;9;6;243;89;36;;;;
19-34;842;12;1;301;113;44;;;;
19-35;833;4;9;174;64;30;;;;
19-36;919;10;12;271;106;40;;;;
19-37;1028;8;7;229;96;19;;;;
19-38;964;12;5;304;88;34;;;;
19-39;960;11;5;336;106;35;;;;
19-40;1024;10;7;231;102;33;;;;
19-41;1110;14;6;209;111;37;;;;
19-42;961;2;4;164;56;22;;;;
19-43;1127;4;1;151;85;30;;;;
19-44;1192;17;5;179;111;30;;;;
19-45;1113;9;13;294;107;34;;;;
19-46;1286;13;4;363;130;51;;;;
19-47;1251;11;3;393;152;65;;;;
19-48;1256;8;8;440;122;42;;;;
19-49;1150;5;8;336;110;39;;;;
19-50;748;4;6;235;60;46;;;;
19-51;1210;11;6;198;118;39;;;;
19-52;1100;11;7;282;104;46;;;;
19-53;1094;11;3;228;112;45;;;;
19-54;1062;1;3;358;90;55;;;;
19-55;1162;8;5;204;87;34;;;;
19-56;994;12;5;255;117;29;;;;
19-57;1063;7;2;163;103;25;;;;
19-58;1009;13;6;417;115;51;;;;
19-59;1035;13;6;354;123;53;;;;
19-60;1099;10;5;376;94;38;;;;
19-61;1026;10;3;346;99;30;;;;
19-62;1140;11;5;331;105;31;;;;
19-63;1037;5;6;277;108;50;;;;
19-64;1090;3;4;351;121;38;;;;
19-65;1016;8;9;310;127;47;;;;
19-66;1046;5;6;372;123;44;;;;
19-67;1199;11;8;332;80;38;;;;
19-68;1154;11;5;270;116;40;;;;
19-69;1191;8;3;279;82;30;;;;
19-70;966;6;4;228;108;47;;;;
19-71;903;9;2;143;92;22;;;;
20-1;802;6;6;298;129;36;62;;;
20-2;660;6;1;257;123;47;43;;;
20-3;920;6;8;334;107;49;53;;;
20-4;856;17;2;324;106;60;67;;;
20-5;763;12;3;367;133;70;39;;;
20-6;836;12;3;290;135;50;85;;;
20-7;789;5;7;301;109;48;69;;;
20-8;776;10;3;324;73;67;48;;;
20-9;1072;8;4;322;102;34;58;;;
20-10;1001;6;1;230;72;21;51;;;
20-11;1112;7;3;314;99;41;64;;;
20-12;784;7;3;371;71;39;70;;;
20-13;905;12;6;399;65;34;80;;;
20-14;913;5;6;434;79;51;79;;;
20-15;911;3;5;318;119;56;75;;;
20-16;891;15;6;361;187;62;68;;;
20-17;1009;12;5;260;109;48;70;;;
20-18;1010;12;6;186;113;50;60;;;
20-19;867;13;9;311;159;62;70;;;
20-20;1125;11;4;251;119;36;65;;;
20-21;1181;9;5;169;130;47;53;;;
20-22;1025;13;3;274;145;42;63;;;
20-23;996;11;2;277;185;75;59;;;
20-24;862;12;7;301;136;60;57;;;
20-25;910;13;5;430;90;50;59;;;
20-26;933;10;5;263;94;38;62;;;
20-27;840;4;3;269;145;44;42;;;
20-28;980;7;5;237;152;46;45;;;
20-29;985;11;7;271;126;62;49;;;
20-30;1421;3;13;156;88;31;58;;;
20-31;1113;11;6;252;141;42;42;;;
20-32;1042;8;6;261;166;40;48;;;
20-33;1126;6;9;129;114;30;29;;;
20-34;1054;7;4;181;113;35;54;;;
20-35;1061;3;4;155;93;43;65;;;
20-36;922;8;2;137;91;29;61;;;
20-37;1155;6;5;229;80;40;64;;;
20-38;1018;5;3;237;99;33;53;;;
20-39;1037;5;13;172;115;35;61;;;
20-40;1020;7;7;199;128;52;60;;;
20-41;1101;10;6;225;124;39;45;;;
20-42;943;12;10;321;106;55;72;;;
20-43;1101;7;11;424;123;68;80;;;
20-44;1199;6;4;442;117;67;71;;;
20-45;1142;8;1;398;122;73;95;;;
20-46;1009;4;7;341;123;79;71;;;
20-47;1021;11;9;363;105;57;61;;;
20-48;1089;7;2;423;124;57;58;;;
20-49;1132;17;5;474;129;72;60;;;
20-50;975;13;5;430;157;72;47;;;
20-51;1112;12;4;374;146;77;40;;;
20-52;813;8;6;268;146;47;67;;;
20-53;817;17;3;273;165;72;60;;;
20-54;1174;5;4;171;94;30;70;;;
20-55;1099;6;9;146;103;44;47;;;
20-56;964;3;6;168;126;48;42;;;
20-57;867;11;3;248;151;54;50;;;
20-58;1027;14;4;416;106;63;67;;;
20-59;1086;5;2;374;110;60;93;;;
20-60;802;7;9;295;118;59;56;;;
20-61;976;10;9;298;71;49;81;;;
20-62;1071;5;3;265;84;29;78;;;
20-63;1045;6;6;194;78;33;74;;;
20-64;774;7;9;265;90;42;41;;;
20-65;722;6;4;309;91;63;59;;;
20-66;745;10;3;230;121;54;50;;;
20-67;844;12;5;304;81;33;66;;;
20-68;982;6;6;294;71;33;91;;;
20-69;960;4;2;325;101;24;71;;;
20-70;1087;12;6;377;99;67;87;;;
20-71;1033;11;5;408;82;47;118;;;
20-72;1128;10;7;318;77;35;111;;;
20-73;972;4;3;429;93;27;96;;;
20-74;1014;8;1;449;70;40;79;;;
20-75;1290;7;3;278;85;29;118;;;
20-76;1331;7;8;444;75;30;89;;;
