;@abs;@blank;@null;UG;UD;RN;D-Gilles;EÉLV;LREM;G-Ghali;G-Bensaada;LO;G-Manin;UPR;POID;G-Vinapon;PA;EXD-Comas;D-Harouche
952;797;7;10;97;137;117;46;42;48;22;;;;;;;;;
953;852;2;14;48;120;91;34;38;18;17;;;;;;;;;
954;728;7;6;34;113;47;20;11;9;28;;;;;;;;;
955;721;5;8;94;135;58;33;48;65;3;;;;;;;;;
956;1133;9;0;69;231;54;54;35;23;45;;;;;;;;;
957;807;2;11;92;155;72;42;45;44;7;;;;;;;;;
958;542;2;6;83;70;45;31;42;32;12;;;;;;;;;
959;845;5;12;45;160;64;22;44;19;8;;;;;;;;;
960;760;1;3;85;144;61;44;70;42;2;;;;;;;;;
961;574;5;6;30;92;52;33;17;28;8;;;;;;;;;
962;663;8;2;65;130;70;42;43;36;5;;;;;;;;;
963;533;3;1;29;124;50;38;35;18;6;;;;;;;;;
964;598;5;3;43;123;67;26;27;25;2;;;;;;;;;
965;663;4;5;53;124;82;36;52;32;14;;;;;;;;;
966;615;4;8;57;140;72;34;35;41;11;;;;;;;;;
967;387;1;8;30;56;59;12;28;9;10;;;;;;;;;
968;903;2;5;67;141;74;48;59;40;8;;;;;;;;;
969;548;1;2;30;74;61;28;19;10;8;;;;;;;;;
970;526;2;7;59;85;70;31;40;16;6;;;;;;;;;
971;730;3;7;53;122;73;45;48;40;13;;;;;;;;;
972;1082;2;10;74;137;94;56;60;32;9;;;;;;;;;
973;609;3;6;46;71;61;20;27;19;5;;;;;;;;;
974;902;1;10;80;157;88;58;61;46;14;;;;;;;;;
975;325;1;1;24;54;29;12;10;8;2;;;;;;;;;
976;806;2;8;47;69;73;31;37;23;10;;;;;;;;;
977;795;1;5;62;150;86;50;45;43;10;;;;;;;;;
978;998;16;0;99;143;82;48;54;33;19;;;;;;;;;
979;621;3;5;46;66;79;25;33;19;10;;;;;;;;;
980;825;4;5;85;167;60;85;61;71;3;;;;;;;;;
1001;459;3;4;31;47;32;25;20;10;9;;;;;;;;;
1002;1222;9;5;54;125;74;38;34;27;25;;;;;;;;;
1003;840;2;3;54;76;97;25;34;23;13;;;;;;;;;
1004;598;4;6;65;57;109;36;27;21;10;;;;;;;;;
1005;707;3;8;50;67;67;31;27;22;14;;;;;;;;;
1006;1061;3;3;61;104;68;20;20;23;28;;;;;;;;;
1007;571;0;10;32;93;65;22;19;9;21;;;;;;;;;
1008;498;4;3;26;65;55;27;18;12;8;;;;;;;;;
1009;271;1;1;8;38;28;7;3;2;11;;;;;;;;;
1021;640;3;4;61;65;62;30;32;21;11;;;;;;;;;
1022;698;4;5;59;117;74;28;37;30;21;;;;;;;;;
1041;557;1;5;45;117;60;33;22;15;16;;;;;;;;;
1061;861;9;13;54;88;109;30;37;25;11;;;;;;;;;
