;@abs;@blank;@invalid;UG;UD;RN;D-Gilles;G-Ghali;LREM
1175;745;4;0;130;110;92;16;;
1176;780;4;2;117;75;60;34;;
1177;943;3;2;155;226;140;37;;
1178;721;10;0;86;73;83;22;;
1179;885;6;3;67;80;9;39;;
1180;667;6;0;140;206;87;44;;
1201;411;2;2;89;48;53;28;;
1202;644;6;0;171;123;80;70;;
1203;943;5;4;242;171;112;51;;
1204;797;4;1;224;207;94;69;;
1205;803;3;3;135;174;80;34;;
1206;715;8;5;234;198;78;74;;
1207;312;4;2;97;61;42;27;;
1208;739;6;0;198;181;95;60;;
1209;664;8;2;191;118;92;44;;
1210;371;7;2;102;77;54;32;;
1211;628;10;5;178;215;113;44;;
1212;654;5;4;151;137;61;42;;
1213;380;2;2;118;79;49;27;;
1221;785;2;1;156;115;78;62;;
1241;666;2;5;163;177;73;41;;
1242;737;10;7;166;232;104;54;;
1243;742;4;2;171;176;106;44;;
1244;636;1;1;98;63;75;24;;
1245;677;0;3;78;69;113;21;;
1261;787;3;6;181;250;92;36;;
1262;762;6;11;165;188;71;39;;
1263;593;3;0;88;125;76;36;;
1264;678;0;3;96;115;75;15;;
1265;812;1;11;152;200;111;40;;
1266;697;6;4;129;191;79;35;;
1267;828;5;2;119;134;77;32;;
1268;577;2;5;111;195;54;17;;
1269;873;3;8;150;184;147;35;;
1270;780;4;6;152;227;113;61;;
1271;741;4;6;144;219;83;34;;
1272;648;2;3;158;170;54;44;;
1273;561;3;1;56;72;46;18;;
1281;899;4;4;182;166;110;33;;
1282;554;0;5;150;146;61;32;;
1283;498;0;3;88;62;63;16;;
1284;759;7;2;130;108;96;31;;
1285;840;8;3;149;246;93;45;;
1286;589;2;3;113;92;47;40;;
1287;464;0;1;78;70;63;23;;
1301;462;3;44;;69;72;;;
1302;913;39;14;;128;147;;;
1303;694;40;8;;115;155;;;
1304;457;0;28;;81;79;;;
1305;728;30;5;;104;82;;;
1306;665;9;7;;87;75;;;
1307;812;9;7;;126;52;;;
1308;406;28;4;;67;51;;;
1331;409;14;3;;66;61;;;
1332;730;23;8;;107;95;;;
1333;1028;7;3;;159;40;;;
1334;578;26;5;;74;90;;;
1335;1178;0;27;;218;66;;;
1336;713;18;11;;92;88;;;
1337;957;9;6;;234;39;;;
1338;1014;2;54;;186;212;;;
1339;824;14;7;;98;93;;;
1340;820;25;6;;133;144;;;
1341;656;8;12;;89;100;;;
1342;1206;20;5;;231;105;;;
1343;1140;6;14;;233;53;;;
1344;757;16;3;;95;132;;;
1345;594;12;2;;61;41;;;
1346;792;11;7;;95;64;;;
1347;839;21;10;;87;157;;;
1348;543;6;25;;91;129;;;
1349;1087;33;7;;153;242;;;
1350;966;22;10;;150;200;;;
1351;983;21;10;;144;168;;;
1360;603;22;9;;92;93;;;
1361;647;8;24;;99;180;;;
1362;580;19;5;;94;177;;;
1363;1135;32;8;;167;241;;;
1364;910;28;9;;184;171;;;
1365;1037;23;6;;147;155;;;
1366;804;12;0;;99;86;;;
1367;944;40;9;;199;236;;;
1368;979;29;9;;126;182;;;
1369;955;35;16;;187;221;;;
1370;1047;44;19;;134;293;;;
1371;979;41;17;;137;279;;;
1372;610;32;19;;147;165;;;
1373;763;31;18;;75;234;;;
1374;996;26;12;;198;260;;;
1375;1044;3;71;;191;287;;;
1376;717;19;3;;142;157;;;
1377;639;14;2;;112;45;;;
1378;461;26;13;;118;213;;;
1401;673;12;8;;92;145;;;
1402;861;21;9;;116;100;;;
1404;1183;16;5;;162;96;;;
1405;1156;13;5;;192;70;;;
1407;1023;18;21;;239;105;;;
1408;498;7;6;;91;80;;;
1409;569;9;3;;109;70;;;
1410;735;2;11;;124;84;;;
1411;388;16;3;;44;54;;;
1414;918;10;6;;99;116;;;
1415;733;20;2;;90;147;;;
1416;790;19;3;;86;62;;;
1417;862;2;1;;69;33;;;
1450;867;11;9;;172;28;;;
1451;1113;25;5;;137;177;;;
1452;553;5;13;;154;24;;;
1453;880;14;3;;280;38;;;
1454;624;4;2;;166;38;;;
1455;642;5;3;;120;28;;;
1456;781;35;9;;166;114;;;
1457;622;11;3;;69;94;;;
1458;1152;23;11;;175;227;;;
1459;1114;22;95;;153;181;;;
1460;1066;29;8;;147;238;;;
1461;1037;14;13;;167;68;;;
1462;547;6;2;;98;40;;;
1463;760;18;6;;93;84;;;
1464;451;29;18;;77;129;;;
1465;642;35;13;;81;170;;;
1466;790;21;10;;91;146;;;
1501;634;3;1;52;;41;;96;
1503;469;1;2;57;;45;;64;
1504;599;5;3;51;;40;;57;
1505;1024;7;2;134;;56;;116;
1507;630;4;1;55;;68;;72;
1508;656;5;2;90;;60;;120;
1531;803;7;2;69;;60;;128;
1532;718;5;3;83;;90;;49;
1533;812;4;1;146;;81;;82;
1535;574;8;2;73;;75;;59;
1536;471;2;2;37;;46;;47;
1537;893;6;1;82;;84;;128;
1538;983;16;4;96;;112;;233;
1539;810;5;0;65;;48;;89;
1540;930;6;2;71;;67;;151;
1541;447;6;2;67;;40;;95;
1542;1102;5;2;91;;78;;101;
1543;786;9;3;121;;162;;56;
1571;837;10;5;121;;129;;117;
1572;1061;5;3;63;;94;;138;
1574;1208;15;6;155;;97;;252;
1575;543;6;1;81;;98;;68;
1576;707;10;2;115;;153;;140;
1577;921;7;6;88;;40;;269;
1578;531;5;4;43;;73;;60;
1579;758;5;6;72;;133;;79;
1580;851;0;10;99;;79;;103;
1581;690;2;2;23;;28;;108;
1582;1004;4;1;91;;124;;110;
1583;406;2;1;69;;72;;33;
1584;508;6;1;170;;89;;54;
1585;1136;4;3;83;;59;;172;
1586;880;6;1;60;;42;;125;
1587;1458;10;2;88;;62;;227;
1588;902;5;4;62;;21;;161;
1601;865;3;7;137;;85;;86;
1602;583;4;2;133;;80;;103;
1606;553;10;1;126;;67;;72;
1607;348;5;2;164;;69;;43;
1608;1073;4;5;124;;122;;138;
1609;628;1;1;146;;66;;86;
1610;461;5;3;179;;84;;86;
1611;640;11;4;171;;84;;103;
1612;563;7;2;224;;89;;113;
1613;419;7;3;121;;35;;141;
1614;481;3;2;191;;74;;95;
