RegioNaam;@invalid;@blank;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50+;SGP;DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs
Bronckhorst-G1876;43;49;2406;3439;3590;1524;1609;1049;839;1012;646.0;630;704.0;197.0;23;;;;;;;;;;;339.0;;;;;;;;;;20.0;;;;11338
Brummen-G0213;28;46;1380;1502;958;1208;1084;593;628;619;332.0;411;452.0;64.0;132;;;;;;;;;;;154.0;;;;;;;;;;8.0;;;;7195
Brunssum-G0899;29;37;1833;1299;1035;524;1428;301;2054;1137;238.0;437;420.0;;54;;;;;;;768.0;;;;;;;;;;;;;;;;;;11176
Bunnik-G0312;17;24;763;1307;1095;1757;619;818;316;241;419.0;381;242.0;152.0;21;;;;;;;;;;;;;;;;;84.0;;;;;;;;3281
Bunschoten-G0313;31;18;2120;886;1832;183;174;108;560;112;2888.0;74;200.0;989.0;35;;;;;;;;;;;;;;;;;27.0;;;;;;;;5505
Buren-G0214;22;32;2536;2255;1140;724;848;695;1121;471;634.0;583;502.0;800.0;30;;;;;;;;;;;152.0;;;;;;;;;;;;;;8304
Capelle aan den IJssel-G0502;71;95;4958;3661;1357;1850;2096;1763;1994;1235;1541.0;1089;1496.0;1812.0;270;;;70.0;;;;;;257.0;57.0;;;;;;;;;;;;;;;25058
Castricum-G0383;56;48;2756;3074;1933;2959;1679;2007;801;945;458.0;1011;;;32;481.0;;277.0;;;;;328.0;;34.0;;;;;;;;;;;;;;;9590
Coevorden-G0109;35;28;2302;2637;2279;931;2286;724;1225;1099;593.0;472;548.0;114.0;15;;;;;;;;;;;;;;;830.0;;;;212.0;;;107.0;;;11764
Cranendonck-G1706;18;38;1488;1479;1388;390;421;717;1032;588;;276;403.0;;14;;160.0;20.0;;73.0;;;;;;;;;97.0;;60.0;;;;;;;;;7446
Cuijk-G1684;31;37;1359;1426;1663;873;821;714;625;1186;;345;315.0;;211;;556.0;14.0;;69.0;;;;;;;;;87.0;;58.0;;;;;;;;;9125
Culemborg-G0216;43;32;1794;1745;921;2140;1016;1200;760;585;578.0;717;495.0;134.0;384;;;;;;;;;;;89.0;;;;;;;;;;;;;;9059
Dalfsen-G0148;33;27;1626;1803;3682;1030;899;718;747;651;1807.0;319;532.0;446.0;15;;;;;;;;;;;;;;;;;;;;;;;;;7649
Dantumadiel-G1891;12;8;1384;352;1878;360;709;185;685;374;1100.0;142;129.0;562.0;1;;;;837.0;;;;;;;;;;;;;;117.0;;45.0;;;;;6025
De Bilt-G0310;66;45;2245;4210;2006;3481;1683;2480;910;811;1145.0;1212;561.0;817.0;137;;;;;;;;;;;;;;;;;390.0;;;;;;;;10584
De Fryske Marren-G1940;38;57;3366;2779;4899;1706;2535;925;1335;935;998.0;628;556.0;454.0;22;;;;3100.0;;;;;;;;;;;;;;297.0;;193.0;;;;;15485
De Ronde Venen-G0736;49;70;3804;4213;3364;1887;1280;1709;1163;498;1017.0;750;1052.0;341.0;109;;;;;;;;;;;;;;;;;157.0;;;;;;;;12612
De Wolden-G1690;26;24;1620;2408;1898;869;1280;617;608;509;658.0;416;318.0;122.0;13;;;;;;;;;;;;;;;889.0;;;;156.0;;;41.0;;;6972
Delft-G0503;127;187;5196;5884;2411;7333;4444;6888;2166;2146;1989.0;2179;1315.0;245.0;632;;;114.0;;;;;;243.0;101.0;;;;;;;;;;;49.0;;;;30542
Delfzijl-G0010;30;39;1212;700;728;495;966;295;829;937;899.0;211;397.0;;126;;;;;;1194.0;;;;;;;626.0;;;;;;;;;;;;10049
Den Helder-G0400;84;68;5280;2643;1773;1393;2054;907;2420;1174;1185.0;855;;;69;753.0;;289.0;;;;;629.0;;23.0;;;;;;;;;;;;;;;22794
Deurne-G0762;34;74;1865;2093;2906;857;804;788;1031;1049;;335;603.0;;20;;230.0;21.0;;83.0;;;;;;;;;134.0;;75.0;;;;;;;;;12493
Deventer-G0150;124;133;4501;6115;3778;7009;6041;3957;2349;2838;1736.0;2237;1472.0;170.0;1251;;;;;;;;;;;;;;;;;;;;;;;;;32097
Diemen-G0384;36;27;1719;1338;467;2111;1214;1059;608;533;303.0;687;;;251;419.0;;155.0;;;;;90.0;;56.0;;;;;;;;;;;;;;;12308
Dinkelland-G1774;40;30;1706;1965;5003;701;738;462;938;459;103.0;199;417.0;47.0;13;;;;;;;;;;;;;;;;;;;;;;;;;7983
Doesburg-G0221;17;9;736;602;467;511;596;365;368;493;136.0;261;184.0;13.0;178;;;;;;;;;;;56.0;;;;;;;;;;6.0;;;;4036
Doetinchem-G0222;60;68;3240;3322;3662;2323;2473;1705;1646;2107;782.0;871;1053.0;373.0;273;;;;;;;;;;;309.0;;;;;;;;;;23.0;;;;21090
Dongen-G0766;14;46;1418;1719;1408;697;848;919;654;949;;331;411.0;;124;;267.0;25.0;;215.0;;;;;;;;;171.0;;50.0;;;;;;;;;10154
Dordrecht-G0505;145;107;7231;5860;3079;4506;3816;3334;3804;2645;3153.0;2295;2208.0;1811.0;1599;;;160.0;;;;;;287.0;120.0;;;;;;;;;;;89.0;;;;43239
Drechterland-G0498;18;33;1880;1773;1231;686;699;576;511;507;171.0;311;;;4;238.0;;222.0;;;;;276.0;;20.0;;;;;;;;;;;;;;;5894
Drimmelen-G1719;16;38;2028;2181;1446;791;765;812;974;953;;411;584.0;;6;;329.0;29.0;;148.0;;;;;;;;;122.0;;69.0;;;;;;;;;9907
Dronten-G0303;48;33;3039;3164;2744;1568;1076;889;1291;1063;1842.0;561;746.0;347.0;160;;;;;;;;;;;;;;;;;;;;;54.0;;108.0;56.0;11699
Druten-G0225;23;30;1308;1333;945;588;635;554;652;728;112.0;255;465.0;20.0;134;;;;;;;;;;;88.0;;;;;;;;;;;;;;6848
Duiven-G0226;28;20;1947;1983;1287;1067;993;798;725;765;312.0;435;646.0;36.0;40;;;;;;;;;;;175.0;;;;;;;;;;11.0;;;;8750
Echt-Susteren-G1711;31;70;1926;935;3129;1019;860;512;2238;836;109.0;433;434.0;;21;;;;;;;1455.0;;;;;;;;;;;;;;;;;;11660
Edam-Volendam-G0385;59;53;7609;1796;2758;1214;859;610;1684;482;230.0;625;;;50;326.0;;165.0;;;;;208.0;;11.0;;;;;;;;;;;;;;;9545
Ede-G0228;124;96;7177;6222;5844;4623;2675;2960;2747;1643;8013.0;1812;1487.0;8481.0;942;;;;;;;;;;;504.0;;;;;;;;;;94.0;;;;32031
Eemnes-G0317;6;10;745;874;603;372;552;302;239;152;178.0;206;146.0;30.0;1;;;;;;;;;;;;;;;;;208.0;;;;;;;;2428
Eersel-G0770;16;33;930;1269;2194;557;459;677;536;627;;256;333.0;;5;;310.0;21.0;;92.0;;;;;;;;;95.0;;50.0;;;;;;;;;6735
Eijsden-Margraten-G1903;33;28;1618;1312;3035;1281;700;758;973;610;114.0;546;362.0;;17;;;;;;;680.0;;;;;;;;;;;;;;;;;;8461
Eindhoven-G0772;272;302;9765;11504;5986;10839;6808;9649;5327;7431;;4478;3547.0;;1895;;1124.0;331.0;;1469.0;;;;;;;;;618.0;;1128.0;;;;;;;;;81890
Elburg-G0230;27;31;1406;1054;1427;375;406;266;600;320;2674.0;209;273.0;2004.0;8;;;;;;;;;;;52.0;;;;;;;;;;29.0;;;;6408
Emmen-G0114;136;89;7866;3581;5088;2296;8228;1735;5431;3610;2008.0;1134;1977.0;191.0;234;;;;;;;;;;;;;;;1694.0;;;;366.0;;;474.0;;;39053
Enkhuizen-G0388;20;27;1364;1041;656;703;777;550;470;897;357.0;354;;;73;168.0;;221.0;;;;;143.0;;14.0;;;;;;;;;;;;;;;6352
Enschede-G0153;240;221;10233;7781;5168;7131;6436;4968;6012;4795;3285.0;2496;1983.0;336.0;1701;;;;;;;;;;;;;;;;;;;;;;;;;56937
Epe-G0232;32;43;2212;2258;1904;1478;1408;814;1073;690;1388.0;678;697.0;867.0;180;;;;;;;;;;;193.0;;;;;;;;;;36.0;;;;10522
Ermelo-G0233;14;35;1764;1583;2210;880;653;572;601;401;2305.0;437;410.0;1185.0;33;;;;;;;;;;;112.0;;;;;;;;;;36.0;;;;7861
Etten-Leur-G0777;55;35;2524;2699;2468;1364;1049;1212;1522;1200;;503;694.0;;298;;626.0;40.0;;201.0;;;;;;;;;198.0;;93.0;;;;;;;;;16604
Geertruidenberg-G0779;27;26;1581;1416;1008;628;626;455;939;697;;255;398.0;;20;;237.0;85.0;;99.0;;;;;;;;;77.0;;51.0;;;;;;;;;8284
Geldrop-Mierlo-G1771;30;75;2427;2314;1996;1568;1162;1424;1340;1529;;678;831.0;;118;;395.0;32.0;;241.0;;;;;;;;;163.0;;125.0;;;;;;;;;14197
Gemert-Bakel-G1652;31;49;1766;1754;3035;720;540;716;1037;1545;;379;477.0;;25;;238.0;22.0;;66.0;;;;;;;;;118.0;;62.0;;;;;;;;;10713
Gennep-G0907;14;34;973;909;1450;574;653;502;489;985;62.0;238;197.0;;22;;;;;;;57.0;;;;;;;;;;;;;;;;;;6397
Gilze en Rijen-G0784;29;36;1689;1720;1402;838;958;836;755;875;;339;562.0;;209;;308.0;29.0;;87.0;;;;;;;;;116.0;;56.0;;;;;;;;;9442
Goeree-Overflakkee-G1924;65;44;4584;3184;2106;712;1623;587;1712;822;2446.0;608;889.0;4880.0;12;;;67.0;;;;;;203.0;8.0;;;;;;;;;;;33.0;;;;14504
Goes-G0664;41;32;1798;1695;3926;1297;1588;824;937;892;948.0;656;804.0;1394.0;64;;;;;;;;;;;;706.0;;;;;;;;;;;;;12219
Goirle-G0785;26;33;1411;1778;1228;1027;750;1080;688;1030;;401;409.0;;40;;221.0;18.0;;64.0;;;;;;;;;99.0;;61.0;;;;;;;;;8221
Gooise Meren-G1942;44;76;3227;6782;2294;3445;2229;3590;1013;763;1015.0;1389;;;135;835.0;;296.0;;;;;151.0;;46.0;;;;;;;;;;;;;;;15126
Gorinchem-G0512;47;33;2157;2236;1032;1167;1197;1089;965;1054;1115.0;550;512.0;439.0;534;;;108.0;;;;;;78.0;40.0;;;;;;;;;;;33.0;;;;13150
Gouda-G0513;134;82;4368;3806;2123;3919;2822;3023;1897;1367;3220.0;1563;1314.0;1755.0;734;;;95.0;;;;;;224.0;112.0;;;;;;;;;;;;;;;22387
Grave-G0786;16;22;859;782;769;410;348;384;368;592;;170;174.0;;4;;404.0;20.0;;51.0;;;;;;;;;40.0;;24.0;;;;;;;;;4309
Groningen-G0014;217;251;7955;9823;5431;20940;12894;11163;3634;7821;7559.0;6069;1628.0;;398;;;;;;3636.0;;;;;;;3296.0;;;;;;;;;;;;74909
Gulpen-Wittem-G1729;17;31;930;545;1732;775;392;335;803;477;69.0;330;248.0;;8;;;;;;;185.0;;;;;;;;;;;;;;;;;;4966
Haaksbergen-G0158;29;47;1756;1794;2677;668;1049;676;820;653;190.0;249;552.0;50.0;146;;;;;;;;;;;;;;;;;;;;;;;;;7842
Haaren-G0788;8;26;740;1118;1237;530;322;548;344;456;;237;202.0;;10;;327.0;14.0;;46.0;;;;;;;;;58.0;;27.0;;;;;;;;;5166
Haarlem-G0392;224;189;7531;8065;3181;13443;8186;8238;3223;3276;2031.0;5054;;;1331;1751.0;;1086.0;;;;;732.0;;274.0;;;;;;;;;;;;;;;49436
Haarlemmermeer-G0394;190;116;12774;10427;5039;6006;4594;4548;4173;2241;2888.0;2422;;;603;2116.0;;896.0;;;;;725.0;;299.0;;;;;;;;;;;;;;;52688
Halderberge-G1655;26;17;2037;2064;1805;690;611;604;1249;954;;345;493.0;;104;;410.0;24.0;;131.0;;;;;;;;;72.0;;204.0;;;;;;;;;11686
Hardenberg-G0160;58;65;4117;2860;6366;1422;1828;771;2246;1300;4535.0;564;1390.0;751.0;34;;;;;;;;;;;;;;;;;;;;;;;;;18211
Harderwijk-G0243;57;45;2898;3172;2562;1573;1551;1123;1201;718;3112.0;680;708.0;729.0;671;;;;;;;;;;;239.0;;;;;;;;;;33.0;;;;14551
Hardinxveld-Giessendam-G0523;11;11;1073;819;760;176;493;159;568;236;1937.0;136;247.0;2077.0;16;;;22.0;;;;;;41.0;3.0;;;;;;;;;;;22.0;;;;4772
Harlingen-G0072;19;17;1233;760;1012;521;1099;228;424;403;321.0;319;250.0;39.0;3;;;;246.0;;;;;;;;;;;;;;159.0;;82.0;;;;;5254
Hattem-G0244;14;19;654;740;857;599;629;317;247;223;1374.0;181;140.0;197.0;17;;;;;;;;;;;32.0;;;;;;;;;;5.0;;;;3176
Heemskerk-G0396;51;55;3113;2018;1621;2268;1634;1185;1157;1062;533.0;703;;;204;617.0;;326.0;;;;;341.0;;50.0;;;;;;;;;;;;;;;13551
Heemstede-G0397;31;26;1510;3583;1326;1840;1103;2024;386;365;404.0;749;;;17;385.0;;162.0;;;;;105.0;;22.0;;;;;;;;;;;;;;;6492
Heerde-G0246;26;22;1025;804;1647;670;799;314;575;332;1585.0;304;252.0;440.0;16;;;;;;;;;;;66.0;;;;;;;;;;34.0;;;;5704
Heerenveen-G0074;88;83;2695;2869;2789;2101;3897;1297;1145;1370;1106.0;812;602.0;105.0;116;;;;1526.0;;;;;;;;;;;;;;465.0;;224.0;;;;;15961
Heerhugowaard-G0398;93;77;4129;3253;1947;2208;1843;1660;1457;1396;707.0;876;;;238;676.0;;654.0;;;;;980.0;;55.0;;;;;;;;;;;;;;;19807
Heerlen-G0917;122;100;4627;2444;3704;2276;2036;1406;5628;5627;370.0;1839;1197.0;;362;;;;;;;1083.0;;;;;;;;;;;;;;;;;;36026
Heeze-Leende-G1658;25;35;892;1437;1411;581;481;674;445;539;;288;298.0;;12;;188.0;22.0;;86.0;;;;;;;;;83.0;;43.0;;;;;;;;;5153
Heiloo-G0399;23;27;1698;2360;1075;1751;1291;1322;511;472;412.0;771;;;23;312.0;;167.0;;;;;215.0;;13.0;;;;;;;;;;;;;;;6139
Hellendoorn-G0163;40;53;2462;2092;5112;1446;1098;725;1179;946;1189.0;334;542.0;180.0;34;;;;;;;;;;;;;;;;;;;;;;;;;10701
Hellevoetsluis-G0530;52;50;4572;2648;853;892;1403;788;1647;741;429.0;674;1123.0;82.0;201;;;42.0;;;;;;238.0;28.0;;;;;;;;;;;20.0;;;;14915
Helmond-G0794;125;120;5232;4505;2735;2722;2037;2068;4242;3171;;979;1811.0;;718;;414.0;67.0;;317.0;;;;;;;;;414.0;;203.0;;;;;;;;;34476
Hendrik-Ido-Ambacht-G0531;31;33;2442;2064;991;565;769;731;907;483;1220.0;365;549.0;2241.0;77;;;55.0;;;;;;236.0;19.0;;;;;;;;;;;17.0;;;;9203
Hengelo-G0164;93;111;5092;4936;4173;3678;3789;2524;2774;3795;1167.0;1355;1205.0;152.0;619;;;;;;;;;;;;;;;;;;;;;;;;;27329
Het Hogeland-G1966;35;76;1899;1652;3179;2179;3054;776;1115;1739;3206.0;816;378.0;;12;;;;;;1988.0;;;;;;;984.0;;;;;;;;;;;;14678
Heumen-G0252;26;25;923;1356;1087;1146;726;844;350;613;157.0;383;347.0;7.0;18;;;;;;;;;;;111.0;;;;;;;;;;;;;;4901
Heusden-G0797;49;77;2911;3395;2303;1323;1007;1442;1538;1474;;634;730.0;;183;;470.0;37.0;;339.0;;;;;;;;;252.0;;147.0;;;;;;;;;15761
Hillegom-G0534;35;21;1987;1792;885;889;694;814;661;312;247.0;433;665.0;66.0;60;;;28.0;;;;;;111.0;10.0;;;;;;;;;;;;;;;6862
Hilvarenbeek-G0798;18;18;858;1460;1476;568;427;611;350;604;;269;263.0;;3;;182.0;21.0;;57.0;;;;;;;;;85.0;;40.0;;;;;;;;;4891
Hilversum-G0402;100;95;4842;6174;2334;5956;3290;4880;2050;1694;1882.0;2338;;;630;1396.0;;471.0;;;;;265.0;;100.0;;;;;;;;;;;;;;;26575
Hoeksche Waard-G1963;95;77;8067;5982;4170;2113;2797;2282;2590;1624;2563.0;1393;1723.0;4228.0;46;;;205.0;;;;;;364.0;19.0;;;;;;;;;;;47.0;;;;28154
Hof van Twente-G1735;45;33;2302;3238;4549;1151;1777;969;959;909;316.0;422;613.0;115.0;83;;;;;;;;;;;;;;;;;;;;;;;;;10319
Hollands Kroon-G1911;47;56;4484;3065;2589;1361;1528;1110;1520;1034;716.0;644;;;19;492.0;;293.0;;;;;1736.0;;18.0;;;;;;;;;;;;;;;17786
Hoogeveen-G0118;61;77;3980;2174;3770;1213;2202;928;2207;1909;2396.0;528;799.0;654.0;81;;;;;;;;;;;;;;;712.0;;;;228.0;;;127.0;;;19018
Hoorn-G0405;98;105;5190;3952;2012;3923;3016;2364;2057;1913;808.0;1551;;;398;915.0;;555.0;;;;;805.0;;93.0;;;;;;;;;;;;;;;25440
Horst aan de Maas-G1507;31;67;2391;1862;5545;1308;950;1455;1412;1809;138.0;446;552.0;;23;;;;;;;313.0;;;;;;;;;;;;;;;;;;14410
Houten-G0321;41;49;2757;3890;2716;3818;1852;2039;1142;818;2181.0;943;736.0;659.0;65;;;;;;;;;;;;;;;;;239.0;;;;;;;;12999
