RegioNaam;@invalid;@blank;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50+;SGP;DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs
Vlaardingen-G0622;80;114;5657;3325;1895;2175;2430;1782;2386;1764;1283.0;1162;1482.0;503.0;1180;;;152.0;;;;;;130.0;90.0;;;;;;;;;;;37.0;;;;26526
Vlieland-G0096;0;0;58;118;26;46;61;34;17;18;8.0;22;17.0;0.0;0;;;;13.0;;;;;;;;;;;;;;6.0;;11.0;;;;;427
Vlissingen-G0718;50;58;2430;1764;1794;1228;1697;892;1195;1098;622.0;838;1652.0;511.0;173;;;;;;;;;;;;1038.0;;;;;;;;;;;;;16684
Voerendaal-G0986;11;22;721;653;1051;455;403;418;600;456;73.0;353;184.0;;7;;;;;;;552.0;;;;;;;;;;;;;;;;;;4151
Voorschoten-G0626;29;40;1804;2762;1257;1642;1105;1523;544;366;420.0;541;483.0;51.0;55;;;33.0;;;;;;88.0;7.0;;;;;;;;;;;;;;;6132
Voorst-G0285;23;36;1453;1997;1877;1105;1063;839;580;605;478.0;411;589.0;308.0;44;;;;;;;;;;;213.0;;;;;;;;;;14.0;;;;7732
Vught-G0865;21;31;1274;2731;1067;1304;948;1658;492;1249;;500;261.0;;6;;164.0;13.0;;139.0;;;;;;;;;86.0;;46.0;;;;;;;;;8301
Waadhoeke-G1949;46;38;2779;1832;4144;1331;2697;666;1118;1066;1017.0;622;520.0;94.0;20;;;;2329.0;;;;;;;;;;;;;;494.0;;178.0;;;;;14660
Waalre-G0866;20;18;977;1800;970;774;474;935;381;532;;375;329.0;;16;;143.0;26.0;;122.0;;;;;;;;;91.0;;146.0;;;;;;;;;4989
Waalwijk-G0867;30;51;3004;2830;1918;1238;953;1242;1549;1448;;580;750.0;;206;;513.0;33.0;;1585.0;;;;;;;;;168.0;;89.0;;;;;;;;;18596
Waddinxveen-G0627;24;25;2162;1974;1125;842;784;856;728;387;1645.0;390;614.0;1382.0;168;;;40.0;;;;;;91.0;32.0;;;;;;;;;;;;;;;8145
Wageningen-G0289;31;52;1234;1812;1093;4744;2104;2765;522;1002;1143.0;1305;389.0;194.0;68;;;;;;;;;;;253.0;;;;;;;;;;11.0;;;;9410
Wassenaar-G0629;50;28;2248;3600;1386;670;490;889;598;222;243.0;442;373.0;38.0;22;;;21.0;;;;;;177.0;11.0;;;;;;;;;;;;;;;6324
Waterland-G0852;18;22;1875;1206;1193;1320;900;710;501;390;269.0;494;;;5;213.0;;117.0;;;;;150.0;;6.0;;;;;;;;;;;;;;;4166
Weert-G0988;55;86;3364;2870;3674;1579;1089;1286;2000;1465;176.0;580;604.0;;340;;;;;;;1244.0;;;;;;;;;;;;;;;;;;18624
Weesp-G0457;29;27;1129;1244;731;1347;848;910;464;504;242.0;448;;;159;328.0;;115.0;;;;;73.0;;24.0;;;;;;;;;;;;;;;5857
West Betuwe-G1960;65;53;4668;3514;2485;1406;1518;1237;1740;801;1626.0;726;884.0;2888.0;68;;;;;;;;;;;530.0;;;;;;;;;;;;;;14641
West Maas en Waal-G0668;19;39;1588;1614;1217;498;477;450;763;912;109.0;270;460.0;20.0;3;;;;;;;;;;;94.0;;;;;;;;;;;;;;6758
Westerkwartier-G1969;61;74;3185;2476;3983;2788;2851;1324;1384;1478;4772.0;694;642.0;;24;;;;;;2682.0;;;;;;;862.0;;;;;;;;;;;;19568
Westerveld-G1701;13;29;1149;1846;942;1157;1219;569;498;478;439.0;608;382.0;74.0;5;;;;;;;;;;;;;;;566.0;;;;201.0;;;52.0;;;5767
Westervoort-G0293;19;29;1095;890;713;670;688;379;490;560;220.0;321;318.0;17.0;49;;;;;;;;;;;71.0;;;;;;;;;;8.0;;;;5357
Westerwolde-G1950;17;36;1707;975;1195;687;1288;361;1276;1064;575.0;521;325.0;;11;;;;;;725.0;;;;;;;418.0;;;;;;;;;;;;8820
Westland-G1783;112;140;11804;10135;8325;1981;2263;2591;3444;1103;2276.0;1266;1940.0;784.0;275;;;113.0;;;;;;331.0;82.0;;;;;;;;;;;42.0;;;;32084
Weststellingwerf-G0098;28;39;1791;1568;1784;820;1525;474;857;750;397.0;455;443.0;53.0;27;;;;281.0;;;;;;;;;;;;;;282.0;;120.0;;;;;9040
Westvoorne-G0614;20;21;1747;1802;570;295;555;497;508;240;216.0;345;342.0;42.0;6;;;24.0;;;;;;65.0;3.0;;;;;;;;;;;3.0;;;;4650
Wierden-G0189;21;18;1760;1817;3184;521;560;460;781;370;1462.0;160;487.0;599.0;8;;;;;;;;;;;;;;;;;;;;;;;;;6666
Wijchen-G0296;47;80;2752;2828;2908;1505;1491;1352;1322;1472;305.0;628;1095.0;45.0;100;;;;;;;;;;;191.0;;;;;;;;;;;;;;14166
Wijdemeren-G1696;26;27;2067;2474;1478;1172;794;1048;668;409;605.0;526;;;10;376.0;;170.0;;;;;75.0;;11.0;;;;;;;;;;;;;;;6957
Wijk bij Duurstede-G0352;22;28;1576;1959;1371;1460;701;639;739;702;545.0;424;383.0;420.0;38;;;;;;;;;;;;;;;;;206.0;;;;;;;;7388
Winterswijk-G0294;30;45;1611;2365;2079;1143;1427;958;592;908;292.0;324;480.0;50.0;73;;;;;;;;;;;122.0;;;;;;;;;;12.0;;;;10090
Woensdrecht-G0873;17;24;1541;1307;1010;366;441;574;902;539;;314;404.0;;12;;289.0;18.0;;88.0;;;;;;;;;67.0;;40.0;;;;;;;;;8206
Woerden-G0632;43;72;3048;3897;4111;2692;1754;1789;1087;865;2014.0;936;643.0;994.0;277;;;;;;;;;;;;;;;;;557.0;;;;;;;;14659
Wormerland-G0880;21;23;1287;1134;591;1050;854;550;484;517;261.0;434;;;52;267.0;;131.0;;;;;149.0;;4.0;;;;;;;;;;;;;;;5171
Woudenberg-G0351;9;14;743;864;871;397;308;243;262;161;814.0;161;196.0;1539.0;11;;;;;;;;;;;;;;;;;47.0;;;;;;;;3146
Zaanstad-G0479;210;161;10610;6559;2939;7335;6230;4114;4873;4526;1949.0;3375;;;2397;2135.0;;982.0;;;;;1181.0;;210.0;;;;;;;;;;;;;;;54877
Zaltbommel-G0297;33;28;1567;1701;1477;900;779;683;740;561;1112.0;410;424.0;2300.0;74;;;;;;;;;;;114.0;;;;;;;;;;;;;;7875
Zandvoort-G0473;35;33;1811;1424;562;556;586;496;768;261;104.0;378;;;28;195.0;;75.0;;;;;273.0;;4.0;;;;;;;;;;;;;;;5777
Zeewolde-G0050;24;25;1812;1750;1154;856;505;496;532;347;1183.0;331;424.0;203.0;27;;;;;;;;;;;;;;;;;;;;;23.0;;52.0;42.0;6234
Zeist-G0355;77;84;3175;5645;2409;4958;2096;2882;1365;1007;1754.0;1597;768.0;578.0;587;;;;;;;;;;;;;;;;;548.0;;;;;;;;18459
Zevenaar-G0299;46;58;2942;2765;2669;1466;1779;1167;1487;1356;311.0;625;989.0;46.0;126;;;;;;;;;;;418.0;;;;;;;;;;23.0;;;;16585
Zoetermeer-G0637;170;125;10096;8012;2999;4239;4448;4041;4328;2421;2136.0;2186;3204.0;703.0;548;;;204.0;;;;;;414.0;107.0;;;;;;;;;;;;;;;45048
Zoeterwoude-G0638;20;14;665;773;576;377;352;412;229;182;137.0;159;198.0;32.0;14;;;6.0;;;;;;51.0;2.0;;;;;;;;;;;;;;;2479
Zuidplas-G1892;51;38;3366;3493;1620;1113;1149;1320;1037;792;1938.0;630;860.0;1655.0;165;;;48.0;;;;;;203.0;28.0;;;;;;;;;;;;;;;12900
Zundert-G0879;25;25;1361;1582;1647;428;363;568;753;620;;262;345.0;;17;;333.0;19.0;;71.0;;;;;;;;;53.0;;42.0;;;;;;;;;8381
Zutphen-G0301;41;60;2238;2491;1430;3685;2812;1768;1171;2029;994.0;1792;760.0;111.0;291;;;;;;;;;;;240.0;;;;;;;;;;69.0;;;;15146
Zwartewaterland-G1896;20;17;1224;771;1593;363;560;193;667;409;2236.0;181;260.0;2700.0;4;;;;;;;;;;;;;;;;;;;;;;;;;5325
Zwijndrecht-G0642;38;51;3372;2340;1639;1000;1225;874;1408;863;1550.0;591;1004.0;1022.0;356;;;50.0;;;;;;276.0;35.0;;;;;;;;;;;21.0;;;;16797
Zwolle-G0193;125;166;5446;7677;5118;9889;6007;5031;2780;3738;7859.0;2894;1572.0;809.0;722;;;;;;;;;;;;;;;;;;;;;;;;;37717
