RegioNaam;@invalid;@blank;PvdA;VVD;CDA;D66;GL;SP;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;DG;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief;@abs
Meijel-G0941;;10;873;674;895;142;138;66;3;1;0;32.0;53;10.0;12;13;4;8;4.0;0;9.0;0.0;0;0.0;1419.0
Menaldumadeel-G0083;;16;2968;1518;2217;642;484;223;118;16;73;27.0;20;;12;21;7;7;;3;;5.0;7;;1912.0
Menterwolde-G1987;;14;3541;1141;631;452;362;624;92;5;162;36.0;52;25.0;12;28;5;8;1.0;3;;22.0;3;;2352.0
Meppel-G0119;;0;6231;4074;2802;1497;1061;516;374;38;599;;77;98.0;54;34;20;31;6.0;21;;7.0;7;0.0;4803.0
Middelburg-G0687;;26;6658;4766;3748;2107;1970;842;1623;1902;442;108.0;162;93.0;77;48;26;40;6.0;24;19.0;15.0;11;;8588.0
Middelharnis-G0559;;13;2411;1897;1143;452;337;170;887;1565;114;44.0;27;49.0;30;14;10;7;4.0;2;11.0;1.0;5;1.0;3245.0
Middenveld-G1697;;13;7115;4139;4396;1381;998;429;244;49;395;;69;120.0;58;93;21;18;0.0;18;;12.0;10;4.0;4674.0
Mierlo-G0814;;13;1722;1477;1335;586;353;216;18;4;9;44.0;63;27.0;22;15;8;10;7.0;4;4.0;;0;1.0;1695.0
Mill en Sint Hubert-G0815;;15;1998;1266;2195;228;277;269;2;4;15;45.0;30;34.0;19;32;9;8;10.0;1;9.0;;1;3.0;2004.0
Millingen aan de Rijn-G0265;;6;1451;594;566;219;145;74;8;1;8;;9;6.0;8;6;5;3;5.0;2;;1.0;0;0.0;1330.0
Monster-G0562;;19;1989;3899;2918;726;366;138;304;438;193;107.0;37;71.0;50;39;12;12;33.0;3;15.0;1.0;3;4.0;3693.0
Montfoort-G0335;;6;1639;2391;1643;712;469;96;400;431;38;58.0;20;50.0;22;24;12;6;9.0;7;4.0;1.0;0;0.0;1715.0
Mook en Middelaar-G0944;;7;1200;1303;917;526;310;110;4;0;9;12.0;15;7.0;9;8;12;7;7.0;8;1.0;0.0;0;0.0;1216.0
Moordrecht-G0563;;14;1142;1143;611;354;196;118;132;214;58;38.0;15;27.0;7;14;5;4;3.0;14;;0.0;1;0.0;1260.0
Muiden-G0424;;9;1138;1450;609;690;235;71;35;9;20;19.0;18;30.0;12;19;2;10;0.0;2;;0.0;1;0.0;835.0
Naaldwijk-G0565;;14;2555;6078;5141;939;468;175;352;156;105;129.0;76;81.0;38;52;23;16;10.0;2;22.0;5.0;0;5.0;4673.0
Naarden-G0425;;10;2041;4496;1324;1425;628;109;97;53;59;24.0;30;33.0;16;32;12;23;7.0;4;;2.0;5;1.0;2206.0
Nederhorst den Berg-G0426;;2;749;1089;647;347;180;63;27;15;11;8.0;11;37.0;14;18;10;3;1.0;0;;1.0;0;1.0;748.0
Nederlek-G0643;;22;3126;2639;1054;783;367;158;216;655;95;47.0;44;56.0;24;25;8;12;1.0;0;;0.0;1;2.0;1887.0
Nederweert-G0946;;39;2489;1875;3139;457;370;206;16;1;5;96.0;87;39.0;28;35;11;16;14.0;1;22.0;1.0;0;0.0;3193.0
Neede-G0266;;9;2612;1408;1785;453;284;143;53;3;104;30.0;23;35.0;11;25;3;6;3.0;2;4.0;0.0;1;0.0;1662.0
Neerijnen-G0304;;19;2026;1659;1132;356;198;96;182;687;59;;13;38.0;13;23;10;3;3.0;0;;2.0;0;1.0;1724.0
Niedorp-G0412;;6;2078;1893;945;644;414;161;20;2;18;30.0;20;73.0;23;31;13;13;6.0;2;;1.0;1;3.0;2094.0
Nieuwegein-G0356;;29;9818;10038;4648;3721;2565;1072;464;190;253;219.0;89;261.0;469;88;41;50;23.0;52;40.0;10.0;10;3.0;12197.0
Nieuwerkerk aan den IJssel-G0567;;9;2674;3775;1617;1176;540;201;488;445;210;57.0;46;85.0;33;30;19;18;4.0;7;;3.0;0;2.0;3328.0
Nieuwkoop-G0569;;4;1341;1938;1452;630;356;120;187;105;19;52.0;18;37.0;23;42;6;5;3.0;2;;3.0;2;0.0;1885.0
Nieuw-Lekkerland-G0571;;9;1534;745;587;208;142;78;757;1172;112;26.0;14;34.0;11;9;0;5;1.0;0;3.0;2.0;0;0.0;968.0
Nieuwleusen-G0170;;10;1212;862;1766;200;120;72;154;141;356;10.0;23;23.0;5;30;6;11;1.0;0;;2.0;3;1.0;1200.0
Nijefurd-G0104;;5;1727;1103;2335;409;443;158;139;14;40;16.0;48;;20;24;7;7;;3;;4.0;1;;1566.0
Nijkerk-G0267;;14;2972;3195;4168;811;607;176;1017;1032;620;120.0;50;90.0;34;64;14;11;3.0;8;7.0;4.0;3;4.0;4825.0
Nijmegen-G0268;;190;27432;14152;11023;9665;13282;5847;304;39;233;;460;185.0;402;106;548;123;99.0;85;;47.0;56;15.0;33420.0
Noord-Beveland-G1695;;9;1155;1197;926;253;191;147;109;192;35;17.0;14;32.0;7;24;4;9;0.0;2;4.0;0.0;0;;1117.0
Noordenveld-G1699;;12;7055;4849;2423;1940;1271;400;178;36;421;;95;76.0;64;41;31;16;5.0;5;;9.0;2;2.0;4944.0
Noorder-Koggenland-G0529;;5;1671;1975;850;650;385;106;155;65;39;24.0;27;58.0;30;29;5;17;8.0;0;;0.0;1;1.0;1609.0
Noordoostpolder-G0171;;54;5465;5194;7054;1617;1137;454;1095;439;821;103.0;110;171.0;59;102;31;40;27.0;5;;17.0;9;;5873.0
Noordwijk-G0575;;7;3285;4940;2523;1146;1035;380;255;42;72;75.0;56;66.0;72;43;18;14;7.0;2;;2.0;1;6.0;4885.0
Noordwijkerhout-G0576;;7;1887;3191;2109;774;521;182;43;13;14;38.0;43;62.0;49;48;15;18;10.0;6;;4.0;0;3.0;2459.0
Nootdorp-G0577;;8;1019;1966;1230;527;256;91;51;19;36;32.0;24;29.0;26;19;5;6;7.0;2;;1.0;1;2.0;1458.0
Nuenen, Gerwen en Nederwetten-G0820;;11;3598;4173;2833;1738;892;350;51;12;52;61.0;53;73.0;46;38;11;38;17.0;3;16.0;;6;1.0;3463.0
Nunspeet-G0302;;6;2018;3036;3384;564;408;157;2227;3227;227;87.0;29;87.0;30;56;18;10;5.0;8;8.0;3.0;2;0.0;3221.0
Nuth-G0951;;14;2817;1959;2814;689;766;426;18;2;13;99.0;102;45.0;42;21;13;47;29.0;1;15.0;0.0;1;4.0;3133.0
Obdam-G0429;;4;850;1161;1091;334;218;65;8;3;0;21.0;15;30.0;9;10;7;9;7.0;1;;3.0;0;0.0;867.0
Oegstgeest-G0579;;13;2345;4435;1728;1890;944;216;160;28;186;33.0;40;48.0;39;21;25;46;13.0;14;;2.0;2;3.0;2176.0
Oirschot-G0823;;46;2880;2301;3183;647;534;240;9;5;4;85.0;47;48.0;31;29;12;10;7.0;4;32.0;;3;3.0;3052.0
Oisterwijk-G0824;;12;3740;4077;3461;1246;929;411;46;7;16;55.0;52;58.0;55;33;9;21;23.0;5;16.0;4.0;4;0.0;4887.0
Oldebroek-G0269;;15;2328;1530;2795;345;225;165;2408;1670;545;54.0;18;39.0;16;35;6;6;0.0;0;7.0;0.0;1;0.0;3796.0
Oldenzaal-G0173;;22;5572;4225;5086;1410;1193;486;29;3;38;85.0;162;49.0;62;20;30;25;30.0;12;;6.0;7;7.0;4783.0
Olst-G0174;;28;1980;1275;1418;399;270;90;52;18;14;28.0;19;14.0;5;23;6;7;5.0;8;;2.0;0;1.0;1388.0
Ommen-G0175;;10;2077;1771;4131;517;305;128;250;45;1143;18.0;17;27.0;12;39;8;9;8.0;2;;1.0;2;0.0;1703.0
Onderbanken-G0881;;24;1421;843;1254;251;311;226;10;3;9;76.0;38;22.0;29;6;10;19;14.0;4;4.0;4.0;2;0.0;1912.0
Oostburg-G0692;;21;3221;2758;1693;648;439;186;149;108;82;51.0;51;55.0;31;37;15;11;11.0;2;12.0;9.0;0;;3950.0
Oosterhout-G0826;;20;8472;7698;4618;2735;1797;1003;111;11;61;184.0;144;153.0;108;71;72;41;28.0;48;51.0;20.0;6;7.0;11371.0
Oostflakkee-G0580;;13;1986;1127;881;314;209;138;487;537;36;54.0;30;60.0;10;22;9;6;6.0;0;6.0;3.0;2;0.0;1834.0
Ooststellingwerf-G0085;;40;5815;2780;3121;935;1081;402;173;64;337;62.0;57;;37;71;20;31;;3;;14.0;4;;4385.0
Oostzaan-G0431;;3;1500;1833;361;505;541;134;88;19;20;61.0;26;61.0;22;22;6;14;1.0;4;;4.0;1;1.0;1488.0
Ootmarsum-G0176;;5;791;755;1156;158;134;25;7;2;3;9.0;25;10.0;6;4;3;5;1.0;0;;1.0;0;0.0;400.0
Opmeer-G0432;;4;1543;1851;1594;487;323;106;35;4;11;18.0;33;55.0;33;20;8;9;12.0;2;;4.0;2;1.0;1773.0
Opsterland-G0086;;21;6175;2719;3555;1275;1081;570;334;69;845;54.0;38;;23;47;22;20;;7;;47.0;3;;4426.0
Oss-G0828;;35;8704;7721;6147;2568;1260;7166;53;10;47;242.0;92;136.0;91;96;33;35;37.0;16;29.0;;6;5.0;13948.0
Oud-Beijerland-G0584;;10;3123;3400;1709;1209;671;223;599;1201;103;50.0;77;84.0;41;24;12;18;5.0;1;8.0;1.0;5;0.0;3497.0
Ouder-Amstel-G0437;;5;1740;2441;1114;956;462;98;66;51;36;38.0;29;50.0;38;16;26;12;7.0;6;;0.0;1;0.0;2071.0
Ouderkerk-G0644;;25;1230;1199;776;317;142;61;308;805;89;23.0;20;22.0;6;14;5;5;0.0;1;;0.0;0;0.0;1094.0
Oudewater-G0589;;17;1244;1618;1664;428;242;77;279;189;38;37.0;34;33.0;21;28;2;7;18.0;4;4.0;2.0;0;1.0;1453.0
Papendrecht-G0590;;12;4832;4612;2557;1494;844;377;996;657;208;76.0;70;69.0;66;35;13;24;3.0;19;15.0;2.0;1;5.0;5153.0
Pekela-G0765;;9;3526;838;942;269;757;281;204;12;51;57.0;37;25.0;16;17;18;2;7.0;2;;72.0;0;;3225.0
Pijnacker-G0594;;16;2222;4081;2954;1355;637;182;198;229;158;83.0;26;77.0;44;35;22;13;16.0;3;;4.0;19;0.0;2399.0
Purmerend-G0439;;28;11137;12125;2807;3529;2819;1207;294;23;84;194.0;461;521.0;377;112;72;51;16.0;35;;37.0;7;13.0;13933.0
Putten-G0273;;9;2102;2742;4222;617;356;126;1475;1166;341;67.0;39;58.0;26;81;8;8;1.0;2;10.0;1.0;3;1.0;3037.0
Raalte-G0177;;20;4549;2676;7207;956;657;337;70;11;32;52.0;26;51.0;22;69;15;15;32.0;2;;1.0;1;4.0;4232.0
Ravenstein-G0835;;6;1634;866;1454;337;276;488;3;3;7;38.0;14;20.0;15;16;5;3;4.0;2;9.0;;1;3.0;1170.0
Reeuwijk-G0595;;6;1350;2635;1607;648;315;103;411;547;79;41.0;21;28.0;28;44;4;5;9.0;2;;1.0;1;1.0;1677.0
Reiderland-G1661;;26;1842;475;150;128;259;345;37;1;9;38.0;31;23.0;11;14;11;6;0.0;3;;563.0;8;;1539.0
Reimerswaal-G0703;;9;2368;2127;1651;483;337;224;552;3119;111;46.0;43;71.0;30;34;10;9;4.0;3;12.0;6.0;3;;3406.0
Renkum-G0274;;14;5443;5728;3673;2299;1471;483;316;106;152;66.0;150;68.0;73;52;36;26;20.0;11;18.0;6.0;8;1.0;5157.0
Renswoude-G0339;;1;302;597;710;81;44;34;153;269;23;20.0;9;14.0;2;23;0;2;0.0;0;0.0;0.0;1;0.0;525.0
Reusel-De Mierden-G1667;;0;1978;1197;2333;286;294;178;6;5;9;40.0;21;38.0;27;31;3;5;15.0;3;21.0;;2;1.0;2434.0
Rheden-G0275;;27;9160;6716;4327;2613;1889;777;439;44;200;148.0;165;87.0;93;50;54;54;17.0;27;23.0;8.0;6;3.0;8322.0
Rhenen-G0340;;8;2472;2395;1701;703;504;184;390;1355;82;53.0;99;84.0;18;23;13;7;5.0;5;11.0;1.0;3;0.0;2684.0
Ridderkerk-G0597;;50;7992;6264;3902;1759;1080;822;1095;2587;500;154.0;117;189.0;105;65;44;30;16.0;16;32.0;9.0;11;2.0;9292.0
Rijnsburg-G0602;;4;1247;1954;2884;307;255;61;620;155;460;26.0;14;32.0;24;15;3;4;1.0;0;;3.0;0;0.0;2175.0
Rijnwaarden-G0196;;11;2530;1155;1240;421;338;120;14;0;12;55.0;16;28.0;16;13;6;4;3.0;1;6.0;0.0;0;0.0;2366.0
Rijnwoude-G1672;;6;2517;3148;2709;1011;518;172;416;674;80;43.0;26;64.0;20;57;14;23;5.0;3;;0.0;2;2.0;2779.0
Rijssen-G0178;;10;2368;1519;3255;258;283;182;2684;4777;138;58.0;28;53.0;4;25;5;3;5.0;2;;2.0;2;1.0;2473.0
Rijswijk-G0603;;75;6953;10093;4270;3233;1982;820;316;127;198;278.0;165;192.0;182;70;39;49;62.0;67;66.0;10.0;8;1.0;9370.0
Roerdalen-G1669;;13;1703;1454;1285;394;362;116;6;0;4;66.0;38;14.0;15;14;1;76;9.0;1;7.0;1.0;0;1.0;2142.0
Roermond-G0957;;82;5882;5814;3552;1710;1884;654;61;10;38;264.0;314;66.0;96;43;34;155;70.0;24;43.0;3.0;5;4.0;11718.0
Roggel en Neer-G1670;;5;1223;1130;1302;261;353;90;6;2;9;28.0;36;15.0;34;16;12;25;5.0;0;4.0;0.0;1;1.0;1747.0
Roosendaal-G1674;;52;10082;10228;6956;2766;2405;1509;193;27;92;427.0;137;219.0;220;89;82;59;35.0;65;82.0;40.0;10;2.0;19244.0
Rossum-G0276;;9;564;500;448;170;125;82;4;4;11;;10;10.0;4;14;5;3;1.0;0;;1.0;0;2.0;533.0
Rotterdam-G0599;;1215;96189;60256;24525;24147;23298;15810;3219;2742;2395;3319.0;2452;1497.0;1378;470;395;613;175.0;228;1053.0;219.0;83;76.0;160272.0
Rozenburg-G0600;;8;2291;1910;1006;585;420;275;120;50;145;68.0;56;97.0;45;13;5;17;1.0;9;12.0;7.0;3;2.0;3170.0
Rozendaal-G0277;;0;100;422;134;125;57;12;8;2;3;1.0;0;2.0;1;1;1;2;0.0;3;0.0;0.0;0;0.0;80.0
Rucphen-G0840;;7;3735;2359;2058;408;427;382;31;0;4;372.0;49;70.0;33;12;14;12;8.0;2;15.0;19.0;2;0.0;7701.0
Ruurlo-G0278;;4;1500;1471;1119;323;174;62;24;9;15;20.0;20;23.0;6;25;12;5;2.0;0;0.0;1.0;0;0.0;1424.0
Sas van Gent-G0704;;4;1324;1098;684;371;239;126;17;25;10;39.0;25;12.0;13;14;4;2;5.0;1;2.0;2.0;2;;2089.0
Sassenheim-G0604;;15;1894;2856;2087;801;406;214;68;21;38;31.0;21;63.0;42;27;15;13;21.0;11;;5.0;2;5.0;2163.0
Schagen-G0441;;22;3169;3089;1260;1191;830;284;76;12;25;49.0;57;69.0;49;27;10;8;16.0;8;;4.0;5;4.0;3164.0
Scheemda-G0039;;21;3727;1183;1662;446;548;300;272;13;85;50.0;51;18.0;20;25;13;5;4.0;5;;295.0;1;;2355.0
Schermer-G0458;;10;773;913;640;316;172;59;19;3;7;13.0;12;33.0;8;9;5;9;2.0;0;;1.0;2;1.0;682.0
Scherpenzeel-G0279;;1;1017;1440;1138;299;163;58;456;846;44;32.0;20;70.0;5;16;5;5;3.0;0;3.0;0.0;2;1.0;1069.0
Schiedam-G0606;;34;13281;9151;4510;3187;2927;2136;482;177;203;447.0;513;321.0;131;59;58;47;25.0;32;51.0;20.0;13;10.0;17737.0
Schiermonnikoog-G0088;;3;267;216;183;111;106;17;3;0;14;1.0;2;;0;2;2;1;;0;;0.0;0;;
Schijndel-G0844;;36;3895;2579;2390;676;555;1333;6;9;9;102.0;49;43.0;62;36;13;17;7.0;9;19.0;;3;2.0;5191.0
Schinnen-G0962;;38;2304;1663;2361;698;574;304;28;1;19;66.0;129;25.0;26;18;15;39;18.0;3;13.0;2.0;4;0.0;2281.0
Schipluiden-G0607;;3;1029;1978;1958;515;284;58;115;48;47;22.0;11;24.0;9;15;5;5;7.0;4;3.0;0.0;0;0.0;1237.0
Schoonhoven-G0608;;10;1837;1894;1293;613;438;140;321;276;52;50.0;20;36.0;34;21;21;7;2.0;10;;1.0;4;0.0;1730.0
Schoorl-G0444;;4;1033;1261;650;514;359;142;16;2;15;35.0;22;23.0;17;3;28;13;6.0;2;;0.0;3;1.0;995.0
Schouwen-Duiveland-G1676;;40;5584;5791;3121;1347;998;336;930;1638;279;80.0;56;132.0;73;70;22;25;5.0;5;27.0;7.0;4;;4943.0
Sevenum-G0964;;6;955;737;1615;288;232;140;12;4;1;11.0;15;6.0;13;7;4;11;13.0;3;5.0;0.0;2;1.0;1458.0
's-Graveland-G0390;;7;1316;1984;1014;628;397;101;82;43;51;28.0;20;41.0;20;19;14;9;1.0;3;;1.0;0;0.0;1511.0
's-Gravendeel-G0517;;2;1645;1242;948;349;188;101;261;347;48;25.0;10;32.0;8;16;3;7;4.0;0;1.0;0.0;0;1.0;1473.0
's-Gravenhage-G0518;;638;60511;66875;25309;24079;19442;8035;2466;1365;1489;2178.0;1129;897.0;1343;393;625;547;328.0;354;;176.0;78;71.0;120677.0
's-Gravenzande-G0519;;12;1776;3896;3004;549;319;113;394;393;99;70.0;28;44.0;27;36;3;7;2.0;3;5.0;1.0;2;1.0;3071.0
's-Hertogenbosch-G0796;;76;19872;15986;10139;6610;6124;4578;201;43;232;457.0;487;229.0;236;178;133;105;114.0;65;102.0;;22;5.0;30383.0
Simpelveld-G0965;;5;2053;1029;1848;320;382;301;8;2;13;71.0;45;17.0;39;8;7;38;16.0;4;9.0;1.0;2;3.0;2346.0
Sint Anthonis-G1702;;27;1649;1049;3173;329;363;167;6;1;3;39.0;21;46.0;17;33;5;5;8.0;0;14.0;;0;2.0;1488.0
Sint-Michielsgestel-G0845;;34;4664;3349;3666;1268;797;798;18;2;21;84.0;183;56.0;76;63;24;26;21.0;3;26.0;;2;6.0;5660.0
Sint-Oedenrode-G0846;;33;3066;1984;2851;697;539;347;9;2;7;48.0;38;46.0;65;33;11;14;14.0;2;28.0;;5;10.0;3058.0
Sittard-G0968;;29;7383;5305;5076;2228;2612;1020;54;6;40;169.0;1086;59.0;86;48;36;78;59.0;31;38.0;13.0;5;2.0;12213.0
Skarsterlân-G0051;;13;5106;2933;4757;1023;845;311;297;31;102;60.0;38;;36;49;30;35;;7;;7.0;3;;4016.0
Sliedrecht-G0610;;5;4081;2600;1763;671;531;371;1068;2095;337;93.0;35;67.0;33;34;13;10;2.0;4;5.0;3.0;3;0.0;4203.0
Slochteren-G0040;;14;2917;1646;1225;732;420;249;132;32;788;21.0;187;29.0;39;43;9;5;1.0;1;;13.0;0;;2662.0
Sluis-Aardenburg-G1698;;2;1018;1027;741;211;117;76;15;5;10;17.0;19;11.0;5;14;2;5;4.0;5;5.0;1.0;0;;1242.0
Smallingerland-G0090;;30;10630;3987;7617;2042;2001;1239;1217;149;1170;94.0;58;;63;77;46;31;;11;;16.0;9;;8163.0
Sneek-G0091;;18;6088;3113;3981;1340;1176;505;380;25;103;68.0;43;;57;34;32;43;;4;;35.0;1;;6165.0
Soest-G0342;;25;5236;9279;4305;2634;1623;476;606;217;352;124.0;106;152.0;98;87;41;43;21.0;30;14.0;5.0;8;8.0;7763.0
Someren-G0847;;13;2658;2154;3044;496;513;292;20;4;18;88.0;65;62.0;45;39;16;7;11.0;3;18.0;;1;6.0;3757.0
Son en Breugel-G0848;;10;1934;2924;1984;950;446;230;38;3;24;22.0;32;49.0;34;34;6;24;11.0;5;6.0;;1;1.0;2379.0
Spijkenisse-G0612;;26;12368;11211;2901;3050;2197;1418;434;222;274;299.0;224;673.0;165;71;43;76;14.0;61;44.0;24.0;11;6.0;16855.0
Stad Delden-G0179;;10;1251;1296;1597;424;207;64;21;1;14;17.0;16;16.0;8;12;4;4;6.0;0;;0.0;0;1.0;831.0
Stadskanaal-G0037;;34;6638;2353;4501;750;784;608;1187;43;796;72.0;80;72.0;39;40;32;19;33.0;10;;24.0;6;;7540.0
Staphorst-G0180;;7;1039;1114;1713;231;134;62;1003;2706;788;37.0;6;56.0;12;60;4;5;1.0;11;;0.0;1;0.0;1339.0
Stede Broec-G0532;;6;3185;3410;2075;1059;927;373;98;19;33;77.0;67;127.0;66;34;15;22;14.0;6;;5.0;1;5.0;3954.0
Steenbergen-G0851;;20;4080;3373;2050;838;590;382;173;193;28;132.0;58;144.0;73;33;12;18;20.0;4;18.0;2.0;3;4.0;5587.0
Steenderen-G0280;;5;881;579;1225;190;119;45;17;6;10;18.0;7;9.0;3;20;5;8;0.0;0;0.0;0.0;0;9.0;541.0
Steenwijk-G0181;;41;4637;2712;2883;897;712;266;363;31;313;78.0;55;71.0;55;34;16;8;8.0;4;;2.0;3;4.0;3956.0
Stein-G0971;;76;4807;2991;3154;951;1191;622;24;4;26;205.0;230;65.0;69;18;27;50;38.0;38;23.0;4.0;3;5.0;6120.0
Strijen-G0617;;11;1631;1660;888;346;292;109;214;277;62;40.0;34;44.0;9;36;13;3;2.0;0;4.0;3.0;5;0.0;1423.0
Susteren-G0974;;32;2258;1435;1968;603;567;185;13;4;7;65.0;130;32.0;29;21;4;30;13.0;1;20.0;1.0;2;0.0;2702.0
Swalmen-G0975;;14;1458;943;1041;327;320;111;4;0;4;42.0;41;25.0;31;3;15;9;2.0;7;14.0;0.0;0;2.0;2150.0
Tegelen-G0976;;6;2935;2219;1944;577;616;232;10;1;7;286.0;76;16.0;66;8;10;29;46.0;3;21.0;4.0;0;2.0;4611.0
Ten Boer-G0009;;12;1384;586;997;358;217;101;131;33;524;12.0;13;7.0;14;6;1;5;2.0;1;;10.0;1;;858.0
Ter Aar-G0480;;3;1131;1689;1444;382;223;91;85;60;24;34.0;20;41.0;23;13;2;7;11.0;2;;0.0;1;0.0;1365.0
Terneuzen-G0715;;27;5434;4242;2898;1257;949;427;498;972;733;174.0;118;98.0;82;54;16;35;18.0;14;10.0;7.0;2;;7732.0
Terschelling-G0093;;1;1201;1111;549;416;343;86;30;2;25;9.0;9;;15;16;9;6;;1;;1.0;3;;12.0
Texel-G0448;;13;2288;2623;1715;948;780;204;112;42;41;23.0;33;61.0;27;32;28;28;4.0;3;;6.0;2;0.0;1102.0
Tholen-G0716;;15;3288;2357;1619;559;359;234;847;3070;153;78.0;97;82.0;24;26;13;17;3.0;6;8.0;4.0;3;;4196.0
Thorn-G0977;;19;494;313;443;104;111;40;1;1;3;15.0;12;7.0;7;5;0;8;3.0;2;0.0;0.0;1;0.0;509.0
Tiel-G0281;;19;6402;5460;2334;1531;1164;493;178;121;134;;63;95.0;89;52;29;10;8.0;7;;11.0;5;8.0;8145.0
Tilburg-G0855;;100;27305;20005;15377;8605;8616;5576;289;78;189;659.0;758;333.0;819;174;226;242;140.0;139;191.0;78.0;44;29.0;52054.0
Tubbergen-G0183;;9;2315;1842;7154;378;348;148;10;12;14;72.0;40;37.0;14;35;15;4;30.0;2;;2.0;3;5.0;2118.0
Tytsjerksteradiel-G0737;;9;5513;2835;6601;1262;1077;508;510;100;356;59.0;21;;40;68;31;22;;2;;5.0;2;;4595.0
Ubbergen-G0282;;8;1848;1366;1281;531;493;162;8;4;10;;15;22.0;17;17;23;4;3.0;7;;2.0;3;1.0;1541.0
Uden-G0856;;39;5062;5586;4771;1588;1006;2300;52;14;40;86.0;46;83.0;73;77;33;43;20.0;33;15.0;;3;2.0;8336.0
Uitgeest-G0450;;6;1905;2002;965;766;545;163;17;2;15;23.0;60;50.0;27;23;16;14;13.0;1;;6.0;2;5.0;1627.0
Uithoorn-G0451;;16;3381;6108;2295;1577;1023;246;150;18;48;57.0;72;166.0;86;68;21;38;11.0;9;;6.0;7;4.0;3998.0
Urk-G0184;;2;101;212;2090;19;29;24;1780;2580;693;42.0;3;10.0;2;14;0;0;4.0;0;;0.0;1;;1439.0
Utrecht-G0344;;208;36230;24993;11930;18858;19524;5836;1276;388;845;1087.0;503;443.0;577;199;511;226;142.0;187;99.0;86.0;45;24.0;52127.0
Vaals-G0981;;13;1656;689;1110;225;215;120;15;0;8;32.0;41;14.0;28;10;7;14;22.0;1;4.0;2.0;2;2.0;2001.0
Valburg-G0283;;5;1894;1795;1793;608;447;208;154;364;50;45.0;12;37.0;15;35;14;13;4.0;1;8.0;2.0;3;1.0;2222.0
Valkenburg (ZH)-G0619;;1;333;607;606;103;88;23;124;46;126;10.0;7;8.0;8;5;2;4;0.0;0;;1.0;1;1.0;511.0
Valkenburg aan de Geul-G0994;;15;2197;2139;4330;680;586;645;16;3;14;60.0;53;25.0;29;18;14;42;27.0;3;5.0;3.0;2;3.0;3248.0
Valkenswaard-G0858;;14;5460;4451;3339;1296;1092;771;63;2;13;127.0;51;129.0;103;48;23;31;29.0;1;17.0;;2;3.0;6836.0
Veendam-G0047;;30;7323;2958;1903;1006;823;603;267;10;210;103.0;231;61.0;41;30;24;20;3.0;9;;34.0;2;;6243.0
Veenendaal-G0345;;41;6250;7513;6258;1951;1572;411;3804;2886;964;197.0;80;199.0;57;74;37;22;11.0;12;16.0;7.0;4;4.0;9125.0
Veere-G0717;;24;2672;3451;3138;948;711;201;663;1754;278;44.0;70;74.0;35;42;16;26;7.0;4;8.0;5.0;1;;2526.0
Veghel-G0860;;22;5124;4625;5738;1254;1001;815;39;7;25;126.0;60;104.0;87;75;27;25;10.0;29;30.0;;3;4.0;6812.0
Veldhoven-G0861;;26;6493;5892;4782;1990;1243;1247;140;15;39;139.0;96;120.0;128;55;16;54;22.0;24;37.0;;7;4.0;8628.0
Velsen-G0453;;37;11186;10821;4870;3301;2592;948;598;81;349;213.0;200;348.0;296;99;78;65;32.0;14;;36.0;6;5.0;14145.0
Venhuizen-G0454;;6;1044;1647;957;427;227;61;18;3;4;27.0;20;28.0;24;26;9;8;8.0;0;;5.0;0;2.0;1000.0
Venlo-G0983;;21;7924;7938;7400;2117;2697;1078;77;11;61;427.0;130;93.0;230;30;44;73;73.0;62;33.0;13.0;9;6.0;17089.0
Venray-G0984;;16;5256;3946;5791;1507;1188;642;20;8;20;95.0;82;59.0;61;53;32;43;50.0;17;19.0;4.0;4;10.0;8575.0
Vianen-G0620;;12;2989;2889;1992;906;652;269;238;406;52;76.0;46;77.0;36;50;20;20;12.0;4;4.0;8.0;4;2.0;3547.0
Vlaardingen-G0622;;50;13275;10123;5098;3162;2782;2807;921;836;466;323.0;295;211.0;171;74;59;49;26.0;23;55.0;11.0;7;13.0;16414.0
Vlagtwedde-G0048;;10;3585;1547;2026;375;416;297;256;13;50;64.0;62;39.0;30;34;12;11;5.0;0;;16.0;1;;3884.0
Vleuten-De Meern-G0347;;5;2535;4190;2575;1235;676;264;128;89;114;82.0;43;62.0;72;52;14;20;11.0;7;8.0;2.0;2;1.0;2581.0
Vlieland-G0096;;1;261;360;92;122;79;15;14;0;11;0.0;2;;6;3;5;2;;0;;1.0;0;;
Vlissingen-G0718;;33;7244;5666;2873;1818;1577;1467;590;424;229;145.0;257;135.0;104;33;30;35;17.0;29;40.0;13.0;5;;10991.0
Vlist-G0623;;16;1366;1756;1232;450;192;106;304;552;41;33.0;14;31.0;13;22;3;1;4.0;0;;1.0;0;1.0;1270.0
Voerendaal-G0986;;4;2057;1632;2305;683;499;277;17;0;17;55.0;31;27.0;31;22;6;26;15.0;0;6.0;1.0;0;0.0;2513.0
Voorburg-G0624;;34;5067;8782;3881;3107;1502;556;273;80;194;137.0;120;150.0;155;41;42;48;44.0;26;;13.0;10;9.0;6673.0
