RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Geertruidenberg-G0779;;;860.0;60.0;33.0;46.0;50.0;40.0;6.0;12.0;;;;2.0;1.0;8.0;2.0;;1.0;;2.0;;;;;;;;;;;;;;;;;;123.0
Geervliet-G0509;11.0;;1.0;131.0;33.0;77.0;73.0;12.0;48.0;1.0;;13.0;88.0;1.0;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;43.0
Geffen-G0780;;;710.0;14.0;;1.0;;5.0;;2.0;2.0;;;;7.0;2.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;68.0
Geldermalsen-G0236;;;23.0;527.0;166.0;308.0;217.0;76.0;188.0;12.0;5.0;9.0;116.0;15.0;2.0;5.0;13.0;13.0;17.0;3.0;;1.0;;;;;;;;;91.0;;;;;;;;338.0
Geldrop-G0781;;;2521.0;72.0;40.0;32.0;12.0;15.0;;24.0;4.0;;1.0;3.0;14.0;7.0;8.0;;1.0;1.0;1.0;;2.0;;;;2.0;;;;;;;;;;;;442.0
Geleen-G0906;;;2703.0;304.0;33.0;89.0;11.0;36.0;3.0;13.0;7.0;;;16.0;6.0;13.0;;3.0;8.0;;;;30.0;;;;;;;;;;;;;;;;245.0
Gemert-G0782;;;2464.0;33.0;10.0;20.0;2.0;3.0;1.0;29.0;2.0;5.0;6.0;1.0;19.0;;1.0;;1.0;1.0;1.0;;2.0;;;;1.0;;;;;;;;;;;;170.0
Genderen-G1060;;;51.0;31.0;454.0;139.0;10.0;90.0;190.0;2.0;3.0;62.0;35.0;;;2.0;1.0;;11.0;2.0;6.0;5.0;;;;;3.0;;;;;;;;;;;;158.0
Gendringen-G0237;93.0;;3097.0;162.0;212.0;265.0;85.0;76.0;19.0;14.0;3.0;14.0;93.0;2.0;11.0;2.0;2.0;15.0;14.0;2.0;3.0;1.0;;;;;;;;;1.0;;;;;;;;118.0
Gendt-G0238;;;1275.0;8.0;5.0;57.0;4.0;;6.0;2.0;1.0;1.0;2.0;7.0;;;;1.0;2.0;;;;;;;;;;;;3.0;;;;;;;;121.0
Genemuiden-G0154;;;1.0;101.0;644.0;137.0;12.0;29.0;281.0;2.0;;3.0;4.0;2.0;2.0;4.0;;1.0;1.0;;11.0;1.0;;;;;;;;;;;;;;;;;396.0
Gennep-G0907;;;1160.0;159.0;6.0;23.0;19.0;16.0;3.0;3.0;;2.0;1.0;2.0;6.0;2.0;;1.0;;;1.0;;1.0;4.0;;;;;;;;;;;;;;;130.0
Geulle-G0908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Giessen-G0783;6.0;4.0;4.0;9.0;53.0;60.0;15.0;5.0;24.0;;1.0;7.0;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;84.0
Giessendam-G1063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Giessen-Nieuwkerk-G1062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gieten-G0116;;;5.0;538.0;81.0;234.0;175.0;131.0;5.0;11.0;11.0;3.0;190.0;6.0;7.0;6.0;20.0;4.0;1.0;;14.0;11.0;;;;;;;;;;;;;;;;;168.0
Giethoorn-G0155;;;3.0;502.0;50.0;118.0;91.0;129.0;1.0;3.0;6.0;10.0;20.0;63.0;5.0;18.0;3.0;9.0;5.0;;6.0;4.0;;;;;;;;;;;;;;;;;
Gilze en Rijen-G0784;;;2990.0;31.0;10.0;10.0;6.0;5.0;2.0;9.0;;;;3.0;10.0;5.0;3.0;;;;;1.0;1.0;;;;4.0;;;;;;;;;;;;119.0
Ginneken en Bavel-G1064;;;3876.0;495.0;78.0;204.0;169.0;148.0;8.0;40.0;5.0;13.0;7.0;4.0;35.0;15.0;35.0;6.0;7.0;1.0;2.0;11.0;1.0;;;;1.0;;;;;;;;;;;;523.0
Goedereede-G0511;4.0;42.0;2.0;173.0;100.0;19.0;75.0;12.0;75.0;;;1.0;22.0;1.0;;;4.0;;;;1.0;;;;;;;;;;;;;;;;;;119.0
Goes-G0664;175.0;;695.0;797.0;632.0;1252.0;344.0;269.0;118.0;40.0;21.0;12.0;10.0;5.0;17.0;19.0;16.0;11.0;5.0;;7.0;;;;;;;;;;;;;;;;;;295.0
Goirle-G0785;;;1813.0;29.0;5.0;1.0;6.0;11.0;;19.0;1.0;;;6.0;63.0;11.0;4.0;1.0;;2.0;;1.0;1.0;;;;10.0;;;;;;;;;;;;170.0
Goor-G0156;22.0;32.0;431.0;1030.0;42.0;118.0;91.0;176.0;5.0;10.0;15.0;2.0;12.0;8.0;2.0;15.0;6.0;21.0;;;5.0;5.0;;;;;;;;;;;;;;;;;
Gorinchem-G0512;;;813.0;1818.0;1503.0;308.0;1204.0;342.0;162.0;64.0;95.0;11.0;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;891.0
Gorssel-G0239;107.0;;182.0;819.0;578.0;819.0;901.0;318.0;15.0;18.0;9.0;6.0;31.0;17.0;;17.0;19.0;13.0;1.0;4.0;1.0;8.0;;;6.0;;;;;;;;;;;;;;336.0
Gouda-G0513;;;3188.0;3933.0;1513.0;826.0;1483.0;510.0;527.0;121.0;90.0;262.0;129.0;16.0;96.0;24.0;59.0;306.0;20.0;9.0;7.0;14.0;;;;;;;14.0;;;;;;;;;;1509.0
Gouderak-G0514;;;12.0;159.0;203.0;25.0;148.0;46.0;164.0;7.0;2.0;9.0;31.0;1.0;;2.0;5.0;6.0;1.0;;1.0;3.0;;;;;;;3.0;;;;;;;;;;151.0
Goudriaan-G0515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goudswaard-G0516;;;;41.0;70.0;49.0;122.0;7.0;230.0;;1.0;13.0;41.0;;1.0;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;138.0
Graauw en Langendam-G0665;39.0;32.0;632.0;32.0;8.0;9.0;15.0;4.0;1.0;21.0;;4.0;2.0;4.0;7.0;6.0;9.0;;4.0;;3.0;;;;;;;;;;;;;;;;;;173.0
Grafhorst-G1065;;;8.0;24.0;30.0;15.0;2.0;4.0;213.0;;;;3.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;53.0
Graft-G0389;11.0;;139.0;221.0;4.0;31.0;35.0;143.0;2.0;10.0;5.0;1.0;13.0;3.0;2.0;;3.0;;1.0;2.0;2.0;;;;;;;;;;;;;;;;;;61.0
Gramsbergen-G0157;;;59.0;211.0;518.0;707.0;94.0;58.0;10.0;17.0;3.0;4.0;23.0;3.0;;7.0;;8.0;1.0;;;2.0;;;;;;;;;;;;;;;;;178.0
Grathem-G0909;0.0;1.0;660.0;2.0;1.0;;;;;1.0;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;31.0
Grave-G0786;;;873.0;43.0;5.0;9.0;13.0;12.0;1.0;7.0;2.0;1.0;2.0;6.0;26.0;4.0;2.0;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;105.0
Grevenbicht-G0910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grijpskerk-G0016;21.0;;5.0;165.0;929.0;120.0;178.0;207.0;3.0;6.0;1.0;9.0;33.0;1.0;1.0;1.0;2.0;1.0;13.0;;1.0;1.0;;;;;;;;;;;;;;;;;127.0
Grijpskerke-G1067;9.0;4.0;;;275.0;107.0;1.0;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groede-G0667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groenlo-G0240;42.0;;1380.0;174.0;6.0;43.0;59.0;70.0;1.0;4.0;;4.0;1.0;6.0;;1.0;;12.0;17.0;;;1.0;;;;;;;;;;;;;;;;;111.0
Groesbeek-G0241;;;2542.0;79.0;15.0;67.0;28.0;18.0;3.0;24.0;;11.0;4.0;4.0;46.0;4.0;9.0;2.0;2.0;2.0;;;;;;;;;;;5.0;;;;;;;;269.0
Groningen-G0014;1940.0;;3948.0;16379.0;6420.0;5224.0;3809.0;6547.0;89.0;504.0;832.0;695.0;286.0;819.0;139.0;220.0;423.0;172.0;1095.0;;113.0;51.0;;;;;;;;;;;;;;;;;4839.0
Gronsveld-G0911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groot-Ammers-G0520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grootebroek-G0391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grootegast-G0015;55.0;;4.0;478.0;1867.0;385.0;74.0;209.0;8.0;2.0;3.0;45.0;65.0;9.0;1.0;9.0;5.0;7.0;8.0;;10.0;4.0;;;;;;;;;;;;;;;;;256.0
Grubbenvorst-G0912;2.0;5.0;931.0;10.0;2.0;;;;;3.0;;;5.0;;2.0;2.0;;;;;;;35.0;;;;;;;;;;;;;;;;29.0
Gulpen-G0913;;;1093.0;33.0;1.0;4.0;5.0;13.0;10.0;9.0;3.0;;2.0;2.0;1.0;9.0;;2.0;1.0;;;;12.0;1.0;;;;;;;;;;;;;;;170.0
Haaften-G0242;;;5.0;296.0;156.0;209.0;38.0;20.0;148.0;3.0;;8.0;154.0;6.0;;3.0;4.0;2.0;3.0;4.0;4.0;3.0;;;;;;;;;27.0;;;;;;;;250.0
Haaksbergen-G0158;;;2275.0;587.0;44.0;28.0;37.0;249.0;5.0;22.0;3.0;7.0;174.0;3.0;12.0;11.0;4.0;7.0;;;3.0;2.0;;;;;;;;;;;;;;;;;
Haamstede-G1068;;;7.0;68.0;119.0;163.0;150.0;26.0;45.0;2.0;2.0;2.0;21.0;4.0;3.0;12.0;3.0;3.0;;;7.0;;;;;;;;;;;;;;;;;;
Haaren-G0788;;;948.0;4.0;;;;;;1.0;;;;1.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;36.0
Haarlem-G0392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haarlemmerliede en Spaarnwoude-G0393;15.0;19.0;684.0;183.0;145.0;91.0;89.0;53.0;18.0;22.0;20.0;2.0;5.0;6.0;3.0;5.0;;;1.0;2.0;;1.0;;;9.0;1.0;;;3.0;;;;1.0;;;;;;90.0
Haarlemmermeer-G0394;332.0;;2462.0;1863.0;2433.0;2184.0;574.0;201.0;304.0;135.0;146.0;74.0;79.0;44.0;8.0;23.0;30.0;;7.0;5.0;7.0;9.0;;9.0;35.0;5.0;;;15.0;;;;18.0;;;2.0;;;
Haarzuilens-G1069;9.0;;171.0;;8.0;25.0;;;4.0;2.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;10.0
Haastrecht-G0521;;;371.0;103.0;115.0;52.0;141.0;78.0;41.0;4.0;1.0;8.0;27.0;;5.0;4.0;6.0;;1.0;;;;;;;;;;1.0;;;;;;;;;;73.0
Haelen-G0914;0.0;9.0;456.0;4.0;1.0;;;;1.0;2.0;1.0;;1.0;1.0;;1.0;;;;;;;23.0;;;;;;;;;;;;;;;;47.0
Hagestein-G0522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halsteren-G0789;;;1951.0;94.0;55.0;28.0;31.0;16.0;5.0;47.0;3.0;4.0;19.0;12.0;41.0;18.0;5.0;3.0;6.0;2.0;2.0;3.0;13.0;;;;2.0;;;;;;;;;;;;314.0
Haps-G0790;;;606.0;;;;;;;1.0;;;;1.0;;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;35.0
Harderwijk-G0243;159.0;;168.0;334.0;740.0;1560.0;207.0;102.0;300.0;17.0;4.0;11.0;27.0;37.0;;6.0;10.0;17.0;5.0;4.0;;3.0;;;19.0;3.0;;;;;;;;;;;;;297.0
Hardinxveld-G1070;;;;697.0;423.0;95.0;318.0;80.0;656.0;;;5.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;3175.0
Haren-G0017;95.0;;40.0;911.0;698.0;524.0;489.0;338.0;15.0;17.0;24.0;23.0;176.0;14.0;4.0;9.0;32.0;2.0;25.0;;7.0;8.0;;;;;;;;;;;;;;;;;229.0
Harenkarspel-G0395;;;797.0;155.0;87.0;5.0;17.0;312.0;;3.0;1.0;;8.0;3.0;6.0;;2.0;;2.0;;1.0;;;;;;;;;;;;2.0;;;;;;82.0
Harlingen-G0072;188.0;;606.0;1394.0;683.0;1035.0;297.0;406.0;8.0;32.0;79.0;9.0;14.0;3.0;33.0;31.0;;35.0;18.0;;15.0;;;;;;;;;;;;;;;;;;586.0
Harmelen-G0318;27.0;;470.0;47.0;209.0;180.0;32.0;8.0;78.0;2.0;;3.0;9.0;;1.0;;4.0;2.0;;;2.0;;;;;1.0;;;;;;;;;;;;;48.0
Haskerland-G0073;112.0;;350.0;1071.0;539.0;1013.0;200.0;360.0;9.0;16.0;23.0;75.0;145.0;39.0;13.0;19.0;;55.0;21.0;;1.0;;;;;;;;;;;;;;;;;;340.0
Hasselt-G0161;14.0;13.0;37.0;125.0;542.0;73.0;30.0;93.0;43.0;2.0;1.0;24.0;6.0;2.0;6.0;4.0;1.0;;1.0;;8.0;1.0;;;;;;;;;;;;;;;;;
Hattem-G0244;21.0;52.0;10.0;669.0;556.0;296.0;186.0;63.0;7.0;10.0;;135.0;2.0;1.0;;7.0;6.0;8.0;3.0;;1.0;1.0;;;4.0;;;;;;;;;;;;;;
Havelte-G0117;;;12.0;373.0;91.0;102.0;129.0;702.0;6.0;14.0;36.0;26.0;72.0;11.0;12.0;7.0;9.0;15.0;9.0;;15.0;12.0;;;;;;;;;;;;;;;;;182.0
Hazerswoude-G0524;44.0;;727.0;33.0;518.0;453.0;28.0;31.0;59.0;4.0;;21.0;12.0;;1.0;4.0;1.0;3.0;;;2.0;;;;;;;;1.0;;;;;;;;;;102.0
Hedel-G0245;;;328.0;32.0;133.0;170.0;2.0;8.0;101.0;2.0;1.0;3.0;4.0;;;;;;;;;5.0;;;;;;;;;;;;;;;;;95.0
Hedikhuizen-G1071;;;669.0;12.0;;14.0;2.0;;2.0;7.0;;4.0;1.0;;1.0;1.0;1.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;
Heel en Panheel-G0915;3.0;7.0;775.0;3.0;;;;;;1.0;1.0;;1.0;2.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;11.0
Heemskerk-G0396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heemstede-G0397;186.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;590.0
Heenvliet-G0525;;;4.0;173.0;39.0;43.0;142.0;46.0;6.0;6.0;;2.0;55.0;21.0;1.0;2.0;3.0;;1.0;2.0;1.0;1.0;;;;;;;;;;;;;;;;;129.0
Heer-G0916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heerde-G0246;;;42.0;631.0;685.0;1205.0;684.0;242.0;18.0;10.0;;28.0;19.0;24.0;;26.0;16.0;17.0;7.0;1.0;6.0;5.0;;;6.0;3.0;;;;;;;;;;;;;402.0
Heerewaarden-G0247;1.0;11.0;5.0;224.0;7.0;3.0;160.0;19.0;3.0;;3.0;;5.0;;;3.0;6.0;;12.0;;;2.0;;;;;;;;;2.0;;;;;;;;92.0
Heerhugowaard-G0398;;;1219.0;213.0;125.0;34.0;30.0;428.0;3.0;6.0;1.0;3.0;4.0;4.0;;2.0;2.0;4.0;1.0;1.0;;;;;;;;;;;;;2.0;;;;;;
Heerjansdam-G0526;;;1.0;93.0;146.0;138.0;48.0;14.0;43.0;3.0;;6.0;19.0;2.0;;;3.0;;;;3.0;;;;;;;;;;;;;;;;;;62.0
Heerlen-G0917;302.0;374.0;9483.0;2680.0;265.0;376.0;252.0;206.0;26.0;70.0;132.0;16.0;20.0;48.0;91.0;91.0;;23.0;8.0;;5.0;14.0;46.0;309.0;;;;;;;;;;;;;;;840.0
Heesch-G0791;;;1201.0;5.0;1.0;8.0;;2.0;;6.0;;;;;;5.0;;;;1.0;;;1.0;;;;;;;;;;;;;;;;
Heeswijk-G1072;;;625.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0
Heeze-G0793;;;1182.0;7.0;9.0;59.0;5.0;2.0;;12.0;;;;;3.0;6.0;2.0;;;;;6.0;3.0;;;;;;;;;;;;;;;;83.0
Hei- en Boeicop-G0527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heiloo-G0399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heinenoord-G0528;;;6.0;118.0;253.0;133.0;128.0;33.0;126.0;3.0;2.0;1.0;46.0;1.0;4.0;5.0;4.0;;;3.0;3.0;;;;;;;;;;;;;;;;;;121.0
Heinkenszand-G0672;;;404.0;10.0;124.0;176.0;26.0;50.0;26.0;7.0;1.0;;6.0;5.0;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;78.0
Heino-G0162;;;641.0;72.0;66.0;383.0;35.0;54.0;1.0;10.0;;2.0;2.0;1.0;4.0;3.0;2.0;1.0;;;2.0;;;;;;;;;;;;;;;;;;
Hekelingen-G1074;;;;180.0;24.0;17.0;51.0;12.0;23.0;1.0;1.0;;153.0;1.0;;;1.0;;1.0;3.0;2.0;;;;;;;;;;;;;;;;;;56.0
Hekendorp-G1075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helden-G0918;4.0;15.0;2173.0;4.0;1.0;3.0;1.0;2.0;2.0;7.0;1.0;;1.0;6.0;10.0;5.0;;;;;;;46.0;;;;;;;;;;;;;;;;340.0
Hellendoorn-G0163;;;1241.0;674.0;1210.0;1894.0;240.0;72.0;104.0;19.0;27.0;7.0;36.0;22.0;2.0;24.0;5.0;151.0;;;12.0;6.0;;;;;;;;;;;;;;;;;331.0
Hellevoetsluis-G0530;8.0;38.0;25.0;347.0;116.0;173.0;184.0;72.0;35.0;7.0;2.0;3.0;5.0;3.0;1.0;3.0;10.0;;2.0;;;;;;;;;;;;;;;;;;;;81.0
Helmond-G0794;;;7789.0;908.0;96.0;103.0;89.0;169.0;10.0;107.0;31.0;5.0;13.0;15.0;153.0;77.0;16.0;;15.0;6.0;2.0;10.0;15.0;;;;3.0;;;;;;;;;;;;1182.0
Helvoirt-G0795;;;894.0;2.0;2.0;40.0;;;;1.0;1.0;;;;9.0;2.0;;;;;;;;;;;;;;;;;;;;;;;65.0
Hemelumer Oldephaert en Noordwolde-G1260;44.0;;88.0;278.0;565.0;1221.0;33.0;169.0;22.0;1.0;5.0;153.0;36.0;14.0;1.0;11.0;;8.0;2.0;;2.0;;;;;;;;;;;;;;;;;;149.0
Hemmen-G1076;;;2.0;3.0;18.0;50.0;13.0;2.0;15.0;;;2.0;1.0;;;;;;1.0;;2.0;1.0;;;;;;;;;;;;;;;;;
Hendrik-Ido-Ambacht-G0531;106.0;;8.0;336.0;611.0;198.0;241.0;31.0;383.0;3.0;4.0;16.0;14.0;;1.0;8.0;5.0;;;4.0;;1.0;;;;;;;;;;;;;;;;;159.0
Hengelo-G0248;40.0;;779.0;167.0;513.0;355.0;171.0;151.0;34.0;4.0;;1.0;7.0;3.0;5.0;;5.0;6.0;1.0;2.0;5.0;;;;;;;;;;5.0;;;;;;;;106.0
Hengelo-G0164;;;4817.0;5936.0;703.0;791.0;692.0;1388.0;29.0;121.0;135.0;17.0;169.0;55.0;149.0;75.0;58.0;85.0;16.0;;22.0;25.0;;;;;;;;;;;;;;;;;1367.0
Hengstdijk-G1077;12.0;;229.0;4.0;;6.0;5.0;;1.0;5.0;;;;2.0;2.0;1.0;;;;;2.0;;;;;;;;;;;;;;;;;;19.0
Hennaarderadeel-G0076;28.0;;107.0;314.0;447.0;1208.0;105.0;200.0;7.0;4.0;2.0;17.0;33.0;18.0;;4.0;;9.0;4.0;;2.0;;;;;;;;;;;;;;;;;;53.0
Hensbroek-G0401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herkingen-G1078;;;;6.0;204.0;13.0;10.0;;123.0;;;;13.0;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;122.0
Herpen-G1079;;;678.0;19.0;;;;;1.0;17.0;;;1.0;5.0;2.0;5.0;1.0;;;;;;;;;;;;;;;;;;;;;;101.0
Herpt-G1080;;;249.0;;1.0;19.0;;1.0;2.0;3.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;23.0
Herten-G0919;;;562.0;7.0;4.0;3.0;;2.0;;4.0;;;1.0;;;2.0;;;;;;;9.0;1.0;;;;;;;;;;;;;;;48.0
Herwen en Aerdt-G0249;;;1718.0;247.0;36.0;37.0;17.0;42.0;15.0;22.0;1.0;4.0;8.0;5.0;5.0;1.0;3.0;8.0;;2.0;2.0;1.0;;;;;;;;;11.0;;;;;;;;268.0
Herwijnen-G0250;13.0;23.0;2.0;139.0;264.0;171.0;7.0;14.0;25.0;3.0;3.0;14.0;133.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;;;;;;;;;;;;;;;;;;148.0
Het Bildt-G0063;132.0;;8.0;1338.0;1210.0;699.0;324.0;282.0;10.0;18.0;135.0;8.0;174.0;8.0;1.0;85.0;;24.0;33.0;;7.0;;;;;;;;;;;;;;;;;;313.0
Heteren-G0251;;;705.0;64.0;201.0;266.0;72.0;21.0;168.0;6.0;1.0;40.0;5.0;6.0;2.0;1.0;;1.0;9.0;;2.0;;;;;;;;;;4.0;;;;;;;;
Heukelum-G0533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heumen-G0252;9.0;4.0;964.0;12.0;5.0;14.0;8.0;5.0;1.0;4.0;;;1.0;;4.0;;1.0;1.0;;;;;;;;;;;;;2.0;;;;;;;;612.0
Heusden-G0797;;;459.0;47.0;48.0;151.0;47.0;29.0;23.0;10.0;2.0;14.0;1.0;4.0;4.0;8.0;6.0;;3.0;;1.0;1.0;;;;;;;;;;;;;;;;;160.0
Heythuysen-G0920;;;1035.0;8.0;;1.0;2.0;2.0;;10.0;1.0;;;1.0;;1.0;;;;;;;9.0;1.0;;;;;;;;;;;;;;;69.0
Hillegersberg-G1081;142.0;190.0;787.0;1154.0;1041.0;973.0;895.0;428.0;186.0;82.0;12.0;106.0;45.0;33.0;12.0;11.0;33.0;19.0;13.0;22.0;1.0;8.0;;;;;;;12.0;;;;;;;;;;618.0
Hillegom-G0534;46.0;;2244.0;560.0;397.0;694.0;118.0;127.0;63.0;56.0;13.0;37.0;2.0;6.0;15.0;6.0;8.0;11.0;3.0;;1.0;3.0;;;;;;;5.0;;;;;;;;;;351.0
Hilvarenbeek-G0798;;;1556.0;18.0;7.0;26.0;35.0;5.0;1.0;18.0;;1.0;5.0;2.0;36.0;4.0;;;4.0;;2.0;;1.0;;;;6.0;;;;;;;;;;;;98.0
Hilversum-G0402;1137.0;;5219.0;5951.0;2270.0;3378.0;2281.0;1545.0;520.0;733.0;255.0;153.0;34.0;165.0;373.0;76.0;110.0;;21.0;11.0;6.0;31.0;;9.0;51.0;776.0;;;12.0;;;;12.0;;;5.0;;;1543.0
Hindeloopen-G0077;13.0;;3.0;169.0;62.0;164.0;2.0;38.0;;;;2.0;1.0;;;5.0;;1.0;3.0;;1.0;;;;;;;;;;;;;;;;;;50.0
Hoedekenskerke-G0673;;;336.0;19.0;47.0;122.0;22.0;11.0;100.0;1.0;;1.0;3.0;;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;
Hoek-G0674;78.0;;23.0;76.0;226.0;167.0;409.0;17.0;227.0;12.0;4.0;2.0;44.0;2.0;4.0;15.0;24.0;2.0;3.0;;3.0;;;;;;;;;;;;;;;;;;
Hoenkoop-G0319;4.0;;140.0;4.0;53.0;28.0;15.0;1.0;12.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;10.0
Hoensbroek-G0921;168.0;;2309.0;880.0;69.0;97.0;4.0;30.0;8.0;37.0;17.0;5.0;2.0;18.0;11.0;29.0;;3.0;3.0;;5.0;2.0;19.0;36.0;;;;;;;;;;;;;;;3343.0
Hoevelaken-G0253;;;41.0;76.0;45.0;252.0;14.0;1.0;31.0;6.0;;7.0;1.0;2.0;;5.0;;;1.0;;;;;;3.0;;;;;;;;;;;;;;73.0
Hoeven-G0799;;;1396.0;18.0;5.0;10.0;1.0;;1.0;31.0;;;1.0;6.0;4.0;11.0;;;;;;;2.0;;;;2.0;;;;;;;;;;;;148.0
Holten-G0165;;;41.0;386.0;253.0;811.0;99.0;176.0;16.0;9.0;1.0;4.0;24.0;8.0;2.0;24.0;5.0;8.0;5.0;;4.0;4.0;;;;;;;;;;;;;;;;;154.0
Hontenisse-G0675;143.0;;1978.0;71.0;10.0;76.0;43.0;13.0;8.0;51.0;2.0;2.0;11.0;6.0;15.0;23.0;3.0;2.0;1.0;;5.0;;;;;;;;;;;;;;;;;;194.0
Hoofdplaat-G0676;;;403.0;6.0;21.0;46.0;32.0;5.0;2.0;;;2.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;
Hoogblokland-G0535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hooge en Lage Mierde-G0801;;;725.0;;2.0;2.0;4.0;3.0;1.0;;;;3.0;3.0;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;
Hooge en Lage Zwaluwe-G0802;;;1094.0;88.0;131.0;602.0;43.0;13.0;19.0;13.0;1.0;46.0;21.0;2.0;1.0;4.0;1.0;;1.0;;16.0;3.0;;;;;;;;;;;;;;;;;309.0
Hoogeloon, Hapert en Casteren-G0800;;;939.0;1.0;;27.0;;1.0;;3.0;;;;;2.0;;;;;;;;5.0;;;;;;;;;;;;;;;;26.0
Hoogeveen-G0118;299.0;;41.0;979.0;2579.0;1442.0;111.0;342.0;47.0;27.0;6.0;4.0;14.0;9.0;9.0;9.0;19.0;21.0;6.0;;34.0;30.0;;;;;;;;;;;;;;;;;867.0
Hoogezand-G1083;;;353.0;2486.0;334.0;143.0;454.0;619.0;10.0;25.0;20.0;19.0;164.0;42.0;12.0;49.0;33.0;15.0;18.0;;20.0;10.0;;;;;;;;;;;;;;;;;927.0
Hoogkarspel-G0403;3.0;8.0;487.0;123.0;4.0;8.0;113.0;186.0;2.0;4.0;2.0;;7.0;4.0;1.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;31.0
Hoogkerk-G1084;47.0;;41.0;568.0;547.0;178.0;115.0;105.0;3.0;4.0;7.0;11.0;19.0;54.0;1.0;4.0;2.0;1.0;13.0;;4.0;2.0;;;;;;;;;;;;;;;;;110.0
Hoogland-G0320;82.0;;1076.0;52.0;100.0;128.0;18.0;9.0;31.0;13.0;;;5.0;3.0;5.0;6.0;1.0;;;;2.0;;;1.0;;;;;;;;;;;;;;;93.0
Hoogvliet-G1085;;;2.0;49.0;109.0;190.0;31.0;10.0;69.0;2.0;3.0;8.0;21.0;2.0;;2.0;2.0;;;2.0;7.0;;;;;;;;;;;;;;;;;;89.0
