RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Bergharen-G0208;1.0;2.0;705.0;1.0;6.0;82.0;15.0;1.0;3.0;3.0;;;3.0;;;2.0;;;;1.0;;;;;;;;;;;1.0;;;;;;;;27.0
Berghem-G0750;;;990.0;14.0;1.0;8.0;;;1.0;4.0;;;;1.0;5.0;3.0;;;1.0;;;;;;;;;;;;;;;;;;;;99.0
Bergschenhoek-G0492;7.0;23.0;213.0;38.0;132.0;337.0;24.0;8.0;14.0;2.0;;12.0;17.0;3.0;;3.0;2.0;;1.0;1.0;2.0;;;;;;;;1.0;;;;;;;;;;50.0
Berkel en Rodenrijs-G0493;18.0;4.0;782.0;28.0;330.0;321.0;15.0;8.0;12.0;1.0;;78.0;25.0;2.0;1.0;4.0;1.0;;;;;1.0;;;;;;;1.0;;;;;;;;;;52.0
Berkel-Enschot-G0751;;;843.0;4.0;2.0;1.0;1.0;1.0;2.0;5.0;;;;;23.0;;;;1.0;;;1.0;;;;;2.0;;;;;;;;;;;;40.0
Berkenwoude-G0494;;;1.0;19.0;56.0;14.0;141.0;21.0;57.0;1.0;;1.0;38.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;49.0
Berkhout-G0374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berlicum-G0752;;;1422.0;14.0;5.0;12.0;5.0;9.0;;10.0;;2.0;4.0;3.0;9.0;3.0;4.0;;2.0;;1.0;1.0;;;;;1.0;;;;;;;;;;;;139.0
Best-G0753;;;1644.0;30.0;7.0;3.0;2.0;;1.0;11.0;;3.0;3.0;2.0;13.0;7.0;3.0;;;;;;1.0;;;;;;;;;;;;;;;;83.0
Beugen en Rijkevoort-G1021;;;966.0;18.0;6.0;2.0;;;;1.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;6.0
Beuningen-G0209;;;1205.0;35.0;8.0;14.0;55.0;4.0;2.0;8.0;;;12.0;3.0;32.0;;;;;;1.0;;;;;;;;;;;;;;;;;;125.0
Beusichem-G0210;;;25.0;148.0;61.0;46.0;120.0;68.0;42.0;2.0;;;158.0;3.0;2.0;10.0;6.0;2.0;72.0;3.0;2.0;2.0;;;;;;;;;7.0;;;;;;;;102.0
Beverwijk-G0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bierum-G0008;29.0;;2.0;196.0;778.0;548.0;91.0;157.0;3.0;;21.0;102.0;19.0;5.0;2.0;3.0;1.0;3.0;4.0;;11.0;;;;;;;;;;;;;;;;;;211.0
Biervliet-G0652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biggekerke-G1022;9.0;;;1.0;171.0;136.0;7.0;11.0;70.0;1.0;1.0;1.0;5.0;2.0;;3.0;5.0;1.0;;;1.0;;;;;;;;;;;;;;;;;;41.0
Bingelrade-G0894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladel en Netersel-G0754;;;935.0;;5.0;42.0;2.0;2.0;;2.0;;;2.0;2.0;5.0;1.0;1.0;;1.0;;;;2.0;;;;;;;;;;;;;;;;27.0
