RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Vrije Burgers;Boeren Partij;Samenwerkende Christelijke Groepering;Lijst Fokker;Lijst Groen;Wereldburgers;Christelijk-Nationale Volks Partij;Lijst Hartman;@abs
Medemblik-G0420;36;0;1032;608;128;187;138;50;70;11;0.0;0;16;0;0;0;3;0;0;0.0;420.0
Meeden-G0026;38;0;1;501;128;246;37;40;47;0;20.0;0;0;0;0;0;0;0;0;0.0;55.0
Meerkerk-G0557;21;0;8;358;187;356;132;3;2;110;0.0;0;2;0;0;0;0;0;0;0.0;61.0
Meerlo-G0937;18;0;1538;27;0;0;0;0;0;0;0.0;0;0;0;10;0;0;0;0;0.0;38.0
Meerssen-G0938;266;0;3467;420;81;0;0;0;27;0;0.0;0;0;0;43;0;0;0;0;0.0;190.0
Megen, Haren en Macharen-G0813;14;0;1030;58;2;0;0;0;2;0;0.0;3;0;0;0;0;0;0;0;0.0;53.0
Meijel-G0941;38;0;1612;34;0;0;0;0;4;0;0.0;0;0;0;3;0;0;0;0;0.0;63.0
Melick en Herkenbosch-G0939;46;0;1652;57;7;0;0;0;9;0;0.0;0;0;0;17;0;0;0;0;0.0;69.0
Meliskerke-G1112;3;0;0;4;9;116;35;0;1;203;2.0;0;0;0;0;0;0;0;0;0.0;38.0
Melissant-G1113;12;0;19;288;66;137;172;3;2;286;3.0;0;8;0;0;0;0;0;0;0.0;131.0
Menaldumadeel-G0083;52;0;286;2394;621;1321;817;324;23;10;10.0;0;0;0;0;0;0;0;0;0.0;277.0
Meppel-G0119;202;0;382;4259;1381;1470;1917;268;73;0;84.0;0;0;0;0;0;0;0;0;25.0;729.0
Merkelbeek-G0940;36;0;778;43;6;0;0;0;5;0;0.0;0;0;0;8;0;0;0;0;0.0;33.0
Mheer-G0942;15;0;563;23;10;0;0;0;0;0;0.0;0;0;0;2;0;0;0;0;0.0;57.0
Middelburg-G0687;328;0;987;4725;1468;2262;1880;210;52;893;69.0;0;0;0;0;0;0;0;0;0.0;1168.0
Middelharnis-G0559;51;0;88;844;383;535;172;35;9;618;11.0;0;7;0;0;0;0;0;0;0.0;357.0
Middelie-G0421;4;0;5;206;76;11;10;10;3;1;0.0;0;3;0;0;0;0;0;0;0.0;18.0
Middelstum-G0027;22;0;10;326;133;706;116;27;21;0;93.0;0;0;0;0;0;0;0;0;0.0;57.0
Middenschouwen-G0688;18;0;10;288;142;361;206;5;0;79;16.0;0;0;0;0;0;0;0;0;0.0;91.0
Midwolda-G0028;77;0;8;791;193;686;618;40;110;0;12.0;0;0;0;0;0;0;0;0;0.0;79.0
Midwoud-G0422;12;0;31;346;176;8;11;52;10;2;0.0;0;2;0;0;0;0;0;0;0.0;29.0
Mierlo-G0814;148;0;3924;459;98;0;0;25;40;0;0.0;59;0;0;0;0;0;0;0;0.0;146.0
Mijdrecht-G0336;56;0;1542;468;142;583;565;47;20;129;23.0;0;0;0;0;0;0;10;6;0.0;149.0
Mijnsheerenland-G0564;18;0;1;288;207;358;235;2;2;77;0.0;0;9;0;0;0;0;0;0;0.0;88.0
Mill en Sint Hubert-G0815;73;0;3478;157;33;0;0;0;8;0;0.0;15;0;0;0;0;0;0;0;0.0;137.0
Millingen aan de Rijn-G0265;103;0;1604;270;21;5;16;4;0;3;4.0;0;0;5;0;0;0;0;0;0.0;287.0
Moergestel-G0816;24;0;1673;93;11;0;0;6;1;0;0.0;11;0;0;0;0;0;0;0;0.0;71.0
Moerkapelle-G0560;7;0;2;182;53;161;84;1;3;148;0.0;0;2;0;0;0;0;0;0;0.0;35.0
Molenaarsgraaf-G0561;1;0;0;69;34;123;31;0;0;94;0.0;0;1;0;0;0;0;0;0;0.0;36.0
Monnickendam-G0423;37;0;487;540;179;182;395;102;64;3;0.0;0;9;0;0;0;1;0;0;0.0;107.0
Monster-G0562;93;0;3689;1000;511;911;662;34;24;692;85.0;0;17;0;0;0;0;0;0;0.0;373.0
Montfoort-G0335;20;0;949;110;32;77;110;7;1;71;0.0;0;0;0;0;0;0;0;3;0.0;90.0
Montfort-G0943;64;0;1045;55;9;0;0;0;8;0;0.0;0;0;0;3;0;0;0;0;0.0;70.0
Mook en Middelaar-G0944;62;0;1349;113;0;0;0;0;0;0;0.0;0;0;0;94;0;0;0;0;0.0;84.0
Moordrecht-G0563;52;0;242;794;303;364;117;46;6;235;3.0;0;16;0;0;0;0;0;0;0.0;139.0
Muiden-G0424;47;0;481;720;236;293;484;58;34;20;4.0;0;16;0;0;0;2;0;0;0.0;150.0
Munstergeleen-G0945;61;0;1147;131;14;0;0;0;6;0;0.0;0;0;0;7;0;0;0;0;0.0;56.0
Muntendam-G0029;78;0;31;1266;185;76;178;35;165;0;2.0;0;0;0;0;0;0;0;0;0.0;160.0
Naaldwijk-G0565;111;0;3344;1509;941;1911;1441;30;17;173;13.0;0;19;0;0;0;0;0;0;0.0;435.0
Naarden-G0425;246;0;1783;2066;2451;823;593;291;88;104;22.0;0;145;0;0;0;15;0;0;0.0;691.0
Nederhorst den Berg-G0426;44;0;544;272;80;236;299;38;57;7;8.0;0;7;0;0;0;1;0;0;0.0;107.0
Nederweert-G0946;166;0;4633;110;0;0;0;0;8;0;0.0;0;0;0;12;0;0;0;0;0.0;162.0
Neede-G0266;111;0;1028;2249;585;304;338;66;22;6;40.0;0;0;38;0;0;0;0;0;0.0;273.0
Neer-G0947;26;0;1301;19;0;0;0;0;3;0;0.0;0;0;0;4;0;0;0;0;0.0;59.0
Nibbixwoud-G0427;9;0;601;129;101;6;12;18;6;1;0.0;0;0;0;0;0;0;0;0;0.0;45.0
Nieuw- en Sint Joosland-G1117;14;0;4;189;60;93;206;4;1;91;1.0;0;0;0;0;0;0;0;0;0.0;59.0
Nieuw-Beijerland-G0566;8;0;7;357;101;88;36;4;7;286;0.0;0;1;0;0;0;0;0;0;0.0;118.0
Nieuwe Niedorp-G0428;17;0;310;433;129;16;18;159;17;1;0.0;0;3;0;0;0;0;0;0;0.0;62.0
Nieuwe Pekela-G0030;87;0;233;1007;296;549;411;74;273;0;6.0;0;0;0;0;0;0;0;0;0.0;349.0
Nieuwe Tonge-G1119;25;0;10;463;88;221;39;5;4;280;0.0;0;6;0;0;0;0;0;0;0.0;153.0
Nieuwenhagen-G0948;241;0;2833;677;23;0;0;20;140;0;0.0;0;0;0;57;0;0;0;0;0.0;202.0
Nieuwer-Amstel-G1249;550;0;6352;5994;5659;2774;2408;971;326;113;136.0;0;321;0;0;0;49;0;0;0.0;1715.0
Nieuwerkerk aan den IJssel-G0567;54;0;267;1024;416;317;601;60;14;320;11.0;0;44;0;0;0;0;0;0;0.0;199.0
Nieuweschans-G0031;76;0;19;448;127;37;69;61;236;0;4.0;0;0;0;0;0;0;0;0;0.0;81.0
Nieuw-Ginneken-G0817;79;0;2779;162;118;0;0;14;7;0;0.0;55;0;0;0;4;0;0;0;0.0;94.0
Nieuwkoop-G0569;40;0;1290;346;340;214;362;40;12;86;2.0;0;33;0;0;0;0;0;0;0.0;153.0
Nieuwland-G0570;1;0;2;77;42;117;24;1;2;57;4.0;0;3;0;0;0;0;0;0;0.0;24.0
Nieuw-Lekkerland-G0571;56;0;16;815;173;392;287;27;21;760;47.0;0;11;0;0;0;0;0;0;0.0;248.0
Nieuwleusen-G0170;74;0;17;517;314;416;1040;8;8;128;67.0;0;0;0;0;0;0;0;0;0.0;231.0
Nieuwolda-G0032;21;0;3;486;180;160;154;20;12;0;2.0;0;0;0;0;0;0;0;0;0.0;31.0
Nieuwpoort-G0572;9;0;5;130;74;130;40;1;0;86;4.0;0;5;0;0;0;0;0;0;0.0;64.0
Nieuwstadt-G0949;17;0;794;52;1;0;0;0;5;0;0.0;0;0;0;5;0;0;0;0;0.0;50.0
Nieuwveen-G0573;27;0;538;139;59;176;238;6;4;36;2.0;0;4;0;0;0;0;0;0;0.0;57.0
Nieuwvliet-G0690;7;0;0;110;101;15;34;4;3;3;0.0;0;0;0;0;0;0;0;0;0.0;24.0
Nieuw-Vossemeer-G0818;30;0;746;43;14;0;0;0;3;0;0.0;27;0;0;0;5;0;0;0;0.0;45.0
Nigtevecht-G0337;17;0;36;126;40;81;167;16;9;6;7.0;0;0;0;0;0;0;10;1;0.0;32.0
Nijeveen-G0121;22;0;5;190;173;236;279;6;4;0;2.0;0;0;0;0;0;0;0;0;0.0;34.0
Nijkerk-G0267;149;0;579;1927;218;1687;2499;36;19;587;49.0;0;0;93;0;0;0;0;0;0.0;457.0
Nijmegen-G0268;2880;0;40508;17180;4143;1431;2181;853;659;183;102.0;0;0;310;0;0;0;0;0;0.0;4279.0
