RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Vrije Burgers;Boeren Partij;Samenwerkende Christelijke Groepering;Lijst Fokker;Lijst Groen;Wereldburgers;Christelijk-Nationale Volks Partij;Lijst Hartman;@abs
Texel-G0448;84;0;1305;1923;877;529;514;163;52;16;9.0;0;36;0;0;0;4;0;0;0.0;471.0
Tholen-G0716;26;0;147;318;233;209;449;0;0;516;0.0;0;0;0;0;0;0;0;0;0.0;170.0
Thorn-G0977;52;0;1081;23;0;0;0;0;3;0;0.0;0;0;0;11;0;0;0;0;0.0;48.0
Tiel-G0281;247;0;2575;4863;1196;415;719;133;70;50;25.0;0;0;44;0;0;0;0;0;0.0;500.0
Tienhoven (ZH)-G0618;6;0;4;52;14;97;43;0;2;23;0.0;0;2;0;0;0;0;0;0;0.0;8.0
Tietjerksteradeel-G0094;125;0;111;3405;848;3578;2367;339;61;124;104.0;0;0;0;0;0;0;0;0;0.0;757.0
Tilburg-G0855;3134;0;49894;14523;1941;0;0;576;500;0;0.0;1311;0;0;0;148;0;0;0;0.0;3248.0
Tubbergen-G0183;43;0;6488;350;45;16;368;11;2;8;4.0;0;0;0;0;0;0;0;0;0.0;202.0
Tudderen-G1204;58;0;540;64;4;0;0;0;1;0;0.0;0;0;0;12;0;0;0;0;0.0;51.0
Twisk-G0449;9;0;4;230;135;18;10;22;5;4;0.0;0;1;0;0;0;0;0;0;0.0;36.0
Ubach over Worms-G0978;418;0;3249;846;36;0;0;29;232;0;0.0;0;0;0;116;0;0;0;0;0.0;241.0
Ubbergen-G0282;102;0;3356;232;164;37;110;15;0;4;4.0;0;0;23;0;0;0;0;0;0.0;229.0
Uden-G0856;112;0;6208;714;155;0;0;0;20;0;0.0;220;0;0;0;0;0;0;0;0.0;396.0
Udenhout-G0857;37;0;2400;99;9;0;0;2;0;0;0.0;0;0;0;0;3;0;0;0;0.0;135.0
Uitgeest-G0450;57;0;1577;597;215;41;44;117;206;7;3.0;0;16;0;0;0;4;0;0;0.0;112.0
Uithoorn-G0451;76;0;2412;995;317;413;457;95;25;13;6.0;0;28;0;0;0;2;0;0;0.0;232.0
Uithuizen-G0043;52;0;389;820;321;589;347;44;126;0;93.0;0;0;0;0;0;0;0;0;0.0;137.0
Uithuizermeeden-G0044;38;0;21;642;282;778;738;37;12;0;353.0;0;0;0;0;0;0;0;0;0.0;150.0
Ulestraten-G0979;35;0;765;35;9;0;0;0;1;0;0.0;0;0;0;4;0;0;0;0;0.0;8.0
Ulrum-G0045;38;0;7;561;180;831;165;52;17;0;285.0;0;0;0;0;0;0;0;0;0.0;127.0
Urk-G0184;13;0;5;47;8;1508;276;2;4;575;151.0;0;1;0;0;0;0;0;0;0.0;243.0
Urmond-G0980;83;0;1632;164;11;0;0;0;8;0;0.0;0;0;0;33;0;0;0;0;0.0;84.0
Ursem-G0452;4;0;666;98;19;2;8;4;10;4;0.0;0;0;0;0;0;0;0;0;0.0;23.0
Usquert-G0046;25;0;26;692;167;49;51;11;12;0;13.0;0;0;0;0;0;0;0;0;0.0;49.0
Utingeradeel-G0095;39;0;16;1489;425;287;428;195;14;39;5.0;0;0;0;0;0;0;0;0;0.0;139.0
Utrecht-G0344;4157;0;38197;52748;13652;12078;9749;4525;2845;1606;539.0;0;0;0;0;0;0;869;272;0.0;8013.0
Vaals-G0981;482;0;3850;417;66;0;0;0;183;0;0.0;0;0;0;65;0;0;0;0;0.0;311.0
Valburg-G0283;44;0;1530;829;201;430;691;12;14;328;7.0;0;0;71;0;0;0;0;0;0.0;303.0
Valkenburg (ZH)-G0619;21;0;86;135;85;213;321;5;5;51;29.0;0;8;0;0;0;0;0;0;0.0;58.0
Valkenburg-Houthem-G0982;227;0;5440;294;131;0;0;0;35;0;0.0;0;0;0;43;0;0;0;0;0.0;362.0
Valkenswaard-G0858;369;0;7219;1257;241;0;0;106;26;0;0.0;170;0;0;0;9;0;0;0;0.0;423.0
Varik-G0284;9;0;143;311;35;11;160;6;4;23;1.0;0;0;19;0;0;0;0;0;0.0;23.0
Veen-G0859;16;0;1;129;9;0;0;0;0;0;0.0;309;0;0;0;148;0;0;0;0.0;116.0
Veendam-G0047;359;0;536;5097;1354;822;732;265;311;0;75.0;0;0;0;0;0;0;0;0;0.0;658.0
Veenendaal-G0345;240;0;529;3159;583;3128;3257;103;49;1468;45.0;0;0;0;0;0;0;19;42;0.0;754.0
Veere-G0717;8;0;13;128;56;184;99;5;4;72;13.0;0;0;0;0;0;0;0;0;0.0;63.0
Veghel-G0860;160;0;6014;353;96;0;0;27;16;0;0.0;62;0;0;0;0;0;0;0;0.0;284.0
Veldhoven-G0861;247;0;7302;1074;301;0;0;76;34;0;0.0;430;0;0;0;6;0;0;0;0.0;359.0
Velsen-G0453;1095;0;7895;12596;3429;3451;2259;2247;1525;208;161.0;0;415;0;0;0;82;0;0;0.0;2517.0
Venhuizen-G0454;30;0;990;407;205;26;33;88;13;2;0.0;0;2;0;0;0;0;0;0;0.0;80.0
Venlo-G0983;1382;0;22071;3522;769;0;0;0;190;0;0.0;0;0;0;572;0;0;0;0;0.0;1506.0
Venray-G0984;190;0;8762;326;0;0;0;0;0;0;0.0;0;0;0;96;0;0;0;0;0.0;1686.0
Vessem, Wintelre en Knegsel-G0862;5;0;1223;18;24;0;0;4;0;0;0.0;6;0;0;0;0;0;0;0;0.0;35.0
Vianen-G0620;55;0;638;907;186;317;402;39;17;170;8.0;0;6;0;0;0;0;0;0;0.0;175.0
Vierlingsbeek-G0863;78;0;2742;62;15;0;0;0;3;0;0.0;24;0;0;0;0;0;0;0;0.0;137.0
Vierpolders-G0621;11;0;9;280;141;32;49;9;14;9;2.0;0;11;0;0;0;0;0;0;0.0;39.0
Vinkeveen en Waverveen-G0346;40;0;1521;178;192;302;438;27;8;156;5.0;0;0;0;0;0;0;8;6;0.0;193.0
Vlaardingen-G0622;663;0;4074;14897;3658;4701;5370;1549;577;1247;247.0;0;136;0;0;0;0;0;0;0.0;2472.0
Vlagtwedde-G0048;365;0;1442;3036;990;875;1633;173;441;0;57.0;0;0;0;0;0;0;0;0;0.0;647.0
Vledder-G0132;35;0;69;770;283;124;127;30;40;0;5.0;0;0;0;0;0;0;0;0;14.0;97.0
Vleuten-De Meern-G0347;84;0;2405;618;344;295;649;45;11;81;26.0;0;0;0;0;0;0;7;10;0.0;175.0
Vlieland-G0096;7;0;8;274;88;26;36;11;5;2;2.0;0;0;0;0;0;0;0;0;0.0;38.0
Vlijmen-G0864;207;0;4185;394;109;0;0;0;0;0;0.0;118;0;0;0;16;0;0;0;0.0;280.0
Vlissingen-G0718;521;0;2080;7317;1545;1450;1839;322;194;314;49.0;0;0;0;0;0;0;0;0;0.0;1561.0
Vlist-G0623;6;0;54;35;49;55;13;0;1;47;0.0;0;1;0;0;0;0;0;0;0.0;19.0
Vlodrop-G0985;30;0;822;39;7;0;0;0;1;0;0.0;0;0;0;7;0;0;0;0;0.0;34.0
Voerendaal-G0986;90;0;2976;177;37;0;0;15;14;0;0.0;0;0;0;26;0;0;0;0;0.0;108.0
Vogelwaarde-G0719;34;0;1577;70;18;19;47;0;4;5;4.0;0;0;0;0;0;0;0;0;0.0;144.0
Vollenhove-G0185;37;0;158;569;103;583;652;12;9;65;310.0;0;7;0;0;0;0;0;0;0.0;174.0
Voorburg-G0624;537;0;6858;5846;6027;2727;1889;621;143;173;130.0;0;318;0;0;0;0;0;0;0.0;1859.0
Voorhout-G0625;27;0;1783;104;96;71;155;16;1;2;2.0;0;8;0;0;0;0;0;0;0.0;130.0
Voorschoten-G0626;168;0;2327;1556;1480;941;876;180;33;131;41.0;0;71;0;0;0;0;0;0;0.0;540.0
Voorst-G0285;131;0;3025;3204;1508;380;1457;100;159;157;16.0;0;0;267;0;0;0;0;0;0.0;630.0
Vorden-G0286;41;0;540;853;421;431;686;24;12;14;3.0;0;0;270;0;0;0;0;0;0.0;267.0
Vreeland-G1213;18;0;68;142;147;126;135;22;3;48;0.0;0;0;0;0;0;0;6;0;0.0;48.0
Vreeswijk-G0348;21;0;711;416;50;225;340;8;3;93;1.0;0;0;0;0;0;0;3;2;0.0;147.0
Vries-G0133;163;0;25;1649;1283;272;125;106;58;0;63.0;0;0;0;0;0;0;0;0;85.0;252.0
Vriezenveen-G0186;117;0;399;1617;214;632;3022;35;31;402;30.0;0;16;0;0;0;0;0;0;0.0;403.0
Vrouwenpolder-G1214;4;0;3;34;26;283;103;1;2;33;53.0;0;0;0;0;0;0;0;0;0.0;39.0
Vught-G0865;304;0;7599;1294;568;0;0;73;40;0;0.0;341;0;0;0;0;0;0;0;0.0;1365.0
Vuren-G0287;15;0;16;480;74;228;271;5;2;30;3.0;0;0;12;0;0;0;0;0;0.0;64.0
Waalre-G0866;139;0;3253;552;575;0;0;68;14;0;0.0;182;0;0;0;11;0;0;0;0.0;302.0
Waalwijk-G0867;241;0;6937;1030;308;0;0;0;0;0;0.0;945;0;0;0;51;0;0;0;0.0;364.0
Waarde-G0721;8;0;1;61;44;29;209;3;2;192;1.0;0;0;0;0;0;0;0;0;0.0;73.0
Waardenburg-G0288;16;0;17;317;55;54;228;3;1;261;3.0;0;0;20;0;0;0;0;0;0.0;72.0
Waarder-G1217;4;0;20;53;10;199;110;4;4;104;0.0;0;1;0;0;0;0;0;0;0.0;38.0
Waddinxveen-G0627;103;0;848;1666;614;893;861;71;35;921;24.0;0;55;0;0;0;0;0;0;0.0;352.0
Wageningen-G0289;339;0;2053;4161;1622;1140;1664;362;196;413;34.0;0;0;101;0;0;0;0;0;0.0;856.0
Wamel-G0290;126;0;3403;239;31;19;122;9;0;13;2.0;0;0;32;0;0;0;0;0;0.0;227.0
Wanneperveen-G0187;7;0;4;270;71;130;426;4;3;13;10.0;0;0;0;0;0;0;0;0;0.0;79.0
Wanroij-G0868;8;0;1693;12;2;0;0;0;0;0;0.0;2;0;0;0;0;0;0;0;0.0;34.0
Wanssum-G0987;3;0;646;14;0;0;0;0;0;0;0.0;0;0;0;1;0;0;0;0;0.0;22.0
Warder-G0455;9;0;22;150;85;4;5;14;4;5;0.0;0;2;0;0;0;0;0;0;0.0;17.0
Warffum-G0049;29;0;5;644;194;369;68;13;6;0;30.0;0;0;0;0;0;0;0;0;0.0;58.0
Warmenhuizen-G0456;11;0;962;149;101;73;6;31;15;1;1.0;0;0;0;0;0;2;0;0;0.0;36.0
Warmond-G0628;30;0;1324;285;191;65;198;25;9;24;2.0;0;18;0;0;0;0;0;0;0.0;140.0
Warnsveld-G0291;80;0;349;961;519;377;661;63;17;18;7.0;0;0;68;0;0;0;0;0;0.0;732.0
Waspik-G0869;45;0;1360;116;22;0;0;0;0;0;0.0;214;0;0;0;7;0;0;0;0.0;145.0
Wassenaar-G0629;266;0;4489;2150;3964;1003;1211;206;49;133;20.0;0;162;0;0;0;0;0;0;0.0;1228.0
Wateringen-G0630;48;0;3299;321;169;224;449;20;8;23;2.0;0;10;0;0;0;0;0;0;0.0;218.0
Waterlandkerkje-G0722;3;0;108;60;38;11;31;0;0;18;0.0;0;0;0;0;0;0;0;0;0.0;13.0
Wedde-G1220;90;0;14;1183;380;127;201;64;222;0;16.0;0;0;0;0;0;0;0;0;0.0;95.0
Weerselo-G0188;35;0;3968;117;57;5;80;7;0;1;2.0;0;0;0;0;0;0;0;0;0.0;151.0
Weert-G0988;593;0;11615;914;0;0;0;0;98;0;0.0;0;0;0;234;0;0;0;0;0.0;607.0
Weesp-G0457;199;0;1242;2306;575;683;819;357;108;50;9.0;0;57;0;0;0;12;0;0;0.0;383.0
Weesperkarspel-G1221;42;0;634;481;146;284;496;87;46;40;9.0;0;28;0;0;0;9;0;0;0.0;149.0
Wehl-G0292;47;0;1891;84;9;12;69;2;3;1;0.0;0;0;45;0;0;0;0;0;0.0;123.0
Wemeldinge-G0723;26;0;24;430;159;189;441;0;0;114;1.0;0;0;0;0;0;0;0;0;0.0;140.0
Werkendam-G0870;72;0;51;1388;189;0;0;0;0;0;0.0;2402;0;0;0;367;0;0;0;0.0;1026.0
Werkhoven-G1223;1;0;504;60;27;23;61;4;0;34;2.0;0;0;0;0;0;0;0;0;0.0;35.0
Wervershoof-G0459;6;0;1939;68;31;7;3;7;3;1;0.0;0;3;0;0;0;1;0;0;0.0;63.0
Wessem-G0989;32;0;806;35;0;0;0;0;2;0;0.0;0;0;0;9;0;0;0;0;0.0;78.0
Westdongeradeel-G0097;31;0;11;866;287;1404;1051;55;46;33;50.0;0;0;0;0;0;0;0;0;0.0;177.0
Westdorpe-G0724;52;0;892;173;40;8;18;8;5;3;4.0;0;0;0;0;0;0;0;0;0.0;73.0
Westerbork-G0134;80;0;16;1676;751;595;296;22;18;0;18.0;0;0;0;0;0;0;0;0;43.0;133.0
Westerhoven-G0871;6;0;549;13;4;0;0;1;0;0;0.0;0;0;0;0;1;0;0;0;0.0;16.0
Westerschouwen-G0725;48;0;37;767;582;282;463;34;0;116;6.0;0;0;0;0;0;0;0;0;0.0;231.0
Westervoort-G0293;37;0;1103;210;35;76;91;12;3;4;0.0;0;0;11;0;0;0;0;0;0.0;95.0
Westkapelle-G0726;18;0;6;515;144;135;307;10;3;206;3.0;0;0;0;0;0;0;0;0;0.0;133.0
Westmaas-G0631;8;0;4;132;80;148;140;0;0;45;1.0;0;5;0;0;0;0;0;0;0.0;37.0
Weststellingwerf-G0098;351;0;1232;5567;1396;758;1447;436;400;24;16.0;0;0;0;0;0;0;0;0;0.0;848.0
Westwoud-G0460;9;0;500;114;70;3;6;11;2;0;0.0;0;2;0;0;0;0;0;0;0.0;45.0
Westzaan-G0461;71;0;155;747;293;291;105;355;292;0;9.0;0;9;0;0;0;2;0;0;0.0;172.0
Wierden-G0189;79;0;2333;929;310;1457;1991;33;13;511;18.0;0;82;0;0;0;0;0;0;0.0;388.0
Wieringen-G0462;129;0;329;1465;592;236;240;372;281;7;5.0;0;21;0;0;0;5;0;0;0.0;355.0
Wieringermeer-G0463;49;0;967;1015;442;888;550;88;26;15;55.0;0;12;0;0;0;0;0;0;0.0;177.0
Wieringerwaard-G0464;6;0;47;335;200;25;25;24;14;1;1.0;0;4;0;0;0;1;0;0;0.0;75.0
Wijchen-G0296;166;0;5315;337;59;42;41;9;0;6;9.0;0;0;27;0;0;0;0;0;0.0;203.0
Wijdenes-G0469;9;0;72;242;129;9;12;47;10;2;0.0;0;3;0;0;0;0;0;0;0.0;37.0
Wijdewormer-G0470;6;0;177;157;84;22;43;45;12;1;0.0;0;3;0;0;0;2;0;0;0.0;33.0
Wijhe-G0190;25;0;962;959;334;244;729;14;3;31;16.0;0;20;0;0;0;0;0;0;0.0;133.0
Wijk bij Duurstede-G0352;43;0;1148;413;84;56;263;14;4;23;2.0;0;0;0;0;0;0;2;2;0.0;135.0
Wijk en Aalburg-G0876;45;0;7;361;93;0;0;0;0;0;0.0;645;0;0;0;412;0;0;0;0.0;230.0
Wijlre-G0991;50;0;1366;42;9;0;0;0;2;0;0.0;0;0;0;7;0;0;0;0;0.0;96.0
Wijnandsrade-G0992;10;0;492;20;0;0;0;0;1;0;0.0;0;0;0;2;0;0;0;0;0.0;5.0
Wijngaarden-G0634;5;0;0;19;4;101;7;2;1;97;0.0;0;3;0;0;0;0;0;0;0.0;8.0
Wildervank-G1225;192;0;196;2575;834;793;450;194;141;0;62.0;0;0;0;0;0;0;0;0;0.0;543.0
Willemstad-G0872;12;0;96;318;62;0;0;0;5;0;0.0;605;0;0;0;18;0;0;0;0.0;72.0
Willeskop-G0349;7;0;274;59;8;38;59;1;1;34;0.0;0;0;0;0;0;0;0;0;0.0;40.0
Wilnis-G0350;32;0;603;52;30;399;261;3;4;93;11.0;0;0;0;0;0;0;0;0;0.0;60.0
Winkel-G0465;21;0;55;631;197;36;23;144;50;4;1.0;0;4;0;0;0;1;0;0;0.0;94.0
Winschoten-G0052;318;0;367;4195;1404;1088;786;356;947;0;92.0;0;0;0;0;0;0;0;0;0.0;652.0
Winsum-G0053;22;0;20;612;216;767;111;26;2;0;43.0;0;0;0;0;0;0;0;0;0.0;49.0
Winterswijk-G0294;398;0;1965;6264;2573;1111;941;222;69;25;40.0;0;0;184;0;0;0;0;0;0.0;696.0
Wisch-G0295;286;0;2585;1891;844;859;1142;72;21;15;8.0;0;0;182;0;0;0;0;0;0.0;498.0
Wissenkerke-G0727;29;0;3;318;131;613;600;6;7;194;0.0;0;0;0;0;0;0;0;0;0.0;144.0
Wittem-G0990;95;0;2780;75;12;0;0;0;11;0;0.0;0;0;0;8;0;0;0;0;0.0;136.0
Woensdrecht-G0873;189;0;2431;416;137;0;0;0;15;0;0.0;138;0;0;0;7;0;0;0;0.0;154.0
Woerden-G0632;120;0;2005;1358;591;1078;1287;58;27;313;8.0;0;37;0;0;0;0;0;0;0.0;348.0
Wognum-G0466;17;0;958;144;79;8;2;17;8;0;0.0;0;0;0;0;0;1;0;0;0.0;49.0
Wolphaartsdijk-G0728;25;0;41;232;84;226;493;7;2;224;10.0;0;0;0;0;0;0;0;0;0.0;102.0
Wonseradeel-G0099;85;0;519;1569;500;1628;1891;137;86;17;32.0;0;0;0;0;0;0;0;0;0.0;303.0
Workum-G0100;21;0;463;434;63;393;691;24;4;4;4.0;0;0;0;0;0;0;0;0;0.0;85.0
Wormer-G0467;68;0;1195;1124;203;322;110;395;322;0;90.0;0;19;0;0;0;5;0;0;0.0;174.0
Wormerveer-G0468;182;0;1252;2556;663;733;168;1045;935;0;50.0;0;45;0;0;0;8;0;0;0.0;426.0
Woubrugge-G0633;18;0;584;157;93;216;295;23;3;65;1.0;0;4;0;0;0;0;0;0;0.0;61.0
Woudenberg-G0351;36;0;50;541;218;204;896;27;4;280;3.0;0;0;0;0;0;0;2;1;0.0;153.0
Woudrichem-G0874;33;0;29;602;77;0;0;0;0;0;0.0;440;0;0;0;50;0;0;0;0.0;101.0
Wouw-G0875;132;0;2743;267;30;0;0;0;13;0;0.0;20;0;0;0;8;0;0;0;0.0;175.0
Wymbritseradeel-G0101;44;0;765;700;163;1388;2583;42;13;5;14.0;0;0;0;0;0;0;0;0;0.0;301.0
Yerseke-G0729;52;0;92;740;188;422;587;14;19;645;6.0;0;0;0;0;0;0;0;0;0.0;286.0
Zaamslag-G0731;43;0;33;338;102;514;535;5;5;117;178.0;0;0;0;0;0;0;0;0;0.0;124.0
Zaandam-G0471;744;0;4110;10186;2115;3194;1235;3156;3281;0;124.0;0;200;0;0;0;51;0;0;0.0;1928.0
Zaandijk-G0472;85;0;228;978;368;257;82;427;298;0;18.0;0;16;0;0;0;2;0;0;0.0;158.0
Zaltbommel-G0297;74;0;591;1507;392;243;374;60;0;94;19.0;0;0;23;0;0;0;0;0;0.0;280.0
Zandvoort-G0473;288;0;1309;2882;1892;429;572;357;159;13;12.0;0;219;0;0;0;13;0;0;0.0;751.0
Zeeland-G0877;19;0;1796;44;4;0;0;0;5;0;0.0;4;0;0;0;0;0;0;0;0.0;68.0
Zegveld-G0354;5;0;133;21;13;202;230;0;1;89;0.0;0;0;0;0;0;0;1;0;0.0;35.0
Zeist-G0355;797;0;4164;8307;5271;4173;3714;717;156;1051;140.0;0;0;0;0;0;0;161;68;0.0;2889.0
Zelhem-G0298;166;0;486;1376;432;751;925;32;8;113;6.0;0;0;270;0;0;0;0;0;0.0;331.0
Zevenaar-G0299;162;0;4576;547;186;95;211;31;26;10;0.0;0;0;39;0;0;0;0;0;0.0;387.0
Zevenbergen-G0878;176;0;3627;376;144;0;0;0;34;0;0.0;766;0;0;0;12;0;0;0;0.0;248.0
Zevenhoven-G0635;11;0;363;59;12;95;94;2;2;12;0.0;0;2;0;0;0;0;0;0;0.0;28.0
Zevenhuizen-G0636;20;0;35;735;276;174;462;18;8;175;2.0;0;11;0;0;0;0;0;0;0.0;158.0
Zierikzee-G0732;68;0;444;1367;569;749;504;47;0;172;8.0;0;0;0;0;0;0;0;0;0.0;323.0
Zijpe-G0476;48;0;1081;1351;669;73;45;100;52;5;6.0;0;7;0;0;0;0;0;0;0.0;219.0
Zoelen-G0300;58;0;31;1163;294;87;298;10;2;88;3.0;0;0;39;0;0;0;0;0;0.0;108.0
Zoetermeer-G0637;59;0;1438;1014;503;629;591;43;20;549;32.0;0;20;0;0;0;0;0;0;0.0;258.0
Zoeterwoude-G0638;48;0;2042;223;107;135;276;34;8;36;4.0;0;19;0;0;0;0;0;0;0.0;112.0
Zoutelande-G1237;10;0;13;53;52;99;249;1;0;93;12.0;0;0;0;0;0;0;0;0;0.0;39.0
Zuid- en Noord-Schermer-G0474;10;0;81;244;77;30;15;23;12;18;0.0;0;12;0;0;0;0;0;0;0.0;28.0
Zuid-Beijerland-G0639;20;0;8;388;184;259;292;7;6;233;1.0;0;4;0;0;0;0;0;0;0.0;104.0
Zuidbroek-G1240;89;0;14;722;256;133;73;104;58;0;45.0;0;0;0;0;0;0;0;0;0.0;147.0
Zuiddorpe-G0734;13;0;388;48;6;1;1;0;4;0;2.0;0;0;0;0;0;0;0;0;0.0;22.0
Zuidhorn-G0056;20;0;44;676;406;533;152;44;24;0;369.0;0;0;0;0;0;0;0;0;0.0;107.0
Zuidland-G0640;16;0;4;183;138;666;144;11;2;30;0.0;0;10;0;0;0;0;0;0;0.0;83.0
Zuidlaren-G0136;130;0;44;1379;951;844;201;63;39;0;144.0;0;0;0;0;0;0;0;0;21.0;475.0
Zuidwolde-G0137;137;0;40;1104;729;767;785;23;11;0;72.0;0;0;0;0;0;0;0;0;75.0;158.0
Zuidzande-G0735;32;0;27;213;166;27;33;9;2;3;0.0;0;0;0;0;0;0;0;0;0.0;40.0
Zundert-G0879;294;0;4602;314;71;0;0;21;28;0;0.0;101;0;0;0;7;0;0;0;0.0;236.0
Zutphen-G0301;382;0;1911;6528;1736;1058;1365;480;548;50;47.0;0;0;110;0;0;0;0;0;0.0;941.0
Zwaag-G0475;14;0;795;206;122;2;12;14;3;0;0.0;0;0;0;0;0;0;0;0;0.0;84.0
Zwammerdam-G1244;15;0;360;251;113;273;231;16;3;105;2.0;0;14;0;0;0;0;0;0;0.0;98.0
Zwartewaal-G0641;7;0;8;152;78;88;19;11;0;4;2.0;0;0;0;0;0;0;0;0;0.0;16.0
Zwartsluis-G0192;35;0;14;344;86;833;407;9;17;74;42.0;0;16;0;0;0;0;0;0;0.0;146.0
Zweeloo-G0138;24;0;12;604;432;282;54;2;6;0;2.0;0;0;0;0;0;0;0;0;11.0;64.0
Zwijndrecht-G0642;227;0;962;4039;1355;2494;2062;265;105;725;275.0;0;59;0;0;0;0;0;0;0.0;946.0
Zwolle-G0193;696;0;5371;12239;3423;3252;3008;780;610;410;652.0;0;0;0;0;0;0;0;0;0.0;2219.0
Zwollerkerspel-G1245;79;0;1020;1403;573;1008;1639;87;28;283;359.0;0;0;0;0;0;0;0;0;0.0;410.0
