RegioNaam;@invalid;@blank;CDA;PvdA;VVD;SP;LPF;GL;D66;CU;SGP;PvdD;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen;@abs
Aa en Hunze-G1680;;18;2490;6953;4108;788;642;774;708;142;10;68.0;53;17;16;1.0;2;5.0;;;;2666
Aalburg-G0738;;6;3118;857;802;233;352;89;76;510;1466;32.0;23;16;5;0.0;1;1.0;0.0;1.0;;1097
Aalsmeer-G0358;;14;5138;2548;3934;536;861;511;638;269;53;61.0;64;19;13;1.0;4;7.0;;0.0;;2627
Aalten-G0197;;5;5935;2545;1249;600;365;448;291;331;24;42.0;25;14;11;11.0;2;4.0;;1.0;;1993
Abcoude-G0305;;4;1637;1076;1574;228;244;283;437;77;47;16.0;11;3;4;1.0;2;3.0;1.0;0.0;;554
Achtkarspelen-G0059;;12;7411;5535;1283;750;640;448;225;1235;144;50.0;85;26;11;0.0;3;;;0.0;;3524
Alblasserdam-G0482;;9;2967;3170;1473;482;661;239;226;608;1266;45.0;31;15;12;8.0;9;2.0;2.0;2.0;2.0;2207
Albrandswaard-G0613;;20;3171;2398;3123;470;1360;309;491;181;120;74.0;60;12;15;2.0;6;6.0;0.0;0.0;1.0;2011
Alkemade-G0483;;2;3971;1507;1981;376;575;364;341;27;14;33.0;48;23;14;2.0;1;2.0;2.0;2.0;;1463
Alkmaar-G0361;;75;10902;17845;9489;4697;2977;4332;2754;572;43;334.0;287;84;65;137.0;38;;;14.0;;14883
Almelo-G0141;;38;12044;14319;5945;2448;1826;1636;1282;942;112;;166;79;34;;22;16.0;;;;11780
Almere-G0034;;95;13459;26133;21145;5334;7259;4804;4409;1255;90;541.0;518;122;125;54.0;55;;;15.0;;26736
Alphen aan den Rijn-G0484;;73;11830;9597;9699;2388;2424;2192;2046;1177;476;224.0;168;68;37;12.0;16;14.0;8.0;4.0;;10542
Alphen-Chaam-G1723;;1;2884;938;1239;298;322;188;162;8;1;22.0;12;14;5;0.0;0;2.0;0.0;2.0;;954
Ambt Montfort-G1679;;3;2926;1647;890;347;331;242;154;9;0;53.0;26;15;8;3.0;2;3.0;;;;1913
Ameland-G0060;;0;982;573;448;113;116;92;60;15;1;8.0;19;5;3;0.0;1;;;0.0;;216
Amerongen-G0306;;4;1531;867;919;176;239;156;188;153;403;24.0;13;12;4;0.0;2;3.0;0.0;0.0;;720
Amersfoort-G0307;;70;18581;20792;14969;5484;3080;5561;4034;3418;606;315.0;273;80;41;45.0;36;19.0;10.0;9.0;;17340
Amstelveen-G0362;;44;11065;11645;13550;2498;2311;2816;3482;411;72;277.0;146;47;37;21.0;14;21.0;;4.0;;9064
Amsterdam-G0363;;1788;36352;143188;58528;37127;21658;41289;26439;2670;237;3211.0;1146;553;490;1012.0;460;138.0;218.0;59.0;;147799
Andijk-G0364;;1;1456;753;708;236;267;158;107;193;45;21.0;20;6;3;0.0;1;;;1.0;;736
Angerlo-G0199;;9;1196;885;614;181;131;113;106;6;1;12.0;16;8;2;0.0;0;0.0;;0.0;;503
Anna Paulowna-G0366;;4;2657;1901;2338;356;548;270;265;88;8;54.0;61;14;5;3.0;2;;;1.0;;1757
Apeldoorn-G0200;;60;27009;27715;17924;4810;4191;4664;3800;2417;2303;477.0;413;111;57;30.0;31;28.0;;8.0;;22605
Appingedam-G0003;;2;1664;3624;834;457;307;254;237;212;13;38.0;28;10;1;2.0;18;;;0.0;;2096
Arcen en Velden-G0885;;2;2795;1026;797;254;236;177;138;8;0;21.0;24;3;2;0.0;1;1.0;;;;1151
Arnhem-G0202;;266;15041;27503;12627;7646;3541;6965;4054;1079;86;520.0;239;111;203;145.0;34;30.0;;21.0;;26755
Assen-G0106;;28;7446;14440;5630;2380;1297;2115;1417;2442;101;154.0;104;32;31;37.0;13;17.0;;;;7988
Asten-G0743;;26;4772;1851;1573;668;524;340;280;22;5;37.0;49;32;8;1.0;2;1.0;1.0;0.0;;1802
Baarle-Nassau-G0744;;1;1877;704;696;214;210;110;76;8;3;22.0;16;9;4;1.0;1;1.0;0.0;1.0;;997
Baarn-G0308;;20;4119;3476;3836;828;792;880;765;392;101;91.0;51;16;18;4.0;5;7.0;0.0;4.0;;2936
Barendrecht-G0489;;21;6245;4536;5117;824;2207;740;836;587;972;97.0;100;19;38;6.0;8;11.0;6.0;0.0;4.0;3872
Barneveld-G0203;;11;13322;2958;3761;654;1413;539;460;2110;5126;63.0;78;27;11;12.0;4;5.0;;2.0;;3796
Bathmen-G0144;;5;1214;997;956;112;131;135;148;7;1;;9;13;1;;1;0.0;;;;365
Bedum-G0005;;3;2691;1951;675;361;172;301;237;716;45;23.0;17;4;2;0.0;0;;;2.0;;890
Beek-G0888;;9;4366;2539;1621;570;537;449;318;33;6;52.0;54;20;11;2.0;3;1.0;;;;2520
Beemster-G0370;;15;1582;1311;1532;250;332;237;268;18;2;36.0;24;4;3;0.0;3;;;0.0;;836
Beesel-G0889;;7;3031;1877;1138;398;472;282;197;21;3;61.0;33;10;4;0.0;5;4.0;;;;2598
Bellingwedde-G0007;;7;867;3047;796;347;345;257;138;94;12;45.0;23;7;4;0.0;22;;;2.0;;1519
Bennebroek-G0372;;1;1208;599;1165;106;125;160;224;18;6;15.0;5;2;3;0.0;1;0.0;;0.0;;492
Bergambacht-G0491;;1;1638;1512;1212;159;383;140;197;218;632;31.0;15;5;5;0.0;2;1.0;0.0;0.0;;709
Bergeijk-G1724;;16;5462;1916;1987;653;617;299;250;33;8;41.0;52;18;6;0.0;2;3.0;0.0;1.0;;2120
Bergen-G0893;;6;3637;1763;1057;427;413;226;156;6;2;41.0;30;16;4;0.0;0;4.0;;;;2259
Bergen-G0373;;17;5269;4792;5480;1126;1222;1343;1250;74;12;125.0;108;19;18;1.0;13;;;4.0;;3529
Bergen op Zoom-G0748;;39;10117;9267;7951;2264;2687;1645;1530;207;28;178.0;185;62;52;50.0;18;10.0;8.0;10.0;;12109
Bergh-G0207;;8;4476;3105;1676;542;513;323;266;24;8;45.0;38;23;7;1.0;5;6.0;;2.0;;3001
Bergschenhoek-G0492;;7;2983;1422;2661;266;828;282;358;280;48;48.0;35;10;17;4.0;3;2.0;5.0;2.0;;1508
Berkel en Rodenrijs-G0493;;8;4164;1585;2359;351;798;375;422;708;78;44.0;46;10;17;8.0;0;10.0;1.0;1.0;;1579
Bernheze-G1721;;19;8041;3111;2652;1995;633;539;427;23;7;34.0;61;38;9;5.0;4;6.0;1.0;3.0;;3766
Bernisse-G0568;;9;2488;1746;1988;339;768;246;320;125;91;62.0;45;11;5;0.0;1;3.0;0.0;0.0;2.0;1576
Best-G0753;;21;5743;3965;3562;1070;861;628;676;212;22;61.0;76;78;12;16.0;4;1.0;2.0;2.0;;3756
Beuningen-G0209;;11;4669;4329;2841;1068;686;681;585;57;11;54.0;66;21;10;6.0;2;;;;;3512
Beverwijk-G0375;;19;5185;6863;3832;1448;1603;1095;852;132;19;165.0;121;31;34;15.0;12;7.0;;7.0;;6111
Binnenmaas-G0585;;20;3609;2852;3036;491;1079;366;451;222;646;62.0;47;4;16;0.0;1;6.0;0.0;1.0;1.0;2087
Bladel-G1728;;13;5459;2050;1826;769;588;366;324;25;3;32.0;82;34;6;0.0;0;4.0;1.0;1.0;;2766
Blaricum-G0376;;4;1697;1187;2247;284;281;278;419;40;8;31.0;18;2;5;0.0;1;2.0;;1.0;;718
Bleiswijk-G0495;;4;2434;945;1597;179;542;171;223;213;86;22.0;36;5;9;1.0;0;5.0;0.0;1.0;;899
Bloemendaal-G0377;;6;2719;1794;4450;329;366;634;954;74;12;75.0;21;14;9;1.0;2;0.0;;1.0;;1157
Boarnsterhim-G0055;;9;2724;5180;2343;688;362;618;442;94;25;36.0;74;22;5;2.0;2;;;2.0;;1793
Bodegraven-G0497;;13;4549;2141;2261;454;649;361;362;513;590;43.0;35;9;7;0.0;5;4.0;0.0;1.0;;2175
Boekel-G0755;;9;3072;866;655;491;318;143;120;8;3;15.0;26;9;2;0.0;1;3.0;1.0;1.0;;1149
Bolsward-G0064;;5;2233;1826;655;401;201;236;137;100;15;25.0;35;10;8;0.0;2;;;2.0;;1180
Borculo-G0211;;4;1861;2302;1773;309;190;254;181;46;4;27.0;19;7;1;1.0;2;5.0;;0.0;;940
Borger-Odoorn-G1681;;13;3645;7121;2860;868;684;600;565;346;34;70.0;64;21;7;1.0;9;0.0;;;;3487
Borne-G0147;;11;5384;3598;2096;656;378;473;460;89;5;;38;13;8;;4;4.0;;;;2096
Borsele-G0654;;16;5376;2441;1853;619;628;420;302;290;1772;79.0;47;17;10;3.0;5;;;;;2602
Boskoop-G0499;;6;3582;1552;2110;380;604;386;345;266;301;38.0;38;7;7;3.0;2;2.0;0.0;0.0;;1547
Boxmeer-G0756;;27;7858;3877;2639;1902;817;666;500;53;4;59.0;66;17;5;5.0;6;7.0;0.0;4.0;;3245
