RegioNaam;@invalid;@blank;CDA;PvdA;VVD;SP;LPF;GL;D66;CU;SGP;PvdD;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen;@abs
Littenseradiel-G0140;;4;2565;1966;916;421;206;388;198;104;7;25.0;56;8;2;1.0;0;;;1.0;;1011
Lochem-G0262;;8;3761;3937;2857;546;399;625;582;57;11;55.0;34;22;5;5.0;0;3.0;;2.0;;2037
Loenen-G0329;;0;1691;1044;1483;255;287;251;347;82;99;33.0;13;7;8;0.0;1;2.0;0.0;0.0;;665
Loon op Zand-G0809;;12;5348;3023;2568;877;720;477;441;48;71;61.0;65;28;8;2.0;2;4.0;3.0;3.0;;3728
Lopik-G0331;;8;3862;1248;1295;289;555;209;163;444;488;27.0;41;8;4;1.0;1;0.0;0.0;0.0;;1253
Loppersum-G0024;;5;2332;2349;745;364;231;399;183;444;77;25.0;25;9;5;0.0;5;;;0.0;;1098
Losser-G0168;;7;6429;3695;1890;622;545;426;325;61;4;;55;31;11;;5;4.0;;;;2897
Maarn-G0332;;3;1220;746;1151;152;167;187;231;55;112;19.0;10;1;6;3.0;0;0.0;0.0;0.0;;355
Maarssen-G0333;;25;6285;6195;5738;1322;1496;1325;1222;340;101;157.0;79;24;26;9.0;8;13.0;20.0;4.0;;5414
Maasbracht-G0933;;4;3590;1767;1274;476;493;284;198;47;5;55.0;46;6;4;0.0;3;1.0;;;;2458
Maasbree-G0934;;2;3867;1359;1271;329;391;280;230;12;7;43.0;30;19;1;0.0;0;3.0;;;;1732
Maasdonk-G1671;;7;3142;1204;1120;814;344;160;121;8;6;9.0;36;12;4;4.0;2;2.0;0.0;3.0;;1423
Maasdriel-G0263;;6;5889;2966;2902;764;1090;435;377;85;251;59.0;64;21;14;0.0;1;;;;;2870
Maasland-G0555;;8;2358;527;867;111;326;128;122;117;27;19.0;9;0;1;2.0;2;1.0;0.0;0.0;0.0;370
Maassluis-G0556;;17;5555;4990;3984;962;2082;648;686;455;111;119.0;102;21;28;42.0;5;8.0;1.0;3.0;6.0;4757
Maastricht-G0935;;48;18303;23218;9403;4831;3634;4607;3108;320;27;530.0;195;84;85;18.0;21;21.0;;;;26678
Margraten-G0936;;7;4313;1797;1120;366;361;333;315;22;3;47.0;19;6;5;0.0;4;3.0;;;;1443
Marum-G0025;;6;1868;1925;1010;295;340;199;188;244;32;29.0;38;12;4;0.0;1;;;0.0;;1293
Medemblik-G0420;;5;1336;999;978;282;433;184;156;60;7;30.0;26;11;1;23.0;5;;;1.0;;1257
Meerlo-Wanssum-G0993;;7;2395;918;618;283;222;167;115;3;2;14.0;25;11;5;0.0;1;1.0;;;;1006
Meerssen-G0938;;8;5297;3032;1845;658;623;553;383;34;1;84.0;41;11;16;1.0;4;2.0;;;;2997
Meijel-G0941;;15;1771;673;573;157;195;78;53;0;2;18.0;13;8;1;0.0;1;0.0;;;;891
Menaldumadeel-G0083;;5;2973;3175;1307;452;343;414;256;159;7;23.0;52;19;3;0.0;2;;;2.0;;1355
Menterwolde-G1987;;1;1076;3979;1042;618;348;281;211;184;19;41.0;28;16;8;1.0;18;;;2.0;;1920
Meppel-G0119;;16;4762;6808;3483;1026;710;796;736;793;43;69.0;59;13;8;4.0;4;7.0;;;;3725
Middelburg-G0687;;22;7901;7364;3891;1914;1186;1627;990;1314;2007;164.0;74;18;23;10.0;11;;;;;6131
Middelharnis-G0559;;12;3049;2525;1636;397;635;244;250;626;1527;46.0;30;11;4;0.0;1;0.0;1.0;2.0;7.0;2213
Midden-Drenthe-G1731;;17;6098;7759;3700;910;815;801;643;458;58;71.0;79;22;14;0.0;6;0.0;;;;3442
Mierlo-G0814;;4;2490;1367;1172;440;364;251;261;25;0;30.0;23;16;3;1.0;1;2.0;1.0;3.0;;1274
Mill en Sint Hubert-G0815;;6;3461;1463;971;662;306;175;121;17;5;14.0;25;16;2;0.0;0;3.0;0.0;1.0;;1279
Millingen aan de Rijn-G0265;;1;1020;1422;481;226;135;130;109;6;2;18.0;9;14;1;0.0;0;;;;;860
Moerdijk-G1709;;19;7571;5186;4379;1427;1519;745;626;350;115;125.0;123;49;17;12.0;2;9.0;1.0;0.0;;5739
Monster-G0562;;14;5283;1660;2551;309;1245;320;352;298;348;80.0;57;15;29;0.0;1;6.0;3.0;3.0;1.0;2611
