RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Oud-Beijerland-G0584;;5;1888;1698;1665;459;252.0;374;460.0;256;1119.0;;;;303.0;16.0;;;;;;;;;28.0;;;;;;3.0;;0.0;5.0;;;;1.0;5.0;0.0;6.0;0.0;8736
Ouder-Amstel-G0437;;6;1365;1098;1323;456;210.0;646;;165;;104.0;;;;;;18.0;;;;;16.0;25.0;;;1.0;;;23.0;;2.0;;3.0;;;;;;;;;4358
Ouderkerk-G0644;;1;680;696;629;129;71.0;99;318.0;101;706.0;;;;19.0;7.0;;;;;;;;;15.0;;;;;;0.0;;0.0;1.0;;;;0.0;0.0;0.0;;0.0;2560
Oudewater-G0589;;0;1640;515;697;178;82.0;102;215.0;107;155.0;;;;;;;;;;;;;;;;;;18.0;;;;;;;9.0;;;;;;;3598
Overbetuwe-G1734;;13;4928;2886;2471;957;729.0;896;450.0;271;447.0;;;;;;;;;172.0;;;;;;;;;;;;;;;;;18.0;;;;;;15946
Papendrecht-G0590;;14;2760;2429;2298;488;369.0;358;923.0;471;643.0;;;;71.0;30.0;;;;;;;;;28.0;;;;;;9.0;;2.0;5.0;;;;0.0;3.0;0.0;9.0;0.0;12139
Pekela-G0765;;5;1019;2375;469;335;434.0;72;181.0;94;;;;;;;;;182.0;;;;;;;;71.0;;;;;;;;;;;;;;;;5038
Pijnacker-Nootdorp-G1926;;23;4481;2092;3088;734;393.0;661;352.0;434;222.0;;;;341.0;26.0;;;;;;;;;64.0;;;;;;8.0;;4.0;3.0;;;;2.0;2.0;1.0;;3.0;12472
Purmerend-G0439;;17;3137;7092;5456;1557;1579.0;1232;;935;;233.0;;;;;;443.0;;;;;232.0;107.0;;;38.0;;;184.0;;33.0;;35.0;;;;;;;;;33473
Putten-G0273;;4;4353;1002;1402;256;164.0;213;1490.0;280;1245.0;;;;;;;;;97.0;;;;;;;;;;;;;;;;;14.0;;;;;;6757
Raalte-G0177;;16;8311;2446;1687;529;544.0;375;277.0;245;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12986
Reeuwijk-G0595;;4;1658;634;1513;231;107.0;213;333.0;155;675.0;;;;52.0;17.0;;;;;;;;;26.0;;;;;;3.0;;1.0;3.0;;;;0.0;4.0;0.0;;2.0;3982
Reiderland-G1661;;3;212;1111;262;141;249.0;30;23.0;88;;;;;;;;;116.0;;;;;;;;651.0;;;;;;;;;;;;;;;;2651
Reimerswaal-G0703;;7;2207;1283;1039;198;239.0;104;369.0;258;3364.0;;;;;;;;;;332.0;;;;;;;;;;;;;;;;;;;;;;5574
Renkum-G0274;;8;3964;3303;3260;1435;683.0;847;283.0;253;99.0;;;;;;;;;169.0;;;;;;;;;;;;;;;;;21.0;;;;;;10564
Renswoude-G0339;;0;815;137;322;24;46.0;27;116.0;36;306.0;;;;;;;;;;;;;;;;;;2.0;;;;;;;3.0;;;;;;;1159
Reusel-De Mierden-G1667;;4;2266;612;557;77;152.0;83;;71;;6.0;;;;33.0;37.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;5340
Rheden-G0275;;12;4604;5654;3657;1391;1486.0;894;464.0;547;74.0;;;;;;;;;227.0;;;;;;;;;;;;;;;;;31.0;;;;;;16034
Rhenen-G0340;;5;1752;1387;1301;475;232.0;289;337.0;214;1424.0;;;;;;;;;;;;;;;;;;23.0;;;;;;;18.0;;;;;;;5841
Ridderkerk-G0597;;25;3891;4112;2620;473;532.0;461;1149.0;671;2273.0;;;;283.0;70.0;;;;;;;;;43.0;;;;;;10.0;;4.0;2.0;;;;4.0;13.0;0.0;10.0;1.0;19058
Rijnsburg-G0602;;3;2639;462;982;126;93.0;90;687.0;91;154.0;;;;50.0;11.0;;;;;;;;;13.0;;;;;;0.0;;12.0;1.0;;;;1.0;1.0;0.0;;0.0;5282
Rijnwaarden-G0196;;8;1369;994;487;122;198.0;100;14.0;76;8.0;;;;;;;;;38.0;;;;;;;;;;;;;;;;;1.0;;;;;;5117
Rijnwoude-G1672;;11;2880;1352;1611;319;266.0;307;399.0;200;661.0;;;;39.0;30.0;;;;;;;;;33.0;;;;;;0.0;;2.0;0.0;;;;2.0;2.0;0.0;;0.0;6155
Rijssen-G0178;;14;5327;2463;1652;255;255.0;242;2297.0;258;5038.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8149
Rijswijk-G0603;;11;4264;3953;4294;1052;874.0;918;270.0;843;107.0;;;;1404.0;73.0;;;;;;;;;95.0;;;;;;10.0;;11.0;6.0;;;;2.0;3.0;2.0;2.0;1.0;19946
Roerdalen-G1669;;3;1852;759;740;171;151.0;92;;112;;;;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3966
Roermond-G0957;;17;4604;2937;3409;934;762.0;487;;403;;;;294.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19732
Roggel en Neer-G1670;;10;1617;451;668;164;94.0;68;;51;;;;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3127
Roosendaal-G1674;;17;7269;4528;4788;1057;1588.0;824;;832;;157.0;;;;125.0;296.0;;;;;;;;;;;;;;;;20.0;;;;;;;;;;36342
Rotterdam-G0599;;321;22680;51194;25801;11501;10547.0;9373;3590.0;14635;2170.0;;;;2053.0;523.0;;;;;;;;;645.0;;;;;;1058.0;;93.0;73.0;;;;47.0;97.0;76.0;98.0;42.0;272594
Rozenburg-G0600;;7;944;1072;747;132;180.0;168;160.0;223;42.0;;;;319.0;25.0;;;;;;;;;12.0;;;;;;1.0;;1.0;0.0;;;;3.0;6.0;0.0;3.0;1.0;6076
Rozendaal-G0277;;2;194;105;373;47;32.0;63;6.0;22;3.0;;;;;;;;;15.0;;;;;;;;;;;;;;;;;3.0;;;;;;323
Rucphen-G0840;;7;2210;1009;947;145;180.0;101;;205;;25.0;;;;24.0;884.0;;;;;;;;;;;;;;;;9.0;;;;;;;;;;12181
Ruurlo-G0278;;2;1210;862;1121;98;107.0;104;19.0;57;9.0;;;;;;;;;44.0;;;;;;;;;;;;;;;;;3.0;;;;;;2915
Sassenheim-G0604;;11;2136;953;1580;263;228.0;235;66.0;117;18.0;;;;61.0;15.0;;;;;;;;;26.0;;;;;;0.0;;21.0;0.0;;;;2.0;0.0;2.0;;0.0;5367
Schagen-G0441;;7;1254;1993;1753;454;333.0;334;;146;;70.0;;;;;;70.0;;;;;54.0;25.0;;;11.0;;;29.0;;4.0;;14.0;;;;;;;;;7097
Scheemda-G0039;;2;1569;2522;721;308;308.0;125;313.0;94;;;;;;;;;330.0;;;;;;;;160.0;;;;;;;;;;;;;;;;4644
Schermer-G0458;;3;606;478;564;134;69.0;92;;69;;14.0;;;;;;23.0;;;;;9.0;16.0;;;2.0;;;23.0;;5.0;;3.0;;;;;;;;;1498
Scherpenzeel-G0279;;2;1376;485;689;76;71.0;98;354.0;85;883.0;;;;;;;;;29.0;;;;;;;;;;;;;;;;;8.0;;;;;;2457
Schiedam-G0606;;42;4093;6643;3491;1408;1647.0;848;347.0;1384;162.0;;;;260.0;106.0;;;;;;;;;102.0;;;;;;53.0;;17.0;9.0;;;;8.0;9.0;7.0;7.0;9.0;34704
Schiermonnikoog-G0088;;1;163;152;110;29;27.0;22;;5;;9.0;10.0;;;;;;;;;5.0;;;;;0.0;;;;;;;;;;;;;;;;265
Schijndel-G0844;;24;2491;1922;1169;210;890.0;208;;146;;12.0;;;;57.0;54.0;;;;;;;;;;;;;;;;8.0;;;;;;;;;;10289
Schinnen-G0962;;0;2836;1230;626;257;231.0;169;;88;;;;181.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4702
Schipluiden-G0607;;5;2116;670;951;262;132.0;191;119.0;136;34.0;;;;30.0;8.0;;;;;;;;;16.0;;;;;;1.0;;2.0;0.0;;;;1.0;2.0;0.0;0.0;0.0;3291
Schoonhoven-G0608;;4;1282;962;992;375;184.0;189;296.0;144;218.0;;;;27.0;13.0;;;;;;;;;16.0;;;;;;1.0;;0.0;0.0;;;;0.0;1.0;0.0;;0.0;4427
Schouwen-Duiveland-G1676;;26;3787;3068;3301;665;350.0;425;694.0;549;1800.0;;;;;;;;;;568.0;;;;;;;;;;;;;;;;;;;;;;11352
Sevenum-G0964;;2;1773;446;310;80;144.0;60;;39;;;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2623
's-Gravendeel-G0517;;1;1127;833;584;129;112.0;81;181.0;90;345.0;;;;37.0;4.0;;;;;;;;;16.0;;;;;;0.0;;1.0;0.0;;;;0.0;2.0;0.0;4.0;0.0;3455
's-Gravenhage-G0518;;218;21580;33673;30874;10246;7435.0;8648;2088.0;6065;1043.0;;;;737.0;541.0;;;;;;;;;549.0;;;;;;562.0;;86.0;65.0;;;;;32.0;143.0;;53.0;208003
's-Gravenzande-G0519;;5;3035;862;1877;171;95.0;130;304.0;305;353.0;;;;73.0;10.0;;;;;;;;;11.0;;;;;;3.0;;1.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;7249
's-Hertogenbosch-G0796;;36;10338;9408;8554;3404;4602.0;2211;;933;;291.0;;;;255.0;295.0;;;;;;;;;;;;;;;;31.0;;;;;;;;;;59868
Simpelveld-G0965;;1;1868;1055;334;137;173.0;78;;91;;;;507.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4357
Sint Anthonis-G1702;;13;3171;580;556;163;267.0;103;;61;;10.0;;;;26.0;40.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;3626
Sint-Michielsgestel-G0845;;6;3852;1976;1795;409;678.0;446;;156;;41.0;;;;88.0;110.0;;;;;;;;;;;;;;;;11.0;;;;;;;;;;11597
Sint-Oedenrode-G0846;;5;3098;1002;820;172;568.0;169;;128;;18.0;;;;39.0;282.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;6512
Sittard-Geleen-G1883;;26;13954;7179;3708;3509;1485.0;855;;646;;;;1972.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41481
Skarsterlân-G0051;;13;3565;2709;1349;518;319.0;277;;162;;381.0;3007.0;;;;;;;;;57.0;;;;;27.0;;;;;;;;;;;;;;;;7857
Sliedrecht-G0610;;4;1973;2072;1099;235;366.0;175;922.0;210;1977.0;;;;74.0;17.0;;;;;;;;;29.0;;;;;;3.0;;7.0;3.0;;;;0.0;4.0;1.0;7.0;3.0;8684
Slochteren-G0040;;11;1312;1952;1169;345;261.0;244;908.0;134;;;;;;;;;320.0;;;;;;;;35.0;;;;;;;;;;;;;;;;4671
Sluis-G1714;;9;2316;1882;1864;313;271.0;152;104.0;256;142.0;;;;;;;;;;1028.0;;;;;;;;;;;;;;;;;;;;;;9793
Smallingerland-G0090;;16;6664;7035;2097;1211;1375.0;592;;311;;2411.0;1884.0;;;;;;;;;227.0;;;;;51.0;;;;;;;;;;;;;;;;16595
Sneek-G0091;;10;3301;3686;1651;692;767.0;414;;240;;483.0;1423.0;;;;;;;;;70.0;;;;;27.0;;;;;;;;;;;;;;;;11927
Soest-G0342;;4;4713;3217;5280;1303;648.0;973;709.0;498;269.0;;;;;;;;;;;;;;;;;;114.0;;;;;;;64.0;;;;;;;15759
Someren-G0847;;5;3515;827;874;145;246.0;133;;133;;27.0;;;;24.0;39.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;7494
Son en Breugel-G0848;;2;2199;817;1533;225;303.0;307;;130;;36.0;;;;45.0;77.0;;;;;;;;;;;;;;;;10.0;;;;;;;;;;5681
Spijkenisse-G0612;;29;3131;6263;4541;840;1220.0;864;471.0;1595;230.0;;;;301.0;105.0;;;;;;;;;61.0;;;;;;19.0;;14.0;12.0;;;;184.0;12.0;11.0;13.0;1.0;36825
Stadskanaal-G0037;;10;4558;4671;1247;339;490.0;207;1528.0;206;;;;;;;;;315.0;;;;;;;;39.0;;;;;;;;;;;;;;;;12410
Staphorst-G0180;;5;1783;604;630;76;76.0;67;1695.0;117;2720.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2863
Stede Broec-G0532;;8;1924;1614;1614;379;395.0;324;;238;;79.0;;;;;;107.0;;;;;88.0;26.0;;;7.0;;;49.0;;6.0;;7.0;;;;;;;;;8945
Steenbergen-G0851;;4;2296;1439;1653;190;294.0;475;;201;;296.0;;;;32.0;232.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;10993
Steenderen-G0280;;2;1123;517;430;79;101.0;64;24.0;40;10.0;;;;;;;;;20.0;;;;;;;;;;;;;;;;;1.0;;;;;;1397
Steenwijkerland-G1708;;11;6162;4496;2843;771;694.0;706;1280.0;434;127.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14395
Stein-G0971;;11;3765;2810;948;366;393.0;354;;206;;;;178.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11937
Strijen-G0617;;6;1051;732;775;220;88.0;108;130.0;108;196.0;;;;65.0;5.0;;;;;;;;;13.0;;;;;;3.0;;1.0;1.0;;;;1.0;2.0;0.0;1.0;0.0;3576
Swalmen-G0975;;4;1207;702;479;104;138.0;76;;54;;;;62.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3879
Ten Boer-G0009;;12;916;1016;343;175;124.0;121;598.0;43;;;;;;;;;124.0;;;;;;;;9.0;;;;;;;;;;;;;;;;1759
Ter Aar-G0480;;1;1608;349;667;146;100.0;106;56.0;106;62.0;;;;47.0;6.0;;;;;;;;;25.0;;;;;;0.0;;2.0;1.0;;;;1.0;3.0;2.0;;0.0;3359
Terneuzen-G0715;;6;5106;4248;2308;545;610.0;445;1251.0;591;1287.0;;;;;;;;;;1135.0;;;;;;;;;;;;;;;;;;;;;;22980
Terschelling-G0093;;6;449;641;521;136;77.0;65;;42;;26.0;62.0;;;;;;;;;93.0;;;;;4.0;;;;;;;;;;;;;;;;1672
Texel-G0448;;1;1349;1460;1960;402;349.0;218;;135;;129.0;;;;;;26.0;;;;;17.0;12.0;;;6.0;;;18.0;;5.0;;4.0;;;;;;;;;4177
Tholen-G0716;;4;1924;1825;1101;136;248.0;170;732.0;257;3048.0;;;;;;;;;;260.0;;;;;;;;;;;;;;;;;;;;;;7747
Thorn-G0977;;6;508;274;135;31;30.0;16;;17;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933
Tiel-G0281;;11;2695;3635;2632;803;606.0;501;246.0;533;143.0;;;;;;;;;134.0;;;;;;;;;;;;;;;;;21.0;;;;;;16896
Tilburg-G0855;;66;15691;12507;8768;4359;5747.0;2676;;1420;;332.0;;;;713.0;336.0;;;;;;;;;;;;;;;;61.0;;;;;;;;;;96131
Tubbergen-G0183;;2;6921;666;577;111;117.0;104;21.0;110;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6014
Twenterand-G1700;;10;7024;2233;938;243;245.0;172;1606.0;239;547.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11616
Tynaarlo-G1730;;12;2562;4835;3641;1390;;903;541.0;283;20.0;;;;;;;;;;;;;;;211.0;;969.0;;;;;;;;;;;;;;;8847
Tytsjerksteradiel-G0737;;7;5018;3275;1379;812;484.0;306;;217;;877.0;2696.0;;;;;;;;;143.0;;;;;8.0;;;;;;;;;;;;;;;;8782
Ubbergen-G0282;;3;1332;895;556;351;281.0;421;20.0;60;7.0;;;;;;;;;27.0;;;;;;;;;;;;;;;;;5.0;;;;;;3305
Uden-G0856;;11;6193;2117;2516;408;1570.0;429;;281;;38.0;;;;74.0;95.0;;;;;;;;;;;;;;;;8.0;;;;;;;;;;16495
Uitgeest-G0450;;4;990;1061;953;361;267.0;274;;248;;25.0;;;;;;51.0;;;;;28.0;26.0;;;6.0;;;23.0;;5.0;;1.0;;;;;;;;;4310
Uithoorn-G0451;;4;2485;2052;2922;719;376.0;576;;289;;118.0;;;;;;78.0;;;;;47.0;30.0;;;3.0;;;28.0;;10.0;;13.0;;;;;;;;;10064
Urk-G0184;;0;1451;29;60;4;12.0;45;2897.0;45;2483.0;;;;;6.0;;;;;;;;;;;;;;;;;1.0;;2.0;;;;;;;;3174
Utrecht-G0344;;150;13571;24941;14623;16835;8359.0;7692;1931.0;1891;497.0;;;;;;;;;;;;;;;;;;1338.0;;;;;;;312.0;;;;;;;107393
Vaals-G0981;;1;1383;684;229;80;82.0;53;;62;;;;163.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3360
Valkenburg (ZH)-G0619;;1;559;120;466;34;23.0;20;180.0;29;21.0;;;;22.0;4.0;;;;;;;;;3.0;;;;;;0.0;;6.0;0.0;;;;0.0;0.0;0.0;;0.0;1201
Valkenburg aan de Geul-G0994;;9;4057;992;789;248;836.0;285;;125;;;;555.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6103
Valkenswaard-G0858;;6;3510;2163;2446;420;699.0;369;;263;;56.0;;;;93.0;84.0;;;;;;;;;;;;;;;;12.0;;;;;;;;;;13830
Veendam-G0047;;15;1887;4643;1670;471;433.0;382;383.0;162;;;;;;;;;567.0;;;;;;;;43.0;;;;;;;;;;;;;;;;11288
Veenendaal-G0345;;20;6639;3264;3575;1127;693.0;475;3877.0;429;3084.0;;;;;;;;;;;;;;;;;;91.0;;;;;;;35.0;;;;;;;20266
Veere-G0717;;7;3368;1432;1670;650;249.0;282;544.0;205;1839.0;;;;;;;;;;300.0;;;;;;;;;;;;;;;;;;;;;;5993
Veghel-G0860;;8;6059;1947;1934;343;897.0;338;;286;;53.0;;;;84.0;132.0;;;;;;;;;;;;;;;;11.0;;;;;;;;;;14604
Veldhoven-G0861;;13;5136;2739;2754;515;1129.0;617;;419;;133.0;;;;82.0;164.0;;;;;;;;;;;;;;;;82.0;;;;;;;;;;18161
Velsen-G0453;;28;4784;6657;4962;1648;1289.0;1208;;712;;651.0;;;;;;184.0;;;;;177.0;106.0;;;28.0;;;103.0;;22.0;;31.0;;;;;;;;;27802
Venhuizen-G0454;;10;891;600;968;149;147.0;112;;93;;22.0;;;;;;46.0;;;;;32.0;19.0;;;2.0;;;18.0;;0.0;;2.0;;;;;;;;;2680
Venlo-G0983;;23;10489;5533;5629;1983;962.0;766;;695;;;;462.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40814
Venray-G0984;;7;6618;2471;1842;449;740.0;600;;241;;;;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15499
Vianen-G0620;;9;1957;1533;1344;321;461.0;237;182.0;207;450.0;;;;;;;;;;;;;;;;;;59.0;;;;;;;13.0;;;;;;;7937
Vlaardingen-G0622;;48;5193;6672;3913;1384;1854.0;842;802.0;1317;737.0;;;;356.0;158.0;;;;;;;;;68.0;;;;;;41.0;;18.0;10.0;;;;6.0;8.0;2.0;8.0;1.0;33429
Vlagtwedde-G0048;;6;2099;2386;856;268;280.0;122;202.0;131;;;;;;;;;205.0;;;;;;;;19.0;;;;;;;;;;;;;;;;6434
Vlieland-G0096;;1;37;110;210;33;7.0;12;;8;;3.0;11.0;;;;;;;;;57.0;;;;;0.0;;;;;;;;;;;;;;;;371
Vlissingen-G0718;;11;3465;4002;2282;888;985.0;467;478.0;666;494.0;;;;;;;;;;741.0;;;;;;;;;;;;;;;;;;;;;;19925
Vlist-G0623;;1;1193;765;825;142;106.0;122;198.0;88;573.0;;;;25.0;6.0;;;;;;;;;17.0;;;;;;0.0;;1.0;0.0;;;;2.0;2.0;0.0;;3.0;3276
Voerendaal-G0986;;3;2545;987;694;178;241.0;830;;203;;;;133.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4365
Voorhout-G0625;;4;1619;838;1663;301;231.0;276;65.0;136;17.0;;;;47.0;14.0;;;;;;;;;26.0;;;;;;1.0;;17.0;0.0;;;;1.0;0.0;0.0;;0.0;4866
Voorschoten-G0626;;10;2786;1609;2992;822;274.0;673;131.0;255;61.0;;;;69.0;32.0;;;;;;;;;46.0;;;;;;3.0;;7.0;7.0;;;;2.0;5.0;0.0;;0.0;6588
Voorst-G0285;;8;3798;2342;2193;406;276.0;339;132.0;180;211.0;;;;;;;;;88.0;;;;;;;;;;;;;;;;;9.0;;;;;;7951
Vorden-G0286;;7;1839;835;925;162;138.0;144;40.0;63;14.0;;;;;;;;;29.0;;;;;;;;;;;;;;;;;5.0;;;;;;2455
Vught-G0865;;10;2709;1771;2316;707;540.0;568;;158;;52.0;;;;64.0;73.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;10057
Waalre-G0866;;7;2222;1052;1987;265;275.0;446;;164;;26.0;;;;41.0;49.0;;;;;;;;;;;;;;;;21.0;;;;;;;;;;5638
Waalwijk-G0867;;19;5157;2655;2673;567;754.0;420;;469;;1032.0;;;;158.0;218.0;;;;;;;;;;;;;;;;9.0;;;;;;;;;;20740
Waddinxveen-G0627;;15;2757;1822;2197;370;303.0;435;992.0;282;1076.0;;;;70.0;38.0;;;;;;;;;44.0;;;;;;4.0;;4.0;1.0;;;;0.0;2.0;0.0;;3.0;9131
Wageningen-G0289;;27;2663;3747;1971;2706;1109.0;1179;576.0;146;248.0;;;;;;;;;226.0;;;;;;;;;;;;;;;;;6.0;;;;;;11123
Warmond-G0628;;3;686;305;597;159;87.0;156;13.0;57;13.0;;;;13.0;4.0;;;;;;;;;15.0;;;;;;3.0;;3.0;2.0;;;;1.0;0.0;0.0;;1.0;1714
Warnsveld-G0291;;6;1130;1188;737;298;293.0;260;122.0;82;9.0;;;;;;;;;102.0;;;;;;;;;;;;;;;;;3.0;;;;;;2608
Wassenaar-G0629;;9;2806;982;5173;277;161.0;408;68.0;357;30.0;;;;97.0;22.0;;;;;;;;;30.0;;;;;;0.0;;1.0;5.0;;;;1.0;2.0;2.0;;0.0;7330
Wateringen-G0630;;9;2462;705;1351;213;133.0;187;78.0;362;17.0;;;;143.0;21.0;;;;;;;;;19.0;;;;;;5.0;;2.0;2.0;;;;0.0;0.0;1.0;2.0;0.0;6328
Waterland-G0852;;7;2030;1710;1688;751;296.0;426;;234;;101.0;;;;;;52.0;;;;;46.0;32.0;;;10.0;;;39.0;;12.0;;7.0;;;;;;;;;5651
Weert-G0988;;16;5552;3715;3274;449;910.0;501;;302;;;;334.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21710
Weesp-G0457;;9;1204;1515;1617;807;293.0;424;;178;;113.0;;;;;;141.0;;;;;26.0;18.0;;;11.0;;;17.0;;7.0;;3.0;;;;;;;;;7173
Wehl-G0292;;1;1316;626;241;64;79.0;41;5.0;58;5.0;;;;;;;;;14.0;;;;;;;;;;;;;;;;;2.0;;;;;;2671
Werkendam-G0870;;7;3769;1735;1301;216;233.0;177;;203;;2465.0;;;;18.0;103.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;9509
Wervershoof-G0459;;5;1168;433;663;125;99.0;84;;86;;20.0;;;;;;42.0;;;;;18.0;3.0;;;2.0;;;18.0;;1.0;;5.0;;;;;;;;;3463
West Maas en Waal-G0668;;4;3629;1266;1293;204;253.0;131;17.0;113;15.0;;;;;;;;;51.0;;;;;;;;;;;;;;;;;11.0;;;;;;7081
Wester-Koggenland-G0558;;7;1990;939;1207;398;193.0;214;;97;;17.0;;;;;;61.0;;;;;42.0;29.0;;;13.0;;;63.0;;3.0;;8.0;;;;;;;;;4910
Westerveld-G1701;;11;1880;3284;2284;647;;395;138.0;216;16.0;;;;;;;;;;;;;;;256.0;;279.0;;;;;;;;;;;;;;;5458
Westervoort-G0293;;4;1305;1615;776;375;420.0;210;114.0;140;12.0;;;;;;;;;69.0;;;;;;;;;;;;;;;;;4.0;;;;;;6770
Weststellingwerf-G0098;;17;2638;3420;1782;763;491.0;231;;325;;225.0;217.0;;;;;;;;;166.0;;;;;26.0;;;;;;;;;;;;;;;;9414
Westvoorne-G0614;;5;1148;1114;2131;204;197.0;185;48.0;254;46.0;;;;268.0;41.0;;;;;;;;;33.0;;;;;;1.0;;1.0;2.0;;;;7.0;1.0;0.0;0.0;0.0;5311
Wierden-G0189;;3;5997;1225;1268;268;179.0;184;1107.0;189;345.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6606
Wieringen-G0462;;1;381;817;698;93;109.0;97;;104;;36.0;;;;;;729.0;;;;;17.0;23.0;;;3.0;;;9.0;;2.0;;3.0;;;;;;;;;3380
Wieringermeer-G0463;;6;1537;1019;1133;172;169.0;114;;136;;187.0;;;;;;131.0;;;;;31.0;18.0;;;4.0;;;35.0;;1.0;;12.0;;;;;;;;;4780
Wijchen-G0296;;11;4539;3898;2233;618;851.0;471;69.0;248;13.0;;;;;;;;;105.0;;;;;;;;;;;;;;;;;16.0;;;;;;16390
Wijdemeren-G1696;;13;2777;1653;2991;623;320.0;570;;256;;250.0;;;;;;60.0;;;;;28.0;37.0;;;5.0;;;22.0;;4.0;;5.0;;;;;;;;;8199
Wijk bij Duurstede-G0352;;4;2153;1826;1900;909;367.0;354;231.0;171;284.0;;;;;;;;;;;;;;;;;;66.0;;;;;;;18.0;;;;;;;8763
Winschoten-G0052;;0;1240;3296;1063;451;351.0;255;327.0;104;;;;;;;;;257.0;;;;;;;;118.0;;;;;;;;;;;;;;;;7133
Winsum-G0053;;6;1958;2078;796;604;348.0;214;651.0;91;;;;;;;;;216.0;;;;;;;;14.0;;;;;;;;;;;;;;;;3334
Winterswijk-G0294;;8;3233;3544;3183;382;555.0;363;132.0;167;19.0;;;;;;;;;68.0;;;;;;;;;;;;;;;;;4.0;;;;;;10334
Wisch-G0295;;3;3065;1899;1245;299;318.0;171;122.0;201;5.0;;;;;;;;;63.0;;;;;;;;;;;;;;;;;9.0;;;;;;7584
Woensdrecht-G0873;;1;2083;1187;1402;199;314.0;272;;206;;33.0;;;;34.0;129.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;9933
Woerden-G0632;;11;6180;3118;3685;1322;780.0;891;1116.0;546;870.0;;;;;;;;;;;;;;;;;;118.0;;;;;;;39.0;;;;;;;16470
Wognum-G0466;;3;1279;464;638;145;83.0;150;;72;;19.0;;;;;;46.0;;;;;25.0;10.0;;;0.0;;;20.0;;4.0;;10.0;;;;;;;;;3009
Wormerland-G0880;;4;1212;1622;1178;830;465.0;294;;186;;112.0;;;;;;43.0;;;;;42.0;47.0;;;3.0;;;23.0;;17.0;;2.0;;;;;;;;;5624
Woudenberg-G0351;;2;1443;647;864;161;126.0;138;549.0;93;954.0;;;;;;;;;;;;;;;;;;38.0;;;;;;;9.0;;;;;;;3062
Woudrichem-G0874;;6;2498;849;710;127;153.0;124;;97;;1001.0;;;;20.0;34.0;;;;;;;;;;;;;;;;4.0;;;;;;;;;;5155
Wûnseradiel-G0710;;1;1943;1085;600;265;318.0;155;;120;;133.0;842.0;;;;;;;;;23.0;;;;;5.0;;;;;;;;;;;;;;;;3268
Wymbritseradiel-G0683;;6;2701;991;739;299;306.0;142;;91;;270.0;1545.0;;;;;;;;;295.0;;;;;4.0;;;;;;;;;;;;;;;;4431
