RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Cranendonck-G1706;;17;2952;1145;1061;117;297.0;205;;177;;28.0;;;;43.0;58.0;;;;;;;;;;;;;;;;6.0;;;;;;;;;;9259
Cromstrijen-G0611;;2;1225;1221;1151;205;188.0;264;142.0;213;451.0;;;;97.0;13.0;;;;;;;;;15.0;;;;;;3.0;;1.0;2.0;;;;1.0;0.0;0.0;0.0;0.0;4871
Cuijk-G1684;;7;2922;1716;1407;376;650.0;287;;217;;32.0;;;;53.0;118.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;10179
Culemborg-G0216;;7;1862;2231;1854;787;925.0;462;188.0;257;113.0;;;;;;;;;67.0;;;;;;;;;;;;;;;;;10.0;;;;;;9847
Dalfsen-G0148;;12;5731;1860;1330;285;258.0;224;1417.0;222;233.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8002
Dantumadeel-G0065;;7;3001;1764;445;293;220.0;114;;118;;1500.0;1479.0;;;;;;;;;113.0;;;;;6.0;;;;;;;;;;;;;;;;5669
De Bilt-G0310;;15;4257;3542;5259;1917;1060.0;1637;570.0;444;801.0;;;;;;;;;;;;;;;;;;126.0;;;;;;;70.0;;;;;;;12516
De Lier-G0552;;7;2275;376;921;104;57.0;80;140.0;109;8.0;;;;23.0;2.0;;;;;;;;;8.0;;;;;;0.0;;1.0;0.0;;;;0.0;0.0;0.0;0.0;2.0;3965
De Marne-G1663;;6;1400;1530;792;444;290.0;108;571.0;100;;;;;;;;;170.0;;;;;;;;17.0;;;;;;;;;;;;;;;;3033
De Ronde Venen-G0736;;13;4479;1763;3540;487;471.0;577;572.0;407;341.0;;;;;;;;;;;;;;;;;;76.0;;;;;;;22.0;;;;;;;12671
