RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Aagtekerke-G1000;0;0;0;11;49;100;8;0;205;0;0;58.0
Aalsmeer-G0358;0;0;1234;1697;1092;991;853;309;47;0;42;691.0
Aalten-G0197;0;0;1118;1045;2546;1498;389;15;17;0;22;690.0
Aardenburg-G0648;0;0;1144;284;160;56;150;7;17;0;0;235.0
Aarle-Rixtel-G0739;0;0;1231;42;5;15;14;2;0;118;0;192.0
Abbekerk-G0359;0;0;168;160;15;15;66;23;1;0;1;52.0
Abbenbroek-G0481;0;0;4;160;25;22;122;29;4;1;3;75.0
Abcoude-G0305;0;0;670;190;296;519;26;31;39;7;0;181.0
Achtkarspelen-G0059;0;0;28;2162;3483;1367;394;394;86;70;365;984.0
Achttienhoven-G1005;0;0;86;41;119;110;5;8;38;3;0;59.0
Adorp-G0001;0;0;6;235;316;65;98;1;0;69;0;84.0
Aduard-G0002;0;0;6;327;398;74;211;15;0;88;0;94.0
Akersloot-G0360;0;0;744;148;29;11;124;69;1;0;0;94.0
Alblasserdam-G0482;0;0;55;1352;454;1005;391;80;810;26;41;468.0
Alem, Maren en Kessel-G1007;0;0;608;10;2;4;0;0;2;5;1;94.0
Alkemade-G0483;0;0;2749;42;261;175;22;5;2;16;2;217.0
Alkmaar-G0361;0;0;6880;6594;1253;1140;2409;1737;25;0;389;2309.0
Almelo-G0141;0;0;5036;7609;2181;1565;2280;2512;109;0;71;2478.0
Almkerk-G0740;0;0;6;147;1316;489;106;0;13;6;0;259.0
Alphen aan den Rijn-G0484;0;0;2095;1571;2261;3168;563;105;395;41;24;915.0
Alphen en Riel-G0741;0;0;1484;17;4;2;2;0;0;1;7;103.0
Ambt Delden-G0142;0;0;1493;308;34;296;109;9;2;0;3;214.0
Amby-G0883;0;0;896;77;0;0;0;14;0;88;20;263.0
Ameide-G0485;0;0;5;360;444;32;83;2;50;0;1;129.0
Ameland-G0060;0;0;324;358;116;217;160;17;4;2;17;148.0
Amerongen-G0306;0;0;35;475;268;597;128;21;277;12;0;254.0
Amersfoort-G0307;0;0;6964;8068;3225;4565;2518;1630;381;689;0;4555.0
Ammerstol-G0486;0;0;4;370;10;10;69;138;20;0;1;82.0
Ammerzoden-G0198;0;0;990;70;183;181;12;0;36;0;1;170.0
Amstenrade-G0884;0;0;885;76;0;0;0;35;0;65;30;198.0
Amsterdam-G0363;0;0;79130;142110;41039;20673;47101;109283;536;0;4573;62307.0
Andel-G0742;0;0;5;47;202;309;2;0;27;3;0;102.0
Andijk-G0364;0;0;346;435;891;43;107;289;33;0;4;217.0
Angerlo-G0199;0;0;803;91;59;377;83;0;3;0;1;194.0
Ankeveen-G1014;0;0;174;36;35;107;11;32;3;0;1;46.0
Anloo-G0105;0;0;14;1432;121;87;1089;100;0;0;13;510.0
Anna Paulowna-G0366;0;0;1074;1096;306;170;328;324;4;0;14;372.0
Apeldoorn-G0200;0;0;5572;11877;5432;11786;5081;1259;894;0;262;6871.0
Appeltern-G0201;0;0;1438;40;3;138;1;0;3;0;8;205.0
Appingedam-G0003;0;0;96;1293;852;944;498;491;0;20;0;583.0
Arcen en Velden-G0885;0;0;1913;38;0;0;0;0;0;19;25;265.0
Arkel-G0487;0;0;23;375;84;26;200;11;19;2;1;115.0
Arnemuiden-G0649;0;0;15;258;275;328;19;3;399;6;0;193.0
Arnhem-G0202;0;0;16793;17242;4808;5497;3838;2367;243;0;2008;7127.0
Asperen-G0488;0;0;3;209;266;153;95;6;188;0;2;105.0
Assen-G0106;0;0;392;5232;1970;1218;1595;524;0;0;422;2085.0
Assendelft-G0367;0;0;1373;944;156;33;144;679;31;0;7;262.0
Asten-G0743;0;0;2920;27;5;40;10;11;0;370;0;403.0
Avenhorn-G0368;0;0;364;234;10;10;118;24;0;0;0;55.0
Avereest-G0143;0;0;544;947;1258;2088;397;35;27;0;21;1011.0
Axel-G0650;0;0;599;668;759;762;168;7;217;335;0;433.0
Baarderadeel-G0061;0;0;117;1323;426;322;484;28;6;0;37;369.0
Baarland-G0651;0;0;110;59;89;131;20;21;38;7;0;59.0
Baarle-Nassau-G0744;0;0;1614;32;17;19;3;6;0;4;7;148.0
Baarn-G0308;0;0;1403;2417;2190;761;1207;240;104;88;0;1597.0
Baexem-G0886;0;0;562;1;0;0;0;0;0;1;14;85.0
Baflo-G0004;0;0;4;463;722;78;227;11;0;33;0;148.0
Bakel en Milheeze-G0745;0;0;1839;21;6;11;3;1;0;45;1;187.0
Barendrecht-G0489;0;0;38;761;1422;679;285;50;224;13;32;385.0
Barneveld-G0203;0;0;621;723;2050;3553;188;73;1510;0;21;1492.0
Barradeel-G0062;0;0;36;1121;1301;1315;228;66;3;0;96;416.0
Barsingerhorn-G0369;0;0;42;347;55;34;334;207;1;0;2;170.0
Barwoutswaarder-G1017;0;0;77;37;86;152;0;1;47;2;0;39.0
Batenburg-G0204;0;0;221;7;3;46;1;0;0;0;0;34.0
Bathmen-G0144;0;0;36;336;48;334;408;8;8;0;0;150.0
Bedum-G0005;0;0;157;843;1672;157;424;14;0;398;0;268.0
Beegden-G0887;0;0;522;3;0;0;0;0;0;1;3;28.0
Beek-G0888;0;0;2936;148;0;0;0;28;0;161;29;598.0
Beek-G1247;0;0;1796;50;4;5;6;2;0;9;3;184.0
Beek en Donk-G0746;0;0;1703;26;5;4;4;4;0;44;2;215.0
Beemster-G0370;0;0;885;1046;192;77;730;225;6;0;6;343.0
Beers-G0747;0;0;996;8;0;0;0;0;0;7;0;65.0
Beerta-G0006;0;0;11;525;44;111;296;901;0;15;0;371.0
Beesd-G0205;0;0;643;237;53;418;33;12;59;0;4;144.0
Beesel-G0889;0;0;2340;53;0;0;0;18;0;22;174;352.0
Beets-G0371;0;0;3;144;7;13;95;17;0;0;0;35.0
Beilen-G0107;0;0;30;1824;1168;920;554;65;0;0;96;656.0
Belfeld-G0890;0;0;834;46;0;0;0;3;0;11;251;144.0
Bellingwolde-G1019;0;0;13;1786;208;307;400;556;0;23;0;564.0
Bemelen-G0891;0;0;144;1;0;0;0;1;0;0;1;10.0
Bemmel-G0206;0;0;3454;113;42;300;28;4;6;0;10;544.0
Bennebroek-G0372;0;0;577;158;296;125;232;18;3;0;27;248.0
Benschop-G0309;0;0;329;89;252;207;33;7;142;4;0;110.0
Benthuizen-G0490;0;0;11;75;60;110;33;0;292;2;0;57.0
Berg en Terblijt-G0892;0;0;999;25;0;0;0;6;0;17;2;91.0
Bergambacht-G0491;0;0;11;638;307;148;256;72;464;3;4;247.0
Bergen-G0373;0;0;1657;1164;274;135;785;194;4;0;34;540.0
Bergen-G0893;0;0;3754;45;0;0;0;0;0;35;27;423.0
Bergen op Zoom-G0748;0;0;9746;1747;512;295;649;120;16;236;54;2164.0
Bergeyk-G0749;0;0;1654;34;10;46;4;8;0;22;2;291.0
Bergh-G0207;0;0;5013;342;42;132;51;27;12;0;7;816.0
Bergharen-G0208;0;0;754;13;4;123;3;0;0;0;17;58.0
Berghem-G0750;0;0;1230;71;5;7;8;0;0;9;0;208.0
Bergschenhoek-G0492;0;0;396;210;174;595;57;23;99;8;30;179.0
Berkel en Rodenrijs-G0493;0;0;1264;78;343;635;36;8;29;10;236;151.0
Berkel-Enschot-G0751;0;0;1371;30;5;3;3;2;0;11;1;116.0
Berkenwoude-G0494;0;0;6;86;61;7;164;0;118;0;0;88.0
Berkhout-G0374;0;0;889;526;23;26;163;45;4;0;4;132.0
Berlicum-G0752;0;0;1841;53;1;18;9;3;0;40;6;293.0
Best-G0753;0;0;3009;180;12;25;9;15;3;47;5;378.0
Beuningen-G0209;0;0;1548;55;8;95;5;2;3;0;55;290.0
Beusichem-G0210;0;0;52;380;44;137;203;19;54;0;1;115.0
Beverwijk-G0375;0;0;5905;3155;957;637;779;1767;17;0;87;1560.0
Bierum-G0008;0;0;9;363;956;700;212;43;0;16;0;264.0
Biervliet-G0652;0;0;332;375;35;157;137;21;40;0;0;150.0
Biggekerke-G1022;0;0;3;31;171;181;16;1;65;3;0;54.0
Bingelrade-G0894;0;0;321;2;0;0;0;0;0;1;0;14.0
Bladel en Netersel-G0754;0;0;1449;11;5;44;2;5;0;22;1;115.0
Blankenham-G0145;0;0;19;70;8;77;69;2;1;0;1;38.0
Blaricum-G0376;0;0;891;487;175;138;498;154;8;0;21;542.0
Bleiswijk-G0495;0;0;410;175;232;300;117;6;120;13;4;116.0
Bleskensgraaf en Hofwegen-G0496;0;0;0;91;200;22;41;0;246;2;1;122.0
Bloemendaal-G0377;0;0;2358;1962;1424;934;2693;196;10;0;179;2601.0
Blokker-G0378;0;0;911;172;13;25;160;14;2;0;3;114.0
Blokzijl-G0146;0;0;18;285;156;138;57;4;9;0;11;102.0
Bocholtz-G0895;0;0;1314;33;0;0;0;53;0;111;4;286.0
Bodegraven-G0497;0;0;770;519;1166;580;184;17;264;10;33;414.0
Boekel-G0755;0;0;2026;23;0;9;2;10;0;19;0;288.0
Bolsward-G0064;0;0;1350;918;603;551;174;77;6;0;20;427.0
Borculo-G0211;0;0;401;1241;364;344;897;30;8;0;6;449.0
Borger-G0108;0;0;73;2427;725;771;926;216;0;0;33;666.0
Borgharen-G0896;0;0;471;10;0;0;0;7;0;15;3;120.0
Born-G0897;0;0;1623;40;0;0;0;6;0;33;6;199.0
Borne-G0147;0;0;3526;1168;255;625;183;273;19;0;5;461.0
Borsele-G0654;0;0;129;102;75;200;50;1;215;18;0;98.0
Boskoop-G0499;0;0;960;711;1075;669;578;49;216;34;4;468.0
Bovenkarspel-G0379;0;0;1194;203;18;12;84;21;0;0;8;137.0
Boxmeer-G0756;0;0;3071;77;7;59;9;0;0;79;39;414.0
Boxtel-G0757;0;0;5156;294;38;59;52;21;4;123;15;1104.0
Brakel-G0212;0;0;8;238;86;202;12;0;337;0;22;248.0
Brandwijk-G0500;0;0;1;59;206;22;61;1;109;1;4;80.0
Breda-G0758;0;0;28054;7250;1006;1385;2305;619;0;282;513;6647.0
Breskens-G0655;0;0;140;710;72;341;330;38;15;0;0;298.0
Breukelen-G0311;0;0;641;303;531;707;96;52;179;47;0;260.0
Brielle-G0501;0;0;161;793;205;398;359;77;14;1;4;264.0
Broek in Waterland-G0380;0;0;40;303;85;208;213;40;0;0;6;129.0
Broekhuizen-G0898;0;0;499;1;0;0;0;0;0;2;3;27.0
Brouwershaven-G0656;0;0;1;317;163;32;104;0;22;42;0;91.0
Bruinisse-G0657;0;0;7;315;152;233;188;0;276;49;0;255.0
Brummen-G0213;0;0;483;2466;446;1071;1275;140;17;0;47;879.0
Brunssum-G0899;0;0;5514;1024;0;0;0;613;0;822;85;1072.0
Budel-G0759;0;0;2324;70;8;20;8;6;0;93;4;451.0
Bunde-G0900;0;0;764;25;0;0;0;7;0;11;6;154.0
Bunnik-G0312;0;0;633;166;173;212;26;15;44;2;0;119.0
Bunschoten-G0313;0;0;7;108;1884;81;9;5;69;957;0;283.0
Buren-G0214;0;0;55;421;75;280;119;8;65;0;7;144.0
Burgh-G1035;0;0;1;145;51;85;76;0;12;45;0;44.0
Bussum-G0381;0;0;4854;3970;2334;1536;3122;968;178;0;148;2790.0
Buurmalsen-G0215;0;0;49;347;121;446;78;3;118;0;3;149.0
Cadier en Keer-G0901;0;0;504;12;0;0;0;0;0;3;1;118.0
Cadzand-G0658;0;0;12;239;44;102;113;7;5;0;0;110.0
Callantsoog-G0382;0;0;84;246;46;4;116;59;0;0;0;86.0
Capelle aan den IJssel-G0502;0;0;47;1307;428;716;266;52;763;6;24;630.0
Castricum-G0383;0;0;2364;875;230;55;238;170;2;0;38;372.0
Chaam-G0760;0;0;1015;20;20;54;14;2;0;2;4;113.0
Clinge-G0659;0;0;1172;122;5;28;14;3;2;114;0;261.0
Coevorden-G0109;0;0;970;1276;564;566;478;26;0;0;7;510.0
Cothen-G0314;0;0;437;32;10;69;1;1;21;1;0;27.0
Cuijk en Sint Agatha-G0761;0;0;2298;89;4;24;41;0;0;52;3;353.0
Culemborg-G0216;0;0;2354;1813;287;288;778;308;144;0;3;546.0
Dalen-G0110;0;0;226;773;141;186;718;8;0;0;1;353.0
Dalfsen-G0148;0;0;1333;369;327;1892;153;10;25;0;251;440.0
Dantumadeel-G0065;0;0;81;1538;2579;1697;413;201;536;35;238;1200.0
De Bilt-G0310;0;0;1580;2411;2116;1175;1501;197;221;115;0;1594.0
De Lier-G0552;0;0;259;113;700;635;126;1;39;2;18;133.0
De Rijp-G0440;0;0;350;250;7;8;81;87;6;0;4;61.0
De Werken en Sleeuwijk-G1222;0;0;10;364;792;451;35;0;84;5;1;566.0
De Wijk-G0135;0;0;11;636;444;266;559;25;0;0;14;270.0
Deil-G0217;0;0;228;375;56;368;118;2;62;0;0;178.0
Delft-G0503;0;0;9613;9766;3873;2814;2139;2293;1250;440;213;4062.0
Delfzijl-G0010;0;0;157;1794;927;770;908;917;0;50;0;1195.0
Den Bommel-G1024;0;0;255;153;210;173;50;3;124;3;4;129.0
Den Dungen-G0768;0;0;1037;12;3;1;3;1;0;17;2;136.0
Den Ham-G0159;0;0;267;303;1141;1992;75;116;5;0;106;633.0
Den Helder-G0400;0;0;2309;8009;2591;1025;1875;493;110;0;178;2430.0
Denekamp-G0149;0;0;2952;186;44;251;19;38;5;0;6;348.0
Deurne-G0762;0;0;5785;62;36;136;28;8;0;228;14;1015.0
Deventer-G0150;0;0;4701;9141;1381;1327;3685;3670;85;0;0;3582.0
Didam-G0218;0;0;3265;75;15;70;19;9;0;0;5;475.0
Diemen-G0384;0;0;699;544;309;475;73;209;6;0;30;280.0
Diepenheim-G0151;0;0;97;561;53;125;217;17;3;0;7;160.0
Diepenveen-G0152;0;0;1304;1055;218;697;762;66;12;0;0;470.0
Diessen-G0763;0;0;881;5;2;10;1;1;0;27;0;59.0
Diever-G0111;0;0;41;626;384;65;426;6;0;0;14;157.0
Dinteloord en Prinsenland-G0764;0;0;839;243;292;433;85;16;186;14;2;312.0
Dinther-G1044;0;0;1090;9;5;18;0;1;1;18;0;102.0
Dinxperlo-G0219;0;0;374;296;378;839;146;16;6;0;1;287.0
Dirksland-G0504;0;0;20;374;569;60;222;12;396;4;2;237.0
Dodewaard-G0220;0;0;27;430;181;307;80;0;169;0;10;156.0
Doesburg-G0221;0;0;1285;895;209;408;187;60;10;0;11;209.0
Doetinchem-G0222;0;0;3378;3162;715;1373;1025;169;113;0;32;1401.0
Dokkum-G0066;0;0;142;876;1302;421;212;32;23;13;59;272.0
Domburg-G0660;0;0;11;285;96;186;81;2;126;3;0;124.0
Dongen-G0766;0;0;4757;82;41;126;28;0;5;94;28;694.0
Doniawerstal-G0067;0;0;764;680;506;897;168;22;11;28;28;335.0
Doorn-G0315;0;0;176;955;644;760;387;49;154;29;0;641.0
Doornspijk-G0223;0;0;27;250;663;454;39;9;1227;0;0;393.0
Dordrecht-G0505;0;0;3968;14133;6152;3731;3676;2263;1071;224;428;6647.0
Dreischor-G1047;0;0;5;305;23;54;185;0;14;42;0;71.0
Dreumel-G0224;0;0;1082;67;1;34;17;0;0;0;14;197.0
Driebergen-Rijsenburg-G0316;0;0;903;1449;1537;1048;547;99;384;87;0;966.0
Driewegen-G0661;0;0;48;80;63;118;33;0;10;14;0;36.0
Drunen-G0767;0;0;2464;44;6;28;2;0;10;18;1;302.0
Druten-G0225;0;0;2982;104;14;130;19;0;3;0;88;405.0
Dubbeldam-G0507;0;0;48;732;644;721;483;28;145;14;17;406.0
Duiven-G0226;0;0;1986;38;28;51;5;1;0;0;4;208.0
Duivendijke-G1050;0;0;4;64;115;27;29;0;8;5;0;32.0
Dussen-G0769;0;0;1087;94;280;241;46;0;52;15;3;329.0
Dwingeloo-G0112;0;0;6;839;304;68;497;10;0;0;4;189.0
Echt-G0902;0;0;5183;104;0;0;0;0;0;94;25;754.0
Echteld-G0227;0;0;31;844;205;329;139;6;232;0;12;254.0
Edam-Volendam-G0385;0;0;3587;651;165;236;475;124;2;0;14;354.0
Ede-G0228;0;0;1219;3777;5936;4877;2178;165;3120;0;78;2670.0
Eelde-G0113;0;0;32;1202;115;135;571;46;0;0;19;376.0
Eemnes-G0317;0;0;522;87;262;76;39;43;46;6;0;146.0
Eenrum-G0011;0;0;34;738;228;33;318;25;0;134;0;155.0
Eersel-G0770;0;0;1666;18;9;23;1;2;0;41;0;160.0
Eethen-G0771;0;0;38;142;585;275;101;0;113;7;2;288.0
Egmond aan Zee-G0386;0;0;233;870;135;63;200;146;0;0;4;312.0
Egmond-Binnen-G0387;0;0;1145;97;5;14;66;7;1;0;29;93.0
Eibergen-G0229;0;0;2467;1304;409;719;680;8;3;0;7;574.0
Eijgelshoven-G0904;0;0;1446;156;0;0;0;91;0;126;26;320.0
Eijsden-G0905;0;0;1856;50;0;0;0;13;0;64;42;380.0
Eindhoven-G0772;0;0;41714;14067;2354;1725;2084;1028;107;1251;280;6604.0
Elburg-G0230;0;0;18;97;266;562;21;7;436;0;0;223.0
Elkerzee-G1053;0;0;2;54;90;59;54;0;18;18;0;44.0
Ellemeet-G1054;0;0;1;107;29;43;49;0;8;14;0;42.0
Ellewoutsdijk-G0663;0;0;7;93;24;82;20;3;9;23;0;50.0
Elsloo-G0903;0;0;1319;28;0;0;0;15;0;21;2;289.0
Elst-G0231;0;0;3149;856;261;698;144;13;47;0;24;515.0
Emmen-G0114;0;0;4041;6502;3849;3316;3023;2129;0;0;140;4879.0
Empel en Meerwijk-G0773;0;0;350;12;2;1;0;0;0;8;1;79.0
Engelen-G0774;0;0;263;27;0;16;0;0;0;32;0;101.0
Enkhuizen-G0388;0;0;839;1921;1223;705;491;222;132;0;31;701.0
Enschede-G0153;0;0;12201;15815;4496;4503;6576;8160;238;0;730;8702.0
Epe-G0232;0;0;1014;3305;1173;1692;1216;133;462;0;0;1317.0
Ermelo-G0233;0;0;173;810;2425;3936;408;56;1496;0;0;1539.0
Erp-G0775;0;0;1630;8;1;0;4;1;0;13;3;127.0
Esch-G0776;0;0;378;26;1;5;0;0;0;3;0;30.0
Est en Opijnen-G0234;0;0;3;204;44;140;90;2;64;0;2;75.0
Etten-Leur-G0777;0;0;4628;292;35;156;36;17;0;166;15;799.0
Everdingen-G0508;0;0;83;72;102;51;76;2;159;1;0;76.0
Ewijk-G0235;0;0;1342;56;1;48;3;0;3;0;23;224.0
Ezinge-G0012;0;0;2;361;403;41;198;5;0;13;0;119.0
Ferwerderadeel-G0068;0;0;5;870;2239;950;299;24;3;23;211;436.0
Fijnaart en Heijningen-G0778;0;0;983;74;279;903;82;0;41;24;5;280.0
Finsterwolde-G0013;0;0;9;429;46;86;200;902;0;7;0;360.0
Franeker-G0069;0;0;576;1348;1138;538;365;258;11;0;95;1086.0
Franekeradeel-G0070;0;0;108;996;572;625;233;61;3;0;42;343.0
Gaasterland-G0071;0;0;744;354;654;1248;80;22;137;13;25;382.0
Gameren-G1058;0;0;7;196;287;22;30;0;389;0;5;226.0
Gasselte-G0115;0;0;24;714;270;269;355;229;0;0;4;330.0
Geertruidenberg-G0779;0;0;1203;129;40;84;83;0;9;19;4;298.0
Geervliet-G0509;0;0;7;257;84;78;125;27;35;0;0;69.0
Geffen-G0780;0;0;881;20;1;2;2;2;0;33;0;163.0
Geldermalsen-G0236;0;0;73;1128;205;655;362;34;305;0;18;417.0
Geldrop-G0781;0;0;4297;736;112;121;95;58;7;191;20;952.0
Geleen-G0906;0;0;6396;1066;0;0;0;312;0;595;83;1569.0
Gemert-G0782;0;0;3729;62;10;25;12;55;0;69;1;614.0
Gendringen-G0237;0;0;4528;397;241;458;44;7;6;0;4;477.0
Gendt-G0238;0;0;1788;32;13;87;1;2;10;0;2;146.0
Genemuiden-G0154;0;0;8;326;459;350;34;11;549;0;16;470.0
Gennep-G0907;0;0;1590;161;0;0;0;0;0;56;36;371.0
Geulle-G0908;0;0;721;21;0;0;0;5;0;65;2;232.0
Giessen-G0783;0;0;1;34;89;130;5;0;8;0;0;65.0
Giessendam-G1063;0;0;4;377;553;259;226;47;585;0;61;543.0
Giessen-Nieuwkerk-G1062;0;0;2;128;275;64;84;0;67;0;0;81.0
Gieten-G0116;0;0;10;1012;114;247;539;39;0;0;4;278.0
Giethoorn-G0155;0;0;26;637;94;241;125;169;4;0;5;213.0
Gilze en Rijen-G0784;0;0;4696;87;25;32;30;16;3;36;11;563.0
Goedereede-G0511;0;0;7;174;167;36;80;10;108;0;0;189.0
Goes-G0664;0;0;1089;1928;906;1536;476;43;256;595;0;774.0
Goirle-G0785;0;0;2832;98;19;15;25;11;1;119;14;353.0
Goor-G0156;0;0;747;1348;75;192;305;220;5;0;2;298.0
Gorinchem-G0512;0;0;867;3681;1457;465;1211;327;175;53;35;1077.0
Gorssel-G0239;0;0;314;1489;750;1625;921;180;17;0;28;841.0
Gouda-G0513;0;0;4361;6820;3070;1339;1792;1226;766;118;206;2360.0
Gouderak-G0514;0;0;26;332;250;38;163;6;219;3;5;141.0
Goudriaan-G0515;0;0;0;40;173;9;69;2;46;0;1;33.0
Goudswaard-G0516;0;0;3;113;122;45;83;5;308;1;2;133.0
Graauw en Langendam-G0665;0;0;707;40;9;23;15;1;3;76;0;174.0
Graft-G0389;0;0;183;223;19;22;71;97;0;0;0;56.0
Gramsbergen-G0157;0;0;87;637;750;796;136;15;6;0;38;260.0
Grathem-G0909;0;0;819;8;0;0;0;0;0;4;3;76.0
Grave-G0786;0;0;1736;67;16;40;16;0;0;32;4;465.0
Grevenbicht-G0910;0;0;883;16;0;0;0;11;0;99;7;192.0
Grijpskerk-G0016;0;0;10;279;1171;167;259;12;0;98;0;135.0
Grijpskerke-G1067;0;0;0;17;278;114;2;0;52;4;0;46.0
Groede-G0667;0;0;211;478;57;198;367;11;12;0;0;177.0
Groenlo-G0240;0;0;2059;290;16;55;101;1;2;0;2;248.0
Groesbeek-G0241;0;0;4022;333;61;213;60;0;27;0;157;1121.0
Groningen-G0014;0;0;6408;26015;8898;7842;7992;6930;0;2833;2111;11356.0
Gronsveld-G0911;0;0;964;16;0;0;0;3;0;19;7;154.0
Groot-Ammers-G0520;0;0;7;133;275;21;186;2;192;0;2;147.0
Grootebroek-G0391;0;0;1948;165;9;2;35;53;0;0;6;155.0
Grootegast-G0015;0;0;3;713;2297;468;199;72;0;168;0;497.0
Grubbenvorst-G0912;0;0;1464;15;0;0;0;0;0;9;10;142.0
Gulpen-G0913;0;0;1448;37;0;0;0;26;0;43;9;265.0
Haaften-G0242;0;0;6;594;248;328;50;1;197;0;8;220.0
Haaksbergen-G0158;0;0;3864;927;88;132;425;45;7;0;11;447.0
Haamstede-G1068;0;0;8;201;177;230;150;0;57;71;0;133.0
Haaren-G0788;0;0;1180;19;2;1;0;2;0;21;0;128.0
Haarlem-G0392;0;0;23147;28880;8640;4213;8842;8412;185;0;1353;11935.0
Haarlemmerliede en Spaarnwoude-G0393;0;0;996;235;191;76;198;113;10;0;10;191.0
Haarlemmermeer-G0394;0;0;4298;3500;3957;3048;1209;1147;171;0;179;2145.0
Haarzuilens-G1069;0;0;233;7;12;9;0;2;5;0;0;8.0
Haastrecht-G0521;0;0;481;280;175;79;133;11;69;5;7;157.0
Haelen-G0914;0;0;1299;28;0;0;0;0;0;14;16;176.0
Hagestein-G0522;0;0;154;24;35;85;46;6;94;0;1;60.0
Halsteren-G0789;0;0;2871;169;91;84;56;15;12;109;13;604.0
Haps-G0790;0;0;800;4;1;1;0;0;0;43;2;81.0
Hardenberg-G0160;0;0;997;1959;2777;1992;560;60;16;0;837;1096.0
Harderwijk-G0243;0;0;219;861;1350;2309;207;37;572;0;0;891.0
Hardinxveld-G1070;0;0;19;1246;601;157;310;113;966;2;50;997.0
Haren-G0017;0;0;139;1570;1369;1109;1534;222;0;87;0;944.0
Harenkarspel-G0395;0;0;1191;286;98;1;115;57;1;0;3;132.0
Harlingen-G0072;0;0;765;2014;690;941;475;437;7;0;153;815.0
Harmelen-G0318;0;0;593;91;265;238;7;5;42;4;0;124.0
Haskerland-G0073;0;0;586;1625;688;1422;449;133;19;123;53;970.0
Hasselt-G0161;0;0;57;226;341;329;41;8;53;0;86;201.0
Hattem-G0244;0;0;54;1102;597;739;248;108;47;0;0;366.0
Havelte-G0117;0;0;19;1192;137;164;570;12;0;0;6;335.0
Hazerswoude-G0524;0;0;998;85;692;529;43;12;134;10;4;238.0
Hedel-G0245;0;0;352;86;104;158;3;0;154;0;3;158.0
Heel en Panheel-G0915;0;0;1247;8;0;0;0;0;0;10;30;166.0
Heemskerk-G0396;0;0;2063;249;31;109;126;88;1;0;1;170.0
Heemstede-G0397;0;0;3665;1914;1827;1080;2767;350;16;0;460;1900.0
Heenvliet-G0525;0;0;6;206;62;39;203;122;9;0;0;113.0
Heer-G0916;0;0;2133;520;0;0;0;46;0;102;32;667.0
Heerde-G0246;0;0;75;1735;1161;1973;476;19;164;0;0;642.0
Heerenveen-G0074;0;0;420;4300;1444;1155;1885;1666;11;856;215;2077.0
Heerewaarden-G0247;0;0;18;381;9;25;89;0;2;0;3;72.0
Heerhugowaard-G0398;0;0;1894;413;183;46;150;46;0;0;10;210.0
Heerjansdam-G0526;0;0;2;196;167;228;56;28;48;0;3;98.0
Heerlen-G0917;0;0;18116;2904;0;0;0;1606;0;2693;390;4316.0
Heesch-G0791;0;0;1584;53;8;14;4;4;0;13;1;277.0
Heeswijk-G1072;0;0;910;6;1;1;0;1;0;3;2;145.0
Heeze-G0793;0;0;998;42;6;74;11;4;0;721;4;248.0
Hei- en Boeicop-G0527;0;0;1;22;137;20;31;1;171;1;2;42.0
Heiloo-G0399;0;0;2167;1370;239;204;686;242;7;0;41;692.0
Heinenoord-G0528;0;0;10;249;293;216;186;8;127;1;2;170.0
Heinkenszand-G0672;0;0;532;60;128;278;39;0;47;12;0;103.0
Heino-G0162;0;0;850;226;77;489;48;7;1;0;36;134.0
Hekelingen-G1074;0;0;2;265;43;44;131;13;36;1;1;88.0
Hekendorp-G1075;0;0;116;30;67;70;40;1;42;1;0;45.0
Helden-G0918;0;0;3627;11;0;0;0;4;0;15;26;479.0
Hellendoorn-G0163;0;0;1991;1384;1779;3250;266;98;80;0;132;844.0
Hellevoetsluis-G0530;0;0;36;251;52;70;86;11;8;4;3;110.0
Helmond-G0794;0;0;11307;2383;115;110;646;280;0;581;48;2690.0
Helvoirt-G0795;0;0;1124;27;2;32;1;8;1;25;5;194.0
Hemelumer Oldeferd-G0075;0;0;103;445;563;1427;60;4;34;9;39;295.0
Hemmen-G1076;0;0;3;13;17;51;4;1;33;0;0;7.0
Hendrik-Ido-Ambacht-G0531;0;0;13;728;670;478;177;17;691;1;12;302.0
Hengelo-G0248;0;0;1010;449;566;602;211;12;31;0;3;228.0
Hengelo-G0164;0;0;9099;8547;1470;1883;2304;1924;59;0;89;3033.0
Hennaarderadeel-G0076;0;0;128;569;539;1060;167;9;6;9;46;256.0
Hensbroek-G0401;0;0;262;114;4;6;68;34;2;0;4;59.0
Herkingen-G1078;0;0;4;35;159;29;6;3;222;0;2;128.0
Herten-G0919;0;0;796;5;0;0;0;0;0;12;9;110.0
Herwen en Aerdt-G0249;0;0;2039;265;98;188;40;2;5;0;5;458.0
Herwijnen-G0250;0;0;4;294;244;232;86;2;78;0;1;118.0
Het Bildt-G0063;0;0;36;1566;1629;755;477;367;2;0;104;572.0
Heteren-G0251;0;0;1184;126;219;499;14;1;180;0;5;186.0
Heukelum-G0533;0;0;6;415;169;144;150;5;23;0;5;132.0
Heumen-G0252;0;0;1219;38;17;29;7;0;2;0;42;130.0
Heusden-G0797;0;0;959;140;86;245;49;0;30;18;7;194.0
Heythuysen-G0920;0;0;1374;6;0;0;0;0;0;6;13;174.0
