RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Medemblik-G0420;0;0;951;424;251;213;128;168;19;0;8;239.0
Meeden-G0026;0;0;3;469;270;51;142;73;0;27;0;157.0
Meerkerk-G0557;0;0;6;288;384;59;220;9;83;6;1;143.0
Meerlo-G0937;0;0;1324;6;0;0;0;0;0;5;4;106.0
Meerssen-G0938;0;0;2911;99;0;0;0;40;0;112;54;443.0
Megen, Haren en Macharen-G0813;0;0;954;21;5;0;1;0;0;5;1;147.0
Meijel-G0941;0;0;1308;4;0;0;0;0;0;1;6;132.0
Melick en Herkenbosch-G0939;0;0;1119;19;0;0;0;0;0;14;7;166.0
Meliskerke-G1112;0;0;0;2;110;22;3;2;170;0;0;79.0
Melissant-G1113;0;0;34;211;228;142;50;1;325;0;2;171.0
Menaldumadeel-G0083;0;0;282;2555;1384;876;598;179;3;72;103;593.0
Meppel-G0119;0;0;245;3021;1475;2030;963;195;0;0;42;1124.0
Merkelbeek-G0940;0;0;724;3;0;0;0;7;0;7;0;108.0
Mheer-G0942;0;0;465;4;0;0;0;2;0;6;0;77.0
Middelburg-G0687;0;0;864;4096;2281;1941;1084;216;764;249;0;1544.0
Middelharnis-G0559;0;0;99;632;675;129;336;15;644;8;7;483.0
Middelie-G0421;0;0;3;190;8;3;95;14;0;0;0;27.0
Middelstum-G0027;0;0;4;341;729;143;126;37;0;117;0;121.0
Midwolda-G0028;0;0;4;659;716;770;226;144;0;8;0;248.0
Midwoud-G0422;0;0;38;339;4;9;211;53;0;0;1;56.0
Mierlo-G0814;0;0;2689;123;8;18;27;17;0;125;4;504.0
Mijdrecht-G0336;0;0;1018;275;520;506;48;17;84;14;0;224.0
Mijnsheerenland-G0564;0;0;5;176;348;210;152;7;96;1;2;137.0
Mill en Sint Hubert-G0815;0;0;2699;49;2;12;7;0;0;58;4;338.0
Millingen aan de Rijn-G0265;0;0;1446;90;3;6;4;2;5;0;28;422.0
Moergestel-G0816;0;0;1312;38;5;4;2;5;0;100;1;90.0
Moerkapelle-G0560;0;0;1;112;178;60;35;2;106;1;2;67.0
Molenaarsgraaf-G0561;0;0;0;31;109;25;27;1;87;1;3;62.0
Monnickendam-G0423;0;0;352;233;185;442;153;91;1;0;7;178.0
Monster-G0562;0;0;3017;578;869;673;128;17;665;168;83;477.0
Montfoort-G0335;0;0;795;58;90;128;3;7;40;0;0;100.0
Montfort-G0943;0;0;808;7;0;0;0;0;0;7;7;72.0
Mook en Middelaar-G0944;0;0;943;29;0;0;0;0;0;10;16;152.0
Moordrecht-G0563;0;0;161;502;326;74;236;16;240;2;6;193.0
Muiden-G0424;0;0;396;393;270;505;78;52;7;0;9;192.0
Munstergeleen-G0945;0;0;696;38;0;0;0;4;0;7;2;123.0
Muntendam-G0029;0;0;36;1147;140;203;166;234;0;11;0;285.0
Naaldwijk-G0565;0;0;2565;1156;1737;1343;684;21;138;96;16;587.0
Naarden-G0425;0;0;1148;1524;991;468;1372;155;104;0;38;1100.0
Nederhemert-G1115;0;0;6;89;84;101;15;0;236;0;2;113.0
Nederhorst den Berg-G0426;0;0;399;122;248;320;13;95;5;0;8;138.0
Nederweert-G0946;0;0;3489;16;0;0;0;0;0;4;90;446.0
Neede-G0266;0;0;712;1782;363;279;587;31;8;0;29;349.0
Neer-G0947;0;0;1117;3;0;0;0;0;0;2;5;103.0
Nibbixwoud-G0427;0;0;518;134;6;11;138;13;0;0;0;46.0
Nieuw- en Sint Joosland-G1117;0;0;2;182;114;254;53;1;92;12;0;85.0
Nieuw-Beijerland-G0566;0;0;10;317;146;35;63;3;283;0;0;172.0
Nieuwe Niedorp-G0428;0;0;231;439;26;4;192;117;0;0;3;131.0
Nieuwe Pekela-G0030;0;0;209;845;585;523;210;360;0;14;0;454.0
Nieuwe Tonge-G1119;0;0;12;370;285;26;60;3;358;1;2;186.0
Nieuwenhagen-G0948;0;0;1957;152;0;0;0;207;0;84;22;369.0
Nieuwenhoorn-G1121;0;0;11;527;41;44;290;31;11;2;0;129.0
Nieuwer-Amstel-G1249;0;0;3256;2343;2090;1862;1206;391;33;0;107;1295.0
Nieuwerkerk-G1122;0;0;7;235;247;100;120;0;205;54;0;
Nieuwerkerk aan den IJssel-G0567;0;0;165;655;254;480;231;24;284;1;1;323.0
Nieuweschans-G0031;0;0;7;387;59;59;127;372;0;4;0;189.0
Nieuw-Ginneken-G0817;0;0;2406;104;17;23;30;10;0;11;5;257.0
Nieuw-Helvoet-G1118;0;0;16;728;99;85;324;23;10;0;6;194.0
Nieuwkoop-G0569;0;0;952;124;127;321;149;11;68;19;1;180.0
Nieuwland-G0570;0;0;2;78;138;17;48;4;54;1;2;53.0
Nieuw-Lekkerland-G0571;0;0;4;521;450;231;129;44;675;3;17;286.0
Nieuwleusen-G0170;0;0;20;382;318;1020;181;11;139;0;55;300.0
Nieuwolda-G0032;0;0;8;440;169;193;162;50;0;2;0;141.0
Nieuwpoort-G0572;0;0;1;73;137;12;83;5;111;0;1;61.0
Nieuwstadt-G0949;0;0;661;9;0;0;0;7;0;9;0;71.0
Nieuwveen-G0573;0;0;414;88;182;173;59;9;24;15;5;175.0
Nieuwvliet-G0690;0;0;7;82;14;37;137;3;3;0;0;31.0
Nieuw-Vossemeer-G0818;0;0;707;13;16;25;24;1;0;15;0;98.0
Nigtevecht-G0337;0;0;36;94;104;164;4;1;0;12;0;41.0
Nijeveen-G0121;0;0;6;145;209;297;181;3;0;0;1;73.0
Nijkerk-G0267;0;0;471;953;1581;2405;134;27;549;0;0;648.0
Nijmegen-G0268;0;0;31651;8885;1340;2433;2203;1883;117;0;2758;8285.0
Nisse-G0691;0;0;75;40;32;137;12;0;64;6;0;52.0
Nistelrode-G0819;0;0;1513;28;2;4;3;0;0;15;4;186.0
Noorbeek-G0950;0;0;389;1;0;0;0;1;0;17;10;38.0
Noordbroek-G1126;0;0;8;557;45;92;210;152;0;9;0;241.0
