RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Niedorp-G0412;17;0;1229;798;944;427;172.0;142.0;2.0;13.0;57.0;;;54.0;;;;24.0;;;;;;;;15.0;;;4.0;;104.0;;;;;;;;;;3990
Nieuwegein-G0356;25;0;6543;3496;3313;2475;1314.0;;233.0;619.0;367.0;;891.0;127.0;;204.0;;75.0;;;;205.0;;;;;33.0;;;;;;;;;;;;;51.0;22575
Nieuwerkerk aan den IJssel-G0567;3;0;2789;1235;963;814;;301.0;430.0;495.0;72.0;216.0;;62.0;;;;;;;;38.0;;;;;21.0;;;;;;;;;;;1.0;;;6195
Nieuw-Ginneken-G0817;89;0;1893;1695;671;655;187.0;202.0;;;28.0;;;60.0;;;;36.0;;;;;1378.0;;18.0;;;;;;;;;121.0;;4.0;3.0;;;;2151
Nieuwkoop-G0569;9;0;1311;1089;465;412;;121.0;132.0;161.0;28.0;205.0;;33.0;;;;;;;;9.0;;;;;17.0;;;;;;;;;;;0.0;;;4167
Nieuw-Lekkerland-G0571;10;0;670;534;656;216;;83.0;1090.0;627.0;37.0;74.0;;30.0;;;;;;;;4.0;;;;;20.0;;;;;;;;;;;0.0;;;2259
Nieuwleusen-G0170;13;0;721;1329;401;151;43.0;;152.0;;20.0;;53.0;14.0;336.0;22.0;;9.0;130.0;;;;;;;;;;2.0;;;;316.0;;;;;;;;2419
Nieuw-Vossemeer-G0818;0;0;202;218;201;79;23.0;53.0;;;6.0;;;15.0;;;;3.0;;;;;9.0;;4.0;;;;;;;;;1.0;;2.0;1.0;;;;1003
Nijefurd-G0104;15;0;810;2027;976;199;197.0;;;;31.0;;165.0;16.0;22.0;;;;;254.0;133.0;14.0;;;;;;;14.0;;;64.0;;;;;;;;;2861
Nijeveen-G0121;0;0;417;545;207;133;17.0;22.0;7.0;;3.0;;;;32.0;;;;22.0;;;;;;;;;;;25.0;;;;;;;;;;;793
Nijkerk-G0267;36;0;2420;4049;960;619;196.0;318.0;1075.0;1395.0;37.0;;;83.0;;;;28.0;;;;36.0;;85.0;;16.0;26.0;;;;;;;;;;;;;;8087
Nijmegen-G0268;285;0;9420;9047;10588;7014;7192.0;2549.0;59.0;392.0;3123.0;;;225.0;;;;1083.0;;;;172.0;;306.0;;209.0;130.0;;;;;;;;;;;;;;62813
Noord-Beveland-G1695;5;0;930;901;557;180;108.0;;197.0;89.0;;;158.0;18.0;;54.0;;;;;;;;;;11.0;;2.0;;;;;;;42.0;;8.0;;;;2123
Noorder-Koggenland-G0529;13;0;1360;696;706;385;184.0;109.0;58.0;134.0;31.0;;;36.0;;;;28.0;;;;;;;;0.0;;;3.0;;189.0;;;;;;;;;;3319
