RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Wijhe-G0190;4;0;641;1192;706;218;81.0;;11.0;;26.0;;48.0;12.0;33.0;18.0;;10.0;54.0;;;;;;;;;;0.0;;;;53.0;;;;;;;;2540
Wijk bij Duurstede-G0352;0;0;2179;1047;918;759;665.0;;41.0;145.0;84.0;;125.0;37.0;;78.0;;22.0;;;;30.0;;;;;12.0;;;;;;;;;;;;;7.0;5852
Willemstad-G0872;0;0;499;414;192;108;58.0;40.0;;;19.0;;;12.0;;;;5.0;;;;;3.0;;61.0;;;;;;;;;6.0;;2.0;1.0;;;;1187
Winschoten-G0052;36;0;1548;1105;3185;535;456.0;;;;186.0;;308.0;44.0;124.0;94.0;;35.0;;;185.0;;;;;;;;186.0;;;;;;;;;;;;6935
Winsum-G0053;14;0;1118;1809;1642;493;431.0;;;;105.0;;92.0;10.0;531.0;49.0;;127.0;;;86.0;;;;;;;;21.0;;;;;;;;;;;;3318
Winterswijk-G0294;38;0;3642;2580;3430;960;320.0;403.0;15.0;181.0;130.0;;;29.0;;;;74.0;;;;16.0;;18.0;;99.0;16.0;;;;;;;;;;;;;;9503
Wisch-G0295;9;0;1987;2372;1436;538;203.0;311.0;3.0;123.0;55.0;;;22.0;;;;35.0;;;;6.0;;83.0;;14.0;16.0;;;;;;;;;;;;;;7935
Wittem-G0990;31;0;689;1531;433;184;121.0;;;;66.0;;91.0;32.0;;89.0;322.0;;;;;12.0;;;;65.0;;;;;;;;;;;;;11.0;;2307
Woensdrecht-G0873;11;0;1070;706;533;232;106.0;245.0;;;36.0;;;73.0;;;;3.0;;;;;35.0;;29.0;;;;;;;;;22.0;;59.0;13.0;;;;4650
Woerden-G0632;38;0;4368;4342;1678;1484;681.0;;837.0;1007.0;236.0;;369.0;83.0;;107.0;;40.0;;;;135.0;;;;;29.0;;;;;;;;;;;;;10.0;10964
Wognum-G0466;9;0;903;1185;318;279;98.0;65.0;3.0;14.0;29.0;;;22.0;;;;20.0;;;;;;;;0.0;;;0.0;;12.0;;;;;;;;;;2481
Wormerland-G0880;33;0;1644;1024;1130;625;800.0;301.0;6.0;135.0;87.0;;;45.0;;;;59.0;;;;;;;;22.0;;;10.0;;11.0;;;;;;;;;;5167
Woudenberg-G0351;6;0;1462;938;418;309;149.0;;729.0;741.0;38.0;;88.0;15.0;;45.0;;13.0;;;;26.0;;;;;3.0;;;;;;;;;;;;;1.0;2651
Woudrichem-G0874;7;0;1003;1841;761;260;119.0;117.0;;;58.0;;;31.0;;;;18.0;;;;;2.0;;1176.0;;;;;;;;;18.0;;1.0;3.0;;;;4928
Wouw-G0875;11;0;954;800;417;211;87.0;161.0;;;20.0;;;53.0;;;;2.0;;;;;67.0;;9.0;;;;;;;;;22.0;;25.0;38.0;;;;3608
Wûnseradiel-G0710;12;0;846;1945;961;215;186.0;;;;35.0;;136.0;33.0;72.0;;;;;445.0;94.0;16.0;;;;;;;14.0;;;106.0;;;;;;;;;3300
Wymbritseradiel-G0683;10;0;1141;2878;802;307;194.0;;;;31.0;;114.0;15.0;44.0;;;;;842.0;200.0;16.0;;;;;;;8.0;;;90.0;;;;;;;;;4252
Zaanstad-G0479;89;0;12726;5909;9377;4381;4077.0;3118.0;141.0;1137.0;918.0;;;718.0;;;;524.0;;;;;;;;190.0;;;225.0;;217.0;;;;;;;;;;54940
Zaltbommel-G0297;7;0;1146;662;866;505;325.0;159.0;104.0;153.0;70.0;;;18.0;;;;26.0;;;;4.0;;26.0;;5.0;18.0;;;;;;;;;;;;;;3625
Zandvoort-G0473;24;0;3129;664;931;448;223.0;385.0;11.0;26.0;49.0;;;82.0;;;;56.0;;;;;;;;0.0;;;11.0;;17.0;;;;;;;;;;6697
Zederik-G0707;13;0;1381;1929;897;285;;121.0;1090.0;819.0;46.0;114.0;;38.0;;;;;;;;8.0;;;;;6.0;;;;;;;;;;;2.0;;;3091
Zeevang-G0478;6;0;1187;217;468;298;144.0;102.0;3.0;15.0;37.0;;;35.0;;;;14.0;;;;;;;;5.0;;;2.0;;80.0;;;;;;;;;;1738
Zeewolde-G0050;5;0;2084;960;579;522;210.0;172.0;82.0;;;;;42.0;235.0;;;;272.0;;;;;;;48.0;;;;;;;;;;;1.0;;;;3483
Zeist-G0355;41;0;8856;3878;3440;2679;1663.0;;899.0;1278.0;256.0;;628.0;144.0;;427.0;;154.0;;;;111.0;;;;;55.0;;;;;;;;;;;;;15.0;20410
Zelhem-G0298;12;0;1201;1427;1085;335;95.0;164.0;154.0;93.0;22.0;;;15.0;;;;15.0;;;;4.0;;53.0;;12.0;2.0;;;;;;;;;;;;;;4139
Zevenaar-G0299;49;0;2793;2777;1682;1588;426.0;636.0;16.0;114.0;180.0;;;47.0;;;;115.0;;;;27.0;;85.0;;53.0;18.0;;;;;;;;;;;;;;9989
Zevenbergen-G0878;21;0;1705;1543;777;471;142.0;312.0;;;92.0;;;65.0;;;;15.0;;;;;60.0;;161.0;;;;;;;;;27.0;;11.0;3.0;;;;7038
Zevenhuizen-Moerkapelle-G1666;10;0;1431;722;566;345;;136.0;813.0;338.0;25.0;106.0;;31.0;;;;;;;;17.0;;;;;11.0;;;;;;;;;;;0.0;;;2725
Zierikzee-G0732;12;0;1047;900;1017;421;149.0;;195.0;314.0;;;169.0;34.0;;42.0;;;;;;;;;;44.0;;4.0;;;;;;;53.0;;9.0;;;;3449
Zijpe-G0476;11;0;1520;974;794;352;138.0;169.0;1.0;52.0;61.0;;;36.0;;;;27.0;;;;;;;;17.0;;;14.0;;226.0;;;;;;;;;;3950
Zoetermeer-G0637;63;0;13615;5138;5859;5742;;2044.0;666.0;1352.0;3388.0;1783.0;;335.0;;;;;;;;103.0;;;;;88.0;;;;;;;;;;;15.0;;;35103
Zoeterwoude-G0638;9;0;1110;988;351;371;;143.0;30.0;31.0;52.0;306.0;;23.0;;;;;;;;9.0;;;;;7.0;;;;;;;;;;;0.0;;;2809
Zuidhorn-G0056;16;0;1369;2545;1464;609;357.0;;;;101.0;;118.0;29.0;1659.0;56.0;;139.0;;;185.0;;;;;;;;18.0;;;;;;;;;;;;4056
Zuidlaren-G0136;15;0;1540;818;1031;515;295.0;440.0;11.0;;48.0;;;;375.0;;;;94.0;;;;;;;;;;;36.0;;;;;;;;;;;3253
Zuidwolde-G0137;6;0;1133;1163;706;235;169.0;112.0;32.0;;16.0;;;;210.0;;;;113.0;;;;;;;;;;;902.0;;;;;;;;;;;2752
Zundert-G0879;20;0;1274;1858;515;303;121.0;182.0;;;44.0;;;56.0;;;;8.0;;;;;14.0;;12.0;;;;;;;;;53.0;;28.0;14.0;;;;6229
Zutphen-G0301;49;0;2767;1990;3151;1634;983.0;690.0;42.0;306.0;444.0;;;55.0;;;;122.0;;;;22.0;;28.0;;116.0;23.0;;;;;;;;;;;;;;11905
Zwartsluis-G0192;5;0;460;685;314;74;26.0;;66.0;;15.0;;35.0;6.0;214.0;8.0;;11.0;153.0;;;;;;;;;;7.0;;;;4.0;;;;;;;;1227
Zweeloo-G0138;2;0;489;277;440;118;59.0;49.0;3.0;;6.0;;;;14.0;;;;29.0;;;;;;;;;;;24.0;;;;;;;;;;;814
Zwijndrecht-G0642;23;0;4818;3140;2382;1534;;732.0;941.0;1273.0;170.0;491.0;;176.0;;;;;;;;32.0;;;;;44.0;;;;;;;;;;;185.0;;;15893
Zwolle-G0193;48;0;9268;7681;8299;4285;2451.0;;301.0;;498.0;;729.0;284.0;2399.0;516.0;;625.0;2402.0;;;;;;;;;;36.0;;;;233.0;;;;;;;;36748
