RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Nieuw-Ginneken-G0817;21;;3796;1591;1422;604;155;3.0;15.0;11.0;46.0;8.0;22.0;9.0;;2.0;4.0;7.0;2.0;;1.0;;;;;;;1344.0
Nieuwkoop-G0569;35;;2983;1112;1241;518;189;131.0;27.0;129.0;22.0;5.0;27.0;11.0;4.0;5.0;2.0;1.0;;;;;;;;;;1371.0
Nieuw-Lekkerland-G0571;12;;1251;1551;371;303;71;1193.0;145.0;154.0;30.0;11.0;14.0;3.0;1.0;4.0;3.0;;;;1.0;;;;;;;787.0
Nieuwleusen-G0170;13;;2469;1180;604;238;56;175.0;334.0;83.0;13.0;2.0;7.0;6.0;2.0;;2.0;2.0;;;1.0;;;;;;;809.0
Nieuwolda-G0032;6;;226;590;151;37;40;;14.0;8.0;3.0;1.0;8.0;;;4.0;3.0;;;;;;;;;;;136.0
Nieuwveen-G0573;3;;1229;228;309;138;65;43.0;9.0;25.0;9.0;6.0;6.0;;;1.0;;;;;;;1.0;;;;;643.0
Nieuw-Vossemeer-G0818;8;;597;606;138;71;24;;3.0;1.0;10.0;1.0;6.0;3.0;;;;1.0;;;;;;;;;;292.0
Nijefurd-G0104;25;;3452;1787;647;374;288;16.0;79.0;104.0;11.0;7.0;14.0;8.0;;;5.0;2.0;4.0;;;;;;;;;909.0
Nijeveen-G0121;5;;912;479;297;144;18;6.0;39.0;22.0;1.0;1.0;4.0;;;2.0;1.0;;;;1.0;;;;;;;181.0
Nijkerk-G0267;46;;7357;3034;1734;921;235;1048.0;458.0;598.0;86.0;5.0;32.0;9.0;7.0;3.0;3.0;5.0;5.0;;3.0;;;;;;;2632.0
Nijmegen-G0268;286;;24636;35687;6763;8543;9498;63.0;269.0;125.0;576.0;1208.0;432.0;176.0;;24.0;26.0;105.0;18.0;48.0;17.0;;;;;;;25590.0
Nistelrode-G0819;16;;2611;1010;261;169;59;1.0;3.0;1.0;5.0;85.0;8.0;;;;;1.0;;;2.0;;;;;;;860.0
Noorder-Koggenland-G0529;21;;1842;1557;1427;461;243;83.0;42.0;76.0;39.0;9.0;27.0;9.0;6.0;8.0;4.0;1.0;6.0;5.0;;;;;;;;969.0
Noordoostpolder-G0171;60;;10374;5912;3213;1549;584;435.0;765.0;534.0;97.0;13.0;37.0;19.0;;5.0;27.0;5.0;7.0;;11.0;;;;;;;3515.0
Noordwijk-G0575;35;;6084;3162;3409;1050;668;88.0;93.0;114.0;77.0;21.0;37.0;21.0;24.0;3.0;6.0;5.0;2.0;;1.0;;;;;;;3680.0
Noordwijkerhout-G0576;35;;4691;1449;1941;648;316;10.0;28.0;12.0;37.0;10.0;28.0;16.0;5.0;3.0;3.0;7.0;3.0;;;;;;;;;1853.0
Nootdorp-G0577;13;;2286;506;748;293;110;19.0;22.0;16.0;37.0;2.0;17.0;2.0;5.0;;3.0;2.0;1.0;;;;;;;;;836.0
Norg-G0120;13;;827;1641;1143;404;153;6.0;53.0;26.0;26.0;1.0;11.0;5.0;;2.0;28.0;;2.0;;;;;;;;;751.0
Nuenen, Gerwen en Nederwetten-G0820;19;;5943;2598;2139;1411;491;20.0;54.0;14.0;40.0;31.0;22.0;15.0;7.0;;;2.0;;;2.0;;;;;;;2222.0
Nuland-G0821;11;;1718;585;180;160;42;1.0;1.0;;12.0;49.0;5.0;2.0;1.0;;1.0;2.0;1.0;;;;;;;;;601.0
Nunspeet-G0302;25;;6370;2094;1999;633;193;3070.0;275.0;1198.0;52.0;9.0;18.0;10.0;12.0;4.0;8.0;4.0;2.0;;;;;;;;;1747.0
Nuth-G0951;46;;5709;3519;896;596;344;5.0;29.0;9.0;43.0;35.0;21.0;27.0;7.0;4.0;4.0;1.0;9.0;;3.0;;;;;;;1838.0
Obdam-G0429;11;;2055;585;552;282;147;2.0;3.0;6.0;10.0;3.0;9.0;5.0;1.0;2.0;3.0;;1.0;2.0;;;;;;;;534.0
Odoorn-G0122;41;;1789;4272;1344;461;170;10.0;108.0;96.0;23.0;8.0;11.0;7.0;;12.0;13.0;;1.0;;;;;;;;;1159.0
Oeffelt-G0822;5;;821;375;118;82;36;;3.0;2.0;1.0;3.0;5.0;;;;;;;;;;;;;;;227.0
Oegstgeest-G0579;31;;3753;2239;3223;1470;485;59.0;191.0;62.0;47.0;20.0;69.0;15.0;29.0;5.0;3.0;;1.0;;3.0;;;;;;;1970.0
Ohé en Laak-G0953;4;;355;100;69;17;9;2.0;;2.0;;;1.0;1.0;1.0;;;1.0;;;;;;;;;;96.0
Oirschot-G0823;17;;4228;1638;698;417;149;1.0;7.0;3.0;16.0;29.0;19.0;4.0;4.0;;3.0;2.0;1.0;;4.0;;;;;;;1361.0
Oisterwijk-G0824;37;;4937;3250;1804;845;405;7.0;32.0;17.0;73.0;25.0;39.0;9.0;;2.0;5.0;4.0;1.0;;1.0;;;;;;;2306.0
Oldebroek-G0269;50;;4887;2685;920;397;124;1963.0;412.0;1550.0;35.0;2.0;10.0;6.0;3.0;7.0;10.0;5.0;1.0;;3.0;;;;;;;2062.0
Oldehove-G0035;3;;540;361;201;81;40;6.0;257.0;40.0;1.0;3.0;3.0;1.0;;3.0;5.0;1.0;;;;;;;;;;169.0
Oldekerk-G0036;0;;737;392;209;78;28;12.0;78.0;17.0;1.0;;3.0;1.0;;;5.0;;;;;;;;;;;214.0
Oldenzaal-G0173;55;;9678;5395;1845;1369;505;7.0;48.0;29.0;90.0;44.0;47.0;14.0;15.0;3.0;5.0;7.0;7.0;21.0;;;;;;;;2644.0
Olst-G0174;10;;2306;2147;998;342;142;36.0;18.0;11.0;14.0;4.0;16.0;2.0;;3.0;3.0;5.0;;1.0;1.0;;;;;;;827.0
Ommen-G0175;27;;6547;2057;1209;593;198;76.0;1136.0;168.0;24.0;2.0;17.0;6.0;8.0;;7.0;6.0;2.0;;;;;;;;;966.0
Onderbanken-G0881;28;;2493;1825;298;231;138;10.0;12.0;11.0;35.0;23.0;26.0;8.0;13.0;3.0;5.0;4.0;3.0;;;;;;;;;1071.0
Oost-, West- en Middelbeers-G0825;12;;1997;554;283;157;88;2.0;1.0;;5.0;2.0;5.0;1.0;1.0;;;1.0;1.0;;;;;;;;;491.0
Oostburg-G0692;35;;3725;4054;2209;571;237;165.0;91.0;82.0;37.0;2.0;32.0;16.0;;9.0;12.0;5.0;4.0;;2.0;;;;;;;2679.0
Oosterbroek-G0033;5;;443;2016;447;181;146;2.0;90.0;11.0;14.0;5.0;9.0;2.0;;10.0;11.0;1.0;;;1.0;;;;;;;394.0
Oosterhesselen-G0123;14;;976;1344;549;181;81;11.0;87.0;67.0;10.0;7.0;6.0;1.0;;2.0;3.0;;;;3.0;;;;;;;308.0
Oosterhout-G0826;73;;10121;9672;4323;2481;633;32.0;64.0;69.0;205.0;58.0;198.0;42.0;;11.0;13.0;17.0;12.0;;8.0;;;;;;;7662.0
Oostflakkee-G0580;13;;1998;2131;627;284;104;694.0;55.0;109.0;42.0;5.0;15.0;7.0;2.0;2.0;2.0;3.0;3.0;;1.0;;;;;;;1034.0
Ooststellingwerf-G0085;58;;4318;7415;2138;890;634;69.0;325.0;126.0;40.0;8.0;65.0;11.0;;8.0;17.0;8.0;5.0;;;;;;;;;2555.0
Oostzaan-G0431;22;;892;1805;1012;477;448;27.0;9.0;47.0;54.0;4.0;18.0;10.0;1.0;11.0;1.0;2.0;4.0;2.0;;;;;;;;939.0
Ootmarsum-G0176;6;;2066;488;293;148;56;3.0;5.0;3.0;4.0;3.0;5.0;2.0;6.0;;1.0;1.0;;2.0;;;;;;;;135.0
Oploo, Sint Anthonis en Ledeacker-G0827;15;;3102;954;349;201;193;;6.0;2.0;6.0;10.0;17.0;5.0;1.0;1.0;2.0;6.0;1.0;;1.0;;;;;;;654.0
Opmeer-G0432;13;;3289;1231;1043;416;216;10.0;14.0;17.0;18.0;;18.0;8.0;3.0;;2.0;1.0;;3.0;;;;;;;;965.0
Opsterland-G0086;64;;4305;7811;2084;959;715;75.0;789.0;237.0;30.0;10.0;46.0;11.0;;52.0;10.0;2.0;3.0;;;;;;;;;2318.0
Oss-G0828;68;;10858;8538;3205;2019;745;22.0;55.0;50.0;152.0;3029.0;44.0;41.0;31.0;6.0;14.0;27.0;3.0;;5.0;;;;;;;8254.0
Ossendrecht-G0829;18;;1183;867;381;203;67;5.0;6.0;3.0;25.0;2.0;13.0;3.0;;;7.0;;;;;;;;;;;1006.0
Oud- en Nieuw-Gastel-G0831;18;;2182;1533;499;204;101;3.0;1.0;3.0;46.0;7.0;8.0;8.0;;;;3.0;2.0;;2.0;;;;;;;1551.0
Oud-Beijerland-G0584;41;;3612;3088;2220;1214;326;1211.0;133.0;235.0;105.0;10.0;37.0;9.0;14.0;1.0;5.0;4.0;4.0;;1.0;;;;;;;2418.0
Oude Pekela-G0038;16;;683;3553;286;169;530;25.0;32.0;33.0;13.0;15.0;8.0;1.0;;47.0;2.0;6.0;1.0;;1.0;;;;;;;838.0
Oudenbosch-G0830;35;;2962;2269;886;468;162;11.0;21.0;5.0;69.0;6.0;19.0;14.0;;4.0;3.0;4.0;4.0;;;;;;;;;2077.0
Ouder-Amstel-G0437;24;;2747;1670;1809;892;283;72.0;28.0;30.0;105.0;5.0;32.0;10.0;8.0;8.0;9.0;2.0;1.0;3.0;1.0;;2.0;;;;;1518.0
Ouderkerk-G0644;12;;1543;1254;852;328;88;838.0;74.0;109.0;32.0;3.0;13.0;2.0;1.0;1.0;;2.0;1.0;;;;;;;;;833.0
Oudewater-G0589;23;;3329;911;862;360;142;248.0;62.0;71.0;40.0;1.0;10.0;2.0;5.0;1.0;5.0;2.0;;;;;;1.0;;;;910.0
Papendrecht-G0590;44;;4993;5237;2909;1604;502;720.0;181.0;463.0;120.0;29.0;33.0;12.0;2.0;6.0;11.0;7.0;2.0;;;;;;;;;3491.0
Peize-G0124;17;;419;1588;691;392;127;7.0;8.0;12.0;21.0;3.0;5.0;4.0;;2.0;6.0;;1.0;;;;;;;;;498.0
Pijnacker-G0594;25;;5457;1638;2002;1044;294;258.0;126.0;56.0;96.0;5.0;28.0;15.0;10.0;3.0;4.0;2.0;1.0;;;;;;;;;1535.0
Posterholt-G0956;10;;1132;899;214;109;73;6.0;7.0;3.0;12.0;2.0;5.0;4.0;7.0;2.0;;;3.0;;;;;;;;;791.0
Prinsenbeek-G0832;14;;3130;1476;1151;511;103;5.0;13.0;14.0;40.0;3.0;16.0;14.0;;4.0;3.0;4.0;;;;;;;;;;1338.0
Purmerend-G0439;126;;6787;12273;7102;3771;1591;32.0;77.0;160.0;493.0;81.0;136.0;83.0;41.0;76.0;19.0;15.0;8.0;17.0;9.0;;;;;;;9759.0
Putte-G0833;9;;601;507;368;131;37;1.0;2.0;4.0;20.0;1.0;12.0;9.0;;3.0;2.0;1.0;;;;;;;;;;755.0
Putten-G0273;21;;6448;1969;1930;488;196;1297.0;291.0;749.0;34.0;4.0;18.0;12.0;5.0;1.0;4.0;4.0;2.0;;;;;;;;;1755.0
Raalte-G0177;26;;11569;3134;1355;874;336;13.0;43.0;46.0;19.0;16.0;24.0;17.0;5.0;;4.0;6.0;;6.0;2.0;;;;;;;2240.0
Raamsdonk-G0834;29;;3188;2829;1135;496;194;52.0;11.0;43.0;51.0;15.0;17.0;7.0;;3.0;10.0;3.0;2.0;;1.0;;;;;;;2052.0
Ravenstein-G0835;19;;2622;1551;371;290;136;3.0;10.0;1.0;8.0;101.0;9.0;5.0;2.0;;3.0;6.0;;;;;;;;;;820.0
Reeuwijk-G0595;14;;3372;1259;1760;592;152;504.0;73.0;178.0;67.0;5.0;21.0;14.0;1.0;2.0;4.0;1.0;;;;;;;;;;1279.0
Reimerswaal-G0703;32;;3606;2565;1299;535;201;2980.0;140.0;188.0;82.0;7.0;21.0;8.0;;1.0;5.0;2.0;5.0;;1.0;;;;;;;2185.0
Renkum-G0274;61;;7713;6557;4695;1971;796;211.0;182.0;181.0;84.0;44.0;75.0;26.0;14.0;3.0;30.0;11.0;4.0;;2.0;;;;;;;4104.0
Renswoude-G0339;0;;1249;284;315;84;18;240.0;27.0;73.0;7.0;1.0;3.0;1.0;2.0;;1.0;;;;;;;1.0;;;;434.0
Reusel-G0836;11;;2917;920;390;179;70;2.0;5.0;1.0;11.0;1.0;8.0;5.0;;;2.0;2.0;1.0;;1.0;;;;;;;1030.0
Rheden-G0275;113;;9612;11843;5056;2457;984;96.0;265.0;212.0;139.0;52.0;78.0;36.0;16.0;7.0;13.0;18.0;8.0;;6.0;;;;;;;5583.0
Rhenen-G0340;31;;3269;3042;1539;639;252;1291.0;107.0;206.0;64.0;3.0;13.0;10.0;2.0;1.0;3.0;2.0;1.0;;;;;;;;;1985.0
Ridderkerk-G0597;83;;8297;9498;3519;2380;646;2721.0;474.0;389.0;291.0;46.0;76.0;53.0;17.0;16.0;23.0;8.0;14.0;;3.0;;;;;;;6529.0
Riethoven-G0837;7;;942;202;216;105;24;1.0;5.0;3.0;1.0;3.0;3.0;3.0;1.0;;1.0;2.0;;;;;;;;;;207.0
Rijnsaterwoude-G0601;4;;381;144;172;65;26;48.0;2.0;7.0;2.0;;2.0;3.0;;1.0;;;1.0;;1.0;;;;;;;116.0
Rijnsburg-G0602;20;;4875;845;831;303;105;190.0;417.0;263.0;33.0;3.0;10.0;9.0;1.0;;1.0;1.0;1.0;;;;1.0;;;;;1436.0
Rijnwaarden-G0196;25;;2686;2321;389;344;120;3.0;8.0;3.0;18.0;5.0;18.0;8.0;;4.0;3.0;4.0;2.0;6.0;;;;;;;;1611.0
Rijsbergen-G0841;22;;1832;763;430;204;64;3.0;8.0;6.0;10.0;4.0;8.0;3.0;;;;3.0;;;;;;;;;;936.0
Rijssen-G0178;62;;5035;2205;628;366;112;5134.0;159.0;1086.0;41.0;3.0;8.0;4.0;1.0;2.0;5.0;1.0;2.0;5.0;1.0;;;;;;;1331.0
Rijswijk-G0603;121;;10032;7654;7078;3603;1065;180.0;245.0;164.0;573.0;57.0;96.0;40.0;61.0;4.0;37.0;15.0;10.0;;8.0;;;;;;;7927.0
Roden-G0125;31;;2904;5188;2158;1058;393;12.0;312.0;101.0;23.0;7.0;28.0;12.0;;5.0;15.0;3.0;;;2.0;;;;;;;1684.0
Roermond-G0957;73;;7541;6470;3066;1104;718;10.0;74.0;43.0;168.0;40.0;71.0;25.0;34.0;6.0;5.0;5.0;4.0;;6.0;;;;;;;8718.0
Roggel-G0958;7;;1701;504;249;111;88;3.0;2.0;1.0;6.0;2.0;1.0;2.0;2.0;;;;;;;;;;;;;598.0
Rolde-G0126;20;;639;1610;1281;342;150;5.0;39.0;4.0;10.0;1.0;10.0;1.0;;1.0;9.0;1.0;;;;;;;;;;614.0
Roosendaal en Nispen-G0838;101;;13941;9390;4418;2457;1087;33.0;105.0;92.0;596.0;131.0;98.0;61.0;;12.0;16.0;34.0;6.0;;8.0;;;;;;;11834.0
Rosmalen-G0839;35;;6920;3988;2353;1414;452;13.0;42.0;15.0;65.0;533.0;43.0;26.0;18.0;1.0;2.0;12.0;6.0;;5.0;;;;;;;3841.0
Rossum-G0276;5;;817;707;271;124;61;12.0;6.0;2.0;3.0;7.0;8.0;;;;1.0;2.0;;;;;;;;;;293.0
Rotterdam-G0599;1935;;61454;135966;36330;25921;15299;4163.0;2589.0;1866.0;10279.0;1463.0;1555.0;589.0;825.0;438.0;258.0;255.0;113.0;;133.0;94.0;59.0;;;;;124357.0
Rozenburg-G0600;29;;2329;2504;1362;809;276;74.0;164.0;57.0;82.0;24.0;11.0;13.0;7.0;6.0;9.0;1.0;2.0;;;;;;;;;2608.0
Rozendaal-G0277;3;;334;127;307;118;31;1.0;7.0;5.0;2.0;;3.0;1.0;;;5.0;;;;;;;;;;;79.0
Rucphen-G0840;44;;4483;5839;1093;387;163;6.0;13.0;10.0;88.0;4.0;38.0;22.0;;1.0;5.0;16.0;1.0;;2.0;;;;;;;4677.0
Ruinen-G0127;18;;1285;1774;1306;269;114;12.0;40.0;37.0;23.0;2.0;8.0;2.0;;1.0;6.0;;;;;;;;;;;388.0
Ruinerwold-G0128;9;;775;683;577;161;56;6.0;46.0;22.0;2.0;;6.0;3.0;;;5.0;;;;1.0;;;;;;;314.0
Ruurlo-G0278;26;;1773;1471;1239;206;64;9.0;11.0;15.0;7.0;5.0;16.0;3.0;;2.0;3.0;3.0;1.0;10.0;;;;;;;;881.0
Sas van Gent-G0704;22;;1743;1671;662;259;124;30.0;16.0;12.0;21.0;3.0;6.0;8.0;;2.0;1.0;1.0;1.0;;1.0;;;;;;;1584.0
Sassenheim-G0604;24;;4456;1568;1842;753;251;57.0;54.0;49.0;48.0;29.0;20.0;19.0;6.0;1.0;4.0;1.0;;;;;2.0;;;;;1429.0
Schagen-G0441;23;;2703;2938;2296;1078;420;18.0;45.0;31.0;67.0;16.0;36.0;16.0;6.0;16.0;2.0;4.0;1.0;3.0;3.0;;;;;;;2635.0
Schaijk-G0843;14;;2729;1105;447;253;138;3.0;9.0;1.0;4.0;97.0;5.0;4.0;2.0;;1.0;1.0;2.0;;;;;;;;;915.0
Scheemda-G0039;16;;1161;2884;541;269;180;8.0;69.0;78.0;21.0;7.0;6.0;6.0;;40.0;12.0;5.0;2.0;;;;;;;;;675.0
Schermer-G0458;5;;1031;726;564;210;107;4.0;8.0;7.0;12.0;3.0;14.0;7.0;2.0;;2.0;;1.0;1.0;;;;;;;;426.0
Scherpenzeel-G0279;18;;2226;955;862;254;80;688.0;53.0;209.0;30.0;2.0;7.0;;4.0;1.0;2.0;1.0;;;;;;;;;;716.0
Schiedam-G0606;130;;10364;16966;4625;3680;1940;308.0;217.0;277.0;1024.0;378.0;114.0;53.0;47.0;45.0;28.0;28.0;10.0;;13.0;;;;;;;12750.0
Schiermonnikoog-G0088;1;;335;289;185;105;69;1.0;19.0;5.0;;3.0;3.0;1.0;;;2.0;;;;;;;;;;;
Schijndel-G0844;54;;5843;3758;1100;615;256;9.0;5.0;6.0;33.0;1030.0;19.0;15.0;5.0;4.0;1.0;16.0;3.0;;3.0;;;;;;;3249.0
Schinnen-G0962;38;;4522;2685;820;510;238;3.0;16.0;11.0;24.0;33.0;20.0;11.0;16.0;1.0;6.0;;1.0;;2.0;;;;;;;1412.0
Schipluiden-G0607;18;;3517;488;685;357;155;62.0;37.0;34.0;34.0;3.0;12.0;7.0;3.0;1.0;1.0;5.0;3.0;;;;;;;;;636.0
Schoonebeek-G0129;14;;2553;1770;295;201;86;3.0;19.0;17.0;5.0;1.0;5.0;3.0;;1.0;1.0;;;;1.0;;;;;;;791.0
Schoonhoven-G0608;20;;2475;1816;1110;607;258;345.0;74.0;70.0;62.0;9.0;36.0;4.0;6.0;2.0;2.0;;;;1.0;;;;;;;1270.0
Schoorl-G0444;15;;1443;1254;985;446;191;5.0;8.0;13.0;31.0;14.0;104.0;7.0;3.0;1.0;;5.0;;1.0;;;;;;;;620.0
Sevenum-G0964;6;;2978;602;338;224;83;4.0;14.0;1.0;5.0;28.0;7.0;3.0;4.0;3.0;;1.0;1.0;;;;;;;;;833.0
's-Graveland-G0390;17;;2271;1285;1322;582;185;75.0;57.0;34.0;26.0;9.0;44.0;11.0;9.0;4.0;2.0;2.0;2.0;1.0;;;;;;;;1187.0
's-Gravendeel-G0517;20;;1885;1845;724;281;77;305.0;58.0;75.0;28.0;2.0;13.0;5.0;2.0;2.0;2.0;4.0;;;;;;;;;;943.0
's-Gravenhage-G0518;688;;57312;79567;44496;24142;11332;2230.0;1779.0;1245.0;7364.0;728.0;1015.0;462.0;572.0;227.0;180.0;80.0;55.0;167.0;345.0;192.0;16.0;;138.0;;31.0;95063.0
's-Gravenmoer-G0787;2;;649;264;191;92;24;23.0;27.0;64.0;3.0;6.0;4.0;;;;;;;;;;;;;;;247.0
's-Gravenzande-G0519;11;;5608;1828;2122;672;147;461.0;102.0;136.0;64.0;9.0;16.0;12.0;3.0;1.0;3.0;1.0;1.0;;;;;;;;;2215.0
's-Hertogenbosch-G0796;170;;16758;19803;5238;4298;2882;60.0;239.0;93.0;605.0;789.0;205.0;113.0;69.0;25.0;31.0;30.0;12.0;;15.0;;;;;;;17526.0
Simpelveld-G0965;7;;3541;2750;501;318;124;10.0;16.0;12.0;28.0;19.0;36.0;16.0;28.0;9.0;4.0;2.0;4.0;;1.0;;;;;;;1543.0
Sint Maarten-G0445;5;;468;343;253;129;66;;7.0;1.0;6.0;2.0;13.0;1.0;1.0;2.0;;;;;;;;;;;;351.0
Sint Odiliënberg-G0967;9;;1114;569;272;130;53;1.0;7.0;;9.0;2.0;1.0;5.0;3.0;2.0;1.0;1.0;1.0;;;;;;;;;563.0
Sint Pancras-G0446;5;;1396;869;572;290;149;11.0;34.0;35.0;19.0;6.0;17.0;6.0;2.0;;1.0;;3.0;;1.0;;;;;;;535.0
Sint Philipsland-G0712;6;;365;304;135;47;17;589.0;11.0;24.0;9.0;2.0;2.0;;;;;;;;;;;;;;;158.0
Sint-Michielsgestel-G0845;42;;3562;2351;795;563;206;2.0;30.0;8.0;19.0;92.0;15.0;11.0;5.0;1.0;1.0;4.0;3.0;;1.0;;;;;;;1563.0
Sint-Oedenrode-G0846;34;;6043;2424;912;630;298;3.0;6.0;10.0;19.0;50.0;17.0;12.0;6.0;1.0;1.0;8.0;2.0;;3.0;;;;;;;1804.0
Sittard-G0968;95;;11269;9343;2469;1468;1141;20.0;62.0;29.0;109.0;97.0;66.0;34.0;35.0;13.0;21.0;8.0;3.0;;6.0;;;;;;;8386.0
Skarsterlân-G0051;40;;6478;5295;1747;927;487;64.0;124.0;136.0;28.0;4.0;41.0;9.0;;10.0;14.0;4.0;3.0;;1.0;;;;;;;2106.0
Sleen-G0130;24;;1332;3158;940;255;137;13.0;36.0;87.0;16.0;5.0;8.0;7.0;;6.0;4.0;2.0;2.0;;1.0;;;;;;;596.0
Sliedrecht-G0610;11;;3580;4724;1445;792;337;2257.0;259.0;307.0;108.0;6.0;24.0;4.0;7.0;10.0;12.0;8.0;;;;;;;;;;3296.0
Slochteren-G0040;38;;1837;3850;1294;543;293;26.0;827.0;97.0;25.0;15.0;25.0;9.0;;11.0;40.0;5.0;1.0;;2.0;;;;;;;1660.0
Sluis-G0713;7;;634;553;436;92;30;2.0;11.0;9.0;5.0;;2.0;1.0;;;1.0;;;;2.0;;;;;;;362.0
Smallingerland-G0090;92;;10391;13869;2970;2191;1180;176.0;1237.0;743.0;46.0;34.0;64.0;28.0;;19.0;26.0;7.0;4.0;;3.0;;;;;;;4541.0
Smilde-G0131;28;;2152;2187;663;353;180;9.0;157.0;56.0;19.0;2.0;7.0;4.0;;;9.0;2.0;1.0;;1.0;;;;;;;886.0
Sneek-G0091;63;;6275;7318;2179;1413;633;39.0;186.0;227.0;35.0;15.0;26.0;24.0;;26.0;23.0;7.0;5.0;;4.0;;;;;;;3864.0
Soest-G0342;73;;9546;4923;6436;2439;784;254.0;335.0;273.0;181.0;18.0;74.0;22.0;24.0;12.0;14.0;5.0;2.0;;3.0;3.0;1.0;3.0;;;;5595.0
Someren-G0847;35;;6548;2051;908;495;239;9.0;16.0;7.0;26.0;18.0;15.0;9.0;7.0;1.0;1.0;9.0;1.0;;2.0;;;;;;;2470.0
Son en Breugel-G0848;23;;4425;1604;1867;823;254;5.0;36.0;20.0;41.0;23.0;28.0;4.0;11.0;2.0;2.0;3.0;2.0;;1.0;;;;;;;1819.0
Spijkenisse-G0612;123;;7888;13277;6254;4088;1258;324.0;248.0;228.0;554.0;653.0;98.0;92.0;51.0;36.0;27.0;27.0;14.0;;15.0;;;;;;;11963.0
Sprang-Capelle-G0849;28;;2535;1190;668;255;102;665.0;59.0;105.0;34.0;11.0;24.0;9.0;2.0;3.0;5.0;1.0;4.0;;;;;;;;;1340.0
Stad Delden-G0179;8;;2774;1051;879;398;98;3.0;23.0;11.0;19.0;4.0;14.0;2.0;1.0;2.0;;;;7.0;;;;;;;;510.0
Stadskanaal-G0037;63;;7177;9894;1571;809;493;48.0;724.0;810.0;61.0;17.0;30.0;22.0;;25.0;28.0;14.0;6.0;;1.0;;;;;;;3764.0
Standdaarbuiten-G0850;1;;854;482;225;123;24;;1.0;8.0;19.0;2.0;1.0;1.0;;;;;1.0;;;;;;;;;345.0
Staphorst-G0180;23;;2270;906;706;215;67;2692.0;731.0;602.0;10.0;1.0;13.0;3.0;3.0;2.0;3.0;1.0;;;1.0;;;;;;;821.0
Stede Broec-G0532;28;;4421;2875;1724;861;400;20.0;31.0;35.0;52.0;8.0;38.0;23.0;9.0;8.0;5.0;3.0;6.0;8.0;3.0;;;;;;;2434.0
Stedum-G0041;6;;482;433;79;52;61;3.0;86.0;18.0;;2.0;3.0;3.0;;;28.0;;;;;;;;;;;152.0
Steenbergen-G0851;31;;3200;2970;1214;474;213;17.0;11.0;11.0;95.0;8.0;15.0;13.0;;5.0;4.0;10.0;1.0;;4.0;;;;;;;2543.0
Steenderen-G0280;3;;1801;750;352;132;85;10.0;9.0;13.0;4.0;;17.0;2.0;1.0;1.0;2.0;1.0;;;1.0;;;;;;;355.0
Steenwijk-G0181;39;;4405;5490;1705;774;409;37.0;235.0;258.0;38.0;11.0;32.0;11.0;6.0;2.0;8.0;7.0;5.0;11.0;;;;;;;;2424.0
Stein-G0971;76;;7508;5718;1324;1083;490;9.0;22.0;18.0;62.0;34.0;56.0;30.0;13.0;5.0;6.0;8.0;7.0;;2.0;;;;;;;4042.0
Stevensweert-G0972;3;;595;296;104;41;13;;;;4.0;;;3.0;;;;;;;1.0;;;;;;;192.0
Stramproy-G0973;12;;1843;710;230;126;71;1.0;2.0;4.0;17.0;4.0;4.0;5.0;;;;;1.0;;2.0;;;;;;;619.0
Strijen-G0617;17;;1632;1820;1003;335;175;249.0;68.0;85.0;35.0;4.0;18.0;2.0;5.0;4.0;;3.0;;;;;;;;;;992.0
Susteren-G0974;43;;4119;2536;707;351;187;17.0;17.0;6.0;27.0;11.0;18.0;6.0;10.0;5.0;4.0;3.0;6.0;;1.0;;;;;;;1922.0
Swalmen-G0975;18;;2306;1740;392;214;136;;7.0;;16.0;4.0;6.0;5.0;9.0;2.0;1.0;1.0;1.0;;1.0;;;;;;;1613.0
't Zandt-G0054;4;;391;752;198;83;67;3.0;43.0;15.0;3.0;2.0;7.0;3.0;;2.0;22.0;2.0;;;;;;;;;;215.0
Tegelen-G0976;32;;4914;3331;808;551;209;4.0;28.0;10.0;67.0;17.0;18.0;12.0;7.0;5.0;5.0;4.0;1.0;;;;;;;;;3458.0
Ten Boer-G0009;11;;1376;1402;422;268;161;11.0;477.0;88.0;6.0;2.0;7.0;5.0;;2.0;15.0;1.0;1.0;;2.0;;;;;;;485.0
Ter Aar-G0480;7;;3213;665;945;334;114;109.0;32.0;31.0;23.0;8.0;9.0;2.0;1.0;;3.0;3.0;;;;;;;;;;892.0
Terheijden-G0853;9;;2186;1562;627;461;161;4.0;15.0;8.0;39.0;8.0;10.0;6.0;;1.0;5.0;4.0;1.0;;1.0;;;;;;;1172.0
Termunten-G0042;13;;681;1493;280;120;125;7.0;24.0;34.0;7.0;3.0;10.0;1.0;;29.0;10.0;2.0;1.0;;;;;;;;;560.0
