RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Enkhuizen-G0388;37;;3044;3552;1409;776;478;167.0;70.0;120.0;49.0;25.0;32.0;21.0;12.0;18.0;7.0;4.0;1.0;7.0;;;;;;;;1970.0
Enschede-G0153;55;;23627;37205;10353;6600;3446;207.0;2334.0;631.0;371.0;276.0;160.0;64.0;23.0;112.0;30.0;27.0;14.0;183.0;23.0;;;;;;;22842.0
Epe-G0232;64;;7426;7166;3891;1487;462;736.0;181.0;354.0;88.0;13.0;38.0;22.0;12.0;6.0;10.0;15.0;7.0;;3.0;;;;;;;3625.0
Ermelo-G0233;15;;7836;1935;2625;929;460;728.0;738.0;507.0;82.0;67.0;43.0;10.0;9.0;2.0;12.0;5.0;4.0;;5.0;;;;;;;2806.0
Erp-G0775;10;;2827;631;265;145;54;;3.0;4.0;5.0;23.0;2.0;4.0;3.0;1.0;2.0;5.0;1.0;;3.0;;;;;;;506.0
Esch-G0776;1;;763;290;89;102;40;1.0;5.0;1.0;3.0;1.0;3.0;1.0;;;;1.0;1.0;;;;;;;;;165.0
Etten-Leur-G0777;52;;7307;5913;2403;1579;496;12.0;42.0;42.0;128.0;32.0;46.0;27.0;;5.0;5.0;9.0;5.0;;1.0;;;;;;;5338.0
Ezinge-G0012;3;;361;471;165;92;80;3.0;27.0;4.0;4.0;3.0;;;;;2.0;;;;;;;;;;;115.0
Ferwerderadeel-G0068;16;;2799;1418;522;307;135;22.0;297.0;57.0;11.0;1.0;6.0;5.0;;5.0;6.0;1.0;;;;;;;;;;893.0
Fijnaart en Heijningen-G0778;8;;1636;1334;504;199;96;36.0;18.0;40.0;22.0;;7.0;7.0;;;2.0;4.0;2.0;;;;;;;;;899.0
