RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij;Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Katholiek Democratische Partij;Revolutionair Socialistische Arbeiderspartij;Hervormd Gereformeerde Staatspartij;Overige partij(en) zonder zetel(s);Overige partij(en) met zetel(s);Plattelandersbond;@abs
Monnickendam-G0423;27;10;276.0;171.0;137.0;314.0;126.0;41.0;121.0;12.0;34.0;26.0;13.0;10.0;;;;;104.0
Monster-G0562;50;62;2236.0;253.0;656.0;277.0;262.0;62.0;17.0;20.0;653.0;6.0;30.0;;129.0;;;4.0;264.0
Montfoort-G0335;2;17;592.0;40.0;74.0;49.0;65.0;4.0;;2.0;50.0;1.0;18.0;1.0;;;;1.0;60.0
Montfort-G0943;8;15;526.0;;3.0;;69.0;;;;;;1.0;;;3.0;;;26.0
Mook en Middelaar-G0944;14;46;665.0;33.0;13.0;;54.0;;15.0;;;;12.0;;;6.0;;;59.0
Moordrecht-G0563;14;48;122.0;283.0;306.0;34.0;89.0;184.0;22.0;9.0;176.0;3.0;8.0;2.0;9.0;;;5.0;120.0
Muiden-G0424;2;46;315.0;244.0;193.0;421.0;89.0;41.0;27.0;18.0;4.0;6.0;3.0;14.0;;;;;69.0
Munstergeleen-G0945;4;3;460.0;;4.0;;66.0;;1.0;1.0;;;1.0;;;2.0;;;25.0
Muntendam-G0029;31;63;15.0;898.0;146.0;150.0;159.0;29.0;72.0;23.0;;80.0;;5.0;2.0;;11.0;;124.0
Naaldwijk-G0565;55;74;1637.0;610.0;1159.0;801.0;189.0;565.0;87.0;24.0;123.0;35.0;87.0;1.0;34.0;;;11.0;303.0
Naarden-G0425;73;127;597.0;563.0;403.0;317.0;522.0;362.0;229.0;49.0;48.0;71.0;54.0;31.0;;4.0;;;319.0
Nederhemert-G1115;7;17;3.0;9.0;42.0;307.0;8.0;10.0;3.0;;71.0;;1.0;;;;;3.0;74.0
Nederhorst den Berg-G0426;2;25;314.0;69.0;193.0;258.0;17.0;7.0;12.0;66.0;8.0;2.0;1.0;2.0;;1.0;;;70.0
Nederweert-G0946;50;52;2763.0;;12.0;;59.0;;;;;;4.0;;;26.0;;;276.0
Neede-G0266;26;62;451.0;1144.0;259.0;252.0;248.0;246.0;267.0;3.0;2.0;25.0;;15.0;;;;3.0;194.0
Neer-G0947;4;6;886.0;;;;15.0;;;;;;;;;7.0;;;57.0
Neeritter-G1116;2;7;292.0;;3.0;;3.0;;;;;;;;;7.0;;;9.0
Nibbixwoud-G0427;4;4;392.0;51.0;4.0;7.0;14.0;137.0;75.0;;3.0;2.0;7.0;1.0;;;;;28.0
Nieuw- en Sint Joosland-G1117;0;23;6.0;58.0;112.0;193.0;28.0;44.0;50.0;;65.0;;;;12.0;;;;47.0
Nieuw-Beijerland-G0566;21;38;4.0;189.0;81.0;39.0;16.0;91.0;10.0;6.0;243.0;;1.0;2.0;7.0;;;;141.0
Nieuwe Niedorp-G0428;7;27;170.0;250.0;13.0;3.0;75.0;74.0;172.0;6.0;;1.0;3.0;101.0;;;;;118.0
Nieuwe Pekela-G0030;56;67;164.0;527.0;499.0;321.0;316.0;40.0;120.0;146.0;;203.0;;14.0;16.0;;5.0;;321.0
Nieuwe Tonge-G1119;27;33;15.0;224.0;184.0;16.0;14.0;74.0;7.0;7.0;321.0;9.0;2.0;3.0;5.0;;;;198.0
Nieuwenhagen-G0948;58;59;799.0;208.0;11.0;;222.0;;12.0;67.0;;;18.0;;;210.0;;;53.0
Nieuwenhoorn-G1121;14;26;9.0;377.0;29.0;24.0;37.0;311.0;28.0;20.0;6.0;;1.0;2.0;3.0;;;;83.0
Nieuwer-Amstel-G1249;195;193;1671.0;518.0;971.0;960.0;944.0;189.0;315.0;193.0;54.0;283.0;65.0;96.0;;14.0;;;326.0
Nieuwerkerk-G1122;7;11;3.0;84.0;244.0;84.0;52.0;195.0;10.0;;185.0;;;;;;;;127.0
Nieuwerkerk aan den IJssel-G0567;41;65;99.0;289.0;219.0;181.0;107.0;186.0;7.0;8.0;211.0;4.0;1.0;3.0;172.0;4.0;;1.0;215.0
Nieuweschans-G0031;3;59;5.0;237.0;60.0;53.0;49.0;58.0;106.0;202.0;;38.0;;17.0;2.0;;10.0;;121.0
Nieuw-Helvoet-G1118;23;44;7.0;346.0;95.0;101.0;61.0;397.0;20.0;22.0;20.0;1.0;4.0;;5.0;;;;143.0
Nieuwkoop-G0569;16;26;729.0;106.0;100.0;205.0;152.0;82.0;9.0;9.0;52.0;4.0;12.0;1.0;1.0;1.0;;4.0;95.0
Nieuwkuyk-G1123;10;8;663.0;7.0;4.0;1.0;9.0;;1.0;;1.0;;13.0;;;;;;90.0
Nieuwland-G0570;4;9;1.0;51.0;105.0;16.0;1.0;69.0;4.0;2.0;31.0;;2.0;;;;;;39.0
Nieuw-Lekkerland-G0571;25;85;1.0;278.0;364.0;135.0;49.0;112.0;53.0;13.0;575.0;;1.0;8.0;7.0;;;;220.0
Nieuwleusen-G0170;29;84;2.0;194.0;265.0;588.0;153.0;225.0;48.0;1.0;158.0;4.0;2.0;13.0;;;;4.0;163.0
Nieuwolda-G0032;6;24;1.0;303.0;178.0;171.0;66.0;100.0;59.0;22.0;;16.0;;9.0;5.0;;4.0;;106.0
Nieuwpoort-G0572;10;13;1.0;38.0;72.0;17.0;20.0;25.0;5.0;3.0;125.0;1.0;;1.0;8.0;;;1.0;46.0
Nieuwstadt-G0949;9;18;415.0;;3.0;;115.0;;1.0;1.0;;;1.0;;;5.0;;;24.0
Nieuwveen-G0573;18;10;279.0;59.0;172.0;95.0;41.0;47.0;16.0;1.0;29.0;1.0;1.0;11.0;6.0;;;1.0;125.0
Nieuwvliet-G0690;4;13;1.0;42.0;25.0;14.0;29.0;119.0;20.0;;3.0;;;;;;;;29.0
