RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij;Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Katholiek Democratische Partij;Revolutionair Socialistische Arbeiderspartij;Hervormd Gereformeerde Staatspartij;Overige partij(en) zonder zetel(s);Overige partij(en) met zetel(s);Plattelandersbond;@abs
Buurmalsen-G0215;21;28;44.0;185.0;56.0;243.0;76.0;66.0;16.0;3.0;141.0;46.0;;2.0;6.0;;;19.0;98.0
Cadier en Keer-G0901;10;26;398.0;3.0;;;68.0;;2.0;;;;;;;5.0;;;42.0
Cadzand-G0658;7;7;12.0;155.0;73.0;55.0;28.0;150.0;23.0;;9.0;;;;;;1.0;;59.0
Callantsoog-G0382;3;19;51.0;235.0;4.0;4.0;29.0;57.0;97.0;3.0;1.0;1.0;3.0;6.0;;1.0;;;46.0
Capelle aan den IJssel-G0502;86;196;52.0;963.0;550.0;352.0;283.0;332.0;36.0;26.0;897.0;14.0;10.0;15.0;30.0;84.0;;5.0;448.0
Castricum-G0383;34;74;1400.0;431.0;78.0;80.0;115.0;42.0;62.0;31.0;;55.0;25.0;40.0;;;;;127.0
Chaam-G0760;2;9;720.0;10.0;15.0;48.0;5.0;5.0;;;;;27.0;;;1.0;;;38.0
Clinge-G0659;13;86;879.0;24.0;10.0;12.0;38.0;8.0;30.0;;12.0;;;;;;161.0;;113.0
Coevorden-G0109;62;58;491.0;694.0;331.0;306.0;286.0;404.0;128.0;;6.0;182.0;64.0;15.0;;;29.0;8.0;207.0
Colijnsplaat-G1038;25;27;4.0;75.0;226.0;307.0;33.0;193.0;30.0;;42.0;;;;1.0;;;;108.0
Cothen-G0314;7;5;320.0;5.0;3.0;28.0;17.0;14.0;;1.0;24.0;1.0;;;;;;1.0;39.0
Cuijk en Sint Agatha-G0761;22;28;1556.0;54.0;12.0;15.0;65.0;1.0;13.0;6.0;1.0;;19.0;;;;;;125.0
Culemborg-G0216;45;121;1798.0;972.0;210.0;306.0;92.0;661.0;70.0;200.0;68.0;48.0;4.0;40.0;13.0;;;6.0;216.0
Dalen-G0110;35;39;124.0;340.0;74.0;59.0;243.0;164.0;198.0;;2.0;97.0;25.0;5.0;;;450.0;4.0;144.0
Dalfsen-G0148;41;21;1050.0;292.0;437.0;1380.0;78.0;91.0;70.0;8.0;50.0;7.0;5.0;24.0;;;;3.0;239.0
Dantumadeel-G0065;163;171;50.0;951.0;2020.0;1323.0;61.0;377.0;202.0;39.0;401.0;463.0;;95.0;;;;;546.0
De Bilt-G0310;59;202;828.0;1086.0;953.0;709.0;940.0;719.0;286.0;31.0;468.0;177.0;22.0;16.0;;;;5.0;517.0
De Lier-G0552;12;7;139.0;61.0;470.0;404.0;40.0;63.0;3.0;;29.0;3.0;1.0;3.0;5.0;;;1.0;
De Rijp-G0440;9;10;216.0;177.0;18.0;6.0;37.0;10.0;125.0;26.0;7.0;26.0;6.0;7.0;;;;;68.0
De Werken en Sleeuwijk-G1222;20;35;12.0;117.0;780.0;286.0;86.0;66.0;4.0;9.0;126.0;;3.0;;8.0;2.0;;;242.0
De Wijk-G0135;19;37;3.0;226.0;339.0;162.0;150.0;201.0;521.0;5.0;3.0;11.0;;;;;9.0;2.0;142.0
Deil-G0217;19;46;235.0;175.0;39.0;258.0;86.0;46.0;45.0;2.0;48.0;41.0;5.0;1.0;8.0;;;55.0;129.0
Delft-G0503;375;1152;6401.0;5859.0;2851.0;1561.0;1346.0;1246.0;303.0;871.0;1324.0;160.0;1312.0;263.0;264.0;;;34.0;1474.0
Delfzijl-G0010;92;177;109.0;1006.0;730.0;402.0;196.0;96.0;1136.0;392.0;;113.0;;205.0;27.0;;94.0;;472.0
Den Bommel-G1024;11;16;194.0;83.0;180.0;42.0;2.0;111.0;4.0;5.0;149.0;3.0;;1.0;2.0;;;;133.0
Den Dungen-G0768;2;0;827.0;;4.0;;;;1.0;;;;5.0;;;;;;69.0
Den Ham-G0159;55;90;193.0;186.0;928.0;890.0;125.0;93.0;23.0;14.0;45.0;120.0;4.0;69.0;13.0;;;235.0;255.0
Den Helder-G0400;351;1344;1854.0;3808.0;2623.0;705.0;951.0;774.0;2941.0;225.0;95.0;56.0;68.0;107.0;;52.0;;;1844.0
Denekamp-G0149;33;64;1955.0;91.0;26.0;103.0;355.0;21.0;14.0;9.0;3.0;54.0;36.0;4.0;;;;1.0;110.0
Deurne-G0762;63;74;4312.0;55.0;9.0;93.0;41.0;34.0;1.0;4.0;;;36.0;;;;;;275.0
Deventer-G0150;445;684;2837.0;5561.0;709.0;865.0;1259.0;1604.0;1996.0;707.0;59.0;305.0;278.0;2088.0;;;;39.0;1701.0
Didam-G0218;17;22;2453.0;69.0;3.0;44.0;71.0;5.0;15.0;;;1.0;5.0;;13.0;;;12.0;137.0
Diemen-G0384;70;99;574.0;416.0;279.0;298.0;314.0;81.0;50.0;112.0;2.0;63.0;13.0;81.0;;8.0;;;143.0
Diepenheim-G0151;26;40;63.0;289.0;44.0;125.0;112.0;117.0;104.0;4.0;3.0;3.0;5.0;5.0;;;;16.0;91.0
Diepenveen-G0152;54;69;900.0;638.0;110.0;518.0;275.0;172.0;235.0;24.0;11.0;19.0;22.0;17.0;;;;270.0;283.0
Diessen-G0763;4;4;626.0;3.0;5.0;7.0;;3.0;;;;;12.0;;;3.0;;;53.0
Diever-G0111;18;25;20.0;400.0;280.0;33.0;145.0;184.0;98.0;7.0;1.0;10.0;;2.0;;;52.0;;115.0
Dinteloord en Prinsenland-G0764;15;34;581.0;199.0;211.0;375.0;101.0;56.0;10.0;;100.0;;7.0;;;4.0;;;217.0
Dinther-G1044;12;3;769.0;2.0;6.0;21.0;4.0;1.0;1.0;;;;6.0;;;1.0;;;95.0
Dinxperlo-G0219;22;46;225.0;209.0;414.0;372.0;159.0;48.0;51.0;1.0;2.0;94.0;;1.0;;;;1.0;98.0
Dirksland-G0504;44;66;5.0;248.0;383.0;54.0;21.0;200.0;15.0;15.0;311.0;5.0;3.0;5.0;5.0;;;;177.0
Dodewaard-G0220;10;40;11.0;318.0;268.0;114.0;71.0;46.0;8.0;1.0;110.0;6.0;;1.0;4.0;;;8.0;89.0
Doesburg-G0221;41;78;783.0;553.0;115.0;345.0;176.0;105.0;59.0;14.0;14.0;11.0;112.0;2.0;4.0;;;9.0;159.0
Doetinchem-G0222;121;251;1917.0;1625.0;462.0;787.0;777.0;304.0;500.0;40.0;84.0;53.0;175.0;41.0;17.0;;;13.0;433.0
Dokkum-G0066;24;38;110.0;510.0;988.0;238.0;69.0;233.0;221.0;50.0;26.0;100.0;;10.0;;;;;168.0
Domburg-G0660;17;21;9.0;120.0;95.0;117.0;55.0;41.0;104.0;;115.0;;;;12.0;;;;62.0
Dongen-G0766;30;30;3684.0;54.0;47.0;82.0;51.0;16.0;5.0;;4.0;;95.0;;1.0;12.0;;;305.0
Doniawerstal-G0067;20;50;642.0;368.0;391.0;619.0;38.0;41.0;173.0;12.0;10.0;228.0;;1.0;42.0;;;;226.0
Doorn-G0315;23;59;58.0;360.0;412.0;566.0;237.0;282.0;57.0;1.0;156.0;5.0;7.0;1.0;;;;1.0;224.0
Doornspijk-G0223;81;77;5.0;183.0;565.0;552.0;29.0;66.0;7.0;3.0;247.0;97.0;3.0;3.0;91.0;;;16.0;175.0
Dordrecht-G0505;580;1593;2172.0;9442.0;3421.0;3495.0;1839.0;2879.0;730.0;253.0;1183.0;181.0;496.0;1240.0;56.0;;;37.0;2744.0
Dreischor-G1047;8;41;2.0;198.0;32.0;19.0;55.0;210.0;21.0;;14.0;;;;;;;;56.0
Dreumel-G0224;10;20;900.0;29.0;;35.0;139.0;24.0;3.0;;;;;;8.0;;;2.0;139.0
Driebergen-Rijsenburg-G0316;44;120;550.0;609.0;767.0;879.0;346.0;304.0;93.0;4.0;270.0;11.0;8.0;6.0;;;;5.0;372.0
Driel-G1248;22;41;1403.0;21.0;35.0;136.0;74.0;9.0;5.0;;37.0;2.0;2.0;;16.0;;;2.0;140.0
Driewegen-G0661;5;3;40.0;27.0;67.0;117.0;7.0;46.0;12.0;;15.0;;;;;;;;28.0
Drunen-G0767;38;18;1391.0;31.0;8.0;22.0;10.0;;2.0;2.0;3.0;;18.0;;4.0;3.0;;;137.0
Druten-G0225;24;33;2424.0;8.0;3.0;51.0;122.0;11.0;2.0;;2.0;;20.0;;20.0;;;1.0;180.0
Dubbeldam-G0507;62;129;32.0;524.0;361.0;404.0;142.0;436.0;24.0;13.0;203.0;7.0;13.0;5.0;4.0;;;11.0;176.0
Duiven-G0226;10;44;1499.0;9.0;13.0;39.0;58.0;3.0;10.0;;2.0;;1.0;;18.0;;;;103.0
Duivendijke-G1050;9;3;3.0;26.0;125.0;16.0;12.0;45.0;2.0;;11.0;;;;;;;;31.0
Dussen-G0769;25;27;932.0;65.0;293.0;80.0;16.0;56.0;15.0;4.0;41.0;;10.0;;14.0;5.0;;;215.0
Dwingeloo-G0112;12;12;6.0;306.0;223.0;51.0;245.0;316.0;217.0;12.0;1.0;10.0;;;;;9.0;10.0;115.0
Echt-G0902;63;102;3201.0;11.0;21.0;;581.0;;11.0;;;;16.0;;;54.0;;;164.0
Echteld-G0227;30;41;22.0;569.0;135.0;83.0;119.0;182.0;19.0;10.0;208.0;68.0;1.0;4.0;7.0;;;124.0;167.0
Edam-G1315;42;58;2150.0;491.0;143.0;118.0;215.0;154.0;310.0;18.0;10.0;18.0;93.0;12.0;;;;;308.0
Ede-G0228;187;615;558.0;1546.0;3060.0;2975.0;1125.0;994.0;277.0;109.0;2409.0;194.0;79.0;31.0;127.0;;;74.0;1024.0
Eede-G1052;33;21;295.0;;20.0;3.0;5.0;9.0;15.0;;2.0;;;;;;4.0;;
Eelde-G0113;39;86;13.0;668.0;51.0;29.0;289.0;162.0;227.0;55.0;;5.0;;3.0;;;90.0;3.0;179.0
Eemnes-G0317;6;29;433.0;23.0;133.0;41.0;22.0;9.0;15.0;4.0;107.0;4.0;6.0;8.0;;;;4.0;66.0
Eenrum-G0011;12;12;38.0;517.0;272.0;17.0;78.0;157.0;111.0;13.0;;130.0;;;1.0;;15.0;;73.0
Eersel-G0770;11;3;1158.0;4.0;1.0;12.0;5.0;1.0;1.0;1.0;;;7.0;;;;;;71.0
Eethen-G0771;7;20;48.0;35.0;763.0;54.0;13.0;50.0;7.0;2.0;58.0;;3.0;;56.0;2.0;;;186.0
Egmond aan Zee-G0386;61;66;184.0;533.0;56.0;98.0;103.0;158.0;67.0;15.0;1.0;6.0;14.0;23.0;;4.0;;;187.0
Egmond-Binnen-G0387;12;17;835.0;35.0;13.0;9.0;23.0;49.0;56.0;10.0;;;1.0;3.0;;2.0;;;69.0
Eibergen-G0229;30;67;1803.0;573.0;431.0;481.0;208.0;253.0;182.0;8.0;5.0;66.0;2.0;12.0;;;;93.0;240.0
Eijgelshoven-G0904;38;49;674.0;99.0;20.0;;274.0;;24.0;15.0;;;14.0;1.0;;68.0;;;49.0
Eijsden-G0905;36;75;1209.0;21.0;2.0;;300.0;;6.0;2.0;;;2.0;;;23.0;;;74.0
Eindhoven-G0772;779;1302;26881.0;5590.0;1253.0;1340.0;1730.0;466.0;931.0;538.0;;;1256.0;;;74.0;;;1816.0
Elburg-G0230;22;29;5.0;60.0;264.0;605.0;26.0;26.0;51.0;2.0;37.0;46.0;;4.0;25.0;;;3.0;110.0
Elkerzee-G1053;1;8;;45.0;81.0;61.0;25.0;48.0;12.0;;19.0;;;;;;;;40.0
Ellemeet-G1054;1;6;1.0;76.0;33.0;51.0;3.0;81.0;14.0;;10.0;;;;;;;;24.0
Ellewoutsdijk-G0663;22;20;5.0;72.0;28.0;77.0;13.0;56.0;22.0;;19.0;;;;;;;;4.0
Elsloo-G0903;37;53;851.0;3.0;19.0;;100.0;;3.0;1.0;;;11.0;;;7.0;;;85.0
Elst-G0231;31;88;2233.0;522.0;164.0;253.0;354.0;267.0;106.0;;78.0;17.0;40.0;;50.0;;;45.0;159.0
Emmen-G0114;744;1259;1922.0;3166.0;2522.0;1984.0;1560.0;572.0;912.0;611.0;;326.0;334.0;614.0;;;281.0;51.0;1130.0
Empel en Meerwijk-G0773;0;6;272.0;3.0;5.0;2.0;1.0;;3.0;2.0;;;6.0;;;1.0;;;30.0
Engelen-G0774;1;9;233.0;5.0;2.0;35.0;6.0;;2.0;1.0;;;2.0;;;1.0;;;419.0
Enkhuizen-G0388;103;225;517.0;1163.0;902.0;612.0;131.0;242.0;426.0;17.0;151.0;103.0;141.0;119.0;;;;;410.0
Enschede-G0153;1173;2590;6826.0;10226.0;2877.0;2240.0;4465.0;2157.0;2274.0;2423.0;209.0;2346.0;956.0;2374.0;;;;109.0;2252.0
Epe-G0232;97;176;671.0;1332.0;833.0;840.0;251.0;626.0;676.0;100.0;245.0;51.0;69.0;31.0;20.0;;;486.0;505.0
Ermelo-G0233;75;199;38.0;448.0;1825.0;2556.0;213.0;229.0;20.0;13.0;601.0;27.0;5.0;8.0;22.0;;;6.0;722.0
Erp-G0775;13;0;1319.0;5.0;1.0;1.0;10.0;;1.0;;;;4.0;;;;;;45.0
Esch-G0776;0;2;326.0;;;2.0;1.0;;;;;;1.0;;;;;;25.0
Escharen-G1057;13;2;627.0;1.0;3.0;;2.0;;;;;;;;;;;;42.0
Est en Opijnen-G0234;17;27;7.0;70.0;27.0;90.0;63.0;62.0;18.0;4.0;73.0;4.0;;1.0;1.0;;;35.0;81.0
Etten en Leur-G1251;106;145;3440.0;204.0;65.0;120.0;53.0;18.0;2.0;3.0;4.0;;74.0;;;12.0;;;349.0
Everdingen-G0508;12;16;80.0;40.0;63.0;38.0;18.0;28.0;8.0;5.0;143.0;2.0;;;8.0;;;6.0;77.0
Ewijk-G0235;9;8;1149.0;6.0;1.0;11.0;27.0;27.0;;;3.0;;93.0;;2.0;;;3.0;64.0
Ezinge-G0012;11;18;;215.0;342.0;31.0;58.0;93.0;136.0;1.0;;13.0;;3.0;2.0;;4.0;;48.0
Ferwerderadeel-G0068;105;25;2.0;453.0;2049.0;773.0;137.0;212.0;261.0;9.0;8.0;179.0;;16.0;;;;;349.0
Fijnaart en Heijningen-G0778;15;33;734.0;104.0;206.0;550.0;48.0;60.0;1.0;;46.0;;7.0;;212.0;6.0;;;154.0
Finsterwolde-G0013;76;142;4.0;173.0;45.0;63.0;74.0;225.0;162.0;473.0;;29.0;;53.0;19.0;;12.0;;176.0
Franeker-G0069;64;116;444.0;939.0;788.0;402.0;178.0;115.0;452.0;191.0;25.0;213.0;;25.0;20.0;;;;918.0
Franekeradeel-G0070;19;32;98.0;688.0;481.0;556.0;72.0;67.0;352.0;28.0;4.0;107.0;;8.0;8.0;;;;243.0
Gaasterland-G0071;21;54;561.0;112.0;573.0;1090.0;36.0;35.0;157.0;6.0;144.0;79.0;;1.0;15.0;;;;278.0
Gameren-G1058;7;44;11.0;134.0;196.0;278.0;15.0;3.0;13.0;;178.0;6.0;1.0;;3.0;;;12.0;136.0
Gassel-G1059;2;0;286.0;;;;2.0;;;;;;;;;;;;19.0
Gasselte-G0115;49;61;21.0;630.0;232.0;238.0;149.0;68.0;123.0;19.0;;11.0;1.0;18.0;;;18.0;10.0;151.0
Geertruidenberg-G0779;8;53;845.0;73.0;29.0;39.0;39.0;36.0;75.0;;2.0;;23.0;;2.0;1.0;;;103.0
Geervliet-G0509;7;20;2.0;136.0;30.0;68.0;82.0;98.0;10.0;3.0;45.0;4.0;;;2.0;;;;54.0
Geffen-G0780;3;9;679.0;14.0;8.0;2.0;4.0;3.0;3.0;1.0;;;34.0;;;1.0;;;83.0
Geldermalsen-G0236;50;110;22.0;628.0;204.0;308.0;150.0;125.0;60.0;21.0;253.0;61.0;4.0;;6.0;;;46.0;216.0
Geldrop-G0781;96;100;2880.0;306.0;56.0;149.0;109.0;9.0;16.0;11.0;;;77.0;;;4.0;;;242.0
Geleen-G0906;92;166;3163.0;355.0;227.0;;997.0;;23.0;85.0;;;26.0;6.0;;87.0;;;210.0
Gemert-G0782;43;49;2714.0;30.0;12.0;18.0;36.0;11.0;1.0;3.0;;;14.0;;;;;;153.0
Gendringen-G0237;44;58;3336.0;113.0;182.0;248.0;365.0;65.0;37.0;;10.0;25.0;10.0;;23.0;;;25.0;200.0
Gendt-G0238;7;14;1437.0;13.0;6.0;57.0;33.0;9.0;3.0;;1.0;1.0;4.0;;5.0;;;1.0;76.0
Genemuiden-G0154;25;46;1.0;205.0;411.0;189.0;63.0;15.0;21.0;;401.0;35.0;;2.0;;;;;323.0
Gennep-G0907;39;47;940.0;90.0;42.0;;114.0;;14.0;;;;183.0;;;19.0;;;119.0
Geulle-G0908;18;28;554.0;10.0;4.0;;52.0;;1.0;;;;4.0;;;5.0;;;60.0
Giessen-G0783;0;5;;4.0;116.0;27.0;6.0;15.0;1.0;;7.0;;;;7.0;;;;77.0
Giessendam-G1063;44;104;2.0;181.0;498.0;103.0;67.0;184.0;9.0;4.0;373.0;2.0;;17.0;129.0;;;7.0;378.0
Giessen-Nieuwkerk-G1062;6;24;3.0;28.0;207.0;63.0;15.0;53.0;10.0;1.0;65.0;;1.0;;9.0;;;2.0;52.0
Gieten-G0116;52;70;9.0;470.0;96.0;201.0;277.0;238.0;165.0;28.0;;3.0;1.0;7.0;;;20.0;8.0;128.0
Giethoorn-G0155;18;36;;477.0;30.0;161.0;57.0;154.0;71.0;82.0;7.0;40.0;2.0;1.0;12.0;;;;122.0
Gilze en Rijen-G0784;15;30;3320.0;16.0;1.0;15.0;54.0;1.0;1.0;3.0;;;138.0;;;2.0;;;141.0
Ginneken en Bavel-G1064;141;226;4212.0;529.0;147.0;260.0;342.0;242.0;109.0;10.0;10.0;;182.0;;;22.0;;;381.0
Goedereede-G0511;3;51;1.0;80.0;61.0;36.0;24.0;71.0;5.0;9.0;141.0;;3.0;4.0;2.0;;;;143.0
Goes-G0664;52;168;702.0;734.0;650.0;1335.0;269.0;698.0;116.0;;157.0;;;;;;;;315.0
Goirle-G0785;45;74;1858.0;63.0;12.0;16.0;13.0;25.0;4.0;5.0;3.0;;142.0;;;60.0;;;101.0
Goor-G0156;35;70;456.0;1048.0;61.0;107.0;163.0;63.0;102.0;11.0;7.0;50.0;5.0;51.0;;;;23.0;90.0
Gorinchem-G0512;105;338;747.0;1876.0;1338.0;369.0;492.0;1044.0;144.0;148.0;215.0;14.0;33.0;40.0;39.0;;;8.0;635.0
Gorssel-G0239;64;141;188.0;924.0;766.0;770.0;306.0;714.0;267.0;22.0;13.0;28.0;7.0;60.0;;;;11.0;331.0
Gouda-G0513;221;619;3082.0;4111.0;1711.0;954.0;903.0;1126.0;289.0;330.0;789.0;374.0;469.0;411.0;70.0;11.0;;9.0;919.0
Gouderak-G0514;14;17;14.0;175.0;141.0;20.0;68.0;191.0;10.0;1.0;181.0;5.0;2.0;6.0;5.0;1.0;;4.0;113.0
Goudriaan-G0515;9;11;;7.0;127.0;14.0;8.0;37.0;3.0;;73.0;;;;;;;1.0;35.0
Goudswaard-G0516;14;8;2.0;70.0;35.0;92.0;14.0;150.0;;3.0;272.0;1.0;;1.0;1.0;;;;100.0
Graauw en Langendam-G0665;7;51;463.0;12.0;12.0;5.0;10.0;3.0;9.0;;7.0;;;;;;314.0;;117.0
Grafhorst-G1065;1;24;7.0;60.0;17.0;10.0;6.0;4.0;1.0;2.0;194.0;1.0;;;;;;3.0;32.0
Graft-G0389;18;26;137.0;163.0;5.0;22.0;38.0;14.0;134.0;5.0;4.0;14.0;2.0;9.0;;;;;58.0
Gramsbergen-G0157;28;49;43.0;213.0;590.0;639.0;207.0;125.0;15.0;1.0;12.0;27.0;1.0;7.0;5.0;;;1.0;120.0
Grathem-G0909;12;6;654.0;;;;11.0;;;;;;;;;2.0;;;27.0
Grave-G0786;13;18;727.0;40.0;12.0;2.0;43.0;42.0;5.0;1.0;1.0;;15.0;;;;;;243.0
Grevenbicht-G0910;5;35;445.0;8.0;57.0;;202.0;;6.0;;;;2.0;;;10.0;;;57.0
Grijpskerk-G0016;7;21;2.0;171.0;980.0;118.0;121.0;125.0;176.0;5.0;;33.0;;1.0;2.0;;7.0;;108.0
Grijpskerke-G1067;2;2;1.0;2.0;271.0;94.0;4.0;4.0;;;59.0;;;;;;;;32.0
Groede-G0667;30;32;135.0;282.0;91.0;99.0;81.0;376.0;68.0;;8.0;;;;;;11.0;;107.0
Groenlo-G0240;18;14;1480.0;152.0;11.0;58.0;93.0;27.0;31.0;4.0;;2.0;3.0;2.0;;;;4.0;78.0
Groesbeek-G0241;119;211;2434.0;80.0;18.0;80.0;247.0;35.0;11.0;;2.0;3.0;9.0;;13.0;;;6.0;200.0
Groningen-G0014;986;2276;4129.0;15774.0;7367.0;4754.0;4728.0;3062.0;3856.0;2763.0;;1749.0;;783.0;510.0;;3434.0;;4819.0
Gronsveld-G0911;16;34;603.0;1.0;1.0;;109.0;;9.0;;;;;;;6.0;;;41.0
Groot-Ammers-G0520;9;23;3.0;43.0;243.0;26.0;28.0;106.0;22.0;2.0;244.0;;1.0;1.0;4.0;;;;110.0
Grootebroek-G0391;11;12;1418.0;118.0;7.0;1.0;2.0;51.0;70.0;;4.0;;81.0;10.0;;;;;77.0
Grootegast-G0015;53;62;1.0;248.0;1811.0;274.0;138.0;57.0;225.0;46.0;;486.0;;1.0;21.0;;2.0;;247.0
Grubbenvorst-G0912;10;5;1034.0;22.0;1.0;;16.0;;1.0;;;;8.0;;;4.0;;;35.0
Gulpen-G0913;16;59;997.0;11.0;17.0;;278.0;;5.0;2.0;;;5.0;;;24.0;;;72.0
Haaften-G0242;23;71;4.0;277.0;170.0;230.0;49.0;5.0;16.0;4.0;175.0;20.0;2.0;2.0;7.0;;;149.0;196.0
Haaksbergen-G0158;68;49;2501.0;547.0;70.0;57.0;186.0;40.0;320.0;9.0;17.0;7.0;134.0;10.0;;;;6.0;183.0
Haamstede-G1068;14;23;9.0;92.0;147.0;150.0;59.0;176.0;14.0;;64.0;;;;;;;;108.0
Haaren-G0788;9;16;954.0;4.0;1.0;;1.0;2.0;1.0;2.0;;;18.0;;;5.0;;;55.0
Haarlem-G0392;1972;3036;15413.0;18009.0;4974.0;3473.0;5988.0;2670.0;4807.0;3307.0;328.0;1092.0;1223.0;1262.0;;82.0;;;4235.0
Haarlemmerliede en Spaarnwoude-G0393;37;26;726.0;157.0;128.0;80.0;57.0;81.0;49.0;41.0;22.0;26.0;37.0;8.0;;1.0;;;63.0
Haarlemmermeer-G0394;387;355;2611.0;1914.0;2556.0;1666.0;978.0;275.0;439.0;487.0;306.0;601.0;158.0;244.0;;36.0;;;873.0
Haarzuilens-G1069;2;0;182.0;3.0;5.0;24.0;7.0;;;;2.0;;;;;;;;12.0
Haastrecht-G0521;10;14;379.0;137.0;145.0;42.0;83.0;145.0;24.0;4.0;51.0;11.0;10.0;4.0;2.0;1.0;;4.0;45.0
Haelen-G0914;6;13;494.0;;3.0;;28.0;;;;;;;;;5.0;;;38.0
Hagestein-G0522;9;7;136.0;24.0;31.0;72.0;16.0;9.0;;2.0;95.0;;3.0;;19.0;;;;35.0
Halsteren-G0789;90;145;2066.0;196.0;60.0;41.0;113.0;66.0;10.0;;3.0;;20.0;;;4.0;;;186.0
Haps-G0790;11;1;614.0;3.0;3.0;;16.0;2.0;;;;;5.0;;;;;;33.0
Harderwijk-G0243;80;92;143.0;325.0;765.0;1769.0;187.0;156.0;38.0;3.0;398.0;10.0;8.0;9.0;6.0;;;6.0;365.0
Hardinxveld-G1070;67;174;9.0;833.0;370.0;133.0;140.0;237.0;31.0;15.0;711.0;3.0;7.0;63.0;46.0;;;5.0;684.0
Haren-G0017;39;123;49.0;844.0;819.0;738.0;441.0;355.0;461.0;45.0;;200.0;;11.0;23.0;;69.0;;333.0
Harenkarspel-G0395;7;18;846.0;207.0;73.0;5.0;33.0;11.0;196.0;12.0;;3.0;11.0;37.0;;1.0;;;77.0
Harlingen-G0072;46;104;633.0;1677.0;692.0;1058.0;218.0;243.0;391.0;79.0;15.0;166.0;;131.0;8.0;;;;520.0
Harmelen-G0318;14;3;497.0;23.0;184.0;171.0;106.0;20.0;1.0;1.0;77.0;3.0;2.0;1.0;;;;;69.0
Haskerland-G0073;100;176;379.0;807.0;506.0;852.0;112.0;70.0;407.0;132.0;22.0;714.0;;9.0;351.0;;;;546.0
Hasselt-G0161;11;18;47.0;83.0;431.0;158.0;56.0;36.0;30.0;9.0;43.0;22.0;1.0;6.0;;;;4.0;253.0
Hattem-G0244;30;84;26.0;796.0;479.0;405.0;63.0;129.0;49.0;23.0;9.0;22.0;4.0;3.0;72.0;;;2.0;138.0
Havelte-G0117;25;50;19.0;430.0;76.0;74.0;241.0;649.0;160.0;38.0;;24.0;;2.0;;;14.0;1.0;148.0
Hazerswoude-G0524;10;36;757.0;53.0;575.0;451.0;55.0;27.0;5.0;6.0;114.0;1.0;11.0;4.0;20.0;;;2.0;122.0
Hedel-G0245;13;16;337.0;22.0;98.0;250.0;11.0;1.0;5.0;;66.0;2.0;;;4.0;;;13.0;90.0
Hedikhuizen-G1071;7;31;571.0;2.0;14.0;15.0;7.0;3.0;1.0;;1.0;;5.0;;;1.0;;;
Heel en Panheel-G0915;22;0;936.0;;2.0;;27.0;;;;;;2.0;;;4.0;;;59.0
Heemskerk-G0396;18;23;1420.0;137.0;17.0;77.0;124.0;12.0;55.0;35.0;;;6.0;17.0;;1.0;;;61.0
Heemstede-G0397;190;233;2531.0;604.0;794.0;701.0;1013.0;976.0;562.0;107.0;25.0;262.0;155.0;74.0;;12.0;;;629.0
Heenvliet-G0525;9;21;3.0;161.0;38.0;32.0;23.0;185.0;18.0;73.0;9.0;;4.0;1.0;;;;;108.0
Heer-G0916;66;144;1151.0;213.0;11.0;;331.0;;13.0;6.0;;;29.0;;;107.0;;;76.0
Heerde-G0246;98;118;13.0;951.0;861.0;1135.0;116.0;705.0;64.0;17.0;34.0;47.0;4.0;44.0;18.0;;;46.0;245.0
Heerenveen-G0074;141;426;294.0;2623.0;1160.0;824.0;343.0;261.0;1777.0;1449.0;38.0;815.0;;69.0;56.0;;;;1233.0
Heerewaarden-G0247;0;25;4.0;243.0;8.0;45.0;40.0;162.0;16.0;;6.0;12.0;1.0;;;;;;47.0
Heerhugowaard-G0398;10;24;1343.0;240.0;134.0;42.0;54.0;55.0;235.0;34.0;1.0;4.0;33.0;17.0;;;;;120.0
Heerjansdam-G0526;8;7;1.0;99.0;119.0;220.0;32.0;20.0;;6.0;63.0;;1.0;;3.0;;;;44.0
Heerlen-G0917;504;684;9135.0;2018.0;992.0;;2168.0;;149.0;525.0;;;700.0;80.0;;716.0;;;811.0
Heesch-G0791;16;14;1022.0;47.0;25.0;17.0;4.0;2.0;7.0;3.0;;;69.0;;;4.0;;;181.0
Heeswijk-G1072;2;6;616.0;;5.0;;2.0;;1.0;;;;4.0;;;;;;76.0
Heeze-G0793;30;19;1264.0;11.0;12.0;57.0;11.0;3.0;4.0;;;;4.0;;;;;;110.0
Hei- en Boeicop-G0527;12;11;2.0;12.0;93.0;21.0;2.0;10.0;6.0;;139.0;;;;10.0;;;1.0;33.0
Heiloo-G0399;49;82;1239.0;472.0;93.0;106.0;314.0;390.0;259.0;25.0;1.0;35.0;33.0;40.0;;;;;220.0
Heinenoord-G0528;12;28;18.0;118.0;221.0;151.0;83.0;109.0;20.0;8.0;165.0;;1.0;4.0;8.0;;;;117.0
Heinkenszand-G0672;17;17;427.0;3.0;123.0;197.0;44.0;53.0;7.0;;33.0;;;;;;;;71.0
Heino-G0162;5;16;676.0;131.0;97.0;325.0;42.0;21.0;34.0;;4.0;5.0;8.0;5.0;;;;1.0;72.0
