RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Rucphen-G0840;184;;692;5585.0;50.0;19.0;9.0;21.0;8.0;1.0;3.0;17.0;76.0
Ruinen-G0127;122;;1421;36.0;369.0;866.0;286.0;9.0;10.0;9.0;1.0;7.0;148.0
Ruinerwold-G0128;49;;520;6.0;350.0;621.0;132.0;4.0;2.0;23.0;;6.0;46.0
Ruurlo-G0278;80;;1142;681.0;159.0;666.0;185.0;7.0;2.0;;2.0;15.0;125.0
Ruwiel-G1164;1;;23;60.0;76.0;12.0;59.0;;94.0;2.0;;;12.0
Sas van Gent-G0704;64;;776;1079.0;23.0;129.0;37.0;12.0;6.0;1.0;1.0;7.0;81.0
Sassenheim-G0604;26;;516;2096.0;974.0;210.0;550.0;22.0;53.0;6.0;28.0;4.0;93.0
Schaesberg-G0960;154;;1668;4006.0;83.0;15.0;62.0;124.0;5.0;2.0;7.0;12.0;130.0
Schagen-G0441;36;;1095;693.0;94.0;557.0;90.0;110.0;2.0;1.0;3.0;4.0;139.0
Schaijk-G0843;9;;27;1965.0;1.0;6.0;;;;;4.0;4.0;28.0
Schalkwijk-G1169;8;;27;735.0;39.0;11.0;58.0;5.0;13.0;;2.0;;8.0
Scheemda-G0039;120;;1889;27.0;647.0;395.0;668.0;429.0;5.0;15.0;10.0;16.0;145.0
Schellinkhout-G0442;6;;175;14.0;6.0;89.0;9.0;7.0;;;;;14.0
Schelluinen-G0605;3;;105;1.0;34.0;53.0;4.0;1.0;59.0;;;;14.0
Schermerhorn-G0443;12;;216;248.0;101.0;23.0;17.0;9.0;1.0;;;;16.0
Scherpenisse-G0705;9;;241;2.0;44.0;50.0;88.0;1.0;315.0;1.0;1.0;;92.0
Scherpenzeel-G0279;9;;483;18.0;206.0;96.0;467.0;4.0;145.0;3.0;2.0;2.0;40.0
Schiedam-G0606;742;;17441;10804.0;3476.0;3087.0;3725.0;2168.0;684.0;400.0;169.0;111.0;1984.0
Schiermonnikoog-G0088;10;;230;32.0;175.0;58.0;70.0;8.0;2.0;30.0;1.0;2.0;
Schijndel-G0844;53;;413;5542.0;16.0;9.0;11.0;20.0;1.0;1.0;1.0;7.0;115.0
Schimmert-G0961;10;;36;1094.0;;;;1.0;;;;4.0;15.0
Schinnen-G0962;47;;207;2134.0;7.0;2.0;6.0;7.0;;2.0;1.0;2.0;33.0
Schinveld-G0963;62;;187;1668.0;14.0;3.0;10.0;13.0;1.0;1.0;4.0;6.0;46.0
Schipluiden-G0607;15;;123;1551.0;418.0;28.0;446.0;5.0;49.0;4.0;;3.0;57.0
Schoondijke-G0706;25;;377;250.0;194.0;209.0;101.0;1.0;23.0;9.0;4.0;2.0;58.0
Schoonebeek-G0129;67;;635;1031.0;420.0;141.0;597.0;13.0;4.0;6.0;;1.0;62.0
Schoonhoven-G0608;52;;1203;559.0;668.0;265.0;330.0;25.0;192.0;6.0;5.0;17.0;128.0
Schoonrewoerd-G0609;5;;104;2.0;200.0;28.0;87.0;;167.0;3.0;1.0;;48.0
Schoorl-G0444;28;;1147;633.0;119.0;362.0;69.0;152.0;1.0;1.0;16.0;19.0;
Serooskerke (Schouwen)-G1175;2;;84;2.0;10.0;13.0;25.0;1.0;5.0;1.0;1.0;;
Serooskerke (Walcheren)-G1176;13;;47;2.0;520.0;10.0;192.0;;92.0;20.0;1.0;;48.0
Sevenum-G0964;12;;16;2023.0;2.0;;;3.0;;;;;31.0
's-Graveland-G0390;17;;211;168.0;158.0;97.0;226.0;17.0;64.0;6.0;7.0;6.0;81.0
's-Gravendeel-G0517;41;;1113;16.0;710.0;301.0;601.0;8.0;254.0;1.0;3.0;27.0;143.0
's-Gravenhage-G0518;8091;;127935;66688.0;36476.0;49774.0;22479.0;17878.0;4384.0;857.0;8614.0;2139.0;24209.0
's-Gravenmoer-G0787;9;;108;24.0;387.0;44.0;185.0;2.0;29.0;8.0;1.0;2.0;37.0
's-Gravenpolder-G0666;12;;90;66.0;97.0;13.0;191.0;3.0;294.0;1.0;1.0;;54.0
's-Gravenzande-G0519;62;;1280;347.0;1113.0;569.0;1229.0;10.0;326.0;7.0;6.0;4.0;92.0
's-Heer Abtskerke-G0669;2;;36;40.0;7.0;27.0;117.0;1.0;14.0;;;;18.0
's-Heer Arendskerke-G0670;37;;453;529.0;567.0;128.0;720.0;2.0;143.0;6.0;6.0;3.0;159.0
's-Heerenhoek-G0671;10;;27;698.0;15.0;2.0;11.0;;;1.0;3.0;3.0;24.0
's-Hertogenbosch-G0796;648;;9043;21297.0;713.0;791.0;457.0;374.0;39.0;72.0;112.0;119.0;815.0
Sijbekarspel-G0447;4;;268;342.0;7.0;131.0;7.0;1.0;;;;1.0;15.0
Simpelveld-G0965;80;;240;2008.0;5.0;21.0;3.0;9.0;;;1.0;1.0;19.0
Sint Annaland-G0708;41;;434;10.0;142.0;89.0;103.0;6.0;623.0;2.0;2.0;11.0;226.0
Sint Geertruid-G0966;6;;11;538.0;;;;;;;1.0;;5.0
Sint Jansteen-G0709;91;;403;1523.0;8.0;15.0;11.0;10.0;4.0;4.0;3.0;7.0;61.0
Sint Laurens-G1179;5;;120;8.0;297.0;48.0;216.0;2.0;94.0;4.0;;;43.0
Sint Maarten-G0445;13;;255;160.0;144.0;108.0;4.0;32.0;;9.0;;1.0;30.0
Sint Maartensdijk-G0711;35;;698;7.0;101.0;104.0;141.0;5.0;390.0;;5.0;8.0;186.0
Sint Odiliënberg-G0967;16;;67;719.0;2.0;2.0;;3.0;;;;2.0;12.0
Sint Pancras-G0446;6;;300;27.0;178.0;126.0;230.0;18.0;25.0;4.0;1.0;3.0;47.0
Sint Philipsland-G0712;8;;176;3.0;154.0;30.0;186.0;4.0;657.0;;;1.0;127.0
Sint-Michielsgestel-G0845;57;;344;3189.0;8.0;10.0;26.0;17.0;2.0;1.0;;3.0;76.0
Sint-Oedenrode-G0846;58;;264;4331.0;12.0;27.0;18.0;28.0;1.0;1.0;3.0;1.0;69.0
Sittard-G0968;348;;3087;9548.0;160.0;158.0;87.0;55.0;8.0;6.0;36.0;23.0;301.0
Sleen-G0130;135;;1624;24.0;475.0;693.0;358.0;260.0;3.0;4.0;3.0;6.0;131.0
Slenaken-G0969;13;;46;251.0;8.0;2.0;11.0;1.0;;2.0;;;4.0
Sliedrecht-G0610;170;;3870;86.0;1149.0;740.0;982.0;189.0;1571.0;81.0;6.0;17.0;763.0
Slochteren-G0040;401;;3462;88.0;1099.0;1112.0;824.0;311.0;17.0;397.0;20.0;43.0;373.0
Sloten (F)-G0089;6;;111;63.0;85.0;11.0;151.0;2.0;9.0;;1.0;1.0;
Sluis-G0713;43;;435;658.0;33.0;98.0;94.0;2.0;4.0;2.0;2.0;1.0;55.0
Smallingerland-G0090;172;;5050;191.0;3322.0;682.0;928.0;555.0;45.0;368.0;8.0;41.0;327.0
Smilde-G0131;82;;1387;15.0;988.0;253.0;817.0;37.0;5.0;77.0;2.0;7.0;94.0
Sneek-G0091;187;;4021;1385.0;1983.0;867.0;1590.0;491.0;58.0;22.0;26.0;21.0;594.0
Snelrewaard-G0341;3;;16;177.0;34.0;15.0;39.0;;38.0;;;;15.0
