RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Aagtekerke-G1000;5;;28;11.0;46.0;12.0;121.0;1.0;197.0;1.0;;;10.0
Aalsmeer-G0358;125;;2498;1428.0;1002.0;888.0;1070.0;168.0;90.0;31.0;17.0;19.0;290.0
Aalten-G0197;145;;1449;1292.0;2799.0;354.0;1605.0;4.0;21.0;13.0;3.0;13.0;179.0
Aardenburg-G0648;89;;430;1189.0;118.0;143.0;62.0;2.0;7.0;;2.0;4.0;62.0
Aarle-Rixtel-G0739;33;;115;1473.0;18.0;7.0;23.0;;;1.0;;2.0;48.0
Abbekerk-G0359;4;;195;194.0;18.0;59.0;13.0;9.0;;;1.0;1.0;27.0
Abbenbroek-G0481;15;;218;3.0;33.0;122.0;12.0;23.0;3.0;;1.0;2.0;30.0
Abcoude-G0305;26;;345;793.0;308.0;165.0;448.0;13.0;67.0;;10.0;11.0;85.0
Achtkarspelen-G0059;129;;3019;43.0;3676.0;385.0;1348.0;344.0;80.0;283.0;6.0;20.0;362.0
Adorp-G0001;13;;257;1.0;328.0;118.0;51.0;;2.0;53.0;2.0;10.0;13.0
Aduard-G0002;12;;397;9.0;404.0;231.0;68.0;23.0;1.0;104.0;;3.0;30.0
Akersloot-G0360;8;;215;872.0;20.0;116.0;17.0;30.0;2.0;;2.0;1.0;32.0
Alblasserdam-G0482;97;;2379;158.0;612.0;559.0;1126.0;92.0;819.0;42.0;18.0;21.0;271.0
Alem, Maren en Kessel-G1007;7;;8;725.0;1.0;;4.0;;;;;;66.0
Alkemade-G0483;28;;108;3218.0;286.0;45.0;134.0;4.0;7.0;;12.0;;27.0
Alkmaar-G0361;321;;9018;7875.0;1269.0;2289.0;965.0;1224.0;41.0;38.0;80.0;36.0;878.0
Almelo-G0141;533;;11354;6195.0;2188.0;2376.0;1510.0;1871.0;146.0;96.0;127.0;30.0;790.0
Almkerk-G0740;14;;310;7.0;1412.0;33.0;530.0;1.0;46.0;84.0;2.0;;96.0
Alphen aan den Rijn-G0484;120;;2696;2418.0;2343.0;637.0;2826.0;119.0;532.0;32.0;39.0;18.0;390.0
Alphen en Riel-G0741;13;;39;1654.0;3.0;6.0;2.0;;;;1.0;3.0;
Ambt Delden-G0142;19;;389;1689.0;36.0;143.0;222.0;9.0;4.0;;;7.0;76.0
Amby-G0883;30;;229;1155.0;6.0;13.0;1.0;2.0;;;3.0;1.0;29.0
Ameide-G0485;17;;408;3.0;402.0;61.0;87.0;;75.0;;1.0;1.0;34.0
Ameland-G0060;11;;608;373.0;186.0;121.0;251.0;14.0;3.0;13.0;2.0;4.0;
Amerongen-G0306;50;;747;72.0;299.0;126.0;606.0;18.0;298.0;6.0;17.0;8.0;72.0
Amersfoort-G0307;705;;12602;8191.0;3343.0;3923.0;3729.0;1246.0;580.0;655.0;203.0;121.0;1964.0
Ammerstol-G0486;14;;479;1.0;11.0;61.0;10.0;94.0;18.0;;;;17.0
Ammerzoden-G0198;15;;129;1171.0;95.0;9.0;191.0;1.0;59.0;;;1.0;29.0
Amstenrade-G0884;46;;315;1122.0;34.0;6.0;13.0;11.0;2.0;2.0;1.0;5.0;33.0
Amsterdam-G0363;14565;;197577;83936.0;33384.0;56884.0;18460.0;92776.0;1376.0;1328.0;3745.0;2523.0;35328.0
Andel-G0742;10;;95;2.0;215.0;7.0;257.0;1.0;84.0;1.0;;;55.0
Andijk-G0364;22;;658;405.0;812.0;86.0;28.0;150.0;43.0;6.0;;13.0;88.0
Angerlo-G0199;21;;243;1001.0;48.0;63.0;314.0;1.0;5.0;;3.0;2.0;44.0
Ankeveen-G1014;9;;113;222.0;31.0;11.0;73.0;22.0;4.0;2.0;;1.0;11.0
Anloo-G0105;139;;2078;17.0;78.0;715.0;75.0;81.0;1.0;11.0;9.0;33.0;191.0
Anna Paulowna-G0366;37;;1346;1281.0;253.0;374.0;144.0;169.0;15.0;24.0;9.0;2.0;100.0
Apeldoorn-G0200;1254;;19532;6867.0;5899.0;6013.0;10306.0;1277.0;1243.0;138.0;252.0;207.0;2433.0
Appeltern-G0201;11;;66;1637.0;7.0;8.0;137.0;1.0;1.0;;;;97.0
Appingedam-G0003;130;;2183;129.0;936.0;514.0;820.0;318.0;6.0;40.0;10.0;30.0;261.0
Arcen en Velden-G0885;19;;134;2257.0;14.0;29.0;6.0;2.0;;;9.0;5.0;
Arkel-G0487;19;;498;22.0;116.0;196.0;58.0;4.0;35.0;1.0;9.0;1.0;50.0
Arnemuiden-G0649;14;;398;7.0;242.0;27.0;235.0;4.0;517.0;2.0;2.0;2.0;78.0
Arnhem-G0202;1324;;26686;19195.0;4481.0;6497.0;4839.0;1965.0;284.0;127.0;382.0;312.0;2759.0
Asperen-G0488;11;;269;9.0;238.0;97.0;162.0;3.0;170.0;6.0;;2.0;38.0
Assen-G0106;375;;6824;591.0;1996.0;1897.0;1154.0;456.0;19.0;519.0;131.0;59.0;1172.0
Assendelft-G0367;56;;1194;1570.0;111.0;201.0;40.0;593.0;42.0;26.0;2.0;10.0;104.0
Asten-G0743;29;;115;3846.0;5.0;21.0;32.0;6.0;;;2.0;1.0;69.0
Avenhorn-G0368;5;;295;431.0;6.0;80.0;14.0;9.0;;;;4.0;11.0
Avereest-G0143;76;;1594;619.0;1285.0;504.0;1860.0;15.0;41.0;31.0;3.0;11.0;467.0
Axel-G0650;75;;1047;833.0;738.0;245.0;726.0;10.0;200.0;411.0;9.0;21.0;169.0
Baarderadeel-G0061;25;;1458;124.0;418.0;523.0;299.0;24.0;8.0;;6.0;26.0;143.0
Baarland-G0651;10;;103;110.0;83.0;24.0;101.0;6.0;35.0;;1.0;2.0;7.0
Baarle-Nassau-G0744;16;;49;1848.0;9.0;6.0;8.0;4.0;2.0;;;2.0;47.0
Baarn-G0308;238;;3607;1899.0;1894.0;1622.0;964.0;180.0;285.0;81.0;101.0;38.0;571.0
Baexem-G0886;4;;5;695.0;1.0;;;;;;;1.0;
Baflo-G0004;18;;596;9.0;734.0;212.0;62.0;16.0;3.0;36.0;3.0;7.0;49.0
Bakel en Milheeze-G0745;21;;73;2306.0;6.0;10.0;9.0;2.0;;;1.0;1.0;
Barendrecht-G0489;48;;1041;69.0;1469.0;459.0;605.0;18.0;328.0;41.0;7.0;8.0;184.0
Barneveld-G0203;130;;2008;685.0;2156.0;457.0;3488.0;60.0;1970.0;72.0;20.0;73.0;279.0
Barradeel-G0062;37;;1305;31.0;1212.0;267.0;1189.0;33.0;8.0;35.0;2.0;18.0;113.0
Barsingerhorn-G0369;22;;618;64.0;48.0;192.0;28.0;120.0;5.0;3.0;2.0;1.0;62.0
Barwoutswaarder-G1017;5;;65;85.0;104.0;7.0;145.0;3.0;40.0;;;2.0;9.0
Batenburg-G0204;6;;7;244.0;7.0;6.0;32.0;;;;2.0;2.0;9.0
Bathmen-G0144;22;;485;25.0;20.0;466.0;294.0;7.0;1.0;1.0;3.0;8.0;45.0
Bedum-G0005;31;;1074;173.0;1744.0;373.0;134.0;18.0;10.0;437.0;4.0;12.0;115.0
Beegden-G0887;4;;12;563.0;2.0;;;;;;;;10.0
Beek-G0888;119;;584;3928.0;16.0;32.0;17.0;11.0;;5.0;13.0;11.0;59.0
Beek en Donk-G0746;26;;96;2148.0;5.0;13.0;6.0;3.0;2.0;;;2.0;41.0
Beemster-G0370;41;;1420;1002.0;150.0;617.0;95.0;147.0;10.0;;3.0;5.0;85.0
Beers-G0747;6;;6;1074.0;;;;;;;;1.0;16.0
Beerta-G0006;71;;898;13.0;45.0;275.0;78.0;828.0;4.0;2.0;4.0;3.0;114.0
Beesd-G0205;27;;414;702.0;69.0;58.0;293.0;9.0;82.0;7.0;;1.0;45.0
Beesel-G0889;37;;187;3252.0;9.0;10.0;3.0;5.0;;;;9.0;28.0
Beets-G0371;4;;199;4.0;12.0;81.0;13.0;3.0;;1.0;;;8.0
Beilen-G0107;128;;2242;77.0;1227.0;709.0;1054.0;63.0;4.0;115.0;7.0;9.0;350.0
Belfeld-G0890;20;;60;1442.0;2.0;;;3.0;;;1.0;1.0;26.0
Bellingwolde-G1019;84;;2121;49.0;195.0;418.0;239.0;501.0;5.0;4.0;6.0;14.0;219.0
Bemelen-G0891;1;;10;164.0;;1.0;;2.0;;;;;1.0
Bemmel-G0206;58;;257;4315.0;22.0;39.0;221.0;7.0;7.0;1.0;1.0;3.0;97.0
Bennebroek-G0372;24;;287;680.0;297.0;299.0;130.0;24.0;8.0;10.0;16.0;8.0;669.0
Benschop-G0309;9;;147;372.0;230.0;75.0;173.0;2.0;156.0;;2.0;;51.0
Benthuizen-G0490;9;;139;13.0;81.0;47.0;101.0;2.0;289.0;1.0;2.0;2.0;37.0
Berg en Terblijt-G0892;10;;97;1198.0;9.0;28.0;11.0;3.0;1.0;;25.0;7.0;
Bergambacht-G0491;28;;870;9.0;407.0;310.0;153.0;53.0;431.0;2.0;4.0;12.0;100.0
Bergen-G0373;81;;1890;1967.0;283.0;1126.0;175.0;146.0;9.0;11.0;16.0;29.0;363.0
Bergen-G0893;56;;210;4361.0;13.0;8.0;5.0;4.0;;2.0;;4.0;47.0
Bergen op Zoom-G0748;420;;3783;10615.0;696.0;602.0;354.0;123.0;49.0;12.0;63.0;70.0;775.0
Bergeyk-G0749;19;;88;2275.0;16.0;17.0;51.0;2.0;;1.0;4.0;1.0;20.0
Bergh-G0207;139;;769;5957.0;50.0;99.0;90.0;16.0;10.0;3.0;5.0;10.0;
Bergharen-G0208;4;;44;821.0;11.0;4.0;88.0;;2.0;;;;33.0
Berghem-G0750;50;;161;1481.0;2.0;5.0;2.0;1.0;;;1.0;4.0;37.0
Bergschenhoek-G0492;36;;321;476.0;212.0;88.0;570.0;14.0;107.0;35.0;;2.0;67.0
Berkel en Rodenrijs-G0493;15;;119;1517.0;353.0;48.0;700.0;;30.0;272.0;4.0;7.0;59.0
Berkel-Enschot-G0751;19;;91;1576.0;5.0;15.0;26.0;3.0;;;2.0;;
Berkenwoude-G0494;4;;118;5.0;78.0;173.0;21.0;5.0;121.0;;;3.0;36.0
Berkhout-G0374;5;;584;1007.0;35.0;144.0;15.0;21.0;3.0;;;;30.0
Berlicum-G0752;27;;169;2191.0;16.0;4.0;13.0;2.0;2.0;;4.0;6.0;55.0
Best-G0753;48;;469;3825.0;20.0;30.0;20.0;8.0;1.0;4.0;14.0;3.0;90.0
Beuningen-G0209;51;;185;1777.0;8.0;13.0;66.0;7.0;3.0;1.0;1.0;6.0;89.0
Beusichem-G0210;12;;474;54.0;50.0;190.0;138.0;10.0;65.0;;;3.0;43.0
Beverwijk-G0375;360;;5589;7142.0;880.0;1072.0;670.0;1575.0;44.0;45.0;74.0;33.0;196.0
Bierum-G0008;28;;652;5.0;888.0;192.0;632.0;14.0;10.0;13.0;7.0;5.0;92.0
Biervliet-G0652;23;;443;393.0;38.0;115.0;109.0;2.0;33.0;4.0;2.0;1.0;78.0
Biggekerke-G1022;8;;78;4.0;140.0;19.0;145.0;;78.0;2.0;2.0;;6.0
Bingelrade-G0894;2;;10;356.0;;;;1.0;1.0;;;;0.0
Bladel en Netersel-G0754;19;;21;1819.0;3.0;4.0;34.0;2.0;2.0;1.0;;;29.0
Blankenham-G0145;4;;115;18.0;1.0;107.0;57.0;;1.0;1.0;;;11.0
Blaricum-G0376;87;;693;1081.0;196.0;779.0;131.0;108.0;18.0;4.0;29.0;5.0;303.0
Bleiswijk-G0495;13;;218;461.0;267.0;126.0;280.0;2.0;140.0;2.0;2.0;3.0;46.0
Bleskensgraaf en Hofwegen-G0496;5;;128;1.0;196.0;38.0;51.0;;246.0;4.0;1.0;3.0;85.0
Bloemendaal-G0377;159;;2403;2692.0;1124.0;3256.0;665.0;92.0;33.0;16.0;176.0;40.0;1933.0
Blokker-G0378;12;;221;1049.0;17.0;148.0;7.0;1.0;;;;1.0;43.0
Blokzijl-G0146;12;;344;10.0;155.0;57.0;129.0;7.0;7.0;13.0;2.0;1.0;24.0
Bocholtz-G0895;61;;294;1665.0;3.0;4.0;3.0;21.0;;;1.0;1.0;33.0
Bodegraven-G0497;33;;740;880.0;1166.0;230.0;619.0;16.0;302.0;21.0;6.0;9.0;137.0
Boekel-G0755;19;;53;2455.0;3.0;6.0;;1.0;1.0;;;4.0;91.0
Bolsward-G0064;52;;1291;1391.0;591.0;177.0;509.0;41.0;9.0;2.0;17.0;4.0;217.0
Borculo-G0211;82;;1724;484.0;284.0;802.0;429.0;26.0;4.0;4.0;3.0;13.0;148.0
Borger-G0108;162;;2909;93.0;636.0;848.0;791.0;186.0;6.0;39.0;2.0;10.0;191.0
Borgharen-G0896;29;;83;550.0;2.0;1.0;;1.0;;;;;12.0
Born-G0897;24;;190;1826.0;2.0;9.0;1.0;6.0;;;;2.0;43.0
Borne-G0147;75;;1800;4059.0;236.0;221.0;453.0;174.0;13.0;5.0;11.0;8.0;130.0
Borsele-G0654;9;;160;133.0;76.0;52.0;144.0;;231.0;2.0;3.0;5.0;51.0
Boskoop-G0499;61;;1081;1090.0;1048.0;624.0;628.0;27.0;232.0;6.0;5.0;19.0;205.0
Bovenkarspel-G0379;10;;249;1350.0;20.0;78.0;11.0;9.0;4.0;;1.0;1.0;36.0
Boxmeer-G0756;41;;460;3602.0;9.0;17.0;34.0;10.0;3.0;;10.0;1.0;125.0
Boxtel-G0757;132;;921;6145.0;61.0;87.0;36.0;25.0;2.0;1.0;12.0;13.0;201.0
Brakel-G0212;63;;874;13.0;372.0;50.0;257.0;11.0;925.0;6.0;;7.0;309.0
Brandwijk-G0500;3;;81;1.0;190.0;75.0;48.0;1.0;108.0;2.0;;2.0;41.0
Breda-G0758;1178;;13948;32002.0;1428.0;2889.0;1186.0;456.0;99.0;51.0;283.0;142.0;1434.0
Breskens-G0655;58;;1063;192.0;109.0;251.0;340.0;31.0;19.0;2.0;4.0;1.0;152.0
Breukelen-G0311;40;;591;732.0;525.0;297.0;637.0;28.0;223.0;73.0;9.0;4.0;108.0
Brielle-G0501;32;;980;192.0;211.0;363.0;322.0;33.0;8.0;;6.0;10.0;107.0
Broek in Waterland-G0380;16;;447;35.0;77.0;214.0;169.0;38.0;8.0;1.0;2.0;6.0;27.0
Broekhuizen-G0898;1;;8;577.0;;;;;;;1.0;;5.0
Brouwershaven-G0656;10;;361;24.0;154.0;113.0;32.0;3.0;23.0;25.0;;4.0;
Bruinisse-G0657;29;;413;13.0;162.0;223.0;196.0;3.0;311.0;;;2.0;97.0
Brummen-G0213;116;;4077;565.0;425.0;849.0;1159.0;92.0;43.0;13.0;14.0;23.0;108.0
Brunssum-G0899;254;;3253;6811.0;271.0;47.0;188.0;313.0;10.0;40.0;8.0;15.0;208.0
Budel-G0759;37;;217;3144.0;19.0;18.0;18.0;8.0;2.0;3.0;3.0;1.0;84.0
Bunde-G0900;14;;110;1030.0;2.0;6.0;1.0;3.0;;;;2.0;4.0
Bunnik-G0312;15;;298;811.0;123.0;65.0;213.0;2.0;54.0;2.0;6.0;;42.0
Bunschoten-G0313;53;;289;16.0;2031.0;15.0;77.0;3.0;98.0;1248.0;8.0;6.0;114.0
Buren-G0214;15;;565;58.0;93.0;103.0;281.0;8.0;63.0;;1.0;10.0;46.0
Burgh-G1035;6;;200;5.0;45.0;78.0;97.0;1.0;14.0;;1.0;;6.0
Bussum-G0381;445;;5818;5819.0;2308.0;3735.0;1516.0;745.0;270.0;81.0;235.0;59.0;1260.0
Buurmalsen-G0215;24;;524;49.0;137.0;85.0;287.0;2.0;134.0;3.0;1.0;2.0;75.0
Cadier en Keer-G0901;16;;36;656.0;1.0;4.0;;4.0;;;8.0;4.0;16.0
Cadzand-G0658;14;;315;24.0;33.0;128.0;116.0;3.0;9.0;1.0;1.0;1.0;
Callantsoog-G0382;10;;351;108.0;40.0;148.0;28.0;45.0;2.0;;1.0;1.0;
Capelle aan den IJssel-G0502;103;;1867;85.0;482.0;374.0;740.0;62.0;832.0;115.0;12.0;9.0;385.0
Castricum-G0383;61;;1669;2971.0;302.0;459.0;123.0;240.0;7.0;9.0;7.0;4.0;450.0
Chaam-G0760;15;;68;1166.0;12.0;3.0;39.0;2.0;;;;1.0;15.0
Clinge-G0659;50;;263;1354.0;4.0;3.0;3.0;7.0;2.0;2.0;2.0;8.0;61.0
Coevorden-G0109;84;;1800;1192.0;600.0;485.0;597.0;27.0;6.0;11.0;11.0;5.0;196.0
Cothen-G0314;1;;31;493.0;12.0;12.0;54.0;;17.0;;2.0;1.0;2.0
Cuijk en Sint Agatha-G0761;44;;240;2858.0;11.0;42.0;12.0;4.0;;2.0;1.0;2.0;59.0
Culemborg-G0216;92;;2536;2529.0;320.0;555.0;314.0;190.0;172.0;30.0;10.0;7.0;163.0
Dalen-G0110;84;;1017;256.0;110.0;687.0;166.0;14.0;4.0;2.0;2.0;4.0;121.0
Dalfsen-G0148;41;;681;1533.0;355.0;186.0;1878.0;5.0;59.0;266.0;8.0;8.0;122.0
Dantumadeel-G0065;132;;2180;81.0;2555.0;394.0;1606.0;159.0;577.0;244.0;18.0;13.0;499.0
De Bilt-G0310;234;;3559;2224.0;1822.0;2531.0;1214.0;118.0;299.0;63.0;125.0;47.0;628.0
De Lier-G0552;17;;202;356.0;761.0;128.0;690.0;4.0;34.0;23.0;3.0;5.0;20.0
De Rijp-G0440;4;;315;415.0;7.0;54.0;6.0;45.0;5.0;;;;20.0
De Wijk-G0135;59;;830;17.0;397.0;564.0;272.0;18.0;4.0;14.0;6.0;4.0;77.0
Deil-G0217;21;;537;236.0;77.0;84.0;330.0;14.0;57.0;1.0;2.0;18.0;63.0
Delft-G0503;725;;13897;10677.0;3690.0;2952.0;2445.0;2006.0;1036.0;134.0;168.0;145.0;2300.0
Delfzijl-G0010;241;;2925;182.0;913.0;928.0;646.0;765.0;17.0;56.0;7.0;19.0;703.0
Den Bommel-G1024;10;;214;257.0;202.0;52.0;187.0;4.0;117.0;;;;64.0
Den Dungen-G0768;6;;52;1236.0;;4.0;;;;;;2.0;34.0
Den Ham-G0159;89;;1096;360.0;1289.0;137.0;1772.0;108.0;34.0;127.0;1.0;3.0;138.0
Den Helder-G0400;406;;11265;3539.0;3174.0;2803.0;1108.0;463.0;160.0;173.0;135.0;63.0;1372.0
Denekamp-G0149;44;;306;3569.0;68.0;34.0;223.0;27.0;1.0;6.0;6.0;2.0;69.0
Deurne-G0762;113;;303;7520.0;21.0;22.0;164.0;12.0;2.0;4.0;19.0;17.0;279.0
Deventer-G0150;517;;13590;5741.0;1536.0;3270.0;1439.0;3075.0;112.0;66.0;116.0;130.0;1633.0
Didam-G0218;61;;258;3928.0;23.0;12.0;43.0;5.0;2.0;;2.0;5.0;59.0
Diemen-G0384;85;;1073;959.0;373.0;352.0;404.0;178.0;22.0;6.0;21.0;9.0;178.0
Diepenheim-G0151;36;;698;110.0;43.0;248.0;118.0;11.0;6.0;4.0;1.0;10.0;60.0
Diepenveen-G0152;59;;1435;1568.0;199.0;895.0;608.0;43.0;11.0;6.0;13.0;28.0;172.0
Diessen-G0763;2;;25;1035.0;6.0;;7.0;;;;;;7.0
Diever-G0111;40;;817;44.0;349.0;392.0;72.0;5.0;1.0;9.0;5.0;3.0;33.0
Dinteloord en Prinsenland-G0764;27;;457;928.0;285.0;103.0;369.0;13.0;207.0;;2.0;5.0;133.0
Dinther-G1044;4;;34;1231.0;1.0;1.0;20.0;1.0;;;;;25.0
Dinxperlo-G0219;91;;551;467.0;361.0;109.0;916.0;5.0;5.0;;;3.0;66.0
Dirksland-G0504;38;;491;25.0;492.0;226.0;70.0;6.0;393.0;2.0;;;111.0
Dodewaard-G0220;30;;638;21.0;255.0;102.0;229.0;1.0;184.0;;2.0;4.0;51.0
Doesburg-G0221;35;;1373;1382.0;213.0;168.0;335.0;46.0;14.0;4.0;7.0;8.0;77.0
Doetinchem-G0222;230;;4798;4295.0;637.0;1064.0;1290.0;169.0;143.0;21.0;37.0;23.0;482.0
Dokkum-G0066;16;;1095;154.0;1486.0;191.0;431.0;14.0;44.0;11.0;10.0;1.0;92.0
Domburg-G0660;8;;407;38.0;101.0;112.0;197.0;4.0;118.0;;2.0;1.0;
Dongen-G0766;66;;386;5895.0;51.0;32.0;104.0;9.0;10.0;2.0;4.0;10.0;123.0
Doniawerstal-G0067;27;;931;806.0;517.0;178.0;783.0;14.0;19.0;4.0;;6.0;114.0
Doorn-G0315;80;;1411;331.0;738.0;783.0;744.0;30.0;190.0;20.0;34.0;10.0;175.0
Doornspijk-G0223;45;;642;79.0;676.0;104.0;650.0;17.0;1249.0;5.0;8.0;23.0;127.0
Dordrecht-G0505;951;;20151;4877.0;5498.0;4412.0;3575.0;1856.0;1109.0;124.0;199.0;112.0;3362.0
Dreischor-G1047;16;;323;11.0;35.0;145.0;65.0;1.0;13.0;1.0;5.0;3.0;21.0
Dreumel-G0224;12;;185;1260.0;11.0;8.0;22.0;2.0;2.0;;4.0;1.0;84.0
Driebergen-Rijsenburg-G0316;113;;2193;1117.0;1427.0;988.0;1075.0;47.0;382.0;59.0;71.0;25.0;255.0
Driewegen-G0661;5;;118;53.0;59.0;41.0;94.0;1.0;14.0;;;1.0;11.0
Drunen-G0767;31;;153;2868.0;18.0;31.0;33.0;7.0;9.0;1.0;10.0;4.0;49.0
Druten-G0225;41;;284;3685.0;23.0;25.0;86.0;9.0;4.0;1.0;9.0;9.0;92.0
Dubbeldam-G0507;60;;1077;46.0;485.0;508.0;676.0;26.0;135.0;19.0;4.0;4.0;173.0
Duiven-G0226;24;;98;2226.0;28.0;3.0;45.0;;2.0;;1.0;1.0;32.0
Duivendijke-G1050;4;;67;8.0;89.0;19.0;27.0;;10.0;;;;7.0
Dussen-G0769;22;;165;1407.0;278.0;23.0;221.0;2.0;116.0;2.0;1.0;1.0;99.0
Dwingeloo-G0112;37;;1007;10.0;292.0;467.0;81.0;2.0;3.0;;3.0;4.0;80.0
Echt-G0902;118;;749;5984.0;17.0;12.0;8.0;26.0;3.0;1.0;5.0;12.0;108.0
Echteld-G0227;23;;1179;42.0;241.0;155.0;289.0;6.0;281.0;;2.0;1.0;58.0
Edam-Volendam-G0385;37;;910;4311.0;163.0;405.0;181.0;78.0;8.0;1.0;13.0;10.0;77.0
Ede-G0228;485;;7509;2101.0;5205.0;2124.0;5999.0;206.0;4665.0;70.0;156.0;179.0;670.0
Eelde-G0113;94;;1633;125.0;118.0;739.0;104.0;61.0;1.0;9.0;11.0;37.0;102.0
Eemnes-G0317;23;;207;587.0;217.0;45.0;109.0;32.0;61.0;;4.0;1.0;50.0
Eenrum-G0011;22;;839;49.0;162.0;274.0;27.0;25.0;;139.0;2.0;5.0;51.0
Eersel-G0770;8;;17;2157.0;;6.0;20.0;;;;;;18.0
Eethen-G0771;14;;301;52.0;511.0;65.0;365.0;3.0;240.0;4.0;2.0;;103.0
Egmond aan Zee-G0386;44;;1727;336.0;174.0;231.0;122.0;127.0;6.0;3.0;11.0;4.0;
Egmond-Binnen-G0387;9;;221;1392.0;22.0;70.0;22.0;23.0;;;4.0;1.0;
Eibergen-G0229;54;;1850;2869.0;449.0;380.0;803.0;10.0;1.0;15.0;8.0;2.0;257.0
Eijgelshoven-G0904;98;;735;1786.0;12.0;17.0;27.0;58.0;;2.0;7.0;10.0;81.0
Eijsden-G0905;74;;183;2255.0;8.0;11.0;13.0;5.0;4.0;2.0;4.0;9.0;42.0
Eindhoven-G0772;1545;;21458;48415.0;2597.0;3359.0;1483.0;846.0;123.0;132.0;182.0;174.0;2438.0
Elburg-G0230;40;;374;38.0;315.0;30.0;542.0;2.0;351.0;2.0;;3.0;84.0
Elkerzee-G1053;3;;91;5.0;94.0;29.0;55.0;;22.0;;;;22.0
Ellemeet-G1054;3;;136;15.0;32.0;31.0;48.0;3.0;8.0;;;2.0;
Ellewoutsdijk-G0663;6;;150;5.0;18.0;28.0;69.0;1.0;8.0;;;;10.0
Elsloo-G0903;68;;223;1794.0;6.0;7.0;5.0;2.0;3.0;;2.0;4.0;5.0
Elst-G0231;54;;1241;3692.0;284.0;261.0;611.0;12.0;59.0;2.0;15.0;14.0;199.0
Elten-G1055;29;;133;335.0;26.0;2.0;13.0;3.0;;;2.0;2.0;23.0
Emmen-G0114;1571;;11602;5390.0;4066.0;2261.0;3596.0;2086.0;40.0;142.0;31.0;36.0;1392.0
Empel en Meerwijk-G0773;4;;21;480.0;2.0;;;;;;;;11.0
Engelen-G0774;3;;58;340.0;1.0;;8.0;1.0;;;;;46.0
Enkhuizen-G0388;94;;2459;842.0;1185.0;497.0;672.0;124.0;191.0;25.0;5.0;3.0;177.0
Enschede-G0153;1989;;24890;15103.0;3905.0;6374.0;4552.0;7156.0;224.0;1454.0;124.0;146.0;2475.0
Epe-G0232;187;;5119;1208.0;1198.0;1355.0;1876.0;88.0;426.0;18.0;29.0;23.0;41.0
Ermelo-G0233;171;;2473;509.0;3029.0;789.0;3733.0;95.0;2109.0;157.0;86.0;70.0;
Erp-G0775;7;;30;1885.0;;2.0;1.0;2.0;;;;;20.0
Esch-G0776;2;;24;452.0;;1.0;3.0;1.0;;;;;13.0
Est en Opijnen-G0234;18;;324;3.0;23.0;78.0;95.0;;83.0;;1.0;;29.0
Etten-Leur-G0777;114;;668;5357.0;42.0;34.0;139.0;13.0;4.0;;9.0;9.0;122.0
Everdingen-G0508;6;;114;84.0;124.0;80.0;68.0;1.0;145.0;1.0;2.0;1.0;29.0
Ewijk-G0235;21;;135;1575.0;;1.0;41.0;4.0;;;1.0;;46.0
Ezinge-G0012;9;;452;7.0;397.0;198.0;34.0;4.0;;11.0;2.0;3.0;18.0
Ferwerderadeel-G0068;41;;1076;15.0;2301.0;313.0;877.0;20.0;2.0;178.0;4.0;10.0;159.0
Fijnaart en Heijningen-G0778;27;;325;1163.0;276.0;49.0;730.0;5.0;50.0;;1.0;7.0;92.0
Finsterwolde-G0013;85;;590;13.0;44.0;183.0;68.0;965.0;1.0;2.0;3.0;6.0;92.0
Franeker-G0069;66;;1789;542.0;1105.0;440.0;449.0;174.0;20.0;12.0;4.0;15.0;800.0
Franekeradeel-G0070;29;;1133;130.0;547.0;245.0;561.0;28.0;4.0;28.0;12.0;16.0;123.0
Gaasterland-G0071;26;;550;762.0;709.0;122.0;1195.0;14.0;161.0;;;11.0;107.0
Gasselte-G0115;83;;1041;24.0;262.0;297.0;215.0;183.0;;2.0;1.0;4.0;99.0
Geertruidenberg-G0779;53;;339;1643.0;56.0;49.0;83.0;9.0;7.0;1.0;6.0;11.0;127.0
Geervliet-G0509;7;;323;3.0;76.0;109.0;104.0;13.0;43.0;;1.0;2.0;23.0
Geffen-G0780;14;;80;1193.0;2.0;4.0;;1.0;;;;;12.0
Geldermalsen-G0236;54;;1678;87.0;266.0;260.0;654.0;22.0;352.0;6.0;3.0;11.0;163.0
Geldrop-G0781;174;;1838;5590.0;194.0;226.0;123.0;52.0;10.0;5.0;13.0;27.0;224.0
Geleen-G0906;252;;2987;8577.0;353.0;198.0;115.0;157.0;16.0;6.0;13.0;39.0;182.0
Gemert-G0782;95;;414;4585.0;70.0;28.0;32.0;20.0;2.0;;22.0;10.0;142.0
Gendringen-G0237;43;;618;5520.0;229.0;75.0;414.0;11.0;5.0;3.0;3.0;2.0;94.0
Gendt-G0238;9;;58;2116.0;14.0;5.0;77.0;;9.0;;;1.0;41.0
Genemuiden-G0154;11;;517;4.0;461.0;55.0;383.0;;668.0;23.0;;1.0;241.0
Gennep-G0907;31;;278;1933.0;17.0;29.0;21.0;4.0;2.0;;15.0;4.0;65.0
Geulle-G0908;32;;81;920.0;5.0;4.0;;4.0;;;3.0;1.0;37.0
