RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Boeren Partij;D66;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);SGP;Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond;@abs
Winschoten-G0052;326;;402.0;4281;1442;1270.0;829.0;214;260.0;1285.0;377.0;14.0;124.0;64.0;58.0;45.0;15.0;17.0;;;;;;;;707.0
Winsum-G0053;38;;27.0;602;258;852.0;121.0;30;33.0;8.0;42.0;1.0;69.0;3.0;5.0;3.0;6.0;5.0;;;;;;;;37.0
Winterswijk-G0294;411;;2013.0;5581;2607;1420.0;1049.0;1212;284.0;133.0;178.0;25.0;49.0;91.0;45.0;51.0;22.0;27.0;4.0;;;;;;;612.0
Wisch-G0295;277;;2816.0;1650;979;1004.0;1295.0;961;197.0;46.0;68.0;12.0;3.0;50.0;55.0;30.0;16.0;20.0;8.0;;;;;;;431.0
Wissenkerke-G0727;19;;16.0;280;131;622.0;592.0;53;12.0;3.0;8.0;160.0;8.0;8.0;11.0;6.0;3.0;4.0;3.0;;;;;;;88.0
Wittem-G0990;163;;2557.0;172;63;33.0;10.0;204;54.0;30.0;23.0;1.0;2.0;27.0;7.0;20.0;8.0;13.0;10.0;11.0;;10.0;;;;142.0
Woensdrecht-G0873;194;;2145.0;406;299;158.0;92.0;351;173.0;42.0;47.0;9.0;5.0;63.0;81.0;22.0;14.0;6.0;2.0;;18.0;;;;;136.0
Woerden-G0632;157;;2177.0;1400;903;1222.0;1584.0;312;305.0;65.0;52.0;397.0;51.0;46.0;63.0;35.0;11.0;4.0;2.0;72.0;;;;;;340.0
Wognum-G0466;26;;1008.0;101;74;26.0;4.0;70;23.0;15.0;13.0;;;1.0;3.0;7.0;2.0;;;;;;;;;32.0
Wolphaartsdijk-G0728;44;;34.0;194;99;218.0;487.0;23;17.0;9.0;14.0;214.0;10.0;2.0;7.0;10.0;;4.0;2.0;;;;;;;54.0
Wonseradeel-G0099;113;;525.0;1425;434;1720.0;1813.0;167;100.0;110.0;184.0;17.0;46.0;15.0;20.0;18.0;14.0;10.0;3.0;;1.0;;;;;261.0
Workum-G0100;33;;493.0;359;94;460.0;712.0;34;26.0;17.0;52.0;10.0;8.0;6.0;12.0;6.0;3.0;1.0;;;1.0;;;;;70.0
Wormer-G0467;86;;1253.0;1245;356;384.0;139.0;127;174.0;484.0;375.0;29.0;99.0;14.0;45.0;20.0;8.0;4.0;1.0;;;;;;;181.0
Wormerveer-G0468;182;;1223.0;2347;863;815.0;258.0;149;380.0;1211.0;778.0;21.0;65.0;40.0;63.0;28.0;14.0;11.0;5.0;;;;;;;291.0
Woubrugge-G0633;28;;632.0;123;127;254.0;323.0;85;42.0;17.0;44.0;58.0;1.0;12.0;6.0;6.0;3.0;3.0;1.0;;;;;;;72.0
Woudenberg-G0351;57;;119.0;551;413;317.0;960.0;261;78.0;9.0;35.0;334.0;20.0;12.0;25.0;5.0;3.0;1.0;1.0;;;;;;;131.0
Woudrichem-G0874;27;;38.0;584;81;239.0;232.0;26;23.0;23.0;45.0;67.0;7.0;5.0;8.0;4.0;7.0;1.0;;;;;;;;68.0
Wouw-G0875;200;;2149.0;286;188;74.0;29.0;475;63.0;20.0;25.0;4.0;8.0;60.0;28.0;28.0;14.0;11.0;2.0;;19.0;;;;;135.0
Wymbritseradeel-G0101;68;;730.0;621;212;1525.0;2357.0;152;84.0;29.0;47.0;19.0;18.0;15.0;48.0;21.0;2.0;5.0;1.0;;3.0;;;;;218.0
Yerseke-G0729;72;;94.0;611;177;427.0;625.0;167;47.0;17.0;22.0;717.0;4.0;13.0;18.0;10.0;1.0;2.0;1.0;;;;;;;176.0
Zaamslag-G0731;56;;29.0;307;113;471.0;528.0;46;19.0;10.0;10.0;147.0;197.0;7.0;13.0;13.0;3.0;1.0;2.0;;;;;;;93.0
Zaandam-G0471;750;;3914.0;10059;2795;3541.0;1429.0;670;1809.0;4903.0;2162.0;217.0;189.0;154.0;243.0;219.0;52.0;60.0;34.0;;;;;;;1639.0
Zaandijk-G0472;60;;250.0;970;412;296.0;104.0;66;139.0;410.0;284.0;14.0;28.0;7.0;16.0;27.0;7.0;7.0;2.0;;;;;;;134.0
Zaltbommel-G0297;78;;620.0;1472;417;362.0;331.0;102;162.0;27.0;62.0;118.0;26.0;14.0;16.0;22.0;11.0;9.0;3.0;;;;;;;196.0
Zandvoort-G0473;184;;1113.0;2406;2343;560.0;615.0;455;676.0;259.0;247.0;24.0;18.0;35.0;94.0;78.0;12.0;24.0;12.0;;;;;;;682.0
Zeeland-G0877;23;;1905.0;61;39;15.0;7.0;68;19.0;3.0;4.0;;;16.0;6.0;5.0;2.0;1.0;;;;;;;;42.0
Zegveld-G0354;4;;127.0;20;12;216.0;222.0;48;9.0;4.0;;73.0;6.0;;1.0;1.0;1.0;;;;;;;;;17.0
Zeist-G0355;795;;4001.0;6948;6054;4795.0;3836.0;1195;1422.0;294.0;733.0;983.0;241.0;164.0;252.0;179.0;54.0;57.0;19.0;;13.0;;;;;2349.0
Zelhem-G0298;178;;498.0;1215;475;891.0;1091.0;877;88.0;21.0;21.0;82.0;14.0;21.0;28.0;15.0;10.0;2.0;3.0;;;;;;;228.0
Zevenaar-G0299;168;;4639.0;580;489;253.0;300.0;599;299.0;56.0;47.0;9.0;24.0;42.0;32.0;28.0;9.0;8.0;3.0;;;;;;;409.0
Zevenbergen-G0878;219;;3264.0;391;298;202.0;467.0;344;126.0;57.0;50.0;14.0;57.0;65.0;43.0;27.0;10.0;8.0;5.0;;11.0;;;;;255.0
Zevenhoven-G0635;13;;373.0;41;52;115.0;85.0;59;21.0;6.0;12.0;18.0;1.0;7.0;6.0;5.0;2.0;3.0;;1.0;;;;;;20.0
Zevenhuizen-G0636;40;;46.0;751;292;202.0;548.0;110;46.0;25.0;24.0;196.0;5.0;11.0;5.0;15.0;1.0;6.0;;;;;;;;87.0
Zierikzee-G0732;91;;430.0;1386;668;870.0;492.0;57;85.0;32.0;70.0;200.0;14.0;18.0;13.0;16.0;5.0;7.0;;;;;;;;251.0
Zijpe-G0476;70;;1101.0;1130;685;145.0;57.0;196;190.0;89.0;69.0;4.0;4.0;21.0;9.0;28.0;15.0;2.0;2.0;;;;;;;162.0
Zoelen-G0300;47;;41.0;1089;270;196.0;278.0;153;41.0;14.0;21.0;105.0;4.0;4.0;6.0;9.0;24.0;5.0;;;;;;;;63.0
Zoetermeer-G0637;101;;1559.0;1017;622;746.0;673.0;132;241.0;33.0;83.0;628.0;42.0;20.0;41.0;23.0;5.0;3.0;4.0;;;;;;;238.0
Zoeterwoude-G0638;44;;1851.0;162;130;147.0;216.0;74;140.0;13.0;36.0;31.0;5.0;17.0;10.0;26.0;3.0;3.0;1.0;;;;;;;73.0
Zuid- en Noord-Schermer-G0474;9;;85.0;178;92;43.0;21.0;52;13.0;14.0;20.0;18.0;1.0;;6.0;5.0;1.0;2.0;;;;;;;;20.0
Zuid-Beijerland-G0639;30;;12.0;418;151;285.0;277.0;38;7.0;11.0;18.0;232.0;;2.0;2.0;4.0;5.0;;1.0;;;;;;;74.0
Zuiddorpe-G0734;32;;328.0;40;19;4.0;1.0;36;1.0;6.0;7.0;;1.0;3.0;;6.0;7.0;1.0;;;;;;;;22.0
Zuidelijke IJsselmeerpolders-G0996;47;;778.0;926;435;873.0;594.0;119;149.0;39.0;84.0;49.0;110.0;10.0;17.0;9.0;4.0;6.0;4.0;;;;;;;
Zuidhorn-G0056;37;;50.0;654;387;607.0;206.0;64;53.0;30.0;32.0;9.0;397.0;8.0;13.0;5.0;10.0;5.0;;;;;;;;134.0
Zuidland-G0640;31;;10.0;224;165;776.0;184.0;19;11.0;12.0;7.0;29.0;7.0;5.0;6.0;6.0;;1.0;;;;;;;;66.0
Zuidlaren-G0136;123;;96.0;1339;989;997.0;306.0;322;141.0;75.0;82.0;12.0;197.0;21.0;16.0;31.0;8.0;6.0;;;;;;;;677.0
Zuidwolde-G0137;102;;41.0;1031;593;810.0;709.0;612;52.0;16.0;37.0;15.0;94.0;23.0;11.0;18.0;12.0;7.0;;;;;;;;122.0
Zuidzande-G0735;28;;27.0;182;139;27.0;40.0;46;9.0;2.0;3.0;4.0;;1.0;;6.0;2.0;;;;;;;;;23.0
Zundert-G0879;398;;3654.0;280;316;125.0;69.0;1223;142.0;32.0;20.0;6.0;9.0;55.0;43.0;47.0;19.0;9.0;15.0;;15.0;;;;;230.0
Zutphen-G0301;369;;1897.0;6604;1918;1274.0;1397.0;484;579.0;665.0;479.0;50.0;61.0;46.0;71.0;69.0;16.0;19.0;3.0;;;;;;;612.0
Zwaag-G0475;24;;937.0;232;142;28.0;25.0;39;36.0;11.0;23.0;;2.0;3.0;5.0;15.0;3.0;1.0;1.0;;;;;;;53.0
Zwartewaal-G0641;16;;13.0;162;81;116.0;30.0;5;16.0;14.0;11.0;2.0;;1.0;;2.0;1.0;;1.0;;;;;;;9.0
Zwartsluis-G0192;34;;29.0;360;126;772.0;418.0;125;22.0;20.0;20.0;66.0;60.0;3.0;8.0;3.0;1.0;;1.0;;;;;;;125.0
Zweeloo-G0138;18;;11.0;519;442;319.0;84.0;106;22.0;4.0;14.0;5.0;6.0;1.0;2.0;6.0;2.0;1.0;;;;;;;;47.0
Zwijndrecht-G0642;298;;1138.0;3901;1708;2870.0;2559.0;367;715.0;244.0;404.0;705.0;346.0;95.0;100.0;66.0;15.0;18.0;9.0;;;;;;;986.0
Zwolle-G0193;704;;5217.0;11219;3737;3985.0;3440.0;1332;1173.0;748.0;1173.0;362.0;814.0;154.0;218.0;146.0;71.0;39.0;20.0;;;;;;;1873.0
Zwollerkerspel-G1245;100;;1091.0;1347;667;1174.0;1930.0;397;179.0;55.0;104.0;268.0;465.0;9.0;27.0;9.0;9.0;3.0;;;;;;;;197.0
