RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Boeren Partij;D66;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);SGP;Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond;@abs
Dokkum-G0066;68;;192.0;1179;339;2321.0;789.0;60;60.0;34.0;58.0;60.0;93.0;9.0;25.0;10.0;2.0;4.0;1.0;;2.0;;;;;181.0
Domburg-G0660;39;;26.0;378;221;425.0;392.0;45;31.0;4.0;26.0;245.0;13.0;3.0;14.0;12.0;2.0;2.0;1.0;;;;;;;154.0
Dongen-G0766;353;;5477.0;450;388;209.0;120.0;526;322.0;70.0;81.0;22.0;13.0;104.0;61.0;58.0;48.0;16.0;7.0;;13.0;;;;;206.0
Doniawerstal-G0067;63;;813.0;677;171;536.0;760.0;104;34.0;26.0;38.0;13.0;4.0;10.0;16.0;15.0;2.0;;3.0;;;;;;;126.0
Doorn-G0315;119;;441.0;1132;1179;898.0;921.0;228;227.0;23.0;73.0;225.0;47.0;21.0;24.0;51.0;12.0;7.0;4.0;;1.0;;;;;417.0
Doornspijk-G0223;90;;234.0;809;321;929.0;859.0;479;121.0;27.0;68.0;1324.0;58.0;15.0;44.0;26.0;11.0;2.0;7.0;;;;;;;
Dordrecht-G0505;1486;;5115.0;18280;5874;6034.0;4305.0;1053;2136.0;1648.0;2109.0;1281.0;259.0;375.0;255.0;298.0;78.0;84.0;39.0;;;;;;;3819.0
Dreumel-G0224;52;;1287.0;108;45;29.0;35.0;139;31.0;20.0;15.0;4.0;2.0;21.0;1.0;10.0;12.0;1.0;;;;;;;;40.0
Driebergen-Rijsenburg-G0316;193;;1064.0;1821;1377;1363.0;1027.0;402;332.0;49.0;155.0;418.0;78.0;23.0;58.0;34.0;13.0;10.0;3.0;;3.0;;;;;498.0
Driebruggen-G0506;31;;303.0;84;73;454.0;327.0;94;22.0;4.0;9.0;220.0;3.0;5.0;7.0;4.0;;1.0;1.0;1.0;;;;;;72.0
Driewegen-G0661;11;;34.0;79;40;58.0;95.0;14;3.0;;3.0;11.0;;;;2.0;;1.0;;;;;;;;14.0
Drunen-G0767;185;;3271.0;335;237;125.0;74.0;339;205.0;72.0;49.0;11.0;8.0;47.0;75.0;30.0;46.0;3.0;6.0;;;;;;;174.0
Druten-G0225;110;;3543.0;245;99;107.0;116.0;366;184.0;33.0;17.0;1.0;5.0;48.0;21.0;25.0;21.0;9.0;3.0;;;;;;;590.0
Dubbeldam-G0507;84;;194.0;1085;860;732.0;826.0;114;208.0;20.0;55.0;128.0;45.0;27.0;29.0;19.0;2.0;5.0;3.0;;;;;;;201.0
Duiveland-G0662;38;;28.0;573;253;268.0;295.0;54;18.0;7.0;21.0;608.0;11.0;11.0;11.0;7.0;;3.0;4.0;;;;;;;176.0
Duiven-G0226;59;;2409.0;114;117;84.0;69.0;313;107.0;12.0;11.0;1.0;2.0;30.0;14.0;11.0;4.0;6.0;1.0;;;;;;;104.0
Dussen-G0769;80;;1344.0;184;73;282.0;230.0;136;55.0;29.0;19.0;108.0;2.0;9.0;15.0;5.0;4.0;;;;;;;;;110.0
Dwingeloo-G0112;52;;13.0;850;445;318.0;93.0;133;47.0;10.0;19.0;;1.0;2.0;2.0;7.0;10.0;5.0;;;;;;;;53.0
Echt-G0902;460;;5838.0;532;153;89.0;48.0;706;172.0;131.0;69.0;9.0;6.0;79.0;28.0;39.0;30.0;19.0;8.0;24.0;;6.0;;;;239.0
Echteld-G0227;57;;51.0;1256;166;262.0;304.0;226;22.0;12.0;17.0;321.0;11.0;5.0;6.0;7.0;24.0;4.0;2.0;;;;;;;121.0
Edam-Volendam-G0385;107;;5638.0;762;615;258.0;187.0;241;324.0;101.0;170.0;7.0;9.0;36.0;46.0;63.0;9.0;5.0;2.0;;;;;;;228.0
Ede-G0228;686;;2699.0;5960;4041;5796.0;6497.0;3874;1127.0;224.0;481.0;4322.0;298.0;101.0;452.0;121.0;264.0;49.0;31.0;;;;;;;1001.0
Eelde-G0113;89;;171.0;1669;885;298.0;207.0;295;212.0;57.0;97.0;2.0;24.0;12.0;12.0;23.0;148.0;2.0;;;;;;;;151.0
Eemnes-G0317;49;;589.0;180;145;264.0;134.0;148;75.0;8.0;49.0;49.0;2.0;18.0;15.0;7.0;2.0;3.0;;;1.0;;;;;65.0
Eenrum-G0011;20;;52.0;747;236;143.0;55.0;42;13.0;26.0;47.0;;119.0;8.0;3.0;8.0;3.0;2.0;;;;;;;;46.0
Eersel-G0770;67;;2602.0;145;199;61.0;31.0;180;106.0;6.0;20.0;1.0;3.0;21.0;16.0;15.0;8.0;5.0;4.0;;;;;;;72.0
Eethen-G0771;32;;51.0;271;65;581.0;371.0;84;15.0;6.0;3.0;268.0;16.0;12.0;18.0;10.0;6.0;;1.0;;;;;;;81.0
Egmond aan Zee-G0386;53;;377.0;1243;288;178.0;107.0;89;99.0;80.0;137.0;1.0;;12.0;9.0;23.0;12.0;3.0;4.0;;;;;;;116.0
Egmond-Binnen-G0387;33;;1484.0;164;136;56.0;28.0;118;87.0;20.0;31.0;;3.0;9.0;10.0;16.0;13.0;;1.0;;;;;;;108.0
Eibergen-G0229;99;;3305.0;1723;537;605.0;877.0;323;148.0;13.0;70.0;4.0;24.0;19.0;19.0;17.0;3.0;7.0;;;;;;;;252.0
Eijgelshoven-G0904;191;;1567.0;602;121;52.0;36.0;128;168.0;101.0;54.0;1.0;4.0;27.0;24.0;22.0;17.0;6.0;4.0;12.0;;4.0;;;;109.0
Eijsden-G0905;184;;2123.0;149;88;48.0;11.0;244;82.0;15.0;32.0;;1.0;12.0;9.0;19.0;7.0;1.0;2.0;2.0;;80.0;;;;138.0
Eindhoven-G0772;3331;;45483.0;15763;10947;5197.0;2114.0;4807;7729.0;1903.0;2633.0;221.0;294.0;1173.0;631.0;813.0;293.0;187.0;89.0;;;;;;;4066.0
Elburg-G0230;56;;61.0;337;171;449.0;734.0;172;56.0;20.0;29.0;391.0;25.0;6.0;15.0;11.0;4.0;2.0;1.0;;;;;;;151.0
Ellewoutsdijk-G0663;9;;4.0;80;20;29.0;65.0;9;4.0;3.0;2.0;6.0;;6.0;1.0;6.0;1.0;;;;;;;;;15.0
Elsloo-G0903;222;;2193.0;300;84;32.0;28.0;195;99.0;30.0;37.0;;3.0;42.0;15.0;14.0;17.0;6.0;;14.0;;6.0;;;;129.0
Elst-G0231;141;;3655.0;1184;564;432.0;623.0;313;206.0;36.0;47.0;36.0;14.0;30.0;28.0;23.0;1.0;10.0;3.0;;;;;;;214.0
Emmen-G0114;1960;;6808.0;13054;3034;4967.0;4115.0;1711;681.0;2418.0;862.0;56.0;290.0;235.0;233.0;153.0;40.0;47.0;;;;;;;;1946.0
Empel en Meerwijk-G0773;26;;572.0;40;10;20.0;3.0;30;14.0;;9.0;;;2.0;;3.0;83.0;2.0;;;;;;;;12.0
Engelen-G0774;26;;403.0;76;42;28.0;13.0;42;32.0;7.0;15.0;1.0;1.0;6.0;1.0;6.0;27.0;1.0;;;;;;;;45.0
Enkhuizen-G0388;138;;848.0;2011;606;1237.0;650.0;164;203.0;275.0;170.0;178.0;43.0;22.0;44.0;25.0;5.0;23.0;3.0;;;;;;;248.0
Enschede-G0153;2424;;16359.0;21348;7938;4830.0;5336.0;4418;3089.0;5999.0;3341.0;231.0;1836.0;508.0;321.0;352.0;83.0;105.0;40.0;;;;;;;3947.0
Epe-G0232;293;;1427.0;4703;1776;1387.0;2157.0;1499;270.0;99.0;251.0;436.0;52.0;59.0;55.0;33.0;24.0;24.0;7.0;;;;;;;598.0
Ermelo-G0233;245;;698.0;1868;1708;3630.0;4624.0;1525;448.0;73.0;184.0;2259.0;319.0;58.0;132.0;51.0;30.0;13.0;11.0;;;;;;;1446.0
Erp-G0775;32;;1899.0;69;39;25.0;7.0;108;25.0;1.0;5.0;1.0;;13.0;4.0;7.0;;2.0;2.0;;;;;;;39.0
Esch-G0776;17;;544.0;26;13;9.0;4.0;20;9.0;;2.0;;1.0;10.0;1.0;1.0;2.0;;;;;;;;;12.0
Est en Opijnen-G0234;20;;6.0;306;59;52.0;97.0;31;2.0;2.0;4.0;67.0;3.0;1.0;1.0;2.0;7.0;;1.0;;;;;;;30.0
Etten-Leur-G0777;405;;5456.0;960;415;220.0;177.0;887;297.0;108.0;108.0;15.0;20.0;122.0;66.0;54.0;35.0;22.0;7.0;;22.0;;;;;426.0
Everdingen-G0508;6;;96.0;102;63;111.0;87.0;97;5.0;6.0;2.0;136.0;1.0;7.0;4.0;;2.0;1.0;;;;;;;;42.0
Ewijk-G0235;48;;1538.0;109;34;54.0;58.0;210;49.0;15.0;19.0;;;19.0;5.0;23.0;4.0;2.0;1.0;;;;;;;171.0
Ezinge-G0012;27;;12.0;364;161;334.0;51.0;43;21.0;6.0;8.0;3.0;21.0;2.0;1.0;2.0;1.0;2.0;;;;;;;;32.0
Ferwerderadeel-G0068;56;;19.0;694;324;2228.0;820.0;86;48.0;18.0;83.0;9.0;206.0;16.0;11.0;16.0;;4.0;;;4.0;;;;;142.0
Fijnaart en Heijningen-G0778;44;;1189.0;316;127;272.0;714.0;81;38.0;39.0;11.0;55.0;8.0;17.0;10.0;14.0;1.0;;;;9.0;;;;;105.0
Finsterwolde-G0013;62;;13.0;345;133;59.0;72.0;66;9.0;1136.0;62.0;2.0;7.0;13.0;1.0;7.0;;5.0;;;;;;;;71.0
Franeker-G0069;132;;570.0;1674;466;1260.0;550.0;76;151.0;128.0;234.0;32.0;23.0;22.0;34.0;11.0;7.0;5.0;3.0;;;;;;;717.0
Franekeradeel-G0070;43;;141.0;893;228;537.0;576.0;65;49.0;13.0;76.0;5.0;41.0;16.0;9.0;20.0;7.0;;3.0;;2.0;;;;;90.0
Gaasterland-G0071;53;;727.0;379;137;737.0;1132.0;213;41.0;20.0;42.0;104.0;9.0;16.0;17.0;14.0;3.0;2.0;;;2.0;;;;;153.0
Gasselte-G0115;71;;23.0;1068;306;224.0;236.0;89;41.0;147.0;34.0;3.0;2.0;7.0;14.0;10.0;15.0;4.0;;;;;;;;189.0
Geertruidenberg-G0779;114;;1579.0;291;183;121.0;89.0;140;145.0;40.0;47.0;10.0;7.0;41.0;19.0;18.0;12.0;5.0;2.0;;6.0;;;;;190.0
Geervliet-G0509;18;;3.0;336;130;78.0;114.0;30;8.0;26.0;17.0;38.0;;1.0;3.0;6.0;2.0;1.0;2.0;;;;;;;45.0
Geffen-G0780;62;;1145.0;139;41;41.0;6.0;196;52.0;11.0;4.0;3.0;1.0;15.0;6.0;13.0;8.0;4.0;2.0;;;;;;;65.0
Geldermalsen-G0236;73;;137.0;1773;419;412.0;720.0;166;76.0;30.0;38.0;394.0;13.0;12.0;9.0;6.0;3.0;1.0;2.0;;;;;;;201.0
Geldrop-G0781;480;;6009.0;1523;1541;692.0;261.0;630;1003.0;194.0;251.0;21.0;33.0;157.0;71.0;73.0;41.0;18.0;7.0;;;;;;;522.0
Geleen-G0906;1099;;9611.0;2949;1071;686.0;274.0;1017;841.0;392.0;209.0;15.0;32.0;166.0;67.0;138.0;250.0;50.0;28.0;113.0;;16.0;;;;780.0
Gemert-G0782;295;;4833.0;419;288;154.0;90.0;614;192.0;116.0;45.0;4.0;7.0;91.0;36.0;34.0;24.0;11.0;10.0;;;;;;;178.0
Gendringen-G0237;177;;6120.0;571;213;299.0;490.0;460;157.0;40.0;42.0;8.0;6.0;57.0;24.0;24.0;8.0;7.0;6.0;;;;;;;209.0
Gendt-G0238;38;;2448.0;82;51;59.0;55.0;148;44.0;25.0;20.0;3.0;4.0;14.0;11.0;12.0;3.0;4.0;;;;;;;;109.0
Genemuiden-G0154;20;;8.0;504;79;446.0;558.0;95;22.0;5.0;17.0;788.0;21.0;1.0;8.0;3.0;2.0;;4.0;;;;;;;273.0
Gennep-G0907;130;;2031.0;308;177;80.0;33.0;219;146.0;18.0;34.0;5.0;4.0;28.0;6.0;22.0;4.0;1.0;4.0;3.0;;1.0;;;;178.0
Geulle-G0908;79;;903.0;122;43;23.0;6.0;98;48.0;8.0;25.0;;1.0;5.0;11.0;11.0;;;2.0;5.0;;12.0;;;;49.0
Giessen-G0783;5;;6.0;46;8;144.0;188.0;11;3.0;;3.0;42.0;19.0;2.0;;1.0;;;;;;;;;;34.0
Giessenburg-G0510;27;;20.0;340;221;556.0;225.0;59;24.0;8.0;10.0;218.0;23.0;2.0;7.0;5.0;;1.0;2.0;;;;;;;99.0
Gieten-G0116;90;;48.0;1323;619;148.0;229.0;184;71.0;35.0;41.0;3.0;6.0;18.0;8.0;7.0;17.0;;;;;;;;;95.0
Giethoorn-G0155;36;;30.0;732;167;115.0;170.0;123;25.0;64.0;47.0;10.0;28.0;6.0;7.0;7.0;6.0;1.0;;;;;;;;102.0
Gilze en Rijen-G0784;241;;5868.0;575;443;271.0;87.0;489;343.0;67.0;67.0;9.0;12.0;109.0;59.0;42.0;31.0;7.0;7.0;;10.0;;;;;144.0
Goedereede-G0511;91;;18.0;815;321;918.0;453.0;99;22.0;16.0;23.0;1485.0;14.0;16.0;11.0;13.0;9.0;3.0;36.0;;;;;;;535.0
Goes-G0664;254;;1574.0;2531;1150;1259.0;1820.0;215;276.0;76.0;189.0;592.0;81.0;55.0;69.0;59.0;9.0;22.0;5.0;;;;;;;521.0
Goirle-G0785;284;;3222.0;343;384;161.0;43.0;298;204.0;67.0;172.0;2.0;7.0;119.0;38.0;40.0;35.0;9.0;5.0;;5.0;;;;;145.0
Goor-G0156;121;;1359.0;2124;419;293.0;296.0;175;166.0;99.0;160.0;11.0;13.0;30.0;7.0;9.0;7.0;3.0;1.0;;;;;;;144.0
Gorinchem-G0512;339;;1308.0;5777;1608;1929.0;1042.0;293;432.0;224.0;399.0;349.0;107.0;66.0;68.0;57.0;16.0;8.0;1.0;;;;;;;827.0
Gorssel-G0239;116;;502.0;2052;1693;1083.0;1530.0;510;252.0;52.0;138.0;25.0;24.0;26.0;48.0;41.0;9.0;13.0;4.0;;;;;;;365.0
Gouda-G0513;775;;4640.0;8725;2937;2854.0;1798.0;799;1342.0;656.0;971.0;1028.0;211.0;142.0;161.0;134.0;24.0;34.0;15.0;20.0;;;;;;1076.0
Gouderak-G0514;19;;30.0;382;165;248.0;50.0;23;22.0;6.0;24.0;159.0;1.0;5.0;;8.0;;;1.0;;;;;;;36.0
Goudriaan-G0515;10;;1.0;37;52;150.0;32.0;33;2.0;;1.0;56.0;2.0;;2.0;1.0;;;1.0;;;;;;;19.0
Goudswaard-G0516;19;;4.0;179;92;93.0;52.0;16;;2.0;8.0;315.0;2.0;5.0;;3.0;;;;;;;;;;52.0
Graauw en Langendam-G0665;55;;511.0;68;41;10.0;7.0;93;12.0;5.0;2.0;;1.0;12.0;5.0;10.0;1.0;3.0;2.0;;;;;;;21.0
Graft-G0389;11;;244.0;206;99;29.0;17.0;49;20.0;31.0;40.0;;1.0;1.0;5.0;3.0;1.0;1.0;2.0;;;;;;;19.0
Gramsbergen-G0157;51;;68.0;815;167;785.0;822.0;176;10.0;14.0;18.0;9.0;67.0;;12.0;5.0;1.0;;3.0;;;;;;;72.0
Grathem-G0909;39;;987.0;21;23;6.0;4.0;99;15.0;1.0;2.0;;;8.0;;1.0;1.0;;;;;;;;;35.0
Grave-G0786;83;;2231.0;222;282;141.0;80.0;219;178.0;32.0;12.0;3.0;5.0;28.0;17.0;27.0;8.0;6.0;5.0;;;;;;;73.0
Grevenbicht-G0910;103;;843.0;176;52;25.0;27.0;113;26.0;14.0;18.0;1.0;5.0;27.0;3.0;16.0;15.0;3.0;;3.0;;3.0;;;;72.0
Grijpskerk-G0016;25;;9.0;272;224;1223.0;207.0;51;28.0;13.0;7.0;2.0;122.0;7.0;5.0;3.0;3.0;;;;;;;;;73.0
Groede-G0667;58;;171.0;416;294;43.0;120.0;32;14.0;2.0;3.0;6.0;3.0;3.0;9.0;2.0;1.0;4.0;1.0;;;;;;;66.0
Groenlo-G0240;44;;2806.0;329;159;73.0;87.0;192;58.0;23.0;21.0;1.0;3.0;13.0;11.0;12.0;8.0;5.0;2.0;;;;;;;132.0
Groesbeek-G0241;374;;4817.0;579;342;215.0;235.0;1295;392.0;126.0;99.0;12.0;21.0;131.0;48.0;62.0;24.0;19.0;12.0;;;;;;;295.0
Groningen-G0014;2462;;6612.0;30142;12356;10897.0;7265.0;3306;4214.0;5497.0;4344.0;187.0;3885.0;425.0;585.0;444.0;218.0;131.0;;;;;;;;6155.0
Gronsveld-G0911;77;;1246.0;89;68;16.0;9.0;193;35.0;6.0;6.0;2.0;;13.0;7.0;5.0;3.0;1.0;;1.0;;31.0;;;;41.0
Groot-Ammers-G0520;22;;9.0;238;184;363.0;86.0;40;15.0;11.0;16.0;207.0;23.0;10.0;1.0;5.0;4.0;;;;;;;;;80.0
Grootebroek-G0391;41;;2193.0;133;85;39.0;23.0;171;67.0;32.0;46.0;1.0;2.0;17.0;14.0;14.0;7.0;5.0;2.0;;;;;;;105.0
Grootegast-G0015;73;;27.0;701;210;2334.0;451.0;473;39.0;50.0;51.0;16.0;226.0;10.0;15.0;7.0;7.0;5.0;;;;;;;;170.0
Grubbenvorst-G0912;49;;1937.0;76;82;20.0;9.0;133;46.0;3.0;9.0;;2.0;8.0;4.0;9.0;2.0;;3.0;1.0;;;;;;37.0
Gulpen-G0913;105;;1505.0;201;89;25.0;9.0;341;49.0;15.0;20.0;2.0;5.0;19.0;16.0;10.0;4.0;3.0;;4.0;;3.0;;;;99.0
Haaften-G0242;51;;13.0;759;63;279.0;401.0;83;27.0;11.0;7.0;180.0;6.0;1.0;2.0;9.0;4.0;1.0;1.0;;;;;;;57.0
Haaksbergen-G0158;123;;5269.0;1306;682;211.0;163.0;718;271.0;55.0;70.0;4.0;14.0;53.0;25.0;26.0;4.0;14.0;3.0;;;;;;;273.0
Haaren-G0788;30;;1469.0;70;77;29.0;4.0;63;32.0;6.0;10.0;1.0;1.0;5.0;9.0;10.0;1.0;5.0;1.0;;;;;;;36.0
Haarlem-G0392;2920;;22515.0;26033;12220;8041.0;4732.0;5030;7663.0;5078.0;4815.0;419.0;365.0;863.0;1050.0;1034.0;226.0;166.0;124.0;;;;;;;5992.0
Haarlemmerliede en Spaarnwoude-G0393;41;;962.0;338;285;215.0;116.0;116;73.0;106.0;54.0;13.0;7.0;18.0;22.0;17.0;5.0;6.0;2.0;;;;;;;109.0
Haarlemmermeer-G0394;547;;5748.0;5533;3248;4711.0;3348.0;1321;1524.0;1089.0;797.0;498.0;257.0;167.0;285.0;139.0;52.0;55.0;18.0;;;;;;;1465.0
Haastrecht-G0521;35;;709.0;291;216;202.0;99.0;57;59.0;12.0;28.0;81.0;8.0;5.0;4.0;4.0;1.0;;1.0;;;;;;;67.0
Haelen-G0914;111;;1844.0;101;131;31.0;15.0;146;71.0;19.0;11.0;;5.0;6.0;12.0;9.0;10.0;2.0;2.0;2.0;;1.0;;;;86.0
Hagestein-G0522;10;;198.0;53;35;48.0;96.0;37;7.0;4.0;2.0;120.0;1.0;1.0;4.0;1.0;1.0;;;;;;;;;26.0
Halsteren-G0789;184;;2236.0;373;277;335.0;168.0;611;175.0;67.0;32.0;22.0;11.0;107.0;370.0;36.0;12.0;13.0;6.0;;16.0;;;;;217.0
Haps-G0790;33;;1008.0;39;25;18.0;3.0;69;17.0;2.0;1.0;1.0;1.0;11.0;1.0;2.0;;2.0;;;;;;;;43.0
Hardenberg-G0160;154;;1370.0;2408;574;3363.0;2731.0;865;100.0;57.0;53.0;40.0;1529.0;18.0;50.0;17.0;22.0;7.0;7.0;;;;;;;392.0
Harderwijk-G0243;193;;775.0;1689;1348;2268.0;3146.0;913;410.0;86.0;116.0;817.0;214.0;37.0;109.0;37.0;18.0;9.0;3.0;;;;;;;280.0
Hardinxveld-Giessendam-G0523;173;;84.0;2054;569;1256.0;766.0;161;82.0;90.0;145.0;1544.0;286.0;25.0;26.0;27.0;11.0;4.0;4.0;;;;;;;721.0
Haren-G0017;167;;337.0;2183;2414;1558.0;1121.0;445;380.0;100.0;273.0;20.0;257.0;26.0;51.0;27.0;34.0;14.0;;;;;;;;544.0
Harenkarspel-G0395;18;;1477.0;245;151;96.0;28.0;102;57.0;24.0;37.0;3.0;9.0;14.0;10.0;16.0;10.0;;1.0;;;;;;;70.0
Harlingen-G0072;169;;832.0;2665;561;811.0;903.0;129;229.0;159.0;222.0;16.0;249.0;31.0;47.0;25.0;11.0;2.0;6.0;;4.0;;;;;506.0
Harmelen-G0318;37;;897.0;212;261;317.0;385.0;155;80.0;16.0;26.0;98.0;6.0;23.0;11.0;4.0;;1.0;2.0;;1.0;;;;;176.0
Haskerland-G0073;188;;801.0;2241;383;950.0;1485.0;301;118.0;100.0;146.0;23.0;33.0;44.0;29.0;15.0;10.0;4.0;6.0;;1.0;;;;;350.0
Hasselt-G0161;11;;57.0;358;61;410.0;392.0;81;19.0;11.0;30.0;79.0;126.0;9.0;9.0;2.0;;1.0;3.0;;;;;;;158.0
Hattem-G0244;83;;204.0;1580;591;637.0;1109.0;91;100.0;66.0;79.0;48.0;334.0;12.0;28.0;4.0;5.0;1.0;1.0;;;;;;;142.0
Havelte-G0117;78;;55.0;1434;604;147.0;205.0;244;63.0;17.0;49.0;6.0;18.0;10.0;8.0;11.0;28.0;9.0;;;;;;;;101.0
Hazerswoude-G0524;84;;1373.0;281;336;838.0;634.0;136;167.0;46.0;50.0;186.0;16.0;15.0;24.0;17.0;6.0;4.0;4.0;1.0;;;;;;166.0
Hedel-G0245;34;;599.0;158;51;138.0;166.0;96;41.0;12.0;6.0;189.0;5.0;11.0;10.0;5.0;7.0;2.0;1.0;;;;;;;75.0
Heel en Panheel-G0915;68;;1382.0;26;56;7.0;6.0;44;34.0;5.0;12.0;2.0;1.0;6.0;1.0;11.0;1.0;1.0;3.0;1.0;;2.0;;;;373.0
Heemskerk-G0396;228;;4538.0;2394;780;843.0;551.0;368;774.0;377.0;444.0;24.0;47.0;86.0;137.0;71.0;24.0;19.0;6.0;;;;;;;394.0
Heemstede-G0397;253;;4127.0;1813;4099;1530.0;1118.0;509;1110.0;178.0;362.0;54.0;69.0;76.0;143.0;117.0;25.0;66.0;12.0;;;;;;;1191.0
Heenvliet-G0525;22;;11.0;268;170;56.0;47.0;20;34.0;61.0;28.0;13.0;2.0;3.0;3.0;6.0;1.0;1.0;;;;;;;;58.0
Heer-G0916;386;;3261.0;955;438;87.0;55.0;313;297.0;66.0;100.0;5.0;11.0;66.0;44.0;57.0;15.0;16.0;6.0;15.0;;33.0;;;;258.0
Heerde-G0246;135;;123.0;2631;644;1329.0;2193.0;633;113.0;24.0;117.0;234.0;354.0;17.0;42.0;14.0;10.0;8.0;1.0;;;;;;;313.0
Heerenveen-G0074;522;;673.0;6301;1849;2078.0;1431.0;908;534.0;1550.0;1132.0;38.0;164.0;106.0;61.0;70.0;23.0;23.0;11.0;;7.0;;;;;1078.0
Heerewaarden-G0247;18;;22.0;409;88;38.0;47.0;21;16.0;6.0;15.0;7.0;1.0;1.0;;1.0;1.0;;1.0;;;;;;;35.0
Heerhugowaard-G0398;61;;2735.0;401;223;248.0;84.0;138;137.0;28.0;65.0;2.0;1.0;21.0;30.0;19.0;4.0;3.0;4.0;;;;;;;103.0
Heerjansdam-G0526;29;;39.0;396;186;310.0;320.0;25;54.0;15.0;21.0;83.0;2.0;13.0;6.0;2.0;;;;;;;;;;38.0
Heerlen-G0917;2010;;21055.0;6839;2508;1040.0;719.0;1808;1758.0;2357.0;605.0;31.0;70.0;402.0;257.0;290.0;164.0;68.0;58.0;245.0;;37.0;;;;1675.0
Heesch-G0791;101;;2363.0;278;115;70.0;28.0;311;115.0;14.0;23.0;1.0;4.0;49.0;20.0;8.0;15.0;8.0;2.0;;;;;;;77.0
Heeswijk-G1072;22;;1180.0;50;61;20.0;4.0;49;14.0;7.0;9.0;;1.0;3.0;8.0;3.0;5.0;1.0;;;;;;;;27.0
Heeze-G0793;101;;2232.0;199;281;87.0;104.0;193;158.0;14.0;30.0;2.0;2.0;26.0;16.0;21.0;3.0;4.0;6.0;;;;;;;117.0
Hei- en Boeicop-G0527;9;;3.0;45;14;147.0;101.0;38;5.0;;1.0;118.0;;;;1.0;;;1.0;;;;;;;19.0
Heiloo-G0399;160;;3216.0;1636;1746;549.0;345.0;292;512.0;155.0;270.0;9.0;12.0;38.0;60.0;53.0;16.0;14.0;7.0;;;;;;;698.0
Heinenoord-G0528;37;;27.0;410;130;309.0;221.0;59;26.0;12.0;28.0;164.0;14.0;8.0;2.0;6.0;3.0;5.0;;;;;;;;59.0
Heinkenszand-G0672;38;;589.0;111;59;127.0;240.0;61;7.0;3.0;7.0;37.0;4.0;6.0;4.0;6.0;;;1.0;;;;;;;47.0
Heino-G0162;32;;1097.0;306;86;107.0;542.0;98;43.0;7.0;16.0;7.0;82.0;7.0;7.0;8.0;4.0;2.0;;;;;;;;52.0
Helden-G0918;201;;5152.0;162;180;62.0;16.0;290;43.0;14.0;27.0;2.0;2.0;35.0;10.0;23.0;10.0;4.0;5.0;1.0;;4.0;;;;188.0
Hellendoorn-G0163;159;;3499.0;2184;531;2618.0;4124.0;943;202.0;104.0;151.0;184.0;289.0;50.0;93.0;35.0;13.0;11.0;7.0;;;;;;;570.0
Hellevoetsluis-G0530;115;;230.0;2259;731;415.0;297.0;129;256.0;108.0;173.0;63.0;12.0;36.0;14.0;21.0;6.0;13.0;8.0;;;;;;;276.0
Helmond-G0794;1108;;12777.0;3911;1754;634.0;294.0;1243;1519.0;1017.0;410.0;22.0;31.0;342.0;178.0;206.0;84.0;50.0;38.0;;;;;;;977.0
Helvoirt-G0795;40;;1309.0;80;128;47.0;46.0;85;64.0;6.0;26.0;2.0;2.0;20.0;9.0;12.0;12.0;3.0;;;1.0;;;;;30.0
Hemelumer Oldeferd-G0075;29;;94.0;353;151;655.0;1195.0;102;23.0;11.0;17.0;28.0;23.0;11.0;14.0;7.0;8.0;;;;1.0;;;;;122.0
Hendrik-Ido-Ambacht-G0531;86;;275.0;1602;788;1097.0;880.0;79;296.0;44.0;114.0;846.0;48.0;15.0;39.0;23.0;5.0;3.0;4.0;;;;;;;289.0
Hengelo-G0164;724;;12409.0;11220;3675;2489.0;2520.0;1554;1650.0;904.0;1446.0;106.0;276.0;189.0;186.0;173.0;47.0;34.0;10.0;;;;;;;1503.0
Hengelo-G0248;80;;1497.0;543;256;562.0;509.0;412;37.0;11.0;23.0;23.0;4.0;11.0;14.0;13.0;7.0;3.0;2.0;;;;;;;122.0
Hennaarderadeel-G0076;34;;119.0;429;176;610.0;1063.0;48;29.0;7.0;30.0;12.0;4.0;5.0;8.0;8.0;2.0;1.0;1.0;;;;;;;80.0
Hensbroek-G0401;12;;362.0;92;65;16.0;4.0;46;12.0;12.0;18.0;;2.0;3.0;5.0;3.0;;;;;;;;;;21.0
Herten-G0919;58;;1165.0;76;93;31.0;9.0;55;62.0;6.0;18.0;1.0;;4.0;8.0;7.0;5.0;4.0;3.0;5.0;;;;;;73.0
Herwen en Aerdt-G0249;130;;2454.0;335;176;140.0;175.0;283;63.0;38.0;29.0;11.0;8.0;40.0;16.0;26.0;17.0;9.0;5.0;;;;;;;262.0
Herwijnen-G0250;15;;11.0;412;68;289.0;246.0;26;8.0;3.0;16.0;64.0;3.0;;1.0;3.0;2.0;;1.0;;;;;;;38.0
Het Bildt-G0063;95;;35.0;1461;507;1617.0;762.0;133;60.0;102.0;243.0;6.0;18.0;11.0;13.0;17.0;5.0;2.0;1.0;;6.0;;;;;205.0
