RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Borger-G0108;40;;3803;1706;1449;288;10.0;101.0;117.0;63.0;36.0;61.0;45.0;42.0;14.0;7.0;9.0;;4.0;2.0;9.0;;;;;;473.0
Born-G0897;45;;1174;2350;589;142;2.0;22.0;58.0;;24.0;27.0;18.0;;7.0;14.0;2.0;;23.0;3.0;2.0;;;;;;533.0
Borne-G0147;35;;3384;5678;1333;508;24.0;64.0;159.0;38.0;38.0;110.0;34.0;24.0;17.0;80.0;23.0;;2.0;2.0;4.0;;;;;;784.0
Borsele-G0654;38;;2499;4596;1357;363;1096.0;23.0;149.0;104.0;37.0;154.0;34.0;113.0;22.0;95.0;5.0;;2.0;2.0;1.0;;;;;;1200.0
Boskoop-G0499;60;;1657;3047;2066;420;316.0;38.0;106.0;50.0;73.0;41.0;36.0;80.0;17.0;42.0;16.0;;2.0;;1.0;;;;;;690.0
Bovenkarspel-G0379;21;;1582;1635;925;392;12.0;101.0;107.0;6.0;28.0;30.0;42.0;2.0;27.0;43.0;5.0;;;;1.0;;;;;;620.0
Boxmeer-G0756;33;;1865;4076;811;283;3.0;26.0;129.0;3.0;52.0;47.0;15.0;1.0;5.0;36.0;34.0;;5.0;;;;;;;;976.0
Boxtel-G0757;72;;4000;5758;1707;693;9.0;39.0;217.0;11.0;66.0;108.0;46.0;1.0;22.0;78.0;84.0;15.0;2.0;4.0;3.0;;;;;;2125.0
Brakel-G0212;21;;1131;845;274;88;1045.0;8.0;24.0;22.0;12.0;64.0;10.0;31.0;5.0;1.0;3.0;;;;;;;;;;438.0
Brandwijk-G0500;7;;141;244;114;22;144.0;;4.0;6.0;1.0;4.0;3.0;5.0;1.0;;;3.0;;;;;;;;;60.0
Breda-G0758;496;;25101;22680;13992;4305;125.0;545.0;1365.0;102.0;918.0;663.0;421.0;61.0;245.0;472.0;124.0;131.0;41.0;33.0;30.0;;;;;;13189.0
Brederwiede-G0194;27;;2197;2755;910;271;83.0;38.0;62.0;553.0;27.0;100.0;37.0;81.0;5.0;5.0;1.0;;3.0;;;;;;;;558.0
Breukelen-G0311;35;;1226;2082;1635;504;335.0;33.0;107.0;72.0;36.0;54.0;45.0;74.0;15.0;15.0;5.0;2.0;;1.0;;;;;;;628.0
Brielle-G0501;31;;2395;1253;1706;513;57.0;36.0;105.0;13.0;42.0;23.0;29.0;34.0;38.0;16.0;2.0;1.0;2.0;1.0;1.0;;;;;;647.0
Broek in Waterland-G0380;11;;500;323;515;147;13.0;29.0;33.0;2.0;18.0;22.0;15.0;4.0;3.0;2.0;;;;1.0;;1.0;;;;;166.0
Broekhuizen-G0898;4;;165;642;130;31;;5.0;8.0;;14.0;14.0;1.0;;1.0;10.0;;;1.0;;;;;;;;104.0
Brouwershaven-G0656;10;;988;407;569;104;76.0;18.0;34.0;74.0;11.0;16.0;15.0;9.0;5.0;1.0;;;;;;;;;;;185.0
