RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
IJsselham-G0195;3;;935;1382;443;97;21.0;12.0;30.0;74.0;23.0;35.0;15.0;26.0;4.0;2.0;3.0;;1.0;1.0;1.0;;;;;;204.0
IJsselmuiden-G0191;17;;777;2685;457;121;1762.0;10.0;32.0;125.0;9.0;58.0;17.0;438.0;7.0;16.0;1.0;;1.0;;;;;;;;407.0
IJsselstein-G0353;49;;2658;3306;1851;618;443.0;77.0;206.0;20.0;88.0;37.0;36.0;33.0;22.0;39.0;12.0;6.0;2.0;;4.0;;;;;;1119.0
Ilpendam-G0407;14;;617;571;471;100;8.0;189.0;28.0;1.0;13.0;15.0;21.0;8.0;6.0;12.0;1.0;;1.0;2.0;;;;;;;188.0
Jabeek-G0927;4;;161;260;30;12;;8.0;9.0;;6.0;;3.0;;;2.0;;;1.0;1.0;;;;;;;
Jisp-G0408;1;;247;68;162;44;;37.0;15.0;3.0;7.0;11.0;7.0;2.0;2.0;1.0;;;;;;1.0;;;;;61.0
Kamerik-G0323;12;;255;1074;264;85;233.0;2.0;22.0;15.0;10.0;21.0;5.0;24.0;2.0;3.0;3.0;;;1.0;;;;;;;148.0
Kampen-G0166;55;;5446;6628;1608;576;1460.0;69.0;232.0;636.0;94.0;153.0;62.0;1319.0;29.0;43.0;5.0;;1.0;2.0;4.0;;;;;;1620.0
Kantens-G0020;9;;509;259;205;23;4.0;8.0;20.0;133.0;14.0;6.0;7.0;4.0;3.0;1.0;4.0;;;;;;;;;;
Kapelle-G0678;30;;1444;1806;960;244;396.0;12.0;54.0;64.0;12.0;222.0;28.0;91.0;18.0;6.0;3.0;;2.0;;;;;;;;687.0
Katwijk-G0537;195;;4309;8211;3309;746;3887.0;60.0;216.0;166.0;57.0;105.0;144.0;235.0;70.0;33.0;19.0;9.0;10.0;4.0;7.0;;;;;;3008.0
Katwoude-G0409;0;;23;62;67;14;2.0;;4.0;1.0;2.0;7.0;1.0;;;;;;;;;;;;;;7.0
Kedichem-G0538;9;;275;133;256;19;49.0;1.0;9.0;2.0;2.0;10.0;3.0;7.0;1.0;;1.0;;;;;;;;;;49.0
Kerkrade-G0928;490;;11234;8585;3202;696;13.0;522.0;542.0;8.0;145.0;251.0;145.0;16.0;113.0;196.0;99.0;;58.0;29.0;11.0;;;;;;6640.0
Kerkwijk-G0257;12;;770;970;405;90;981.0;8.0;20.0;36.0;7.0;33.0;5.0;28.0;1.0;;3.0;;1.0;;;;;;;;388.0
Kessel-G0929;25;;376;1193;337;58;;3.0;25.0;1.0;12.0;27.0;8.0;;3.0;24.0;;;2.0;;2.0;;;;;;300.0
Kesteren-G0258;19;;1432;836;675;142;1461.0;12.0;31.0;36.0;19.0;76.0;17.0;29.0;11.0;1.0;7.0;;;1.0;;;;;;;440.0
Klaaswaal-G0539;2;;781;521;486;100;132.0;15.0;54.0;22.0;9.0;25.0;12.0;25.0;3.0;1.0;5.0;1.0;;;1.0;;;;;;275.0
Klimmen-G0930;15;;538;1226;440;69;2.0;8.0;115.0;1.0;10.0;16.0;8.0;1.0;7.0;43.0;;;2.0;2.0;1.0;;;;;;276.0
Kloosterburen-G0021;3;;336;584;126;20;2.0;4.0;16.0;14.0;3.0;2.0;5.0;2.0;;13.0;;;3.0;;;;;;;;129.0
Klundert-G0804;27;;852;1941;472;124;146.0;10.0;32.0;32.0;9.0;23.0;4.0;43.0;4.0;1.0;1.0;2.0;1.0;;;;;;;;409.0
Kockengen-G0324;11;;186;825;219;74;225.0;2.0;29.0;16.0;15.0;39.0;7.0;36.0;;7.0;1.0;;;;;;;;;;103.0
Kollumerland en Nieuwkruisland-G0079;46;;1501;4328;535;139;180.0;51.0;43.0;99.0;16.0;64.0;25.0;121.0;7.0;2.0;2.0;3.0;;1.0;1.0;;;;;;706.0
Kortgene-G0682;9;;946;577;432;93;145.0;11.0;18.0;22.0;9.0;17.0;18.0;2.0;5.0;;;;1.0;1.0;;;;;;;162.0
Koudekerk aan den Rijn-G0540;20;;545;1004;555;135;62.0;12.0;28.0;14.0;10.0;10.0;25.0;13.0;9.0;4.0;3.0;1.0;;;1.0;;;;;;219.0
Krimpen aan de Lek-G0541;41;;1648;594;743;260;279.0;35.0;29.0;21.0;26.0;11.0;19.0;12.0;12.0;1.0;2.0;2.0;;;4.0;;;;;;325.0
Krimpen aan den IJssel-G0542;122;;5475;2309;3720;1147;1814.0;148.0;193.0;205.0;82.0;27.0;109.0;95.0;81.0;10.0;5.0;10.0;4.0;2.0;3.0;;;;;;1694.0
Landsmeer-G0415;28;;1844;717;1312;482;13.0;354.0;150.0;11.0;61.0;17.0;62.0;14.0;38.0;6.0;2.0;;;1.0;1.0;3.0;;;;;404.0
Langbroek-G0325;2;;239;449;225;62;205.0;3.0;6.0;7.0;7.0;13.0;5.0;3.0;1.0;3.0;;1.0;;;;;;;;;84.0
Langedijk-G0416;51;;1819;2654;1455;469;13.0;182.0;101.0;43.0;49.0;31.0;53.0;103.0;15.0;24.0;3.0;;2.0;4.0;;1.0;;;;;774.0
Langerak-G0543;9;;231;241;138;38;149.0;1.0;4.0;58.0;2.0;8.0;3.0;65.0;1.0;;;;;;;;;;;;75.0
Laren-G0417;71;;1823;2461;2997;705;39.0;48.0;195.0;20.0;89.0;47.0;93.0;11.0;18.0;74.0;14.0;;8.0;1.0;2.0;;;;;;960.0
Leek-G0022;48;;3542;2707;1594;474;48.0;76.0;126.0;561.0;66.0;152.0;53.0;59.0;14.0;7.0;4.0;;1.0;2.0;1.0;;;;;;930.0
Leende-G0805;12;;231;1470;441;83;;2.0;25.0;;10.0;11.0;18.0;1.0;1.0;43.0;2.0;1.0;;;5.0;;;;;;166.0
Leens-G0023;16;;740;710;294;44;13.0;26.0;30.0;297.0;21.0;6.0;5.0;12.0;3.0;5.0;1.0;;;1.0;1.0;;;;;;210.0
Leerbroek-G0544;7;;68;218;77;22;248.0;2.0;4.0;13.0;2.0;18.0;1.0;9.0;6.0;;;;;;;;;;;;72.0
Leerdam-G0545;88;;3394;2204;1167;308;773.0;74.0;49.0;155.0;28.0;42.0;38.0;260.0;34.0;5.0;2.0;1.0;3.0;1.0;1.0;;;;;;1028.0
Leersum-G0326;12;;971;963;1317;209;293.0;8.0;39.0;37.0;29.0;62.0;29.0;35.0;8.0;8.0;;;3.0;;1.0;;;;;;211.0
Leeuwarden-G0080;284;;26145;14710;6911;2857;202.0;567.0;834.0;642.0;627.0;113.0;346.0;332.0;108.0;71.0;157.0;26.0;8.0;12.0;16.0;;;;;;6397.0
Leeuwarderadeel-G0081;28;;2060;1550;644;277;15.0;20.0;47.0;29.0;36.0;16.0;28.0;24.0;4.0;1.0;5.0;;;1.0;1.0;;;;;;302.0
Leiden-G0546;548;;27153;13837;12103;5155;524.0;1588.0;1712.0;283.0;1256.0;195.0;679.0;269.0;208.0;169.0;461.0;60.0;58.0;18.0;18.0;;;;;;9471.0
Leiderdorp-G0547;59;;2481;3173;3412;1044;129.0;57.0;218.0;63.0;97.0;25.0;108.0;59.0;29.0;18.0;48.0;3.0;2.0;2.0;1.0;;;;;;874.0
Leidschendam-G0548;123;;4053;6338;5170;1570;69.0;68.0;322.0;90.0;139.0;105.0;180.0;45.0;77.0;122.0;148.0;10.0;8.0;7.0;11.0;;;;;;1805.0
Leimuiden-G0549;20;;388;1240;545;118;18.0;11.0;31.0;6.0;13.0;24.0;13.0;2.0;5.0;1.0;4.0;;;;;;;;;;282.0
Lekkerkerk-G0550;48;;1895;651;1286;279;412.0;33.0;38.0;19.0;19.0;24.0;40.0;10.0;3.0;2.0;2.0;;1.0;;2.0;;;;;;375.0
Lemsterland-G0082;36;;2132;2114;626;262;88.0;288.0;50.0;32.0;28.0;41.0;27.0;53.0;7.0;8.0;2.0;2.0;3.0;2.0;;;;;;;656.0
Leusden-G0327;43;;1783;4068;3180;950;287.0;38.0;244.0;317.0;78.0;68.0;81.0;74.0;25.0;66.0;9.0;15.0;1.0;2.0;;;;;;;869.0
Lexmond-G0551;9;;358;558;238;38;216.0;11.0;8.0;11.0;7.0;17.0;2.0;19.0;3.0;2.0;;;;;;;;;;;71.0
Lichtenvoorde-G0260;24;;1416;6360;967;231;5.0;15.0;146.0;8.0;80.0;86.0;14.0;6.0;11.0;51.0;13.0;;1.0;;;;;;;;745.0
Liempde-G0806;15;;444;1413;188;103;1.0;4.0;18.0;2.0;6.0;37.0;2.0;;2.0;21.0;3.0;3.0;1.0;1.0;;;;;;;200.0
Lienden-G0261;14;;1766;617;797;110;323.0;9.0;27.0;10.0;20.0;135.0;17.0;14.0;2.0;4.0;3.0;;;;1.0;;;;;;309.0
Lieshout-G0807;8;;687;1782;379;124;;17.0;44.0;1.0;28.0;58.0;10.0;;3.0;15.0;8.0;2.0;2.0;;1.0;;;;;;346.0
Limbricht-G0931;27;;721;1532;394;104;;14.0;41.0;1.0;29.0;23.0;11.0;3.0;4.0;20.0;3.0;;1.0;;;;;;;;351.0
Limmen-G0418;11;;622;1244;563;164;1.0;40.0;70.0;3.0;16.0;83.0;11.0;8.0;8.0;9.0;;;2.0;1.0;;;;;;;221.0
Linne-G0932;18;;580;1041;394;62;;20.0;51.0;1.0;10.0;23.0;7.0;1.0;3.0;41.0;;;4.0;;2.0;;;;;;323.0
Linschoten-G0328;14;;480;1446;703;186;293.0;11.0;54.0;26.0;14.0;30.0;21.0;35.0;11.0;11.0;1.0;;;;;;;;;;307.0
Lisse-G0553;82;;2011;4625;2417;611;620.0;51.0;226.0;60.0;65.0;58.0;47.0;97.0;30.0;64.0;6.0;5.0;2.0;;5.0;;;;;;1088.0
Lith-G0808;14;;639;1761;351;73;;5.0;25.0;;9.0;36.0;5.0;3.0;1.0;15.0;71.0;2.0;1.0;;;;;;;;460.0
Lochem-G0262;50;;3863;2715;3109;755;23.0;92.0;199.0;51.0;110.0;209.0;85.0;22.0;18.0;31.0;7.0;;1.0;1.0;1.0;;1.0;;;;1017.0
Loenen-G0329;35;;866;1419;1196;329;137.0;46.0;76.0;46.0;51.0;39.0;35.0;40.0;16.0;9.0;4.0;4.0;5.0;1.0;;;;;;;350.0
Loon op Zand-G0809;101;;2639;5418;1693;397;109.0;39.0;176.0;8.0;49.0;146.0;29.0;10.0;22.0;47.0;16.0;10.0;2.0;3.0;;;;;;;1313.0
Loosdrecht-G0330;31;;895;1442;1893;438;103.0;41.0;63.0;42.0;58.0;36.0;36.0;53.0;20.0;8.0;3.0;5.0;10.0;;1.0;;;;;;577.0
Lopik-G0331;28;;961;1886;561;156;384.0;11.0;35.0;34.0;15.0;45.0;11.0;33.0;4.0;11.0;3.0;1.0;;3.0;3.0;;;;;;358.0
Loppersum-G0024;6;;761;985;310;75;6.0;26.0;23.0;116.0;19.0;9.0;10.0;16.0;3.0;2.0;1.0;;1.0;;;;;;;;194.0
Losser-G0168;50;;3498;6483;1193;371;13.0;210.0;280.0;5.0;37.0;145.0;37.0;18.0;21.0;81.0;30.0;;;4.0;1.0;;;;;;1399.0
Luyksgestel-G0810;10;;224;1025;152;63;5.0;1.0;11.0;3.0;7.0;24.0;7.0;;2.0;7.0;1.0;;;;;;;;;;88.0
Maarheeze-G0811;15;;677;2657;846;214;1.0;7.0;44.0;3.0;24.0;53.0;21.0;4.0;7.0;24.0;4.0;1.0;4.0;;;;;;;;527.0
Maarn-G0332;13;;741;1065;1261;375;199.0;12.0;69.0;32.0;32.0;47.0;54.0;14.0;5.0;6.0;4.0;1.0;;2.0;2.0;;;;;;358.0
Maarssen-G0333;68;;4013;4067;3258;1059;224.0;99.0;232.0;87.0;113.0;66.0;75.0;118.0;33.0;28.0;46.0;5.0;4.0;2.0;1.0;;;;;;1529.0
Maartensdijk-G0334;37;;1063;1512;1296;410;648.0;24.0;77.0;60.0;40.0;55.0;42.0;68.0;11.0;6.0;3.0;3.0;;2.0;1.0;;;;;;500.0
Maasbracht-G0933;61;;1063;1911;727;109;10.0;6.0;53.0;5.0;38.0;61.0;25.0;12.0;7.0;75.0;4.0;;9.0;;3.0;;;;;;1002.0
Maasbree-G0934;47;;811;3376;784;145;1.0;16.0;110.0;;34.0;56.0;19.0;1.0;18.0;41.0;;;1.0;1.0;;;;;;;836.0
Maasdam-G0554;14;;623;395;506;127;196.0;8.0;14.0;12.0;10.0;12.0;3.0;11.0;3.0;2.0;2.0;;1.0;;;;;;;;144.0
Maasdriel-G0263;23;;920;2604;635;131;27.0;10.0;38.0;2.0;7.0;57.0;9.0;2.0;3.0;37.0;31.0;;1.0;2.0;;;;;;;571.0
Maasland-G0555;10;;340;1800;739;139;55.0;6.0;36.0;27.0;9.0;8.0;10.0;69.0;6.0;10.0;2.0;1.0;;;1.0;;;;;;210.0
Maassluis-G0556;81;;6512;4606;3492;1336;271.0;113.0;306.0;202.0;104.0;57.0;136.0;233.0;88.0;24.0;46.0;9.0;2.0;5.0;4.0;;2.0;;;;2254.0
Maastricht-G0935;647;;24161;20034;9991;2144;14.0;718.0;1248.0;28.0;535.0;403.0;241.0;31.0;166.0;682.0;102.0;;125.0;15.0;26.0;;;;;;17110.0
Made en Drimmelen-G0812;60;;2373;2832;850;257;14.0;21.0;63.0;9.0;14.0;107.0;23.0;4.0;13.0;69.0;2.0;10.0;2.0;1.0;;;;;;;861.0
Margraten-G0936;17;;427;1068;319;71;2.0;6.0;38.0;1.0;14.0;19.0;6.0;1.0;4.0;23.0;;;2.0;;1.0;;;;;;222.0
Mariekerke-G0686;4;;146;732;178;53;687.0;3.0;29.0;46.0;2.0;24.0;7.0;32.0;1.0;1.0;;;;;;;;;;;119.0
Markelo-G0169;26;;1489;979;1440;252;43.0;14.0;42.0;6.0;16.0;178.0;35.0;21.0;3.0;6.0;4.0;;;;;;;;;;407.0
Marken-G0419;6;;329;769;100;53;1.0;3.0;15.0;3.0;3.0;10.0;10.0;5.0;1.0;2.0;;;;;;1.0;;;;;73.0
Marum-G0025;22;;1909;1488;826;173;29.0;63.0;62.0;117.0;43.0;222.0;22.0;33.0;14.0;1.0;2.0;;;4.0;1.0;;;;;;500.0
Maurik-G0264;16;;1723;813;762;126;94.0;11.0;39.0;16.0;11.0;55.0;13.0;15.0;3.0;3.0;10.0;;;;;;;;;;274.0
Medemblik-G0420;26;;1253;1354;570;180;22.0;172.0;55.0;18.0;26.0;24.0;24.0;32.0;16.0;28.0;1.0;;4.0;1.0;1.0;1.0;;;;;444.0
Meeden-G0026;10;;619;267;98;20;8.0;30.0;11.0;23.0;8.0;9.0;2.0;4.0;;;;;;;;;;;;;71.0
Meerkerk-G0557;6;;485;547;375;64;188.0;7.0;19.0;6.0;6.0;27.0;3.0;22.0;1.0;1.0;;;;1.0;;;;;;;159.0
Meerlo-Wanssum-G0993;19;;616;2363;472;110;1.0;7.0;64.0;;30.0;24.0;4.0;1.0;6.0;27.0;4.0;;2.0;1.0;2.0;;;;;;471.0
Meerssen-G0938;58;;1419;2406;761;143;3.0;49.0;80.0;9.0;32.0;46.0;19.0;1.0;8.0;54.0;5.0;;18.0;1.0;1.0;;;;;;913.0
Megen, Haren en Macharen-G0813;11;;319;1025;137;66;;5.0;22.0;;10.0;14.0;6.0;;3.0;12.0;36.0;;;;;;;;;;171.0
Meijel-G0941;22;;449;1712;278;55;;4.0;30.0;;16.0;53.0;5.0;1.0;3.0;28.0;1.0;;2.0;;1.0;;;;;;564.0
Melick en Herkenbosch-G0939;33;;931;1568;896;124;1.0;9.0;56.0;3.0;19.0;46.0;16.0;;4.0;37.0;6.0;;93.0;1.0;1.0;;;;;;367.0
Menaldumadeel-G0083;47;;3009;2822;1096;401;20.0;32.0;77.0;47.0;61.0;49.0;67.0;40.0;16.0;9.0;3.0;1.0;;2.0;2.0;;;;;;486.0
Meppel-G0119;71;;5817;3803;2456;640;60.0;88.0;193.0;290.0;60.0;127.0;80.0;81.0;37.0;11.0;27.0;;1.0;6.0;3.0;;;;;;1264.0
Merkelbeek-G0940;19;;277;546;144;25;;12.0;15.0;;6.0;12.0;4.0;;3.0;10.0;;;2.0;;1.0;;;;;;160.0
Mheer-G0942;6;;207;550;181;39;;2.0;15.0;;3.0;15.0;5.0;2.0;1.0;8.0;;;2.0;;;;;;;;131.0
Middelburg-G0687;74;;7227;6181;3702;1417;1568.0;130.0;615.0;376.0;169.0;124.0;142.0;337.0;75.0;19.0;18.0;;5.0;6.0;4.0;;;;;;3018.0
Middelharnis-G0559;99;;3170;1739;1283;287;2164.0;15.0;83.0;63.0;43.0;70.0;35.0;78.0;35.0;2.0;2.0;;;;;;;;;;1026.0
Middelstum-G0027;9;;521;876;163;40;3.0;23.0;31.0;103.0;12.0;8.0;5.0;64.0;1.0;;;;;;;;;;;;116.0
Middenschouwen-G0688;7;;406;474;271;61;124.0;4.0;11.0;39.0;4.0;20.0;10.0;49.0;3.0;;;;;;1.0;;;;;;127.0
Midwolda-G0028;18;;1038;1037;203;31;9.0;126.0;25.0;19.0;21.0;9.0;10.0;83.0;3.0;1.0;;;1.0;2.0;1.0;;;;;;230.0
Midwoud-G0422;9;;538;125;380;124;2.0;23.0;22.0;2.0;15.0;4.0;12.0;2.0;;1.0;1.0;;;3.0;;;;;;;127.0
Mierlo-G0814;14;;1074;2379;939;234;3.0;21.0;81.0;1.0;18.0;45.0;26.0;3.0;4.0;26.0;9.0;1.0;1.0;1.0;1.0;;;;;;481.0
Mijdrecht-G0336;76;;1121;2978;1634;361;122.0;20.0;124.0;61.0;37.0;69.0;34.0;102.0;7.0;28.0;;5.0;4.0;1.0;;;;;;;761.0
Mijnsheerenland-G0564;8;;548;619;676;141;100.0;6.0;19.0;20.0;8.0;11.0;9.0;11.0;6.0;;1.0;;;;;;;;;;185.0
Mill en Sint Hubert-G0815;38;;1179;3716;581;145;1.0;15.0;46.0;1.0;37.0;70.0;12.0;;5.0;44.0;29.0;2.0;2.0;;3.0;;;;;;613.0
Millingen aan de Rijn-G0265;11;;1300;1252;199;114;;7.0;46.0;;17.0;19.0;10.0;1.0;5.0;9.0;11.0;;;;2.0;;;;;;391.0
Moergestel-G0816;19;;581;1853;468;112;1.0;10.0;31.0;;19.0;37.0;14.0;;3.0;12.0;2.0;2.0;3.0;2.0;;;;;;;271.0
Moerkapelle-G0560;17;;323;365;286;93;399.0;3.0;10.0;10.0;2.0;7.0;7.0;27.0;3.0;;2.0;;;;;;;;;;150.0
Molenaarsgraaf-G0561;2;;111;181;87;27;121.0;1.0;3.0;6.0;1.0;2.0;1.0;6.0;;;;;1.0;;;;;;;;51.0
Monnickendam-G0423;23;;1681;1361;1219;430;9.0;152.0;143.0;15.0;37.0;28.0;52.0;6.0;28.0;14.0;2.0;;1.0;4.0;2.0;4.0;;;;;446.0
Monster-G0562;93;;1936;4765;2195;429;619.0;24.0;81.0;151.0;25.0;92.0;64.0;72.0;62.0;69.0;11.0;7.0;4.0;;;;1.0;;;;1352.0
Montfoort-G0335;12;;458;1001;442;122;115.0;7.0;49.0;4.0;7.0;10.0;10.0;5.0;;41.0;1.0;;;;;;;;;;282.0
Montfort-G0943;23;;489;751;256;35;;8.0;16.0;1.0;7.0;70.0;8.0;;6.0;33.0;;;7.0;1.0;;;;;;;294.0
Mook en Middelaar-G0944;28;;704;1479;733;229;;11.0;66.0;5.0;43.0;36.0;11.0;3.0;3.0;19.0;21.0;;2.0;;;;;;;;282.0
Moordrecht-G0563;36;;1167;849;606;255;248.0;16.0;57.0;39.0;14.0;33.0;25.0;14.0;11.0;3.0;3.0;1.0;2.0;;;;;;;;475.0
Muiden-G0424;31;;1184;1184;1047;427;35.0;32.0;57.0;18.0;23.0;23.0;38.0;14.0;19.0;8.0;;;1.0;3.0;;;;;;;0.0
Munstergeleen-G0945;23;;789;1375;492;99;;25.0;52.0;;15.0;22.0;7.0;3.0;7.0;8.0;;;6.0;;;;;;;;382.0
Muntendam-G0029;16;;1701;257;242;74;7.0;219.0;14.0;19.0;16.0;12.0;10.0;27.0;3.0;3.0;3.0;;;2.0;;;;;;;375.0
Naaldwijk-G0565;95;;2474;7306;3296;578;197.0;20.0;178.0;92.0;49.0;83.0;89.0;53.0;43.0;125.0;7.0;2.0;;3.0;1.0;;;;;;1448.0
Naarden-G0425;66;;2386;2360;4268;948;144.0;94.0;171.0;52.0;86.0;66.0;129.0;67.0;50.0;36.0;4.0;;3.0;1.0;;;;;;;1128.0
Nederhorst den Berg-G0426;27;;714;1045;676;236;13.0;46.0;47.0;24.0;16.0;13.0;16.0;9.0;10.0;15.0;;;;;;;;;;;276.0
Nederweert-G0946;76;;1542;4711;917;148;2.0;20.0;92.0;;37.0;125.0;23.0;1.0;5.0;79.0;7.0;;90.0;2.0;;;;;;;1025.0
Neede-G0266;34;;2896;2209;1073;294;4.0;16.0;71.0;66.0;28.0;65.0;44.0;38.0;11.0;25.0;18.0;;;1.0;3.0;;;;;;565.0
Neer-G0947;15;;337;1111;249;62;;4.0;32.0;;17.0;28.0;8.0;;2.0;40.0;2.0;;3.0;;1.0;;;;;;391.0
Nibbixwoud-G0427;18;;375;750;333;55;2.0;16.0;25.0;2.0;10.0;6.0;5.0;;2.0;21.0;1.0;;;;;1.0;;;;;149.0
Niedorp-G0412;21;;1645;1259;907;307;3.0;76.0;61.0;5.0;50.0;41.0;32.0;8.0;3.0;19.0;;;3.0;;1.0;;;;;;471.0
Nieuw-Beijerland-G0566;16;;509;291;393;106;359.0;7.0;26.0;8.0;5.0;8.0;22.0;21.0;7.0;2.0;;2.0;1.0;;;;;;;;168.0
Nieuwe Pekela-G0030;33;;1306;954;423;62;24.0;273.0;38.0;18.0;19.0;25.0;5.0;67.0;4.0;10.0;1.0;;;3.0;1.0;;;;;;450.0
Nieuwegein-G0356;73;;4732;4767;3062;1044;243.0;98.0;276.0;86.0;113.0;67.0;83.0;56.0;30.0;38.0;33.0;8.0;4.0;3.0;6.0;;;;;;1574.0
Nieuwenhagen-G0948;86;;2130;1806;821;174;6.0;165.0;124.0;2.0;40.0;40.0;41.0;2.0;14.0;47.0;31.0;;;9.0;2.0;;;;;;1073.0
Nieuwerkerk aan den IJssel-G0567;58;;1930;1537;1462;347;562.0;21.0;58.0;40.0;33.0;51.0;48.0;89.0;32.0;5.0;1.0;1.0;6.0;2.0;;;;;;;565.0
Nieuweschans-G0031;12;;623;87;109;22;2.0;376.0;9.0;;3.0;4.0;8.0;1.0;;;;;1.0;3.0;;;;;;;67.0
Nieuw-Ginneken-G0817;37;;1209;2997;1419;302;7.0;11.0;76.0;2.0;18.0;76.0;25.0;;8.0;26.0;2.0;4.0;2.0;;2.0;;;;;;433.0
Nieuwkoop-G0569;36;;1042;2047;1351;290;137.0;17.0;124.0;10.0;27.0;28.0;36.0;49.0;13.0;11.0;4.0;1.0;2.0;;1.0;;;;;;462.0
Nieuwland-G0570;6;;92;148;59;5;99.0;1.0;;6.0;;9.0;2.0;16.0;2.0;;;;;;;;;;;;52.0
Nieuw-Lekkerland-G0571;26;;1489;823;431;214;1041.0;26.0;47.0;115.0;13.0;13.0;24.0;36.0;8.0;;3.0;4.0;2.0;;;;;;;;473.0
Nieuwleusen-G0170;12;;906;1941;588;127;152.0;3.0;34.0;165.0;9.0;301.0;15.0;37.0;5.0;;4.0;;1.0;1.0;2.0;;;;;;442.0
Nieuwolda-G0032;9;;516;263;163;15;4.0;25.0;20.0;11.0;10.0;5.0;9.0;2.0;1.0;;1.0;;;4.0;1.0;;;;;;103.0
Nieuwpoort-G0572;8;;193;176;107;24;129.0;1.0;1.0;18.0;;16.0;3.0;23.0;;;;;;;;;1.0;;;;45.0
Nieuwstadt-G0949;26;;564;830;276;76;;14.0;35.0;;9.0;17.0;16.0;;5.0;12.0;;;;1.0;1.0;;;;;;241.0
Nieuwveen-G0573;7;;220;773;330;43;39.0;3.0;35.0;6.0;5.0;3.0;8.0;6.0;1.0;9.0;1.0;;;;1.0;;;;;;356.0
Nieuw-Vossemeer-G0818;5;;604;537;141;23;2.0;2.0;16.0;;3.0;14.0;3.0;1.0;1.0;2.0;;;;;;;;;;;107.0
Nigtevecht-G0337;4;;185;261;174;53;3.0;5.0;10.0;1.0;3.0;7.0;2.0;5.0;1.0;;;;;;;;;;;;71.0
Nijeveen-G0121;9;;441;707;327;78;7.0;4.0;12.0;28.0;2.0;26.0;9.0;7.0;2.0;;2.0;;;;;;;;;;69.0
Nijkerk-G0267;52;;3046;5379;1968;520;1116.0;27.0;129.0;227.0;31.0;253.0;70.0;336.0;11.0;21.0;4.0;;2.0;2.0;2.0;;2.0;;;;1225.0
Nijmegen-G0268;394;;33813;29515;11356;5602;76.0;1023.0;3189.0;143.0;2968.0;441.0;339.0;81.0;240.0;462.0;2163.0;;58.0;41.0;19.0;;;;;;14646.0
Nistelrode-G0819;19;;786;2143;284;92;2.0;4.0;34.0;1.0;22.0;47.0;7.0;3.0;5.0;15.0;38.0;1.0;;;1.0;;;;;;409.0
Noorbeek-G0950;4;;151;406;83;24;;5.0;16.0;;7.0;4.0;5.0;;;13.0;;;;;;;;;;;
Noordeloos-G0574;8;;132;315;175;21;175.0;1.0;7.0;12.0;;7.0;5.0;18.0;;;;;;;;;;;;;48.0
Noordoostpolder-G0171;40;;5147;9382;3442;1026;383.0;192.0;295.0;443.0;131.0;159.0;154.0;450.0;48.0;30.0;13.0;;6.0;1.0;2.0;;;;;;1765.0
Noordwijk-G0575;132;;3068;4972;3037;698;156.0;90.0;474.0;74.0;102.0;91.0;107.0;30.0;32.0;96.0;10.0;14.0;10.0;1.0;4.0;;;;;;2555.0
Noordwijkerhout-G0576;56;;1357;3705;1886;451;16.0;42.0;120.0;18.0;133.0;97.0;52.0;7.0;19.0;115.0;12.0;5.0;;;1.0;;;;;;976.0
Nootdorp-G0577;34;;559;1640;845;229;24.0;14.0;39.0;15.0;19.0;28.0;25.0;8.0;18.0;14.0;1.0;3.0;1.0;;2.0;;;;;;450.0
Norg-G0120;12;;1417;684;1162;211;20.0;16.0;56.0;38.0;27.0;121.0;31.0;9.0;17.0;1.0;9.0;;2.0;;3.0;;;;;;314.0
Nuenen, Gerwen en Nederwetten-G0820;22;;1870;4080;1972;742;2.0;21.0;168.0;22.0;67.0;58.0;47.0;11.0;13.0;24.0;7.0;5.0;1.0;;1.0;;;;;;916.0
Nuland-G0821;14;;347;1395;190;57;;1.0;18.0;1.0;4.0;18.0;1.0;;2.0;6.0;70.0;3.0;;1.0;;;;;;;286.0
Numansdorp-G0578;29;;2091;961;887;254;319.0;13.0;33.0;22.0;11.0;38.0;18.0;10.0;21.0;2.0;3.0;2.0;1.0;;2.0;;1.0;;;;377.0
Nunspeet-G0302;52;;1867;4519;2333;483;2736.0;40.0;113.0;166.0;27.0;336.0;100.0;774.0;19.0;8.0;6.0;;5.0;2.0;1.0;;1.0;;;;371.0
Nuth-G0951;39;;1658;2006;578;130;1.0;38.0;134.0;1.0;35.0;44.0;12.0;2.0;7.0;60.0;16.0;;17.0;1.0;5.0;;;;;;533.0
Obbicht en Papenhoven-G0952;14;;438;700;126;37;;13.0;22.0;2.0;8.0;13.0;8.0;1.0;7.0;5.0;1.0;;7.0;;;;;;;;211.0
Obdam-G0429;16;;363;1305;325;124;2.0;12.0;59.0;;16.0;16.0;19.0;2.0;1.0;45.0;;;;;;;;;;;172.0
