RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP-GPV-RPF;GL;DG;SP;Centrumdemocraten;Een Betere Toekomst;Lijst de Groen;@abs
Nederhorst den Berg-G0426;3;;547;336;451;210;32.0;47;37;14.0;10.0;9.0;;2430
Nederlek-G0643;14;;938;1432;1076;565;681.0;69;59;38.0;72.0;10.0;4.0;6181
Nederweert-G0946;21;;2567;629;553;343;26.0;61;19;29.0;36.0;10.0;5.0;7656
Neede-G0266;7;;1255;1135;608;339;129.0;60;61;11.0;13.0;8.0;33.0;4935
Neerijnen-G0304;11;;808;746;658;256;633.0;59;49;14.0;32.0;5.0;1.0;4835
Niedorp-G0412;12;;728;931;564;310;18.0;102;76;5.0;15.0;9.0;4.0;5108
Nieuwegein-G0356;22;;3483;3215;2762;2022;669.0;494;377;163.0;160.0;33.0;27.0;29194
Nieuwerkerk aan den IJssel-G0567;11;;1278;940;1341;671;808.0;88;89;34.0;57.0;19.0;7.0;8177
Nieuw-Ginneken-G0817;19;;1504;565;893;513;31.0;50;71;15.0;23.0;13.0;11.0;5572
Nieuwkoop-G0569;7;;943;490;710;384;234.0;80;61;10.0;15.0;16.0;1.0;5223
Nieuw-Lekkerland-G0571;6;;467;605;285;186;1470.0;26;19;20.0;26.0;12.0;1.0;3245
Nieuwleusen-G0170;3;;1073;345;383;147;590.0;9;27;9.0;9.0;1.0;2.0;3527
Nieuw-Vossemeer-G0818;0;;212;183;88;61;3.0;11;11;6.0;14.0;3.0;;1213
Nijefurd-G0104;7;;1516;738;348;188;167.0;73;115;7.0;7.0;7.0;2.0;4641
Nijeveen-G0121;0;;459;173;215;104;57.0;4;12;4.0;2.0;1.0;;1173
Nijkerk-G0267;9;;2833;965;1046;580;2129.0;99;106;12.0;57.0;9.0;9.0;11504
Nijmegen-G0268;240;;10004;11630;4152;5393;419.0;4673;1674;1381.0;298.0;85.0;70.0;76236
Noorder-Koggenland-G0529;10;;666;688;782;366;167.0;100;86;25.0;33.0;13.0;5.0;4325
Noordoostpolder-G0171;33;;5087;2124;1924;1081;1676.0;223;307;70.0;79.0;26.0;10.0;15422
Noordwijk-G0575;28;;2179;1195;1773;659;319.0;317;143;63.0;58.0;37.0;27.0;12802
Noordwijkerhout-G0576;11;;1798;693;1232;518;53.0;118;87;26.0;39.0;18.0;3.0;6909
Nootdorp-G0577;2;;883;270;699;274;70.0;59;50;9.0;26.0;10.0;6.0;3651
Norg-G0120;4;;396;728;683;252;66.0;74;75;14.0;28.0;5.0;1.0;3078
Nuenen, Gerwen en Nederwetten-G0820;11;;2669;1214;1287;1125;71.0;221;138;48.0;24.0;9.0;24.0;9553
Nunspeet-G0302;10;;2259;715;1234;469;4339.0;69;80;22.0;58.0;16.0;5.0;9378
Nuth-G0951;30;;2813;1004;546;662;44.0;212;38;56.0;48.0;13.0;10.0;7937
Obdam-G0429;3;;804;329;354;177;12.0;45;39;11.0;14.0;2.0;;2729
Odoorn-G0122;9;;777;1278;740;307;182.0;54;144;16.0;19.0;2.0;4.0;6210
Oegstgeest-G0579;30;;1599;1279;2293;1014;311.0;299;218;51.0;42.0;23.0;11.0;7249
Oirschot-G0823;27;;1908;607;443;328;13.0;71;46;25.0;23.0;14.0;6.0;5462
Oisterwijk-G0824;4;;1810;842;1049;562;50.0;137;102;37.0;36.0;6.0;4.0;9683
Oldebroek-G0269;6;;1627;644;486;196;2829.0;38;54;30.0;21.0;10.0;;9577
Oldenzaal-G0173;35;;4182;1611;1093;923;83.0;199;227;83.0;57.0;23.0;168.0;14304
Olst-G0174;11;;959;890;590;261;61.0;66;81;11.0;9.0;3.0;5.0;4188
Ommen-G0175;13;;3368;896;868;481;1308.0;81;106;22.0;14.0;8.0;9.0;6333
Onderbanken-G0881;15;;1311;378;155;226;11.0;93;20;53.0;36.0;15.0;5.0;4307
Oost-, West- en Middelbeers-G0825;5;;859;163;223;153;6.0;22;16;12.0;9.0;2.0;4.0;2407
Oostburg-G0692;33;;1337;1018;1389;630;230.0;81;126;26.0;52.0;14.0;4.0;9434
Oosterhesselen-G0123;3;;472;483;340;132;160.0;26;54;16.0;8.0;4.0;3.0;2111
Oosterhout-G0826;10;;3764;2402;2459;1924;164.0;207;293;107.0;118.0;59.0;30.0;26171
Oostflakkee-G0580;16;;707;759;417;182;676.0;51;62;12.0;40.0;13.0;;4591
Ooststellingwerf-G0085;21;;2042;2540;1186;675;446.0;195;246;66.0;49.0;19.0;26.0;11460
Oostzaan-G0431;2;;310;720;509;279;99.0;176;38;16.0;28.0;11.0;1.0;4222
Ootmarsum-G0176;4;;1047;188;212;124;13.0;14;47;8.0;6.0;2.0;47.0;1725
Opmeer-G0432;2;;1222;628;650;256;28.0;75;80;15.0;19.0;11.0;2.0;4659
Opsterland-G0086;13;;2167;2695;1194;720;983.0;221;303;78.0;44.0;15.0;8.0;12115
Oss-G0828;26;;5166;2761;2151;1555;122.0;296;158;1810.0;146.0;30.0;13.0;32247
Ossendrecht-G0829;2;;498;223;201;111;13.0;26;28;8.0;17.0;5.0;;2900
Oud- en Nieuw-Gastel-G0831;0;;759;351;217;169;4.0;21;46;24.0;25.0;10.0;1.0;4804
Oud-Beijerland-G0584;5;;1330;1204;1213;666;1217.0;171;120;42.0;60.0;15.0;8.0;9382
Oudenbosch-G0830;7;;1371;571;555;410;28.0;73;43;25.0;49.0;13.0;4.0;6235
Ouder-Amstel-G0437;10;;1046;885;1045;496;103.0;128;94;17.0;44.0;21.0;2.0;5322
Ouderkerk-G0644;11;;495;415;529;194;890.0;41;23;14.0;27.0;9.0;3.0;3606
Oudewater-G0589;18;;1433;445;525;271;384.0;57;57;13.0;24.0;1.0;;4015
Papendrecht-G0590;6;;1967;1565;1581;1102;1228.0;137;109;60.0;65.0;18.0;12.0;13985
Peize-G0124;5;;157;577;405;260;16.0;50;74;8.0;8.0;;;2380
Pekela-G0765;18;;630;1335;326;157;249.0;283;155;40.0;23.0;5.0;1.0;6976
Pijnacker-G0594;16;;2264;866;1650;797;494.0;171;164;27.0;54.0;46.0;8.0;7726
Prinsenbeek-G0832;6;;1265;475;673;450;35.0;42;38;15.0;12.0;10.0;9.0;5062
Purmerend-G0439;25;;2343;4731;3401;2336;298.0;663;323;187.0;238.0;51.0;26.0;33857
Putte-G0833;0;;269;169;285;116;11.0;20;25;12.0;40.0;12.0;3.0;1996
Putten-G0273;22;;2525;595;1224;402;2651.0;60;71;17.0;48.0;12.0;5.0;8411
Raalte-G0177;10;;5289;1320;918;701;86.0;116;130;89.0;26.0;13.0;16.0;12202
Raamsdonk-G0834;7;;1162;622;595;337;67.0;71;45;17.0;42.0;11.0;3.0;7785
Ravenstein-G0835;6;;1165;499;303;233;13.0;65;34;69.0;19.0;6.0;3.0;3869
Reeuwijk-G0595;3;;1313;469;1114;456;748.0;101;66;13.0;36.0;14.0;;5197
Reiderland-G1661;30;;117;800;199;93;26.0;156;113;126.0;16.0;10.0;3.0;4081
Reimerswaal-G0703;6;;1120;737;684;399;2579.0;52;58;42.0;55.0;10.0;;8827
Renkum-G0274;34;;3414;2685;3113;1444;502.0;469;359;70.0;61.0;10.0;24.0;14077
Renswoude-G0339;0;;468;104;184;44;286.0;4;10;4.0;6.0;5.0;2.0;1477
Reusel-G0836;10;;995;309;250;123;9.0;22;8;9.0;13.0;5.0;3.0;4093
Rheden-G0275;34;;3816;4056;3063;1981;608.0;491;391;126.0;92.0;21.0;33.0;21503
Rhenen-G0340;9;;1216;945;893;467;1193.0;126;110;27.0;35.0;14.0;3.0;7935
Ridderkerk-G0597;32;;2915;2686;1883;1258;3476.0;133;138;95.0;146.0;25.0;9.0;23554
Riethoven-G0837;5;;422;100;135;75;2.0;6;10;1.0;1.0;1.0;;1016
Rijnsburg-G0602;6;;1915;432;537;163;918.0;48;33;9.0;37.0;6.0;;5845
Rijnwaarden-G0196;9;;1032;675;260;265;16.0;31;36;13.0;15.0;9.0;3.0;5486
Rijnwoude-G1672;7;;1720;786;1168;686;943.0;105;116;38.0;28.0;15.0;8.0;8692
Rijsbergen-G0841;6;;619;234;248;165;13.0;15;18;8.0;9.0;4.0;;3039
Rijssen-G0178;24;;2109;792;411;226;5728.0;36;44;27.0;45.0;11.0;17.0;7623
Rijswijk-G0603;52;;4054;2991;4008;2028;509.0;462;329;132.0;239.0;161.0;24.0;23348
Roden-G0125;8;;1351;1868;1146;688;422.0;166;225;52.0;38.0;16.0;5.0;8291
Roerdalen-G1669;15;;1666;497;423;290;15.0;82;34;12.0;35.0;6.0;29.0;4607
Roermond-G0957;52;;4225;1790;1679;1102;119.0;582;104;93.0;203.0;42.0;23.0;22019
Roggel en Neer-G1670;7;;1330;295;237;217;8.0;74;25;17.0;11.0;3.0;4.0;3861
Rolde-G0126;1;;270;821;884;249;43.0;43;90;21.0;3.0;;1.0;2533
Roosendaal en Nispen-G0838;32;;5212;2676;2555;1654;182.0;398;369;214.0;284.0;57.0;31.0;33316
Rosmalen-G0839;31;;2363;1423;1222;850;48.0;189;128;276.0;38.0;23.0;6.0;13906
Rossum-G0276;4;;362;221;162;90;13.0;39;14;9.0;11.0;2.0;1.0;1502
Rotterdam-G0599;724;;23964;36364;20335;13985;6880.0;5361;2406;3049.0;3583.0;537.0;214.0;320011
Rozenburg-G0600;13;;806;794;587;405;229.0;66;43;31.0;78.0;13.0;1.0;7735
Rozendaal-G0277;0;;137;69;250;88;11.0;10;8;2.0;2.0;2.0;1.0;445
Rucphen-G0840;10;;1829;893;592;370;24.0;44;49;16.0;135.0;12.0;4.0;13652
Ruinen-G0127;6;;522;670;776;194;84.0;37;53;15.0;11.0;3.0;1.0;3172
Ruinerwold-G0128;1;;378;303;444;124;65.0;25;33;2.0;3.0;;7.0;1344
Ruurlo-G0278;8;;734;572;761;215;27.0;35;44;16.0;5.0;3.0;9.0;3666
Sas van Gent-G0704;21;;643;432;342;422;42.0;41;38;22.0;32.0;19.0;;4848
Sassenheim-G0604;15;;1719;626;1060;560;115.0;69;75;32.0;19.0;13.0;7.0;6617
Schagen-G0441;12;;933;1238;1110;607;61.0;149;114;49.0;43.0;20.0;4.0;8767
