RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP-GPV-RPF;GL;DG;SP;Centrumdemocraten;Een Betere Toekomst;Lijst de Groen;@abs
Aalburg-G0738;10;;915;309;400;157;1534.0;26;28;13.0;32.0;7.0;;4542
Aalsmeer-G0358;10;;1954;1280;1650;702;367.0;159;116;20.0;60.0;15.0;7.0;10785
Aalten-G0197;19;;3668;988;694;475;349.0;111;130;25.0;16.0;15.0;20.0;7362
Aardenburg-G0648;11;;375;214;305;180;16.0;26;54;4.0;9.0;2.0;2.0;1756
Aarle-Rixtel-G0739;10;;831;334;258;179;5.0;25;21;18.0;13.0;4.0;8.0;2783
Abcoude-G0305;7;;878;516;822;357;147.0;86;106;13.0;29.0;4.0;7.0;3126
Achtkarspelen-G0059;7;;3402;1855;499;349;1332.0;86;194;27.0;37.0;8.0;5.0;12878
Akersloot-G0360;4;;451;288;320;160;24.0;25;35;8.0;11.0;4.0;6.0;2363
Alblasserdam-G0482;14;;1062;1424;624;443;1323.0;72;38;32.0;67.0;20.0;6.0;8140
Albrandswaard-G0613;12;;1339;743;1276;442;307.0;93;83;31.0;41.0;22.0;10.0;7340
Alkemade-G0483;15;;1439;577;1158;327;56.0;106;113;22.0;40.0;15.0;5.0;6756
Alkmaar-G0361;48;;5221;7026;3810;3039;634.0;1447;700;639.0;254.0;65.0;44.0;44241
Almelo-G0141;50;;5243;4395;2252;1747;699.0;415;298;183.0;138.0;36.0;134.0;31476
Almere-G0034;81;;2737;5985;5010;3793;526.0;991;427;291.0;360.0;82.0;45.0;48498
Alphen aan den Rijn-G0484;32;;4464;3093;4132;2408;1593.0;496;289;495.0;134.0;39.0;19.0;31370
Alphen en Riel-G0741;4;;964;219;279;178;13.0;20;33;6.0;7.0;9.0;2.0;2983
Ambt Delden-G0142;3;;1365;171;310;80;10.0;8;42;6.0;12.0;;7.0;1987
Ambt Montfort-G1679;11;;1873;527;379;373;18.0;90;25;16.0;58.0;9.0;9.0;5376
Ameland-G0060;3;;635;343;228;123;15.0;25;30;5.0;7.0;;1.0;1144
Amerongen-G0306;3;;655;317;500;222;439.0;54;31;6.0;8.0;2.0;4.0;3208
Amersfoort-G0307;46;;7362;6763;5300;3962;3416.0;1564;959;242.0;271.0;61.0;76.0;52502
Ammerzoden-G0198;1;;614;199;136;115;64.0;8;14;12.0;8.0;8.0;;2171
Amstelveen-G0362;44;;5429;5386;7085;3505;540.0;1021;649;132.0;199.0;65.0;47.0;34297
Amsterdam-G0363;966;;18796;57349;24808;20488;2099.0;15789;6088;2951.0;3244.0;538.0;271.0;374925
Andijk-G0364;3;;701;329;254;116;254.0;65;32;6.0;7.0;4.0;2.0;2762
Angerlo-G0199;3;;560;361;179;152;18.0;20;16;6.0;3.0;1.0;;2193
Anloo-G0105;5;;256;916;753;345;55.0;84;126;15.0;8.0;6.0;1.0;3604
Anna Paulowna-G0366;8;;899;741;1015;311;97.0;63;81;9.0;39.0;15.0;1.0;6198
Apeldoorn-G0200;97;;11887;9073;7941;5271;3857.0;1270;1022;281.0;249.0;100.0;82.0;72811
Appingedam-G0003;3;;930;1098;357;358;186.0;63;73;48.0;15.0;6.0;5.0;6554
Arcen en Velden-G0885;5;;1522;366;332;239;11.0;58;40;11.0;15.0;10.0;3.0;4173
Arnemuiden-G0649;3;;192;123;150;68;708.0;11;15;1.0;13.0;1.0;3.0;2129
Arnhem-G0202;139;;7628;9598;5534;4672;1219.0;2208;939;687.0;288.0;100.0;48.0;69856
Assen-G0106;32;;3473;5214;2538;1892;2057.0;639;448;213.0;77.0;43.0;16.0;22973
Asten-G0743;11;;2438;699;617;483;16.0;123;60;31.0;28.0;12.0;5.0;7240
Avereest-G0143;12;;1981;828;644;312;491.0;41;59;18.0;18.0;10.0;9.0;6577
Axel-G0650;12;;863;471;386;514;629.0;45;96;29.0;56.0;11.0;3.0;6393
Baarle-Nassau-G0744;0;;899;237;277;172;12.0;39;30;11.0;16.0;6.0;1.0;2739
Baarn-G0308;9;;1988;1555;2333;1009;624.0;232;194;69.0;90.0;17.0;13.0;10757
Bakel en Milheeze-G0745;12;;1190;246;212;247;10.0;33;28;9.0;18.0;4.0;2.0;3757
Barendrecht-G0489;19;;1935;1103;1360;822;1264.0;107;134;27.0;73.0;28.0;5.0;9180
Barneveld-G0203;23;;4754;1096;1948;766;6019.0;113;140;43.0;77.0;14.0;27.0;16081
Bathmen-G0144;1;;484;444;642;250;18.0;27;35;4.0;7.0;2.0;1.0;2082
Bedum-G0005;4;;1422;759;342;318;810.0;66;125;14.0;7.0;2.0;4.0;3720
Beek-G0888;31;;2364;838;810;671;30.0;272;46;42.0;54.0;13.0;9.0;8165
Beek en Donk-G0746;12;;1248;428;248;270;15.0;105;20;29.0;23.0;9.0;2.0;4819
Beemster-G0370;8;;666;690;793;268;40.0;68;67;12.0;19.0;4.0;1.0;3492
Beesel-G0889;15;;1825;602;412;348;23.0;110;29;15.0;156.0;15.0;5.0;6344
Beilen-G0107;10;;1489;1452;825;346;289.0;68;143;25.0;13.0;4.0;4.0;6590
Belfeld-G0890;0;;685;226;180;139;3.0;24;9;2.0;24.0;3.0;;2699
Bellingwedde-G0007;10;;396;1362;415;208;117.0;96;94;26.0;14.0;6.0;3.0;4827
Bemmel-G0206;16;;1762;824;601;539;30.0;88;71;14.0;22.0;13.0;7.0;8432
Bennebroek-G0372;9;;701;303;682;214;50.0;57;56;7.0;10.0;2.0;2.0;2211
Bergambacht-G0491;1;;644;821;711;265;853.0;30;31;25.0;48.0;7.0;2.0;3521
Bergen-G0373;9;;1274;1084;1496;657;45.0;210;216;24.0;40.0;4.0;11.0;6297
Bergen-G0893;15;;1807;582;380;271;14.0;49;32;19.0;23.0;10.0;;6879
Bergen op Zoom-G0748;20;;3496;1958;2078;1253;128.0;332;187;149.0;229.0;37.0;19.0;24724
Bergeyk-G0749;9;;1544;547;458;298;19.0;65;51;22.0;25.0;15.0;11.0;5044
Bergh-G0207;14;;2403;965;653;388;46.0;67;76;22.0;36.0;11.0;11.0;9498
Bergschenhoek-G0492;4;;935;309;674;267;279.0;46;30;4.0;37.0;14.0;3.0;3511
Berkel en Rodenrijs-G0493;5;;1891;582;1076;665;810.0;87;99;24.0;30.0;10.0;3.0;6190
Berkel-Enschot-G0751;23;;1357;448;717;471;54.0;66;66;25.0;13.0;10.0;3.0;4734
Berlicum-G0752;5;;1128;506;349;251;9.0;42;37;55.0;12.0;6.0;10.0;4247
Bernisse-G0568;6;;931;685;990;430;206.0;44;36;16.0;22.0;9.0;7.0;6098
Best-G0753;26;;2734;974;855;1105;111.0;113;70;86.0;54.0;14.0;13.0;10739
Beuningen-G0209;21;;1882;1276;752;739;60.0;185;99;51.0;27.0;18.0;7.0;12188
Beverwijk-G0375;25;;2488;2808;1402;1050;185.0;287;225;71.0;125.0;56.0;10.0;18850
Binnenmaas-G0585;9;;1386;1241;1454;583;803.0;98;112;35.0;67.0;11.0;1.0;8737
Bladel en Netersel-G0754;7;;1376;413;395;254;22.0;66;23;52.0;19.0;4.0;6.0;5295
Blaricum-G0376;6;;745;634;1322;474;93.0;109;90;15.0;27.0;10.0;;4261
Bleiswijk-G0495;9;;1069;385;763;279;294.0;48;61;7.0;25.0;6.0;4.0;3922
Bloemendaal-G0377;25;;1736;953;2800;806;107.0;169;214;20.0;21.0;7.0;7.0;6494
Boarnsterhim-G0055;14;;1225;2417;1012;606;88.0;155;155;41.0;12.0;4.0;12.0;7861
Bodegraven-G0497;16;;1952;714;982;498;956.0;101;68;23.0;42.0;7.0;6.0;8252
Boekel-G0755;14;;1334;387;317;216;4.0;40;33;40.0;12.0;8.0;3.0;4393
Bolsward-G0064;0;;1306;706;314;243;94.0;58;78;36.0;5.0;3.0;10.0;4639
Borculo-G0211;9;;1013;1045;910;332;66.0;54;103;20.0;14.0;14.0;14.0;4120
Borger-G0108;10;;975;1522;762;394;166.0;73;141;21.0;20.0;8.0;2.0;6057
Born-G0897;36;;2339;785;331;530;29.0;169;31;36.0;46.0;21.0;;6756
Borne-G0147;12;;3151;1196;937;635;98.0;129;169;25.0;18.0;6.0;43.0;9778
Borsele-G0654;13;;1700;786;749;666;1499.0;90;146;21.0;55.0;7.0;1.0;9885
Boskoop-G0499;16;;1664;652;1068;536;563.0;169;66;24.0;50.0;11.0;8.0;6083
Boxmeer-G0756;22;;3074;1323;810;512;46.0;123;80;151.0;40.0;16.0;9.0;8874
Boxtel-G0757;20;;2453;1376;748;743;49.0;173;88;191.0;47.0;13.0;7.0;13085
Brakel-G0212;7;;480;349;190;81;842.0;13;13;7.0;6.0;4.0;;2945
Breda-G0758;62;;8644;6559;5748;4700;388.0;1428;790;299.0;328.0;110.0;53.0;71259
Brederwiede-G0194;16;;1529;923;539;277;706.0;57;53;18.0;18.0;6.0;1.0;4941
Breukelen-G0311;10;;1347;711;975;541;789.0;164;96;20.0;22.0;14.0;19.0;5942
Briefstemmen-G9999;33;;1746;1568;4582;1726;371.0;579;386;71.0;86.0;24.0;23.0;4741
Brielle-G0501;6;;896;963;1245;675;120.0;85;67;30.0;49.0;15.0;4.0;8005
Broekhuizen-G0898;2;;338;77;92;34;2.0;19;7;2.0;9.0;1.0;;836
Brouwershaven-G0656;1;;212;335;350;136;125.0;29;23;6.0;9.0;2.0;2.0;1749
Bruinisse-G0657;3;;210;168;196;73;358.0;5;7;4.0;6.0;;3.0;1587
Brummen-G0213;22;;1297;1876;1231;762;161.0;157;157;35.0;42.0;10.0;18.0;10044
Brunssum-G0899;17;;3196;1560;476;676;132.0;190;86;352.0;110.0;15.0;10.0;16868
Budel-G0759;9;;1459;500;352;244;22.0;46;23;23.0;41.0;13.0;3.0;6902
Bunnik-G0312;6;;1838;953;1252;649;225.0;330;150;27.0;40.0;15.0;4.0;5349
Bunschoten-G0313;9;;1542;276;488;243;3754.0;31;19;11.0;37.0;4.0;3.0;6652
Buren-G0214;8;;568;698;946;359;192.0;77;67;14.0;31.0;9.0;2.0;4713
Bussum-G0381;18;;2414;1969;3165;1191;407.0;386;294;71.0;70.0;24.0;10.0;14735
Capelle aan den IJssel-G0502;12;;2595;3115;3083;1906;2631.0;329;258;152.0;214.0;57.0;25.0;30717
Castricum-G0383;31;;2134;1931;1954;1140;104.0;421;235;42.0;70.0;16.0;9.0;9765
Chaam-G0760;5;;495;193;253;110;1.0;15;20;12.0;11.0;5.0;;1769
Coevorden-G0109;12;;1635;1340;531;368;115.0;59;59;25.0;17.0;17.0;4.0;7128
Cothen-G0314;6;;323;111;111;76;43.0;12;17;5.0;5.0;;;1237
Cromstrijen-G0611;5;;747;835;845;432;498.0;59;52;18.0;41.0;11.0;2.0;5994
Cuijk en Sint Agatha-G0761;25;;2648;1220;792;748;25.0;157;108;60.0;56.0;20.0;3.0;10971
Culemborg-G0216;8;;1508;1456;1013;774;227.0;246;149;207.0;128.0;11.0;14.0;10834
Dalen-G0110;8;;402;540;632;163;22.0;21;27;12.0;8.0;1.0;3.0;2500
Dalfsen-G0148;9;;2820;721;726;407;1017.0;53;146;11.0;22.0;3.0;8.0;5801
Dantumadeel-G0065;4;;2167;1170;342;284;1247.0;63;142;35.0;15.0;4.0;9.0;8860
De Bilt-G0310;31;;2733;2410;3790;1847;776.0;605;330;81.0;69.0;16.0;19.0;13218
De Lier-G0552;4;;1613;251;757;174;188.0;25;37;3.0;34.0;9.0;;4529
De Marne-G1663;6;;1056;1059;522;204;649.0;134;290;24.0;14.0;6.0;2.0;4492
De Ronde Venen-G0736;20;;3321;1281;2534;1043;950.0;208;148;48.0;80.0;31.0;7.0;14997
De Wijk-G0135;5;;444;422;515;161;51.0;31;33;10.0;9.0;5.0;;2211
Delft-G0503;129;;5948;6947;4591;4314;1287.0;2025;718;410.0;267.0;155.0;35.0;45185
Delfzijl-G0010;5;;1960;2585;1016;652;503.0;183;306;90.0;67.0;17.0;10.0;16376
Den Dungen-G0768;3;;552;263;105;115;12.0;15;8;21.0;11.0;6.0;1.0;2154
Den Ham-G0159;15;;2631;583;279;137;811.0;36;25;8.0;8.0;7.0;17.0;6277
Den Helder-G0400;58;;3135;3223;3108;1501;873.0;327;209;81.0;172.0;38.0;18.0;33939
Denekamp-G0149;15;;2773;458;354;231;32.0;37;46;20.0;15.0;4.0;48.0;5377
Deurne-G0762;8;;3479;1110;908;689;31.0;171;88;52.0;60.0;14.0;22.0;16144
Deventer-G0150;34;;3510;5950;2971;2421;495.0;1027;626;234.0;145.0;29.0;58.0;34464
Didam-G0218;16;;2112;922;496;398;13.0;81;43;17.0;37.0;18.0;7.0;8481
Diemen-G0384;26;;1081;1726;1531;874;85.0;377;165;53.0;95.0;20.0;5.0;10968
Diepenheim-G0151;0;;235;330;276;111;13.0;20;23;5.0;5.0;4.0;13.0;1119
Diepenveen-G0152;9;;1670;716;909;458;63.0;64;111;9.0;13.0;4.0;13.0;4262
Diessen-G0763;0;;749;138;152;70;5.0;26;12;13.0;8.0;;2.0;1898
Diever-G0111;5;;374;476;370;146;44.0;31;44;3.0;5.0;;2.0;1331
Dinteloord en Prinsenland-G0764;0;;465;276;267;94;248.0;10;42;5.0;15.0;;;2977
Dinxperlo-G0219;10;;1328;456;294;144;93.0;19;50;13.0;14.0;3.0;3.0;3989
Dirksland-G0504;8;;389;407;332;146;1038.0;31;19;15.0;27.0;2.0;;3303
Dodewaard-G0220;5;;239;310;167;100;193.0;24;16;3.0;10.0;5.0;3.0;1625
Doesburg-G0221;8;;731;801;394;323;104.0;71;42;187.0;17.0;4.0;13.0;5219
Doetinchem-G0222;29;;4172;3333;1883;1348;529.0;508;240;114.0;94.0;18.0;27.0;20945
Domburg-G0660;4;;415;244;318;126;363.0;26;28;13.0;8.0;2.0;;1500
Dongen-G0766;12;;2108;1011;752;724;51.0;98;65;368.0;51.0;8.0;9.0;11047
Dongeradeel-G0058;13;;4004;1241;553;465;766.0;77;183;37.0;30.0;8.0;9.0;10610
Doorn-G0315;9;;937;549;1156;462;328.0;117;61;12.0;26.0;8.0;5.0;4620
Dordrecht-G0505;55;;5535;6834;4352;3317;2805.0;910;463;263.0;481.0;48.0;30.0;59054
Drechterland-G0498;1;;926;497;479;297;41.0;63;83;10.0;16.0;7.0;3.0;4045
Driebergen-Rijsenburg-G0316;17;;1698;1051;1557;828;688.0;292;252;35.0;36.0;13.0;14.0;7629
Dronten-G0303;14;;2920;1348;1833;803;1007.0;140;502;65.0;87.0;23.0;8.0;11769
Drunen-G0767;13;;1983;894;809;569;45.0;63;49;92.0;64.0;17.0;1.0;8921
Druten-G0225;6;;1471;921;496;392;16.0;79;34;29.0;30.0;13.0;4.0;8071
Duiveland-G0662;4;;314;289;328;135;755.0;2;14;7.0;6.0;2.0;;2318
Duiven-G0226;15;;1832;1285;1082;886;112.0;152;91;32.0;43.0;6.0;3.0;11392
Dussen-G0769;3;;613;289;243;178;172.0;25;20;11.0;25.0;6.0;1.0;3205
Dwingeloo-G0112;6;;405;503;395;156;41.0;28;49;8.0;3.0;3.0;;1457
Echt-G0902;50;;3100;781;358;803;35.0;241;55;22.0;79.0;16.0;8.0;9231
Echteld-G0227;5;;332;576;377;135;455.0;16;20;6.0;8.0;2.0;1.0;3161
Edam-Volendam-G0385;10;;2217;1267;1158;330;77.0;111;80;16.0;76.0;24.0;10.0;13957
Ede-G0228;77;;8965;4203;5558;2710;8576.0;763;572;155.0;345.0;81.0;27.0;39120
Eelde-G0113;3;;606;1184;1121;568;67.0;80;186;10.0;15.0;2.0;6.0;4539
Eemnes-G0317;8;;740;453;679;314;167.0;78;62;13.0;22.0;1.0;;3302
Eemsmond-G1651;16;;1728;1726;704;299;933.0;114;273;46.0;25.0;7.0;4.0;6490
Eersel-G0770;11;;1862;620;565;429;34.0;82;46;20.0;21.0;15.0;13.0;5614
Egmond-G0357;2;;1151;713;688;365;24.0;93;84;21.0;46.0;8.0;7.0;5979
Eibergen-G0229;9;;2658;1326;663;397;53.0;119;131;37.0;28.0;4.0;34.0;6943
Eijsden-G0905;9;;1545;539;393;542;19.0;92;32;23.0;15.0;17.0;2.0;5732
Eindhoven-G0772;119;;16282;10947;7473;7304;960.0;2388;1019;1120.0;554.0;159.0;239.0;105512
Elburg-G0230;11;;1921;667;820;345;2945.0;68;68;29.0;41.0;14.0;13.0;8437
Elst-G0231;6;;1676;972;868;778;123.0;123;103;24.0;18.0;11.0;30.0;9819
Emmen-G0114;39;;7642;7255;2639;2098;1058.0;433;693;362.0;99.0;28.0;19.0;50386
Enkhuizen-G0388;10;;1106;1338;706;570;329.0;216;112;48.0;35.0;9.0;6.0;7512
Enschede-G0153;185;;9326;10253;5880;4598;2748.0;1587;899;533.0;314.0;75.0;889.0;76194
Epe-G0232;38;;3122;2526;2322;1056;1298.0;194;152;45.0;86.0;19.0;19.0;15033
Ermelo-G0233;16;;3375;872;1498;678;2097.0;189;155;95.0;49.0;10.0;1.0;10729
Esch-G0776;1;;360;99;81;66;8.0;6;11;2.0;5.0;4.0;1.0;896
Etten-Leur-G0777;39;;2688;1546;1323;1131;81.0;192;105;110.0;79.0;21.0;4.0;17980
Ferwerderadeel-G0068;9;;1267;509;278;119;261.0;28;70;12.0;5.0;1.0;2.0;3959
Fijnaart en Heijningen-G0778;0;;632;407;274;117;64.0;33;34;5.0;11.0;4.0;1.0;3340
Franekeradeel-G0070;24;;2438;1714;847;468;399.0;146;172;52.0;36.0;9.0;13.0;9055
Gaasterlân-Sleat-G0653;7;;1603;536;384;198;313.0;55;93;6.0;10.0;1.0;2.0;3882
Gasselte-G0115;6;;228;542;250;116;43.0;33;31;6.0;5.0;2.0;;2086
Geertruidenberg-G0779;2;;495;364;222;229;18.0;27;12;19.0;9.0;12.0;2.0;3657
Geldermalsen-G0236;10;;1628;1281;1385;671;1052.0;128;155;51.0;94.0;15.0;11.0;10747
Geldrop-G0781;9;;2598;1390;1058;1018;110.0;207;137;90.0;42.0;19.0;29.0;13939
Geleen-G0906;17;;3671;1694;886;866;85.0;963;89;81.0;109.0;29.0;11.0;18407
Gemert-G0782;22;;2408;928;503;458;20.0;105;108;68.0;31.0;10.0;8.0;9216
Gendringen-G0237;15;;3229;1114;576;459;51.0;96;79;28.0;34.0;13.0;4.0;9903
Gendt-G0238;8;;737;451;214;186;11.0;22;27;6.0;5.0;2.0;1.0;3682
Genemuiden-G0154;2;;486;245;148;46;1360.0;12;3;4.0;8.0;1.0;4.0;3128
Gennep-G0907;11;;1901;863;540;442;30.0;108;67;37.0;42.0;8.0;11.0;8761
Giessenlanden-G0689;14;;1317;1083;1137;492;1145.0;56;55;22.0;41.0;9.0;;5223
Gieten-G0116;9;;281;847;616;222;31.0;35;72;12.0;6.0;2.0;2.0;2564
Gilze en Rijen-G0784;12;;2255;1091;873;806;43.0;93;100;86.0;78.0;14.0;13.0;12088
Goedereede-G0511;18;;821;445;513;164;1967.0;25;24;15.0;23.0;6.0;3.0;4177
Goes-G0664;25;;2562;1660;1365;1190;1673.0;267;224;53.0;77.0;18.0;20.0;16731
Goirle-G0785;8;;1674;1033;692;681;56.0;193;120;99.0;17.0;10.0;9.0;9659
Goor-G0156;7;;1211;1139;640;347;79.0;56;40;56.0;20.0;4.0;33.0;5669
Gorinchem-G0512;44;;1587;2257;1528;993;798.0;203;123;68.0;103.0;17.0;5.0;15372
Gorssel-G0239;17;;1548;1029;1562;631;96.0;75;141;14.0;23.0;5.0;16.0;5598
Gouda-G0513;57;;4098;4687;3339;2597;2251.0;866;483;161.0;382.0;52.0;23.0;31626
Graafstroom-G0693;10;;1150;388;434;165;1486.0;32;21;12.0;25.0;5.0;1.0;2967
Graft-De Rijp-G0365;841;;512;544;547;195;15.0;55;37;17.0;17.0;10.0;1.0;1902
Gramsbergen-G0157;8;;1106;542;223;103;211.0;12;27;11.0;9.0;3.0;2.0;2368
Grave-G0786;10;;1352;680;500;429;23.0;110;58;70.0;21.0;22.0;3.0;5909
Groenlo-G0240;6;;1414;482;327;214;14.0;40;45;9.0;18.0;7.0;73.0;4270
Groesbeek-G0241;18;;2086;1333;538;441;59.0;215;108;40.0;34.0;17.0;8.0;9892
Groningen-G0014;101;;8172;16906;7450;7333;4222.0;4694;2961;1692.0;276.0;102.0;88.0;88422
Grootegast-G0015;6;;1747;489;303;164;607.0;30;88;7.0;12.0;2.0;1.0;4900
Grubbenvorst-G0912;4;;1002;274;334;202;1.0;22;20;11.0;24.0;1.0;2.0;3341
Gulpen-G0913;22;;1137;461;225;306;21.0;62;30;22.0;30.0;18.0;10.0;3734
Haaksbergen-G0158;15;;3506;1273;984;647;64.0;107;114;38.0;30.0;14.0;72.0;10872
Haaren-G0788;2;;844;208;233;150;8.0;37;35;7.0;9.0;2.0;;2530
Haarlem-G0392;93;;8637;11293;6928;5239;1080.0;2421;1528;312.0;392.0;89.0;73.0;78520
Haarlemmerliede en Spaarnwoude-G0393;3;;553;315;303;213;29.0;78;42;3.0;21.0;4.0;3.0;2503
Haarlemmermeer-G0394;35;;6864;5017;7042;3408;1465.0;901;536;138.0;253.0;96.0;28.0;51203
Haelen-G0914;8;;1636;411;416;318;22.0;73;33;17.0;22.0;9.0;2.0;4712
Halsteren-G0789;16;;1015;627;544;384;50.0;49;47;38.0;61.0;13.0;2.0;7318
Hardenberg-G0160;28;;5218;1830;929;701;3260.0;106;120;37.0;34.0;17.0;9.0;12154
Harderwijk-G0243;24;;3775;1444;1725;897;2100.0;228;161;60.0;45.0;16.0;15.0;17725
Hardinxveld-Giessendam-G0523;3;;989;722;521;282;2935.0;23;36;14.0;29.0;10.0;2.0;7243
Haren-G0017;11;;1855;1680;2061;941;593.0;256;409;27.0;35.0;7.0;5.0;6914
Harenkarspel-G0395;14;;1422;774;699;362;59.0;116;95;16.0;19.0;10.0;4.0;7067
Harlingen-G0072;16;;1097;1415;559;388;314.0;117;105;25.0;24.0;4.0;4.0;7440
Harmelen-G0318;1;;878;326;547;264;150.0;74;42;10.0;14.0;8.0;8.0;3607
Hasselt-G0161;2;;630;429;201;124;1039.0;15;30;7.0;11.0;1.0;1.0;2466
Hattem-G0244;6;;1309;904;601;347;1067.0;46;69;11.0;9.0;5.0;;4373
Havelte-G0117;7;;275;707;639;193;31.0;44;57;9.0;13.0;2.0;2.0;2919
Hedel-G0245;5;;433;204;224;127;250.0;19;10;10.0;13.0;6.0;;1777
Heel-G1937;12;;1312;305;272;265;6.0;38;11;12.0;20.0;2.0;5.0;4197
Heemskerk-G0396;10;;2684;2507;1391;1124;194.0;393;241;59.0;84.0;42.0;10.0;17763
Heemstede-G0397;13;;2797;1502;3303;1200;177.0;290;311;25.0;31.0;15.0;12.0;10930
Heerde-G0246;11;;2067;1298;867;461;1473.0;55;72;18.0;38.0;6.0;5.0;7684
Heerenveen-G0074;40;;2756;3932;1779;1187;490.0;381;350;98.0;69.0;17.0;40.0;19254
Heerewaarden-G0247;1;;49;213;111;37;14.0;4;10;3.0;5.0;2.0;;525
Heerhugowaard-G0398;7;;2791;2284;1779;1345;214.0;285;217;83.0;78.0;36.0;11.0;18329
Heerjansdam-G0526;1;;262;244;232;122;85.0;12;16;12.0;8.0;2.0;3.0;1640
Heerlen-G0917;31;;8572;4684;1998;2592;310.0;859;295;2341.0;409.0;112.0;37.0;53097
Heesch-G0791;16;;3676;1076;782;699;26.0;117;83;328.0;32.0;7.0;9.0;13648
Heeze-G0793;14;;1288;541;596;365;9.0;56;52;10.0;16.0;4.0;9.0;4402
Heiloo-G0399;8;;2118;1540;1904;916;160.0;221;205;30.0;55.0;21.0;16.0;9371
Heino-G0162;4;;1271;456;344;259;214.0;40;92;7.0;5.0;4.0;7.0;2787
Helden-G0918;6;;2541;528;515;379;17.0;238;42;19.0;51.0;9.0;5.0;9548
Hellendoorn-G0163;26;;6871;1701;1145;701;967.0;167;148;60.0;33.0;20.0;34.0;14735
Hellevoetsluis-G0530;7;;1142;1898;2036;1161;265.0;313;124;92.0;116.0;38.0;16.0;19368
Helmond-G0794;17;;5220;3146;2029;1802;136.0;386;177;787.0;279.0;44.0;23.0;39492
Helvoirt-G0795;8;;681;235;293;181;7.0;33;25;14.0;9.0;6.0;1.0;2098
Hendrik-Ido-Ambacht-G0531;5;;1281;901;1081;582;1572.0;55;67;22.0;42.0;11.0;5.0;9109
Hengelo-G0164;64;;7735;5821;3190;2726;939.0;763;642;548.0;179.0;38.0;251.0;36357
Hengelo-G0248;1;;1299;480;500;192;51.0;25;38;4.0;8.0;1.0;7.0;3862
Het Bildt-G0063;5;;1263;941;369;207;115.0;44;93;17.0;17.0;7.0;1.0;4454
Heteren-G0251;4;;914;424;362;257;225.0;70;59;10.0;14.0;9.0;1.0;4228
Heumen-G0252;5;;1734;892;720;586;26.0;159;89;27.0;25.0;5.0;4.0;5972
Heusden-G0797;4;;537;306;223;180;60.0;39;28;18.0;16.0;5.0;5.0;2956
Heythuysen-G0920;16;;2320;397;374;351;30.0;65;35;12.0;22.0;7.0;15.0;5279
Hillegom-G0534;13;;2057;1050;1282;635;174.0;157;94;21.0;45.0;24.0;4.0;9713
Hilvarenbeek-G0798;6;;1402;592;469;319;12.0;68;55;37.0;17.0;9.0;3.0;4627
Hilversum-G0402;44;;5629;5457;5609;2975;1243.0;922;694;261.0;242.0;33.0;37.0;42903
Hoevelaken-G0253;2;;728;470;650;327;593.0;61;45;6.0;10.0;2.0;4.0;3554
Hoeven-G0799;6;;753;324;504;286;22.0;26;25;13.0;32.0;5.0;;4474
Holten-G0165;6;;1286;716;890;322;104.0;30;42;12.0;9.0;8.0;17.0;3427
Hontenisse-G0675;11;;894;423;248;535;22.0;32;40;15.0;24.0;19.0;2.0;3939
Hooge en Lage Mierde-G0801;0;;681;113;156;86;4.0;16;7;7.0;4.0;2.0;2.0;1872
Hooge en Lage Zwaluwe-G0802;0;;618;271;341;196;24.0;29;31;12.0;10.0;4.0;1.0;3163
Hoogeloon, Hapert en Casteren-G0800;8;;1254;304;336;273;9.0;42;21;18.0;16.0;2.0;;3990
Hoogeveen-G0118;0;;5391;2842;1343;1084;1749.0;286;250;89.0;67.0;31.0;12.0;21657
Hoogezand-Sappemeer-G0018;28;;1423;3000;1343;829;525.0;262;265;99.0;57.0;20.0;29.0;17724
Hoorn-G0405;38;;3154;4475;3007;2130;315.0;766;388;171.0;186.0;39.0;21.0;29610
Horst-G0923;3;;2699;546;449;339;32.0;65;73;115.0;13.0;3.0;;9814
Houten-G0321;8;;2540;1682;1526;1197;1055.0;427;192;45.0;59.0;13.0;19.0;11836
Huijbergen-G0803;0;;261;82;134;60;7.0;4;11;6.0;2.0;2.0;1.0;940
Huissen-G0255;13;;1491;872;721;580;30.0;88;78;16.0;13.0;6.0;6.0;7587
Huizen-G0406;23;;2651;2049;2945;1531;1866.0;376;224;55.0;88.0;30.0;30.0;18045
Hulst-G0677;40;;1614;1048;744;912;37.0;75;100;25.0;126.0;34.0;10.0;9964
Hummelo en Keppel-G0256;4;;534;413;433;171;29.0;20;31;7.0;3.0;2.0;4.0;1749
Hunsel-G0925;17;;1153;190;149;142;4.0;25;7;15.0;16.0;3.0;2.0;2737
