RegioNaam;@invalid;@blank;Tegen;Voor;Blanco;@abs
Krimpenerwaard-G1931;53;;10610;14479;1114;16734
Laarbeek-G1659;46;;3892;4838;428;8189
Landerd-G1685;21;;2744;4047;345;4851
Landgraaf-G0882;31;;8113;6322;584;15123
Landsmeer-G0415;25;;2764;2508;187;3297
Langedijk-G0416;28;;5700;5871;380;9480
Lansingerland-G1621;142;;10914;13858;833;18336
Laren-G0417;23;;2372;2972;175;3049
Leek-G0022;16;;2652;2120;47;10546
Leerdam-G0545;5;;2070;1798;37;12012
Leeuwarden-G0080;75;;17898;10504;325;66775
Leiden-G0546;247;;30819;19187;2704;40141
Leiderdorp-G0547;56;;5623;5854;490;8758
Leidschendam-Voorburg-G1916;181;;14054;16067;1071;24464
Lelystad-G0995;85;;15535;12371;604;28024
Leudal-G1640;48;;5994;7507;812;14162
Leusden-G0327;46;;6633;7153;582;8614
Lingewaal-G0733;3;;1174;1312;23;6129
Lingewaard-G1705;55;;8621;9646;833;16968
Lisse-G0553;34;;4156;5353;389;7547
Lochem-G0262;102;;6855;8742;738;10459
Loon op Zand-G0809;35;;3925;4738;423;9038
Lopik-G0331;19;;2487;3374;287;4847
Loppersum-G0024;12;;2503;1769;158;3333
Losser-G0168;25;;3897;5004;397;8493
Maasdriel-G0263;22;;4485;5250;480;8154
Maasgouw-G1641;38;;4154;4705;473;10147
Maassluis-G0556;30;;5865;6563;491;11814
Maastricht-G0935;190;;22450;18874;2072;45019
Marum-G0025;2;;1300;986;28;5944
Medemblik-G0420;47;;7926;9328;661;15748
Meerssen-G0938;61;;4080;4264;387;6642
Meierijstad-G1948;37;;7693;8525;192;45041
Meppel-G0119;46;;7344;6988;555;10900
Middelburg-G0687;104;;9409;10278;926;16353
Midden-Delfland-G1842;32;;3663;5280;412;5359
Midden-Drenthe-G1731;47;;7026;7220;497;11721
Midden-Groningen-G1952;19;;7632;4749;120;35760
Mill en Sint Hubert-G0815;18;;1957;2839;214;3641
Moerdijk-G1709;47;;6087;7563;496;14633
Molenwaard-G1927;30;;2845;4419;106;14258
Montferland-G1955;46;;6686;7405;741;13696
Montfoort-G0335;23;;2833;3479;294;3859
Mook en Middelaar-G0944;12;;1960;1753;205;2336
Neder-Betuwe-G1740;29;;3838;6580;426;6355
Nederweert-G0946;26;;3152;4052;501;5910
Neerijnen-G0304;8;;1447;1411;28;6352
Nieuwegein-G0356;64;;11638;10424;680;25451
Nieuwkoop-G0569;33;;5127;6591;523;9722
Nijkerk-G0267;43;;7431;9986;757;13448
Nijmegen-G0268;538;;46850;25608;3893;66693
Nissewaard-G1930;69;;15566;14413;936;35311
Noord-Beveland-G1695;14;;1596;1796;101;2354
Noordenveld-G1699;53;;6926;6702;744;10601
Noordoostpolder-G0171;61;;8105;10326;778;14485
Noordwijk-G0575;16;;3105;3067;44;13682
Noordwijkerhout-G0576;12;;1986;2042;23;8386
Nuenen, Gerwen en Nederwetten-G0820;70;;4638;5716;414;7305
Nunspeet-G0302;28;;5384;8189;520;6600
Nuth-G0951;12;;1989;1349;43;9072
Oegstgeest-G0579;53;;5009;5577;444;6117
Oirschot-G0823;24;;3146;4739;505;6337
Oisterwijk-G0824;49;;4402;5757;484;9719
Oldambt-G1895;54;;8316;5777;524;16040
Oldebroek-G0269;35;;4125;5349;536;7810
Oldenzaal-G0173;38;;6122;6908;572;11100
Olst-Wijhe-G1773;35;;3542;4078;387;6182
Ommen-G0175;22;;3427;4719;449;5011
Onderbanken-G0881;0;;948;665;7;4671
Oost Gelre-G1586;53;;5669;6935;675;10100
Oosterhout-G0826;70;;9528;10089;660;22496
Ooststellingwerf-G0085;35;;5282;4783;469;9853
Oostzaan-G0431;9;;2189;1958;153;3310
Opmeer-G0432;12;;2249;2718;207;3764
Opsterland-G0086;39;;6201;5842;623;10587
Oss-G0828;142;;16541;16862;1636;33658
Oud-Beijerland-G0584;12;;2749;2775;45;13184
Oude IJsselstreek-G1509;52;;8046;8004;853;14259
Ouder-Amstel-G0437;18;;3159;2676;261;3819
Oudewater-G0589;13;;1958;2677;266;2920
Overbetuwe-G1734;76;;8434;9826;841;17478
Papendrecht-G0590;40;;5701;6504;452;12369
Peel en Maas-G1894;53;;6285;9300;902;17655
Pekela-G0765;9;;2789;1696;155;5262
Pijnacker-Nootdorp-G1926;69;;9427;11207;836;16981
Purmerend-G0439;152;;15870;13048;805;32453
Putten-G0273;26;;4728;6353;461;7079
Raalte-G0177;35;;6715;9551;991;12065
Reimerswaal-G0703;54;;3434;6658;384;6224
Renkum-G0274;56;;7335;6714;687;10626
Renswoude-G0339;3;;927;1563;111;1156
Reusel-De Mierden-G1667;4;;1948;2757;254;5194
Rheden-G0275;67;;9372;8274;733;16358
Rhenen-G0340;28;;3646;4882;378;6108
Ridderkerk-G0597;39;;8383;10208;683;17074
Rijssen-Holten-G1742;45;;6910;11644;1020;8597
Rijswijk-G0603;46;;9789;9461;761;18975
Roerdalen-G1669;47;;3677;4260;444;8866
Roermond-G0957;49;;11206;10585;1136;21231
Roosendaal-G1674;151;;11841;13607;1075;32027
Rotterdam-G0599;1150;;126184;81257;9166;237394
Rozendaal-G0277;5;;371;516;40;270
Rucphen-G0840;31;;3714;4477;430;9660
Saba-O9003;1;;66;23;0;815
Schagen-G0441;58;;8880;9659;751;17018
Scherpenzeel-G0279;18;;1759;2955;237;2243
Schiedam-G0606;92;;14305;10958;849;29521
Schiermonnikoog-G0088;5;;382;240;17;133
Schinnen-G0962;18;;1678;1361;22;7314
Schouwen-Duiveland-G1676;87;;6834;9430;604;10069
's-Gravenhage-G0518;771;;104470;86994;8530;207418
's-Hertogenbosch-G0796;191;;29766;27233;2605;65117
Simpelveld-G0965;4;;2269;2105;244;3707
Sint Anthonis-G1702;24;;2173;2945;362;3701
Sint Eustatius-O9002;1;;50;67;0;1759
Sint-Michielsgestel-G0845;74;;4958;6326;585;10396
Sittard-Geleen-G1883;125;;19247;17138;1803;36541
Sliedrecht-G0610;37;;4664;5734;387;8108
Sluis-G1714;28;;4037;4727;388;8252
Smallingerland-G0090;67;;12708;11332;1055;18318
Soest-G0342;47;;9409;10228;743;14778
Someren-G0847;24;;3062;4455;531;6870
Son en Breugel-G0848;17;;3022;3965;387;5439
Stadskanaal-G0037;32;;5904;5143;524;14180
Staphorst-G0180;29;;3110;5002;462;3375
Stede Broec-G0532;24;;3932;4405;325;7819
Steenbergen-G0851;18;;3923;4772;366;9239
Steenwijkerland-G1708;72;;8650;9782;730;15042
Stein-G0971;29;;5455;4948;607;9579
Stichtse Vecht-G1904;91;;12588;13530;859;22015
Strijen-G0617;10;;1022;903;16;5218
Súdwest-Fryslân-G1900;36;;10653;8933;166;49685
Ten Boer-G0009;4;;1269;771;24;3522
Terneuzen-G0715;65;;9375;10580;798;19111
Terschelling-G0093;1;;1194;1312;110;1456
Texel-G0448;36;;3552;3183;246;3876
Teylingen-G1525;56;;6908;8276;601;11769
Tholen-G0716;22;;4539;6971;410;7833
Tiel-G0281;46;;7660;6172;462;18276
Tilburg-G0855;253;;39212;31898;2327;88261
Tubbergen-G0183;34;;3414;6138;606;6218
Twenterand-G1700;119;;6561;7613;617;10865
Tynaarlo-G1730;48;;7651;7329;690;10435
Tytsjerksteradiel-G0737;48;;6715;6652;680;10632
Uden-G0856;47;;7670;8855;695;14989
Uitgeest-G0450;23;;2959;3302;221;3881
Uithoorn-G0451;22;;5604;5058;336;10633
Urk-G0184;20;;4480;4642;344;4032
Utrecht-G0344;536;;88478;48775;8404;104502
Utrechtse Heuvelrug-G1581;67;;10468;11702;929;15026
Vaals-G0981;11;;1536;1523;139;2855
Valkenburg aan de Geul-G0994;33;;3467;4007;379;5619
Valkenswaard-G0858;32;;5442;6386;563;12225
Veendam-G0047;24;;5997;4308;402;11403
