RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
's-Hertogenbosch-G0796;186;153;22850;18016;10877;6466;6900;4742;5888;4279;4063;840;2955;1861;131;1909;979;254.0;519;282;370;320.0;239;168.0;166.0;94.0;72.0;105.0;44;32.0;18.0;73.0;;;20.0;;;;;25482.0
Simpelveld-G0965;12;10;1278;624;1223;940;523;577;199;445;242;43;63;112;8;5;93;68.0;6;16;0;15.0;11;8.0;2.0;13.0;8.0;13.0;3;0.0;;3.0;;;1.0;0.0;;;;1743.0
Sint Anthonis-G1702;10;9;2154;946;700;1546;659;258;207;298;187;46;102;173;8;6;104;365.0;14;22;0;16.0;8;14.0;7.0;6.0;6.0;9.0;7;1.0;0.0;13.0;;;0.0;;;;;1541.0
Sint Eustatius-O9002;5;4;20;30;2;205;3;6;8;6;4;5;3;1;0;1;1;;14;0;0;;0;;;;;;1;;;;320.0;;;;;;;1254.0
Sint-Michielsgestel-G0845;19;14;5466;3301;2025;2202;1576;767;675;666;580;151;388;371;19;21;188;147.0;36;55;9;56.0;25;34.0;30.0;18.0;14.0;16.0;9;3.0;3.0;19.0;;;1.0;;;;;4207.0
Sittard-Geleen-G1883;140;106;10325;6970;10042;5887;4305;4121;2559;4428;2115;390;806;983;58;494;830;198.0;155;152;163;165.0;114;80.0;127.0;77.0;47.0;76.0;25;51.0;;45.0;;;3.0;11.0;;;;18200.0
Sliedrecht-G0610;13;24;2791;1139;1550;1329;826;702;321;879;382;1749;145;403;2340;190;135;25.0;58;67;28;29.0;27;7.0;;21.0;10.0;16.0;3;5.0;21.0;;;;;2.0;;0.0;;4288.0
Sluis-G1714;24;22;3526;1155;1830;1579;834;941;394;852;415;195;162;350;118;18;200;317.0;21;43;1;46.0;16;20.0;;17.0;8.0;15.0;7;7.0;3.0;;;;2.0;;;;;4025.0
Smallingerland-G0090;156;58;5242;3970;3622;4599;2659;2970;1364;2700;1042;2986;368;532;638;109;279;451.0;81;88;20;83.0;88;48.0;107.0;27.0;30.0;;9;18.0;39.0;;;10.0;;;7.0;;1.0;9299.0
Soest-G0342;60;52;7975;5177;2643;2742;1076;1256;1360;1273;1290;1115;751;880;398;926;273;82.0;112;78;48;93.0;44;58.0;44.0;29.0;41.0;;17;6.0;12.0;19.0;1.0;10.0;;;;;;6129.0
Someren-G0847;8;18;3876;1385;1586;1636;814;341;288;521;260;81;178;335;9;14;172;495.0;7;32;6;26.0;11;20.0;19.0;9.0;10.0;11.0;2;2.0;3.0;10.0;;;0.0;;;;;3198.0
Son en Breugel-G0848;10;18;3398;2081;977;1296;624;425;459;448;398;160;256;284;21;28;150;53.0;16;26;0;39.0;19;17.0;16.0;15.0;6.0;8.0;5;1.0;1.0;12.0;;;0.0;;;;;2189.0
Stadskanaal-G0037;34;36;2689;1332;2933;2509;2013;1579;389;1410;393;1752;130;260;322;16;199;368.0;22;52;1;27.0;31;14.0;59.0;16.0;11.0;;0;61.0;12.0;15.0;0.0;8.0;;;;;;7049.0
Staphorst-G0180;8;5;1071;393;918;1311;186;212;103;896;98;1509;78;326;3834;5;47;244.0;4;13;2;7.0;5;4.0;19.0;6.0;5.0;5.0;4;2.0;7.0;;0.0;;1.0;0.0;;;;1065.0
Stede Broec-G0532;16;15;3414;1685;1682;1479;901;603;411;920;400;189;219;459;59;55;210;128.0;32;84;3;45.0;22;35.0;30.0;21.0;19.0;10.0;3;6.0;3.0;8.0;1.0;;;0.0;;;;3399.0
Steenbergen-G0851;19;14;4193;1417;2552;1353;1064;617;332;907;376;228;130;487;158;33;193;167.0;19;55;7;24.0;20;11.0;;13.0;17.0;14.0;2;9.0;13.0;11.0;0.0;;0.0;;;;;4250.0
Steenwijkerland-G1708;36;30;6015;2832;3467;4159;1758;1927;903;1710;777;1940;349;709;399;118;235;776.0;48;83;7;69.0;38;34.0;66.0;25.0;15.0;36.0;10;15.0;10.0;;3.0;;2.0;3.0;;;;6502.0
Stein-G0971;0;19;3219;1717;3241;1646;1316;1413;494;1360;569;83;209;322;17;28;337;93.0;29;59;18;54.0;28;22.0;40.0;17.0;17.0;25.0;9;4.0;;15.0;;;0.0;2.0;;;;4236.0
Stichtse Vecht-G1904;45;48;10964;6724;4332;3805;1711;1923;1846;1715;1388;1292;1055;1136;721;406;409;239.0;222;131;99;117.0;71;66.0;71.0;32.0;49.0;;18;23.0;21.0;14.0;7.0;11.0;;;;;;8976.0
Súdwest-Fryslân-G1900;65;77;10643;6993;5595;10050;3543;5188;1958;4341;1940;2185;789;1282;278;92;457;1469.0;97;197;16;166.0;111;113.0;110.0;47.0;43.0;;24;19.0;69.0;;;5.0;;;7.0;;3.0;12920.0
Terneuzen-G0715;147;38;6008;2722;4287;3268;1898;1982;731;2005;748;1352;297;729;1193;404;553;450.0;63;96;23;86.0;67;43.0;;26.0;23.0;41.0;24;13.0;16.0;;;;1.0;;;;;10293.0
Terschelling-G0093;4;7;955;582;328;374;193;492;184;164;180;65;110;107;5;1;28;83.0;10;17;0;11.0;8;16.0;12.0;4.0;3.0;;1;1.0;3.0;;;1.0;;;5.0;;1.0;128.0
Texel-G0448;8;19;2365;1421;901;1146;588;761;521;551;499;216;192;340;56;16;63;273.0;30;28;1;45.0;30;36.0;26.0;9.0;6.0;17.0;5;1.0;1.0;10.0;0.0;;;2.0;;;;864.0
Teylingen-G1525;25;40;7391;4396;2099;2774;1007;898;1044;1029;843;569;633;807;67;127;285;86.0;64;124;35;95.0;48;34.0;;27.0;26.0;23.0;17;5.0;4.0;;3.0;;;;;1.0;;4190.0
Tholen-G0716;19;13;2730;795;2034;1454;720;624;253;895;328;1021;88;379;3825;61;130;228.0;22;31;11;10.0;23;9.0;;19.0;8.0;11.0;8;7.0;29.0;;;;0.0;;;;;3904.0
Tiel-G0281;68;30;5684;2806;3283;1653;1478;1442;906;1365;771;500;368;611;185;1057;315;82.0;77;149;117;71.0;30;35.0;62.0;23.0;26.0;26.0;12;31.0;17.0;26.0;;;;;;;;8240.0
Tilburg-G0855;372;234;25803;21430;12245;7811;8912;6057;8255;6671;5078;1037;3676;2236;127;3891;1706;343.0;1145;368;445;432.0;346;218.0;;128.0;95.0;121.0;78;30.0;55.0;90.0;41.0;;18.0;;;;;46056.0
Tubbergen-G0183;12;18;3578;978;1509;5074;367;245;165;540;145;91;132;352;30;2;70;934.0;4;33;0;16.0;8;9.0;15.0;3.0;3.0;13.0;0;1.0;5.0;;0.0;;0.0;3.0;;;;2529.0
Twenterand-G1700;36;22;3583;1123;3145;4950;989;717;260;1174;270;1823;137;385;1007;19;146;840.0;17;75;0;26.0;26;16.0;50.0;16.0;6.0;3.0;6;4.0;16.0;;1.0;;1.0;4.0;;;;5168.0
Tynaarlo-G1730;24;21;5211;4618;1565;1975;1264;2051;1461;752;949;1022;527;382;69;11;171;299.0;43;47;2;69.0;32;36.0;31.0;14.0;14.0;42.0;5;5.0;5.0;;;;;;;4.0;;3923.0
Tytsjerksteradiel-G0737;34;37;3172;2369;2280;3921;1372;1684;717;1547;659;1358;213;371;252;9;162;445.0;36;55;5;70.0;58;22.0;52.0;11.0;25.0;;12;1.0;14.0;;;5.0;;;12.0;;2.0;4343.0
Uden-G0856;47;26;7393;3892;2762;2939;2325;1002;873;1247;734;180;444;618;20;266;314;208.0;52;88;45;69.0;45;54.0;55.0;18.0;24.0;16.0;20;15.0;7.0;27.0;;;5.0;;;;;7018.0
Uitgeest-G0450;12;18;2514;1608;835;816;494;551;464;426;359;98;190;298;18;21;94;74.0;26;40;7;37.0;33;23.0;24.0;8.0;11.0;16.0;15;28.0;3.0;8.0;2.0;;;2.0;;;;1456.0
Uithoorn-G0451;41;15;5076;2843;1919;1546;819;866;726;1049;693;259;386;627;44;251;217;92.0;129;75;40;65.0;33;27.0;44.0;17.0;16.0;;12;4.0;;12.0;0.0;7.0;;1.0;;;;3949.0
Urk-G0184;6;12;222;70;1765;994;29;32;28;1223;33;1036;32;109;6972;26;7;10.0;7;0;0;7.0;14;1.0;;1.0;1.0;;3;4.0;175.0;;0.0;;0.0;;;;;1217.0
Utrecht-G0344;390;298;30675;54091;10377;8442;6784;11717;27241;4627;11835;4828;14043;2809;596;11387;960;242.0;4426;298;1480;616.0;593;218.0;105.0;80.0;188.0;;168;43.0;53.0;63.0;37.0;62.0;;;;;;47144.0
Utrechtse Heuvelrug-G1581;36;47;7667;6255;2395;2970;1234;1589;1888;1041;1824;1494;1030;711;1158;316;246;168.0;98;47;48;92.0;40;33.0;41.0;19.0;29.0;;12;14.0;20.0;17.0;0.0;25.0;;;;;;6274.0
Vaals-G0981;13;16;831;465;775;541;363;356;191;280;192;28;63;73;7;14;59;42.0;10;5;7;11.0;4;10.0;6.0;5.0;2.0;10.0;4;2.0;;6.0;;;1.0;0.0;;;;1593.0
Valkenburg aan de Geul-G0994;22;14;2687;1372;1685;1259;694;893;408;591;467;93;186;230;5;11;139;55.0;13;24;6;30.0;17;12.0;17.0;11.0;12.0;10.0;4;1.0;;12.0;;;0.0;0.0;;;;2539.0
Valkenswaard-G0858;19;31;5442;2592;2632;2159;1622;1009;658;953;550;154;357;455;17;11;329;114.0;33;113;4;56.0;41;42.0;38.0;43.0;17.0;11.0;5;31.0;3.0;21.0;;;1.0;;;;;5478.0
Veendam-G0047;23;33;2817;1692;2507;1237;2044;1795;476;1246;469;489;146;344;69;250;214;228.0;27;81;16;47.0;37;21.0;39.0;7.0;10.0;;11;19.0;5.0;14.0;1.0;4.0;;;;;;5593.0
Veenendaal-G0345;79;51;8649;3609;3904;4186;1676;1278;1161;1970;715;5652;485;989;4109;1140;315;144.0;110;119;314;86.0;49;44.0;55.0;22.0;23.0;;13;17.0;21.0;14.0;3.0;3.0;;;;;;9432.0
Veere-G0717;17;14;3468;1589;979;2050;556;874;381;636;526;900;178;342;2210;5;169;210.0;20;34;3;39.0;21;13.0;;15.0;10.0;14.0;3;8.0;19.0;;;;0.0;;;;;2105.0
Veldhoven-G0861;46;43;8339;4089;3187;2671;2210;1319;1074;1322;747;334;666;593;46;91;419;90.0;52;151;22;80.0;48;55.0;41.0;46.0;22.0;15.0;9;11.0;9.0;34.0;;;1.0;;;;;6677.0
Velsen-G0453;79;79;9902;6625;5815;2834;2615;2271;1779;2676;1726;877;875;1210;106;562;501;128.0;165;180;45;125.0;84;73.0;128.0;45.0;39.0;;16;29.0;;46.0;2.0;14.0;;7.0;;;;11730.0
Venlo-G0983;83;129;11983;7273;10215;5329;3803;3473;2342;3251;1712;317;815;1120;64;1840;814;190.0;120;141;178;150.0;99;72.0;104.0;62.0;46.0;59.0;44;30.0;;40.0;;;6.0;6.0;;;;20134.0
Venray-G0984;44;56;6325;3647;3291;3419;2110;1314;995;1261;585;157;433;491;32;374;329;549.0;45;73;54;55.0;30;40.0;46.0;19.0;19.0;24.0;9;7.0;;19.0;;;12.0;6.0;;;;7805.0
Vijfheerenlanden-G1961;55;48;7902;3792;4089;4265;1608;1637;985;1612;865;2532;451;804;2813;962;333;285.0;104;92;76;73.0;61;39.0;59.0;31.0;18.0;;17;30.0;15.0;30.0;3.0;6.0;;;;;;8661.0
Vlaardingen-G0622;86;78;8374;5066;5479;2734;2942;2353;1619;2277;1431;1173;578;1431;574;2393;500;76.0;277;207;275;120.0;86;64.0;;35.0;34.0;37.0;20;17.0;23.0;;;;;7.0;;15.0;;14286.0
Vlieland-G0096;0;0;248;188;66;67;65;64;54;32;52;15;29;31;0;0;11;6.0;6;6;0;3.0;1;3.0;5.0;0.0;2.0;;0;0.0;0.0;;;0.0;;;0.0;;0.0;
Vlissingen-G0718;48;51;4975;2987;2867;1945;1854;1899;920;1824;1014;789;355;608;493;399;544;150.0;127;138;51;97.0;79;45.0;;26.0;39.0;35.0;7;34.0;33.0;;;;11.0;;;;;9436.0
Voerendaal-G0986;10;21;1909;1115;1209;1064;595;699;314;436;350;80;127;174;11;17;106;61.0;14;21;0;32.0;10;16.0;10.0;11.0;6.0;10.0;1;3.0;;4.0;;;0.0;0.0;;;;1712.0
Voorschoten-G0626;26;13;4410;3362;1285;1516;630;789;955;552;679;372;551;483;56;107;138;38.0;61;87;31;46.0;26;18.0;;9.0;19.0;8.0;6;2.0;3.0;;1.0;;;;;1.0;;1820.0
Voorst-G0285;22;18;4598;2336;1344;2188;824;859;619;524;443;437;278;348;299;63;180;811.0;20;60;1;36.0;21;28.0;19.0;8.0;4.0;15.0;3;12.0;11.0;;0.0;;;;;;;3282.0
Vught-G0865;23;18;5765;4272;1508;1831;1323;959;994;635;717;220;539;353;27;35;173;95.0;50;50;7;52.0;36;31.0;27.0;19.0;10.0;18.0;7;39.0;4.0;14.0;;;2.0;;;;;4583.0
Waadhoeke-G1949;37;33;5118;3101;2866;4929;2151;2841;935;2135;894;1212;361;517;153;30;223;866.0;37;88;3;88.0;59;44.0;61.0;17.0;18.0;;6;25.0;20.0;;;6.0;;;6.0;;3.0;7190.0
Waalre-G0866;21;21;3225;2271;912;1127;654;462;556;383;406;135;416;222;20;22;134;26.0;29;36;9;41.0;25;17.0;21.0;19.0;10.0;3.0;5;2.0;2.0;10.0;;;4.0;;;;;2015.0
Waalwijk-G0867;44;53;7732;3459;3998;2685;2115;1086;870;1505;790;747;326;666;614;522;363;150.0;41;105;42;87.0;53;51.0;;37.0;24.0;26.0;18;32.0;15.0;29.0;1.0;;3.0;;;;;8684.0
Waddinxveen-G0627;26;21;4402;2159;1828;1716;764;762;494;984;487;1742;266;616;1538;323;212;73.0;43;89;76;47.0;26;31.0;;25.0;16.0;19.0;7;19.0;12.0;;3.0;;;;;3.0;;4048.0
Wageningen-G0289;40;30;3155;5522;1247;1443;1173;1797;3484;622;1457;1016;1951;331;192;158;124;82.0;303;46;43;59.0;75;32.0;20.0;4.0;18.0;40.0;18;4.0;6.0;;7.0;;;;;;;4108.0
Wassenaar-G0629;23;16;5594;2475;1589;1477;428;443;430;595;539;225;447;490;41;44;111;57.0;53;96;2;31.0;19;16.0;;10.0;20.0;22.0;13;4.0;4.0;;0.0;;;;;1.0;;2824.0
Waterland-G0852;28;18;2888;1948;1160;1201;514;773;660;529;550;208;359;406;30;23;104;143.0;78;28;7;30.0;23;13.0;27.0;8.0;13.0;66.0;8;3.0;1.0;8.0;1.0;;;0.0;;;;1732.0
Weert-G0988;53;50;7257;3833;4277;3254;2030;1551;1759;1700;775;213;495;764;36;614;368;195.0;58;73;97;111.0;54;60.0;76.0;43.0;18.0;31.0;11;26.0;;19.0;;;9.0;2.0;;;;9433.0
Weesp-G0457;53;16;2841;2558;928;873;638;773;795;393;609;181;407;264;37;414;101;76.0;105;38;25;28.0;22;17.0;15.0;12.0;19.0;;7;4.0;;6.0;0.0;5.0;;3.0;;;;2765.0
West Betuwe-G1960;30;29;8238;3470;4521;3587;1286;1424;909;1786;815;1384;490;928;3129;115;312;357.0;50;89;29;73.0;33;41.0;59.0;27.0;19.0;18.0;4;15.0;15.0;11.0;;;;;;;;6635.0
West Maas en Waal-G0668;12;23;4032;1473;1760;1551;1122;461;356;560;346;102;156;342;18;12;183;188.0;13;55;9;23.0;25;13.0;23.0;16.0;4.0;20.0;4;3.0;2.0;9.0;;;;;;;;2823.0
Westerkwartier-G1969;53;68;6573;4818;3903;5897;2731;2898;1934;2105;1188;3925;592;726;695;34;325;1750.0;84;111;6;87.0;58;54.0;76.0;34.0;29.0;;11;31.0;39.0;31.0;1.0;11.0;;;;;;9321.0
Westerveld-G1701;16;22;3202;1837;1264;1465;829;1208;651;599;803;394;223;355;79;13;133;468.0;17;41;4;49.0;31;16.0;33.0;10.0;9.0;30.0;4;7.0;4.0;;;;;;;0.0;;2589.0
Westervoort-G0293;11;20;2080;1353;1316;871;794;620;430;445;357;185;149;218;23;73;73;37.0;24;52;13;43.0;13;12.0;18.0;12.0;11.0;15.0;12;3.0;8.0;;2.0;;;;;;;2620.0
Westerwolde-G1950;18;28;2484;1291;2636;1597;1597;1405;507;1146;646;415;132;317;96;12;186;474.0;12;65;1;32.0;23;21.0;43.0;13.0;9.0;;6;14.0;16.0;11.0;1.0;4.0;;;;;;5139.0
Westland-G1783;96;104;21462;6870;9408;8973;2108;1772;1243;4751;1653;2097;859;3099;1019;599;622;281.0;94;660;129;266.0;83;101.0;;49.0;74.0;72.0;27;11.0;39.0;;;;;12.0;;2.0;;14367.0
Weststellingwerf-G0098;15;26;3424;1728;2258;2093;1277;1355;526;1112;593;385;193;368;94;36;166;522.0;20;62;37;48.0;35;18.0;40.0;18.0;15.0;;10;10.0;14.0;;;9.0;;;6.0;;2.0;4558.0
Westvoorne-G0614;6;7;3367;1281;1347;824;433;493;195;618;378;179;139;479;39;7;111;68.0;17;52;0;39.0;13;12.0;;12.0;9.0;8.0;5;2.0;1.0;;;;;2.0;;1.0;;2079.0
Wierden-G0189;23;16;4058;1298;1508;4038;495;497;313;733;191;1289;123;426;641;16;107;556.0;15;59;1;16.0;22;14.0;25.0;7.0;6.0;9.0;3;31.0;9.0;;0.0;;0.0;0.0;;;;2605.0
Wijchen-G0296;45;36;7542;4067;3164;2849;2056;1339;1043;1101;791;256;484;732;23;149;325;193.0;63;64;22;73.0;39;45.0;39.0;26.0;24.0;21.0;5;6.0;6.0;21.0;;;;;;;;6098.0
Wijdemeren-G1696;26;18;5093;2651;1643;1654;645;641;613;752;640;428;361;497;118;38;131;130.0;57;55;7;56.0;21;16.0;35.0;10.0;18.0;;7;4.0;;6.0;1.0;3.0;;2.0;;;;2959.0
Wijk bij Duurstede-G0352;26;18;4209;2316;1702;1537;839;801;636;796;580;477;342;428;391;84;163;117.0;34;50;6;41.0;22;22.0;32.0;9.0;12.0;;5;6.0;3.0;10.0;0.0;10.0;;;;;;3189.0
Winterswijk-G0294;28;36;4195;2808;1600;2318;1312;1431;721;867;427;347;242;401;60;145;152;958.0;24;65;9;58.0;30;22.0;43.0;16.0;11.0;19.0;10;7.0;8.0;;0.0;;;;;;;4582.0
Woensdrecht-G0873;21;13;3647;1245;2093;1182;910;555;280;755;362;114;130;401;17;34;198;97.0;21;55;2;32.0;19;26.0;;19.0;10.0;9.0;4;3.0;1.0;14.0;0.0;;0.0;;;;;3967.0
Woerden-G0632;37;59;8614;5436;2651;4219;1198;1443;1488;1209;1039;1885;766;913;1133;489;507;266.0;132;100;120;139.0;55;59.0;64.0;9.0;19.0;;7;32.0;14.0;14.0;1.0;4.0;;;;;;6080.0
Wormerland-G0880;10;11;2647;1722;1089;823;819;705;563;482;536;238;200;264;39;83;141;151.0;52;56;5;60.0;20;16.0;27.0;14.0;13.0;3.0;5;8.0;3.0;8.0;2.0;;;2.0;;;;2210.0
Woudenberg-G0351;16;24;1872;745;638;1057;225;290;186;441;204;815;97;184;1686;24;54;71.0;12;23;10;18.0;10;9.0;20.0;3.0;7.0;;1;3.0;9.0;6.0;0.0;3.0;;;;;;1452.0
Zaanstad-G0479;244;172;16835;12682;10659;4796;6494;6510;4804;4904;4097;1458;1565;2065;352;4041;1185;382.0;1371;395;403;310.0;280;168.0;249.0;108.0;92.0;147.0;60;59.0;38.0;77.0;36.0;;;11.0;;;;25467.0
Zaltbommel-G0297;24;15;3755;1963;1765;1716;815;762;617;808;459;1182;310;370;2520;220;129;81.0;32;59;21;46.0;14;25.0;35.0;16.0;10.0;7.0;4;7.0;10.0;5.0;;;;;;;;3711.0
Zandvoort-G0473;33;14;3214;1449;1599;702;504;536;354;683;528;83;231;382;12;42;115;25.0;39;60;3;35.0;26;18.0;15.0;18.0;15.0;;7;2.0;;8.0;0.0;2.0;;2.0;;;;2747.0
Zeewolde-G0050;22;19;3704;1670;1497;1569;534;442;471;967;410;1033;272;538;243;52;138;190.0;35;57;9;40.0;16;16.0;;11.0;12.0;;3;9.0;6.0;;1.0;;1.0;;;;;2693.0
Zeist-G0355;58;71;9305;8242;2885;2968;1518;1964;2959;1311;2078;1502;1413;755;612;1124;298;61.0;257;104;155;124.0;83;48.0;45.0;21.0;32.0;;17;15.0;13.0;15.0;1.0;18.0;;;;;;9036.0
Zevenaar-G0299;28;40;7490;3717;3591;3243;2079;1656;1061;1373;880;297;366;658;29;180;382;281.0;56;125;12;72.0;54;50.0;59.0;28.0;26.0;25.0;10;25.0;9.0;;1.0;;;;;;;7662.0
Zoetermeer-G0637;162;131;18287;10871;9439;4927;4379;3929;3227;4528;2760;2033;1326;2158;751;1290;1018;193.0;527;746;202;262.0;173;143.0;;84.0;75.0;122.0;42;51.0;39.0;;54.0;;;;;14.0;;21603.0
Zoeterwoude-G0638;7;9;1523;1001;583;725;267;222;293;265;237;122;141;143;40;29;54;155.0;13;8;1;10.0;13;12.0;;8.0;10.0;6.0;3;0.0;1.0;;0.0;;;;;0.0;;1118.0
Zuidplas-G1892;47;35;7124;3364;2823;2403;1200;1140;801;1463;820;1846;434;1118;1786;329;245;124.0;92;122;57;72.0;41;55.0;;30.0;25.0;39.0;8;81.0;17.0;;2.0;;;;;3.0;;6317.0
Zundert-G0879;23;24;4461;1454;1738;1800;886;448;288;630;313;85;161;344;20;42;197;329.0;21;50;17;37.0;8;20.0;;7.0;11.0;13.0;11;4.0;4.0;5.0;0.0;;0.0;;;;;3793.0
Zutphen-G0301;51;39;5256;5354;2530;2121;2382;2453;2402;1362;2186;889;766;515;119;517;270;323.0;149;101;41;111.0;62;38.0;53.0;25.0;27.0;95.0;19;12.0;19.0;;3.0;;;;;;;7598.0
Zwartewaterland-G1896;38;10;2038;760;1331;2060;541;491;212;648;166;2258;102;252;3041;13;85;204.0;5;32;2;16.0;9;11.0;23.0;4.0;4.0;4.0;5;3.0;10.0;;2.0;;1.0;1.0;;;;2384.0
Zwijndrecht-G0642;50;47;5845;2806;3386;2365;1608;1313;747;1508;731;1591;272;856;1129;685;372;64.0;107;131;133;72.0;58;34.0;;35.0;14.0;20.0;5;13.0;26.0;;;;;4.0;;3.0;;8559.0
Zwolle-G0193;127;153;14635;15237;5467;7057;4539;5400;6231;3347;3481;7656;2383;1367;852;1085;547;427.0;545;223;83;297.0;227;124.0;133.0;51.0;72.0;116.0;42;41.0;65.0;;5.0;;7.0;6.0;;;;17851.0
Caribisch Nederland corrections;0;0;4;-1;0;0;0;0;0;0;-1;0;0;2;0;1;1;0;0;0;0;0;0;-1;0
