RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
Deventer-G0150;138;109;11527;11110;5182;4401;4147;4788;4457;2444;2760;1624;1864;907;183;1948;534;1863.0;322;157;70;214.0;156;91.0;116.0;46.0;46.0;83.0;34;59.0;22.0;;4.0;;8.0;14.0;;;;17753.0
Diemen-G0384;46;45;2984;3074;1408;765;869;1193;1456;642;843;273;682;384;37;441;156;20.0;637;79;98;51.0;60;34.0;18.0;24.0;10.0;;17;7.0;;5.0;8.0;7.0;;1.0;;;;5906.0
Dinkelland-G1774;25;12;4894;1477;1792;5627;554;463;296;598;261;119;218;415;24;8;111;1003.0;8;25;6;18.0;11;11.0;28.0;7.0;8.0;5.0;4;2.0;2.0;;0.0;;0.0;2.0;;;;3192.0
Doesburg-G0221;7;11;1369;1065;917;582;716;539;353;377;266;133;122;134;13;201;54;57.0;15;19;10;22.0;23;8.0;13.0;3.0;4.0;11.0;1;9.0;4.0;;0.0;;;;;;;2034.0
Doetinchem-G0222;51;57;8313;5424;4167;3972;2912;2328;1522;1841;1082;841;573;757;373;454;422;542.0;82;121;60;122.0;82;45.0;56.0;20.0;24.0;24.0;16;11.0;15.0;;0.0;;;;;;;9936.0
Dongen-G0766;25;24;4757;2436;1881;1669;1184;859;558;650;448;219;184;359;48;294;219;159.0;24;65;9;41.0;42;29.0;;18.0;25.0;18.0;7;14.0;5.0;18.0;0.0;;1.0;;;;;4487.0
Dordrecht-G0505;155;141;13496;9197;7548;4219;4360;3680;3379;3489;3004;3405;1202;1639;2012;2860;855;130.0;522;283;278;246.0;163;97.0;;61.0;62.0;74.0;47;36.0;74.0;;;;;12.0;;2.0;;23521.0
Drechterland-G0498;21;22;3605;1770;1303;1586;676;533;440;791;427;112;212;532;22;18;150;244.0;24;53;6;42.0;20;28.0;42.0;17.0;18.0;17.0;10;6.0;4.0;8.0;0.0;;;1.0;;;;2519.0
Drimmelen-G1719;16;22;5441;2109;2368;1741;1270;801;478;951;509;152;243;419;43;20;221;294.0;24;62;12;37.0;22;30.0;;18.0;22.0;13.0;11;10.0;3.0;12.0;0.0;;2.0;;;;;4412.0
Dronten-G0303;27;37;6225;2865;2654;3334;1375;981;877;1611;710;1649;361;857;335;228;242;548.0;61;109;29;98.0;51;32.0;;33.0;21.0;;7;22.0;25.0;;1.0;;4.0;;;;;5950.0
Druten-G0225;22;12;3492;1672;1462;1241;1036;616;385;482;262;81;177;273;15;142;144;142.0;16;41;7;17.0;13;19.0;23.0;11.0;10.0;6.0;4;8.0;4.0;13.0;;;;;;;;3208.0
Duiven-G0226;27;30;4589;2471;1857;1749;1074;925;628;724;512;301;258;506;36;56;198;114.0;39;84;5;44.0;17;22.0;32.0;15.0;11.0;10.0;6;6.0;3.0;;0.0;;;;;;;3689.0
Echt-Susteren-G1711;28;19;3983;2008;4059;2824;1333;1348;632;1342;642;137;204;363;18;67;262;188.0;29;57;18;58.0;34;21.0;50.0;23.0;16.0;19.0;8;8.0;;16.0;;;1.0;3.0;;;;5942.0
Edam-Volendam-G0385;47;19;4871;2088;5885;3214;769;808;616;1973;803;206;381;1597;43;81;177;243.0;71;103;20;58.0;50;26.0;44.0;25.0;20.0;20.0;7;3.0;11.0;12.0;0.0;;;4.0;;;;4491.0
Ede-G0228;118;91;14348;8129;6093;7977;2467;2539;3059;3638;2165;7862;1241;1584;9226;1582;565;540.0;223;159;214;174.0;103;97.0;130.0;47.0;50.0;57.0;26;63.0;54.0;;5.0;;;;;;;15050.0
Eemnes-G0317;12;10;1934;998;600;636;263;299;221;277;271;176;157;217;34;6;47;58.0;18;17;1;14.0;16;8.0;11.0;4.0;6.0;;1;2.0;1.0;3.0;0.0;3.0;;;;;;994.0
Eemsdelta-G1979;48;47;3971;2689;3467;3129;3505;2817;904;1495;830;1560;231;389;211;320;288;537.0;63;69;14;69.0;35;22.0;57.0;18.0;18.0;;8;20.0;17.0;30.0;4.0;5.0;;;;;;9606.0
Eersel-G0770;10;25;3886;1853;1139;1904;762;490;437;425;348;108;427;267;12;11;155;191.0;8;48;4;32.0;21;26.0;25.0;19.0;20.0;10.0;11;5.0;1.0;13.0;;;2.0;;;;;2899.0
Eijsden-Margraten-G1903;34;43;4307;2487;2069;2296;924;1562;738;730;635;109;306;350;21;17;188;113.0;15;28;2;42.0;21;24.0;26.0;15.0;22.0;20.0;5;1.0;;11.0;;;1.0;0.0;;;;3545.0
Eindhoven-G0772;276;316;24311;23398;11861;7646;8946;6561;9244;5848;5564;1736;5782;1959;251;3902;1535;188.0;1015;499;562;406.0;454;233.0;190.0;209.0;103.0;187.0;98;56.0;61.0;165.0;;;89.0;;;;;40945.0
Elburg-G0230;131;16;2690;835;1608;2169;508;390;245;688;233;2584;83;321;2212;9;90;176.0;15;29;1;21.0;9;13.0;31.0;4.0;7.0;9.0;4;5.0;15.0;;1.0;;;;;;;2804.0
Emmen-G0114;120;89;11658;6371;11938;7033;6227;5750;1830;4516;1663;1865;646;1288;319;322;918;971.0;118;243;42;150.0;99;105.0;198.0;63.0;57.0;44.0;31;38.0;42.0;;;;;;;7.0;;21150.0
Enkhuizen-G0388;24;19;2373;1837;1286;880;907;723;453;738;505;237;202;332;153;143;124;54.0;40;71;7;54.0;26;25.0;23.0;5.0;16.0;23.0;5;4.0;4.0;10.0;0.0;;;2.0;;;;2993.0
Enschede-G0153;206;176;15071;12361;12150;10162;6145;5896;4908;6263;2851;2845;3547;1607;363;2437;722;529.0;448;282;202;243.0;306;139.0;140.0;65.0;68.0;83.0;56;32.0;44.0;;15.0;;14.0;47.0;;;;29718.0
Epe-G0232;29;31;5365;2424;2299;2508;1063;1332;665;992;692;1329;263;501;913;297;225;420.0;31;44;13;52.0;33;19.0;43.0;15.0;12.0;18.0;11;56.0;22.0;;0.0;;;;;;;5016.0
Ermelo-G0233;24;27;3583;1817;1489;2672;631;613;568;890;575;2235;235;462;1285;70;138;143.0;31;50;6;35.0;18;16.0;26.0;16.0;12.0;14.0;6;7.0;22.0;;2.0;;;;;;;3551.0
Etten-Leur-G0777;45;34;7581;3443;3280;2426;1806;1319;989;1291;636;273;341;658;32;471;342;170.0;69;92;115;90.0;35;38.0;;28.0;21.0;19.0;9;15.0;10.0;20.0;0.0;;1.0;;;;;7812.0
Geertruidenberg-G0779;21;19;3855;1416;2087;1231;1149;673;346;813;335;141;147;335;26;39;201;116.0;25;57;5;69.0;23;21.0;;15.0;21.0;11.0;5;15.0;3.0;19.0;0.0;;1.0;;;;;4007.0
Geldrop-Mierlo-G1771;48;39;6067;3876;3122;2503;1948;1259;1175;1313;865;319;559;502;45;216;322;77.0;75;88;39;74.0;56;41.0;55.0;38.0;17.0;31.0;17;20.0;3.0;30.0;;;4.0;;;;;6181.0
Gemert-Bakel-G1652;35;26;4810;2280;2338;3428;1541;652;585;780;504;103;254;386;9;27;222;506.0;33;51;5;45.0;24;26.0;46.0;11.0;16.0;7.0;5;3.0;1.0;19.0;;;0.0;;;;;4822.0
Gennep-G0907;23;25;2552;1396;1291;1341;1021;644;395;475;355;84;160;215;9;61;91;116.0;26;18;4;40.0;30;10.0;22.0;10.0;3.0;9.0;7;9.0;;6.0;;;1.0;0.0;;;;3225.0
Gilze en Rijen-G0784;36;16;4452;2173;1899;1655;1273;870;596;839;417;118;250;389;19;345;268;162.0;34;44;24;49.0;28;35.0;;26.0;16.0;11.0;9;21.0;5.0;19.0;0.0;;4.0;;;;;4214.0
Goeree-Overflakkee-G1924;56;36;6954;2179;4025;3311;1376;1501;601;1991;808;2567;279;1050;5279;20;350;204.0;39;175;4;68.0;50;42.0;;22.0;25.0;27.0;12;5.0;19.0;;;;;9.0;;4.0;;6966.0
Goes-G0664;43;31;5192;3130;2067;2693;1319;1638;975;1258;895;1242;302;607;1534;130;306;205.0;88;84;27;57.0;55;27.0;;20.0;22.0;26.0;9;6.0;3.0;;;;1.0;;;;;6546.0
Goirle-G0785;20;24;4247;2762;1546;1410;1232;777;688;675;502;94;270;312;8;78;191;52.0;30;53;10;41.0;22;25.0;;10.0;21.0;15.0;8;6.0;2.0;18.0;0.0;;2.0;;;;;3631.0
Gooise Meren-G1942;63;71;10247;8765;2231;3002;1205;1748;1784;1348;1679;591;1562;838;107;342;254;115.0;114;85;122;100.0;112;53.0;33.0;34.0;51.0;;17;12.0;;18.0;3.0;15.0;;1.0;;;;6259.0
Gorinchem-G0512;82;35;4907;3185;2259;1549;1312;1283;929;1208;706;1103;402;535;497;1031;207;49.0;94;82;138;61.0;40;25.0;;52.0;22.0;17.0;10;12.0;25.0;;;;;4.0;;3.0;;6320.0
Gouda-G0513;93;90;7546;7238;3960;3136;2294;2621;2796;1913;1988;3029;1161;1090;1940;1746;507;112.0;217;152;314;143.0;105;51.0;;30.0;45.0;48.0;32;38.0;26.0;;8.0;;;;;4.0;;11260.0
Grave-G0786;10;12;2158;1161;965;948;744;343;296;372;264;75;142;184;8;8;74;94.0;20;20;3;26.0;15;9.0;13.0;6.0;8.0;3.0;2;5.0;0.0;6.0;;;0.0;;;;;1742.0
Groningen-G0014;280;235;19897;33442;8254;8155;11076;12164;15278;5401;8744;5762;8042;2200;668;719;794;588.0;1702;419;214;531.0;579;283.0;194.0;100.0;132.0;;111;65.0;56.0;62.0;38.0;44.0;;;;;;32675.0
Gulpen-Wittem-G1729;11;9;2026;1053;1412;1697;621;790;416;455;367;90;154;167;26;10;120;153.0;13;13;1;18.0;15;9.0;11.0;13.0;5.0;12.0;6;3.0;;5.0;;;0.0;1.0;;;;2110.0
Haaksbergen-G0158;35;31;3772;1973;1724;3535;947;698;362;704;327;179;203;363;38;226;131;651.0;24;48;3;30.0;16;14.0;20.0;10.0;6.0;6.0;3;3.0;3.0;;3.0;;3.0;3.0;;;;3313.0
Haarlem-G0392;332;138;16491;21519;6865;4356;5155;6443;8780;3593;6136;1427;4571;1604;212;2734;823;122.0;1051;288;270;330.0;286;107.0;248.0;77.0;97.0;;57;30.0;;61.0;15.0;35.0;;17.0;;;;22521.0
Haarlemmermeer-G0394;190;172;25857;13710;10562;7863;4015;4007;3571;4725;3218;2174;1850;2859;628;1571;1216;288.0;667;378;391;298.0;201;204.0;216.0;99.0;70.0;;46;45.0;;51.0;15.0;15.0;;8.0;;;;23443.0
Halderberge-G1655;35;20;5517;2002;2881;1716;1374;734;477;961;364;161;197;457;21;276;232;153.0;29;78;23;38.0;25;27.0;;17.0;12.0;11.0;7;8.0;8.0;13.0;1.0;;2.0;;;;;10296.0
Hardenberg-G0160;70;43;7433;2941;4398;7721;1913;1618;773;2233;602;4594;386;847;743;31;506;1976.0;39;122;6;67.0;36;57.0;75.0;28.0;16.0;21.0;8;15.0;23.0;;0.0;;6.0;2.0;;;;8205.0
