RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Hilversum-G0402;400;;14807;15474;14453;7807;1511.0;1282.0;683.0;1229;794.0;299.0;476.0;303.0;321.0;193.0;97.0;;;37.0;14.0;35.0;7.0;;;43.0;16.0;;21.0;7.0;8750.0
Hindeloopen-G0077;3;;176;221;59;41;3.0;18.0;;24;16.0;;2.0;;1.0;;2.0;;1.0;;;;;;;;;;;;33.0
Hoensbroek-G0921;92;;3792;4845;1160;1748;212.0;425.0;11.0;427;52.0;21.0;43.0;27.0;160.0;201.0;70.0;5.0;32.0;73.0;4.0;5.0;3.0;28.0;9.0;;;;;;3109.0
Hoevelaken-G0253;9;;1548;660;1092;509;36.0;11.0;318.0;79;74.0;73.0;20.0;35.0;2.0;2.0;6.0;1.0;2.0;2.0;;;1.0;;;;;;;;385.0
Hoeven-G0799;43;;1937;1117;660;397;41.0;23.0;10.0;40;9.0;4.0;6.0;2.0;5.0;10.0;29.0;4.0;14.0;8.0;6.0;;;;1.0;;;;;;830.0
Holten-G0165;22;;2288;1367;1359;608;26.0;18.0;33.0;56;48.0;16.0;22.0;39.0;2.0;1.0;46.0;4.0;3.0;2.0;;;1.0;;;;;;;;176.0
Hontenisse-G0675;28;;2529;1216;575;452;51.0;16.0;9.0;76;9.0;17.0;6.0;7.0;1.0;30.0;16.0;2.0;;5.0;2.0;;;;;;;;;;571.0
Hoogblokland-G0535;6;;241;242;234;60;4.0;5.0;57.0;7;34.0;3.0;;5.0;1.0;;3.0;;;;;;;;;;;;;;48.0
Hooge en Lage Mierde-G0801;4;;1548;234;228;178;31.0;11.0;6.0;38;1.0;;8.0;6.0;6.0;7.0;5.0;;;3.0;1.0;;;;0.0;;;;;;122.0
Hooge en Lage Zwaluwe-G0802;18;;1424;1040;626;408;19.0;20.0;23.0;41;36.0;2.0;8.0;11.0;3.0;5.0;12.0;12.0;13.0;8.0;2.0;1.0;1.0;;0.0;;;;;;442.0
Hoogeloon, Hapert en Casteren-G0800;15;;2895;584;621;459;46.0;14.0;5.0;76;2.0;9.0;12.0;9.0;7.0;7.0;16.0;4.0;5.0;1.0;4.0;;;;3.0;;;;;;322.0
Hoogeveen-G0118;94;;9814;7814;2948;2342;205.0;417.0;349.0;326;1044.0;646.0;98.0;432.0;36.0;8.0;109.0;20.0;;17.0;5.0;6.0;2.0;;;;;;;;2848.0
Hoogezand-Sappemeer-G0018;66;;2946;10416;2821;2104;405.0;911.0;20.0;352;196.0;406.0;104.0;213.0;55.0;33.0;36.0;10.0;71.0;7.0;6.0;4.0;11.0;;;;;;;;3354.0
Hoorn-G0405;189;;5751;7231;4803;3651;701.0;807.0;18.0;643;115.0;34.0;134.0;64.0;34.0;88.0;34.0;50.0;;21.0;9.0;9.0;1.0;;5.0;;;;;;4015.0
Hoornaar-G0536;3;;268;224;235;87;9.0;4.0;32.0;11;49.0;1.0;3.0;3.0;1.0;;;;;3.0;;;;;;;;;;;52.0
Horn-G0922;15;;1240;375;361;323;32.0;9.0;1.0;45;4.0;2.0;5.0;;3.0;16.0;12.0;1.0;1.0;4.0;2.0;1.0;1.0;2.0;0.0;;;;;;452.0
Horssen-G0254;6;;548;103;88;80;5.0;;;17;;;7.0;;1.0;3.0;1.0;;1.0;2.0;;;;0.0;0.0;;;;;;76.0
Horst-G0923;68;;6709;1370;1091;879;155.0;45.0;9.0;156;4.0;9.0;23.0;;56.0;63.0;20.0;1.0;18.0;10.0;;2.0;2.0;2.0;1.0;;;;;;1125.0
Houten-G0321;24;;2820;763;1198;541;89.0;35.0;226.0;145;71.0;15.0;9.0;25.0;10.0;23.0;13.0;8.0;10.0;2.0;;2.0;;;;;1.0;;;;448.0
Huijbergen-G0803;7;;651;206;218;105;11.0;13.0;;15;;;9.0;1.0;;2.0;4.0;;2.0;1.0;;2.0;;;1.0;;;;;;141.0
Huissen-G0255;46;;3925;1710;1527;1058;132.0;46.0;16.0;226;12.0;13.0;25.0;35.0;11.0;25.0;14.0;3.0;7.0;9.0;2.0;6.0;;1.0;1.0;;;;;;834.0
