RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Oldehove-G0035;7;;528;318;275;91;19.0;11.0;1.0;36;38.0;215.0;2.0;21.0;;;1.0;;;2.0;;;;;;;;;;;98.0
Oldekerk-G0036;9;;661;257;255;83;14.0;4.0;12.0;11;35.0;55.0;1.0;10.0;;;7.0;;3.0;1.0;;;;;;;;;;;112.0
Oldenzaal-G0173;57;;8619;3809;2143;1865;248.0;99.0;14.0;221;42.0;57.0;60.0;47.0;45.0;54.0;35.0;6.0;33.0;5.0;5.0;4.0;3.0;;;;;;;;1558.0
Olst-G0174;28;;2000;1976;1049;570;54.0;30.0;28.0;79;25.0;6.0;12.0;16.0;1.0;11.0;14.0;2.0;5.0;1.0;3.0;1.0;;;;;;;;;429.0
Ommen-G0175;42;;5889;1490;1487;820;69.0;22.0;87.0;141;239.0;898.0;17.0;100.0;6.0;1.0;42.0;4.0;9.0;5.0;2.0;;1.0;;;;;;;;393.0
Oost-, West- en Middelbeers-G0825;15;;1785;254;308;238;30.0;7.0;4.0;42;3.0;;14.0;;7.0;1.0;6.0;1.0;3.0;;;;1.0;;0.0;;;;;;294.0
Oostburg-G0692;73;;3589;3993;2814;958;124.0;71.0;153.0;164;83.0;41.0;34.0;43.0;10.0;16.0;19.0;6.0;;6.0;2.0;4.0;;;;;;;;;1392.0
Oostdongeradeel-G0084;9;;2759;397;360;161;20.0;13.0;41.0;41;122.0;35.0;5.0;48.0;3.0;;1.0;1.0;3.0;;2.0;3.0;1.0;;;;;;;;327.0
Oosterbroek-G0033;22;;379;1712;490;292;78.0;138.0;3.0;23;12.0;73.0;15.0;11.0;4.0;6.0;15.0;4.0;10.0;2.0;3.0;;6.0;;;;;;;;445.0
Oosterhesselen-G0123;6;;793;1152;629;226;40.0;54.0;12.0;39;110.0;77.0;5.0;27.0;4.0;2.0;3.0;2.0;;2.0;;;;;;;;;;;175.0
Oosterhout-G0826;157;;8899;8109;4109;3338;351.0;160.0;21.0;438;39.0;19.0;94.0;54.0;49.0;48.0;60.0;14.0;86.0;26.0;47.0;4.0;2.0;;6.0;;;;;;4057.0
Oostflakkee-G0580;21;;1687;2073;764;528;36.0;20.0;663.0;46;156.0;36.0;10.0;15.0;3.0;8.0;8.0;;;2.0;1.0;;1.0;;;;;;;;618.0
Ooststellingwerf-G0085;89;;3640;6081;2122;1498;370.0;311.0;73.0;272;174.0;262.0;50.0;123.0;21.0;7.0;32.0;6.0;16.0;7.0;4.0;3.0;3.0;;;;;;;;1641.0
Oostzaan-G0431;32;;573;1451;903;608;134.0;387.0;37.0;85;66.0;2.0;28.0;20.0;9.0;1.0;10.0;9.0;;1.0;3.0;;1.0;;2.0;;;;;;563.0
Ootmarsum-G0176;6;;1834;283;380;237;16.0;2.0;2.0;24;14.0;4.0;4.0;6.0;4.0;17.0;1.0;;3.0;;;;;;;;;;;;
Oploo, Sint Anthonis en Ledeacker-G0827;22;;3110;437;327;355;138.0;11.0;2.0;94;;4.0;11.0;9.0;9.0;26.0;14.0;;13.0;3.0;;;;;3.0;;;;;;281.0
Opmeer-G0432;58;;2542;1027;1116;687;99.0;72.0;2.0;96;28.0;5.0;28.0;16.0;3.0;48.0;18.0;10.0;;4.0;1.0;2.0;;;0.0;;;;;;694.0
Opsterland-G0086;97;;3659;6622;2086;1477;337.0;497.0;64.0;299;333.0;685.0;51.0;99.0;19.0;4.0;35.0;7.0;27.0;2.0;;5.0;1.0;;;;;;;;1625.0
Oss-G0828;144;;9718;6860;3906;3413;568.0;150.0;16.0;513;31.0;19.0;88.0;35.0;1865.0;91.0;60.0;11.0;79.0;27.0;11.0;;2.0;;11.0;;;;;;4748.0
Ossendrecht-G0829;27;;1097;893;465;231;25.0;11.0;2.0;33;3.0;4.0;19.0;;4.0;9.0;15.0;1.0;13.0;5.0;;;4.0;;4.0;;;;;;585.0
Ottoland-G0582;6;;247;61;77;18;3.0;4.0;88.0;4;36.0;5.0;2.0;10.0;;;3.0;;;;1.0;;;;;;;;;;29.0
Oud- en Nieuw-Gastel-G0831;47;;2068;1407;544;409;45.0;41.0;2.0;45;1.0;;10.0;3.0;7.0;6.0;28.0;9.0;23.0;2.0;5.0;;1.0;;1.0;;;;;;926.0
Oud-Alblas-G0583;6;;367;201;190;92;9.0;1.0;267.0;8;54.0;4.0;3.0;12.0;;;2.0;;;5.0;;;;;;;;;;;91.0
Oud-Beijerland-G0584;39;;2048;2384;1961;1098;115.0;70.0;1142.0;155;232.0;59.0;44.0;107.0;16.0;7.0;13.0;;;10.0;1.0;;1.0;;;;;;;;1075.0
Oude Pekela-G0038;22;;644;2846;347;304;47.0;962.0;19.0;32;50.0;9.0;2.0;49.0;6.0;8.0;6.0;2.0;6.0;8.0;;5.0;3.0;;;;;;;;625.0
Oudenbosch-G0830;44;;2756;1999;996;666;88.0;48.0;6.0;95;10.0;2.0;19.0;18.0;2.0;29.0;23.0;3.0;18.0;9.0;9.0;1.0;;;2.0;;;;;;1317.0
Ouder-Amstel-G0437;64;;2315;1473;2086;993;148.0;150.0;74.0;146;44.0;13.0;73.0;43.0;10.0;17.0;13.0;;;2.0;1.0;6.0;;;;2.0;0.0;;3.0;1.0;820.0
Ouderkerk aan den IJssel-G0587;25;;593;728;710;321;30.0;18.0;727.0;26;115.0;28.0;8.0;15.0;1.0;;8.0;;;1.0;;;;;;;;;;;456.0
Oudewater-G0589;38;;1854;667;877;429;52.0;9.0;174.0;80;94.0;10.0;21.0;44.0;5.0;12.0;3.0;1.0;13.0;1.0;1.0;;;;;;0.0;;;;466.0
Pannerden-G0272;7;;700;312;93;147;16.0;7.0;;20;1.0;;1.0;5.0;3.0;1.0;8.0;2.0;1.0;;1.0;;;0.0;1.0;;;;;;199.0
Papendrecht-G0590;49;;3040;4550;2985;2019;217.0;133.0;851.0;181;445.0;109.0;85.0;158.0;28.0;12.0;16.0;;;16.0;2.0;;;;;;;;;;2112.0
Peize-G0124;15;;275;1296;813;356;50.0;44.0;9.0;72;13.0;6.0;14.0;11.0;2.0;2.0;33.0;3.0;;1.0;1.0;;1.0;;;;;;;;390.0
Piershil-G0591;7;;119;286;175;80;7.0;9.0;119.0;9;15.0;6.0;4.0;3.0;2.0;;3.0;;;;;;;;;;;;;;110.0
Pijnacker-G0594;71;;4061;1329;2392;1201;152.0;77.0;294.0;144;95.0;83.0;53.0;91.0;6.0;11.0;11.0;;;6.0;;;2.0;;;;;;;;853.0
Polsbroek-G0338;8;;313;50;158;25;7.0;;104.0;3;22.0;;2.0;;;;2.0;;;;;1.0;;;;;0.0;;;;66.0
Poortugal-G0592;105;;1956;5953;1576;2062;206.0;354.0;260.0;206;143.0;54.0;94.0;84.0;29.0;22.0;24.0;;;20.0;7.0;;1.0;;;;;;;;2210.0
Posterholt-G0956;22;;1096;726;275;268;36.0;14.0;1.0;48;;1.0;6.0;4.0;1.0;6.0;6.0;1.0;2.0;5.0;4.0;;1.0;1.0;0.0;;;;;;379.0
Prinsenbeek-G0832;31;;2624;1124;1367;639;45.0;20.0;6.0;84;5.0;3.0;18.0;5.0;2.0;6.0;15.0;4.0;15.0;8.0;13.0;3.0;;;0.0;;;;;;708.0
Purmerend-G0439;106;;3703;7006;4958;3257;610.0;1351.0;27.0;525;84.0;21.0;253.0;192.0;44.0;23.0;15.0;72.0;;14.0;14.0;28.0;1.0;;5.0;;;;;;3584.0
Putte-G0833;19;;597;553;378;223;18.0;14.0;;20;6.0;;21.0;3.0;4.0;8.0;11.0;;12.0;7.0;5.0;2.0;;;2.0;;;;;;423.0
Putten-G0273;49;;4847;1548;2035;747;65.0;57.0;1507.0;110;621.0;102.0;43.0;76.0;5.0;2.0;37.0;2.0;11.0;7.0;;;5.0;;;;;;;;1072.0
Puttershoek-G0593;18;;772;1289;625;422;29.0;31.0;241.0;24;46.0;17.0;18.0;20.0;9.0;1.0;2.0;;;4.0;1.0;;;;;;;;;;365.0
Raalte-G0177;36;;9929;2068;1308;1400;116.0;46.0;15.0;169;46.0;26.0;30.0;38.0;10.0;35.0;49.0;3.0;11.0;7.0;1.0;1.0;;;;;;;;;1098.0
Raamsdonk-G0834;50;;2656;2235;1136;812;67.0;47.0;55.0;78;25.0;8.0;16.0;11.0;11.0;18.0;32.0;1.0;18.0;12.0;4.0;;;;0.0;;;;;;1067.0
Rauwerderhem-G0087;11;;435;597;353;280;36.0;26.0;6.0;59;11.0;1.0;6.0;8.0;2.0;;1.0;1.0;2.0;;;1.0;;;;;;;;;144.0
Ravenstein-G0835;27;;2542;1161;418;358;69.0;15.0;2.0;53;5.0;5.0;6.0;5.0;66.0;23.0;5.0;1.0;2.0;8.0;;;;;5.0;;;;;;442.0
Reeuwijk-G0595;27;;1649;895;1605;682;75.0;46.0;221.0;81;90.0;26.0;30.0;30.0;4.0;22.0;11.0;;;3.0;1.0;;;;;;;;;;601.0
Reimerswaal-G0703;39;;3007;2462;1743;926;77.0;43.0;2726.0;106;277.0;68.0;33.0;43.0;9.0;5.0;27.0;12.0;;7.0;2.0;2.0;1.0;;;;;;;;1588.0
Renkum-G0274;102;;7420;5518;5587;2332;368.0;217.0;275.0;551;248.0;94.0;112.0;192.0;98.0;34.0;31.0;13.0;29.0;6.0;;;3.0;;;;;;;;2552.0
Renswoude-G0339;0;;799;220;405;130;5.0;1.0;206.0;21;58.0;3.0;6.0;11.0;2.0;;9.0;2.0;;;;8.0;;;;;1.0;;;;223.0
Reusel-G0836;20;;2696;535;394;452;60.0;16.0;2.0;67;2.0;1.0;11.0;3.0;7.0;24.0;17.0;1.0;6.0;3.0;1.0;;;;2.0;;;;;;615.0
Rheden-G0275;114;;8808;10751;6548;3631;552.0;214.0;129.0;699;338.0;166.0;163.0;224.0;64.0;43.0;24.0;21.0;43.0;16.0;;;6.0;;;;;;;;3309.0
Rhenen-G0340;63;;2609;2899;2108;942;123.0;47.0;1353.0;99;206.0;46.0;29.0;57.0;39.0;7.0;19.0;2.0;23.0;6.0;1.0;4.0;1.0;;;;0.0;;;;1320.0
Rhoon-G0596;33;;1455;852;1444;567;38.0;24.0;80.0;48;55.0;18.0;17.0;51.0;5.0;7.0;8.0;;;7.0;3.0;;2.0;;;;;;;;435.0
Ridderkerk-G0597;126;;5890;9785;4394;3810;274.0;324.0;2757.0;258;597.0;293.0;140.0;176.0;51.0;12.0;48.0;;;44.0;9.0;;4.0;;;;;;;;3767.0
Riethoven-G0837;6;;800;94;308;116;19.0;2.0;1.0;23;;1.0;5.0;1.0;2.0;2.0;3.0;;;2.0;;;;;0.0;;;;;;78.0
Rijnsaterwoude-G0601;8;;251;100;187;79;11.0;12.0;44.0;18;17.0;3.0;2.0;4.0;;6.0;3.0;;;;;;;;;;;;;;72.0
Rijnsburg-G0602;66;;3638;640;1141;395;43.0;17.0;182.0;52;357.0;332.0;20.0;62.0;4.0;3.0;5.0;;;3.0;1.0;;1.0;;;;;;;;618.0
Rijsbergen-G0841;41;;1705;554;451;266;18.0;12.0;4.0;24;13.0;4.0;12.0;2.0;1.0;2.0;12.0;;7.0;3.0;2.0;;;;0.0;;;;;;646.0
Rijssen-G0178;35;;3355;1853;838;599;39.0;28.0;4837.0;52;995.0;95.0;27.0;62.0;6.0;6.0;44.0;3.0;27.0;2.0;3.0;6.0;;;;;;;;;943.0
Rijswijk-G0603;207;;8954;7365;10027;4814;649.0;369.0;265.0;583;264.0;145.0;501.0;127.0;61.0;82.0;70.0;;;34.0;20.0;;5.0;;;;;;;;4874.0
Roden-G0125;36;;2070;3871;2143;1264;173.0;130.0;19.0;247;130.0;161.0;58.0;93.0;13.0;4.0;52.0;2.0;;6.0;2.0;1.0;1.0;;;;;;;;1199.0
Roermond-G0957;195;;7587;5763;3160;2459;389.0;157.0;12.0;408;40.0;18.0;76.0;23.0;32.0;158.0;58.0;16.0;49.0;28.0;11.0;6.0;5.0;11.0;11.0;;;;;;5639.0
Roggel-G0958;18;;1584;344;270;230;47.0;15.0;1.0;57;;;1.0;1.0;;9.0;12.0;1.0;2.0;;2.0;2.0;;0.0;0.0;;;;;;365.0
Rolde-G0126;13;;460;1331;1403;428;59.0;24.0;5.0;90;17.0;14.0;15.0;17.0;5.0;1.0;9.0;2.0;;1.0;;;;;;;;;;;363.0
Roosendaal en Nispen-G0838;265;;13072;8591;5315;3508;412.0;211.0;40.0;481;77.0;20.0;141.0;33.0;131.0;100.0;101.0;31.0;160.0;29.0;45.0;11.0;5.0;;12.0;;;;;;6586.0
Roosteren-G0959;14;;521;235;101;101;17.0;7.0;;15;;1.0;;3.0;1.0;4.0;2.0;;;8.0;;;;1.0;0.0;;;;;;142.0
Rosmalen-G0839;92;;5751;2613;2449;1546;278.0;78.0;7.0;281;24.0;10.0;56.0;20.0;140.0;34.0;31.0;7.0;24.0;8.0;3.0;;;;0.0;;;;;;2411.0
Rossum-G0276;17;;715;568;299;163;19.0;14.0;16.0;26;2.0;1.0;7.0;7.0;6.0;3.0;4.0;;;;;;;0.0;3.0;;;;;;168.0
Rotterdam-G0599;1970;;51979;160195;45344;37973;7559.0;11901.0;5138.0;4794;2896.0;1899.0;3164.0;1759.0;1727.0;637.0;638.0;;;412.0;116.0;123.0;159.0;;;;;46.0;;;79931.0
Rozenburg-G0600;57;;1631;2797;1360;1365;87.0;145.0;78.0;120;102.0;137.0;40.0;62.0;29.0;9.0;13.0;;;11.0;;;;;;;;;;;1286.0
Rozendaal-G0277;2;;268;101;429;125;7.0;2.0;5.0;25;12.0;;10.0;18.0;4.0;2.0;;1.0;2.0;3.0;;;;;;;;;;;53.0
Rucphen-G0840;96;;4335;4871;1093;780;62.0;64.0;2.0;76;5.0;2.0;30.0;8.0;5.0;25.0;64.0;3.0;23.0;11.0;20.0;4.0;1.0;;8.0;;;;;;2990.0
Ruinen-G0127;17;;943;1486;1442;442;39.0;28.0;12.0;45;41.0;25.0;14.0;21.0;11.0;1.0;17.0;3.0;;1.0;;;1.0;;;;;;;;172.0
Ruinerwold-G0128;7;;632;564;725;218;9.0;4.0;3.0;23;24.0;37.0;9.0;6.0;;;3.0;1.0;;2.0;;;1.0;;;;;;;;175.0
Ruurlo-G0278;27;;1482;1242;1215;424;42.0;16.0;5.0;44;17.0;2.0;10.0;14.0;2.0;10.0;22.0;;4.0;3.0;2.0;;;1.0;2.0;;;;;;518.0
Sas van Gent-G0704;31;;1674;1747;836;513;47.0;55.0;38.0;82;14.0;20.0;11.0;5.0;13.0;12.0;8.0;9.0;;10.0;3.0;;2.0;;;;;;;;992.0
Sassenheim-G0604;23;;3651;1112;1897;835;114.0;52.0;57.0;140;63.0;5.0;32.0;44.0;12.0;15.0;8.0;;;5.0;2.0;;2.0;;;;;;;;733.0
Schaesberg-G0960;94;;3714;3065;1224;1268;148.0;183.0;11.0;240;10.0;16.0;35.0;9.0;78.0;33.0;47.0;2.0;28.0;125.0;4.0;1.0;5.0;24.0;3.0;;;;;;2159.0
Schagen-G0441;54;;2036;2480;2592;1431;212.0;242.0;11.0;230;52.0;20.0;85.0;56.0;11.0;9.0;12.0;26.0;;5.0;1.0;2.0;4.0;;0.0;;;;;;1320.0
Schaijk-G0843;31;;2597;619;451;448;68.0;5.0;;67;3.0;;9.0;3.0;69.0;6.0;11.0;;3.0;5.0;3.0;;;;2.0;;;;;;462.0
Scheemda-G0039;27;;1058;2447;506;369;53.0;318.0;13.0;49;128.0;48.0;10.0;58.0;10.0;3.0;3.0;;13.0;3.0;3.0;;8.0;;;;;;;;445.0
Schelluinen-G0605;2;;109;180;178;103;6.0;5.0;43.0;2;34.0;1.0;1.0;7.0;;;;;;;;;;;;;;;;;63.0
Schermer-G0458;14;;787;610;596;310;63.0;63.0;14.0;47;14.0;1.0;15.0;6.0;4.0;4.0;10.0;4.0;;2.0;;;1.0;;0.0;;;;;;229.0
Scherpenzeel-G0279;17;;1525;865;1020;323;14.0;9.0;492.0;54;225.0;17.0;21.0;39.0;1.0;;4.0;5.0;9.0;1.0;;;1.0;;;;;;;;393.0
Schiedam-G0606;223;;9602;20006;6279;5406;895.0;1406.0;457.0;727;486.0;87.0;279.0;262.0;105.0;85.0;63.0;;;49.0;18.0;;18.0;;;;;;;;8034.0
Schiermonnikoog-G0088;3;;268;252;237;129;39.0;3.0;;40;7.0;20.0;8.0;47.0;2.0;2.0;1.0;;;1.0;;;;;;;;;;;
Schijndel-G0844;66;;5299;2758;1151;1177;185.0;53.0;7.0;191;3.0;4.0;29.0;13.0;295.0;44.0;46.0;5.0;15.0;8.0;8.0;;;;3.0;;;;;;2052.0
Schimmert-G0961;22;;1173;261;300;191;52.0;8.0;1.0;44;2.0;;7.0;;;23.0;7.0;;3.0;5.0;;;;0.0;0.0;;;;;;279.0
Schinnen-G0962;12;;1786;909;505;362;69.0;28.0;4.0;111;8.0;1.0;9.0;3.0;13.0;23.0;14.0;;6.0;15.0;2.0;;;8.0;2.0;;;;;;541.0
Schinveld-G0963;27;;1366;788;229;265;60.0;30.0;1.0;67;4.0;3.0;13.0;1.0;11.0;104.0;18.0;3.0;10.0;33.0;1.0;1.0;3.0;7.0;1.0;;;;;;425.0
Schipluiden-G0607;22;;2734;405;941;425;50.0;23.0;51.0;75;31.0;11.0;25.0;29.0;4.0;13.0;10.0;;;2.0;4.0;;;;;;;;;;355.0
Schoonebeek-G0129;10;;2395;1335;357;342;31.0;41.0;5.0;33;22.0;9.0;6.0;29.0;2.0;6.0;30.0;2.0;;1.0;7.0;2.0;1.0;;;;;;;;614.0
Schoonhoven-G0608;51;;1862;1508;1268;825;225.0;51.0;337.0;132;111.0;20.0;36.0;49.0;6.0;5.0;11.0;;;5.0;4.0;;1.0;;;;;;;;731.0
Schoonrewoerd-G0609;9;;303;112;124;64;;4.0;199.0;7;42.0;3.0;2.0;16.0;1.0;;1.0;;;1.0;;;;;;;;;;;70.0
Schoorl-G0444;46;;1108;1046;1238;585;131.0;78.0;1.0;103;9.0;7.0;37.0;9.0;7.0;6.0;4.0;23.0;;2.0;1.0;;1.0;;2.0;;;;;;152.0
Sevenum-G0964;16;;2840;397;375;334;71.0;7.0;1.0;52;;1.0;6.0;4.0;16.0;29.0;2.0;1.0;3.0;2.0;;;;1.0;0.0;;;;;;418.0
's-Graveland-G0390;45;;1786;1035;1538;772;127.0;73.0;75.0;129;46.0;28.0;41.0;43.0;12.0;6.0;10.0;;;3.0;1.0;4.0;;;;3.0;0.0;;5.0;0.0;552.0
's-Gravendeel-G0517;23;;1376;1766;796;502;38.0;22.0;330.0;24;93.0;34.0;7.0;29.0;4.0;1.0;7.0;;;3.0;;;;;;;;;;;56.0
's-Gravenhage-G0518;1234;;59346;88061;61854;33057;5709.0;6476.0;2759.0;4882;1995.0;963.0;3588.0;1137.0;1314.0;609.0;303.0;2669.0;;206.0;71.0;;120.0;;75.0;;100.0;58.0;;;64470.0
's-Gravenmoer-G0787;13;;611;192;241;106;5.0;6.0;21.0;8;58.0;7.0;3.0;14.0;2.0;1.0;3.0;;1.0;;;;;;1.0;;;;;;96.0
's-Gravenzande-G0519;69;;3833;1834;2777;845;58.0;39.0;434.0;74;230.0;31.0;46.0;95.0;15.0;7.0;12.0;;;8.0;1.0;;1.0;;;;;;;;1035.0
's-Hertogenbosch-G0796;346;;16599;15932;6514;6269;1719.0;824.0;38.0;1303;75.0;123.0;269.0;100.0;442.0;238.0;97.0;71.0;354.0;52.0;35.0;;5.0;;13.0;;;;;;11680.0
Simpelveld-G0965;33;;2012;962;543;404;54.0;40.0;3.0;57;3.0;2.0;17.0;5.0;6.0;33.0;5.0;3.0;9.0;16.0;13.0;1.0;1.0;15.0;0.0;;;;;;377.0
Sint Geertruid-G0966;6;;545;177;84;94;8.0;5.0;;13;;;1.0;;;33.0;;2.0;1.0;4.0;8.0;;;0.0;0.0;;;;;;55.0
Sint Maarten-G0445;26;;353;329;277;195;38.0;27.0;2.0;22;10.0;1.0;8.0;8.0;1.0;4.0;8.0;1.0;;1.0;;;;;0.0;;;;;;101.0
Sint Odiliënberg-G0967;20;;984;410;316;265;27.0;9.0;2.0;23;;3.0;4.0;5.0;5.0;30.0;6.0;;2.0;3.0;3.0;;;2.0;0.0;;;;;;325.0
Sint Pancras-G0446;21;;948;638;749;427;66.0;70.0;14.0;85;49.0;5.0;11.0;20.0;2.0;3.0;1.0;10.0;;1.0;1.0;;;;1.0;;;;;;271.0
Sint Philipsland-G0712;5;;270;259;135;101;4.0;4.0;649.0;7;29.0;8.0;;9.0;2.0;;5.0;2.0;;2.0;;;;;;;;;;;100.0
Sint-Michielsgestel-G0845;39;;3183;1661;968;833;108.0;45.0;7.0;131;11.0;4.0;25.0;10.0;31.0;59.0;23.0;4.0;11.0;10.0;2.0;;;;2.0;;;;;;907.0
Sint-Oedenrode-G0846;42;;5454;1746;1089;1086;141.0;50.0;4.0;183;12.0;3.0;12.0;8.0;22.0;20.0;27.0;;11.0;2.0;3.0;;;;0.0;;;;;;910.0
Sittard-G0968;203;;6866;5778;2478;2218;447.0;231.0;21.0;591;25.0;21.0;61.0;22.0;70.0;156.0;46.0;3.0;30.0;36.0;14.0;4.0;3.0;30.0;5.0;;;;;;4781.0
Sleen-G0130;35;;1152;2721;1096;369;43.0;168.0;5.0;59;97.0;3.0;11.0;42.0;6.0;1.0;9.0;2.0;;;1.0;1.0;1.0;;;;;;;;308.0
Slenaken-G0969;3;;260;104;66;64;5.0;1.0;;3;1.0;;1.0;1.0;1.0;5.0;1.0;;1.0;1.0;;1.0;;0.0;0.0;;;;;;
Sliedrecht-G0610;48;;2410;4830;1706;1572;179.0;142.0;2344.0;121;367.0;147.0;39.0;109.0;17.0;7.0;20.0;;;26.0;1.0;;1.0;;;;;;;;1996.0
Slochteren-G0040;50;;1540;3251;1586;754;169.0;197.0;17.0;132;166.0;784.0;22.0;54.0;15.0;2.0;37.0;1.0;26.0;7.0;2.0;;3.0;;;;;;;;1244.0
Sloten (F)-G0089;1;;217;63;68;42;3.0;;4.0;4;22.0;3.0;2.0;2.0;;;;;;;;;;;;;;;;;8.0
Sluis-G0713;7;;621;532;528;121;6.0;7.0;4.0;12;13.0;3.0;5.0;1.0;2.0;1.0;6.0;;;5.0;4.0;;;;;;;;;;224.0
Smallingerland-G0090;122;;9145;10907;3251;2811;535.0;615.0;166.0;538;916.0;959.0;74.0;572.0;32.0;8.0;21.0;8.0;39.0;4.0;5.0;2.0;7.0;;;;;;;;2882.0
Smilde-G0131;18;;1910;1720;690;412;67.0;47.0;13.0;97;112.0;113.0;17.0;77.0;3.0;1.0;11.0;9.0;;;2.0;3.0;;;;;;;;;466.0
Sneek-G0091;92;;5831;5814;2271;2086;271.0;332.0;62.0;345;292.0;77.0;68.0;224.0;25.0;11.0;20.0;7.0;19.0;14.0;8.0;12.0;1.0;;;;;;;;2235.0
Snelrewaard-G0341;5;;276;25;97;33;3.0;2.0;35.0;3;10.0;;3.0;4.0;;1.0;;;3.0;;;1.0;;;;;0.0;;;;
Soest-G0342;162;;7864;3952;7685;2807;396.0;185.0;295.0;522;391.0;163.0;214.0;227.0;38.0;35.0;35.0;25.0;84.0;18.0;1.0;23.0;1.0;;;;1.0;;;;3660.0
Someren-G0847;45;;6212;1073;1099;781;119.0;28.0;5.0;143;3.0;3.0;18.0;6.0;18.0;24.0;24.0;2.0;6.0;6.0;5.0;;;;3.0;;;;;;1428.0
Son en Breugel-G0848;35;;3556;1130;2449;1044;172.0;30.0;1.0;232;29.0;17.0;53.0;18.0;3.0;13.0;17.0;2.0;9.0;5.0;3.0;;5.0;;0.0;;;;;;812.0
Spaubeek-G0970;22;;970;461;383;286;23.0;9.0;;46;2.0;;6.0;;1.0;5.0;10.0;;3.0;1.0;2.0;;;1.0;0.0;;;;;;392.0
Spijkenisse-G0612;113;;3512;9643;4425;4359;467.0;591.0;327.0;346;205.0;96.0;170.0;115.0;170.0;14.0;49.0;;;39.0;8.0;;3.0;;;;;;;;4106.0
Sprang-Capelle-G0849;29;;2013;877;729;352;40.0;36.0;568.0;39;192.0;18.0;12.0;19.0;1.0;1.0;29.0;2.0;6.0;4.0;;;;;0.0;;;;;;719.0
Stad Delden-G0179;18;;2139;771;976;474;54.0;20.0;11.0;76;12.0;6.0;15.0;10.0;7.0;15.0;9.0;1.0;8.0;5.0;1.0;1.0;;;;;;;;;322.0
Stadskanaal-G0037;100;;6656;8343;1818;1420;213.0;488.0;81.0;232;1033.0;596.0;46.0;254.0;33.0;44.0;24.0;9.0;33.0;13.0;2.0;4.0;6.0;;;;;;;;2767.0
Standdaarbuiten-G0850;11;;842;388;242;173;5.0;4.0;3.0;12;5.0;;5.0;3.0;3.0;;1.0;;2.0;4.0;3.0;2.0;1.0;;2.0;;;;;;168.0
Staphorst-G0180;43;;1758;731;917;326;18.0;9.0;2479.0;47;496.0;637.0;9.0;24.0;4.0;1.0;55.0;3.0;9.0;;;2.0;1.0;;;;;;;;409.0
Stavoren-G0092;3;;259;133;78;70;16.0;3.0;2.0;11;24.0;1.0;3.0;12.0;;;;;1.0;;;;;;;;;;;;55.0
Stede Broec-G0532;59;;3555;2353;1821;1343;207.0;315.0;15.0;263;46.0;15.0;55.0;23.0;15.0;61.0;21.0;26.0;;6.0;9.0;4.0;1.0;;1.0;;;;;;1628.0
Stedum-G0041;11;;520;356;111;60;36.0;23.0;2.0;35;28.0;62.0;10.0;31.0;2.0;;;1.0;;;;;;;;;;;;;78.0
Steenbergen-G0851;63;;2926;2878;1408;727;104.0;49.0;19.0;75;18.0;6.0;39.0;13.0;9.0;26.0;41.0;5.0;19.0;4.0;2.0;3.0;;;2.0;;;;;;1404.0
Steenderen-G0280;13;;1666;528;432;259;21.0;10.0;15.0;33;21.0;1.0;4.0;7.0;3.0;3.0;13.0;;1.0;3.0;;;1.0;;;;;;;;190.0
Steenwijk-G0181;47;;4262;4751;2061;1385;161.0;104.0;47.0;242;284.0;185.0;72.0;98.0;8.0;11.0;25.0;1.0;20.0;10.0;2.0;3.0;3.0;;;;;;;;1397.0
Stein-G0971;77;;3006;2302;920;968;124.0;57.0;1.0;94;3.0;3.0;25.0;9.0;19.0;50.0;29.0;5.0;21.0;14.0;16.0;2.0;;22.0;2.0;;;;;;1432.0
Stevensweert-G0972;16;;568;198;123;103;9.0;5.0;;6;;2.0;5.0;1.0;1.0;6.0;4.0;;;2.0;;;;0.0;0.0;;;;;;112.0
Stolwijk-G0615;26;;509;727;683;280;24.0;23.0;413.0;18;53.0;3.0;15.0;4.0;4.0;1.0;16.0;;;;;;;;;;;;;;240.0
Stramproy-G0973;21;;1532;502;289;357;46.0;6.0;;38;2.0;;2.0;1.0;7.0;8.0;6.0;3.0;;6.0;1.0;1.0;1.0;2.0;0.0;;;;;;351.0
Streefkerk-G0616;17;;390;354;250;119;7.0;5.0;286.0;12;31.0;7.0;5.0;3.0;;;4.0;;;;;;;;;;;;;;131.0
Strijen-G0617;24;;1053;1755;1200;515;70.0;50.0;256.0;45;147.0;23.0;11.0;28.0;6.0;;14.0;;;5.0;2.0;;;;;;;;;;502.0
Susteren-G0974;66;;2204;1017;513;600;51.0;40.0;4.0;100;;2.0;5.0;42.0;2.0;56.0;18.0;2.0;3.0;10.0;5.0;;;21.0;1.0;;;;;;726.0
