RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SGP-GPV-RPF;D66;SP;De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala;@abs
Leeuwarden-G0080;;55.0;4693;5843;3092;3085;1035;1139;1304;156;47;31;18.0;48803
Leeuwarderadeel-G0081;;14.0;866;892;459;301;132;104;119;15;3;9;2.0;4705
Leiden-G0546;;290.0;3598;6772;6101;6208;987;3028;2018;191;122;82;93.0;60058
Leiderdorp-G0547;;17.0;1224;1154;1613;916;298;549;228;61;13;23;12.0;12684
Leidschendam-G0548;;26.0;2305;1236;2247;1019;216;606;774;76;35;65;23.0;18623
Lelystad-G0995;;52.0;1874;3135;2553;1648;758;803;650;100;60;61;59.0;33440
Lemsterland-G0082;;8.0;940;634;503;193;174;113;106;14;9;3;5.0;6679
Leusden-G0327;;15.0;1765;1226;2018;985;935;535;272;48;21;21;22.0;13078
Lichtenvoorde-G0260;;15.0;2494;693;686;337;32;132;149;24;13;5;10.0;9479
Liemeer-G1673;;8.0;567;148;397;116;125;56;46;14;14;6;8.0;3454
Liesveld-G0694;;6.0;696;432;447;102;1233;73;53;15;7;8;0.0;3752
Limmen-G0418;;4.0;392;224;337;149;16;115;55;8;2;9;6.0;3508
Lingewaal-G0733;;4.0;795;566;510;122;521;91;41;4;9;5;5.0;5265
Lisse-G0553;;5.0;1632;725;1251;464;875;286;161;45;25;25;25.0;10696
Lith-G0808;;6.0;694;199;255;94;5;53;134;8;8;4;2.0;3442
Littenseradiel-G0140;;5.0;1142;650;531;305;63;117;123;29;4;9;2.0;4660
Lochem-G0262;;15.0;1263;1390;1466;589;107;335;204;28;20;27;9.0;9462
Loenen-G0329;;17.0;613;415;765;230;192;176;48;11;8;11;11.0;3969
Loon op Zand-G0809;;14.0;1683;721;993;373;100;209;189;18;23;16;3.0;12901
Loosdrecht-G0330;;5.0;505;300;895;180;154;161;58;16;12;14;10.0;4648
Lopik-G0331;;4.0;1249;374;593;164;1009;87;78;10;7;6;8.0;6193
Loppersum-G0024;;6.0;1195;722;390;401;474;92;107;30;13;4;1.0;4754
Losser-G0168;;5.0;2344;876;655;339;43;148;127;31;16;13;5.0;12303
Maarn-G0332;;14.0;450;348;711;251;176;125;48;21;6;6;6.0;2384
Maarssen-G0333;;63.0;1677;1805;2355;1123;483;693;319;53;49;37;26.0;21366
Maartensdijk-G0334;;11.0;659;406;714;280;671;185;104;11;7;7;7.0;4106
Maasbracht-G0933;;0.0;2312;371;358;193;54;93;79;18;21;15;3.0;7175
Maasbree-G0934;;17.0;1522;303;423;206;19;94;72;14;25;6;6.0;6801
Maasdonk-G1671;;9.0;1300;318;320;99;7;49;209;15;13;7;9.0;6149
Maasdriel-G0263;;7.0;1948;844;1098;371;322;196;180;40;29;14;17.0;12312
Maasland-G0555;;7.0;871;172;463;127;188;69;33;13;2;3;4.0;3003
Maassluis-G0556;;25.0;1706;1364;1462;561;643;366;420;44;43;34;7.0;17825
Maastricht-G0935;;97.0;7670;4911;3364;3762;203;1589;1500;126;176;307;59.0;71792
Margraten-G0936;;49.0;1919;394;484;448;20;147;102;7;14;26;6.0;6775
Markelo-G0169;;15.0;648;442;662;119;67;67;62;6;11;9;3.0;3443
Marum-G0025;;18.0;815;611;509;163;256;66;63;23;16;7;4.0;4721
Medemblik-G0420;;2.0;323;240;285;172;51;67;69;10;5;7;1.0;4429
Meerlo-Wanssum-G0993;;9.0;1012;225;227;119;4;57;55;6;3;1;1.0;3915
Meerssen-G0938;;34.0;2215;537;636;467;25;227;201;32;17;38;12.0;11497
Meijel-G0941;;9.0;649;152;167;71;8;22;26;6;3;8;2.0;3253
Menaldumadeel-G0083;;22.0;1240;1065;620;370;107;120;148;34;9;3;2.0;6626
Menterwolde-G1987;;8.0;429;1145;381;253;141;87;282;29;18;3;7.0;6876
Meppel-G0119;;33.0;1797;2166;1485;713;773;387;447;49;16;13;13.0;14556
Middelburg-G0687;;26.0;2241;1900;1469;1433;2798;717;589;34;53;52;18.0;22294
Middelharnis-G0559;;7.0;846;702;572;223;1723;122;69;13;10;7;10.0;8301
Middenveld-G1697;;23.0;2925;2604;1579;776;472;364;283;65;31;9;14.0;15279
Mierlo-G0814;;13.0;870;341;541;210;22;137;165;19;12;5;10.0;5322
Mill en Sint Hubert-G0815;;19.0;1388;413;393;164;13;63;162;11;7;5;4.0;5857
Millingen aan de Rijn-G0265;;0.0;330;333;151;106;2;43;72;6;2;1;0.0;3438
Moerdijk-G1709;;20.0;2476;1207;1519;592;429;620;254;150;36;25;16.0;20694
Monster-G0562;;32.0;1673;494;999;222;627;176;88;25;22;15;7.0;10849
Montfoort-G0335;;12.0;911;434;699;428;601;160;102;19;9;7;8.0;6433
Mook en Middelaar-G0944;;5.0;610;436;449;302;4;134;102;7;4;7;3.0;3772
Moordrecht-G0563;;10.0;379;351;405;133;258;97;97;11;12;3;4.0;3758
Muiden-G0424;;11.0;416;459;585;246;55;227;72;19;4;6;21.0;3073
Naaldwijk-G0565;;72.0;3001;740;1643;325;424;212;131;46;40;45;9.0;14600
Naarden-G0425;;15.0;767;732;2102;582;178;408;119;19;11;27;17.0;7672
Nederhorst den Berg-G0426;;6.0;425;253;400;124;32;111;53;5;3;7;1.0;2567
Nederlek-G0643;;17.0;688;1219;969;271;711;200;197;46;18;14;10.0;6864
Nederweert-G0946;;33.0;2133;448;456;161;15;118;91;14;19;8;5.0;8698
Neede-G0266;;3.0;1106;857;538;176;130;129;90;11;10;4;5.0;5623
Neerijnen-G0304;;11.0;689;718;648;184;569;91;71;19;20;6;2.0;5312
Niedorp-G0412;;2.0;502;613;599;287;19;102;92;17;11;8;14.0;6244
Nieuwegein-G0356;;45.0;2596;2746;2725;1856;640;882;750;92;71;52;43.0;35164
Nieuwerkerk aan den IJssel-G0567;;13.0;994;750;1353;397;877;365;138;43;21;9;6.0;10120
