RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SGP-GPV-RPF;D66;SP;De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala;@abs
Rijnwaarden-G0196;;9.0;770;560;336;184;25;86;83;8;11;1;4.0;6293
Rijnwoude-G1672;;19.0;1421;687;1031;419;852;284;131;24;10;18;13.0;9412
Rijssen-G0178;;11.0;1567;656;433;181;5564;65;120;12;9;8;8.0;9624
Rijswijk-G0603;;201.0;2671;2223;3266;1476;470;870;687;135;76;81;18.0;28327
Roerdalen-G1669;;11.0;1272;313;396;135;8;65;69;10;7;11;2.0;5458
Roermond-G0957;;77.0;3858;1307;1554;949;93;385;428;47;62;46;27.0;24543
Roggel en Neer-G1670;;9.0;1093;236;277;171;8;59;54;9;11;7;6.0;4392
Roosendaal-G1674;;27.0;4674;2167;2981;1472;170;828;716;94;82;36;15.0;42180
Rotterdam-G0599;;1170.0;15649;25936;17412;12459;5503;7056;7707;1100;1122;698;193.0;332657
Rozenburg-G0600;;7.0;575;579;424;218;220;125;175;24;33;7;10.0;7852
Rozendaal-G0277;;0.0;93;51;260;65;15;63;6;3;0;4;1.0;465
Rucphen-G0840;;5.0;1501;785;747;212;25;161;121;23;103;7;6.0;14151
Ruurlo-G0278;;4.0;590;466;651;154;32;87;45;10;0;8;4.0;4083
Sas van Gent-G0704;;9.0;398;313;248;149;43;269;30;11;8;12;3.0;4693
Sassenheim-G0604;;23.0;1198;505;1065;321;95;227;173;27;19;22;6.0;7221
Schagen-G0441;;20.0;567;890;904;486;82;243;168;24;22;8;9.0;9972
Scheemda-G0039;;39.0;1057;1302;486;315;302;107;181;22;21;9;9.0;7279
Schermer-G0458;;6.0;380;263;322;137;18;68;37;15;2;3;11.0;2403
Scherpenzeel-G0279;;3.0;594;289;481;123;1054;70;43;7;10;5;5.0;3955
Schiedam-G0606;;48.0;2751;3524;2459;1612;589;716;1119;115;176;197;27.0;42463
Schiermonnikoog-G0088;;0.0;97;101;93;62;14;20;13;1;0;1;0.0;415
Schijndel-G0844;;17.0;1689;863;748;327;23;150;717;36;29;11;11.0;12608
Schinnen-G0962;;20.0;1872;451;391;420;21;170;155;10;6;23;2.0;6941
Schipluiden-G0607;;9.0;1190;306;637;248;171;147;55;19;4;5;3.0;4805
Schoonhoven-G0608;;14.0;689;533;594;337;517;163;104;21;14;7;12.0;5820
Schoorl-G0444;;6.0;334;396;518;295;20;124;97;12;17;3;6.0;3389
Schouwen-Duiveland-G1676;;38.0;2033;1831;2242;718;2031;421;260;47;22;40;17.0;16064
Sevenum-G0964;;7.0;1004;184;169;99;8;51;75;5;3;0;2.0;3903
's-Graveland-G0390;;22.0;545;416;662;350;115;177;99;20;13;11;18.0;4763
's-Gravendeel-G0517;;6.0;530;496;341;135;464;84;75;5;7;10;3.0;4619
's-Gravenhage-G0518;720.0;1054.0;13068;16058;20490;10605;3103;9516;3782;548;509;349;183.0;240634
's-Gravenzande-G0519;;37.0;1644;442;1091;189;559;129;56;25;15;14;6.0;9873
's-Hertogenbosch-G0796;;65.0;6867;5140;4848;4055;352;1597;2113;184;153;98;70.0;71904
Simpelveld-G0965;;15.0;1399;485;261;171;7;77;151;4;17;11;9.0;6128
Sint Anthonis-G1702;;17.0;2223;324;342;254;11;91;128;24;10;6;4.0;5027
Sint-Michielsgestel-G0845;;28.0;2317;1096;1084;518;51;300;461;41;19;12;4.0;15017
Sint-Oedenrode-G0846;;16.0;1901;732;582;394;18;165;247;21;10;10;1.0;8779
Sittard-G0968;;54.0;4235;1784;1589;1426;73;640;544;28;53;147;26.0;27341
Skarsterlân-G0051;;16.0;2683;1638;1194;564;280;219;220;73;12;12;8.0;12931
Sliedrecht-G0610;;4.0;997;1069;696;332;2345;155;217;33;29;5;3.0;11995
Slochteren-G0040;;9.0;793;934;577;306;806;157;163;41;14;3;8.0;7443
Sluis-Aardenburg-G1698;;3.0;466;212;366;82;22;190;30;8;8;21;1.0;3302
Smallingerland-G0090;;20.0;4306;3500;1712;1302;1781;449;644;78;49;14;8.0;25321
Sneek-G0091;;26.0;2130;1767;1151;668;346;282;302;57;13;13;8.0;16913
Soest-G0342;;33.0;2369;1651;3352;1375;894;734;449;69;36;52;24.0;22270
Someren-G0847;;17.0;1635;432;1078;294;18;113;162;12;17;5;10.0;9578
Son en Breugel-G0848;;9.0;1175;516;1160;404;53;247;167;26;15;6;6.0;7374
Spijkenisse-G0612;;51.0;1648;2980;2396;1095;565;634;781;122;88;93;25.0;43164
Stad Delden-G0179;;14.0;971;376;524;192;33;116;70;13;4;10;6.0;3439
Stadskanaal-G0037;;20.0;2611;1703;783;362;1289;177;266;57;26;10;12.0;18398
Staphorst-G0180;;2.0;835;358;441;74;3224;78;30;4;12;10;2.0;5315
Stede Broec-G0532;;23.0;1007;858;780;479;82;215;161;43;22;18;11.0;12127
Steenbergen-G0851;;5.0;1034;628;812;205;246;2078;134;24;37;15;13.0;12805
Steenderen-G0280;;6.0;756;257;270;125;29;56;57;6;2;0;0.0;2156
Steenwijk-G0181;;24.0;1797;1632;1032;477;534;242;256;29;26;10;13.0;11278
Stein-G0971;;19.0;2726;829;557;501;22;208;270;21;23;69;10.0;15488
Strijen-G0617;;6.0;488;422;448;213;370;95;59;18;18;8;6.0;5055
Susteren-G0974;;41.0;1793;540;353;224;11;151;123;16;17;17;1.0;6832
Swalmen-G0975;;7.0;947;293;216;153;7;52;64;7;11;11;3.0;4823
Tegelen-G0976;;21.0;1824;631;464;344;18;131;126;22;72;17;1.0;10221
Ten Boer-G0009;;3.0;626;535;240;155;597;97;69;16;10;2;1.0;2887
Ter Aar-G0480;;4.0;744;203;401;152;125;77;73;12;5;8;4.0;4801
Terneuzen-G0715;;19.0;1460;1175;982;447;1342;866;208;39;56;67;16.0;19236
Terschelling-G0093;;4.0;298;389;376;195;36;78;43;11;4;6;3.0;2366
Texel-G0448;;21.0;1069;801;889;553;133;212;152;22;9;11;17.0;6257
Tholen-G0716;;9.0;857;849;715;218;2325;356;128;14;21;37;4.0;11556
Thorn-G0977;;15.0;410;103;64;62;2;26;21;0;2;2;1.0;1394
Tiel-G0281;;12.0;1383;1726;1640;785;269;357;236;28;50;17;10.0;20668
Tilburg-G0855;;169.0;9504;6418;5839;5093;398;2010;3027;232;214;113;69.0;111936
Tubbergen-G0183;;6.0;3810;440;477;178;38;88;70;3;22;8;5.0;9546
Tytsjerksteradiel-G0737;;21.0;3431;1667;1183;812;575;269;283;38;32;8;12.0;15320
Ubbergen-G0282;;5.0;877;430;547;386;17;152;142;11;7;6;5.0;4819
Uden-G0856;;11.0;3066;1224;1743;607;64;375;1030;117;26;32;15.0;21569
Uitgeest-G0450;;10.0;500;564;486;316;32;162;99;22;6;87;12.0;6036
Uithoorn-G0451;;6.0;1311;1170;1898;779;140;378;185;58;36;58;33.0;13524
Urk-G0184;;0.0;1147;23;43;19;2720;9;21;1;14;1;0.0;5252
Utrecht-G0344;;435.0;8094;12710;9109;14900;1862;5442;3923;338;285;146;111.0;120041
Vaals-G0981;;6.0;933;522;188;153;15;55;86;5;9;18;0.0;4680
Valburg-G0283;;14.0;970;470;539;375;395;163;170;33;10;3;6.0;6707
Valkenburg (ZH)-G0619;;2.0;280;91;150;74;209;25;11;8;3;3;1.0;1759
Valkenburg aan de Geul-G0994;;16.0;2531;425;559;338;29;139;462;9;24;18;11.0;9592
Valkenswaard-G0858;;24.0;2129;1283;1431;618;75;356;549;33;24;20;13.0;17413
Veendam-G0047;;29.0;1192;2215;1211;481;296;266;253;75;27;15;16.0;15737
Veenendaal-G0345;;30.0;3050;1683;2294;1121;5636;463;357;46;60;36;24.0;27565
Veere-G0717;;21.0;1872;792;1101;525;2095;332;152;20;27;24;5.0;9570
Veghel-G0860;;27.0;3771;1133;1398;542;48;303;431;54;36;23;13.0;18597
Veldhoven-G0861;;35.0;2971;1529;1851;875;145;569;852;59;61;21;14.0;22456
Velsen-G0453;;49.0;2515;3169;3129;1667;678;723;555;92;81;70;59.0;37354
Venhuizen-G0454;;11.0;502;369;571;157;27;110;49;15;3;4;4.0;3776
Venlo-G0983;;55.0;5435;1752;2047;1343;80;419;506;43;89;30;26.0;36231
Venray-G0984;;29.0;4033;1202;1142;606;37;362;369;36;38;20;18.0;19904
Vianen-G0620;;6.0;985;821;795;449;567;208;177;22;17;21;9.0;10224
Vlaardingen-G0622;;56.0;2918;3555;2598;1653;1522;667;1307;108;131;89;44.0;42139
Vlagtwedde-G0048;;6.0;1165;1039;556;227;173;84;141;37;12;6;7.0;9401
Vleuten-De Meern-G0347;;22.0;1483;661;1204;505;258;285;215;29;23;25;13.0;10083
Vlieland-G0096;;2.0;49;83;130;43;13;10;3;3;0;2;0.0;515
Vlissingen-G0718;;20.0;1583;1875;1440;862;844;596;715;54;52;32;19.0;25684
Vlist-G0623;;13.0;663;426;538;160;730;104;76;14;17;7;3.0;4657
Voerendaal-G0986;;12.0;1545;450;392;267;23;136;192;5;9;14;3.0;7149
Voorburg-G0624;;98.0;2306;1804;3209;1350;463;1018;552;108;62;73;32.0;19456
Voorhout-G0625;;15.0;834;423;925;312;76;201;200;22;7;14;5.0;6092
Voorschoten-G0626;;29.0;1610;913;2091;905;207;547;175;31;16;34;14.0;10263
Voorst-G0285;;30.0;2274;1308;1584;479;314;291;123;26;13;10;4.0;11418
Vorden-G0286;;12.0;1007;530;689;195;80;121;58;5;5;6;5.0;3935
Vriezenveen-G0186;;18.0;2144;776;502;235;1189;91;99;9;14;10;6.0;9620
Vught-G0865;;30.0;1875;1109;1617;746;73;435;218;30;26;28;8.0;12786
Waalre-G0866;;19.0;1225;607;1408;478;33;328;172;36;18;23;5.0;7987
Waalwijk-G0867;;27.0;3208;1349;1694;674;978;306;448;52;77;42;26.0;25630
Waddinxveen-G0627;;26.0;1276;893;1399;471;1818;342;152;40;30;26;14.0;13023
Wageningen-G0289;;131.0;1669;2154;1734;2882;700;843;504;90;22;24;34.0;14925
Warmond-G0628;;6.0;493;192;400;146;33;90;45;12;5;7;8.0;2662
Warnsveld-G0291;;20.0;565;599;566;326;114;157;109;10;4;4;6.0;4258
Wassenaar-G0629;;26.0;1656;669;3518;411;162;402;131;78;23;36;13.0;11246
Wateringen-G0630;;33.0;1358;364;739;253;85;138;94;19;28;10;3.0;8079
Waterland-G0852;;18.0;956;959;1024;599;142;244;152;30;28;25;44.0;9048
Weerselo-G0188;;9.0;1897;204;273;139;21;58;42;12;6;3;3.0;4102
Weert-G0988;;35.0;4309;1655;1651;739;57;424;501;34;119;52;20.0;26536
Weesp-G0457;;16.0;773;958;898;638;144;292;160;29;27;38;44.0;9818
Wehl-G0292;;7.0;797;262;163;116;9;30;42;13;10;2;1.0;3754
Werkendam-G0870;;14.0;2002;756;810;301;1577;166;128;39;33;13;5.0;13409
Wervershoof-G0459;;4.0;617;258;338;144;18;68;51;12;9;3;4.0;4654
West Maas en Waal-G0668;;6.0;1699;706;740;304;30;162;174;22;17;3;4.0;10070
Wester-Koggenland-G0558;;12.0;1058;560;755;278;26;131;118;39;4;9;19.0;6935
Westerveld-G1701;;11.0;1138;1669;1522;579;146;357;205;33;26;11;10.0;9019
Westervoort-G0293;;11.0;763;806;516;496;94;194;145;13;14;5;3.0;8463
Weststellingwerf-G0098;;15.0;1666;1697;1118;565;200;208;206;56;35;10;11.0;13540
Westvoorne-G0614;;10.0;595;677;1198;294;120;212;156;23;12;11;10.0;7518
Wierden-G0189;;11.0;3345;736;989;350;1497;138;122;20;28;11;9.0;10119
Wieringen-G0462;;5.0;250;465;464;128;17;88;100;10;15;6;11.0;4942
Wieringermeer-G0463;;8.0;902;505;620;168;180;87;87;18;8;9;6.0;6629
Wijchen-G0296;;21.0;2892;1574;1445;891;93;400;489;45;39;24;15.0;20306
Wijhe-G0190;;3.0;862;474;274;161;70;69;59;3;4;0;1.0;3730
Wijk bij Duurstede-G0352;;17.0;1060;926;1124;693;417;297;205;29;20;13;7.0;11875
Winschoten-G0052;;8.0;812;1674;749;486;226;168;209;24;23;8;10.0;10406
Winsum-G0053;;14.0;1305;1053;579;533;578;141;154;21;8;13;6.0;5796
Winterswijk-G0294;;20.0;1905;2138;1706;579;168;305;243;37;12;14;7.0;14740
Wisch-G0295;;7.0;1796;964;871;396;119;165;126;17;29;6;6.0;10649
Woensdrecht-G0873;;10.0;1218;647;983;292;44;259;124;66;41;12;12.0;11920
Woerden-G0632;;16.0;2841;1397;1887;1028;1498;587;370;67;44;36;22.0;18027
Wognum-G0466;;5.0;710;254;379;151;14;119;45;6;9;3;5.0;4050
Wormerland-G0880;;14.0;609;775;726;553;109;184;183;19;26;14;26.0;8322
Woudenberg-G0351;;13.0;694;321;589;226;1248;101;86;12;2;10;7.0;4579
Woudrichem-G0874;;0.0;1223;388;460;164;893;79;72;12;5;10;9.0;7260
Wûnseradiel-G0710;;10.0;1369;614;445;272;105;93;146;31;8;4;6.0;5516
Wymbritseradiel-G0683;;6.0;2112;593;539;390;206;105;142;31;7;5;2.0;7303
Zaanstad-G0479;;102.0;4206;6911;5000;4035;1011;1408;1765;176;182;142;374.0;76619
Zaltbommel-G0297;;0.0;1190;1095;1117;567;1983;268;205;28;30;6;13.0;11983
Zandvoort-G0473;;11.0;422;638;1359;336;45;212;165;22;17;30;14.0;9419
Zederik-G0707;;10.0;1441;665;501;157;1564;105;79;12;20;20;4.0;5384
Zeevang-G0478;;7.0;155;331;517;177;8;120;54;22;7;1;2.0;3385
Zeewolde-G0050;;11.0;880;515;1136;367;704;196;93;23;7;8;8.0;6980
Zeist-G0355;;54.0;2693;2504;4132;2299;1812;1133;769;130;65;58;23.0;29978
Zelhem-G0298;;9.0;1068;730;538;205;211;105;80;6;6;3;3.0;5900
Zevenaar-G0299;;17.0;1818;1367;1099;658;96;336;292;39;27;7;10.0;14897
Zevenhuizen-Moerkapelle-G1666;;7.0;516;396;603;138;992;114;53;14;7;11;9.0;4298
Zijpe-G0476;;16.0;618;574;738;255;46;138;100;36;13;6;13.0;5937
Zoetermeer-G0637;;116.0;3689;4655;5223;2649;1613;1895;1809;174;99;133;78.0;57768
Zoeterwoude-G0638;;8.0;632;279;423;275;49;119;67;15;3;7;9.0;4468
Zuidhorn-G0056;;32.0;1834;1106;738;575;1590;227;185;32;21;6;2.0;6621
Zuidlaren-G0136;;12.0;1730;2243;2777;1106;512;546;256;70;42;20;9.0;14752
Zundert-G0879;;3.0;1613;542;751;275;26;146;121;21;16;6;9.0;11593
Zutphen-G0301;;44.0;1552;2505;1453;1645;393;556;792;39;30;12;19.0;17457
Zwartsluis-G0192;;4.0;532;245;174;69;252;28;39;1;0;0;2.0;2101
Zwijndrecht-G0642;;26.0;2520;1691;1830;784;1825;453;284;54;75;24;8.0;21971
Zwolle-G0193;;86.0;6107;6013;4175;3912;3889;1572;1122;114;72;31;24.0;53851
