RegioNaam;@invalid;@blank;KVP;PvdA;VVD;CHU;ARP;Boeren Partij;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Christelijk Democratische Unie;Partij voor Volkswil en Referendum;Samenwerkende Christelijke Groepering;FNP;Lijst van Rappard;Vrije  Burgers;Lijst Germeaux;Partij voor Volksbelang en Volksstemming;@abs
Ottersum-G0955;64;0;1431;56;40;0.0;0.0;359;19;6;0;0.0;0;0;0;10;0.0;0;0;0;0;98.0
Ottoland-G0582;5;0;1;33;17;68.0;159.0;32;1;0;50;1.0;0;0;0;0;0.0;0;0;0;0;25.0
Oud- en Nieuw-Gastel-G0831;184;0;3407;242;80;0.0;0.0;301;41;20;11;0.0;77;15;0;0;0.0;0;0;0;0;154.0
Oud-Alblas-G0583;20;0;5;117;34;101.0;261.0;42;15;1;183;5.0;0;0;0;0;0.0;1;0;0;0;61.0
Oud-Beijerland-G0584;126;0;166;1313;494;575.0;997.0;127;138;22;842;18.0;0;0;0;0;0.0;5;0;0;0;354.0
Oude Niedorp-G0436;9;0;685;82;41;2.0;13.0;51;19;4;0;1.0;0;0;0;0;0.0;0;0;0;0;33.0
Oude Pekela-G0038;181;0;318;1934;258;330.0;429.0;162;340;724;0;30.0;0;0;0;0;0.0;0;0;0;0;338.0
Oudelande-G0695;13;0;39;106;39;125.0;65.0;34;0;1;16;0.0;0;0;0;0;0.0;0;0;0;0;22.0
Oudenbosch-G0830;179;0;3400;323;139;0.0;0.0;288;45;19;5;0.0;99;16;0;0;0.0;0;0;0;0;189.0
Oudendijk-G0435;7;0;30;134;41;13.0;8.0;25;12;11;1;0.0;0;2;0;0;0.0;0;0;0;0;9.0
Oudenhoorn-G0586;29;0;6;257;113;50.0;24.0;84;15;9;13;0.0;0;0;0;0;0.0;1;0;0;0;38.0
Ouder-Amstel-G0437;91;0;1458;579;378;629.0;354.0;358;227;46;35;12.0;0;41;0;0;0.0;0;0;0;0;182.0
Ouderkerk aan den IJssel-G0587;30;0;11;511;327;107.0;409.0;90;36;9;715;10.0;0;0;0;0;0.0;6;0;0;0;279.0
Oudewater-G0589;39;0;1114;242;157;280.0;245.0;122;21;4;101;2.0;0;0;0;0;0.0;2;0;0;0;79.0
Oudorp-G0438;18;0;741;361;162;59.0;54.0;105;59;34;0;11.0;0;5;0;0;0.0;0;0;0;0;50.0
Oud-Vossemeer-G0696;30;0;330;221;117;214.0;171.0;41;8;0;136;0.0;0;0;0;0;0.0;0;0;0;0;57.0
Overasselt-G0271;18;0;1363;37;12;20.0;9.0;140;3;0;2;0.0;0;0;0;0;0.0;0;0;0;0;54.0
Overslag-G0697;6;0;75;7;1;8.0;1.0;17;0;1;2;0.0;0;0;0;0;0.0;0;0;0;0;5.0
Ovezande-G0698;18;0;571;29;38;72.0;8.0;66;4;0;0;0.0;0;0;0;0;0.0;0;0;0;0;27.0
Pannerden-G0272;16;0;814;41;2;7.0;5.0;61;9;2;0;1.0;0;0;0;0;0.0;0;0;0;0;50.0
Papendrecht-G0590;211;0;594;2403;909;798.0;1268.0;290;568;83;659;46.0;0;0;0;0;0.0;28;0;0;0;640.0
Peize-G0124;101;0;21;773;323;65.0;35.0;450;78;68;0;8.0;0;0;0;0;0.0;0;0;0;0;141.0
Philippine-G0699;23;0;464;57;17;37.0;9.0;37;10;4;6;1.0;0;0;0;0;0.0;0;0;0;0;24.0
Piershil-G0591;22;0;0;180;72;77.0;41.0;32;16;1;107;1.0;0;0;0;0;0.0;0;0;0;0;44.0
Pijnacker-G0594;75;0;1827;750;555;1374.0;589.0;341;124;18;306;39.0;0;0;0;0;0.0;15;0;0;0;278.0
Polsbroek-G0338;10;0;105;43;36;105.0;103.0;100;0;1;69;1.0;0;2;1;0;0.0;0;0;0;0;31.0
Poortugal-G0592;251;0;588;2174;560;573.0;648.0;236;539;171;143;26.0;0;0;0;0;0.0;15;0;0;0;1046.0
Poortvliet-G0700;16;0;2;127;51;255.0;104.0;40;8;0;352;0.0;0;0;0;0;0.0;0;0;0;0;67.0
Posterholt-G0956;91;0;1424;91;20;0.0;0.0;139;13;18;0;0.0;0;0;0;20;0.0;0;0;0;0;75.0
Prinsenbeek-G0832;89;0;2366;186;89;0.0;0.0;222;14;15;12;0.0;31;13;0;0;0.0;0;0;0;0;91.0
Purmerend-G0439;135;0;2006;2439;1269;506.0;453.0;535;658;513;12;20.0;0;33;29;0;0.0;0;0;0;0;416.0
Putte-G0833;124;0;694;130;64;0.0;0.0;92;22;12;6;0.0;29;7;0;0;0.0;0;0;0;0;76.0
Putten-G0273;173;0;226;1038;517;2912.0;856.0;1210;127;55;786;30.0;0;0;0;0;0.0;0;0;0;0;379.0
Puttershoek-G0593;42;0;55;786;168;351.0;232.0;58;50;8;143;4.0;0;0;0;0;0.0;0;0;0;0;128.0
Raalte-G0177;64;0;6141;715;192;953.0;71.0;623;35;10;13;13.0;0;0;0;0;0.0;0;0;0;0;263.0
Raamsdonk-G0834;185;0;3096;320;117;0.0;0.0;191;53;36;84;0.0;710;36;0;0;0.0;0;0;0;0;472.0
Rauwerderhem-G0087;37;0;174;595;134;102.0;180.0;66;59;4;2;4.0;0;0;0;0;92.0;0;0;0;0;60.0
Ravenstein-G0835;84;0;2827;211;72;0.0;0.0;184;17;7;0;0.0;40;9;0;0;0.0;0;0;0;0;65.0
Reeuwijk-G0595;67;0;866;653;592;278.0;497.0;196;140;20;200;8.0;0;0;0;0;0.0;8;0;0;0;162.0
Renkum-G0274;451;0;3812;4068;2863;3037.0;2217.0;1115;522;134;314;103.0;0;0;0;0;0.0;0;0;0;0;1813.0
Renswoude-G0339;16;0;12;131;54;422.0;148.0;195;11;4;125;3.0;0;22;0;0;0.0;0;0;0;0;57.0
Retranchement-G0701;6;0;6;150;77;50.0;22.0;21;4;1;0;0.0;0;0;0;0;0.0;0;0;0;0;20.0
Reusel-G0836;54;0;2308;89;30;0.0;0.0;137;15;5;2;0.0;5;7;4;0;0.0;0;0;0;0;42.0
