RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie;@abs
's-Gravenmoer-G0787;5;;30.0;93;42.0;393.0;207.0;5.0;31.0;1.0;4.0;;;;;35.0
's-Gravenpolder-G0666;8;;67.0;80;22.0;99.0;204.0;;283.0;5.0;;1.0;;;;46.0
's-Gravenzande-G0519;79;;377.0;1257;663.0;1151.0;1255.0;8.0;351.0;18.0;11.0;12.0;5.0;;;134.0
's-Heer Abtskerke-G0669;3;;37.0;20;36.0;7.0;106.0;;17.0;;;8.0;;;;16.0
's-Heer Arendskerke-G0670;33;;553.0;377;170.0;565.0;736.0;;168.0;6.0;6.0;26.0;;;;81.0
's-Heerenhoek-G0671;9;;716.0;22;6.0;7.0;13.0;;;;1.0;4.0;;;;23.0
's-Hertogenbosch-G0796;883;;22873.0;8603;1816.0;720.0;468.0;274.0;52.0;211.0;105.0;;;202.0;;1565.0
Sijbekarspel-G0447;5;;332.0;239;138.0;10.0;6.0;1.0;;18.0;;;;;;18.0
Simpelveld-G0965;73;;2130.0;202;28.0;14.0;4.0;6.0;1.0;2.0;1.0;;3.0;;;32.0
Sint Annaland-G0708;42;;8.0;367;142.0;164.0;123.0;7.0;664.0;3.0;3.0;8.0;;;;202.0
Sint Geertruid-G0966;9;;553.0;19;2.0;;;;;;;;;;;3.0
Sint Jansteen-G0709;136;;1591.0;255;68.0;12.0;6.0;8.0;3.0;2.0;2.0;28.0;;;;81.0
Sint Laurens-G1179;5;;10.0;109;64.0;297.0;234.0;3.0;90.0;2.0;4.0;2.0;;;;63.0
Sint Maarten-G0445;11;;153.0;241;112.0;151.0;3.0;11.0;1.0;32.0;7.0;;4.0;;;7.0
Sint Maartensdijk-G0711;29;;8.0;644;199.0;83.0;139.0;7.0;417.0;5.0;2.0;4.0;;;;150.0
Sint Odiliënberg-G0967;22;;730.0;56;11.0;4.0;1.0;4.0;;;;;1.0;;;26.0
Sint Pancras-G0446;11;;32.0;259;133.0;198.0;225.0;12.0;33.0;37.0;3.0;;3.0;;;65.0
Sint Philipsland-G0712;14;;3.0;179;53.0;148.0;179.0;3.0;642.0;;;1.0;;;;125.0
Sint-Michielsgestel-G0845;94;;3224.0;343;86.0;23.0;31.0;15.0;1.0;9.0;3.0;;;35.0;;66.0
Sint-Oedenrode-G0846;75;;4481.0;256;65.0;13.0;34.0;29.0;2.0;5.0;4.0;;;11.0;;161.0
Sittard-G0968;525;;10632.0;2457;525.0;239.0;114.0;49.0;9.0;29.0;13.0;;31.0;;;419.0
Sleen-G0130;130;;41.0;1719;822.0;490.0;363.0;178.0;4.0;13.0;3.0;18.0;17.0;;;119.0
Slenaken-G0969;9;;281.0;26;2.0;;2.0;;;;;;;;;2.0
Sliedrecht-G0610;218;;101.0;3920;869.0;1166.0;1081.0;91.0;1558.0;200.0;85.0;32.0;14.0;;;654.0
Slochteren-G0040;390;;81.0;3304;1390.0;1074.0;743.0;148.0;23.0;82.0;426.0;91.0;44.0;;;407.0
Sloten (F)-G0089;2;;58.0;107;13.0;81.0;136.0;;6.0;1.0;;;;;;
Sluis-G0713;48;;712.0;345;147.0;39.0;119.0;7.0;5.0;3.0;1.0;2.0;;;;53.0
Smallingerland-G0090;190;;288.0;5628;1005.0;3965.0;1103.0;455.0;35.0;297.0;421.0;;48.0;;;292.0
Smilde-G0131;56;;19.0;1340;365.0;1013.0;866.0;17.0;;13.0;73.0;21.0;8.0;;;65.0
Sneek-G0091;226;;1468.0;3943;1154.0;2129.0;1743.0;298.0;47.0;177.0;37.0;;52.0;;;473.0
Snelrewaard-G0341;2;;183.0;11;20.0;39.0;42.0;;42.0;1.0;;5.0;;;0.0;12.0
Soest-G0342;423;;4342.0;3480;2735.0;1926.0;1030.0;69.0;245.0;267.0;30.0;214.0;81.0;;21.0;646.0
Someren-G0847;64;;4607.0;198;30.0;21.0;58.0;10.0;6.0;5.0;2.0;;;16.0;;42.0
Sommelsdijk-G1184;32;;18.0;678;243.0;540.0;89.0;1.0;521.0;9.0;;13.0;1.0;;;113.0
Son en Breugel-G0848;33;;2124.0;176;76.0;16.0;14.0;3.0;;4.0;;;;8.0;;39.0
Spanbroek-G1186;7;;903.0;115;48.0;2.0;4.0;;1.0;7.0;;;1.0;;;28.0
Spaubeek-G0970;30;;935.0;57;12.0;3.0;1.0;;;;;;3.0;;;12.0
Spijkenisse-G0612;42;;119.0;1140;277.0;399.0;367.0;18.0;70.0;19.0;2.0;15.0;9.0;;;44.0
Sprang-Capelle-G0849;44;;213.0;693;221.0;865.0;809.0;4.0;427.0;10.0;15.0;;;44.0;;189.0
Stad aan 't Haringvliet-G1188;9;;5.0;188;88.0;238.0;63.0;1.0;125.0;;2.0;3.0;;;;48.0
Stad Delden-G0179;23;;1380.0;468;257.0;115.0;118.0;5.0;4.0;4.0;1.0;8.0;2.0;;;122.0
Standdaarbuiten-G0850;11;;1101.0;20;16.0;9.0;19.0;1.0;2.0;;1.0;;;;;28.0
Staphorst-G0180;71;;14.0;637;520.0;1144.0;513.0;5.0;1394.0;13.0;310.0;288.0;6.0;;;308.0
Stavenisse-G0714;26;;2.0;210;82.0;46.0;62.0;1.0;359.0;2.0;3.0;10.0;;;;179.0
Stavoren-G0092;4;;1.0;142;36.0;143.0;199.0;;;2.0;;;;;;46.0
Stedum-G0041;10;;3.0;352;137.0;460.0;255.0;11.0;5.0;1.0;49.0;4.0;;;;25.0
Steenbergen-G0851;236;;4812.0;661;334.0;65.0;120.0;30.0;40.0;11.0;12.0;;;;;255.0
Steenderen-G0280;14;;1003.0;397;188.0;296.0;332.0;1.0;12.0;;;36.0;;;;53.0
