RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie;@abs
Aagtekerke-G1000;5;;3.0;15;19.0;41.0;102.0;;194.0;;2.0;5.0;;;;24.0
Aalsmeer-G0358;110;;1559.0;2224;1351.0;1083.0;1087.0;74.0;76.0;350.0;23.0;53.0;18.0;;;304.0
Aalten-G0197;178;;1325.0;1486;478.0;2860.0;1576.0;1.0;17.0;13.0;22.0;31.0;3.0;;;226.0
Aardenburg-G0648;82;;1220.0;350;182.0;99.0;50.0;1.0;5.0;5.0;;23.0;;;;96.0
Aarle-Rixtel-G0739;36;;1437.0;177;32.0;19.0;19.0;3.0;2.0;;;;;16.0;;39.0
Abbekerk-G0359;2;;205.0;153;103.0;18.0;12.0;6.0;;12.0;;;2.0;;;30.0
Abbenbroek-G0481;8;;4.0;211;129.0;40.0;19.0;3.0;7.0;13.0;;14.0;5.0;;;30.0
Abcoude-G0305;25;;810.0;289;300.0;280.0;453.0;10.0;64.0;31.0;2.0;34.0;2.0;;;77.0
Achtkarspelen-G0059;117;;38.0;3105;507.0;3751.0;1435.0;221.0;72.0;45.0;315.0;;31.0;;;398.0
Adorp-G0001;10;;1.0;222;138.0;336.0;57.0;1.0;1.0;5.0;65.0;8.0;1.0;;;19.0
Aduard-G0002;16;;7.0;385;251.0;387.0;66.0;10.0;1.0;13.0;110.0;4.0;1.0;;;24.0
Akersloot-G0360;17;;930.0;188;144.0;18.0;18.0;12.0;2.0;22.0;;;6.0;;;29.0
Alblasserdam-G0482;126;;265.0;2839;660.0;696.0;1221.0;45.0;847.0;48.0;55.0;21.0;25.0;;;344.0
Alkemade-G0483;41;;3275.0;120;86.0;288.0;127.0;7.0;9.0;7.0;2.0;20.0;;;;78.0
Alkmaar-G0361;452;;8169.0;8307;3145.0;1313.0;1011.0;557.0;45.0;719.0;48.0;;171.0;;;952.0
Almelo-G0141;703;;6701.0;10989;3131.0;2438.0;1679.0;1061.0;163.0;419.0;100.0;102.0;277.0;;;988.0
Almkerk-G0740;22;;18.0;304;66.0;1419.0;574.0;;66.0;2.0;81.0;;;7.0;;78.0
Alphen aan den Rijn-G0484;148;;2498.0;2750;952.0;2384.0;2848.0;107.0;582.0;71.0;26.0;33.0;8.0;;;344.0
Alphen en Riel-G0741;18;;1666.0;52;8.0;2.0;2.0;;;;;;;;;23.0
Ambt Delden-G0142;17;;1737.0;341;190.0;42.0;206.0;2.0;2.0;5.0;;33.0;3.0;;;75.0
Amby-G0883;48;;1141.0;208;61.0;6.0;3.0;;;5.0;;;;;;36.0
Ameide-G0485;12;;2.0;382;80.0;408.0;116.0;;68.0;5.0;;5.0;;;;35.0
Ameland-G0060;14;;378.0;436;171.0;109.0;193.0;2.0;1.0;14.0;1.0;;1.0;;;63.0
Amerongen-G0306;41;;93.0;697;200.0;296.0;620.0;3.0;283.0;15.0;4.0;48.0;3.0;;1.0;189.0
Amersfoort-G0307;751;;8681.0;12484;5701.0;3549.0;3809.0;428.0;522.0;672.0;697.0;224.0;281.0;;34.0;1908.0
Ammerstol-G0486;17;;2.0;437;73.0;18.0;10.0;82.0;18.0;34.0;;2.0;;;;25.0
Ammerzoden-G0198;15;;1162.0;146;18.0;93.0;175.0;;57.0;;;4.0;1.0;;;58.0
Amstenrade-G0884;57;;1206.0;296;43.0;36.0;23.0;2.0;;7.0;3.0;;3.0;;;37.0
Amsterdam-G0363;17758;;85741.0;183544;88021.0;29959.0;18798.0;51122.0;1396.0;28532.0;1073.0;6022.0;14915.0;;1113.0;28781.0
Andel-G0742;9;;2.0;100;22.0;226.0;239.0;2.0;81.0;;1.0;;;1.0;;57.0
Andijk-G0364;22;;416.0;573;134.0;798.0;40.0;81.0;42.0;93.0;12.0;;12.0;;;72.0
Angerlo-G0199;13;;991.0;275;72.0;56.0;325.0;1.0;5.0;3.0;;18.0;;;;27.0
Ankeveen-G1014;10;;219.0;123;48.0;31.0;79.0;16.0;3.0;11.0;;3.0;4.0;;;17.0
Anloo-G0105;133;;24.0;1897;1058.0;92.0;72.0;31.0;5.0;15.0;10.0;54.0;20.0;;;184.0
Anna Paulowna-G0366;49;;1346.0;1239;495.0;245.0;148.0;118.0;18.0;60.0;31.0;;13.0;;;132.0
Apeldoorn-G0200;1303;;7456.0;18894;8465.0;5826.0;9954.0;500.0;1209.0;638.0;200.0;824.0;165.0;;;2916.0
Appeltern-G0201;26;;1588.0;56;12.0;29.0;137.0;2.0;3.0;1.0;;5.0;3.0;;;39.0
Appingedam-G0003;153;;139.0;2372;638.0;923.0;801.0;186.0;6.0;58.0;51.0;25.0;19.0;;;263.0
Arcen en Velden-G0885;42;;2403.0;116;33.0;14.0;2.0;2.0;;1.0;5.0;;;;;141.0
Arkel-G0487;19;;39.0;648;233.0;128.0;65.0;;42.0;9.0;;5.0;;;;45.0
Arnemuiden-G0649;34;;5.0;359;41.0;255.0;239.0;3.0;505.0;;4.0;4.0;;;;101.0
Arnhem-G0202;1541;;19721.0;26187;9868.0;4529.0;4611.0;948.0;263.0;865.0;169.0;318.0;194.0;;;2751.0
Asperen-G0488;10;;10.0;255;113.0;251.0;166.0;;148.0;5.0;4.0;3.0;;;;43.0
Assen-G0106;351;;641.0;7220;2609.0;2103.0;1194.0;248.0;25.0;123.0;540.0;50.0;47.0;;;1032.0
Assendelft-G0367;55;;1564.0;1183;302.0;113.0;52.0;394.0;43.0;176.0;27.0;;35.0;;;107.0
Asten-G0743;49;;3986.0;145;41.0;12.0;33.0;1.0;3.0;1.0;3.0;;;3.0;;94.0
Avenhorn-G0368;7;;444.0;222;116.0;7.0;13.0;8.0;;12.0;;;1.0;;;20.0
Avereest-G0143;75;;628.0;1455;662.0;1255.0;1853.0;4.0;37.0;13.0;32.0;43.0;7.0;;;460.0
Axel-G0650;79;;881.0;937;401.0;733.0;670.0;6.0;170.0;9.0;447.0;23.0;;;;154.0
Baarderadeel-G0061;27;;113.0;1386;600.0;379.0;303.0;9.0;8.0;48.0;4.0;;1.0;;;103.0
Baarland-G0651;7;;103.0;86;34.0;78.0;88.0;5.0;33.0;;;12.0;;;;22.0
Baarle-Nassau-G0744;20;;1927.0;91;20.0;9.0;7.0;2.0;4.0;4.0;2.0;;;;;36.0
Baarn-G0308;302;;2130.0;3364;2355.0;1907.0;990.0;74.0;238.0;227.0;88.0;142.0;39.0;;10.0;673.0
Baexem-G0886;8;;717.0;10;;;;;;;;;;;;
Baflo-G0004;20;;11.0;556;231.0;739.0;80.0;4.0;;11.0;53.0;3.0;4.0;;;38.0
Bakel en Milheeze-G0745;37;;2397.0;101;23.0;16.0;5.0;2.0;;2.0;1.0;;;18.0;;
Barendrecht-G0489;41;;82.0;1097;659.0;1497.0;593.0;7.0;343.0;33.0;44.0;12.0;;;;228.0
Barneveld-G0203;132;;717.0;1756;849.0;2311.0;3302.0;23.0;2049.0;30.0;80.0;215.0;21.0;;;716.0
Barradeel-G0062;25;;28.0;1153;308.0;1194.0;1150.0;12.0;5.0;30.0;36.0;;3.0;;;142.0
Barsingerhorn-G0369;18;;75.0;587;222.0;44.0;28.0;70.0;;54.0;;;5.0;;;65.0
Barwoutswaarder-G1017;4;;88.0;80;7.0;92.0;142.0;;43.0;3.0;;6.0;3.0;;;17.0
Batenburg-G0204;6;;241.0;5;4.0;9.0;38.0;1.0;;;;2.0;1.0;;;13.0
Bathmen-G0144;22;;20.0;425;489.0;29.0;243.0;6.0;1.0;7.0;4.0;100.0;7.0;;;61.0
Bedum-G0005;55;;194.0;1068;429.0;1787.0;154.0;4.0;9.0;17.0;462.0;13.0;2.0;;;106.0
Beegden-G0887;12;;557.0;26;1.0;1.0;1.0;;;;;;1.0;;;5.0
Beek-G0888;120;;4281.0;521;149.0;35.0;22.0;11.0;1.0;5.0;6.0;;8.0;;;89.0
Beek en Donk-G0746;64;;2182.0;175;40.0;6.0;4.0;4.0;1.0;2.0;1.0;;;8.0;;56.0
Beemster-G0370;72;;1051.0;1372;795.0;176.0;103.0;58.0;13.0;80.0;;;19.0;;;85.0
Beers-G0747;2;;1074.0;33;;;;;;;;;;3.0;;20.0
Beerta-G0006;84;;17.0;828;293.0;32.0;74.0;746.0;4.0;16.0;2.0;9.0;64.0;;;97.0
Beesd-G0205;16;;715.0;385;89.0;75.0;286.0;11.0;83.0;11.0;8.0;18.0;1.0;;;44.0
Beesel-G0889;94;;3504.0;255;23.0;13.0;;10.0;3.0;2.0;2.0;;3.0;;;59.0
Beets-G0371;4;;6.0;164;88.0;9.0;19.0;3.0;1.0;4.0;;;;;;12.0
Beilen-G0107;118;;69.0;2339;880.0;1210.0;1046.0;25.0;11.0;21.0;110.0;62.0;14.0;;;284.0
Belfeld-G0890;38;;1499.0;107;5.0;1.0;1.0;6.0;;2.0;2.0;;;;;31.0
Bellingwolde-G1019;92;;37.0;2020;506.0;157.0;223.0;449.0;4.0;11.0;5.0;37.0;21.0;;;188.0
Bemelen-G0891;5;;142.0;10;1.0;;;;;;1.0;;;;;5.0
Bemmel-G0206;64;;4383.0;290;94.0;88.0;193.0;3.0;4.0;6.0;2.0;14.0;5.0;;;135.0
Bennebroek-G0372;25;;687.0;279;440.0;310.0;128.0;6.0;9.0;26.0;9.0;18.0;2.0;;;579.0
Benschop-G0309;10;;381.0;113;76.0;258.0;155.0;1.0;154.0;3.0;;4.0;1.0;;;56.0
Benthuizen-G0490;4;;10.0;145;49.0;82.0;107.0;2.0;303.0;;;;;;;30.0
Berg en Terblijt-G0892;33;;1328.0;42;19.0;9.0;6.0;3.0;1.0;1.0;;;1.0;;;8.0
Bergambacht-G0491;29;;8.0;852;366.0;405.0;162.0;34.0;443.0;13.0;2.0;47.0;;;;96.0
Bergen-G0373;74;;1946.0;1495;1361.0;222.0;146.0;56.0;12.0;237.0;7.0;;11.0;;;306.0
Bergen-G0893;79;;4436.0;315;67.0;9.0;10.0;5.0;1.0;5.0;3.0;;2.0;;;66.0
Bergen op Zoom-G0748;547;;11121.0;3453;1246.0;659.0;359.0;131.0;51.0;52.0;27.0;;;;;751.0
Bergeyk-G0749;27;;2402.0;124;41.0;23.0;46.0;1.0;;13.0;3.0;;;6.0;;27.0
Bergh-G0207;221;;6010.0;754;139.0;89.0;65.0;12.0;13.0;8.0;1.0;51.0;8.0;;;213.0
Bergharen-G0208;5;;807.0;51;5.0;13.0;80.0;1.0;4.0;;;7.0;3.0;;;36.0
Berghem-G0750;57;;1496.0;180;11.0;11.0;1.0;1.0;1.0;3.0;;;;7.0;;60.0
Bergschenhoek-G0492;26;;512.0;335;140.0;213.0;590.0;4.0;106.0;8.0;40.0;17.0;1.0;;;76.0
Berkel en Rodenrijs-G0493;34;;1629.0;211;170.0;390.0;746.0;2.0;32.0;16.0;282.0;8.0;1.0;;;50.0
Berkel-Enschot-G0751;16;;1570.0;68;32.0;13.0;5.0;1.0;;2.0;;;;;;27.0
Berkenwoude-G0494;4;;4.0;101;202.0;73.0;16.0;2.0;110.0;9.0;;11.0;;;;37.0
Berkhout-G0374;9;;996.0;490;183.0;26.0;17.0;6.0;4.0;31.0;;;;;;2.0
Berlicum-G0752;40;;2263.0;178;19.0;19.0;11.0;1.0;1.0;1.0;1.0;;;8.0;;57.0
Best-G0753;99;;3930.0;536;125.0;26.0;30.0;6.0;3.0;8.0;5.0;;;12.0;;119.0
Beuningen-G0209;69;;1778.0;205;43.0;18.0;61.0;2.0;1.0;2.0;3.0;10.0;3.0;;;73.0
Beusichem-G0210;14;;56.0;474;196.0;47.0;128.0;8.0;67.0;10.0;;29.0;3.0;;;58.0
Beverwijk-G0375;509;;7333.0;5478;1616.0;861.0;842.0;818.0;31.0;677.0;67.0;150.0;179.0;;;619.0
Bierum-G0008;31;;14.0;566;216.0;862.0;624.0;18.0;16.0;6.0;6.0;13.0;4.0;;;93.0
Biervliet-G0652;16;;381.0;410;148.0;38.0;99.0;2.0;30.0;5.0;5.0;13.0;;;;83.0
Biggekerke-G1022;8;;2.0;39;34.0;134.0;154.0;;79.0;1.0;1.0;4.0;;;;28.0
Bingelrade-G0894;2;;372.0;9;1.0;;;1.0;;2.0;;;;;;0.0
Bladel en Netersel-G0754;23;;1926.0;58;9.0;7.0;35.0;2.0;;;;;;5.0;;30.0
Blankenham-G0145;1;;20.0;105;98.0;9.0;53.0;;;;;;2.0;;;5.0
Blaricum-G0376;79;;1061.0;521;1059.0;134.0;113.0;27.0;12.0;238.0;2.0;45.0;16.0;;;341.0
Bleiswijk-G0495;17;;500.0;212;162.0;242.0;308.0;;176.0;;1.0;9.0;1.0;;;35.0
Bleskensgraaf en Hofwegen-G0496;7;;;108;42.0;229.0;50.0;;254.0;1.0;4.0;6.0;;;;62.0
Bloemendaal-G0377;167;;2789.0;2068;3997.0;954.0;630.0;26.0;31.0;291.0;21.0;155.0;15.0;;;1673.0
Blokker-G0378;10;;994.0;190;182.0;17.0;12.0;;;15.0;;;;;;36.0
Blokzijl-G0146;11;;10.0;305;79.0;166.0;122.0;5.0;6.0;8.0;13.0;9.0;;;;11.0
Bocholtz-G0895;67;;1791.0;228;18.0;7.0;6.0;7.0;;1.0;2.0;;4.0;;;28.0
Bodegraven-G0497;47;;923.0;742;337.0;1241.0;585.0;8.0;278.0;19.0;30.0;22.0;4.0;;;180.0
Boekel-G0755;44;;2603.0;77;15.0;3.0;3.0;3.0;2.0;1.0;1.0;;;5.0;;55.0
Bolsward-G0064;57;;1496.0;1261;222.0;614.0;596.0;17.0;8.0;32.0;13.0;;11.0;;;136.0
Borculo-G0211;75;;532.0;1639;1012.0;293.0;413.0;8.0;2.0;25.0;5.0;83.0;6.0;;;120.0
Borger-G0108;123;;92.0;2938;1075.0;604.0;771.0;115.0;2.0;23.0;35.0;42.0;16.0;;;167.0
Borgharen-G0896;39;;528.0;102;20.0;1.0;;1.0;;3.0;;;4.0;;;18.0
Born-G0897;48;;1910.0;174;26.0;2.0;8.0;1.0;;5.0;;;2.0;;;47.0
Borne-G0147;80;;4160.0;1816;305.0;295.0;496.0;91.0;16.0;36.0;8.0;21.0;24.0;;;149.0
Borsele-G0654;12;;129.0;147;70.0;74.0;145.0;;241.0;;6.0;14.0;;;;55.0
Boskoop-G0499;66;;1109.0;1020;715.0;1061.0;684.0;20.0;220.0;31.0;4.0;22.0;4.0;;;194.0
Bovenkarspel-G0379;19;;1317.0;208;108.0;28.0;10.0;4.0;2.0;15.0;;;;;;74.0
Boxmeer-G0756;75;;3753.0;458;64.0;22.0;41.0;6.0;6.0;5.0;;;;10.0;;122.0
Boxtel-G0757;248;;6453.0;867;200.0;28.0;42.0;14.0;5.0;27.0;5.0;;;;;255.0
Brakel-G0212;64;;17.0;861;72.0;370.0;262.0;6.0;893.0;3.0;2.0;31.0;6.0;;;384.0
Brandwijk-G0500;2;;1.0;68;82.0;204.0;49.0;;108.0;;1.0;7.0;;;;33.0
Breda-G0758;1699;;33940.0;12856;5156.0;1311.0;1308.0;359.0;130.0;263.0;61.0;;;;;1766.0
Breskens-G0655;50;;200.0;1024;345.0;122.0;321.0;36.0;16.0;4.0;1.0;16.0;;;;153.0
Breukelen-G0311;53;;777.0;636;403.0;551.0;629.0;12.0;198.0;25.0;65.0;23.0;6.0;;1.0;144.0
Brielle-G0501;39;;173.0;957;478.0;225.0;325.0;12.0;21.0;25.0;3.0;10.0;4.0;;;87.0
Broek in Waterland-G0380;17;;49.0;357;289.0;66.0;164.0;14.0;9.0;41.0;;;5.0;;;42.0
Broekhuizen-G0898;7;;579.0;27;2.0;;;;;2.0;;;;;;4.0
Brouwershaven-G0656;8;;3.0;327;141.0;140.0;26.0;;24.0;4.0;16.0;2.0;;;;26.0
Bruinisse-G0657;26;;5.0;408;214.0;175.0;239.0;3.0;323.0;5.0;4.0;5.0;;;;108.0
Brummen-G0213;140;;551.0;3953;1068.0;448.0;1047.0;45.0;28.0;52.0;8.0;233.0;12.0;;;276.0
Brunssum-G0899;311;;7714.0;2991;124.0;313.0;211.0;269.0;5.0;23.0;40.0;;39.0;;;276.0
Budel-G0759;89;;3424.0;412;95.0;76.0;61.0;14.0;11.0;10.0;9.0;;;17.0;;
Bunde-G0900;36;;1068.0;140;24.0;6.0;2.0;2.0;;;1.0;;4.0;;;36.0
Bunnik-G0312;23;;1008.0;359;258.0;154.0;229.0;5.0;54.0;13.0;2.0;14.0;3.0;;1.0;43.0
Bunschoten-G0313;58;;19.0;234;49.0;2082.0;92.0;7.0;100.0;10.0;1427.0;4.0;1.0;;4.0;131.0
Buren-G0214;16;;57.0;611;132.0;70.0;248.0;;67.0;4.0;2.0;26.0;2.0;;;46.0
Burgh-G1035;7;;3.0;202;99.0;42.0;84.0;;9.0;1.0;;;;;;13.0
Bussum-G0381;533;;6011.0;5066;5587.0;2117.0;1398.0;317.0;235.0;557.0;86.0;289.0;116.0;;;1178.0
Buurmalsen-G0215;28;;45.0;490;122.0;120.0;323.0;;136.0;3.0;;12.0;4.0;;;76.0
Cadier en Keer-G0901;37;;662.0;47;5.0;1.0;;5.0;;2.0;;;;;;17.0
Cadzand-G0658;12;;10.0;295;147.0;22.0;114.0;1.0;5.0;3.0;1.0;7.0;;;;27.0
Callantsoog-G0382;8;;95.0;303;170.0;28.0;17.0;15.0;5.0;53.0;;;;;;42.0
Capelle aan den IJssel-G0502;91;;120.0;2059;599.0;515.0;816.0;20.0;905.0;84.0;131.0;25.0;7.0;;;360.0
Castricum-G0383;72;;3081.0;1321;741.0;283.0;117.0;49.0;1.0;134.0;7.0;;18.0;;;808.0
Chaam-G0760;10;;1123.0;98;19.0;11.0;41.0;;1.0;3.0;2.0;;;;;44.0
Clinge-G0659;70;;1467.0;155;17.0;10.0;11.0;6.0;;4.0;;11.0;;;;61.0
Coevorden-G0109;63;;1268.0;1861;615.0;685.0;640.0;10.0;6.0;21.0;11.0;16.0;11.0;;;141.0
Cothen-G0314;7;;499.0;36;18.0;11.0;49.0;;18.0;1.0;;7.0;1.0;;;22.0
Cuijk en Sint Agatha-G0761;69;;3039.0;285;110.0;14.0;15.0;8.0;1.0;7.0;;;;12.0;;78.0
Culemborg-G0216;111;;2607.0;2503;689.0;324.0;304.0;80.0;165.0;85.0;31.0;34.0;23.0;;;181.0
Dalen-G0110;79;;253.0;958;810.0;115.0;173.0;2.0;3.0;10.0;;56.0;7.0;;;111.0
Dalfsen-G0148;51;;1586.0;623;261.0;379.0;1926.0;4.0;39.0;13.0;271.0;40.0;9.0;;;163.0
Dantumadeel-G0065;90;;68.0;2248;483.0;2686.0;1671.0;44.0;543.0;52.0;214.0;;21.0;;;551.0
De Bilt-G0310;250;;2474.0;3448;3833.0;1822.0;1285.0;36.0;314.0;351.0;76.0;171.0;28.0;;6.0;694.0
De Lier-G0552;14;;395.0;243;182.0;775.0;718.0;1.0;38.0;6.0;24.0;7.0;1.0;;;44.0
De Rijp-G0440;12;;419.0;247;85.0;8.0;10.0;35.0;5.0;23.0;;;5.0;;;9.0
De Wijk-G0135;47;;12.0;785;652.0;398.0;278.0;12.0;2.0;3.0;11.0;67.0;5.0;;;127.0
Deil-G0217;30;;234.0;526;157.0;53.0;297.0;2.0;66.0;5.0;;19.0;2.0;;;59.0
Delft-G0503;942;;11129.0;13306;4539.0;3841.0;2594.0;1037.0;1002.0;818.0;144.0;178.0;197.0;;;2247.0
Delfzijl-G0010;258;;311.0;3754;1244.0;1107.0;893.0;507.0;14.0;98.0;90.0;31.0;75.0;;;855.0
Den Bommel-G1024;17;;239.0;206;59.0;201.0;156.0;1.0;118.0;1.0;;2.0;;;;68.0
Den Dungen-G0768;17;;1245.0;89;11.0;4.0;1.0;;;;;;;4.0;;38.0
Den Ham-G0159;93;;380.0;1114;161.0;1400.0;1884.0;16.0;34.0;13.0;124.0;31.0;22.0;;;165.0
Den Helder-G0400;467;;3849.0;10400;4312.0;2900.0;1186.0;174.0;179.0;537.0;207.0;;63.0;;;1650.0
Denekamp-G0149;45;;3716.0;362;73.0;62.0;227.0;25.0;1.0;9.0;5.0;8.0;7.0;;;119.0
Deurne-G0762;179;;7839.0;362;66.0;71.0;154.0;34.0;1.0;8.0;5.0;;;23.0;;92.0
Deventer-G0150;653;;6092.0;13836;4448.0;1452.0;1562.0;1709.0;94.0;691.0;114.0;140.0;304.0;;;1580.0
Didam-G0218;111;;4062.0;281;25.0;72.0;48.0;3.0;1.0;6.0;1.0;24.0;3.0;;;99.0
Diemen-G0384;67;;1036.0;1076;623.0;367.0;389.0;59.0;24.0;118.0;3.0;38.0;41.0;;;129.0
Diepenheim-G0151;33;;122.0;655;297.0;32.0;108.0;3.0;6.0;3.0;2.0;35.0;3.0;;;68.0
Diepenveen-G0152;75;;1667.0;1337;1121.0;204.0;570.0;16.0;9.0;41.0;4.0;116.0;12.0;;;215.0
Diessen-G0763;5;;1048.0;11;4.0;4.0;7.0;1.0;;1.0;1.0;;;;;11.0
Diever-G0111;34;;30.0;817;438.0;346.0;61.0;1.0;2.0;17.0;12.0;12.0;5.0;;;48.0
Dinteloord en Prinsenland-G0764;33;;922.0;442;131.0;278.0;403.0;16.0;199.0;1.0;2.0;;;;;129.0
Dinther-G1044;9;;1299.0;49;11.0;3.0;22.0;;;;2.0;;;3.0;;24.0
Dinxperlo-G0219;71;;516.0;573;149.0;360.0;939.0;1.0;3.0;2.0;1.0;26.0;5.0;;;64.0
Dirksland-G0504;24;;11.0;488;245.0;485.0;50.0;1.0;414.0;8.0;1.0;9.0;;;;119.0
Dodewaard-G0220;38;;25.0;611;129.0;278.0;231.0;3.0;188.0;4.0;1.0;16.0;3.0;;;47.0
Doesburg-G0221;79;;1405.0;1528;244.0;221.0;309.0;22.0;13.0;20.0;11.0;11.0;12.0;;;87.0
Doetinchem-G0222;225;;4622.0;4866;1508.0;707.0;1230.0;65.0;137.0;54.0;15.0;123.0;19.0;;;304.0
Dokkum-G0066;21;;151.0;1067;271.0;1682.0;523.0;6.0;39.0;25.0;30.0;;5.0;;;104.0
Domburg-G0660;15;;16.0;320;139.0;73.0;172.0;;118.0;;;6.0;;;;51.0
Dongen-G0766;135;;6058.0;486;102.0;53.0;102.0;17.0;5.0;2.0;3.0;;;;;142.0
Doniawerstal-G0067;20;;819.0;850;198.0;494.0;784.0;5.0;17.0;7.0;2.0;;3.0;;;124.0
Doorn-G0315;77;;352.0;1244;1095.0;716.0;746.0;10.0;188.0;34.0;29.0;60.0;7.0;;6.0;551.0
Doornspijk-G0223;43;;83.0;590;183.0;693.0;590.0;11.0;1182.0;15.0;13.0;252.0;6.0;;;261.0
Dordrecht-G0505;1020;;5068.0;20200;5884.0;5419.0;3750.0;787.0;1214.0;1158.0;129.0;207.0;225.0;;;3315.0
Dreischor-G1047;9;;11.0;314;169.0;14.0;72.0;1.0;15.0;3.0;1.0;8.0;;;;21.0
Dreumel-G0224;19;;1311.0;150;26.0;11.0;27.0;3.0;;;;4.0;5.0;;;54.0
Driebergen-Rijsenburg-G0316;134;;1150.0;1990;1457.0;1406.0;1057.0;11.0;395.0;107.0;57.0;65.0;11.0;;;382.0
Driewegen-G0661;5;;46.0;100;47.0;65.0;93.0;;14.0;;;2.0;;;;11.0
Drunen-G0767;50;;3091.0;215;71.0;26.0;36.0;7.0;12.0;2.0;3.0;;;19.0;;48.0
Druten-G0225;114;;3745.0;288;65.0;43.0;97.0;3.0;1.0;6.0;1.0;13.0;3.0;;;120.0
Dubbeldam-G0507;55;;89.0;1066;661.0;539.0;687.0;8.0;144.0;21.0;23.0;31.0;2.0;;;148.0
Duiven-G0226;50;;2273.0;126;14.0;36.0;47.0;2.0;3.0;1.0;;10.0;1.0;;;74.0
Duivendijke-G1050;4;;3.0;67;24.0;110.0;31.0;;9.0;;6.0;7.0;;;;0.0
Dussen-G0769;30;;1437.0;198;42.0;267.0;234.0;5.0;111.0;1.0;4.0;;;6.0;;108.0
Dwingeloo-G0112;33;;15.0;940;552.0;274.0;76.0;2.0;2.0;6.0;;24.0;1.0;;;73.0
Echt-G0902;259;;6185.0;630;47.0;43.0;18.0;22.0;6.0;11.0;4.0;;16.0;;;69.0
Echteld-G0227;19;;49.0;1154;225.0;198.0;238.0;3.0;318.0;10.0;;27.0;2.0;;;97.0
Edam-Volendam-G0385;60;;4536.0;837;526.0;154.0;174.0;38.0;9.0;96.0;2.0;;8.0;;;146.0
Ede-G0228;536;;2508.0;7067;3756.0;5446.0;6067.0;80.0;4636.0;206.0;110.0;413.0;54.0;;;1348.0
Eelde-G0113;77;;149.0;1650;970.0;148.0;143.0;16.0;;44.0;13.0;36.0;10.0;;;226.0
Eemnes-G0317;18;;620.0;188;113.0;218.0;99.0;10.0;63.0;31.0;2.0;13.0;6.0;;;54.0
Eenrum-G0011;22;;49.0;830;317.0;156.0;25.0;10.0;;21.0;128.0;3.0;3.0;;;53.0
Eersel-G0770;15;;2286.0;53;9.0;5.0;19.0;;;1.0;2.0;;;6.0;;26.0
Eethen-G0771;24;;47.0;278;88.0;540.0;348.0;2.0;224.0;3.0;2.0;;;25.0;;119.0
Egmond aan Zee-G0386;47;;304.0;1359;291.0;103.0;74.0;28.0;2.0;79.0;2.0;;12.0;;;127.0
Egmond-Binnen-G0387;8;;1427.0;142;89.0;11.0;16.0;5.0;;16.0;;;;;;64.0
Eibergen-G0229;46;;2971.0;1809;609.0;478.0;778.0;5.0;2.0;16.0;16.0;37.0;2.0;;;239.0
Eijgelshoven-G0904;168;;2014.0;628;42.0;18.0;25.0;33.0;5.0;4.0;2.0;;11.0;;;84.0
Eijsden-G0905;80;;2295.0;206;25.0;7.0;13.0;1.0;;5.0;2.0;;2.0;;;42.0
Eindhoven-G0772;2119;;51610.0;19704;6742.0;2981.0;1593.0;620.0;145.0;772.0;154.0;;;305.0;;2608.0
Elburg-G0230;35;;42.0;319;91.0;336.0;539.0;4.0;380.0;4.0;5.0;38.0;4.0;;;85.0
Elkerzee-G1053;5;;2.0;82;38.0;98.0;59.0;;23.0;1.0;1.0;;;;;12.0
Ellemeet-G1054;4;;2.0;106;32.0;28.0;41.0;1.0;16.0;;;6.0;;;;16.0
Ellewoutsdijk-G0663;4;;6.0;116;37.0;17.0;76.0;;8.0;;2.0;8.0;;;;15.0
Elsloo-G0903;91;;2098.0;225;25.0;9.0;9.0;5.0;1.0;1.0;;;1.0;;;52.0
Elst-G0231;78;;3863.0;1291;475.0;317.0;532.0;5.0;62.0;13.0;;43.0;3.0;;;193.0
Elten-G1055;35;;324.0;130;15.0;25.0;26.0;4.0;1.0;1.0;;4.0;3.0;;;42.0
Emmen-G0114;1482;;5754.0;12815;3050.0;4189.0;3543.0;1402.0;40.0;249.0;156.0;108.0;279.0;;;1317.0
Empel en Meerwijk-G0773;9;;530.0;34;4.0;5.0;1.0;2.0;;;;;;1.0;;21.0
Engelen-G0774;7;;387.0;58;1.0;;4.0;3.0;2.0;4.0;1.0;;;;;34.0
Enkhuizen-G0388;78;;850.0;2281;633.0;1156.0;724.0;57.0;187.0;98.0;31.0;;11.0;;;183.0
Enschede-G0153;2247;;15925.0;25224;8635.0;3986.0;4555.0;4996.0;197.0;963.0;1501.0;328.0;596.0;;;2707.0
Epe-G0232;183;;1278.0;4732;1873.0;1114.0;1760.0;25.0;391.0;78.0;11.0;351.0;19.0;;;538.0
Ermelo-G0233;196;;485.0;1757;1203.0;3060.0;3751.0;21.0;2023.0;85.0;176.0;359.0;24.0;;;1901.0
Erp-G0775;13;;1880.0;38;16.0;5.0;;;;;;;;1.0;;30.0
Esch-G0776;2;;467.0;22;;;2.0;;;2.0;;;;;;13.0
Est en Opijnen-G0234;11;;6.0;325;85.0;17.0;90.0;;86.0;1.0;2.0;5.0;;;;30.0
