RegioNaam;@invalid;@blank;CDA;PVV;PvdA;VVD;D66;GL;SP;CU-SGP;PvdD;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;DG;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek;@abs
Uithoorn-G0451;9;16;1421;1938;933;1412;1012;659;511;178;327;42;34;32;34;7;5;7;7;12002
Urk-G0184;12;14;1095;477;9;26;16;4;8;2260;17;3;5;2;2;0;0;0;0;7509
Utrecht-G0344;156;396;8230;8724;11859;8628;20354;18976;6170;2498;3122;250;680;356;342;261;189;87;43;134998
Utrechtse Heuvelrug-G1581;27;25;3336;2531;1657;2768;2629;1892;857;1491;708;70;78;62;47;39;13;11;8;19194
Vaals-G0981;7;2;705;555;283;136;97;143;162;16;107;24;11;13;4;25;4;1;1;4291
Valkenburg aan de Geul-G0994;11;12;1759;1113;393;475;384;291;317;45;174;16;19;24;10;5;3;4;7;8813
Valkenswaard-G0858;16;23;1918;1522;861;1173;646;435;692;78;192;41;42;36;10;14;8;10;7;16572
Veendam-G0047;5;11;977;1083;1610;650;479;401;538;324;222;25;20;13;12;6;7;8;3;15643
Veenendaal-G0345;18;50;3676;3327;1441;1571;1039;910;678;6101;329;58;36;39;24;15;25;7;5;26137
Veere-G0717;6;7;1919;859;651;832;552;459;265;1880;303;35;27;22;9;9;3;6;1;9077
Veghel-G0860;14;16;3060;1605;794;1109;715;451;893;64;190;54;42;33;28;11;28;9;8;18605
Veldhoven-G0861;15;25;2632;1969;1164;1488;1131;708;931;163;316;62;46;42;42;18;6;17;12;22371
Velsen-G0453;20;62;2716;3737;2466;2032;2055;1502;1340;607;768;114;62;54;48;35;22;19;8;33516
Venlo-G0983;28;61;5753;6764;1974;1952;1357;1393;1489;173;515;100;59;67;43;30;41;20;16;47136
Venray-G0984;14;22;3471;1723;881;855;733;531;822;69;190;27;30;28;12;16;9;3;6;20016
Vianen-G0620;5;14;1103;1149;691;619;548;388;406;440;184;19;20;15;16;6;4;8;1;9313
Vlaardingen-G0622;42;24;2716;4433;2296;1592;1661;1187;1741;1161;755;106;57;68;35;30;21;15;28;36265
Vlagtwedde-G0048;6;5;1029;825;734;324;220;228;305;171;205;20;9;12;8;4;6;6;2;8802
