RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;Europa Transparant;SP;CU-SGP;D66;PvdD;LPF;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu;@abs
Raalte-G0177;;23.0;5557;2301;1216;530;613;499;239;309;168;177;16;22;11;14;4;15887
Reeuwijk-G0595;;4.0;1280;547;959;175;361;116;767;200;134;104;4;25;15;5;4;4864
Reiderland-G1661;;5.0;148;908;166;89;50;286;15;19;60;53;91;1;1;2;5;3623
Reimerswaal-G0703;;3.0;1322;970;658;142;356;269;2813;127;153;163;0;26;20;6;8;8035
Renkum-G0274;;13.0;2766;2482;1920;1147;1133;610;262;590;675;177;12;19;14;39;8;12841
Renswoude-G0339;;3.0;606;104;154;19;48;37;324;19;12;34;0;1;0;2;1;1688
Reusel-De Mierden-G1667;;13.0;1404;590;362;93;244;170;9;93;45;73;4;8;10;4;2;6200
Rheden-G0275;;30.0;3278;4204;2248;1296;1228;1304;396;638;570;357;16;38;25;26;11;19491
Rhenen-G0340;;4.0;1297;1032;723;338;437;266;1091;195;155;143;6;27;8;6;1;7770
Ridderkerk-G0597;;20.0;2720;3249;1327;457;931;714;2790;411;382;501;10;60;53;21;5;21866
Rijnsburg-G0602;;6.0;2068;451;460;135;269;139;715;81;94;85;3;7;6;5;6;6157
Rijnwaarden-G0196;;1.0;833;857;289;138;142;169;18;84;72;72;1;11;2;5;6;5845
Rijnwoude-G1672;;16.0;1818;1032;964;304;539;339;865;304;147;179;1;30;12;15;5;7790
Rijssen-Holten-G1742;;24.0;3685;1830;1103;251;572;363;5640;201;155;197;8;15;10;5;10;12241
Rijswijk-G0603;;41.0;3233;3199;2566;1037;1593;879;287;823;826;724;21;65;50;46;16;22634
Roerdalen-G1669;;3.0;1604;466;268;106;181;137;11;67;55;61;1;6;5;1;2;4926
Roermond-G0957;;11.0;4394;2133;1184;651;793;729;64;332;311;231;6;33;16;24;13;22943
Roggel en Neer-G1670;;4.0;1361;380;224;74;114;101;8;52;43;48;0;5;3;0;3;3896
Roosendaal-G1674;;50.0;4856;3817;2528;922;2701;1409;158;644;492;657;11;112;53;37;19;39392
Rotterdam-G0599;;507.0;18788;42543;15764;11216;9981;11705;4762;6371;5671;8333;113;1023;549;253;142;291578
Rozenburg-G0600;;5.0;623;998;405;137;250;255;173;133;119;153;6;22;12;2;5;6767
Rozendaal-G0277;;4.0;154;97;228;51;74;31;8;35;35;10;1;0;0;2;0;449
Rucphen-G0840;;12.0;1340;1092;541;94;511;197;20;74;129;212;2;19;11;7;1;13703
Ruurlo-G0278;;1.0;842;629;561;108;217;133;28;82;49;43;0;3;3;7;2;3908
Sassenheim-G0604;;11.0;1556;808;898;255;381;296;62;223;165;127;3;18;13;16;6;6306
Schagen-G0441;;4.0;856;1462;954;356;594;379;52;217;172;136;7;17;11;8;9;8744
Scheemda-G0039;;5.0;968;1881;398;237;185;305;224;79;102;88;189;6;5;0;5;6380
Schermer-G0458;;5.0;470;369;322;109;157;82;12;58;63;51;0;2;5;4;2;1935
Scherpenzeel-G0279;;1.0;918;382;386;85;155;73;897;108;47;71;3;8;5;2;1;3436
Schiedam-G0606;;29.0;3173;5534;1982;1266;1456;1845;461;694;728;941;24;184;69;30;25;36943
Schiermonnikoog-G0088;;0.0;117;123;76;43;30;25;17;19;11;6;19;0;0;0;1;319
Schijndel-G0844;;15.0;2023;1391;686;237;435;735;16;195;155;111;3;12;10;11;4;11385
Schinnen-G0962;;5.0;2371;837;275;229;269;246;27;91;87;50;2;19;0;2;7;5906
Schoonhoven-G0608;;7.0;893;902;602;256;290;234;405;180;193;106;1;25;8;4;5;5059
Schouwen-Duiveland-G1676;;32.0;2637;2374;2206;501;978;541;1906;346;510;409;7;44;25;17;6;14133
Sevenum-G0964;;8.0;1274;267;173;81;109;135;12;54;29;14;0;7;3;2;3;3390
's-Gravendeel-G0517;;3.0;705;685;331;83;171;143;413;71;71;82;1;18;4;1;1;4172
's-Gravenhage-G0518;;410.0;18021;28154;19284;10254;8357;7306;2562;7334;6096;4225;102;467;267;424;117;222048
's-Hertogenbosch-G0796;;92.0;7923;8369;4678;3574;3264;3955;284;1887;1094;893;39;122;70;93;34;65342
Simpelveld-G0965;;1.0;1699;721;192;115;178;136;13;56;75;45;1;1;3;3;12;5475
Sint Anthonis-G1702;;23.0;2317;614;364;135;308;235;11;101;49;50;2;14;5;3;4;4397
Sint-Michielsgestel-G0845;;16.0;2672;1647;1022;319;779;685;28;301;187;137;6;24;9;17;6;13307
Sint-Oedenrode-G0846;;7.0;2138;933;587;204;377;426;19;137;76;67;4;6;15;13;4;7771
Sittard-Geleen-G1883;;49.0;11975;5414;2033;1611;1709;1590;114;629;678;349;14;61;34;24;29;48709
Skarsterlân-G0051;;11.0;2713;2564;911;389;526;393;255;209;176;143;210;10;13;7;4;11836
Sliedrecht-G0610;;9.0;1404;1607;641;201;425;395;2242;124;157;171;3;27;9;1;2;10502
Slochteren-G0040;;11.0;948;1409;569;237;203;263;702;136;129;80;202;3;4;2;7;6471
Sluis-G1714;;10.0;1779;1635;1327;322;716;341;185;408;270;148;5;23;14;9;13;11331
Smallingerland-G0090;;18.0;4931;5749;1305;873;926;1098;1636;412;324;226;398;31;18;8;12;22949
Sneek-G0091;;15.0;2364;2850;1041;588;656;628;348;302;218;164;206;23;12;13;7;15592
Soest-G0342;;23.0;3304;2592;2790;1003;1338;687;775;770;603;402;17;48;37;49;19;19187
Someren-G0847;;11.0;1749;678;1807;138;366;265;18;111;89;108;1;20;14;8;2;8071
Son en Breugel-G0848;;13.0;1487;722;892;240;594;259;37;241;147;84;2;16;7;6;3;6685
Spijkenisse-G0612;;53.0;2141;5310;1999;770;1319;1498;594;661;738;1025;13;153;76;34;25;40449
Stadskanaal-G0037;;16.0;2991;3363;763;240;271;563;1126;169;190;120;279;8;9;3;9;15901
Staphorst-G0180;;1.0;1316;491;438;79;108;76;3241;57;54;75;17;4;3;1;5;4776
Stede Broec-G0532;;11.0;1341;1312;749;325;439;384;88;210;203;225;6;19;14;7;12;10683
Steenbergen-G0851;;10.0;1558;1431;843;172;771;337;219;175;190;215;3;19;24;7;8;12244
Steenderen-G0280;;4.0;748;385;271;85;84;90;28;52;44;28;1;7;2;3;2;1996
Steenwijkerland-G1708;;17.0;4148;3762;1750;632;798;766;1142;361;333;279;64;25;12;17;22;18344
Stein-G0971;;14.0;3573;1404;453;279;405;393;27;179;169;110;1;17;14;11;15;14134
Strijen-G0617;;8.0;694;660;395;140;206;143;285;79;87;94;2;16;1;4;3;4317
Swalmen-G0975;;1.0;1086;476;181;114;109;108;7;65;48;29;1;8;0;3;1;4576
Ten Boer-G0009;;5.0;658;733;194;161;116;169;464;70;59;34;109;2;3;1;0;2485
Ter Aar-G0480;;2.0;972;377;372;126;211;118;93;114;75;111;5;11;7;4;2;4069
Terneuzen-G0715;;32.0;3348;3315;1548;532;1520;771;1779;900;454;399;8;72;31;37;29;26476
Terschelling-G0093;;3.0;391;522;364;196;198;100;38;68;86;29;26;3;2;5;1;1753
Texel-G0448;;12.0;1295;1244;915;497;426;393;129;225;198;110;8;3;17;17;11;4822
Tholen-G0716;;8.0;1102;1226;622;178;475;257;2108;138;191;182;6;28;15;12;7;11263
Thorn-G0977;;5.0;472;136;47;26;47;37;4;26;22;8;0;1;0;0;1;1130
Tiel-G0281;;10.0;1971;3043;1488;697;631;583;269;377;313;293;7;41;12;21;7;19207
Tilburg-G0855;;150.0;10421;10743;5415;4034;3845;5907;325;2156;1122;1131;21;166;109;108;78;104290
Tubbergen-G0183;;8.0;4114;670;611;118;246;157;25;116;44;91;5;6;7;3;13;8507
Twenterand-G1700;;10.0;4667;1945;704;202;394;347;1635;126;128;148;8;26;15;5;11;14614
Tynaarlo-G1730;;17.0;2084;3531;2242;977;776;537;484;585;340;208;333;12;10;21;13;12174
