RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Sappemeer-G1168;155;0;406;1219;335;1455;156;291;0;7;0;225.0
Sas van Gent-G0704;82;0;839;482;23;61;52;159;5;18;0;152.0
Sassenheim-G0604;32;0;1544;255;805;20;471;51;47;0;0;168.0
Schaesberg-G0960;245;0;2588;270;0;480;0;0;0;177;0;196.0
Schagen-G0441;47;0;602;957;113;345;51;407;5;2;0;241.0
Schaijk-G0843;29;0;1651;8;8;0;3;1;0;0;0;82.0
Schalkwijk-G1169;5;0;619;5;45;4;53;7;5;0;0;22.0
Scheemda-G0039;120;0;30;1330;634;656;790;249;0;68;0;283.0
Schellinkhout-G0442;6;0;19;182;11;33;9;59;3;4;0;25.0
Schelluinen-G0605;5;0;2;84;42;1;6;40;68;0;0;25.0
Schermerhorn-G0443;3;0;195;228;99;54;17;21;5;1;0;24.0
Scherpenisse-G0705;25;0;4;83;51;0;83;127;350;0;0;103.0
Scherpenzeel-G0279;16;0;15;342;197;26;423;57;92;0;0;105.0
Schiedam-G0606;1074;0;9377;11622;4230;4220;3668;1519;626;0;0;2148.0
Schiermonnikoog-G0088;9;0;5;184;118;11;52;16;2;0;0;38.0
Schijndel-G0844;146;0;4244;91;18;39;17;7;0;18;0;192.0
Schimmert-G0961;33;0;898;15;0;0;0;0;0;2;0;18.0
Schinnen-G0962;92;0;1652;85;0;46;0;0;0;71;0;100.0
Schinveld-G0963;106;0;1277;54;0;42;0;0;0;38;0;75.0
Schipluiden-G0607;18;0;1176;53;347;15;430;9;24;0;0;87.0
Schoondijke-G0706;47;0;188;222;199;17;99;233;19;0;0;67.0
Schoonebeek-G0129;41;0;650;316;346;15;442;142;0;0;0;99.0
Schoonhoven-G0608;56;0;442;805;677;66;202;154;189;0;0;154.0
Schoonrewoerd-G0609;15;0;2;70;195;1;79;27;157;0;0;40.0
Schoorl-G0444;20;0;457;549;57;310;24;145;6;0;0;133.0
Serooskerke (Schouwen)-G1175;6;0;2;52;12;0;50;25;7;0;0;5.0
Serooskerke (Walcheren)-G1176;3;0;0;17;490;1;241;7;72;0;0;27.0
Sevenum-G0964;19;0;1671;29;0;0;0;0;0;7;0;83.0
's-Graveland-G0390;24;0;145;150;154;46;273;66;28;4;0;71.0
's-Gravendeel-G0517;69;0;10;827;806;36;523;316;168;0;0;178.0
's-Gravenhage-G0518;9908;0;58752;76155;39004;39751;20117;28966;3344;0;0;19171.0
's-Gravenmoer-G0787;14;0;24;45;373;16;182;20;14;1;0;111.0
's-Gravenpolder-G0666;14;0;82;72;79;2;195;24;249;0;0;66.0
's-Gravenzande-G0519;56;0;182;864;954;84;1211;251;233;0;0;132.0
's-Heer Abtskerke-G0669;6;0;37;20;20;1;123;29;11;0;0;46.0
's-Heer Arendskerke-G0670;50;0;492;223;640;19;831;176;144;0;0;244.0
's-Heerenhoek-G0671;24;0;611;10;17;5;27;5;0;0;0;68.0
's-Hertogenbosch-G0796;1150;0;18281;3362;661;1310;396;261;0;283;0;1597.0
Sijbekarspel-G0447;5;0;316;268;14;56;5;90;1;1;0;67.0
Simpelveld-G0965;178;0;1606;101;0;50;0;0;0;13;0;166.0
Sint Annaland-G0708;54;0;17;149;82;0;86;216;739;0;0;177.0
Sint Geertruid-G0966;10;0;439;7;0;0;0;0;0;0;0;20.0
Sint Jansteen-G0709;105;0;1148;53;15;23;22;33;0;460;0;143.0
Sint Laurens-G1179;9;0;5;59;225;1;177;34;70;0;0;
Sint Maarten-G0445;17;0;146;218;161;150;10;80;0;0;0;39.0
Sint Maartensdijk-G0711;46;0;9;420;115;0;83;224;503;0;0;182.0
Sint Odiliënberg-G0967;33;0;617;17;0;4;0;0;0;5;0;51.0
Sint Pancras-G0446;26;0;29;248;199;92;229;24;4;1;0;82.0
Sint Philipsland-G0712;11;0;3;48;175;0;166;72;694;0;0;129.0
Sint-Michielsgestel-G0845;79;0;2611;81;36;29;24;21;0;15;0;175.0
Sint-Oedenrode-G0846;119;0;3702;51;15;92;35;5;2;1;0;191.0
Sittard-G0968;532;0;6380;705;0;241;0;0;0;888;0;530.0
Sleen-G0130;155;0;16;1069;500;301;342;715;0;0;0;184.0
Slenaken-G0969;4;0;279;2;0;3;0;0;0;2;0;17.0
Sliedrecht-G0610;279;0;64;2625;1234;660;938;724;1315;0;0;755.0
Slochteren-G0040;390;0;64;2355;1490;885;1004;1010;0;192;0;725.0
Sloten (F)-G0089;2;0;57;115;64;2;134;7;6;0;0;15.0
Sluis-G0713;56;0;628;234;45;17;85;98;10;0;0;
Smallingerland-G0090;169;0;85;3305;3270;1614;901;336;6;0;0;711.0
Smilde-G0131;111;0;20;910;1009;121;905;165;0;0;0;221.0
Sneek-G0091;183;0;1206;3060;1902;1149;1496;607;17;0;0;772.0
Snelrewaard-G0341;1;0;169;3;46;0;49;7;17;0;0;14.0
Soest-G0342;423;0;3234;2408;1907;989;874;985;162;0;0;1248.0
Someren-G0847;52;0;3232;24;12;4;44;2;0;4;0;173.0
Sommelsdijk-G1184;68;0;30;497;564;12;67;265;521;0;0;202.0
Son en Breugel-G0848;44;0;1574;38;11;11;10;3;3;3;0;152.0
Spanbroek-G1186;4;0;775;149;9;23;7;19;3;0;0;47.0
Spaubeek-G0970;30;0;657;45;0;14;0;0;0;30;0;33.0
Spijkenisse-G0612;24;0;11;486;291;73;247;188;66;0;0;100.0
Sprang-Capelle-G0849;50;0;151;357;1073;0;969;53;284;0;0;258.0
Stad aan 't Haringvliet-G1188;12;0;3;109;223;0;45;142;142;0;0;60.0
Stad Delden-G0179;50;0;1129;378;117;26;116;104;1;0;0;138.0
Standdaarbuiten-G0850;13;0;820;8;12;2;31;3;0;1;0;43.0
Staphorst-G0180;109;0;95;494;2032;48;312;212;923;0;0;327.0
Stavenisse-G0714;53;0;5;38;172;0;85;52;388;0;0;255.0
Stavoren-G0092;7;0;5;142;133;29;223;13;0;0;0;157.0
Stedum-G0041;12;0;3;297;581;49;313;104;0;6;0;64.0
Steenbergen-G0851;276;0;4439;237;102;22;147;55;26;12;0;325.0
Steenderen-G0280;37;0;905;297;353;15;325;118;8;0;0;100.0
Steenwijk-G0181;178;0;226;2044;701;292;824;284;24;0;0;397.0
Steenwijkerwold-G0182;132;0;645;1182;439;157;1107;146;20;0;0;269.0
Stein-G0971;162;0;1808;94;0;83;0;0;0;238;0;137.0
Stellendam-G1195;65;0;6;170;478;4;108;68;120;0;0;117.0
Stevensweert-G0972;48;0;574;18;0;9;0;0;0;11;0;41.0
Stiphout-G1196;11;0;662;9;3;9;1;8;0;0;0;32.0
Stolwijk-G0615;88;0;13;527;277;33;21;322;224;0;0;131.0
Stoutenburg-G0343;9;0;526;32;64;16;105;12;38;0;0;47.0
Stramproy-G0973;20;0;762;15;0;0;0;0;0;0;0;54.0
Streefkerk-G0616;17;0;1;207;286;17;146;98;192;0;0;82.0
Strijen-G0617;72;0;9;917;531;36;514;471;189;0;0;228.0
Susteren-G0974;142;0;1823;181;0;26;0;0;0;22;0;140.0
Swalmen-G0975;177;0;2244;96;0;24;0;0;0;18;0;186.0
't Zandt-G0054;25;0;3;635;520;57;306;264;0;48;0;110.0
Tegelen-G0976;219;0;5264;250;0;151;0;0;0;36;0;304.0
Ten Boer-G0009;63;0;14;888;1214;194;234;338;0;49;0;232.0
Ter Aar-G0480;32;0;1159;46;244;5;385;31;67;0;0;80.0
Terheijden-G0853;65;0;2051;63;25;8;46;13;7;7;0;112.0
Termunten-G0042;53;0;7;648;540;526;237;169;0;66;0;534.0
Terneuzen-G0715;240;0;1224;1872;701;258;1184;778;539;42;0;722.0
Terschelling-G0093;50;0;26;1110;155;66;416;196;3;0;0;341.0
Teteringen-G0854;30;0;855;25;7;5;5;10;0;15;0;40.0
Texel-G0448;110;0;1173;2169;539;302;300;432;23;5;0;401.0
Tholen-G0716;36;0;132;194;190;0;552;160;520;0;0;196.0
Thorn-G0977;20;0;845;39;0;0;0;0;0;3;0;71.0
Tiel-G0281;207;0;1921;3521;330;313;543;622;53;0;0;598.0
Tienhoven (Ut)-G1202;2;0;6;28;142;4;115;2;7;0;0;21.0
Tienhoven (ZH)-G0618;2;0;2;32;119;0;12;16;15;0;0;13.0
Tietjerksteradeel-G0094;163;0;46;2953;3166;493;2233;534;133;0;0;762.0
Tilburg-G0855;2426;0;38187;5477;944;3362;304;341;116;3393;0;3684.0
Tubbergen-G0183;47;0;4858;147;31;17;287;51;5;0;0;235.0
Tull en 't Waal-G1205;8;0;129;20;26;2;49;0;5;0;0;8.0
Twisk-G0449;13;0;9;277;38;21;18;90;3;10;0;36.0
Ubach over Worms-G0978;244;0;1935;178;0;615;0;0;0;76;0;148.0
Ubbergen-G0282;48;0;2516;67;36;8;39;39;0;0;0;187.0
Uden-G0856;95;0;4014;80;27;0;12;10;0;0;0;213.0
Udenhout-G0857;30;0;1871;29;11;13;1;5;0;151;0;92.0
Uitgeest-G0450;43;0;1159;529;35;492;22;38;1;0;0;76.0
Uithoorn-G0451;26;0;1274;268;172;49;347;44;12;9;0;115.0
Uithuizen-G0043;52;0;347;617;603;342;297;287;0;13;0;143.0
Uithuizermeeden-G0044;27;0;22;529;1073;140;915;209;0;23;0;122.0
Ulestraten-G0979;23;0;527;12;0;5;0;0;0;10;0;17.0
Ulrum-G0045;28;0;1;457;1181;148;234;149;0;9;0;185.0
Urk-G0184;15;0;7;96;1355;24;194;11;170;2;0;331.0
Urmond-G0980;49;0;1013;57;0;9;0;0;0;122;0;81.0
Ursem-G0452;3;0;523;104;6;44;9;11;6;1;0;25.0
Usquert-G0046;23;0;24;648;52;90;64;162;0;4;0;59.0
Utingeradeel-G0095;56;0;18;1345;265;490;422;271;37;0;0;336.0
Utrecht-G0344;2723;0;27115;30391;10985;11154;6933;5372;731;0;0;11404.0
Vaals-G0981;292;0;2911;134;0;711;0;0;0;36;0;229.0
Valburg-G0283;121;0;1293;408;487;0;1058;191;0;0;0;318.0
Valkenburg (ZH)-G0619;8;0;21;39;159;5;304;7;12;0;0;14.0
Valkenburg-Houthem-G0982;248;0;4041;264;0;85;0;0;0;66;0;402.0
Valkenswaard-G0858;228;0;4593;568;116;50;39;34;11;35;0;324.0
Varik-G0284;19;0;133;155;27;6;193;78;22;0;0;58.0
Veen-G0859;28;0;8;64;148;0;129;4;91;0;0;94.0
Veendam-G0047;299;0;504;3460;777;1241;605;893;0;115;0;743.0
Veenendaal-G0345;199;0;202;1645;2185;139;1303;100;794;0;0;406.0
Veere-G0717;17;0;26;133;192;3;150;55;69;0;0;56.0
Veghel-G0860;93;0;4401;103;34;12;17;4;0;11;0;198.0
Veldhoven-G0861;132;0;3692;98;63;29;43;20;4;20;0;233.0
Veldhuizen-G1207;5;0;255;49;31;3;84;4;4;0;0;7.0
Velsen-G0453;520;0;4471;6042;1990;4547;1399;768;66;213;0;1775.0
Venhuizen-G0454;27;0;810;623;32;52;39;90;13;2;0;91.0
Venlo-G0983;955;0;15415;2074;0;729;0;0;0;349;0;1639.0
Venray-G0984;130;0;5909;113;0;0;0;0;0;36;0;384.0
Vessem, Wintelre en Knegsel-G0862;6;0;792;4;2;0;3;1;0;1;0;39.0
Vianen-G0620;42;0;470;637;300;19;348;112;144;0;0;130.0
Vierlingsbeek-G0863;52;0;2211;15;17;0;20;7;0;0;0;142.0
Vierpolders-G0621;7;0;2;165;90;97;57;116;0;0;0;44.0
Vinkeveen en Waverveen-G0346;38;0;1317;60;316;28;367;33;167;0;0;230.0
Vlaardingen-G0622;428;0;2035;7993;3600;1597;4708;855;993;0;0;1540.0
Vlagtwedde-G0048;426;0;1199;2309;949;991;1342;491;0;286;0;751.0
Vledder-G0132;70;0;102;691;174;68;110;167;0;0;0;144.0
Vleuten-G1211;26;0;982;159;212;28;504;42;14;0;0;117.0
Vlieland-G0096;19;0;7;273;18;16;47;11;1;0;0;12.0
Vlijmen-G0864;169;0;3349;70;50;0;38;5;7;0;0;199.0
Vlissingen-G0718;425;0;1087;3847;1277;795;1258;812;177;0;0;749.0
Vlist-G0623;7;0;52;28;81;4;6;28;52;0;0;19.0
Vlodrop-G0985;21;0;690;34;0;11;0;0;0;8;0;38.0
Voerendaal-G0986;113;0;1892;92;0;81;0;0;0;27;0;100.0
Vogelwaarde-G0719;38;0;1831;12;15;2;54;25;6;87;0;189.0
Vollenhove-G0185;44;0;228;508;882;42;754;53;27;0;0;163.0
Voorburg-G0624;371;0;5722;4758;2609;928;1448;2940;114;0;0;1884.0
Voorhout-G0625;17;0;1395;33;50;4;170;7;6;0;0;77.0
Voorschoten-G0626;93;0;1416;858;786;81;662;340;112;0;0;296.0
Voorst-G0285;186;0;2230;2499;408;805;1404;867;112;0;0;683.0
Vorden-G0286;76;0;419;911;457;73;661;259;0;0;0;259.0
Vreeland-G1213;2;0;58;104;97;20;143;38;31;0;0;51.0
Vreeswijk-G0348;16;0;617;395;213;22;286;11;57;0;0;135.0
Vries-G0133;121;0;16;1166;304;539;117;903;0;0;0;444.0
Vriezenveen-G0186;219;0;341;830;470;142;2706;75;210;0;0;449.0
Vrouwenpolder-G1214;12;0;1;15;309;4;106;9;31;0;0;27.0
Vught-G0865;173;0;5650;610;172;144;68;199;0;266;0;677.0
Vuren-G0287;21;0;21;482;203;19;288;29;20;0;0;7.0
Waalre-G0866;91;0;2189;316;49;79;30;45;9;4;0;230.0
Waalwijk-G0867;223;0;4657;448;264;0;526;38;29;0;0;469.0
Waarde-G0721;21;0;12;26;41;8;178;44;200;0;0;85.0
Waardenburg-G0288;35;0;41;767;44;20;261;49;214;0;0;
Waarder-G1217;6;0;18;24;204;4;100;8;101;0;0;53.0
Waddinxveen-G0627;114;0;540;938;803;103;507;245;891;0;0;200.0
Wadenoijen-G1218;35;0;173;434;66;9;192;249;72;0;0;111.0
Wageningen-G0289;287;0;1475;2674;839;808;1574;652;349;0;0;941.0
Wamel-G0290;226;0;2813;0;22;0;193;22;8;0;0;184.0
Wanneperveen-G0187;24;0;18;192;164;6;424;63;12;0;0;69.0
Wanroij-G0868;4;0;1353;5;0;0;2;3;0;0;0;63.0
Wanssum-G0987;0;0;476;3;0;0;0;0;0;0;0;17.0
Warder-G0455;5;0;4;192;8;35;8;38;0;0;0;21.0
Warffum-G0049;41;0;9;601;402;78;63;232;0;6;0;107.0
Warmenhuizen-G0456;7;0;792;182;87;126;2;26;1;0;0;42.0
Warmond-G0628;19;0;1067;202;80;11;131;102;20;0;0;127.0
Warnsveld-G0291;71;0;316;890;378;106;504;223;0;0;0;771.0
Waspik-G0869;51;0;1208;44;129;0;122;8;14;0;0;124.0
Wassenaar-G0629;211;0;3896;1889;1433;312;1070;2563;119;0;0;1250.0
Wateringen-G0630;34;0;1933;90;175;13;408;23;12;0;0;51.0
Waterlandkerkje-G0722;19;0;114;41;25;6;45;37;28;0;0;31.0
Wedde-G1220;116;0;33;944;105;450;200;271;0;23;0;254.0
Weerselo-G0188;33;0;3385;112;8;11;48;46;2;0;0;141.0
Weert-G0988;350;0;7845;309;0;0;0;0;0;120;0;403.0
Weesp-G0457;164;0;822;1296;567;456;742;148;21;69;0;178.0
Weesperkarspel-G1221;34;0;575;282;275;114;503;14;12;13;0;134.0
Wehl-G0292;51;0;1592;32;23;0;54;9;0;0;0;111.0
Wemeldinge-G0723;44;0;30;238;327;17;468;135;82;0;0;134.0
Werkendam-G0870;19;0;22;449;432;0;409;64;225;0;0;425.0
Werkhoven-G1223;7;0;377;17;16;3;64;4;53;0;0;28.0
Wervershoof-G0459;13;0;1746;54;19;28;16;4;1;0;0;71.0
Wessem-G0989;27;0;538;32;0;0;0;0;0;1;0;64.0
Westbroek-G1224;14;0;77;78;149;9;290;1;16;0;0;54.0
Westdongeradeel-G0097;52;0;23;983;1453;176;1218;223;38;0;0;280.0
Westdorpe-G0724;73;0;788;175;10;32;27;33;2;60;0;54.0
Westerbork-G0134;83;0;36;1507;623;82;328;426;0;0;0;63.0
Westerhoven-G0871;4;0;370;8;1;0;0;3;1;3;0;19.0
Westervoort-G0293;25;0;885;120;82;0;127;11;0;0;0;77.0
Westkapelle-G0726;36;0;5;343;123;24;236;81;241;0;0;73.0
Westmaas-G0631;8;0;3;86;174;6;145;71;40;0;0;24.0
Weststellingwerf-G0098;380;0;1032;4903;810;1712;1379;626;17;0;0;852.0
Westwoud-G0460;4;0;431;172;6;18;9;38;3;1;0;41.0
Westzaan-G0461;48;0;46;580;270;712;67;66;34;9;0;145.0
Wierden-G0189;150;0;1953;976;1328;108;2135;114;352;0;0;386.0
Wieringen-G0462;89;0;319;1577;406;832;146;350;8;2;0;378.0
Wieringermeer-G0463;10;0;88;173;138;23;58;63;1;1;0;
Wieringerwaard-G0464;31;0;44;325;82;174;14;159;2;0;0;94.0
Wijchen-G0296;162;0;3579;0;38;0;37;17;8;0;0;206.0
Wijdenes-G0469;23;0;24;368;26;55;10;85;6;3;0;42.0
Wijdewormer-G0470;7;0;154;113;20;44;12;45;5;2;0;21.0
Wijhe-G0190;58;0;784;826;236;47;714;196;25;0;0;217.0
Wijk bij Duurstede-G0352;40;0;1016;244;57;19;355;47;34;0;0;128.0
Wijk en Aalburg-G0876;48;0;14;242;692;0;93;22;163;0;0;206.0
Wijlre-G0991;39;0;1088;27;0;8;0;0;0;11;0;73.0
Wijnandsrade-G0992;19;0;332;8;0;4;0;0;0;6;0;18.0
Wijngaarden-G0634;3;0;0;2;96;0;0;13;84;0;0;18.0
Wildervank-G1225;200;0;170;2216;923;721;554;674;0;26;0;452.0
Willemstad-G0872;13;0;88;129;222;8;466;34;11;5;0;94.0
Willeskop-G0349;9;0;229;37;42;9;81;10;19;0;0;18.0
Wilnis-G0350;7;0;506;27;366;10;263;10;72;0;0;103.0
Winkel-G0465;25;0;48;602;60;347;17;182;3;1;0;111.0
Winschoten-G0052;318;0;352;3245;1103;1771;611;1125;0;29;0;733.0
Winsum-G0053;11;0;5;533;793;22;104;197;0;8;0;97.0
Winterswijk-G0294;324;0;1474;5749;1145;375;469;1768;17;0;0;452.0
Wisch-G0295;253;0;1900;1434;1343;99;816;401;4;0;0;478.0
Wissenkerke-G0727;44;0;9;209;720;0;796;92;129;0;0;232.0
Wittem-G0990;128;0;2210;48;0;28;0;0;0;16;0;118.0
Woensdrecht-G0873;157;0;1803;90;38;11;23;8;4;5;0;29.0
Woerden-G0632;79;0;1447;969;845;82;1149;237;285;0;0;331.0
Wognum-G0466;15;0;869;214;12;45;16;28;7;1;0;45.0
Wolphaartsdijk-G0728;33;0;50;113;309;10;662;136;246;0;0;170.0
Wonseradeel-G0099;113;0;599;1760;1854;378;2019;253;36;0;0;555.0
Workum-G0100;20;0;484;547;389;38;618;45;3;0;0;122.0
Wormer-G0467;29;0;809;868;305;697;58;43;20;47;0;127.0
Wormerveer-G0468;104;0;823;2027;547;2268;64;199;16;42;0;317.0
Woubrugge-G0633;17;0;552;84;227;15;256;90;69;0;0;62.0
Woudenberg-G0351;50;0;38;592;416;40;566;202;213;0;0;197.0
Woudrichem-G0874;28;0;12;596;261;0;173;34;21;0;0;104.0
Wouw-G0875;162;0;2440;68;21;19;23;7;9;5;0;178.0
Wymbritseradeel-G0101;54;0;739;848;1517;80;2723;98;5;0;0;485.0
Yerseke-G0729;72;0;110;485;430;93;620;162;494;0;0;406.0
Zaamslag-G0731;47;0;34;335;683;5;706;139;138;4;0;150.0
Zaandam-G0471;479;0;2931;8138;2785;6842;827;949;121;97;0;1595.0
Zaandijk-G0472;48;0;147;890;274;854;68;134;2;35;0;133.0
Zaltbommel-G0297;730;0;484;0;241;0;313;243;49;0;0;725.0
Zandvoort-G0473;163;0;774;1571;178;564;592;396;19;81;0;350.0
Zeeland-G0877;10;0;1484;4;4;0;0;0;0;0;0;85.0
Zegveld-G0354;3;0;119;3;211;1;195;4;63;0;0;48.0
Zeist-G0355;591;0;2693;5985;4082;880;2680;2401;864;0;0;2327.0
Zelhem-G0298;200;0;427;685;1370;29;564;241;86;0;0;545.0
Zevenaar-G0299;66;0;3139;265;92;0;169;45;0;0;0;214.0
Zevenbergen-G0878;172;0;2982;60;215;33;689;59;20;6;0;325.0
Zevenhoven-G0635;5;0;282;54;78;4;82;10;12;0;0;33.0
Zevenhuizen-G0636;43;0;31;534;258;31;312;250;153;0;0;120.0
Zierikzee-G0732;91;0;426;1195;764;0;473;632;102;0;0;403.0
Zijpe-G0476;68;0;858;1298;79;437;39;346;9;3;0;271.0
Zoelen-G0300;63;0;27;643;79;28;263;242;25;0;0;139.0
Zoetermeer-G0637;31;0;896;509;374;28;415;126;417;0;0;258.0
Zoeterwoude-G0638;32;0;1696;112;183;18;249;49;34;0;0;146.0
Zonnemaire-G1236;12;0;8;197;90;0;66;93;5;0;0;40.0
Zoutelande-G1237;14;0;3;26;83;1;192;15;119;0;0;45.0
Zuid- en Noord-Schermer-G0474;5;0;56;250;32;95;20;43;17;3;0;70.0
Zuid-Beijerland-G0639;32;0;1;275;386;6;289;135;234;0;0;79.0
Zuidbroek-G1240;80;0;19;546;186;465;55;172;0;4;0;128.0
Zuiddorpe-G0734;13;0;226;12;4;2;6;9;1;266;0;24.0
Zuidhorn-G0056;22;0;27;633;724;104;208;296;0;3;0;154.0
Zuidland-G0640;20;0;2;110;627;10;144;106;26;0;0;62.0
Zuidlaren-G0136;76;0;27;1131;656;248;135;463;0;0;0;213.0
Zuidwolde-G0137;128;0;48;799;892;63;822;529;0;0;0;222.0
Zuidzande-G0735;46;0;22;198;44;27;47;182;8;0;0;52.0
Zuilen-G1242;261;0;2840;4337;1072;1396;1082;137;138;0;0;887.0
Zuilichem-G1243;121;0;2;0;155;0;38;19;164;0;0;133.0
Zundert-G0879;404;0;3314;51;60;27;76;27;0;45;0;273.0
Zutphen-G0301;329;0;1538;4751;888;2374;1238;932;0;0;0;840.0
Zwaag-G0475;12;0;680;248;11;25;2;44;6;2;0;69.0
Zwammerdam-G1244;20;0;363;177;275;19;268;85;102;0;0;104.0
Zwartewaal-G0641;3;0;1;140;92;14;16;68;8;0;0;10.0
Zwartsluis-G0192;25;0;19;267;898;31;356;72;39;0;0;148.0
Zweeloo-G0138;22;0;5;436;276;12;65;342;0;0;0;116.0
Zwijndrecht-G0642;197;0;257;1500;2155;549;1644;181;522;0;0;571.0
Zwolle-G0193;786;0;4504;9487;3446;2666;2500;1425;302;0;0;1760.0
Zwollerkerspel-G1245;129;0;717;948;1168;152;1223;300;201;0;0;423.0
