RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Boxmeer-G0756;98;0;3079;108;24;0;21;15;0;0;0;159.0
Boxtel-G0757;244;0;5042;355;73;57;40;51;11;123;0;509.0
Brakel-G0212;184;0;20;0;142;0;197;36;320;0;0;197.0
Brandwijk-G0500;10;0;0;53;256;5;24;61;93;0;0;60.0
Breda-G0758;2124;0;25925;7640;1622;1194;1152;1376;0;910;0;2851.0
Breskens-G0655;63;0;74;373;79;84;269;258;9;0;0;70.0
Breukelen-Nijenrode-G1028;16;0;454;210;381;43;561;59;115;0;0;142.0
Breukelen-Sint Pieters-G1029;10;0;106;99;121;16;169;23;23;0;0;63.0
Brielle-G0501;64;0;134;760;243;144;397;297;9;0;0;125.0
Broek in Waterland-G0380;26;0;30;393;95;53;219;114;4;3;0;72.0
Broekhuizen-G0898;5;0;473;14;0;0;0;0;0;4;0;13.0
Brouwershaven-G0656;18;0;1;341;159;0;23;140;17;0;0;59.0
Bruinisse-G0657;35;0;6;237;142;0;201;264;243;0;0;146.0
Brummen-G0213;237;0;445;2869;384;290;1128;657;13;0;0;534.0
Brunssum-G0899;479;0;4459;1042;0;1223;0;0;0;590;0;486.0
Budel-G0759;55;0;2317;43;15;8;11;5;0;5;0;161.0
Bunde-G0900;65;0;696;56;0;12;0;0;0;43;0;31.0
Bunnik-G0312;27;0;606;189;143;31;183;37;37;0;0;59.0
Bunschoten-G0313;24;0;13;19;2790;2;89;6;13;0;0;181.0
Buren-G0214;18;0;68;424;86;13;211;190;83;0;0;77.0
Burgh-G1035;15;0;4;140;45;0;121;85;16;0;0;47.0
Bussum-G0381;626;0;4845;4738;1899;1447;1225;2163;154;142;0;2033.0
Buurmalsen-G0215;30;0;58;355;101;16;379;122;101;0;0;109.0
Cadier en Keer-G0901;41;0;520;18;0;4;0;0;0;1;0;48.0
Cadzand-G0658;27;0;12;236;20;22;119;134;5;0;0;58.0
Callantsoog-G0382;16;0;63;224;28;135;2;82;2;0;0;37.0
Capelle aan den IJssel-G0502;144;0;48;1267;579;92;489;292;740;0;0;332.0
Castricum-G0383;70;0;2119;782;152;372;77;84;11;4;0;34.0
Chaam-G0760;17;0;1002;12;21;1;56;1;0;20;0;36.0
Clinge-G0659;90;0;1154;40;3;13;4;20;0;251;0;150.0
Coevorden-G0109;119;0;851;1412;514;74;519;365;0;0;0;340.0
Cothen-G0314;5;0;444;22;6;1;68;7;19;0;0;26.0
