RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Partij Economisch Appel;Liberale Staatspartij;"Liberale Unie ""Veilig Verkeer""";Nieuw-Democratische Partij;CNVP;Lijst Grol;Volksreferendum;@abs
Batenburg-G0204;7;;229.0;13;3.0;3.0;32.0;;;1.0;25;;2.0;;;;;;;15.0
Bathmen-G0144;27;;34.0;446;424.0;11.0;303.0;12.0;6.0;4.0;147;2.0;6.0;7.0;1.0;1.0;;;;65.0
Bedum-G0005;48;;226.0;1027;347.0;1770.0;208.0;36.0;15.0;24.0;80;484.0;6.0;8.0;5.0;2.0;;;;87.0
Beegden-G0887;17;;548.0;19;2.0;;1.0;;1.0;;17;;4.0;;1.0;;;;;13.0
Beek-G0888;222;;4392.0;478;120.0;27.0;47.0;21.0;26.0;3.0;155;8.0;41.0;7.0;19.0;3.0;;;;175.0
Beek en Donk-G0746;80;;2410.0;154;37.0;9.0;2.0;19.0;5.0;3.0;43;3.0;17.0;3.0;5.0;4.0;;;;75.0
Beemster-G0370;43;;1085.0;1273;634.0;157.0;134.0;120.0;72.0;10.0;170;;12.0;10.0;6.0;2.0;;;;149.0
Beers-G0747;15;;1036.0;25;3.0;1.0;2.0;1.0;;1.0;21;1.0;;;1.0;;;;;14.0
Beerta-G0006;106;;28.0;716;211.0;31.0;97.0;68.0;795.0;21.0;39;1.0;3.0;9.0;3.0;1.0;;;;112.0
Beesd-G0205;21;;687.0;377;75.0;41.0;311.0;16.0;8.0;82.0;50;6.0;1.0;8.0;5.0;;2.0;;;35.0
Beesel-G0889;129;;3698.0;166;41.0;11.0;10.0;15.0;14.0;2.0;99;2.0;31.0;4.0;11.0;7.0;;;;93.0
Beets-G0371;5;;8.0;141;68.0;15.0;10.0;10.0;5.0;2.0;28;1.0;;1.0;;2.0;;;;10.0
Beilen-G0107;159;;93.0;2325;833.0;1184.0;1025.0;54.0;40.0;8.0;273;125.0;9.0;6.0;3.0;3.0;;;;292.0
Belfeld-G0890;64;;1593.0;70;12.0;5.0;4.0;;2.0;;16;1.0;9.0;4.0;4.0;2.0;;;;35.0
Bellingwolde-G1019;108;;52.0;1726;393.0;145.0;253.0;69.0;466.0;15.0;97;6.0;8.0;8.0;4.0;9.0;;;;196.0
Bemelen-G0891;3;;137.0;3;3.0;;1.0;;;;15;;2.0;;;1.0;;;;0.0
Bemmel-G0206;94;;4517.0;288;65.0;27.0;206.0;15.0;10.0;13.0;170;4.0;13.0;4.0;4.0;6.0;3.0;;;165.0
Bennebroek-G0372;41;;788.0;330;615.0;361.0;213.0;52.0;13.0;28.0;36;18.0;26.0;22.0;5.0;1.0;;;;582.0
Benschop-G0309;8;;396.0;98;53.0;235.0;191.0;3.0;1.0;151.0;30;1.0;2.0;4.0;5.0;;;;;49.0
Benthuizen-G0490;14;;12.0;138;41.0;81.0;90.0;3.0;1.0;304.0;8;1.0;1.0;1.0;1.0;1.0;2.0;;;33.0
Berg en Terblijt-G0892;58;;1203.0;78;14.0;4.0;14.0;7.0;8.0;1.0;84;;9.0;5.0;4.0;1.0;;;;
Bergambacht-G0491;33;;25.0;877;337.0;343.0;172.0;29.0;41.0;470.0;92;2.0;9.0;6.0;1.0;1.0;;;;112.0
Bergen-G0373;91;;2049.0;1401;1331.0;237.0;193.0;326.0;89.0;12.0;150;3.0;36.0;37.0;24.0;13.0;;;;338.0
Bergen-G0893;129;;4540.0;221;49.0;10.0;15.0;11.0;15.0;4.0;193;4.0;18.0;9.0;6.0;6.0;;;;125.0
Bergen op Zoom-G0748;890;;11773.0;3237;1243.0;551.0;424.0;95.0;162.0;46.0;381;14.0;179.0;52.0;97.0;52.0;;;;890.0
Bergeyk-G0749;42;;2720.0;133;67.0;12.0;44.0;26.0;1.0;;78;1.0;15.0;2.0;4.0;3.0;;;;69.0
Bergh-G0207;243;;6296.0;719;159.0;39.0;123.0;22.0;21.0;16.0;314;5.0;33.0;16.0;12.0;5.0;7.0;;;152.0
Bergharen-G0208;9;;847.0;52;4.0;8.0;72.0;1.0;1.0;2.0;40;1.0;;2.0;3.0;;;;;26.0
Berghem-G0750;62;;1491.0;207;16.0;3.0;6.0;7.0;3.0;;43;;17.0;2.0;4.0;3.0;;;;
Bergschenhoek-G0492;35;;518.0;382;173.0;193.0;601.0;22.0;14.0;96.0;38;48.0;10.0;;2.0;3.0;;;;70.0
Berkel en Rodenrijs-G0493;30;;1894.0;254;349.0;498.0;768.0;28.0;5.0;53.0;41;368.0;9.0;12.0;2.0;4.0;1.0;;;115.0
Berkel-Enschot-G0751;41;;1711.0;90;52.0;8.0;8.0;10.0;1.0;2.0;32;;3.0;5.0;2.0;2.0;;;;21.0
Berkenwoude-G0494;9;;4.0;99;175.0;65.0;26.0;12.0;;115.0;28;1.0;1.0;;;;;;;23.0
Berkhout-G0374;12;;1023.0;437;135.0;20.0;20.0;56.0;13.0;1.0;36;;7.0;4.0;1.0;1.0;;;;28.0
Berlicum-G0752;60;;2325.0;166;26.0;11.0;17.0;9.0;6.0;2.0;74;;16.0;5.0;3.0;4.0;;;;32.0
Best-G0753;160;;4491.0;538;170.0;39.0;73.0;40.0;12.0;7.0;69;2.0;30.0;8.0;8.0;13.0;;;;153.0
Beuningen-G0209;82;;1876.0;270;72.0;16.0;75.0;8.0;11.0;2.0;110;;9.0;5.0;4.0;7.0;1.0;;;102.0
Beusichem-G0210;13;;50.0;496;169.0;52.0;95.0;9.0;11.0;70.0;87;;2.0;6.0;2.0;;1.0;;;27.0
Beverwijk-G0375;426;;8003.0;5849;1841.0;1131.0;1035.0;1058.0;970.0;47.0;326;91.0;150.0;51.0;77.0;35.0;;5.0;;898.0
Bierum-G0008;38;;15.0;521;182.0;785.0;637.0;14.0;14.0;14.0;45;8.0;5.0;6.0;2.0;4.0;;;;98.0
Biervliet-G0652;34;;354.0;350;117.0;33.0;107.0;11.0;1.0;25.0;47;6.0;1.0;3.0;1.0;;;;;87.0
Biggekerke-G1022;5;;3.0;34;17.0;132.0;156.0;3.0;;92.0;7;2.0;3.0;2.0;1.0;;;;;24.0
Bingelrade-G0894;7;;347.0;20;;4.0;;1.0;1.0;;14;;;;2.0;;;;;2.0
Bladel en Netersel-G0754;23;;2130.0;71;19.0;6.0;35.0;11.0;2.0;1.0;55;1.0;3.0;;6.0;;;;;53.0
Blankenham-G0145;1;;18.0;90;66.0;15.0;67.0;1.0;;;18;;;;1.0;;;;;10.0
Blaricum-G0376;69;;1006.0;476;934.0;126.0;122.0;227.0;38.0;21.0;147;6.0;17.0;80.0;12.0;1.0;;13.0;;454.0
Bleiswijk-G0495;18;;542.0;248;165.0;243.0;354.0;3.0;3.0;182.0;28;3.0;4.0;6.0;;;;;;60.0
Bleskensgraaf en Hofwegen-G0496;2;;1.0;109;38.0;247.0;54.0;5.0;4.0;244.0;24;5.0;;2.0;;;1.0;;;43.0
Bloemendaal-G0377;157;;2762.0;1811;3585.0;836.0;752.0;318.0;55.0;58.0;118;30.0;138.0;199.0;46.0;20.0;;3.0;;1723.0
Blokker-G0378;4;;1003.0;164;143.0;8.0;10.0;34.0;3.0;2.0;38;;5.0;4.0;;;;;;29.0
Blokzijl-G0146;19;;8.0;290;58.0;147.0;117.0;17.0;7.0;13.0;35;19.0;1.0;;1.0;;;;;29.0
Bocholtz-G0895;154;;1756.0;261;19.0;5.0;9.0;12.0;28.0;2.0;44;1.0;12.0;4.0;1.0;3.0;;;;73.0
Bodegraven-G0497;87;;1013.0;776;359.0;1173.0;697.0;43.0;22.0;336.0;94;27.0;13.0;10.0;8.0;;;;;180.0
Boekel-G0755;49;;2709.0;90;38.0;1.0;9.0;3.0;6.0;3.0;47;2.0;8.0;2.0;5.0;4.0;;;;146.0
Bolsward-G0064;84;;1514.0;1132;185.0;629.0;669.0;114.0;27.0;9.0;21;4.0;6.0;3.0;;2.0;;;;178.0
Borculo-G0211;73;;660.0;1563;861.0;289.0;469.0;82.0;17.0;5.0;150;8.0;14.0;16.0;10.0;6.0;2.0;;;138.0
Borger-G0108;146;;132.0;2927;884.0;613.0;708.0;69.0;112.0;9.0;265;35.0;7.0;7.0;4.0;7.0;;;;215.0
Borgharen-G0896;56;;537.0;81;19.0;2.0;3.0;3.0;3.0;;18;;10.0;2.0;;1.0;;;;33.0
Born-G0897;121;;1987.0;162;16.0;3.0;7.0;3.0;9.0;1.0;50;5.0;19.0;2.0;4.0;4.0;;;;63.0
Borne-G0147;87;;4300.0;1693;261.0;244.0;508.0;99.0;110.0;13.0;218;8.0;16.0;9.0;9.0;4.0;;;;142.0
Borsele-G0654;9;;109.0;141;46.0;71.0;145.0;7.0;;246.0;47;4.0;;2.0;;1.0;;;;60.0
Boskoop-G0499;74;;1189.0;939;676.0;1031.0;744.0;65.0;27.0;231.0;49;6.0;22.0;14.0;8.0;3.0;2.0;;;186.0
Bovenkarspel-G0379;15;;1358.0;192;87.0;21.0;16.0;26.0;5.0;1.0;35;;2.0;1.0;;3.0;;;;58.0
Boxmeer-G0756;119;;3920.0;444;83.0;15.0;48.0;12.0;7.0;1.0;69;3.0;19.0;10.0;4.0;8.0;;;;160.0
Boxtel-G0757;290;;6541.0;884;222.0;37.0;69.0;51.0;30.0;20.0;200;8.0;79.0;13.0;27.0;15.0;;;;321.0
Brakel-G0212;81;;13.0;876;63.0;386.0;286.0;21.0;16.0;794.0;140;7.0;1.0;3.0;3.0;1.0;6.0;;;279.0
Brandwijk-G0500;5;;1.0;72;61.0;174.0;41.0;5.0;;114.0;38;2.0;;1.0;;1.0;;;;43.0
Breda-G0758;1985;;35297.0;11872;5021.0;1272.0;1492.0;509.0;435.0;167.0;809;83.0;1277.0;172.0;302.0;146.0;;;;2373.0
Breskens-G0655;88;;223.0;940;311.0;89.0;326.0;19.0;45.0;18.0;37;1.0;19.0;7.0;4.0;2.0;3.0;;;167.0
Breukelen-G0311;67;;776.0;653;387.0;512.0;716.0;32.0;15.0;189.0;71;67.0;15.0;5.0;7.0;4.0;;;;119.0
Brielle-G0501;50;;254.0;975;559.0;288.0;420.0;81.0;20.0;22.0;21;3.0;11.0;14.0;;3.0;1.0;;;141.0
Broek in Waterland-G0380;31;;64.0;363;240.0;63.0;177.0;52.0;16.0;4.0;67;1.0;4.0;5.0;4.0;6.0;;;;48.0
Broekhuizen-G0898;10;;592.0;19;5.0;;1.0;;;;9;;2.0;;;1.0;;;;6.0
Brouwershaven-G0656;62;;23.0;956;419.0;288.0;215.0;26.0;4.0;60.0;56;42.0;6.0;6.0;3.0;7.0;1.0;;;88.0
Bruinisse-G0657;31;;12.0;347;167.0;151.0;235.0;17.0;2.0;311.0;3;1.0;3.0;3.0;4.0;2.0;3.0;;;172.0
Brummen-G0213;161;;655.0;4205;967.0;370.0;1333.0;110.0;73.0;52.0;315;12.0;17.0;24.0;16.0;6.0;;;;188.0
Brunssum-G0899;498;;7970.0;2735;143.0;314.0;249.0;70.0;377.0;7.0;158;62.0;65.0;9.0;43.0;12.0;;;;405.0
Budel-G0759;124;;3327.0;272;44.0;16.0;23.0;7.0;10.0;3.0;116;1.0;18.0;1.0;8.0;4.0;;;;128.0
Bunde-G0900;61;;1158.0;154;42.0;7.0;3.0;5.0;11.0;1.0;47;3.0;11.0;3.0;5.0;3.0;;;;60.0
Bunnik-G0312;24;;1201.0;384;320.0;204.0;270.0;25.0;3.0;55.0;37;3.0;10.0;3.0;3.0;3.0;;;;53.0
Bunschoten-G0313;52;;29.0;227;88.0;1790.0;99.0;11.0;7.0;183.0;27;1830.0;11.0;2.0;2.0;12.0;2.0;;;145.0
Buren-G0214;21;;56.0;624;101.0;76.0;255.0;10.0;5.0;79.0;70;1.0;8.0;11.0;2.0;;1.0;;;49.0
Bussum-G0381;559;;6219.0;4764;5166.0;2004.0;1702.0;807.0;382.0;289.0;515;105.0;252.0;220.0;88.0;69.0;;29.0;;1441.0
Buurmalsen-G0215;20;;39.0;504;114.0;120.0;297.0;14.0;;139.0;40;1.0;;8.0;2.0;1.0;2.0;;;61.0
Cadier en Keer-G0901;30;;636.0;36;13.0;2.0;;1.0;7.0;3.0;82;;9.0;1.0;;2.0;;;;29.0
Cadzand-G0658;16;;15.0;280;148.0;32.0;102.0;13.0;1.0;4.0;25;;15.0;4.0;;;1.0;;;15.0
Callantsoog-G0382;14;;120.0;323;184.0;27.0;11.0;45.0;22.0;3.0;39;1.0;3.0;5.0;1.0;2.0;;;;26.0
Capelle aan den IJssel-G0502;145;;343.0;2578;801.0;656.0;1026.0;180.0;50.0;1091.0;54;157.0;17.0;20.0;12.0;9.0;4.0;;;320.0
Castricum-G0383;87;;3346.0;1480;855.0;342.0;198.0;234.0;79.0;17.0;115;9.0;35.0;28.0;28.0;6.0;;;;781.0
Chaam-G0760;28;;1126.0;65;14.0;13.0;68.0;5.0;3.0;3.0;62;1.0;9.0;1.0;3.0;;;;;
Clinge-G0659;89;;1336.0;167;18.0;9.0;13.0;4.0;10.0;2.0;87;4.0;12.0;4.0;4.0;7.0;2.0;;;76.0
Coevorden-G0109;70;;1427.0;1937;504.0;645.0;659.0;52.0;15.0;21.0;129;17.0;10.0;10.0;4.0;7.0;;;;232.0
Cothen-G0314;9;;548.0;32;13.0;9.0;55.0;5.0;;14.0;11;;1.0;2.0;;;;;;11.0
Cuijk en Sint Agatha-G0761;95;;3545.0;346;97.0;21.0;20.0;12.0;10.0;;89;3.0;36.0;7.0;10.0;5.0;;;;121.0
Culemborg-G0216;130;;2668.0;2371;677.0;324.0;352.0;181.0;112.0;150.0;179;39.0;27.0;15.0;17.0;8.0;5.0;;;194.0
Dalen-G0110;73;;244.0;968;728.0;110.0;188.0;14.0;4.0;2.0;163;3.0;2.0;6.0;3.0;5.0;;;;84.0
Dalfsen-G0148;38;;1687.0;632;239.0;348.0;1828.0;31.0;8.0;49.0;379;315.0;5.0;8.0;2.0;1.0;;;;145.0
Dantumadeel-G0065;151;;90.0;2129;411.0;2558.0;1520.0;131.0;67.0;679.0;226;206.0;7.0;7.0;1.0;5.0;;;;592.0
De Bilt-G0310;289;;2566.0;3550;3755.0;1656.0;1535.0;473.0;60.0;379.0;137;81.0;94.0;137.0;18.0;24.0;5.0;;;909.0
De Lier-G0552;23;;487.0;278;182.0;816.0;772.0;13.0;2.0;44.0;27;31.0;6.0;;1.0;;;;;65.0
De Rijp-G0440;13;;447.0;214;69.0;6.0;5.0;35.0;41.0;6.0;18;;;3.0;;;;;;11.0
De Wijk-G0135;50;;17.0;764;552.0;378.0;253.0;16.0;15.0;9.0;197;16.0;12.0;2.0;1.0;5.0;;;;141.0
Deil-G0217;27;;234.0;491;122.0;35.0;305.0;12.0;3.0;62.0;100;1.0;2.0;11.0;5.0;4.0;2.0;;;62.0
Delft-G0503;965;;11420.0;12892;4153.0;3662.0;2928.0;1409.0;1214.0;1058.0;448;160.0;214.0;159.0;19.0;60.0;29.0;;;2546.0
Delfzijl-G0010;285;;408.0;3783;1164.0;1241.0;1082.0;363.0;502.0;32.0;117;105.0;37.0;19.0;8.0;25.0;;;;816.0
Den Bommel-G1024;14;;240.0;202;42.0;212.0;150.0;9.0;5.0;101.0;43;;;;1.0;1.0;1.0;;;60.0
Den Dungen-G0768;27;;1338.0;98;10.0;2.0;1.0;1.0;2.0;2.0;53;;;;3.0;2.0;;;;47.0
Den Ham-G0159;86;;393.0;1096;129.0;1406.0;1949.0;48.0;29.0;46.0;216;150.0;4.0;2.0;5.0;2.0;;;;137.0
Den Helder-G0400;510;;4634.0;9632;4567.0;2781.0;1521.0;900.0;218.0;187.0;358;247.0;112.0;65.0;82.0;52.0;;;;1856.0
Denekamp-G0149;45;;3858.0;306;85.0;48.0;269.0;14.0;37.0;6.0;174;4.0;9.0;3.0;8.0;8.0;;;;135.0
Deurne-G0762;248;;8283.0;416;106.0;48.0;162.0;32.0;27.0;9.0;268;4.0;55.0;6.0;25.0;19.0;;;;234.0
Deventer-G0150;680;;6703.0;13317;3809.0;1388.0;1952.0;1530.0;1861.0;150.0;436;135.0;401.0;78.0;74.0;61.0;;;;1742.0
Didam-G0218;135;;4221.0;246;35.0;21.0;63.0;19.0;11.0;4.0;203;5.0;18.0;8.0;9.0;4.0;4.0;;;174.0
Diemen-G0384;81;;1223.0;1241;714.0;389.0;501.0;207.0;115.0;38.0;94;5.0;33.0;26.0;31.0;24.0;;;;212.0
Diepenheim-G0151;27;;123.0;640;262.0;36.0;126.0;15.0;2.0;7.0;71;5.0;15.0;4.0;1.0;1.0;;;;72.0
Diepenveen-G0152;78;;1598.0;1177;856.0;206.0;582.0;84.0;25.0;14.0;232;8.0;36.0;15.0;2.0;4.0;;;;185.0
Diessen-G0763;10;;1113.0;30;9.0;1.0;5.0;1.0;1.0;;33;2.0;2.0;;1.0;;;;;7.0
Diever-G0111;38;;39.0;757;377.0;335.0;81.0;30.0;1.0;;106;14.0;7.0;2.0;2.0;1.0;;;;40.0
Dinteloord en Prinsenland-G0764;43;;889.0;438;107.0;256.0;355.0;7.0;19.0;232.0;35;7.0;10.0;4.0;2.0;2.0;;;;126.0
Dinther-G1044;16;;1359.0;37;9.0;1.0;26.0;2.0;;;17;1.0;1.0;1.0;;1.0;;;;30.0
Dinxperlo-G0219;88;;551.0;522;137.0;333.0;1050.0;8.0;5.0;3.0;63;1.0;6.0;7.0;5.0;1.0;3.0;;;87.0
Dirksland-G0504;29;;16.0;471;177.0;420.0;55.0;18.0;2.0;451.0;90;8.0;;;1.0;1.0;1.0;;;120.0
Dodewaard-G0220;28;;38.0;639;96.0;224.0;271.0;9.0;5.0;168.0;63;2.0;5.0;1.0;6.0;4.0;2.0;;;45.0
Doesburg-G0221;81;;1456.0;1558;255.0;202.0;413.0;53.0;33.0;20.0;56;17.0;17.0;5.0;4.0;2.0;2.0;;;143.0
Doetinchem-G0222;287;;5130.0;4782;1316.0;631.0;1483.0;167.0;79.0;144.0;309;20.0;59.0;27.0;23.0;17.0;10.0;;;686.0
Dokkum-G0066;48;;150.0;1077;247.0;1861.0;647.0;59.0;8.0;65.0;22;40.0;19.0;2.0;;2.0;;;;111.0
Domburg-G0660;7;;28.0;307;105.0;85.0;179.0;15.0;5.0;125.0;10;1.0;5.0;2.0;1.0;3.0;;;;6.0
Dongen-G0766;225;;6056.0;421;154.0;56.0;116.0;28.0;19.0;10.0;123;2.0;62.0;9.0;17.0;12.0;;;;148.0
Doniawerstal-G0067;30;;801.0;743;147.0;469.0;722.0;33.0;8.0;30.0;142;2.0;5.0;4.0;3.0;4.0;;;;107.0
Doorn-G0315;89;;477.0;1194;1171.0;759.0;872.0;92.0;16.0;218.0;69;35.0;42.0;38.0;8.0;3.0;47.0;;;306.0
Doornspijk-G0223;70;;141.0;747;237.0;673.0;724.0;38.0;17.0;1205.0;321;35.0;19.0;29.0;9.0;3.0;;;;304.0
Dordrecht-G0505;1203;;5859.0;20007;5238.0;5231.0;4321.0;1908.0;973.0;1289.0;333;154.0;325.0;159.0;25.0;86.0;64.0;;;3734.0
Dreumel-G0224;43;;1272.0;117;19.0;7.0;39.0;6.0;3.0;2.0;72;1.0;5.0;2.0;2.0;1.0;;;;36.0
Driebergen-Rijsenburg-G0316;114;;1199.0;1953;1410.0;1228.0;1070.0;194.0;25.0;428.0;135;68.0;50.0;59.0;14.0;5.0;9.0;;;522.0
Driewegen-G0661;5;;48.0;82;40.0;54.0;89.0;2.0;;9.0;11;;;1.0;2.0;2.0;1.0;;;16.0
Drunen-G0767;100;;3290.0;291;79.0;24.0;60.0;19.0;27.0;11.0;153;3.0;41.0;12.0;10.0;14.0;;;;117.0
Druten-G0225;97;;3972.0;250;42.0;20.0;104.0;7.0;11.0;2.0;80;4.0;12.0;10.0;1.0;10.0;;;;230.0
Dubbeldam-G0507;53;;171.0;1045;701.0;484.0;719.0;50.0;11.0;128.0;98;25.0;17.0;10.0;;9.0;4.0;;;170.0
Duiveland-G0662;23;;14.0;625;251.0;214.0;289.0;16.0;6.0;616.0;27;3.0;6.0;7.0;;;3.0;;;277.0
Duiven-G0226;43;;2440.0;105;37.0;25.0;48.0;3.0;5.0;2.0;113;;4.0;;2.0;6.0;;;;65.0
Dussen-G0769;56;;1413.0;166;48.0;232.0;256.0;5.0;5.0;117.0;58;7.0;10.0;2.0;;1.0;;;;94.0
Dwingeloo-G0112;51;;23.0;933;459.0;303.0;78.0;24.0;5.0;1.0;94;;3.0;1.0;;3.0;;;;32.0
Echt-G0902;378;;6201.0;582;56.0;29.0;39.0;36.0;53.0;6.0;187;10.0;30.0;20.0;22.0;14.0;;;;130.0
Echteld-G0227;36;;46.0;1154;144.0;176.0;288.0;14.0;8.0;316.0;146;2.0;5.0;19.0;2.0;5.0;3.0;;;75.0
Edam-Volendam-G0385;72;;5168.0;809;488.0;163.0;175.0;115.0;63.0;13.0;132;1.0;33.0;12.0;10.0;10.0;;;;198.0
Ede-G0228;633;;2812.0;6627;3709.0;4713.0;6636.0;411.0;148.0;4590.0;1402;169.0;203.0;140.0;81.0;93.0;;;;1247.0
Eelde-G0113;115;;182.0;1634;857.0;210.0;176.0;118.0;29.0;8.0;260;23.0;28.0;11.0;2.0;9.0;;;;147.0
Eemnes-G0317;14;;594.0;201;103.0;219.0;112.0;31.0;13.0;51.0;99;2.0;4.0;2.0;5.0;;2.0;;;57.0
Eenrum-G0011;27;;55.0;777;264.0;144.0;28.0;58.0;6.0;6.0;17;135.0;5.0;6.0;1.0;1.0;;;;22.0
Eersel-G0770;23;;2538.0;98;40.0;4.0;18.0;3.0;;2.0;54;1.0;17.0;;2.0;1.0;;;;75.0
Eethen-G0771;26;;48.0;294;57.0;532.0;282.0;4.0;2.0;264.0;128;3.0;6.0;2.0;2.0;3.0;;;;76.0
Egmond aan Zee-G0386;51;;368.0;1353;252.0;98.0;100.0;106.0;29.0;2.0;43;5.0;11.0;6.0;6.0;4.0;;;;59.0
Egmond-Binnen-G0387;13;;1477.0;183;79.0;17.0;18.0;20.0;13.0;1.0;74;;11.0;4.0;6.0;3.0;;;;33.0
Eibergen-G0229;57;;3047.0;1784;493.0;460.0;830.0;44.0;10.0;11.0;182;17.0;5.0;3.0;5.0;8.0;1.0;;;249.0
Eijgelshoven-G0904;166;;1905.0;577;56.0;20.0;25.0;18.0;61.0;4.0;36;2.0;21.0;2.0;14.0;7.0;;;;92.0
Eijsden-G0905;104;;2303.0;154;33.0;5.0;9.0;10.0;6.0;1.0;120;2.0;6.0;3.0;8.0;1.0;;;;59.0
Eindhoven-G0772;2560;;54748.0;18756;6528.0;3086.0;2180.0;1635.0;698.0;225.0;955;198.0;685.0;242.0;271.0;230.0;;;;3363.0
Elburg-G0230;56;;59.0;359;94.0;298.0;636.0;16.0;10.0;433.0;86;8.0;6.0;2.0;2.0;3.0;;;;98.0
Ellewoutsdijk-G0663;13;;4.0;97;31.0;12.0;70.0;;4.0;11.0;5;;3.0;2.0;2.0;2.0;;;;5.0
Elsloo-G0903;177;;2137.0;202;23.0;8.0;8.0;7.0;9.0;1.0;74;;20.0;;7.0;3.0;;;;75.0
Elst-G0231;109;;4260.0;1341;471.0;308.0;693.0;40.0;19.0;54.0;160;3.0;15.0;17.0;7.0;5.0;3.0;;;239.0
Elten-G1055;40;;319.0;127;15.0;14.0;18.0;5.0;4.0;;20;1.0;2.0;4.0;;2.0;5.0;;;49.0
Emmen-G0114;1596;;6608.0;12794;2960.0;4417.0;3949.0;776.0;1499.0;106.0;530;199.0;83.0;51.0;24.0;50.0;;;;1566.0
Empel en Meerwijk-G0773;4;;596.0;33;5.0;5.0;4.0;7.0;3.0;1.0;24;1.0;1.0;;1.0;1.0;;;;28.0
Engelen-G0774;16;;388.0;68;11.0;9.0;14.0;6.0;1.0;;14;;;2.0;1.0;2.0;;;;35.0
Enkhuizen-G0388;97;;881.0;2072;550.0;1091.0;712.0;191.0;86.0;192.0;77;25.0;30.0;7.0;17.0;6.0;;;;235.0
Enschede-G0153;2268;;17243.0;24906;7285.0;3915.0;5085.0;2313.0;5160.0;303.0;1387;1677.0;374.0;203.0;250.0;126.0;;;;3286.0
Epe-G0232;265;;1422.0;4866;1668.0;1008.0;1988.0;242.0;73.0;472.0;755;37.0;46.0;51.0;19.0;18.0;;;;328.0
Ermelo-G0233;229;;682.0;2073;1405.0;2971.0;4089.0;175.0;71.0;2247.0;733;214.0;81.0;69.0;35.0;34.0;;;;1714.0
Erp-G0775;16;;1909.0;46;13.0;3.0;2.0;1.0;2.0;1.0;45;;2.0;1.0;2.0;1.0;;;;36.0
Esch-G0776;6;;476.0;19;;;2.0;2.0;2.0;;15;;;;1.0;;;;;8.0
Est en Opijnen-G0234;15;;9.0;308;77.0;17.0;95.0;2.0;2.0;74.0;28;3.0;2.0;4.0;;;1.0;;;26.0
Etten-Leur-G0777;274;;6099.0;810;197.0;75.0;154.0;49.0;32.0;11.0;227;5.0;47.0;18.0;12.0;9.0;;;;208.0
Everdingen-G0508;4;;92.0;115;84.0;92.0;77.0;9.0;4.0;138.0;39;;1.0;3.0;1.0;;;;;33.0
Ewijk-G0235;30;;1638.0;127;12.0;;52.0;;3.0;;104;;1.0;1.0;2.0;1.0;;;;116.0
Ezinge-G0012;18;;6.0;376;199.0;352.0;34.0;5.0;3.0;2.0;10;18.0;;3.0;1.0;;;;;25.0
Ferwerderadeel-G0068;56;;14.0;808;262.0;2091.0;839.0;99.0;15.0;11.0;91;196.0;14.0;6.0;2.0;6.0;;;;130.0
Fijnaart en Heijningen-G0778;31;;1186.0;359;63.0;237.0;696.0;5.0;12.0;60.0;31;2.0;9.0;7.0;1.0;;;;;79.0
Finsterwolde-G0013;94;;14.0;406;168.0;36.0;65.0;52.0;962.0;13.0;58;8.0;4.0;7.0;2.0;1.0;;;;95.0
Franeker-G0069;121;;589.0;1702;458.0;1099.0;589.0;244.0;78.0;24.0;50;9.0;19.0;11.0;;5.0;;;;779.0
Franekeradeel-G0070;43;;136.0;981;178.0;515.0;584.0;69.0;13.0;6.0;83;35.0;14.0;2.0;;5.0;;;;73.0
Gaasterland-G0071;46;;733.0;389;102.0;644.0;1099.0;36.0;11.0;126.0;231;8.0;3.0;12.0;1.0;3.0;;;;109.0
Gasselte-G0115;56;;32.0;1092;334.0;254.0;213.0;38.0;122.0;2.0;43;1.0;5.0;1.0;;2.0;;;;90.0
Geertruidenberg-G0779;86;;1693.0;302;91.0;48.0;79.0;11.0;7.0;11.0;34;4.0;31.0;4.0;4.0;4.0;;;;160.0
Geervliet-G0509;11;;6.0;340;119.0;64.0;104.0;21.0;14.0;46.0;51;1.0;1.0;;;2.0;;;;29.0
Geffen-G0780;32;;1290.0;100;10.0;2.0;4.0;3.0;5.0;;57;;8.0;;1.0;2.0;;;;49.0
Geldermalsen-G0236;64;;143.0;1696;359.0;290.0;693.0;43.0;23.0;402.0;93;8.0;18.0;9.0;6.0;3.0;4.0;;;195.0
Geldrop-G0781;291;;6920.0;1663;788.0;322.0;242.0;120.0;60.0;21.0;148;21.0;89.0;26.0;38.0;23.0;;;;360.0
Geleen-G0906;760;;10843.0;2779;564.0;454.0;239.0;147.0;242.0;29.0;276;31.0;145.0;40.0;80.0;46.0;;;;602.0
Gemert-G0782;173;;5264.0;418;134.0;43.0;59.0;26.0;13.0;3.0;137;;34.0;2.0;17.0;14.0;;;;141.0
Gendringen-G0237;89;;6035.0;660;109.0;192.0;452.0;22.0;10.0;8.0;150;5.0;16.0;5.0;9.0;9.0;5.0;;;135.0
Gendt-G0238;21;;2378.0;55;23.0;8.0;87.0;5.0;;2.0;56;1.0;4.0;3.0;1.0;1.0;;;;66.0
