RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Weststellingwerf-G0098;87;;4487;1034.0;1294;798;494;1117.0;371;611.0;17.0;150.0;173.0;190.0;130.0;250.0;38.0;25.0;29.0;17.0;45.0;17.0;18.0;;2.0;;;;;;2541
Westwoud-G0460;3;;87;414.0;67;16;20;8.0;30;12.0;;14.0;2.0;18.0;17.0;12.0;2.0;2.0;17.0;6.0;1.0;;6.0;;1.0;;;;;;147
Westzaan-G0461;14;;665;79.0;264;190;158;89.0;126;382.0;51.0;56.0;29.0;63.0;52.0;18.0;10.0;5.0;4.0;1.0;7.0;1.0;1.0;;1.0;;;;;;461
Wierden-G0189;44;;927;2595.0;418;1561;198;1843.0;218;46.0;674.0;82.0;142.0;81.0;28.0;123.0;26.0;16.0;14.0;9.0;8.0;30.0;1.0;;2.0;;;;;;1079
Wieringen-G0462;23;;1312;241.0;618;253;205;185.0;191;305.0;6.0;21.0;25.0;95.0;96.0;67.0;27.0;8.0;2.0;10.0;17.0;5.0;6.0;;;;;;;;988
Wieringermeer-G0463;19;;1065;859.0;613;915;192;446.0;204;85.0;16.0;43.0;105.0;62.0;38.0;26.0;10.0;12.0;4.0;8.0;3.0;5.0;6.0;;2.0;;;;;;755
Wijchen-G0296;32;;946;4066.0;310;130;534;57.0;260;60.0;3.0;137.0;14.0;139.0;71.0;210.0;34.0;19.0;27.0;33.0;44.0;9.0;9.0;;6.0;;6.0;;;;2103
Wijdewormer-G0470;6;;133;182.0;82;31;64;22.0;36;34.0;;4.0;2.0;7.0;9.0;14.0;4.0;1.0;;2.0;7.0;;1.0;;;;;;;;113
Wijhe-G0190;12;;901;914.0;252;254;79;572.0;88;21.0;38.0;20.0;24.0;54.0;17.0;65.0;16.0;2.0;1.0;3.0;8.0;13.0;;;;;;;;;373
Wijk bij Duurstede-G0352;14;;507;905.0;293;106;112;191.0;104;51.0;29.0;40.0;24.0;48.0;13.0;29.0;7.0;4.0;8.0;2.0;7.0;1.0;2.0;;16.0;;;4.0;;;714
