RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Zaltbommel-G0297;18;;1378;485.0;435;285;194;244.0;184;33.0;134.0;48.0;33.0;88.0;38.0;35.0;5.0;10.0;5.0;8.0;7.0;1.0;;;1.0;;;;;;796
Zandvoort-G0473;44;;2046;870.0;1968;358;698;430.0;939;231.0;8.0;68.0;51.0;193.0;106.0;53.0;36.0;60.0;12.0;30.0;17.0;4.0;14.0;;2.0;15.0;2.0;9.0;;;2359
Zeeland-G0877;16;;166;1605.0;35;19;71;7.0;41;5.0;1.0;13.0;1.0;23.0;15.0;42.0;2.0;4.0;15.0;8.0;;1.0;1.0;;;;;;;;469
Zeevang-G0478;10;;904;155.0;434;118;162;64.0;163;82.0;3.0;26.0;7.0;50.0;49.0;63.0;9.0;4.0;1.0;17.0;3.0;2.0;2.0;;1.0;;;;;;424
Zegveld-G0354;4;;49;128.0;28;184;27;170.0;27;2.0;86.0;4.0;28.0;8.0;;9.0;1.0;2.0;;3.0;;1.0;;;;;;;;;146
Zeist-G0355;232;;5396;2829.0;5451;3432;1535;2427.0;3331;273.0;1083.0;439.0;602.0;323.0;333.0;166.0;144.0;244.0;51.0;125.0;73.0;49.0;12.0;;31.0;;16.0;168.0;;;7334
Zelhem-G0298;25;;1287;459.0;463;774;231;896.0;248;29.0;90.0;19.0;46.0;153.0;21.0;192.0;10.0;13.0;2.0;6.0;10.0;49.0;2.0;;1.0;;1.0;;;;1350
Zevenaar-G0299;73;;1394;4074.0;797;352;791;264.0;493;71.0;19.0;210.0;73.0;159.0;98.0;194.0;29.0;24.0;60.0;37.0;38.0;21.0;6.0;;6.0;;3.0;;;;2331
Zevenbergen-G0878;66;;536;2601.0;296;163;205;354.0;90;56.0;11.0;129.0;80.0;79.0;23.0;107.0;26.0;9.0;9.0;9.0;45.0;;4.0;;3.0;;;;;;1324
Zevenhoven-G0635;2;;62;352.0;52;109;33;89.0;38;6.0;19.0;25.0;10.0;21.0;2.0;33.0;1.0;2.0;10.0;;2.0;2.0;1.0;;;;;;;;149
Zevenhuizen-G0636;6;;791;45.0;335;182;103;398.0;59;10.0;217.0;11.0;21.0;36.0;6.0;37.0;1.0;3.0;1.0;5.0;2.0;4.0;3.0;;1.0;;;;;;401
Zierikzee-G0732;23;;1246;338.0;555;742;214;356.0;154;35.0;182.0;30.0;52.0;136.0;24.0;20.0;13.0;19.0;4.0;9.0;4.0;5.0;1.0;;2.0;;;;;;783
Zijpe-G0476;21;;1030;980.0;600;101;293;50.0;140;85.0;7.0;22.0;10.0;60.0;43.0;69.0;10.0;11.0;5.0;12.0;14.0;4.0;5.0;;4.0;;;;;;784
Zoelen-G0300;11;;1029;36.0;296;147;109;248.0;90;9.0;110.0;3.0;10.0;45.0;6.0;51.0;5.0;26.0;2.0;6.0;5.0;6.0;2.0;;1.0;;1.0;;;;456
Zoetermeer-G0637;33;;1907;1644.0;1379;968;986;634.0;616;92.0;692.0;263.0;145.0;107.0;77.0;31.0;13.0;35.0;64.0;23.0;9.0;7.0;4.0;;7.0;;;;;;1832
Zoeterwoude-G0638;19;;217;1628.0;230;145;202;164.0;133;24.0;32.0;74.0;7.0;53.0;31.0;16.0;7.0;12.0;18.0;5.0;8.0;5.0;2.0;;;;2.0;;;;544
Zuid-Beijerland-G0639;6;;395;6.0;145;239;55;233.0;27;8.0;203.0;2.0;20.0;15.0;3.0;12.0;1.0;4.0;1.0;3.0;1.0;1.0;1.0;;2.0;;;;;;295
Zuidelijke IJsselmeerpolders-G0996;23;;1491;1067.0;975;1443;566;812.0;457;118.0;128.0;217.0;244.0;29.0;92.0;39.0;9.0;15.0;4.0;25.0;;11.0;5.0;;;3.0;;;;;1003
Zuidhorn-G0056;10;;610;60.0;352;556;76;169.0;113;49.0;8.0;11.0;481.0;23.0;22.0;18.0;3.0;8.0;;5.0;3.0;;1.0;;;;;;;;374
Zuidland-G0640;12;;300;31.0;184;732;72;144.0;37;5.0;36.0;49.0;11.0;17.0;9.0;6.0;;5.0;;4.0;5.0;1.0;;3.0;;;;;;;300
Zuidlaren-G0136;24;;1232;97.0;1028;907;300;239.0;259;126.0;14.0;47.0;304.0;64.0;32.0;68.0;12.0;14.0;3.0;7.0;23.0;17.0;12.0;;6.0;;;;;;1182
Zuidwolde-G0137;21;;962;30.0;578;799;114;569.0;170;22.0;18.0;15.0;162.0;142.0;16.0;203.0;20.0;16.0;2.0;2.0;13.0;27.0;6.0;;1.0;;;;;;725
Zundert-G0879;105;;367;2448.0;302;84;198;53.0;176;36.0;7.0;165.0;1.0;122.0;24.0;495.0;41.0;7.0;18.0;12.0;52.0;7.0;12.0;;4.0;;;;;;2293
Zutphen-G0301;88;;6123;1370.0;1512;1041;941;963.0;804;639.0;42.0;192.0;162.0;339.0;176.0;73.0;40.0;34.0;19.0;27.0;34.0;22.0;7.0;;6.0;;;;;;3092
Zwaag-G0475;9;;100;829.0;64;26;40;10.0;24;13.0;;22.0;1.0;13.0;17.0;3.0;6.0;;31.0;4.0;;;6.0;;1.0;;;;;;256
Zwartewaal-G0641;5;;183;10.0;96;89;69;35.0;20;8.0;1.0;6.0;4.0;8.0;4.0;2.0;2.0;3.0;;;4.0;1.0;;;1.0;;;;;;106
Zwartsluis-G0192;5;;428;28.0;107;702;68;347.0;76;23.0;95.0;12.0;122.0;59.0;9.0;35.0;6.0;5.0;;2.0;;7.0;3.0;;;;;;;;358
Zweeloo-G0138;9;;479;13.0;377;295;57;70.0;65;9.0;3.0;2.0;15.0;29.0;9.0;23.0;3.0;2.0;1.0;3.0;1.0;4.0;;;;;;;;;167
Zwijndrecht-G0642;69;;4266;1021.0;1836;2472;1420;1982.0;734;199.0;683.0;143.0;585.0;108.0;130.0;78.0;24.0;82.0;16.0;36.0;27.0;11.0;9.0;26.0;7.0;;2.0;;;;3682
Zwolle-G0193;143;;11751;5036.0;4262;4306;2373;3934.0;2256;760.0;675.0;686.0;1311.0;490.0;768.0;306.0;149.0;104.0;65.0;90.0;55.0;66.0;17.0;;16.0;;;;;;7981
