RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Sloten (F)-G0089;0;;69.0;116;68.0;128.0;14.0;1.0;6.0;7.0;;
Sluis-G0713;0;;546.0;328;76.0;83.0;81.0;19.0;16.0;19.0;29.0;131.0
Smallingerland-G0090;0;;98.0;3356;3354.0;969.0;476.0;1065.0;7.0;168.0;6.0;914.0
Smilde-G0131;0;;10.0;952;1017.0;886.0;209.0;72.0;11.0;29.0;6.0;355.0
Sneek-G0091;0;;1344.0;3190;2111.0;1596.0;768.0;700.0;26.0;162.0;22.0;802.0
Snelrewaard-G0341;0;;156.0;6;42.0;37.0;9.0;;44.0;;1.0;16.0
Soest-G0342;0;;3297.0;2454;2444.0;865.0;1374.0;602.0;261.0;285.0;304.0;714.0
Someren-G0847;0;;3415.0;61;7.0;51.0;1.0;8.0;2.0;4.0;18.0;165.0
Sommelsdijk-G1184;0;;30.0;621;603.0;67.0;229.0;19.0;468.0;8.0;2.0;210.0
Son en Breugel-G0848;0;;1742.0;50;15.0;12.0;1.0;12.0;1.0;8.0;9.0;75.0
Spanbroek-G1186;0;;804.0;137;3.0;2.0;35.0;12.0;;;4.0;52.0
Spaubeek-G0970;0;;710.0;55;3.0;1.0;;7.0;1.0;5.0;6.0;49.0
Spijkenisse-G0612;0;;9.0;524;321.0;266.0;197.0;51.0;70.0;4.0;;111.0
Sprang-Capelle-G0849;0;;141.0;407;1065.0;701.0;89.0;26.0;511.0;32.0;6.0;305.0
Stad aan 't Haringvliet-G1188;0;;4.0;116;230.0;60.0;123.0;2.0;158.0;1.0;;68.0
Stad Delden-G0179;0;;1132.0;384;134.0;96.0;152.0;23.0;1.0;6.0;50.0;81.0
Standdaarbuiten-G0850;0;;878.0;13;15.0;26.0;1.0;;1.0;;16.0;44.0
Staphorst-G0180;0;;32.0;485;1584.0;486.0;387.0;17.0;1264.0;32.0;7.0;349.0
Stavenisse-G0714;0;;3.0;118;100.0;54.0;54.0;1.0;457.0;7.0;;305.0
Stavoren-G0092;0;;8.0;130;184.0;221.0;24.0;26.0;2.0;15.0;1.0;94.0
Stedum-G0041;0;;3.0;279;556.0;314.0;113.0;34.0;2.0;27.0;;83.0
