RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Westkapelle-G0726;0;;11.0;398;149.0;293.0;79.0;23.0;202.0;26.0;4.0;75.0
Westmaas-G0631;0;;3.0;91;191.0;150.0;62.0;4.0;29.0;6.0;;31.0
Weststellingwerf-G0098;0;;1076.0;4596;888.0;1366.0;1044.0;1250.0;16.0;256.0;18.0;1238.0
Westwoud-G0460;0;;458.0;154;9.0;12.0;61.0;8.0;;3.0;3.0;28.0
Westzaan-G0461;0;;64.0;578;274.0;91.0;136.0;606.0;58.0;28.0;3.0;161.0
Wierden-G0189;0;;1995.0;879;1658.0;1995.0;258.0;73.0;467.0;20.0;5.0;388.0
Wieringen-G0462;0;;310.0;1460;353.0;167.0;696.0;646.0;14.0;26.0;2.0;329.0
Wieringermeer-G0463;0;;557.0;566;568.0;329.0;268.0;153.0;21.0;11.0;4.0;
Wieringerwaard-G0464;0;;38.0;309;53.0;16.0;188.0;116.0;;18.0;2.0;103.0
Wijchen-G0296;0;;3705.0;132;23.0;21.0;17.0;6.0;3.0;16.0;50.0;248.0
Wijdenes-G0469;0;;22.0;363;16.0;15.0;130.0;42.0;;9.0;2.0;37.0
Wijdewormer-G0470;0;;154.0;97;23.0;20.0;61.0;43.0;;5.0;;34.0
Wijhe-G0190;0;;799.0;861;260.0;676.0;319.0;23.0;23.0;14.0;6.0;216.0
Wijk bij Duurstede-G0352;0;;1031.0;265;134.0;280.0;92.0;11.0;25.0;26.0;34.0;76.0
Wijk en Aalburg-G0876;0;;14.0;206;343.0;64.0;43.0;6.0;714.0;2.0;2.0;176.0
Wijlre-G0991;0;;1122.0;40;;3.0;4.0;6.0;1.0;7.0;40.0;38.0
Wijnandsrade-G0992;0;;347.0;18;6.0;2.0;1.0;3.0;;;7.0;1.0
Wijngaarden-G0634;0;;1.0;10;91.0;5.0;7.0;;104.0;1.0;;13.0
Wildervank-G1225;0;;209.0;2237;1043.0;562.0;729.0;515.0;11.0;99.0;13.0;606.0
Willemstad-G0872;0;;96.0;140;263.0;450.0;42.0;5.0;31.0;1.0;2.0;80.0
Willeskop-G0349;0;;224.0;49;44.0;69.0;6.0;2.0;27.0;6.0;5.0;27.0
Wilnis-G0350;0;;477.0;11;387.0;258.0;9.0;6.0;80.0;2.0;28.0;80.0
Winkel-G0465;0;;38.0;588;67.0;22.0;183.0;295.0;2.0;30.0;1.0;103.0
Winschoten-G0052;0;;353.0;3161;1229.0;676.0;1296.0;1374.0;7.0;188.0;25.0;952.0
Winsum-G0053;0;;2.0;509;810.0;98.0;216.0;16.0;2.0;25.0;4.0;92.0
Winterswijk-G0294;0;;1464.0;5582;1080.0;616.0;2199.0;227.0;17.0;66.0;30.0;887.0
Wisch-G0295;0;;2045.0;1392;901.0;1133.0;659.0;79.0;18.0;49.0;33.0;541.0
Wissenkerke-G0727;0;;18.0;242;703.0;700.0;98.0;15.0;205.0;38.0;3.0;216.0
Wittem-G0990;0;;2307.0;112;41.0;23.0;38.0;18.0;;19.0;69.0;
Woensdrecht-G0873;0;;1817.0;158;40.0;30.0;40.0;8.0;2.0;17.0;11.0;144.0
Woerden-G0632;0;;1322.0;927;903.0;1202.0;275.0;58.0;309.0;29.0;270.0;370.0
Wognum-G0466;0;;889.0;184;16.0;16.0;62.0;37.0;;5.0;;26.0
Wolphaartsdijk-G0728;0;;32.0;123;296.0;574.0;94.0;3.0;270.0;29.0;17.0;157.0
Wonseradeel-G0099;0;;642.0;1660;1887.0;1983.0;386.0;191.0;50.0;83.0;7.0;688.0
Workum-G0100;0;;500.0;499;391.0;663.0;55.0;30.0;3.0;6.0;4.0;145.0
Wormer-G0467;0;;859.0;865;324.0;48.0;147.0;625.0;9.0;23.0;2.0;165.0
Wormerveer-G0468;0;;905.0;2012;611.0;108.0;350.0;1949.0;7.0;56.0;15.0;494.0
Woubrugge-G0633;0;;568.0;91;234.0;263.0;62.0;8.0;83.0;9.0;1.0;83.0
Woudenberg-G0351;0;;32.0;559;493.0;523.0;180.0;13.0;305.0;25.0;6.0;209.0
Woudrichem-G0874;0;;12.0;502;307.0;153.0;83.0;18.0;58.0;7.0;;107.0
Wouw-G0875;0;;2484.0;159;10.0;14.0;12.0;39.0;3.0;19.0;18.0;225.0
Wymbritseradeel-G0101;0;;785.0;773;1601.0;2807.0;184.0;34.0;2.0;25.0;1.0;316.0
Yerseke-G0729;0;;122.0;611;483.0;562.0;162.0;63.0;612.0;35.0;8.0;235.0
Zaamslag-G0731;0;;27.0;362;746.0;626.0;97.0;6.0;150.0;18.0;16.0;163.0
Zaandam-G0471;0;;3157.0;8434;3309.0;831.0;1343.0;5717.0;172.0;436.0;67.0;1928.0
Zaandijk-G0472;0;;169.0;954;289.0;72.0;212.0;671.0;2.0;32.0;1.0;256.0
Zaltbommel-G0297;0;;431.0;1198;294.0;269.0;299.0;41.0;67.0;22.0;25.0;203.0
Zandvoort-G0473;0;;873.0;2037;463.0;601.0;800.0;466.0;11.0;133.0;88.0;
Zeeland-G0877;0;;1543.0;6;2.0;;1.0;3.0;;2.0;4.0;79.0
Zegveld-G0354;0;;117.0;11;227.0;184.0;4.0;1.0;80.0;;2.0;28.0
Zeist-G0355;0;;2693.0;5323;5327.0;2801.0;2629.0;568.0;764.0;746.0;353.0;2613.0
Zelhem-G0298;0;;403.0;932;1042.0;709.0;318.0;32.0;149.0;48.0;11.0;274.0
Zevenaar-G0299;0;;3185.0;301;62.0;123.0;66.0;26.0;5.0;26.0;133.0;198.0
Zevenbergen-G0878;0;;3236.0;209;222.0;589.0;44.0;37.0;11.0;19.0;48.0;187.0
Zevenhoven-G0635;0;;283.0;40;75.0;99.0;16.0;4.0;11.0;1.0;9.0;26.0
Zevenhuizen-G0636;0;;27.0;547;238.0;345.0;240.0;27.0;165.0;18.0;5.0;146.0
Zierikzee-G0732;0;;441.0;1309;875.0;403.0;566.0;27.0;133.0;58.0;10.0;381.0
Zijpe-G0476;0;;885.0;1177;75.0;47.0;550.0;299.0;5.0;63.0;11.0;254.0
Zoelen-G0300;0;;24.0;738;137.0;250.0;171.0;19.0;54.0;31.0;4.0;104.0
Zoetermeer-G0637;0;;892.0;453;416.0;465.0;144.0;30.0;406.0;20.0;38.0;253.0
Zoeterwoude-G0638;0;;1727.0;83;172.0;274.0;51.0;11.0;39.0;5.0;18.0;193.0
Zonnemaire-G1236;0;;3.0;241;106.0;49.0;98.0;2.0;6.0;4.0;;5.0
Zoutelande-G1237;0;;22.0;61;145.0;209.0;60.0;2.0;118.0;8.0;6.0;
Zuid- en Noord-Schermer-G0474;0;;55.0;260;22.0;16.0;61.0;81.0;19.0;3.0;3.0;50.0
Zuid-Beijerland-G0639;0;;11.0;299;412.0;297.0;142.0;5.0;220.0;10.0;2.0;101.0
Zuidbroek-G1240;0;;26.0;543;234.0;46.0;176.0;345.0;5.0;85.0;5.0;218.0
Zuiddorpe-G0734;0;;376.0;58;9.0;5.0;5.0;2.0;1.0;7.0;19.0;40.0
Zuidhorn-G0056;0;;38.0;607;751.0;192.0;349.0;50.0;2.0;34.0;3.0;168.0
Zuidland-G0640;0;;2.0;124;597.0;140.0;147.0;4.0;25.0;6.0;;105.0
Zuidlaren-G0136;0;;36.0;1063;697.0;132.0;584.0;154.0;2.0;76.0;6.0;140.0
Zuidwolde-G0137;0;;45.0;957;880.0;803.0;489.0;46.0;21.0;44.0;5.0;259.0
Zuidzande-G0735;0;;18.0;213;53.0;42.0;144.0;15.0;18.0;40.0;;62.0
Zuilen-G1242;0;;2896.0;4565;1358.0;881.0;274.0;1031.0;154.0;190.0;106.0;915.0
Zuilichem-G1243;0;;3.0;180;133.0;36.0;1.0;3.0;198.0;5.0;;76.0
Zundert-G0879;0;;3344.0;182;48.0;41.0;19.0;27.0;8.0;41.0;108.0;558.0
Zutphen-G0301;0;;1571.0;5100;1090.0;1132.0;1540.0;1433.0;40.0;132.0;59.0;1155.0
Zwaag-G0475;0;;747.0;238;9.0;7.0;78.0;11.0;;2.0;4.0;65.0
Zwammerdam-G1244;0;;378.0;178;284.0;273.0;98.0;9.0;87.0;8.0;3.0;123.0
Zwartewaal-G0641;0;;2.0;148;93.0;7.0;83.0;9.0;9.0;6.0;;4.0
Zwartsluis-G0192;0;;18.0;273;929.0;396.0;85.0;32.0;52.0;8.0;2.0;162.0
Zweeloo-G0138;0;;10.0;474;293.0;70.0;328.0;8.0;4.0;4.0;;82.0
Zwijndrecht-G0642;0;;278.0;1685;2204.0;1684.0;396.0;299.0;543.0;35.0;22.0;648.0
Zwolle-G0193;0;;4734.0;9147;3915.0;2773.0;2332.0;1505.0;415.0;392.0;176.0;2555.0
Zwollerkerspel-G1245;0;;736.0;930;1233.0;1311.0;332.0;70.0;242.0;27.0;6.0;475.0
