RegioNaam;@invalid;@blank;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;PPNL;Partij voor Mens en Spirit (MenS);SOPN;Partij van de Toekomst (PvdT);Democratisch Politiek Keerpunt DPK;Libertarische Partij (LP);Nederland Lokaal;Liberaal Democratische Partij (LibDem);Anti Europa Partij;Politieke Partij NXD;@abs
Doesburg-G0221;9;7;1385;2109;656;1047;493;507;114;135;22;127;92;22.0;15.0;8.0;8.0;4;5;1;2.0;4;;2394.0
Doetinchem-G0222;44;36;7719;10212;2913;3676;2796;2440;606;642;337;528;434;76.0;58.0;38.0;18.0;20;4;8;4.0;9;;11001.0
Dongen-G0766;19;26;4232;3355;1496;1826;1348;1054;157;172;38;218;302;24.0;20.0;6.0;18.0;18;6;5;4.0;2;;5235.0
Dongeradeel-G0058;29;17;2156;3687;1036;1441;3244;588;1209;173;206;183;142;24.0;33.0;12.0;12.0;15;7;1;3.0;3;;4487.0
Dordrecht-G0505;177;110;14095;16452;7788;5992;3817;4144;2800;1418;1967;1576;1364;203.0;104.0;79.0;48.0;49;34;4;18.0;15;;26290.0
Drechterland-G0498;26;10;4448;2134;994;841;1163;775;78;217;17;210;447;43.0;17.0;27.0;16.0;18;1;4;3.0;2;;3199.0
Drimmelen-G1719;28;23;5014;3091;1820;1790;1359;1093;95;229;29;243;422;44.0;32.0;24.0;18.0;10;3;0;2.0;3;;5671.0
Dronten-G0303;52;24;8302;3939;2133;1565;2633;1366;1469;369;289;320;429;52.0;55.0;65.0;12.0;24;5;5;3.0;8;;6329.0
Druten-G0225;18;12;3099;2543;1065;1418;839;718;42;120;9;140;199;18.0;8.0;9.0;9.0;5;0;1;2.0;1;;3554.0
Duiven-G0226;31;14;4445;3825;1412;1624;1268;1087;204;265;29;194;313;24.0;25.0;12.0;14.0;9;2;4;3.0;1;;4483.0
Echt-Susteren-G1711;33;64;3819;3508;4111;2483;2470;958;98;271;10;364;381;57.0;58.0;26.0;12.0;22;10;1;6.0;3;;7028.0
Edam-Volendam-G0385;22;33;7270;1877;2826;686;2359;667;79;216;29;225;381;36.0;37.0;43.0;6.0;19;13;6;5.0;3;;5028.0
Ede-G0228;100;62;17603;10068;4827;3354;7190;4003;6258;1237;8055;882;974;131.0;86.0;75.0;53.0;33;16;5;6.0;8;;16656.0
Eemnes-G0317;5;10;2140;1004;463;349;460;445;134;79;52;122;99;22.0;3.0;4.0;3.0;4;4;1;1.0;0;;1165.0
Eemsmond-G1651;16;12;1560;3256;601;1212;1134;347;920;195;135;188;135;25.0;21.0;8.0;7.0;8;9;3;2.0;2;;2788.0
Eersel-G0770;16;22;3557;1859;915;1349;1665;861;46;170;12;137;272;17.0;21.0;11.0;6.0;18;7;2;4.0;1;;3369.0
Eijsden-Margraten-G1903;33;41;3884;3357;1927;1584;1952;1147;57;339;14;242;295;31.0;47.0;14.0;6.0;10;3;4;4.0;2;;4773.0
Eindhoven-G0772;275;282;24988;29058;10933;15533;6539;11782;1336;3183;178;2141;3447;610.0;237.0;185.0;151.0;100;67;92;44.0;19;;49528.0
Elburg-G0230;31;14;3087;1566;941;806;1824;404;2222;128;2179;118;163;9.0;17.0;12.0;7.0;5;1;9;3.0;1;;3357.0
Emmen-G0114;113;59;10758;22983;6878;6673;5833;2646;1716;742;252;822;979;186.0;125.0;130.0;67.0;38;44;14;8.0;24;;23761.0
Enkhuizen-G0388;21;15;2881;2854;1107;1055;690;767;240;215;148;262;329;40.0;21.0;25.0;15.0;3;2;5;1.0;6;;3355.0
Enschede-G0153;210;188;16035;25421;8473;9560;6460;7172;3011;1759;323;1450;1302;459.0;144.0;150.0;64.0;57;41;15;14.0;20;;36440.0
Epe-G0232;32;23;5663;5005;1819;1352;2163;1175;973;269;792;301;319;28.0;33.0;21.0;16.0;10;0;5;6.0;1;;5562.0
Ermelo-G0233;31;22;4544;2322;1105;943;2484;877;1895;272;1154;265;253;28.0;35.0;19.0;15.0;9;5;0;4.0;7;;4072.0
Etten-Leur-G0777;45;32;7070;5214;2830;2769;1891;1525;171;340;34;346;590;66.0;39.0;17.0;37.0;16;12;9;4.0;3;;9062.0
Ferwerderadiel-G1722;4;6;812;1346;378;502;1122;182;325;66;30;66;69;11.0;11.0;12.0;5.0;7;0;1;0.0;2;;1765.0
Franekeradeel-G0070;24;13;2415;3715;865;1165;1930;561;475;211;59;193;144;19.0;34.0;25.0;13.0;9;2;2;3.0;2;;3878.0
Gaasterlân-Sleat-G0653;8;15;1610;1450;403;520;1364;314;193;129;166;100;72;11.0;10.0;16.0;6.0;9;5;3;0.0;1;;1602.0
Geertruidenberg-G0779;16;24;3572;2615;1668;1520;961;654;85;156;40;182;340;37.0;26.0;19.0;11.0;14;17;6;3.0;1;;4864.0
Geldermalsen-G0236;23;14;5511;2866;1714;812;1275;972;345;254;1549;207;296;56.0;13.0;12.0;13.0;12;4;4;8.0;3;;3701.0
Geldrop-Mierlo-G1771;31;47;5629;4777;2556;3391;1978;1726;184;456;18;378;584;78.0;36.0;29.0;23.0;8;9;2;6.0;4;;7858.0
Gemert-Bakel-G1652;34;39;4719;2794;1871;2890;2203;936;47;194;10;208;376;30.0;27.0;22.0;7.0;16;12;3;0.0;1;;5899.0
Gennep-G0907;12;21;2475;1925;968;2440;917;602;37;137;8;134;156;17.0;24.0;11.0;3.0;11;4;0;3.0;3;;3643.0
Giessenlanden-G0689;12;4;2900;1648;677;479;1132;424;937;108;590;116;109;14.0;13.0;5.0;7.0;5;1;3;1.0;1;;1792.0
Gilze en Rijen-G0784;26;16;4256;3419;1714;1825;1277;1036;59;221;14;225;501;39.0;36.0;9.0;13.0;14;7;5;4.0;3;;4892.0
Goedereede-G0511;10;7;1980;864;657;339;638;213;520;41;1795;92;93;14.0;11.0;12.0;2.0;3;0;1;0.0;2;;1476.0
Goes-G0664;36;42;5110;5417;1692;2119;2084;1334;976;461;1472;375;323;53.0;38.0;37.0;14.0;26;10;7;7.0;7;;7319.0
Goirle-G0785;17;20;4041;3241;1244;1861;1115;1174;54;252;9;209;368;33.0;25.0;18.0;13.0;9;3;3;3.0;4;;4146.0
Gorinchem-G0512;39;37;4950;5217;1893;1747;1188;1345;931;385;461;376;334;67.0;36.0;20.0;18.0;10;4;4;2.0;4;;6959.0
Gouda-G0513;105;91;8831;10515;4245;3138;2609;3547;2154;1197;1919;917;760;141.0;61.0;64.0;26.0;49;22;20;7.0;7;;12429.0
Graafstroom-G0693;7;5;1317;520;321;216;1069;150;931;45;1237;55;57;9.0;6.0;5.0;6.0;3;0;0;0.0;0;;1135.0
Graft-De Rijp-G0365;15;4;1599;832;310;333;369;305;16;72;3;102;75;16.0;6.0;11.0;4.0;5;3;0;2.0;0;;876.0
Grave-G0786;13;9;2113;1432;742;1317;696;515;41;105;2;116;148;28.0;14.0;9.0;8.0;16;6;1;1.0;2;;2199.0
Groesbeek-G0241;30;19;2495;2962;1384;1831;1158;788;52;296;17;251;189;31.0;16.0;22.0;6.0;4;4;2;3.0;3;;3715.0
Groningen-G0014;225;282;19384;42889;5392;13888;4719;15343;4759;5403;508;2822;973;733.0;279.0;198.0;73.0;37;101;26;40.0;18;;34988.0
Grootegast-G0015;4;15;1339;1490;574;571;1405;263;786;95;148;85;67;15.0;12.0;8.0;6.0;4;6;11;0.0;1;;2278.0
Gulpen-Wittem-G1729;17;21;2124;2030;1465;1276;1197;549;77;181;30;199;244;20.0;38.0;14.0;4.0;8;3;6;3.0;2;;2359.0
Haaksbergen-G0158;20;23;4189;3317;1308;1347;2514;910;107;173;20;151;317;28.0;29.0;15.0;15.0;17;8;108;5.0;2;;4198.0
Haaren-G0788;10;19;2658;1463;624;921;1145;599;39;163;4;139;151;16.0;16.0;11.0;4.0;5;2;4;3.0;1;;2618.0
Haarlem-G0392;199;185;19972;26212;6890;7919;3972;10735;1174;3440;190;2811;1740;319.0;274.0;110.0;70.0;58;39;12;26.0;18;;28060.0
Haarlemmerliede en Spaarnwoude-G0393;2;2;1317;627;346;220;296;310;37;71;10;77;80;10.0;8.0;1.0;2.0;4;2;2;2.0;1;;799.0
Haarlemmermeer-G0394;218;134;31915;15994;8561;4739;5038;6146;1661;1315;579;1768;1896;236.0;147.0;120.0;77.0;95;49;9;35.0;13;;24000.0
Halderberge-G1655;41;21;4928;3245;2396;1888;1483;937;90;172;26;229;533;80.0;31.0;24.0;21.0;22;5;6;1.0;7;;6771.0
Hardenberg-G0160;52;46;7992;7276;2735;2742;6348;1398;4610;353;648;340;498;78.0;53.0;41.0;28.0;30;4;8;6.0;7;;9899.0
Harderwijk-G0243;64;31;7886;4787;2196;1615;3356;1598;2701;476;738;442;429;75.0;43.0;27.0;28.0;18;10;5;8.0;6;;7517.0
Hardinxveld-Giessendam-G0523;20;12;2179;1549;825;474;1030;265;1850;70;2267;91;131;16.0;9.0;5.0;9.0;10;1;3;2.0;3;;2425.0
Haren-G0017;18;10;3381;3422;407;781;1091;1498;629;528;80;237;129;31.0;22.0;25.0;6.0;5;3;48;2.0;2;;2106.0
Harenkarspel-G0395;13;21;3509;1796;730;702;1008;669;75;201;8;181;189;29.0;34.0;19.0;9.0;12;3;3;0.0;0;;2800.0
Harlingen-G0072;21;10;2008;3027;832;1001;795;414;335;174;52;191;160;42.0;18.0;4.0;8.0;13;5;0;4.0;2;;3176.0
Hattem-G0244;22;7;1526;1837;410;493;921;454;1172;121;191;67;80;9.0;9.0;10.0;7.0;8;3;0;0.0;1;;1711.0
Heemskerk-G0396;58;38;6334;5866;2425;2197;1782;1601;290;477;39;548;628;87.0;35.0;38.0;31.0;20;14;28;6.0;7;;7440.0
Heemstede-G0397;32;18;7012;3135;767;749;1248;2337;187;421;35;388;302;42.0;36.0;20.0;7.0;11;2;2;12.0;3;;3168.0
Heerde-G0246;23;13;2527;2495;860;712;1620;502;1691;106;356;166;130;13.0;9.0;8.0;7.0;3;1;0;1.0;5;;3148.0
Heerenveen-G0074;48;37;5358;9774;1751;2420;2251;1557;832;467;80;432;285;52.0;50.0;37.0;20.0;17;17;40;4.0;16;;8230.0
Heerhugowaard-G0398;74;35;9253;7058;2809;2776;1979;2041;510;542;68;582;639;114.0;93.0;57.0;37.0;44;14;10;7.0;7;;10119.0
Heerlen-G0917;137;141;7184;11387;9005;9809;2908;2316;357;734;55;1027;971;202.0;143.0;113.0;56.0;41;22;5;8.0;23;;24100.0
Heeze-Leende-G1658;13;15;3245;1584;715;1198;1305;818;41;172;4;119;184;16.0;15.0;4.0;9.0;10;0;0;7.0;0;;2625.0
Heiloo-G0399;21;12;5117;3423;805;884;1250;1543;156;457;27;334;298;47.0;29.0;21.0;18.0;10;8;12;8.0;2;;3072.0
Hellendoorn-G0163;38;30;5021;4505;1665;2136;5056;1189;1177;250;191;224;344;34.0;23.0;18.0;19.0;22;5;5;3.0;4;;5770.0
Hellevoetsluis-G0530;40;41;6898;4908;3819;1975;809;1110;311;275;67;522;606;73.0;47.0;36.0;24.0;32;15;5;6.0;8;;8696.0
Helmond-G0794;139;108;11264;9696;6570;7134;2798;2573;209;628;31;651;999;134.0;56.0;67.0;58.0;54;22;35;12.0;8;;21279.0
Hendrik-Ido-Ambacht-G0531;39;16;4883;2895;1815;933;1281;735;968;170;2300;236;282;38.0;22.0;10.0;5.0;15;7;1;6.0;2;;4513.0
Hengelo-G0164;118;90;10243;13219;4009;6135;5251;3561;1078;854;125;743;797;170.0;83.0;87.0;29.0;34;18;8;10.0;8;;15019.0
Het Bildt-G0063;19;10;1134;1929;443;618;1023;230;203;86;28;103;45;30.0;10.0;6.0;6.0;13;2;0;0.0;1;;2002.0
Heumen-G0252;11;21;2866;2550;665;1254;1161;1052;49;300;5;153;140;22.0;17.0;11.0;6.0;3;4;0;3.0;3;;2267.0
Heusden-G0797;63;37;7910;4737;2949;2957;2404;1815;206;314;45;400;599;71.0;57.0;36.0;26.0;28;9;8;5.0;5;;8490.0
Hillegom-G0534;30;11;4593;2316;1362;818;973;973;134;237;88;314;318;32.0;26.0;10.0;13.0;13;7;3;5.0;3;;3593.0
Hilvarenbeek-G0798;17;14;3069;1813;601;1113;1258;704;37;182;5;143;190;22.0;15.0;6.0;14.0;6;1;1;4.0;0;;2541.0
Hilversum-G0402;92;81;14110;12139;4191;3976;2788;5555;1152;1441;327;1299;959;224.0;122.0;52.0;35.0;27;16;7;16.0;16;;15453.0
Hof van Twente-G1735;33;33;7180;5123;1608;1678;3631;1454;251;283;63;206;307;39.0;22.0;28.0;18.0;25;7;5;1.0;2;;5548.0
Hollands Kroon-G1911;53;44;9944;5729;2980;2219;2337;1587;460;397;76;455;719;88.0;50.0;61.0;24.0;37;17;7;5.0;6;;9122.0
Hoogeveen-G0118;49;65;6611;7959;3252;3079;4821;1234;2382;380;597;340;431;92.0;26.0;35.0;20.0;18;13;5;6.0;13;;10978.0
Hoogezand-Sappemeer-G0018;41;24;3082;7598;1894;2495;1016;877;740;302;76;355;278;56.0;32.0;22.0;22.0;13;4;9;1.0;6;;7989.0
Hoorn-G0405;90;72;10981;10827;3805;4057;2206;3018;456;887;90;1017;1243;169.0;88.0;112.0;49.0;32;21;9;12.0;5;;13202.0
Horst aan de Maas-G1507;37;70;6585;3868;2839;3654;3750;1657;103;367;22;276;446;68.0;48.0;28.0;19.0;22;7;2;6.0;2;;8115.0
Houten-G0321;31;34;9003;6119;2264;1881;2334;2887;1551;898;693;510;474;93.0;43.0;24.0;17.0;11;10;1;2.0;4;;6557.0
Huizen-G0406;28;24;8677;4840;2050;1459;2142;2072;1342;459;608;524;501;65.0;40.0;22.0;12.0;14;11;3;6.0;3;;7024.0
Hulst-G0677;24;14;3921;3721;1953;1664;1458;644;94;168;28;245;271;36.0;22.0;19.0;12.0;20;6;53;10.0;1;;5911.0
IJsselstein-G0353;41;26;6649;4382;2023;1446;1507;1495;404;334;205;311;408;45.0;28.0;14.0;18.0;7;5;4;3.0;4;;5865.0
Kaag en Braassem-G1884;22;27;6402;2524;1688;901;1832;1342;173;287;67;273;377;48.0;19.0;14.0;22.0;20;5;4;4.0;0;;3732.0
Kampen-G0166;39;38;5346;5953;2153;2445;3785;1191;4415;462;3274;317;337;61.0;36.0;47.0;21.0;12;3;16;4.0;4;;7603.0
Kapelle-G0678;3;7;2000;1386;562;606;928;356;445;86;1004;105;97;5.0;13.0;4.0;3.0;8;2;14;5.0;0;;1677.0
Katwijk-G0537;39;44;9948;4279;3620;1751;5236;1360;3437;291;3549;502;599;104.0;44.0;18.0;35.0;28;16;7;8.0;9;;11534.0
Kerkrade-G0928;50;68;3255;5911;5874;3891;1539;853;78;284;19;536;503;92.0;75.0;53.0;24.0;23;15;3;5.0;8;;12920.0
Koggenland-G1598;24;28;5311;2278;1193;893;1674;870;72;223;13;238;376;36.0;37.0;27.0;8.0;7;4;3;5.0;3;;3581.0
Kollumerland en Nieuwkruisland-G0079;22;16;1244;1787;670;739;1529;213;593;64;124;116;82;11.0;11.0;6.0;12.0;3;7;3;1.0;3;;2736.0
Korendijk-G0588;5;3;1889;1014;708;417;557;301;291;89;1242;110;100;16.0;10.0;7.0;2.0;7;2;1;0.0;1;;1579.0
Krimpen aan den IJssel-G0542;42;16;4378;3494;1842;943;1181;977;1159;263;2372;309;258;35.0;21.0;11.0;10.0;12;7;0;2.0;6;;4759.0
Laarbeek-G1659;26;12;3713;2317;1445;2013;1493;755;37;152;6;145;260;39.0;15.0;10.0;11.0;19;7;2;0.0;1;;4292.0
Landerd-G1685;17;10;2851;1587;861;1594;1177;570;26;111;4;91;197;24.0;10.0;10.0;7.0;9;1;3;2.0;3;;2464.0
Landgraaf-G0882;34;58;3460;5125;4813;3540;1451;930;106;308;18;472;451;67.0;58.0;64.0;17.0;27;5;2;1.0;5;;9348.0
Landsmeer-G0415;10;13;2362;1610;638;463;247;595;45;148;21;144;145;19.0;6.0;10.0;4.0;3;5;0;2.0;0;;1600.0
Langedijk-G0416;34;16;5580;3351;1429;1275;1546;1178;428;396;47;333;359;48.0;50.0;25.0;21.0;21;12;4;2.0;3;;4226.0
Lansingerland-G1621;54;48;13328;4992;3154;1404;2970;2478;1671;473;379;579;548;100.0;39.0;32.0;26.0;45;11;6;4.0;8;;7880.0
Laren-G0417;9;4;3857;933;362;295;480;685;36;123;9;134;106;15.0;10.0;2.0;5.0;0;6;0;3.0;0;;1504.0
