RegioNaam;@invalid;@blank;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;PPNL;Partij voor Mens en Spirit (MenS);SOPN;Partij van de Toekomst (PvdT);Democratisch Politiek Keerpunt DPK;Libertarische Partij (LP);Nederland Lokaal;Liberaal Democratische Partij (LibDem);Anti Europa Partij;Politieke Partij NXD;@abs
Voorst-G0285;26;15;4606;3550;917;1132;1976;1158;200;244;259;223;217;24.0;39.0;15.0;8.0;20;4;3;1.0;4;;4159.0
Vught-G0865;12;19;4903;3228;1140;1893;1076;1642;64;378;12;237;299;41.0;18.0;22.0;12.0;8;4;1;1.0;0;;4551.0
Waalre-G0866;9;21;3466;1892;775;1004;920;1117;74;217;15;165;263;25.0;15.0;8.0;3.0;9;1;2;1.0;0;;2557.0
Waalwijk-G0867;47;47;7640;5055;3252;3020;2362;1543;648;359;526;379;796;66.0;46.0;24.0;31.0;14;16;8;6.0;8;;10090.0
Waddinxveen-G0627;26;19;4508;2763;1445;757;1365;911;1383;189;1249;232;317;43.0;19.0;10.0;11.0;18;5;4;3.0;3;;4051.0
Wageningen-G0289;27;44;3589;6207;963;1863;1285;3697;797;1661;233;480;214;100.0;36.0;26.0;6.0;6;11;2;8.0;2;;5055.0
Wassenaar-G0629;34;16;7584;1572;1227;588;1168;1258;114;209;41;280;274;40.0;26.0;8.0;7.0;6;6;1;2.0;2;;3236.0
Waterland-G0852;19;13;3678;2417;1010;754;1153;963;154;288;23;250;217;26.0;12.0;15.0;9.0;11;3;1;3.0;0;;2326.0
Weert-G0988;57;67;8180;5550;4235;3692;2323;1772;138;384;29;387;685;49.0;51.0;49.0;29.0;30;8;11;7.0;8;;10210.0
Weesp-G0457;32;12;3041;2863;900;795;613;1074;112;317;43;222;265;30.0;20.0;19.0;6.0;9;5;2;3.0;1;;3366.0
Werkendam-G0870;15;20;4036;2254;1615;1106;2085;542;1098;167;1937;147;257;20.0;15.0;11.0;12.0;10;3;1;2.0;1;;4834.0
West Maas en Waal-G0668;11;11;3812;2249;1277;1463;1141;642;59;165;13;149;228;19.0;17.0;3.0;5.0;8;4;0;1.0;1;;3124.0
Westerveld-G1701;14;12;3948;3831;830;948;1194;834;297;333;57;283;162;20.0;65.0;24.0;15.0;16;3;3;1.0;0;;2495.0
Westervoort-G0293;12;11;2012;2582;1019;1244;653;581;142;187;23;156;178;41.0;24.0;7.0;10.0;11;2;1;0.0;0;;3037.0
Westland-G1783;100;125;26039;7219;6949;2480;7797;3175;1793;610;956;846;1188;142.0;97.0;66.0;41.0;43;17;9;8.0;8;;16404.0
Weststellingwerf-G0098;34;30;3921;5018;1449;1391;1509;677;346;245;61;281;245;35.0;38.0;21.0;20.0;9;7;6;2.0;6;;5005.0
Westvoorne-G0614;12;8;3820;1550;1045;455;581;499;112;91;38;189;172;16.0;19.0;5.0;4.0;6;1;1;5.0;0;;2379.0
Wierden-G0189;22;12;4313;2029;1146;963;3310;657;1278;127;479;109;220;27.0;21.0;13.0;8.0;16;14;0;3.0;1;;3454.0
Wijchen-G0296;53;36;6690;5668;2650;3581;2177;1918;137;413;19;356;472;63.0;30.0;17.0;18.0;18;18;1;6.0;6;;7074.0
Wijdemeren-G1696;17;12;6395;2490;1149;800;1276;1274;259;233;107;331;292;34.0;29.0;19.0;13.0;9;5;1;2.0;4;;3387.0
Wijk bij Duurstede-G0352;21;20;4747;2797;1477;1171;1003;1100;343;331;367;262;245;37.0;27.0;8.0;14.0;12;4;1;2.0;5;;3693.0
Winsum-G0053;13;10;1352;3010;418;920;1045;490;778;272;79;174;99;24.0;24.0;9.0;6.0;3;3;3;0.0;3;;1901.0
Winterswijk-G0294;28;32;4486;5290;1183;1877;1518;1023;275;229;32;220;231;28.0;32.0;26.0;17.0;10;1;56;1.0;2;;5585.0
Woensdrecht-G0873;25;14;3626;2201;1882;1288;1079;615;66;115;14;237;382;20.0;12.0;17.0;9.0;16;2;29;1.0;1;;4753.0
Woerden-G0632;55;35;10104;5762;2327;1648;3510;2561;1571;620;1085;511;522;76.0;58.0;21.0;22.0;14;11;23;5.0;5;;7103.0
Wormerland-G0880;17;11;2752;2599;839;1033;640;647;155;228;20;242;247;24.0;27.0;14.0;15.0;14;4;3;1.0;3;;2718.0
Woudenberg-G0351;7;3;2233;906;502;307;791;355;668;70;1417;74;82;19.0;7.0;8.0;2.0;4;1;0;1.0;0;;1608.0
Woudrichem-G0874;13;8;2357;1332;788;670;1288;327;1262;118;386;102;133;22.0;9.0;11.0;8.0;1;1;0;0.0;0;;2297.0
Zaanstad-G0479;228;120;19081;24515;9519;8686;4011;5135;1215;1783;286;2213;2224;294.0;140.0;152.0;104.0;89;46;19;20.0;25;;31083.0
Zaltbommel-G0297;25;18;3917;2889;1309;1072;1244;904;1046;269;2319;190;212;32.0;23.0;10.0;13.0;11;6;5;0.0;0;;4187.0
Zandvoort-G0473;19;11;4114;1882;1195;584;425;706;41;130;11;312;269;63.0;26.0;20.0;8.0;10;3;4;2.0;1;;3366.0
Zederik-G0707;17;4;2214;1167;572;384;1378;256;1049;78;1175;102;99;13.0;4.0;3.0;5.0;9;2;4;2.0;1;;1653.0
Zeevang-G0478;5;6;1620;825;381;253;183;282;32;71;6;94;92;8.0;3.0;3.0;1.0;5;5;0;0.0;0;;949.0
Zeewolde-G0050;18;7;4809;1846;1138;695;974;749;1029;166;226;204;193;30.0;33.0;19.0;9.0;12;6;0;1.0;3;;2901.0
Zeist-G0355;80;46;11250;8048;2681;2348;2387;3966;1131;1230;709;836;523;97.0;166.0;69.0;20.0;21;10;4;14.0;8;;10158.0
Zevenaar-G0299;31;32;5125;5241;1915;2293;1954;1376;149;335;15;312;454;53.0;38.0;16.0;13.0;15;5;0;10.0;2;;6350.0
Zijpe-G0476;17;6;2557;1580;645;552;597;484;40;120;23;145;169;13.0;12.0;16.0;16.0;7;3;2;0.0;1;;1903.0
Zoetermeer-G0637;165;171;20448;17111;9080;5749;3625;5154;1682;1136;754;1541;1658;309.0;136.0;125.0;81.0;94;44;10;15.0;17;;24516.0
Zoeterwoude-G0638;8;9;1662;1038;458;360;597;477;44;121;45;105;80;16.0;5.0;1.0;4.0;5;2;5;0.0;1;;1319.0
Zuidhorn-G0056;10;18;1978;3066;537;928;1579;709;1766;310;237;167;94;21.0;28.0;8.0;8.0;6;7;8;0.0;1;;2372.0
Zuidplas-G1892;41;30;8132;4122;2268;1358;1845;1539;1434;297;1740;457;376;59.0;36.0;22.0;23.0;33;15;13;0.0;3;;6970.0
Zundert-G0879;18;25;4034;1896;1402;1269;1374;679;62;109;8;146;235;17.0;12.0;14.0;6.0;11;4;2;4.0;3;;4896.0
Zutphen-G0301;43;32;5167;9347;1965;3417;1673;2512;689;1089;86;850;467;71.0;182.0;81.0;24.0;13;13;4;5.0;8;;8409.0
Zwartewaterland-G1896;32;12;2266;1901;817;686;1584;327;2200;80;2686;72;149;22.0;13.0;5.0;11.0;9;1;0;3.0;0;;2946.0
Zwijndrecht-G0642;64;46;6726;5543;3392;2045;2192;1277;1512;300;1206;515;580;86.0;29.0;24.0;26.0;21;6;6;0.0;3;;9020.0
Zwolle-G0193;123;167;14198;21411;4328;6878;5403;6696;7355;2275;769;1288;871;289.0;154.0;121.0;43.0;28;19;13;8.0;14;;20655.0
