RegioNaam;@invalid;@blank;D66;CDA;PVV;VVD;SP;PvdA;CU-SGP;GL;PvdD;50+;PPNL;Artikel50;Anti  EU(ro)  Partij;DG;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij;@abs
Saba-O9003;1;2;54;11;4;1;26;7;2;4;0;1;1;1;0;0;0;0;1;0;0;700
Schagen-G0441;26;36;2068;2236;1611;2260;1344;1447;200;732;670;794;103;86;41;36;19;14;19;10;6;21860
Schermer-G0458;5;1;320;366;205;361;149;150;27;101;106;56;23;8;2;7;4;5;1;1;1;2298
Scherpenzeel-G0279;10;4;242;625;436;336;103;135;1298;68;69;74;12;16;7;2;11;1;0;1;0;3546
Schiedam-G0606;49;61;2407;1787;4020;1557;2038;1676;547;948;881;678;170;117;57;35;45;22;16;11;9;38644
Schiermonnikoog-G0088;4;3;83;81;41;62;47;65;30;55;34;24;3;0;0;0;0;1;1;1;0;219
Schijndel-G0844;13;17;640;1240;867;637;789;435;20;235;198;344;32;26;8;9;9;13;1;4;2;12821
Schinnen-G0962;10;19;577;1025;726;398;429;280;42;193;165;214;19;20;10;14;4;4;5;2;4;6357
Schoonhoven-G0608;11;14;616;598;490;523;332;317;525;219;187;155;19;15;14;10;15;2;6;0;0;5055
Schouwen-Duiveland-G1676;25;18;1144;1849;1448;1825;1147;800;2201;391;478;354;50;35;23;12;13;13;18;12;3;15185
's-Gravenhage-G0518;419;450;31066;11514;21179;18268;10335;13418;4022;11763;7073;3626;1443;913;316;458;270;505;245;105;47;231555
's-Hertogenbosch-G0796;128;193;8685;4622;6025;5525;4751;3792;546;3801;1934;2322;416;218;89;182;52;57;99;45;13;67848
Simpelveld-G0965;8;22;373;778;687;168;308;302;14;104;97;119;23;19;3;4;1;2;2;2;0;5586
Sint Anthonis-G1702;10;33;348;1284;358;471;523;158;30;137;111;210;13;10;4;9;4;8;0;1;0;5402
Sint Eustatius-O9002;6;9;50;5;5;3;11;12;2;15;4;0;1;0;0;2;0;20;0;0;0;1805
Sint-Michielsgestel-G0845;17;20;1442;1597;940;1070;839;583;53;372;262;424;43;29;10;16;8;7;10;4;8;14108
Sint-Oedenrode-G0846;5;9;644;1254;561;763;563;323;35;192;141;405;34;13;9;3;4;7;5;2;1;8884
Sittard-Geleen-G1883;65;107;3204;5095;5468;2003;2865;1978;228;1475;1103;1056;152;129;58;53;26;40;35;13;16;49767
Sliedrecht-G0610;22;26;434;901;1014;559;585;531;2809;158;226;222;49;34;22;6;36;5;4;4;6;11049
Slochteren-G0040;21;14;484;591;399;459;582;516;737;250;231;172;36;17;11;8;10;2;2;1;0;7528
Sluis-G1714;27;13;732;1444;1061;1103;683;637;218;256;229;273;34;26;23;17;14;9;104;9;4;11338
Smallingerland-G0090;34;55;1614;3409;1564;1278;2047;2443;2456;729;498;575;107;79;55;35;51;24;10;5;9;25637
Soest-G0342;36;35;3027;2146;1920;2599;959;1036;1179;945;677;472;83;94;38;37;23;19;16;9;6;19212
Someren-G0847;15;30;409;968;762;591;439;270;17;122;96;1241;22;22;16;12;5;5;5;0;4;9496
Son en Breugel-G0848;7;19;857;816;514;932;403;322;77;249;174;584;22;24;6;11;4;6;4;3;0;7376
Spijkenisse-G0612;73;52;2001;1364;5434;1688;2690;1713;792;625;1119;1124;206;114;88;17;55;20;28;20;8;37762
Stadskanaal-G0037;18;30;526;1668;1193;530;1265;933;1479;199;225;338;28;29;22;9;28;5;12;6;2;17386
Staphorst-G0180;13;5;210;978;539;274;125;182;3460;62;73;48;14;14;9;3;26;4;2;2;1;5510
Stede Broec-G0532;6;22;736;924;972;764;744;407;119;243;231;258;42;20;16;15;11;8;25;4;3;10772
Steenbergen-G0851;17;19;664;880;1288;870;504;387;226;155;243;273;37;31;24;7;23;6;11;5;1;12787
Steenwijkerland-G1708;36;35;1491;3003;1600;1648;1269;1431;1434;552;556;380;66;62;46;22;39;14;26;9;7;20083
Stein-G0971;30;41;807;1206;1770;584;825;615;63;241;327;418;58;43;15;14;7;12;5;9;3;13610
Stichtse Vecht-G1904;50;56;3935;2731;2625;3132;1451;1666;1469;1197;837;655;138;141;61;32;52;28;40;6;7;28434
Strijen-G0617;4;5;260;505;467;390;190;232;344;135;112;94;12;5;10;3;15;5;3;1;0;4202
Súdwest-Fryslân-G1900;38;73;2900;6490;2424;2997;2613;3188;1299;1342;885;796;159;126;59;47;46;22;21;15;5;39376
Ten Boer-G0009;9;9;247;501;164;132;247;280;480;254;90;64;17;8;3;3;4;5;1;2;1;3084
Terneuzen-G0715;45;41;1492;2291;2496;1421;1392;1493;1896;466;466;576;73;63;42;43;45;15;71;7;3;27451
Terschelling-G0093;6;3;224;270;188;311;136;300;51;150;102;73;19;20;6;7;6;4;1;2;0;2014
Texel-G0448;18;38;677;796;537;856;515;535;181;478;221;184;34;20;8;16;13;2;6;1;1;5570
Teylingen-G1525;18;41;2153;2205;1340;2173;652;797;336;578;449;442;103;66;41;17;14;16;20;8;1;15304
Tholen-G0716;13;8;346;830;1095;657;740;436;2931;107;218;150;25;30;38;6;30;7;6;0;5;11296
Tiel-G0281;20;40;1394;1120;1909;1351;952;1069;385;520;481;431;71;71;32;25;23;10;14;6;6;21247
Tilburg-G0855;112;188;9151;5856;6426;5048;5832;3989;484;4375;1758;1673;490;247;123;123;42;64;67;40;20;114155
Tubbergen-G0183;19;12;291;3669;566;508;226;215;53;113;98;122;20;18;3;5;2;2;0;0;0;10134
Twenterand-G1700;13;24;421;3679;1055;475;567;381;1762;218;138;200;42;22;21;5;45;5;8;6;1;16524
Tynaarlo-G1730;22;40;2137;1309;868;1633;922;1732;622;1043;482;321;89;49;24;24;11;14;12;2;2;14013
Tytsjerksteradiel-G0737;20;14;834;2654;821;794;974;1479;858;611;285;365;53;36;14;22;20;18;9;9;2;14692
Ubbergen-G0282;6;7;616;516;264;402;381;362;28;446;229;175;22;18;4;17;1;12;2;5;1;3965
Uden-G0856;23;61;1410;2174;1478;1906;1784;753;91;418;353;500;60;46;28;21;9;11;8;9;0;20412
Uitgeest-G0450;8;13;700;511;513;600;346;460;32;298;172;149;39;23;14;4;10;6;11;4;1;6081
Uithoorn-G0451;31;29;1353;1097;1225;1514;669;679;177;490;414;372;105;55;33;16;11;11;9;6;5;12820
Urk-G0184;11;10;27;581;585;37;67;13;4114;7;10;10;33;14;6;0;70;0;0;0;2;7009
Utrecht-G0344;198;505;26325;6949;7085;9950;7449;11421;3407;18616;4534;1157;1524;459;116;320;85;152;156;47;23;144021
Utrechtse Heuvelrug-G1581;28;43;3539;2692;1711;2793;1280;1268;1728;1517;845;482;92;105;49;67;36;9;29;17;2;18774
Vaals-G0981;12;17;481;368;506;144;246;232;17;146;108;96;22;11;6;18;1;2;0;1;1;4173
Valkenburg aan de Geul-G0994;7;30;767;1105;901;594;527;338;51;304;186;265;32;10;8;9;6;8;3;4;0;8873
Valkenswaard-G0858;20;47;1033;1485;1284;1007;956;609;106;306;297;819;41;45;31;16;4;33;11;5;3;16235
Veendam-G0047;22;41;750;819;1033;712;1161;1164;367;233;286;321;34;28;28;12;17;9;1;7;2;14872
Veenendaal-G0345;61;47;1786;2833;2447;1774;1137;1011;6689;635;421;511;96;102;66;19;95;16;13;9;4;27390
Veere-G0717;18;8;785;1689;663;1085;477;637;2093;344;321;241;30;26;18;12;19;7;40;3;2;8676
Veghel-G0860;21;25;1161;2781;1217;1427;1157;611;87;287;301;543;55;40;14;12;4;10;10;6;6;18452
Veldhoven-G0861;18;58;1833;1880;1665;1671;1454;834;182;517;439;948;99;52;28;27;15;18;11;7;3;22575
Velsen-G0453;47;66;3056;1832;3309;2211;1958;1855;619;1077;1018;877;168;132;58;30;25;20;28;16;6;33426
Venlo-G0983;46;132;2474;4418;5758;2739;2865;1852;226;1034;696;1777;161;109;53;40;25;18;17;19;15;51545
Venray-G0984;22;59;1494;2844;1631;1268;1552;738;88;407;236;648;62;31;35;15;10;16;10;8;5;21694
Vianen-G0620;8;28;757;898;918;632;535;509;542;254;229;234;22;26;25;10;22;6;10;3;3;9377
Vlaardingen-G0622;40;82;2185;2073;3802;1669;2232;1707;1304;1019;862;759;111;106;52;23;40;17;16;16;10;36167
Vlagtwedde-G0048;14;15;292;814;822;324;547;462;268;185;238;192;29;29;26;6;16;3;0;1;0;8478
Vlieland-G0096;3;4;89;47;50;98;22;58;16;44;41;19;2;1;2;3;1;1;1;0;0;375
Vlissingen-G0718;25;52;1377;1244;1759;1210;1693;1147;845;537;587;434;86;49;45;20;38;18;28;4;7;23076
Vlist-G0623;3;6;403;678;473;467;184;232;868;118;118;87;18;7;11;3;9;1;3;1;0;3847
Voerendaal-G0986;9;16;561;824;661;386;493;305;29;181;148;169;19;10;3;11;9;5;3;2;4;6287
Voorschoten-G0626;20;45;1975;1285;890;1760;508;697;221;781;439;241;71;45;17;13;3;6;17;3;2;9556
Voorst-G0285;17;34;1049;1815;647;1094;543;724;390;375;241;284;33;26;18;22;8;13;7;9;0;11554
Vught-G0865;12;34;1719;1052;743;1399;733;638;90;768;289;355;48;19;15;23;5;6;19;1;1;11865
Waalre-G0866;13;30;1225;787;618;1063;429;365;98;323;186;347;49;29;10;11;1;11;11;3;3;7273
Waalwijk-G0867;29;54;1330;1950;2041;1565;1197;713;884;460;372;722;84;65;26;12;27;11;14;10;4;24511
Waddinxveen-G0627;11;27;1067;1225;1176;1021;448;562;2134;305;271;258;43;41;33;10;23;7;14;6;2;10966
Wageningen-G0289;29;67;3164;1277;673;1160;1131;1700;832;2774;541;214;175;59;12;42;26;29;26;11;4;13547
Wassenaar-G0629;22;26;1615;1422;1091;2358;333;375;180;379;368;288;44;49;27;12;6;2;21;2;2;9229
Waterland-G0852;9;29;951;1042;873;848;548;638;148;589;321;173;44;50;20;15;5;5;2;4;0;7198
Weert-G0988;34;70;1421;3726;2529;1383;1681;778;114;411;389;607;79;75;31;15;17;11;7;7;6;24995
