RegioNaam;@invalid;@blank;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;PvdD;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);PPNL;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland;@abs
Borne-G0147;17;10;2382;2383;1640;2923;1447;890;610;181;9;77;76;43;8;9;1;3;1.0;;3313.0
Borsele-G0654;21;4;2170;1765;1759;2747;1062;525;540;428;2011;188;103;27;12;8;1;5;;;3580.0
Boskoop-G0499;9;7;2380;1197;1226;1619;555;528;545;425;340;112;38;36;11;9;0;1;1.0;;2032.0
Boxmeer-G0756;10;15;2918;1765;2082;3388;6013;725;593;87;17;107;83;27;10;14;1;0;1.0;;3823.0
Boxtel-G0757;13;25;3251;3164;2474;2704;2379;1301;1053;121;17;190;114;47;17;7;6;2;4.0;;6148.0
Breda-G0758;174;95;23767;18217;13777;10920;10048;9099;7261;716;76;1238;515;390;127;94;19;12;23.0;;35324.0
Breukelen-G0311;15;5;2488;1139;1081;1405;560;682;494;502;462;84;39;16;7;7;1;2;2.0;;1815.0
Brielle-G0501;11;12;2718;1401;1724;913;1075;577;443;129;29;124;89;37;6;9;0;1;2.0;;2821.0
Bronckhorst-G1876;18;16;5304;4352;2658;5388;2018;1306;1104;432;142;230;130;77;11;20;3;2;5.0;2.0;6169.0
Brummen-G0213;12;2;2830;3066;1735;1420;1333;738;739;189;31;144;90;45;7;8;0;1;11.0;0.0;3969.0
Brunssum-G0899;24;34;1816;2721;5699;1826;2442;504;766;215;16;252;170;62;12;7;2;4;3.0;;6881.0
Bunnik-G0312;5;15;2167;1598;848;1618;580;864;1017;207;120;118;29;36;4;6;1;0;0.0;;1630.0
Bunschoten-G0313;20;6;1579;513;1665;3822;263;158;179;3201;357;49;43;3;5;9;0;0;2.0;;2786.0
Buren-G0214;19;7;4374;2537;2925;1887;906;856;680;396;665;216;109;17;8;17;2;6;4.0;;4202.0
Bussum-G0381;30;14;6127;3300;1938;1894;1242;2218;1524;314;47;287;66;73;18;21;6;9;;;4670.0
Capelle aan den IJssel-G0502;62;42;7518;6410;6726;3422;3234;2144;1804;1385;1870;582;169;86;47;34;6;4;4.0;;14362.0
Castricum-G0383;25;15;5806;4293;2491;3167;1787;1964;1944;202;18;294;132;108;14;20;4;1;1.0;6.0;4381.0
Coevorden-G0109;23;14;4687;5440;2952;3397;1958;993;964;509;87;205;111;70;11;6;0;4;0.0;;6568.0
Cranendonck-G1706;22;11;2325;1441;2511;2491;1668;501;415;71;10;122;101;30;15;4;3;3;1.0;;3968.0
Cromstrijen-G0611;11;6;2113;1242;1191;1006;634;413;349;253;450;97;48;10;6;4;1;3;0.0;;2250.0
Cuijk-G1684;25;12;2429;2393;2083;2253;3001;769;670;47;2;127;75;22;16;15;2;0;2.0;;4442.0
Culemborg-G0216;18;17;3490;3442;2661;1495;1326;1183;1393;400;125;180;62;63;18;11;7;2;2.0;;4186.0
Dalfsen-G0148;24;14;2788;2413;1574;5012;1241;688;700;1658;287;85;89;26;14;16;2;2;1.0;;3921.0
Dantumadiel-G1891;19;5;912;2104;1556;2832;1248;252;369;1282;472;86;23;35;9;4;3;2;;2.0;3743.0
De Bilt-G0310;24;34;7164;4481;2788;3103;1959;2794;2286;867;746;417;104;113;22;18;4;1;3.0;;5276.0
De Marne-G1663;16;5;916;1588;716;1050;693;202;477;502;39;124;34;24;7;5;0;1;;1.0;1895.0
De Ronde Venen-G0736;19;18;6951;2287;3185;3563;1238;1314;854;760;301;231;120;59;29;19;2;8;0.0;;5013.0
De Wolden-G1690;27;9;4049;2840;1694;2655;1037;866;789;509;88;155;108;63;10;10;3;0;1.0;;3347.0
Delft-G0503;95;98;10117;11419;7536;4737;4594;7410;5695;1444;249;818;229;102;135;37;16;32;8.0;;16850.0
Delfzijl-G0010;17;26;2018;4072;2302;1774;1855;556;642;864;45;201;75;25;15;7;2;3;;9.0;6426.0
Den Helder-G0400;48;20;6949;5518;6755;3054;3116;1568;1666;962;161;475;407;80;45;27;10;3;4.0;17.0;13935.0
Deurne-G0762;20;22;3572;2207;3179;4443;2639;834;740;87;3;119;195;61;14;12;2;2;5.0;;6316.0
Deventer-G0150;97;34;9575;14629;6143;5716;5617;5048;4957;1379;94;681;330;154;70;46;10;28;14.0;;18351.0
Diemen-G0384;29;7;2878;3664;2093;833;1169;1030;1134;170;10;214;72;31;15;14;5;0;;;4751.0
Dinkelland-G1774;18;7;3150;1748;2241;6112;1110;683;545;130;4;80;94;45;13;8;0;3;1.0;;3494.0
Dirksland-G0504;4;5;840;595;832;695;376;127;114;390;1024;58;28;7;2;1;0;3;0.0;;1248.0
Doesburg-G0221;10;6;1154;1435;984;735;1078;508;412;111;16;94;26;19;9;3;1;2;1.0;2.0;2279.0
Doetinchem-G0222;42;24;5857;7381;4625;4817;3955;1973;2006;600;291;353;142;112;24;14;3;11;8.0;3.0;10884.0
Dongen-G0766;19;20;3080;2305;2192;2269;2173;908;719;169;18;173;93;31;9;16;1;1;6.0;;5042.0
Dongeradeel-G0058;22;6;1491;2586;1561;4309;1525;449;640;1178;120;154;57;59;13;7;0;1;;2.0;4440.0
Dordrecht-G0505;127;72;11490;12557;10954;5833;7028;3872;4294;3007;1638;1059;320;143;94;35;26;11;10.0;;25925.0
Drechterland-G0498;18;11;3461;1673;1659;1893;1039;708;644;82;9;147;106;35;7;7;3;4;2.0;3.0;3097.0
Drimmelen-G1719;6;10;3447;2348;2879;2683;1716;845;763;102;16;195;127;51;11;11;2;1;1.0;;5552.0
Dronten-G0303;35;11;6346;2979;3054;4082;1698;1207;1117;1436;192;203;150;71;20;18;6;4;;8.0;6009.0
Druten-G0225;15;5;2125;1899;1830;1617;1499;630;514;51;3;95;59;16;7;14;0;3;0.0;;3238.0
Duiven-G0226;13;10;3518;2728;2286;2224;1800;927;857;223;11;170;68;29;9;10;0;3;2.0;0.0;4164.0
Echt-Susteren-G1711;18;33;2576;2527;6088;3818;2172;625;940;119;9;302;116;79;17;10;3;2;5.0;;6253.0
Edam-Volendam-G0385;22;8;4537;1603;5563;3456;912;581;612;99;22;176;140;54;12;5;1;3;4.0;0.0;3816.0
Ede-G0228;110;26;12390;8143;8005;11418;3511;3251;3071;6427;6832;595;257;128;51;51;7;85;13.0;16.0;15781.0
Eemnes-G0317;2;10;1618;827;686;788;360;429;319;149;35;84;32;11;4;8;0;2;2.0;;1173.0
Eemsmond-G1651;12;11;1189;2651;1040;1599;1063;277;587;1009;101;148;30;24;14;8;0;1;;1.0;2878.0
Eersel-G0770;13;8;2201;1342;1558;3082;1213;625;502;70;3;87;105;22;13;15;0;4;1.0;;3292.0
Eijsden-G0905;7;8;1189;1127;1524;1205;794;339;363;26;4;85;40;21;2;5;2;2;1.0;;2130.0
Eindhoven-G0772;215;142;20950;23448;18490;12199;15729;10049;9088;1548;114;1465;580;359;235;139;36;30;18.0;;45048.0
Elburg-G0230;14;7;2018;1189;1572;2993;721;350;331;2273;1769;75;47;15;4;3;0;5;0.0;14.0;3244.0
Emmen-G0114;100;39;8297;17409;10414;8690;6635;2430;2902;1753;169;625;375;188;59;37;14;28;10.0;;24732.0
Enkhuizen-G0388;18;11;2201;2256;1603;1148;1312;659;718;221;130;185;54;40;14;5;4;4;0.0;1.0;3274.0
Enschede-G0153;187;101;14009;19891;12676;9148;8835;6922;5567;3094;184;920;417;201;143;76;29;26;12.0;;35392.0
Epe-G0232;39;11;4411;3951;2632;3337;1474;1071;882;1021;640;233;119;57;5;17;0;5;3.0;5.0;5839.0
Ermelo-G0233;20;22;3125;1782;1753;3840;1048;740;743;1853;895;166;55;43;10;11;2;8;1.0;20.0;4158.0
Etten-Leur-G0777;36;24;5341;3813;4270;3292;2758;1393;1120;208;14;244;171;58;27;24;5;2;3.0;;8811.0
Ferwerderadiel-G1722;12;5;659;950;530;1422;586;178;226;344;25;70;11;15;4;0;0;2;;0.0;1700.0
Franekeradeel-G0070;10;6;1877;2866;1337;2400;1431;484;679;515;41;112;46;43;8;8;0;1;;2.0;3961.0
Gaasterlân-Sleat-G0653;10;4;1113;1106;718;1735;631;297;351;249;144;72;31;32;2;4;0;1;;0.0;1485.0
Geertruidenberg-G0779;13;6;2517;1977;2447;1705;1579;586;592;91;22;121;108;39;13;6;0;3;2.0;;4750.0
Geldermalsen-G0236;20;19;4054;2208;2812;2334;1005;825;718;424;1402;143;123;29;13;13;3;4;3.0;;3371.0
Geldrop-Mierlo-G1771;30;20;4092;3491;3979;3516;3278;1446;1363;211;9;264;139;62;30;16;2;7;7.0;;7353.0
Gemert-Bakel-G1652;19;21;2878;1900;3003;4054;2709;624;724;69;6;138;158;34;9;17;4;2;3.0;;5589.0
Gennep-G0907;19;6;1619;1486;1590;1605;2074;620;402;48;7;85;56;34;4;12;0;0;5.0;;3642.0
Giessenlanden-G0689;12;5;2249;1338;1088;1785;622;384;294;895;449;63;39;15;7;5;1;1;2.0;;1661.0
Gilze en Rijen-G0784;17;8;2988;2513;2603;2397;1844;869;779;83;9;151;119;25;14;18;4;2;4.0;;4877.0
Goedereede-G0511;10;3;1394;714;944;1361;385;202;156;501;1654;62;32;19;1;0;0;5;1.0;;1321.0
Goes-G0664;21;25;3775;4089;2508;3716;2175;1230;1352;940;1391;316;116;61;24;15;1;4;;;6893.0
Goirle-G0785;10;25;2916;2416;2101;2003;1963;1010;753;62;3;148;113;20;7;16;2;0;4.0;;4141.0
Gorinchem-G0512;35;13;3842;4179;2877;1844;1938;1212;1161;921;348;242;91;46;22;15;10;1;2.0;;6622.0
Gouda-G0513;73;42;7088;8908;6524;3969;3335;3131;3266;2195;1638;587;276;92;54;26;12;12;2.0;;11271.0
Graafstroom-G0693;8;2;902;438;505;1596;277;134;145;931;988;27;16;11;1;3;1;1;0.0;;1007.0
Graft-De Rijp-G0365;7;2;1231;791;543;562;357;285;238;18;1;43;28;5;4;2;0;2;0.0;1.0;805.0
Grave-G0786;8;6;1561;1090;1181;1222;1219;417;423;47;2;93;75;20;6;10;1;1;1.0;;2134.0
Groesbeek-G0241;29;6;1683;2327;2156;1983;1542;574;727;75;8;149;57;29;5;9;1;4;5.0;;3610.0
Groningen-G0014;160;166;17693;33124;8534;7330;13319;12480;14558;4990;318;1877;254;345;238;125;32;16;;54.0;34723.0
Grootegast-G0015;9;6;861;1072;842;1981;632;195;275;780;87;72;30;16;1;5;0;0;;5.0;2162.0
Gulpen-Wittem-G1729;8;17;1326;1393;2424;1966;1015;360;619;99;7;142;45;43;1;5;1;0;1.0;;2256.0
Haaksbergen-G0158;17;11;2995;2479;2127;3600;1480;903;607;129;14;117;110;48;7;9;2;7;2.0;;4140.0
Haaren-G0788;14;7;1842;1022;1022;1825;846;469;416;52;2;90;63;27;9;8;0;2;1.0;;2692.0
Haarlem-G0392;181;78;16363;22081;10450;6188;7891;9334;9812;1210;129;1765;403;317;128;94;39;15;;;26492.0
Haarlemmerliede en Spaarnwoude-G0393;3;4;957;561;557;443;241;267;208;27;4;47;19;11;6;2;0;1;;;756.0
Haarlemmermeer-G0394;154;67;25393;12651;13160;8886;5500;5981;4223;1759;452;1091;581;205;97;72;28;29;;;23164.0
Halderberge-G1655;30;10;3395;2486;3637;2744;1857;763;644;108;16;154;185;37;27;18;2;2;3.0;;6554.0
Hardenberg-G0160;33;31;5343;5439;4138;9114;2746;1059;1145;4703;497;263;175;71;29;26;5;7;2.0;;9644.0
Harderwijk-G0243;52;19;5669;3612;3148;5085;1654;1320;1310;2651;520;289;101;70;35;16;3;8;9.0;14.0;7607.0
Hardinxveld-Giessendam-G0523;11;2;1488;1180;1315;1797;539;197;224;1880;1954;65;40;11;5;4;1;3;6.0;;2325.0
Haren-G0017;13;12;2856;2952;760;1490;733;1229;1248;626;51;158;18;39;6;7;1;2;;1.0;2089.0
Harenkarspel-G0395;8;15;2580;1498;1282;1685;812;560;593;78;5;137;90;50;12;7;5;2;1.0;0.0;2494.0
Harlingen-G0072;16;7;1534;2297;1276;1065;1372;396;586;350;22;113;46;28;9;3;0;1;;3.0;3031.0
Hattem-G0244;5;3;1154;1550;655;1375;482;405;315;1255;131;49;31;21;6;4;1;1;3.0;2.0;1538.0
Heemskerk-G0396;50;12;4820;4288;3675;2911;2292;1537;1684;313;20;356;166;78;29;19;4;7;;;7310.0
Heemstede-G0397;32;10;5710;2754;1267;1993;759;2146;1213;179;28;227;37;48;11;10;7;2;;;3338.0
Heerde-G0246;17;5;1872;1927;1307;2595;688;450;376;1567;254;131;52;24;4;7;0;0;0.0;5.0;2973.0
Heerenveen-G0074;31;13;4647;7589;2652;2958;2819;1523;1667;848;71;275;84;81;30;20;5;3;;6.0;8298.0
Heerhugowaard-G0398;51;37;7075;5287;4051;3254;3130;1858;1844;522;22;361;248;105;42;30;6;5;7.0;5.0;10039.0
Heerlen-G0917;95;53;5152;8444;13818;5161;8724;1865;2456;394;35;746;363;216;76;30;6;16;13.0;;23039.0
Heeze-Leende-G1658;9;4;2265;1140;1300;2246;1176;616;404;68;3;91;71;20;5;7;1;1;1.0;;2458.0
Heiloo-G0399;20;8;4077;2843;1395;1940;914;1362;1240;134;15;227;88;55;9;15;1;3;4.0;0.0;2946.0
Hellendoorn-G0163;20;9;3245;3155;2660;7194;2099;933;904;1223;115;166;105;37;13;16;2;4;1.0;;5579.0
Hellevoetsluis-G0530;34;27;5923;3474;5297;1571;2321;1034;1116;357;72;378;166;70;20;20;5;8;9.0;;8724.0
Helmond-G0794;91;32;8622;7349;10420;5437;7010;2223;2246;272;13;457;377;112;56;44;4;6;9.0;;19368.0
Hendrik-Ido-Ambacht-G0531;21;16;3624;2033;2465;2062;1136;677;548;998;1895;157;71;18;10;16;0;5;2.0;;4156.0
Hengelo-G0164;71;40;8170;10358;6012;7178;6360;3323;2727;1096;60;477;222;138;76;29;4;5;12.0;;14810.0
Het Bildt-G0063;8;3;869;1409;685;1337;814;201;342;224;17;65;18;24;5;5;1;2;;0.0;1976.0
Heumen-G0252;10;10;2099;1914;1123;1827;1264;898;831;76;2;124;36;33;6;10;0;0;2.0;;2250.0
Heusden-G0797;46;20;5644;3361;4723;4325;3163;1542;1079;226;37;271;233;77;21;33;7;4;2.0;;7914.0
Hillegom-G0534;15;2;3476;1814;2151;1797;975;862;769;161;66;222;93;29;15;18;4;3;1.0;;3161.0
Hilvarenbeek-G0798;8;2;2108;1293;1112;2144;1178;545;452;41;9;110;82;32;2;11;1;0;1.0;;2336.0
Hilversum-G0402;73;30;11524;10048;6527;4474;4315;5189;4011;1285;235;808;199;133;90;31;14;8;;;14511.0
Hof van Twente-G1735;24;12;4985;4102;2625;5662;1726;1314;813;278;48;162;126;41;13;15;1;3;2.0;;5344.0
Hoogeveen-G0118;57;16;4654;6045;4936;6987;3238;1037;1266;2247;429;257;191;65;18;25;1;4;6.0;;10838.0
Hoogezand-Sappemeer-G0018;20;25;2706;5796;2855;1355;2472;879;1221;774;58;294;99;32;23;21;5;6;;6.0;8305.0
Hoorn-G0405;62;41;9128;8718;5768;3511;4470;2830;2896;509;55;641;231;131;57;47;7;8;5.0;12.0;13706.0
Horst aan de Maas-G1507;36;25;4000;2638;4885;6124;3712;1056;1025;108;12;211;158;66;22;16;2;2;3.0;;7417.0
Houten-G0321;26;17;7102;4580;3702;3629;2196;2482;2188;1579;626;305;157;68;34;16;5;2;2.0;;5909.0
Huizen-G0406;36;19;6897;4012;3252;3575;1730;1966;1564;1319;455;338;104;84;23;19;8;6;;;6441.0
Hulst-G0677;27;13;2686;2640;3054;2714;1657;527;728;113;24;182;151;30;17;14;4;5;;;5772.0
IJsselstein-G0353;28;10;5325;3449;3085;2309;1764;1413;1103;469;185;185;100;42;13;7;9;1;1.0;;5553.0
Kaag en Braassem-G1884;14;6;4624;1788;2505;3248;1168;1066;841;187;46;180;116;33;14;15;3;3;2.0;;3704.0
Kampen-G0166;42;37;3594;4543;3231;5869;2440;984;1307;4329;2698;201;100;56;21;11;0;1;4.0;;7486.0
Kapelle-G0678;13;5;1405;1037;826;1688;585;324;294;439;862;90;52;13;6;6;0;3;;;1540.0
Katwijk-G0537;66;7;6262;3225;5761;8799;1983;1137;1066;3762;2733;351;179;34;32;24;3;9;1.0;;10374.0
Kerkrade-G0928;29;24;2345;4459;8778;2815;3340;601;1005;107;21;424;189;71;26;15;7;3;7.0;;12004.0
Koggenland-G1598;16;8;3748;1725;1889;2708;1080;768;769;78;13;180;149;47;14;17;3;1;4.0;0.0;3231.0
Kollumerland en Nieuwkruisland-G0079;9;6;890;1163;976;2157;778;186;298;626;62;79;37;38;6;2;1;0;;3.0;2643.0
Korendijk-G0588;5;2;1433;814;1085;877;492;245;246;302;1116;80;34;17;7;2;1;1;0.0;;1591.0
Krimpen aan den IJssel-G0542;32;8;3473;2794;2739;1932;1194;853;773;1155;2227;210;71;32;11;17;6;1;3.0;;4504.0
Laarbeek-G1659;16;6;2408;1626;2318;2752;1914;568;507;45;5;107;140;38;9;14;1;1;0.0;;4046.0
Landerd-G1685;10;9;1791;1160;1418;2214;1439;409;347;47;1;72;74;15;7;7;0;0;1.0;;2359.0
Landgraaf-G0882;32;30;2408;3419;7196;2519;3347;704;1000;132;24;339;211;103;27;19;3;8;3.0;;8844.0
Landsmeer-G0415;10;4;1902;1496;1035;402;425;485;446;37;19;101;42;7;7;7;4;1;0.0;0.0;1546.0
Langedijk-G0416;25;15;4367;2536;2156;2343;1395;1188;1203;403;35;215;143;50;21;9;5;2;1.0;4.0;4086.0
Lansingerland-G1621;39;29;10025;3440;4812;4836;1781;2128;1445;1693;286;351;183;54;30;24;8;6;3.0;;7054.0
Laren-G0417;6;3;3195;841;661;801;331;609;350;46;4;93;30;18;3;2;1;0;;;1476.0
Leek-G0022;20;7;1823;2914;1225;1722;1108;564;724;996;96;102;46;33;7;5;0;1;;5.0;3367.0
Leerdam-G0545;20;13;2168;2032;1948;1674;826;611;379;782;850;112;52;23;15;10;2;4;4.0;;3830.0
Leeuwarden-G0080;94;65;7556;16764;6420;5266;7048;3400;4737;1991;128;849;179;164;83;67;13;6;;21.0;18501.0
Leeuwarderadeel-G0081;7;2;955;1902;617;1138;735;277;394;263;8;84;28;16;3;3;0;1;;1.0;1576.0
Leiden-G0546;126;111;12226;16057;9071;4451;5881;9585;7934;1276;200;1354;210;156;133;84;29;23;17.0;;19048.0
Leiderdorp-G0547;20;13;4231;3026;2118;1858;1193;1650;1223;334;138;223;67;31;23;22;5;0;2.0;;3848.0
Leidschendam-Voorburg-G1916;91;41;11732;7164;6224;5252;2987;4309;2934;673;147;708;234;140;49;35;10;6;10.0;;12238.0
Lelystad-G0995;115;36;9099;7986;7426;2807;3912;2003;2379;1436;194;669;308;150;66;31;5;12;;14.0;15896.0
Lemsterland-G0082;9;5;1875;1585;1141;1368;836;374;353;255;39;78;34;34;5;5;0;3;;1.0;2215.0
Leudal-G1640;15;31;4029;2418;5133;4720;2433;992;985;128;8;261;132;65;18;10;6;2;9.0;;6964.0
Leusden-G0327;16;10;5073;2789;1802;2658;1229;1528;1325;967;268;200;61;79;19;10;7;6;5.0;;3597.0
Liesveld-G0694;3;0;1091;690;700;1221;320;162;148;823;698;42;35;7;2;6;1;1;1.0;;1177.0
Lingewaal-G0733;9;2;1454;1081;1142;1210;403;246;247;482;290;77;42;9;2;7;2;0;3.0;;1580.0
Lingewaard-G1705;38;26;6031;4676;4272;4676;3040;1744;1663;191;24;260;129;55;11;26;5;0;6.0;5.0;7961.0
Lisse-G0553;13;7;3865;1652;1940;2405;932;942;636;352;630;179;82;42;9;13;1;5;4.0;;3278.0
Lith-G0808;11;3;872;483;715;938;555;188;135;20;3;31;31;6;6;5;0;0;0.0;;1033.0
Littenseradiel-G0140;4;4;1160;1531;502;1558;712;347;502;183;5;69;15;35;7;4;2;2;;0.0;1487.0
Lochem-G0262;38;16;5817;4710;1699;3233;1681;1868;1498;317;24;247;98;85;12;11;4;3;6.0;0.0;4802.0
Loenen-G0329;10;3;1773;725;562;750;284;544;346;129;107;70;27;15;4;1;0;0;1.0;;1015.0
Loon op Zand-G0809;12;10;3025;1904;2570;2337;1546;697;578;97;67;176;125;38;14;8;5;0;3.0;;4649.0
Lopik-G0331;11;6;1818;736;1475;1915;474;264;258;762;484;78;64;22;7;5;1;1;1.0;;2037.0
Loppersum-G0024;7;3;727;1538;595;1231;688;258;524;574;67;89;39;14;8;3;0;0;;2.0;1761.0
Losser-G0168;21;2;2479;2117;2330;3227;1327;643;518;121;10;93;101;29;10;5;3;2;2.0;;4557.0
Maarssen-G0333;43;17;6103;4045;4251;2508;1835;1870;1612;519;107;307;156;60;26;13;5;0;10.0;;6971.0
Maasdonk-G1671;9;10;1250;713;1275;1559;962;246;223;25;0;41;72;8;1;8;2;2;1.0;;2064.0
Maasdriel-G0263;9;10;3336;1662;3414;2553;1361;638;503;185;232;138;107;47;11;5;0;1;0.0;;3779.0
Maasgouw-G1641;20;21;2609;1725;3790;2597;1691;615;592;97;14;215;106;61;13;10;3;0;0.0;;5302.0
Maassluis-G0556;30;19;4309;3481;3491;2407;1662;958;789;603;108;269;93;57;14;13;7;1;2.0;;5924.0
Maastricht-G0935;108;86;9463;13940;14806;6964;7039;5044;5026;465;46;986;429;235;75;50;17;13;10.0;;27409.0
Margraten-G0936;9;7;1455;1234;1781;1815;827;469;498;63;4;97;41;36;8;11;1;2;2.0;;2047.0
Marum-G0025;12;8;1054;1313;812;1083;574;251;271;416;61;79;38;14;6;4;1;1;;1.0;1916.0
Medemblik-G0420;17;8;4106;2417;2576;2593;1454;989;883;309;89;236;150;49;16;17;5;3;8.0;1.0;4765.0
Meerssen-G0938;15;16;2010;1882;2852;2030;1501;637;641;69;9;183;108;37;10;9;4;4;5.0;;3439.0
Menaldumadeel-G0083;10;8;1298;2244;865;1566;985;364;508;266;28;75;20;14;7;3;1;3;;2.0;2237.0
Menterwolde-G1987;13;6;989;2288;1166;518;1004;285;446;225;25;103;31;8;6;5;1;1;;9.0;2686.0
Meppel-G0119;22;15;4021;4749;2341;2439;1910;1156;1168;1059;67;208;100;58;20;11;3;4;3.0;;5476.0
Middelburg-G0687;46;17;3959;6257;3068;3902;2546;1569;2086;1718;2178;455;122;85;35;22;7;16;;;8142.0
Middelharnis-G0559;28;5;1929;1383;1626;1481;850;381;384;937;1623;106;53;13;7;13;0;2;2.0;;3093.0
Midden-Delfland-G1842;10;5;3139;1230;1453;2724;609;840;648;380;53;88;70;23;9;2;3;1;1.0;;2067.0
Midden-Drenthe-G1731;21;17;4216;5258;2309;3361;1859;956;1246;814;75;207;167;55;13;16;1;5;4.0;;5421.0
Mill en Sint Hubert-G0815;4;7;1217;746;1044;1646;1359;250;214;25;4;41;57;12;4;9;3;0;3.0;;1871.0
Millingen aan de Rijn-G0265;5;3;532;845;582;418;687;150;146;19;2;43;19;9;2;1;1;1;0.0;;1082.0
Moerdijk-G1709;19;13;4688;2894;3796;3549;2649;951;890;553;77;308;184;45;14;9;3;2;0.0;;7527.0
Montferland-G1955;37;12;3671;3661;3867;4379;2341;905;845;120;7;195;122;49;14;12;6;2;7.0;1.0;7086.0
Montfoort-G0335;7;8;2127;973;1160;1469;516;487;436;468;386;59;40;18;8;4;1;0;0.0;;1767.0
Mook en Middelaar-G0944;7;3;1116;894;588;745;680;430;412;38;0;71;15;24;2;10;1;0;0.0;;1113.0
Muiden-G0424;5;1;1177;837;416;428;259;509;306;28;2;64;21;6;5;1;2;0;;;784.0
Naarden-G0425;6;11;4002;1588;883;1068;539;1233;721;142;33;187;32;32;1;6;4;4;;;1862.0
Neder-Betuwe-G1740;13;7;1938;1932;2041;1679;582;358;258;616;3426;75;54;15;7;3;2;0;2.0;;3144.0
Nederlek-G0643;9;9;2142;1582;1406;1026;768;457;398;347;519;129;56;12;9;8;2;3;0.0;;2116.0
Nederweert-G0946;10;8;1968;1092;2244;2307;1141;337;393;41;6;92;93;32;8;12;1;0;3.0;;3225.0
Neerijnen-G0304;8;3;1596;1022;1317;1102;424;263;218;240;786;66;29;12;3;8;2;1;1.0;;1688.0
Niedorp-G0412;17;7;2052;1275;1067;832;680;427;450;45;3;97;57;32;8;5;4;3;1.0;0.0;2044.0
Nieuwegein-G0356;69;41;7543;7018;6587;3566;3952;2139;2310;841;145;421;206;76;44;36;2;6;2.0;;12104.0
Nieuwkoop-G0569;21;13;4624;1622;2531;3296;1190;955;766;482;227;171;113;51;8;11;4;3;6.0;;4456.0
Nieuw-Lekkerland-G0571;5;2;586;784;713;643;315;116;123;849;1411;53;12;3;1;3;2;0;0.0;;1091.0
Nijefurd-G0104;8;4;1107;1356;790;1703;706;335;485;266;16;74;32;29;8;4;0;0;;2.0;1523.0
Nijkerk-G0267;35;14;5186;2635;3210;5127;1386;1068;903;2234;1423;175;103;68;16;8;1;5;6.0;6.0;5885.0
Nijmegen-G0268;205;108;13068;23924;11131;7879;12724;10515;13997;972;59;1337;270;301;127;128;19;15;10.0;;30441.0
Noord-Beveland-G1695;6;1;1112;765;686;801;424;212;218;130;182;74;39;23;9;2;3;3;;;1226.0
Noordenveld-G1699;22;10;4117;5492;2132;2007;1749;1175;1349;706;74;239;67;64;15;8;4;1;3.0;;4931.0
Noordoostpolder-G0171;37;16;5630;3761;3107;5677;1983;1130;1116;2222;716;229;147;86;15;20;3;5;;29.0;7465.0
Noordwijk-G0575;25;14;4957;2101;2421;2232;1063;1022;913;208;36;188;78;44;17;15;2;5;0.0;;4016.0
Noordwijkerhout-G0576;15;12;2775;1096;1540;1772;691;616;584;87;7;112;88;44;8;12;1;1;0.0;;2302.0
Nuenen, Gerwen en Nederwetten-G0820;13;15;3428;2200;1844;2502;1563;1258;818;108;8;135;50;49;19;25;3;4;2.0;;3132.0
Nunspeet-G0302;21;10;2577;1281;1898;3340;698;425;372;2310;3552;123;57;24;7;8;1;2;2.0;12.0;3237.0
Nuth-G0951;14;16;1552;1488;2560;1660;1128;388;604;58;8;150;172;29;7;3;1;4;1.0;;2787.0
Oegstgeest-G0579;9;14;4249;2515;1174;1513;734;1834;1118;327;51;212;36;34;26;20;0;6;0.0;;2422.0
Oirschot-G0823;13;13;2081;1289;1753;2839;1242;610;426;40;7;96;126;31;7;14;2;0;1.0;;3115.0
Oisterwijk-G0824;22;12;4066;2251;2118;2848;1690;1122;757;125;7;144;67;36;7;30;2;2;2.0;;4399.0
Oldambt-G1895;41;21;2899;6778;3692;1966;3478;789;1283;844;47;378;89;48;26;28;2;2;;6.0;9031.0
Oldebroek-G0269;14;10;1426;1572;1634;2929;607;258;284;2686;1657;71;57;15;5;7;0;4;0.0;6.0;3893.0
Oldenzaal-G0173;24;22;3698;3426;2682;4047;2124;1343;1024;157;10;156;105;53;24;6;4;3;4.0;;5535.0
Olst-Wijhe-G1773;14;7;1970;2477;1039;2301;994;589;667;173;38;109;63;27;5;11;2;3;4.0;;2852.0
Ommen-G0175;10;9;1947;1482;996;3354;738;491;419;1294;124;94;45;24;5;12;0;0;0.0;;2457.0
Onderbanken-G0881;5;7;640;648;1641;717;637;155;250;16;2;56;36;20;3;3;1;2;0.0;;1547.0
Oost Gelre-G1586;17;7;3943;2773;2050;4802;2015;975;734;132;20;103;64;71;11;9;3;3;5.0;2.0;5151.0
Oosterhout-G0826;36;28;7077;5255;5832;3920;3522;2011;1560;241;37;311;207;97;25;24;7;3;3.0;;11011.0
Oostflakkee-G0580;9;2;1169;1002;1262;867;523;179;221;423;456;101;43;15;1;3;0;1;1.0;;1880.0
Ooststellingwerf-G0085;21;23;2496;4026;2008;2352;1779;639;963;596;75;211;89;69;18;7;2;4;;3.0;4942.0
Oostzaan-G0431;4;3;1558;1077;1161;323;443;363;361;90;14;83;54;16;8;3;1;2;1.0;0.0;1401.0
