RegioNaam;@invalid;@blank;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;PvdD;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);PPNL;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland;@abs
Vlissingen-G0718;40;22;3902;5336;4512;2918;3035;1203;1308;769;455;479;220;87;34;21;5;8;;;9941.0
Vlist-G0623;6;2;1469;747;862;1187;393;306;244;306;592;60;37;5;2;6;1;2;1.0;;1211.0
Voerendaal-G0986;2;4;1264;1273;1909;1589;902;411;420;50;5;110;60;33;8;9;0;0;0.0;;2105.0
Voorschoten-G0626;20;14;4384;2150;1585;1912;895;1562;1120;230;47;224;70;39;22;19;2;1;1.0;;3039.0
Voorst-G0285;26;8;3284;2847;1654;3072;1217;952;729;214;227;140;79;41;2;10;1;1;16.0;0.0;4190.0
Vught-G0865;16;17;3805;2570;1781;2015;1788;1372;1025;79;7;165;75;28;14;18;2;3;1.0;;4473.0
Waalre-G0866;13;12;2760;1401;1310;1662;1100;918;554;90;12;104;48;22;11;13;1;4;1.0;;2403.0
Waalwijk-G0867;37;20;5711;3639;5160;4122;3086;1413;1101;679;472;259;159;67;24;13;3;5;3.0;;9526.0
Waddinxveen-G0627;22;28;3455;2187;2249;2263;1017;876;642;1347;1018;151;85;26;11;5;3;1;6.0;;3882.0
Wageningen-G0289;24;27;2900;4882;1497;1957;1602;3007;3099;874;228;263;62;66;34;24;6;6;4.0;5.0;5359.0
Wassenaar-G0629;29;12;6354;1350;1880;1928;656;1124;618;147;34;178;77;31;20;7;3;3;2.0;;3143.0
Waterland-G0852;16;7;2875;2143;1706;1438;844;800;808;150;16;136;69;14;12;4;6;4;1.0;0.0;2200.0
Weert-G0988;41;28;6186;4092;6404;4119;3600;1393;1163;182;8;280;219;74;18;23;4;3;3.0;;9642.0
Weesp-G0457;32;9;2426;2360;1400;999;999;910;880;135;31;138;89;28;12;10;3;4;;;3113.0
